Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,OTP_Q3,OTP_Q2,UID
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 4: Business Regulation and Governance,Sub-Programme 4.3: Consumer Protection,Quarterly,% of consumer cases resolved within specified time frames,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",80 %,94 %,Demand driven ,None ,80 %,87 %,None,None,80 %,97 %,Demand driven,None,80 %,53 %,"The focus was more on clearing the backlog of cases. The preparation for the World Consumer Rights Day took more time. As a result, affected the cases since it was the same people doing the work. "," To prioritize investigation of older cases, especially those nearer to the 90 days’ period.",80 %,53 %,70,Demand driven," The focus was more on clearing the backlog of cases. 
The outbreak of food-borne illness also contributed to the low reported cases as more resources were directed to inspections.
The preparation for the World Consumer Rights Day took more time
",,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 4: Business Regulation and Governance,Sub-Programme 4.3: Consumer Protection,Quarterly,Number of Consumer Awareness and Education programs,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",110,112,The Office received additional invitations from external stake holders,None ,150,152,Office received more invitations from other stakeholders,None ,140,130,This target was reduced during revised APP and target was set for 130,The target achieved as per the revised target,120,110,This target was revised and target reduced to 110,None ,520,110,504,"The target was reduce to 500 during Revised APP, the extra 4 shows an over achievement",None,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 5.: Economic Planning,Sub - Programme 5.2: Research and Development ,Quarterly,Number of research reports produced,Not Applicable,Not  Applicable,Not Applicable,Economic transformation and job  creation,Not Applicable,0,0,None,None,1,1,None ,None,1,1,None,None ,0,0,None ,None ,2,2,2,None,None,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 5.: Economic Planning,Sub - Programme 5.3: Knowledge Management,Quarterly,Number of reports of MEGDP priority projects in Mpumalanga updated on geo-database,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Database design review,Database system design reviewed,None ,None ,"Database data review
New Data Collection
","Database reviewed. 
",Deviation was due to a process of reviewing priorities for new administration which took longer,Priority projects identified and data collection target will be achieved in the third quarter,"New Data Collection
Data updating
","New Data Collected on 
Bulk water infrastructure projects

Data Updated on: Bulk water infrastructure projects
",None ,None ,1xReport of MEGDP priority projects in Mpumalanga updated on geo-database,"1x Report of MEGDP priority projects; Seriti
green project Water Treatment Work Replacement of Asbestos Bulkline to Bloedfontein Reservoir 
",None,None,1xReport of MEGDP priority projects in Mpumalanga updated on geo-database,-,1x report of MEGDP priority projects in Mpumalanga updated on geo-database,None ,None,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 5.: Economic Planning,Sub - Programme 5.5: Economic Analysis,Annually,Number of Provincial Economic Review and Outlook (PERO) reports compiled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,1,1,,,1,1,1,None,None ,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 5.: Economic Planning,Sub - Programme 5.5: Economic Analysis,Quarterly,Number of updated Socio-Economic Review and Outlook (SERO) reports completed and communicated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,None ,None ,1,1,None,None,0,0,Not applicable for this quarter ,None ,1,1,None,None,2,2,2,None,None,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 6: Tourism,Sub - Programme 6.1 Tourism Planning ,Quarterly,Number of roadshows conducted to support the municipalities on tourism development ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,2,More request,None ,1,2,Target exceeded by 1 ,None,1,1,None ,None,0,0,Not Applicable for the quarter ,None ,3,0,4,1 more conducted due to more demand,None,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 6: Tourism,Sub - Programme 6.1 Tourism Planning ,Quarterly,Number of stakeholder engagement facilitated to unlock tourism growth in the Province,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None ,None ,2,2,None ,None ,1,2,over achievement due to more request from key stakeholder,None ,1,2,1 more stakeholder engagement was facilitated due to demand,None ,5,7,6,1 more conducted due to more demand,None,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 6: Tourism,Sub - Programme 6.1 Tourism Planning ,Quarterly,Number of strategic tourism projects facilitated to enhance visitor experience ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1 x BMM-WHS Monitoring and  operationalisation report produced,1,None,None ,1 x BMM-WHS Monitoring and  operationalisation report produced,1 x BMM_WHS Monitoring and operationalization report produced,None,None ,1 x BMM-WHS Monitoring and  operationalisation report produced,1 x BMM-WHS Monitoring and  operationalisation report produced,None,None ,1 x BMM-WHS Monitoring and  operationalisation report produced,1,None,None,1 x strategic tourism project facilitated and  4 quarterly reports produced thereof: BMM-WHS,-,"BMM-WHS was facilitated and 4 quarterly reports produced

Further,  stakeholder engagement meetings convened in order to resolve the impasse between the MTPA and the private landowners
",None,None,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 6: Tourism,Sub-Programme 6.3: Tourism Sector Transformation,Quarterly,Number of tourism awareness programmes implemented to promote enterprises and inclusivity in the tourism sector,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Tourism Month Plan developed and approved. ,The 2024 Tourism Month Plan was developed and approved.,None,None,Tourism Month Plan implemented.,"Tourism Awareness plan was implemented through Tourism Month;
•	Launched Tourism Month at Emakhazeni LM
•	Hosted Provincial Tourism Awareness Day at Nkomazi LM
",None,None ,Tourism Month close – up report developed ,2024 Tourism Month Close up report developed.,None,None ,Nil,Not Applicable,None ,None ,1 x tourism awareness programme implemented through Tourism Month ,-,"Tourism Awareness Plan implemented through Tourism Month Launch at EMakhazeni, Mpumalanga Tourism Marketing Expo and the Provincial tourism awareness day hosted at Nkomazi Local Municipality",None,None ,,,,,102
Economic Development Department, Mpumalanga: Economic Development and Tourism,Mpumalanga,Programme 6: Tourism,Sub-Programme 6.3: Tourism Sector Transformation,Quarterly,Number of Tourism Capacity Building programmes implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,None,None ,1,2,Target exceeded ,None ,1,1,None,None ,1,1,None ,None ,3,1,3,None,None,,,,,102
