Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,DesiredPerformance,UID
,Gauteng: Office of the Premier,Gauteng,Programme 1: Administration,Sub-Programme 1.3. Director General Support ,Quarterly,Percentage of recommendations implemented on the skills audit conducted for levels 1-12,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0 %,0 %,57 %,0 %,0 %,,65 %,"

11 %",65 %,11 %,,,,,N/A,N/A,,"Before the completion of the skills audit, there was a need to complete job profiling, job descriptions and skills audit survey to compile recommendations for implementation.",The skills audit report has now been completed and relevant stakeholders will be consulted for approval. The implementation of the skills audit recommendations will commence once the skills audit report is approved.,,,,,"Prior to the completion of the skills audit, there was a need to complete job profiling, job descriptions and skills audit survey to compile recommendations for implementation. ",The skills audit report is completed and will be consulted with relevant stakeholders for approval. The implementation of the skills audit recommendations will commence once the skills audit report is approved.,Target not achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Quarterly,Percentage of valid invoices paid within 15 days from date of receipt,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,99.5 %,100 %,"
99.36
 %",100 %,95 %,100 %,"

99.23 %",100 %,0 %,,,,,The reason for the invoice paid outside of 15 days is because the supplier didn't finish all the steps on the webboard option ,The office will advise suppliers to register using the email option ,Target not achieved. ,An end user delayed in signing an invoice. There is also a period where Provincial Treasury withheld disbursements because of overspending in the 1st quarter of 2024/25,Follow up emails will be sent to end users to remind them to sign invoices. Invoices that remain unsigned after 2 days will be escalated to the responsible director,,"The Provincial Treasury sets a payment threshold for invoices. In November 2024, this threshold was surpassed, causing a delay in the payment of 13 invoices. As a result, these invoices were not settled within 15 days, as the department had to wait until the new allocation in December 2024 to clear the outstanding amounts.",All of the outstanding invoices were settled in full in December 2024.,Target not achieved.,"
End users are delaying returning the signed invoices for payment.","
End users will be reminded continuously should there be an outstanding invoice.",Target not achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Quarterly,Percentage preferential procurement spend on enterprises that are: Black-owned,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",80 %,98 %,80 %,"

94 %",80 %,92.16 %,80 %,"

90.80 %",80 %,0 %,,,,,More focus was put on procuring from Black owned enterprises.,N/A,,Procurement was focused on Black-owned enterprises as one of the targeted groups.,Not applicable,,"Certain goods and services have been targeted for procurement from black owned companies.

Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.",N/A,Please provide actual output upon approval.,Certain goods and services have been targeted for procurement from black- owned companies. Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.,N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Quarterly,Percentage preferential procurement spend on enterprises that are: Persons with disabilities owned,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",7 %,0.01 %,7 %,0.53 %,7 %,3.25 %,7 %,"

1.88 %",7 %,0 %,,,,,"There are limited number of companies owned by people with 
disabilities on CSD. These are mostly small and medium enterprises who provide lower value commodities. In certain instances, they lack access to capital to finance orders issued to them.",The following measures will be undertaken to improve areas of underperformance: Certain goods and services have been targeted for procurement from companies owned designated groups. Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.,Target not achieved. ,"There are a limited number of companies owned by people with disabilities on CSD.

These are mostly small and medium enterprises that provide lower-value commodities.

In certain instances, they lack access to capital to finance orders issued to them.
","The Office of the Premier in Gauteng is launching several initiatives, including a dedicated War Room and SMME workshops, to boost procurement opportunities for businesses owned by persons with disabilities, while also implementing a B-BBEE Incubation Programme to support their growth and sustainability",,"There are a limited number of companies owned by people with disabilities on CSD.

These are mostly small and medium enterprises who provide lower value commodities.

In certain instances, they lack access to capital to finance orders issued to them.
","Certain goods and services have been targeted for procurement from companies owned designated groups.

Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.",Please provide actual output upon approval.,There are a limited number of companies owned with people with disabilities on CSD which the services required in the fourth quarter could be sourced. These are mostly small and medium enterprises who lower value commodities.,"OoP in Partnership with the GPT vendor management unit will:

•	Coordinate a targeted campaign to assist People with Disabilities-owned enterprises with CSD registration, compliance documentation and system readiness to participate in the procurement of specialised services.
•	Implement capacity building programmes to support People with Disabilities-owned enterprises to enable them to compete in high-value, specialised commodities such as ICT procurement and professional services.
",Target not achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Quarterly,Percentage preferential procurement spend on enterprises that are: Women-owned,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",40 %,48 %,40 %,"
47 %",40 %,48.91 %,40 %,"

43.83

 %",40 %,0 %,,,,,More focus was placed on procuring from Women owned enterprises,N/A,,Procurement was focused on women-owned enterprises as a targeted group.,Not applicable,,"Certain goods and services have been targeted for procurement from black owned companies.

Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.",N/A,Please provide actual output upon approval.,Certain goods and services have been targeted for procurement from women- owned companies. Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.,N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Quarterly,Percentage preferential procurement spend on enterprises that are: Youth-owned,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",15 %,40 %,15 %,"
37 %",30 %,36.31 %,30 %,"

34.84 %",30 %,0 %,,,,,More focus was placed on procuring from Youth owned enterprises,N/A,,Procurement was focused on youth-owned enterprises as a targeted group.,Not applicable,,"Certain goods and services have been targeted for procurement from black owned companies.

Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.",N/A,Please provide actual output upon approval.,Certain goods and services have been targeted for procurement from Youth- owned companies. Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.,N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 1: Administration,Sub-Programme 1.4: Financial Management,Quarterly,Percentage preferential procurement spend on township-based enterprises,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",40 %,43 %,40 %,"

43 %",40 %,41.43 %,40 %,"

39.52 %",40 %,0 %,,,,,More focus was placed on procuring from Township-based enterprises,N/A,,Procurement was focused on township-based enterprises.,Not applicable,,"Certain goods and services have been targeted for procurement from black owned companies.

Branches within the program have developed Demand Management plans and have targeted procurement from designated groups.",N/A,Please provide actual output upon approval.,"There are a limited number of township -based enterprises on CSD from which services required in the fourth quarter could be sourced. There are mostly small and medium enterprises who provide value commodities. In certain instances, they lack the expertise to offer specialized services that may be required by the department. In certain instances, they lack access to capital to finance purchase orders.","OoP in Partnership with the GPT vendor management unit will:

•	Coordinate a targeted campaign to assist township-based enterprises with CSD registration, compliance documentation and system readiness to participate in the procurement of specialised services.
•	Implement capacity building programmes to support township-based suppliers to enable them to compete in high-value, specialised commodities such as ICT procurement and professional services
",Target not achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub Programme 2.1. Strategic Human Resources,Quarterly,Number of assessments of the status of GPG departments staff establishment,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,1,"
 1",1,1,1,"

1",4,4,,,,,N/A,N/A,Target achieved. ,Not applicable,Not applicable,,N/A,N/A,Target achieved.,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub Programme 2.1. Strategic Human Resources,Quarterly,Number of monitoring reports on implementation of the GPG SHERQ System,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,1,"

1",0,,1,"

1",2,2,,,,,N/A,N/A,,Not applicable,Not applicable,,,,,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub Programme 2.1. Strategic Human Resources,Quarterly,"Number of monitoring reports on the implementation of the PMDS Framework for levels 1-12, SMS and HODs",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,1,"

1",0,,1,"

1",2,2,,,,,N/A,N/A,,Not applicable,Not applicable,,,,,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub Programme 2.1. Strategic Human Resources,Quarterly,Number of reports on culture change interventions implemented in GPG departments,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,1,"

1",0,,1,"

1",2,2,,,,,N/A,N/A,,Not applicable,Not applicable,,,,,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub Programme 2.1. Strategic Human Resources,Quarterly,Percentage interventions in non-compliant GPG departments on hearings not held within 60 days from the date of precautionary suspension,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0 %,,0 %,,0 %,,65 %,"


79 %",65 %,79 %,,,,,N/A,N/A,,,,,,,,"Escalation to policy and compliance institutions.

MPSA Directive on discipline management strengthened monitoring and oversight of compliance in collaboration with DPSA and PSC.",N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub-Programme 2.3. Legal Services,Quarterly,Default,Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub-Programme 2.4. Communication Services ,Quarterly,Number of Cabinet community engagements held,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Safety, Social Cohesion and Food Security","Governance, State Capacity and Institutional Development cluster",3,14,3,3,3,4,3,"
3",12,24,,,,,Community engagements that were held exceeded the target due to the Premier responding to the energy crisis and unemployment issues.,NA,,Not applicable,Not applicable,,"Community engagements that were held exceeded the target due to the Executive Council responding to the outbreak of food borne illnesses that led to the tragic deaths of children and numerous hospitalizations across the province of Gauteng. This necessitated government to intervene by holding public meetings and educating the people about food safety measures and encouraging behavioral change.

",N/A,,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub-Programme 2.4. Communication Services ,Quarterly,Number of programmes to market the Gauteng City Region implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,A Better Africa and the Better World,"The Social Protection, Community and Human Development cluster",0,0,1,"

3",2,2,1,"

2",4,7,,,,,N/A,N/A,,"As per the SOPA 2024 address, Premier committed to strengthen market efforts for the Gauteng City Region as the preferred destination for events, sporting events and investment.",Not applicable,,N/A,N/A,,The programmes to market the Gauteng city regions are a key priority for the Gauteng Province. The programmes work to position Gauteng as the preferred destination for investment and major sporting events.,N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Sub-Programme 2.4. Communication Services ,Quarterly,Number of research studies commissioned,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Building a Capable, Ethical and Developmental State","The Social Protection, Community and Human Development cluster",0,0,0,,0,,1,"
1",1,1,,,,,N/A,N/A,,,,,,,,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Subprogramme 2.6: Service Delivery Interventions,Quarterly,Number of dashboards tracking responses for cases that are lodged on the CRM System,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",1,1,1,"

1",1,1,1,"

1",4,4,,,,,NA,NA,,Not applicable,Not applicable,,N/A,N/A,Target achieved.,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Subprogramme 2.6: Service Delivery Interventions,Quarterly,"Number of reports on household, community and ward profiles conducted in the priority wards",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Governance, State Capacity and Institutional Development cluster",1,1,1,"

1",1,1,1,"

1",4,4,,,,,NA,NA,Target achieved. ,Not applicable,Not applicable,,N/A,N/A,Target achieved.,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Subprogramme 2.6: Service Delivery Interventions,Quarterly,Number of reports on interventions implemented on rapid response cases received,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Governance, State Capacity and Institutional Development cluster",1,1,1,"

1",1,1,1,"

1",4,4,,,,,NA,NA,Target achieved. ,Not applicable,Not applicable,,N/A,N/A,Target achieved.,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Subprogramme 2.6: Service Delivery Interventions,Quarterly,Number of reports on interventions implemented to prevent potential protests directed to the Office of the Premier,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Governance, State Capacity and Institutional Development cluster",1,1,1,"


1",1,1,1,"


1",4,4,,,,,NA,NA,Target achieved. ,Not applicable,Not applicable,,N/A,N/A,Target achieved.,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 2: Institutional Development,Subprogramme 2.6: Service Delivery Interventions,Quarterly,Percentage of registered CoGTA CDWs using the CRM System,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Governance, State Capacity and Institutional Development cluster",90 %,99.6 %,90 %,"
99.6 %",90 %,99.6 %,90 %,"
99.6 %",90 %,0 %,,,,,Effective tracking of none-usage through SMS reminders on none usage and one-on-one engagements with CDWs to address any USSD technical issues where there is low usage. ,NA,,"For Quarter 2, the period 1 July 2024 to 30 September 2024, the CDWs registered a total of 5200 service delivery cases with a usage rate of 99.60% (253 of 254 registered CDWs used the system), exceeding the set target of 90% by 9.6%.",,,The overachievement is accounted to effective tracking of non-usage through SMS reminders on no usage and one on one engagements with CDWs to address any USSD technical issues where there is low usage.,N/A,,The overachievement is accounted to effective tracking of non-usage and on one engagement with CDWs to address any USSD technical issues where there is low usage.,N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance, Sub-programme 3.12: Delivery Support Unit,Quarterly,Number of end of term reviews on delivery agreements between Premier and each MEC in the Economic Cluster,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,0,,0,,0,,1,0,,,,,NA,NA,Target achieved ,,,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance, Sub-programme 3.12: Delivery Support Unit,Quarterly,Number of End of term reviews on delivery agreements between Premier and each MEC in the Governance and Planning Cluster,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,0,,0,,0,,1,0,,,,,NA,NA,Target achieved ,,,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance, Sub-programme 3.12: Delivery Support Unit,Quarterly,Number of end of term reviews on delivery agreements between Premier and each MEC in the Social Cluster,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,0,,0,,0,,1,0,,,,,NA,NA,,,,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance, Sub-programme 3.12: Delivery Support Unit,Quarterly,Number of interventions to address identified areas of underperformance (New Indicator),Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,0,,1,2,1,"

1",2,3,,,,,,,,,,,Continued efforts and support of the DSU leads and the commitment of key departments and role players.,N/A,,N/A,N/A,Target achieved.,Two (2) interventions to address identified areas of underperformance,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance, Sub-programme 3.12: Delivery Support Unit,Quarterly,Percentage of quarterly elevated priorities achieved in the Economic Cluster,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",60 %,68 %,60 %,0 %,60 %,,60 %,,60 %,0 %,,,,,"Most targets were achieved or on track to be achieved, because of interventions by the Premier, relevant MECs and HODs to address blockages ",NA,Target achieved. ,"Previous Delivery Agreements concluded at the end of 2023/24 (March 2024), in which Quater1 reports were submitted.",The OoP is currently collaborating with departments to develop a new set of Delivery Agreements that are informed by the MTDP and SOPA. ,,,,,,,Target not due in Q4.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance, Sub-programme 3.12: Delivery Support Unit,Quarterly,Percentage of quarterly elevated priorities achieved in the Governance and Planning Cluster,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",60 %,70 %,60 %,0 %,60 %,,60 %,,60 %,0 %,,,,,"Most targets were achieved or on track to be achieved, because of interventions by the Premier, relevant MECs and HODs to address blockages ",NA,Target achieved. ,"Previous Delivery Agreements concluded at the end of 2023/24 (March 2024), in which Quater1 reports were submitted.",The OoP is currently collaborating with departments to develop a new set of Delivery Agreements that are informed by the MTDP and SOPA. ,,,,,,,Target not due in Q4.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance, Sub-programme 3.12: Delivery Support Unit,Quarterly,Percentage of quarterly elevated priorities achieved in the Social Cluster,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",60 %,71 %,60 %,0 %,60 %,,60 %,,60 %,0 %,,,,,"Most targets were achieved or on track to be achieved, because of interventions by the Premier, relevant MECs and HODs to address blockages",NA,,"Previous Delivery Agreements concluded at the end of 2023/24 (March 2024), in which Quater1 reports were submitted.",The OoP is currently collaborating with departments to develop a new set of Delivery Agreements that are informed by the MTDP and SOPA. ,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Subprogramme 3.10: GEYODI and MVO (Youth Development),Quarterly,Number of reports on the implementation of the Gauteng Integrated Youth Development Strategy,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",0,,1,"

1",0,,1,"

1",2,2,,,,,N/A,N/A,,Not applicable,Not applicable,,,,,N/A,N/A,Target achieved.,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Sub-programme 3.11: Service Delivery and Integrity Management,Annually,Number of assessments of compliance to ethics and anti-corruption legislation and policy prescripts in GPG,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,,N/A,N/A,,,,,,,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Sub-programme 3.11: Service Delivery and Integrity Management,Quarterly,Number of monitoring reports on vetting of officials in high-risk areas (SOPA) (Moved from Programme 1 to Programme 3),Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",1,1,1,,1,1,1,1,4,3,,,,,N/A,N/A,,,,,N/A,N/A,Target achieved.,N/A,N/A,Target achieved.,Four (4) monitoring reports on vetting of officials in high-risk areas,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Sub-programme 3.11: Service Delivery and Integrity Management,Quarterly,Percentage of fraud and corruption cases reported to the law enforcement agencies for criminal investigation,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",90 %,50 %,90 %,100 %,90 %,100 %,90 %,"

100 %",90 %,100 %,,,,,"The total number of recommendations is two (2). Both the matters have been referred to the Law Enforcement Agencies, however, a case number has not yet been created on one matter as it was referred on 25 June 2024. Only one case number has been created for one matter.",Encourage the relevant department to follow up with the relevant Law Enforcement Agency to ensure the case number is created.,Target not achieved. ,The Office of the Premier is continuously working with GPG departments to ensure that all recommendations of the final forensic investigating reports are implemented.,Not applicable,,Departments are continuously supported to ensure that they implement the recommendations of the forensic investigation reports. The Chief Directorate: Integrity Management continuously reminds departments to implement recommendations that should be referred to LEAs.,N/A,,The Chief Directorate: Integrity Management is continuously reminding departments to implement recommendations of the final forensic investigating reports. ,N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Sub-programme 3.11: Service Delivery and Integrity Management,Quarterly,Percentage of reported fraud and corruption cases finalised,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",85 %,93 %,85 %,99 %,80 %,85 %,80 %,87 %,80 %,87 %,,,,,"The reason for
over-achievement
is because of
prioritization of NACH cases that have been
allocated to departments and Provincial Forensic Audits unit
",N/A,,"The Provincial Forensic Audits (PFA) received a total of seven (7) new National Anti-Corruption Hotline (NACH) cases from the Office of Public Service Commission (PSC) from 01 July to 30 September 2024 for Quarter 2.
Zero (0) cases were received in July 2024, four (4) new cases were received in August 2024 and three (3) new cases were received in September 2024, resulting in a total of 576 (99%) cases being closed on the database and 5 (1%) cases that are still outstanding (as of 30 September 2024)  ",Not applicable,,"The Provincial Forensic Audits (PFA) received a total of 477 cases from the National Anti-Corruption Hotline (NACH), Ethics Hotline and from the Gauteng Provincial Departments for the period 01 April 2017 to 31 December 2024. Of 477 cases, 408 (85%) cases have been finalized and closed on PFA's database, and 69 (15%) cases are still pending finalization (as of 31 December 2024). ",N/A,,"The Provincial Forensic Audits (PFA) received a total of ten (10) new cases between 01 January - 31 March 2025. Of the ten (10) cases six (6) cases have been referred to Gauteng Provincial Departments for investigation and four (4) are pending finalization by PFA. Furthermore, PFA finalized nine (9) cases in Quarter 4.",N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Sub-programme 3.11: Service Delivery and Integrity Management,Quarterly,Percentage value of assets lost through financial misconduct recovered,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0 %,,0 %,,0 %,,17 %,"

59 %",17 %,59 %,,,,,N/A,N/A,,,,,,,,The Office of the Premier is working with the Asset Forfeiture Unit to facilitate the recovery through the Special Tribunal at the Special Investigating Unit.,N/A,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Sub-programme 3.12: Delivery Support Unit,Annually,Default ,Not Applicable,Not  Applicable,Not Applicable,"Safety, Social Cohesion and Food Security",Not Applicable,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Sub-programme 3.12: Delivery Support Unit,Annually,Number of Delivery Agreements between Premier and each MEC (New indicator),Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,10,0,,,10,0,,The process of developing and approving the MTDP (2024/2029)  has resulted in delays of finalising the Delivery Agreements for sign-off,"The signing of the Delivery Agreements is anticipated to be finalised by April 2025, as announced by the Premier",,,,,,,,,,,,,,10 Delivery Agreements between Premier and MEC signed,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,Sub-programme 3.12: Delivery Support Unit,Annually,Number of progress reports on Delivery Agreements (New Indicator),Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,1,0,1,0,,The finalization of MECs Delivery Agreements in October 2024 was impacted by the postponement of the adoption of the national MTDP by the Cabinet to February 2025 and the review of the provincial MTDP priority interventions and targets to align to the MTEF. This has led to delays in the adoption of the provincial MTDP and finalization of MECs Delivery Agreements to the new financial year and invariable impacting on the developing of progress reports on Delivery Agreements for the financial year that ended 31 March 2025.,The adoption of the provincial MTDP and finalization of MECs Delivery Agreements entered into the EXCO system for conclusion by end of this cycle with the 2025/26 first quarter report on MECs Delivery Agreements planned for end of June 2025,,,,,,,,,,,,,,One (1) report on progress against delivery agreement targets,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,"Sub-programme 3.13: Strategic Planning, Performance Monitoring and Evaluation",Annually,"Number of assessments of the alignment of GPG departments plans to the national, provincial priorities and to the Revised Framework for Strategic Plans and Annual Performance Plans",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,2,2,2,2,,N/A,N/A,,,,,,,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,"Sub-programme 3.13: Strategic Planning, Performance Monitoring and Evaluation",Annually,Number of end of term reports produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,,N/A,N/A,,,,,,,,,,,,,,,118
,Gauteng: Office of the Premier,Gauteng,Programme 3: Policy and Governance,"Sub-programme 3.13:Strategic Planning, Performance Monitoring and Evaluation",Quarterly,Number of evaluation studies undertaken,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,1,0,0,,1,2,2,2,,,,,,,,"Procurement documents for the appointment of service provider were completed and handed over to the RFQ team for request for quotations. 
Request for quotations issued and only one potential service provider responded as of 20 August.  ",RFQs were re-advertised for the second time with the closing date 18th September 2024 and we were able to receive 6 bids from potential service providers which will be evaluated in the 3rd quarter.,,,,,The evaluation planned for Q2 was subsequently achieved in Q4.,N/A,,,118
