Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q3,OTP_Q1,UID
Basic Education,Education,Free State,Programme 5:  Early Childhood Development,Sub-Programme 5.3: Pre-Grade R in Early Childhood Development Centres,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 5:  Early Childhood Development,Sub-Programme 5.3: Pre-Grade R in Early Childhood Development Centres,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 5:  Early Childhood Development,Sub-Programme 5.4: Human Resource Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 5:  Early Childhood Development,Sub-Programme 5.4: Human Resource Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 5:  Early Childhood Development,Sub-Programme 5.5: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 5:  Early Childhood Development,Sub-Programme 5.5: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Output Indicator 601: Number of public schools provided with water infrastructure ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,8,,8,,18,"More schools  were provided with alternative sources of water. This is due to schools continuously experiencing challenges with infrequent water supply from municipalities.
",N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Output Indicator 602: Number of public schools provided with electricity infrastructure ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,13,,13,,14,"More schools  were provided with alternative sources of power to mitigate power cuts experienced from municipalities and to ensure that all secondary schools offering technical subjects are not affected during exams.
",N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Output Indicator 603: Number of public schools supplied with sanitation facilities ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,13,,13,,18,"More schools were provided with additional sanitation to compensate the high learner intake, schools experience overcrowding which in the end affect number of toilets available for sanitation purposes. 
",N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Output Indicator 604: Number of schools provided with new or additional boarding facilities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,1,,1,,1,N/A,N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Output Indicator 605: Number of schools where scheduled maintenances projects were completed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,30,,30,,46,"Achieved more targets to address the backlog and to ensure learning and teaching takes place in conducive environments as per the norms & standards. 
",N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Output Indicator 606: Number of Security Fences constructed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,50,,50,,54,Provision was done within the budget to ensure schools meet the norms and standards.,N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Output Indicator 607: Number of schools where NEIMS Assessments were completed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,72,,72,,73,EFMS forms were captured on the system.,N/A,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Sub-Programme 6.1: Administration,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Sub-Programme 6.1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Sub-Programme 6.3: Special Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Sub-Programme 6.3: Special Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Sub-Programme 6.4: Early Childhood Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 6:  Infrastructure Development,Sub-Programme 6.4: Early Childhood Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 701: Percentage of learners who passed National Senior Certificate (NSC) examination,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,85 %,,85 %,,91,"Targeted interventions in Grade 12 yielded good results
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 702: Percentage of Grade 12 learners passing at the Bachelor pass level,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,40 %,,40 %,,48.2,"Targeted interventions in Grade 12 yielded good results
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 703: Percentage of Grade 12 learners achieving 60% and above in Mathematics ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,15 %,,15 %,,16.2,"Targeted interventions in Grade 12 yielded good results
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 704: Percentage of Grade 12 learners achieving 60% or more in Physical Science,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,18 %,,18 %,,13.8,"Fewer learners achieved at the set target in Physical Science.
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 705: Number of secondary schools with National Senior Certificate (NSC) pass rate of 60% and above,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,320,,320,,352,"Targeted interventions in Grade 12 yielded good results
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 706: Percentage of Grade 12 learners who pass Engineering Graphics Design (EGD),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,88 %,,88 %,,94.4,"Targeted interventions in Grade 12 yielded good results
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 707: Percentage of Grade 12 learners who pass Arts subjects,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,94 %,,94 %,,94.6,"Targeted interventions in Grade 12 yielded good results
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 708: Percentage of Grade 12 learners passing Technical subjects (excluding Technical Maths and Science) ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,95 %,,95 %,,98.7,"Targeted interventions in Grade 12 yielded good results
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 709: Percentage of Grade 12 learners passing Technical Maths,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,85 %,,85 %,,97.1,"Targeted interventions in Grade 12 yielded good results
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Output Indicator 710: Number of Public Primary Schools where at least 60% of Grade 6 learners perform at level 4 and above in both EFAL and Mathematics,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,300,,300,,347,"Targeted interventions in resulted in overachievement of the set target.
",,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.1: Payments to SETA,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.1: Payments to SETA,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.2: Professional Services ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.2: Professional Services ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.3: External Examinations,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.3: External Examinations,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: Special Projects,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: Special Projects,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.5: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Basic Education,Education,Free State,Programme 7: Examination and Education Related Services,Sub-Programme 7.5: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,"1.1 Strategic Planning, Monitoring and Evaluation and Service Delivery Improvement",Quarterly,Number of entity oversight sessions concluded,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,N/A,NA,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,,,Achieved.,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,"1.1 Strategic Planning, Monitoring and Evaluation and Service Delivery Improvement",Quarterly,Number of predetermined objective verifications completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,N/A,N/A,,n/a,n/a,,n/a,n/a,Achieved,,n/a,n/a,,n/a,n/a,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,"1.1 Strategic Planning, Monitoring and Evaluation and Service Delivery Improvement",Quarterly,Number of programmes/projects assessed with recommendations,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",10,14,14,"16
",16,0,10,19,50,49,50,N/A,N/A,,Additional four (4) enterprises were assessed due to close proximity.,n/a,,"Additional two (2) were 
assessed due to close proximity
",n/a,,,Assessments were postponed to Q4 in order to strengthen combined assurance with Internal Audit. ,To be achieved in Q4.,,"Additional  assessments were conducted in order to meet the annual target.
.",n/a,Achievement noted.,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.2 Security and Anti-Fraud,Annually,Number of cases investigation conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,3,1,3,1,1,"Target is demand driven
",n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.2 Security and Anti-Fraud,Annually,Number of identified fraud and corruption cases referred to SAPS,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,3,0,3,0,0,Target is demand driven,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.2 Security and Anti-Fraud,Annually,Number of life style audits conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,n/a,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.2 Security and Anti-Fraud,Quarterly,Number of campaigns on ethics conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,4,1,"4
",1,1,1,1,4,10,9,Due to several managers from outlying offices who had to be re-trained on the disclosure system.,N/A,,Follow up trainings were conducted for ASD officials in preparation for disclosure.,n/a,,Managers are working from different stations of the province and had to be trained on how to utilize the financial e-disclosure system. It was impossible to put them in one venue for training.,n/a,,,n/a,n/a,,n/a,n/a,Achievement noted.,,Achieved.,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.2 Security and Anti-Fraud,Quarterly,Number of fraud and anti-corruption campaigns conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,N/A,N/A,,n/a,n/a,,n/a,n/a,Achieved,,n/a,n/a,,n/a,n/a,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.2 Security and Anti-Fraud,Quarterly,Number of reports on Financial Disclosure developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,0,0,0,0,2,2,2,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,Not planned for the quarter.,,Not planned for the quarter.,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.3 Internal Audit and Risk Management,Annually,Number of Strategic risk register aligned to the Department’s strategic outcomes,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,n/a,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.3 Internal Audit and Risk Management,Quarterly,Number of strategic documents developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,0,0,0,0,0,0,3,3,3,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,Not planned for the quarter.,,Not planned for the quarter.,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.4 Supply Chain Management,Annually,Number of consolidated procurement plans developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,n/a,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.4 Supply Chain Management,Quarterly,Percentage of valid invoices paid within 30 days,Standardized,Max,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,N/A,N/A,,n/a,n/a,,n/a,n/a,Achieved,,n/a,n/a,,n/a,n/a,,,Achieved,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.4 Supply Chain Management,Quarterly,Percentage procurement allocated to female suppliers,Non-Standardized,Min,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",40 %,33 %,40 %,29 %,40 %,42 %,40 %,41 %,40 %,29 %,40,N/A,N/A,,Reason for deviation was not provided by the responsible manager.,Non-compliance has been reported to the Accounting Officer for intervention.,,CSD challenges,n/a,Achieved,,,n/a,,n/a,n/a,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.5  Corporate Services,Quarterly,Number of Health Risk Assessment (HRA) Campaigns conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,0,0,1,1,0,0,2,2,2,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,Not scheduled for the quarter.,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.5  Corporate Services,Quarterly,Number of HIV Testing Services (HTS) Campaigns conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,0,0,1,1,0,0,2,2,2,N/A,N/A,,n/a,n/a,,n/a,n/a,Not planned for the quarter,,n/a,n/a,,n/a,n/a,,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.5  Corporate Services,Quarterly,Number of OHS audits completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,2,0,0,0,0,1,2,2,The 2nd report was derived from  inspections done by OHS representatives from different components.,N/A,,n/a,n/a,,"The 2nd report was withdrawn from the inspections done by OHS representative from different components.

",n/a,Achieved,,n/a,n/a,,n/a,n/a,,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.5  Corporate Services,Quarterly,Number of service integration surveys concluded,Non-Standardized,Min,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,1,0,0,1,1,0,1,N/A,N/A,,n/a,n/a,,n/a,n/a,Due in quarter 3,,,n/a,,n/a,n/a,Not scheduled for the quarter.,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.5  Corporate Services,Quarterly,Number of training programmes conducted to ensure competent workforce,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,2,8,4,3,2,6,8,17,18,"Due to collaborations with internal &external stakeholders.
",N/A,,n/a,n/a,,"Due to collaborations with internal and external stakeholders.
",n/a,Achieved,,"Annual target already achieved in quarter 2.
",n/a,,"Due to collaborations with internal &external stakeholders.
",n/a,,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.6 Communication and ICT,Quarterly,% of DESTEA offices with fully functional network connectivity ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",25 %,0 %,35 %,0 %,45 %,0 %,60 %,0 %,60 %,0 %,25,Budget constraints and SITA delays.,Alternative budget allocations are being investigated. Continuous follow-up with SITA.,,Due to insufficient/incomplete information.,SOP and complete report to be provided,,"
Budget constraints
",To be reported in Q3 upon finalization of the resolutions between DESTEA and Vox.,,,"A submission requesting that funds/budget be made available for connectivity project for resorts and reserves phase 2 was submitted to the CFO and HOD but due to budgeting constraints the funds were not made available.
",n/a,,"Budget constraints and SITA delays.
",Alternative budget allocations are being investigated. Continuous follow-up with SITA.,Performance noted. ,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.6 Communication and ICT,Quarterly,Number of communication strategies implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,0,0,0,0,0,0,0,1,0,1,N/A,N/A,,Informed by the MEC's Budget Vote Injunctions which did not materialize due to an election period.,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.6 Communication and ICT,Quarterly,Number of departmental business processes modernized,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,1,0,1,2,2,2,2,N/A,N/A,,n/a,n/a,,n/a,n/a,,,"The modernization plan was presented to the EMT as requested by the HOD and the I.T. Steering Committee Chairperson, the modernization plan will be endorsed by the EMT upon costing.
",n/a,,"Additional business process was modernized in Q4 in order to meet the annual target.
",n/a,Performance noted.,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,1.6 Communication and ICT,Quarterly,Number of modernization plans approved,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,0,0,0,0,0,0,0,1,0,1,N/A,N/A,,"Plan not yet approved, as it first needs to be presented to the EMT which has not happened yet.",Plan to be presented to EMT for approval.,,n/a,n/a,,,n/a,n/a,,Modernization plan was approved in Q4.,n/a,,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 1:  Administration ,"1.7 Fleet, Facilities and Asset Management",Quarterly,Number of consolidated asset registers developed,Non-Standardized,Min,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,1,0,0,1,1,0,1,N/A,N/A,,n/a,n/a,,n/a,n/a,Due in quarter 3,,"The Q3 target could not be achieved due to ongoing due diligence.
",n/a,,The Consolidated Asset Register was concluded in Q4,n/a,The reason for deviation provided is noted,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.1 Environmental Policy Planning and Coordination,Annually,Number of climate change response interventions implemented   ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,2,4,2,4,4,"Due to invitations received. 
",n/a,,,,,,,,,,,,,,,,,,230
