ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   National Treasury, Office of the Chief Justice, Office of the Public Service Commision, Planning, Monitoring and Evaluation, Public Enterprises",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:47:53 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
National Treasury,National Treasury,National,"Programme 7: Civil and Military Pensions, Contributions to Funds and Other Benefits","Programme 7: Civil and Military Pensions, Contributions to Funds and Other Benefits",Quarterly,7.1.1 Percentage of benefits validated paid within liable dates,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,99 %,100 %,Over-performance is attributed to continuous monitoring of production statistics and maintain the momentum of the team performance.,N/A,,,99 %,,,,,,99 %,,,,,,99 %,,,,,,99 %,100 %,,,,,,,178
National Treasury,National Treasury,National,"Programme 7: Civil and Military Pensions, Contributions to Funds and Other Benefits","Programme 7: Civil and Military Pensions, Contributions to Funds and Other Benefits",Quarterly,7.1.3 Percentage integrity of client data,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,99 %,99.99 %,"Over-performance is attributed to continuous monitoring of programme membership, identifying exceptions and addressing them promptly.",N/A,,,99 %,,,,,,99 %,,,,,,99 %,,,,,,99 %,0 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Annually,Audit outcome for the OCJ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,"Clean Audit
outcome for the
2022/23
Financial Year",,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Annually,Percentage of vacant posts on funded establishment,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,10 %,,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of procurement of goods and services above R500 000 awarded to suppliers who meet the specific goals,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0 %,,,,,,30 %,,,,,,0 %,,,,,,50 %,,,,,,80 %,0 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of designated employees (SMS members & other categories)who submitted financial disclosures within timeframes,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100 %,100 %,None,N/A,,,100 %,,,,,,0 %,,,,,,0 %,,,,,,100 %,100 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of staff in the Department comprised of youth,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,30 %,30 %,None,N/A,,,30 %,,,,,,30 %,,,,,,30 %,,,,,,30 %,30 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of women representation in Senior Management Service (SMS),Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0 %,,,,,,48 %,,,,,,0 %,,,,,,50 %,,,,,,50 %,0 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of people with disabilities representation in the Department,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0 %,,,,,,1.5 %,,,,,,0 %,,,,,,2 %,,,,,,2 %,0 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of Service Centres with Court Online system rolled-out,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,0," Due to ongoing stability issues with the Court Online system, the system in its current form cannot be rolled out to other Service Centres.","Various meetings took place between OCJ, SITA and Microsoft, where Microsoft indicated that their participation is dependent on their resource availability.
The OCJ and SITA then worked on a stabilisation plan which SITA presented to the OCJ on 02 June 2023. Successful Implementation of the stabilisation plan will result in the continuation of rollout of Court Online
",,,2,,,,,,2,,,,,,2,,,,,,7,0,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of Employee Health and Wellness (EHW) programmes implemented within the OCJ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,3,6,There was a need for psychosocial session across the OCJ resulting in multiple request.,N/A,,,3,,,,,,3,,,,,,3,,,,,,12,6,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of staff trained in line with the Workplace Skills Plan (WSP) ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0 %,,,,,,50 %,,,,,,60 %,,,,,,70 %,,,,,,70 %,0 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of reported fraud cases investigated within 60 working days,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0 %,,,,,,75 %,,,,,,0 %,,,,,,75 %,,,,,,75 %,0 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of Fraud Prevention and Anti-Corruption awareness sessions conducted,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,,,,,,9,,,,,,9,,,,,,8,,,,,,26,0,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,ICT Disaster Recovery Strategy implemented,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Draft ICT Disaster
Recovery Strategy
developed",Draft ICT Disaster Recovery Strategy developed,None,N/A ,,,"ICT Disaster
Recovery Strategy
approved",,,,,,"Data replication
and testing
finalised",,,,,,"ICT Disaster
Recovery Site
established",,,,,,"ICT Disaster
Recovery Site
established",-,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of COVID-19 OHS inspections conducted within the OCJ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,None ,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of COVID-19 related trainings conducted for designated Safety and Health representatives,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,None,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of COVID-19 compliance reports produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,None,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of COVID-19 pandemic risk mitigation reports produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,None,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Percentage of default judgments finalised by Registrars within 14 days from date of receipt of application,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",76 %,98 %,Improved training and monitoring to measures implemented to sustain achievement of targets. ,N/A,,,76 %,,,,,,76 %,,,,,,76 %,,,,,,76 %,98 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Percentage of taxations of legal bills of costs finalised within 60 days from date of set down,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",85 %,99.5 %,Improved training and monitoring to measures implemented to sustain achievement of targets. ,N/A,,,85 %,,,,,,85 %,,,,,,85 %,,,,,,85 %,0 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Percentage of warrants of release (J1) delivered within one day of the release issued,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,None,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Number of monitoring reports on Law Reporting Project produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,None,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Number of Judicial Case Flow Management performance reports produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,None,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 2: SUPERIOR COURT SERVICES,Sub-Programme 1: Administration of Superior Courts,Quarterly,Number of reports on enhancement of court order integrity produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,None,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of judicial education courses conducted,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",47,32,Webinars cancelled and/or postponed due to connectivity challenges caused by loadshedding,"Plans underway to convert some of the webinars to in person training, subject to availability of funds",,,35,,,,,,20,,,,,,13,,,,,,115,32,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of research monographs on judicial education produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,,,,,,1,,,,,,0,,,,,,1,,,,,,2,0,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of monitoring reports on the management of litigations produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,None,N/A,,,1,,,,,,1,,,,,,2,,,,,,5,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of reports on judicial appointments and judicial complaints produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,None,N/A,,,0,,,,,,1,,,,,,1,,,,,,3,1,,,,,,,178
Office of the Chief Justice,Office of the Chief Justice,National,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,PROGRAMME 3: JUDICIAL EDUCATION AND SUPPORT,Quarterly,Number of reports on the status of disclosures for Judges Registrable Interests produced,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,,,,,,1,,,,,,0,,,,,,1,,,,,,2,0,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Approval of PSC functional structure,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,PSC Functional Structure Approved,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Audit Opinion,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,Unqualified Audit Opinion,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Submission of the PSC Bill to Parliament,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,PSC Bill Submitted to Parlaiment,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Number of reports on skills audit approved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of B-BBEE suppliers appointed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,60 %,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of processes automated,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0,,,,,,0,,,,,,0,,,,,,2,,,,,,2,0,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of reports on stakeholder outreach programmes coordinated,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,None,None required. ,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage maintenance of the vacancy rate,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,10 %,8.6 %,None,None required.,,,10 %,,,,,,10 %,,,,,,10 %,,,,,,10 %,0 %,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of valid invoices paid within 30 days of receipt,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100 %,100 %,None,None required,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Annually,"Number of own accord investigative reports produced as contemplated in section 196(4) (f) (iii) and (iv) of the Constitution, 1996",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Annually,"Number of reports produced on leadership and human resource management, public sector reform and professionalization.",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Quarterly, Number of reports on grievance management and the efficiency of the grievance procedure in the Public Service produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0,,,,,,1,,,,,,1,,,,,,1,,,,,,3,0,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Quarterly,Number of strategic engagements conducted on the implementation of PSC recommendations with targeted departments,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0,,,,,,4,,,,,,4,,,,,,2,,,,,,10,0,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Quarterly,Percentage of all registered levels 2-12 grievances concluded within 30 working days of receipt of all relevant information,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,60 %,77 %,None,"Due to the increase of capacity after the appointment of interns to assist with the grievance cases
Additional support provided to Provincial Offices that had more grievance cases
",,,70 %,,,,,,80 %,,,,,,85 %,,,,,,85 %,77 %,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 2: Leadership and Management Practices,Programme 2: Leadership and Management Practices,Quarterly,Percentage of all registered SMS grievances concluded within 45 working days of receipt of all relevant information,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,60 %,100 %,None,"Due to the increase of capacity after the appointment of interns to assist with the grievance cases
Additional support provided to Provincial Offices that had more grievance cases
",,,70 %,,,,,,80 %,,,,,,85 %,,,,,,85 %,100 %,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 3: Monitoring and Evaluation,Programme 3: Monitoring and Evaluation,Annually,Approval of implementation plan for the National Framework Towards the Professionalization of the Public Sector,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,Approved Implementation Plan for the National Framework Towards the Professionalization of the Public Sector,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 3: Monitoring and Evaluation,Programme 3: Monitoring and Evaluation,Annually,Number of reports produced on the National Advocacy Campaign on the CVPs,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 3: Monitoring and Evaluation,Programme 3: Monitoring and Evaluation,Annually,Number of  approved Section 196 (4) (e) Report produced,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 3: Monitoring and Evaluation,Programme 3: Monitoring and Evaluation,Annually,Number of position papers produced on public administration -practices,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 3: Monitoring and Evaluation,Programme 3: Monitoring and Evaluation,Annually,Number of studies conducted on the effectiveness of government support for service delivery focusing on government accommodation and ICT  ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 3: Monitoring and Evaluation,Programme 3: Monitoring and Evaluation,Quarterly,Number of reports on the performance of departments produced,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,None,None required,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 3: Monitoring and Evaluation,Programme 3: Monitoring and Evaluation,Quarterly,Number of Citizens forums conducted,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,3,None,The quarter target was exceeded by 2 targets due to the key stakeholders agreeing to conduct Citizens Forum earlier ,,,2,,,,,,3,,,,,,3,,,,,,9,3,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 3: Monitoring and Evaluation,Programme 3: Monitoring and Evaluation,Quarterly,Number of reports on service delivery inspections approved,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,,,,,,3,,,,,,4,,,,,,3,,,,,,10,0,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 4: Integrity and Anti-Corruption,Programme 4: Integrity and Anti-Corruption,Annually,"Number of own accord investigation reports as contemplated in section 196(4)(f)(i),(iii) and (iv) of the Constitution, 1996 finalised",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 4: Integrity and Anti-Corruption,Programme 4: Integrity and Anti-Corruption,Annually,Number of oversight reports produced on the implementation of the ethics framework,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 4: Integrity and Anti-Corruption,Programme 4: Integrity and Anti-Corruption,Quarterly,Number of articles on the promotion of professional ethics produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,1,1,None,None required,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 4: Integrity and Anti-Corruption,Programme 4: Integrity and Anti-Corruption,Quarterly,Number of CVP promotional engagements held,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,3,9,The promotion of the CVP was combined with the workshop on the code of conduct and FDF,None,,,3,,,,,,3,,,,,,3,,,,,,12,9,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 4: Integrity and Anti-Corruption,Programme 4: Integrity and Anti-Corruption,Quarterly,Number of engagements conducted on the ethics framework,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,5,33,Both national and provincial offices engaged with the respective departments on various programmes related to ethics management framework,None required,,,5,,,,,,5,,,,,,5,,,,,,20,33,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 4: Integrity and Anti-Corruption,Programme 4: Integrity and Anti-Corruption,Quarterly,Percentage of complaints finalized within 90 working days upon receipt of a valid complaint by an Investigative Officer,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,0 %,,,,,,45 %,,,,,,0 %,,,,,,85 %,,,,,,85 %,0 %,,,,,,,178
Office of the Public Service Commission,Office of the Public Service Commision,National,Programme 4: Integrity and Anti-Corruption,Programme 4: Integrity and Anti-Corruption,Quarterly,Percentage of NACH cases referred within 7 working days of receipt of case report,Not Applicable,Max,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",90 %,100 %,Close monitoring of cases received on a daily basis,None,,,90 %,,,,,,90 %,,,,,,90 %,,,,,,90 %,100 %,,,,,,,178
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,1.1 Departmental Management,Quarterly,Audited Annual Report,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Annual Report
submitted to
Auditor- General
SA by 31 May
2023","Annual Report was submitted to Auditor General SA by 31 May
2023
",None,None,,,"Audited Annual
Report submitted
to National
Treasury and
Parliament by
due date",,,,,,"Present Annual
Report to Parliaments",,,,,,-,,,,,,"Unqualified audit
outcome",-,,,,,,,178
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,"1.2 Risk, Anti-corruption and Integrity Management",Annually,Number of risk assessments conducted to identify potential disaster incidents,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,"1 Disaster Risk
assessment conducted",,,,,,,,178
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,"1.2 Risk, Anti-corruption and Integrity Management",Quarterly,Percentage of designated employees submitting financial disclosures,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100%,"99% compliance in submission of financial interests within the specified time frame of 
30 April 2023

73 out of 74 SMS members complied with the submission of financial interests
",Target missed by a percentage point (1%),"The SMS Financial Disclosure Status Report 2022-2023 indicates two SMS members failed to comply

One SMS member failed to comply with the submission of financial interests within the specified time frame

The other SMS member was erroneously classified under non-submission by the e-Disclosure system

Disciplinary measures had been instituted against the Official through the Labour Relations Unit. Concession granted by the DG was submitted to the DPSA to open the e-Disclosure system for the SMS member",,,100%,,,,,,-,,,,,,-,,,,,,"100% compliance
in submission of
financial interests
by all designated
employees within
the specified time
frames",-,,,,,,,178
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,1.3 Human Resource Management ,Quarterly,Maintain vacancy rate of 10% or below on the recruitment plan,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Fill vacancies
and achieve a
vacancy rate of
10% or below",The average vacancy rate for the quarter is 10%  of funded vacant posts,None,None,,,"Fill vacancies
and achieve a
vacancy rate of
10% or below",,,,,,"Fill vacancies
and achieve a
vacancy rate of
10% or below",,,,,,"Fill vacancies
and achieve a
vacancy rate of
10% or below",,,,,,"Maintain a
vacancy rate
of 10% or less
annually",-,,,,,,,178
