ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   National Treasury, Office of the Chief Justice, Office of the Public Service Commision, Planning, Monitoring and Evaluation, Public Enterprises",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:47:53 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
National Treasury,National Treasury,National,Programme 3: Public Finance and Budget Management,Programme 3: Public Finance and Budget Management,Annually,3.1.5 Percentage of infrastructure plans assessment reports reviewed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,178
National Treasury,National Treasury,National,Programme 3: Public Finance and Budget Management,Programme 3: Public Finance and Budget Management,Quarterly,3.1.1 Published budget legislation and documentation,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,N/A,N/A,N/A,N/A,,,N/A,,,,,,"Adjustments
Appropriation Bill,
AENE and MTBPS
published",,,,,,"Appropriation Bill, ENE
and Budget Review
published",,,,,,"Appropriation Bill,
ENE and Budget
Review published

Adjustments
Appropriation Bill,
AENE and MTBPS
published",-,,,,,,,178
National Treasury,National Treasury,National,Programme 3: Public Finance and Budget Management,Programme 3: Public Finance and Budget Management,Quarterly,3.1.10 Number of quarterly expenditure reports submitted to the Standing Committee on Appropriations,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,1,1,N/A,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
National Treasury,National Treasury,National,Programme 3: Public Finance and Budget Management,Programme 3: Public Finance and Budget Management,Quarterly,3.1.2 Number of Division of Revenue and Division of Revenue Amendment Bills published annually,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,0,0,N/A,N/A,,,0,,,,,,1,,,,,,1,,,,,,2,0,,,,,,,178
National Treasury,National Treasury,National,Programme 3: Public Finance and Budget Management,Programme 3: Public Finance and Budget Management,Quarterly,"3.1.6 Number of catalytic projects approved in spatially targeted areas within metropolitan cities, secondary cities and rural towns",Not Applicable,Not  Applicable,Not Applicable,Not Applicable,8,0,Underperformance is attributed to delays in preparation and submission by municipalities of implementation ready projects from the pipelines,Project selection and prioritisation process has been conducted with a select number of municipalities. Submissions of project proposals by the identified municipalities is expected from end August.,,,9,,,,,,9,,,,,,9,,,,,,35,0,,,,,,,178
National Treasury,National Treasury,National,Programme 3: Public Finance and Budget Management,Programme 3: Public Finance and Budget Management,Quarterly,3.1.7 Number of quarterly financial reports published,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,2,2,N/A,N/A,,,2,,,,,,2,,,,,,2,,,,,,8,2,,,,,,,178
National Treasury,National Treasury,National,Programme 3: Public Finance and Budget Management,Programme 3: Public Finance and Budget Management,Quarterly,3.1.8 Percentage of requests to draft mandatory financial recovery plans responded to within 90 days of receipt,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 3: Public Finance and Budget Management,Programme 3: Public Finance and Budget Management,Quarterly,3.1.9 Percentage of Cabinet memos received commented on,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 4: Asset and Liability Management,Programme 4: Asset and Liability Management,Quarterly,4.1.1 Percentage of complete corporate plans received from Schedule 2 and 3B public entities reviewed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 4: Asset and Liability Management,Programme 4: Asset and Liability Management,Quarterly,4.1.2 Percentage of annual reports received from Schedule 2 and 3B public entities reviewed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
