Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of interventions conducted in institutions of higher learning ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster","2 interventions conducted in institutions of higher 
learning ","2 interventions conducted in institutions of higher 
learning ",Not applicable,Not applicable,Target achieved.,"5 interventions conducted in institutions of higher 

learning ",5 interventions conducted in institutions of higher learning	,Not Applicable,Not Applicable,Target achieved.,"2 interventions conducted in institutions of higher 

learning ",0 interventions conducted in institutions of higher learning,The planned interventions at Eastern and Southern corridors were postponed to the fourth quarter due to unavailability of adequate venues from the identified institutions,"A catch-up plan has been developed, and the outstanding interventions will be conducted in the fourth quarter",Target achieved.,"1 interventions conducted in institutions of higher 

learning ",4 interventions conducted in institutions of higher learning,Additional interventions were conducted as part of the catch-up plan for the target not achieved in the previous quarters,Not Applicable,Target exceeded,10 interventions conducted in institutions of higher learning ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of interventions conducted to support Provincial GBVF structures ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",6 interventions conducted to support provincial GBVF structures ,6 interventions conducted to support provincial GBVF structures ,Not Applicable,Not Applicable,Target achieved.,6 interventions conducted to support provincial GBVF structures ,"7
Interventions conducted to support Provincial
GBVF structures during quarter 2.	","Additional intervention was conducted in response to the unplanned urgent assistance that was required 
",Not Applicable,,6 interventions conducted to support provincial GBVF structures ,6 interventions conducted to support provincial GBVF structures	,Not Applicable,Not Applicable,Target achieved.,6 interventions conducted to support provincial GBVF structures ,8 interventions conducted to support provincial GBVF structures,Additional interventions were conducted to support GBVF structures that required urgent assistance,Not Applicable,Target exceeded,24 interventions conducted to support provincial GBVF structures ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of partnership agreements signed with institutions of higher learning,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",2 partnership agreements signed with institutions of higher learning ,1  partnership agreements signed with institutions of higher learning ,The target was not achieved as the engagements with institutions of higher learning could be concluded due to the exam period and the winter recess.,The engagements are to be concluded in the second quarter and the partnership agreements will be signed during the second quarter,Target not achieved.,2 partnership agreements signed with institutions of higher learning ,"0 partnership agreement signed with institutions of higher learning
","The delay with the internal consultative processes of the institutions of higher learning led to the target not being achieved
","Engagements are at advanced stage and agreements are envisaged to be concluded in the subsequent quarters
",Target achieved.,1 partnership agreements signed with institutions of higher learning ,1 partnership agreements signed with institutions of higher learning	,Not Applicable,Not Applicable,Target achieved.,Not Applicable,3 partnership agreements signed with institutions of higher learning,3 partnership agreements were signed with institutions of higher learning as part of catch-up plan for the targets that were not achieved in the previous quarters,Not Applicable,"No Planned target for Q4, progress noted",5 partnership agreements signed with institutions of higher learning ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of school safety interventions conducted ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",100 school safety interventions conducted ,137 school safety interventions conducted ,The high incidences of substance abuse and violence in schools led to target being exceeded,Not Applicable,,150 school safety interventions conducted ,150 school safety interventions conducted	,Not Applicable,Not Applicable,Target achieved.,100 school safety interventions conducted ,100 school safety interventions conducted	,Not Applicable,Not Applicable,Target achieved.,150 school safety interventions conducted ,181 school safety interventions conducted,Additional school safety interventions were conducted as part of the back-to-school campaign,Not Applicable,Target exceeded,500 school safety interventions conducted ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of social crime prevention programmes implemented per year ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",213 social crime prevention programmes implemented ,213 social crime prevention programmes implemented ,Not applicable,Not applicable,Target achieved.,213 social crime prevention programmes implemented ,"220 social crime prevention Programmes implemented
","Community needs in the Southern corridor necessitated the need to implement additional social crime prevention programmes
",Not Applicable,Target achieved.,212 social crime prevention programmes implemented ,221 social crime prevention programmes implemented,The Department intensified the implementation of the programme as part of the 16 Days of Activism campaign,Not Applicable,Target achieved.,212 social crime prevention programmes implemented ,224 social crime prevention programmes implemented,The Department intensified the implementation of the programmes as part of the safety month and human rights month campaigns,Not Applicable,Target exceeded,850 social crime prevention programmes implemented per year ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Number of Community Patroller teams assessed in line with existing standards ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",27 Community Patroller teams assessed in line with existing standards ,27 Community Patroller teams assessed in line with existing standards ,Not Applicable,Not Applicable,,28 Community Patroller teams assessed in line with existing standards ,28 Community Patroller teams assessed in line with existing standards	,Not Applicable,Not Applicable,Target achieved.,28 Community Patroller teams assessed in line with existing standards ,28 Community Patroller teams assessed in line with existing standards	,Not Applicable,Not Applicable,Target achieved.,27 Community Patroller teams assessed in line with existing standards ,27 Community Patroller teams assessed in line with existing standards,Not Applicable,Not Applicable,Target achieved,110 Community Patroller teams assessed in line with existing standards ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Number of Community Police Forums (CPFs) assessed on functionality per year ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster","36 Community Police Forums (CPFs) assessed on 
functionality ","36 Community Police Forums (CPFs) assessed on 
functionality ",Not Applicable,Not Applicable,Target achieved.,"36 Community Police Forums (CPFs) assessed on 
functionality ",36 Community Police Forums (CPFs) assessed on functionality	,Not Applicable,Not Applicable,Target achieved.,"36 Community Police Forums (CPFs) assessed on 
functionality ",36 Community Police Forums (CPFs) assessed on functionality	,Not Applicable,Not Applicable,Target achieved.,"37 Community Police Forums (CPFs) assessed on 
functionality ",37 Community Police Forums (CPFs) assessed on functionality,Not Applicable,Not Applicable,Target achieved ,145 Community Police Forums (CPFs) assessed on functionality per year ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Number of Community Safety Forums (CSFs) assessed on functionality per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",Not planned for the quarter,Not Applicable,Not Applicable,Not Applicable,,"7 Community Safety Forums (CSFs) assessed on 
functionality ",7 Community Safety Forums (CSFs) assessed on functionality	,Not Applicable,Not Applicable,Target achieved.,"4 Community Safety Forums (CSFs) assessed on 
functionality ",3 Community Safety Forums (CSFs) assessed on functionality	,The assessment of the CSF was not concluded due to the delay in obtaining approvals from the stakeholders from the municipality,The assessment of the outstanding CSF will be concluded in the fourth quarter,Target not achieved.,Not Applicable,	1 Community Safety Forums (CSFs) assessed on functionality per year,1 CSF was assessed as part of the catch-up plan for the target not achieved in Quarter 3,Not Applicable,Q4 progress noted,11 Community Safety Forums (CSFs) assessed on functionality per year ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Number of Patrollers verified,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",2 500 Patrollers verified,2 500 Patrollers verified,Not Applicable,Not Applicable,Target achieved.,2 500 Patrollers verified,2 500 Patrollers verified	,Not Applicable,Not Applicable,Target achieved.,Indicator removed from APP. It is accounted for in the AOP,Indicator removed from APP. It is accounted for in the AOP	,Not Applicable,Not Applicable,Revision noted.,Indicator removed from APP. It is accounted for in the AOP ,Indicator removed from APP to AOP,Indicator removed from APP to AOP,Indicator removed from APP to AOP,Revised ,10 000 Patrollers verified,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Road Safety,Quarterly,Number of Road Safety awareness interventions conducted ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",170 Road Safety awareness interventions conducted ,182 Road Safety awareness interventions conducted ,Target exceeded as a result of request received from other organisations to conduct road safety awareness,Not Applicable,,168 Road Safety awareness interventions conducted ,178 Road Safety awareness interventions conducted	,Target exceeded because of additional awareness interventions conducted to address the rising number of fatalities in the free way that occurs because of informal settlements next to the freeways and busy roads,Not Applicable,Target achieved.,170 Road Safety awareness interventions conducted ,185 Road Safety awareness interventions conducted	,Increase in number of fatalities necessitated the Department to conduct more awareness interventions,Not Applicable,,168 Road Safety awareness interventions conducted ,170 Road Safety awareness interventions conducted,"Target exceeded because of collaborated activities with stakeholders (TMPD, JMPD, and others.)",Not Applicable,Target exceeded,676 Road Safety awareness interventions conducted ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Road Safety,Quarterly,Number of Road Safety Driver education programs conducted ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",72 Road Safety Driver education programs conducted ,77 Road Safety Driver education programs conducted ,"Target exceeded due to requests received from taxi associations and bus companies to conduct workshops for their employees

",Not Applicable,,72 Road Safety Driver education programs conducted ,72 Road Safety Driver education programs conducted	,Not Applicable,Not Applicable,Target achieved.,72 Road Safety Driver education programs conducted ,73 Road Safety Driver education programs conducted	,An additional education programme was conducted at Grasmere as part of the festive season launch facilitated by the Department of Transport,Not Applicable,,71 Road Safety Driver education programs conducted ,72 Road Safety Driver education programs conducted,Target exceeded due to the invitation received from stakeholders,Not Applicable,Target exceeded,287 Road Safety Driver education programs conducted ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Road Safety,Quarterly,Number of Road Safety Pedestrian education programs conducted ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",72 Road Safety Pedestrian education programs conducted,74 Road Safety Pedestrian education programs conducted,"Target exceeded due to additional invitation/requests to conduct education programmes from TMPD and JMPD

",Not Applicable," The department is requested to correct the spelling of ""conducted"" on the Annual and Quarterly Targets.",72 Road Safety Pedestrian education programs conducted,72 Road Safety Pedestrian education programs conducted	,Not Applicable,Not Applicable,Target achieved.,72 Road Safety Pedestrian education programs conducted,73 Road Safety Pedestrian education programs conducted	,Target exceeded due to a joint operation conducted with Cross-border as per the invitation,Not Applicable,,71 Road Safety Pedestrian education programs conducted,73 Road Safety Pedestrian education programs conducted,Target exceeded due to the invitation received from stakeholders,Not Applicable,Target exceeded,287 Road Safety Pedestrian education programs conducted,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Road Safety,Quarterly,Number of schools involved in road safety education programme ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",147 schools involved in road safety education programme ,164  schools involved in road safety education programme ,Requests received from schools to conduct road safety education programme before the winter school holidays led to target being exceeded,Not Applicable,,184 schools involved in road safety education programme ,186 schools involved in road safety education programme	,The Department received additional invitation from SAPS to participate in the school safety programme,Not Applicable,Target achieved.,145 schools involved in road safety education programme ,145 schools involved in road safety education programme	,Not Applicable,Not Applicable,Target achieved.,189 schools involved in road safety education programme ,198 schools involved in road safety education programme,Target exceeded due to Debate and Participatory Educational Techniques workshops conducted during the quarter under review and stakeholder invites,Not Applicable,Target exceeded,665 schools involved in road safety education programme ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",47 compliance inspections conducted ,47 compliance inspections conducted ,Not Applicable,Not Applicable,Target achieved.,47 compliance inspections conducted ,47 compliance inspections conducted	,Not Applicable,Not Applicable,Target achieved.,48 compliance inspections conducted ,48 compliance inspections conducted	,Not Applicable	,Not Applicable	,Target achieved.,48 compliance inspections conducted ,48 compliance inspections conducted,Not Applicable,Not Applicable,Target achieved,190 compliance inspections conducted ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of Crime prevention operations conducted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",24 990 crime prevention operations conducted,30 531 crime prevention operations conducted,Additional operations were conducted to improve police visibility in certain areas and for the presidential inauguration,Not Applicable,,24 990 crime prevention operations conducted,,,,,26 000 crime prevention operations conducted,28 044 crime prevention operations conducted	,Additional crime prevention operations were conducted during the festive season as part of police visibility and the fight against crime and lawlessness,Not Applicable,Revised target noted.,26 000 crime prevention operations conducted,28 236 crime prevention operations conducted,"Additional crime prevention operations were conducted as part of police visibility and the fight against crime and lawlessness
",Not Applicable,Target exceeded,101 980 crime prevention operations conducted,-,,,,,Enhanced crime prevention operations,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of Crime prevention operations conducted supporting other LEAs,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",24 990 crime prevention operations conducted supporting other LEA’s ,30531 crime prevention operations conducted supporting other LEA’s ,Additional operations were conducted to improve police visibility in certain areas and for the presidential inauguration,Not Applicable,,24 990 crime prevention operations conducted supporting other LEA’s ,26 381 crime prevention operations conducted supporting other LEA’s	,Target exceeded because of intensified operations conducted in the fight against crime and lawlessness. The additional operations were also conducted in response to the priority areas as pronounced by the Premier during the SOPA. ,Not Applicable,Target achieved.,24 992 crime prevention operations conducted supporting other LEA’s ,Indicator and target were adjusted in the Revised 2024/25 APP,Not Applicable,Not Applicable,,24 990 crime prevention operations conducted supporting other LEA’s ,Indicator title and target were adjusted on the Revised 2024/25 APP,Indicator title and target were adjusted on the Revised 2024/25 APP,Indicator title and target were adjusted on the Revised 2024/25 APP,Revised,99 962 crime prevention operations conducted supporting other LEA’s ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of Helicopters procured ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Integrated Human Settlements, Basic Services and Land Release","Justice, Crime Prevention and Security cluster",Not Applicable ,Not Applicable,Not Applicable,Not Applicable,,1 Helicopters procured ,0,The Department is participating through the RT61 contract. The RT61 contract is due to expire at the end of October thus the Department resolved to await the awarding of the new RT contract.,Helicopters will be procured in the fourth quarter,Target not achieved.,Not Applicable,Not planned for the quarter,Not Applicable	,Not Applicable	,,1 Helicopters procured ,0 helicopter procured,"The additional helicopters were not procured as the budget must be redirected to other functionaries. The financial status of the province led to the redirection of funds for additional helicopters. Considering the fiscus constraints, it is resolved that 3 existing helicopters are currently sufficient. 
",Not Applicable,Target not achieved,2 Helicopters procured ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of Officials trained as Drone Operators,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",Not Applicable,Not Applicable,Not Applicable,Not Applicable,,30 Officials trained as drone Operators ,0 Officials trained as drone Operators	,The procurement processes for the training service provider took longer than anticipated,TProcurement processes are at an advanced stage. The training will be concluded in the fourth quarter,Target not achieved.,38 Officials trained as drone Operators ,Target revised in the Revised 2024/25 APP	,Not Applicable,Not Applicable,Revised target noted.,Not Applicable,Target was adjusted on the Revised 2024/25 APP,Target was adjusted on the Revised 2024/25 APP,Target was adjusted on the Revised 2024/25 APP,Revised,68 Officials trained as drone Operators ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of Officials trained as drone Operators,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",Not Applicable,Not Applicable,,,,30 Officials trained as drone Operators ,,,,,Not Applicable,Not planned for the quarter,Not Applicable	,Not Applicable	,,38 Officials trained as drone Operators ,0 Officials trained as drone Operators,Training preparation took longer than anticipated because of the complexity and extensiveness of the programme which requires detailed assessment of the trainees to ensure successful completion of the training,The officials are undergoing training and will conclude their training in the 2025/26 financial year,Target not achieved,68 Officials trained as drone Operators ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of patrol vehicles procured,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",Not planned for the quarter,Not Applicable,Not Applicable,Not Applicable,,Not planned for the quarter,,,,,Not planned for the quarter,Not planned for the quarter	,Not Applicable,Not Applicable,,101 patrol vehicles procured,0 patrol vehicles procured,Target pre-achieved in previous quarters,"Not Applicable
",Target not achieved,101 patrol vehicles procured,-,,,,,Improved policing,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of patrol vehicles procured,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",Not planned for the quarter,39 patrol vehicles procured,"The procurement process for the vehicles were concluded earlier than anticipated in line with the provincial priority to increase police visibility. The procurement is within the allocated budget

",Not Applicable,,Not Applicable,Not Applicable	,Not planned for the quarter ,Not planned for the quarter ,,50 patrol vehicles procured ,Target revised in the Revised 2024/25 APP	,Not Applicable,Not Applicable,Revised target noted.,51 patrol vehicles procured ,Target was adjusted on the Revised 2024/25 APP,Target was adjusted on the Revised 2024/25 APP,Target was adjusted on the Revised 2024/25 APP,Revised,101 patrol vehicles procured ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Number of reports compiled on motor vehicles monitored through e-Toll gantries ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",1 report compiled on motor vehicles monitored through e-Toll gantries ,1 report compiled on motor vehicles monitored through e-Toll gantries ,Not Applicable,Not Applicable,Target achieved.,1 report compiled on motor vehicles monitored through e-Toll gantries ,1 report compiled on motor vehicles monitored through e-Toll gantries	,Not Applicable,Not Applicable,Target achieved.,1 report compiled on motor vehicles monitored through e-Toll gantries ,1 report compiled on motor vehicles monitored through e-Toll gantries	,Not Applicable	,Not Applicable	,Target achieved.,1 report compiled on motor vehicles monitored through e-Toll gantries ,1 report compiled on motor vehicles monitored through e-Toll gantries,Not Applicable,Not Applicable,Target achieved,4 reports compiled on motor vehicles monitored through e-Toll gantries ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Special Law Enforcement ,Quarterly,Provincial Integrated Command Centre established,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable	,Not planned for the quarter ,Not planned for the quarter ,,Provincial Integrated Command Centre established ,Indicator was removed from the Revised 2024/25 APP and has been deferred to 2025/26 financial year,Not Applicable,Not Applicable,Revised target noted.,Not Applicable,indicator was adjusted on the Revised 2024/25 APP and target was rolled over to 2025/26 financial year as per the project plan,indicator was adjusted on the Revised 2024/25 APP and target was rolled over to 2025/26 financial year as per the project plan,indicator was adjusted on the Revised 2024/25 APP and target was rolled over to 2025/26 financial year as per the project plan,REVISED,Provincial Integrated Command Centre established ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Traffic Law Enforcement,Quarterly,Number of drunken driving operations conducted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",708 drunken driving operations conducted ,708 drunken driving operations conducted,Not Applicable,Not Applicable,Target achieved.,548 drunken driving operations conducted ,548 drunken driving operations conducted	,Not Applicable,Not Applicable,Target achieved.,708 drunken driving operations conducted ,708 drunken driving operations conducted	,Not Applicable,Not Applicable,Target achieved.,551 drunken driving operations conducted ,551 drunken driving operations conducted,Not Applicable,Not Applicable,Target achieved ,2 515 drunken driving operations conducted ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Traffic Law Enforcement,Quarterly,Number of pedestrian operations conducted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",922 pedestrian operations conducted. ,927 Pedestrian operations conducted. ,Additional operations were conducted in response to a high number of fatalities on the N1/N17 route from Golden Highway to Baccleuch interchange,Not Applicable,,722 pedestrian operations conducted. ,723 pedestrian operations conducted.	,Additional joint special pedestrian operation was conducted to address the high pedestrian fatalities on the N1,Not Applicable,Target achieved.,922 pedestrian operations conducted. ,925 pedestrian operations conducted.	,Additional operations were conducted to reduce road fatalities,Not Applicable,,724 pedestrian operations conducted. ,726 pedestrian operations conducted,Additional operations were conducted to curb the increase in pedestrian road fatalities,Not Applicable,Target exceeded,3 290 pedestrian operations conducted ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Traffic Law Enforcement,Quarterly,Number of reckless and negligent driving operations conducted ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",3 143 reckless and negligent driving operations conducted,3165 reckless and negligent driving operations conducted,Additional operations were conducted with the aim of reducing the increase in fatalities  because of reckless and negligent driving,Not Applicable,,2343 reckless and negligent driving operations conducted,2348 reckless and negligent driving operations conducted	,Target exceeded due to additional operations that were conducted to curb road fatalities in the province,Not Applicable,Target achieved.,3143 reckless and negligent driving operations conducted,3 145 reckless and negligent driving operations conducted,Additional operations were conducted to reduce road fatalities,Not Applicable,Target achieved.,2344 reckless and negligent driving operations conducted,2344 reckless and negligent driving operations conducted,Not Applicable,Not Applicable,Target achieved,10 973 reckless and negligent driving operations conducted ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Traffic Law Enforcement,Quarterly,Number of speed operations conducted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",4 990 speed operations conducted,5034 Speed operations conducted,"Target exceeded to ensure that motorist comply with speed regulations to reduce crashes and fatalities caused by speeding
",Not Applicable,,4 188 speed operations conducted,4 188 speed operations conducted	,Not Applicable,Not Applicable,Target achieved.,4 988 speed operations conducted,4 992 speed operations conducted,Additional operations were conducted to reduce road fatalities,Not Applicable,Target achieved.,4189 speed operations conducted,4266 speed operations conducted,Additional operations were conducted to curb road fatalities caused by excessive speeding,Not Applicable,Target exceeded,18 355 speed operations conducted ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Traffic Law Enforcement,Quarterly,Number of vehicles stopped and checked,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",371 049 vehicles stopped and checked,371 765 vehicles stopped and checked,Increase in road fatalities and crime necessitated the need to increase the stop and check of the vehicles to determine driver and vehicle fitness and address offences related to crime.,Not Applicable,,371 047 vehicles stopped and checked,371 924 vehicles stopped and checked	,Increase in road fatalities and crime necessitated the need to increase the stop and check of the vehicles to determine driver and vehicle fitness and address offences related to crime,Not Applicable,Target achieved.,371 047 vehicles stopped and checked,371 049 vehicles stopped and checked	,Additional operations were conducted to reduce road fatalities,Not Applicable,Target achieved.,371 047 vehicles stopped and checked,371 047 vehicles stopped and checked	,Not Applicable,Not Applicable,Target achieved ,1 484 190 vehicles stopped and checked. ,-,,,,,,67
Police, Safety and Liaison,Gauteng,Programme 3: Traffic Management ,Transport Inspectorate,Quarterly,Number of law enforcement operations targeting learner transport conducted ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",221 law enforcement operations targeting learner transport conducted ,221 law enforcement operations targeting learner transport conducted ,Not Applicable,Not Applicable,Target achieved.,121 law enforcement operations targeting learner transport conducted ,121 law enforcement operations targeting learner transport conducted	,Not Applicable,Not Applicable,Target achieved.,121 law enforcement operations targeting learner transport conducted ,121 law enforcement operations targeting learner transport conducted	,Not Applicable,Not Applicable,Target achieved.,221 law enforcement operations targeting learner transport conducted ,221 law enforcement operations targeting learner transport conducted,Not Applicable,Not Applicable,Target achieved,684 law enforcement operations targeting learner transport conducted ,-,,,,,,67
