Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q2,DesiredPerformance,UID
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Annually,POI 2.27: Number of schools provided with Grade 3 indigenous reading material ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,15,15,15,15,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Quarterly,POI 2.20: Number of focus schools monitored for implementation of three stream model curriculum,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",26,26,23,23,12,12,0,,61,12,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for  the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target.
",None,None,,"The PED has achieved 100% of the set target for the quarter under review. 
",,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Quarterly,POI 2.25: Number of learners with barriers enrolled in Full Service Schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0 %,,0 %,,700 %,930 %,0 %,,700 %,930 %,,,,,,,,"The PED is not reporting on this indicator for the quarter under review
",,,,Improved implementation of the Screening Identification Assessment and Support policy (SIAS) by educators.,Intensify recording of learners in the SASAMS to ensure that they are identified and support is provided.,,"The PED has achieved 116% of the set target for the quarter under review. The variance is 113.  The PED has provided a reason for the attainment of the set target.  The outcome of the corrective action to be undertaken should be monitored.
",,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Quarterly,POI 2.26: Percentage of screened children with disabilities receiving individualised support.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0 %,,0 %,,100 %,100 %,0 %,,100 %,100 %,,,,,,,,"The PED is not reporting on this indicator for the quarter under review
",,,,"None, all identified learners supported.",None,,"The PED has achieved 100% of the set target for the quarter under review. 
",,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,POI 2.15: Number of teachers with training on inclusion,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",600,639,600,702,0,,600,,1800,0,,,,,Educators trained on various inclusion trainings deviation was due to heightened interest in the training conducted on the diverse gender identities. (40 more educators trained),This is an annual target; the statistics are cumulative and will not affect the annual target.,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 107% of the set target. The variance is 40.  The PED has provided a reason for the attainment of the outcome for the period under review. 
",102 extra teachers were trained,This is an annual target; the stats are cumulative and will not affect the outcome," The outcome for the 2nd  quarter of the 2024/25 financial year is  118% of the set target.  The variance is 109. The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",,,,,,,,"The PED is advised to insert the outcome for the quarter under review.
",,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,POI 2.15: Number of with training on inclusion,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",600,639,600,,0,,400,563,1600,563,,,,,(39 more educators trained against expected target,This is an annual target; the statistics are cumulative and will not affect the annual target.,,,,,,,,,,105 teachers trained on Behaviour Modification through Collaboration with North West University.,Improve on implementation of training plans.,,"The PED has achieved  140,75%  of the set target for the quarter under review.  The variance is 163 rather then 105.  The PED has provided a reason for the   attainment of the target for the quarter under review
",,Learners in public ordinary schools have access to specialised learning support.,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,POI 2.16: Number of  school based teachers  trained on other interventions excluding POIs 2.4 to 2.7,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",800,800,1400,1400,300,,1000,,3500,0,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 100% of the set target.
",,,Managers are encouraged to report adequately  during phase 1 of reporting as per the Provincial and National Reporting guidelines. ,,,,,"The PED is advised to insert the outcome for the quarter under review.
",,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,POI 2.16: Number of  school based teachers  trained on other interventions excluding POIs 2.4 to 2.7,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",800,800,1400,,100,91,700,709,3000,1600,,,,,None,None,,,,,,Training for Q3 were put on hold in prioritising the NSC activities as per circular 25 of 2024. Only TUC programmes were rolled out. The 91 teachers were trained through TUC.,The 9 teachers will be incorporated in Q4.,ndicator that was not achieved to also be included in the Improvement plan,"The PED has achieved 91% of the set target for the quarter under review. The variance is -9.  The PED has provided a reason for the attainment of the set target. The outcome of the corrective action to be taken should be monitored.

",The 9 teachers who were not trained in Q3 (due to implementation of Circular 25-which was suspending all trainings) were incorporated in Q4,"There will be no targets attached in Q3. Annual targets will only be distributed across Q1, 2 & 4.",,"The PED has achieved  101,29%  of the set target for the quarter under review.  The variance is 9.  The PED has provided a reason for the   attainment of the target for the quarter under review
",,Capacity building of teachers to impact on learner’s performance. Skilled teachers,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,POI 2.6: Number of teachers trained in Mathematics content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",300,153,400,547,100,,400,168,1200,168,,,,,Maths Tech and Maths Lit had to be postponed due to preparation for June examinations.,147 Teachers who were not trained in Q1 will be added to Q2 target.,Indicator not achieved to form part of the Improvement plan.,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 51% of the set target. The variance is -147.  The PED has provided a reason for the attainment of the outcome for the period under review. The PED must track the outcome of the corrective action to be undertaken.
",The 547 includes 147 educators who were not trained in Q1.,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 137% of the set target.  The variance is 147. The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",,,Managers are encouraged to report adequately  during phase 1 of reporting as per the Provincial and National Reporting guidelines. ,,Only 168 teachers trained in Mathematics GET & FET. The outstanding 32 teachers could not be incorporated due to insufficient funds.,The 32 teachers will be prioritized in the next financial year- 2025/26.,,"The PED has achieved  42%  of the set target for the quarter under review.   The PED has provided a reason for the   attainment of the target for the quarter under review. The variance is -232 rather then -32, hence the narrative in the reason for deviation should be corrected. The corrective action to be undertaken should be monitored during the 2025/26 financial year.
",,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,POI 2.6: Number of teachers trained in mathematics content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",300,400,400,,100,40,200,,1000,0,,,,,Maths Tech and Maths Lit had to be postponed due to preparation for June examinations.,147 Teachers who were not trained in Q1 will be added to Q2 target.,,,,,,Training for Q3 were put on hold in prioritising the NSC activities as per circular 25 of 2024. Only TUC programmes were rolled out. The 40 teachers were trained through TUC.,The 60 teachers will be incorporated in Q4.,Indicator that was not achieved to also be included in the Improvement plan,"The PED has achieved 40% of the set target for the quarter under review. The variance is -60.  The PED has provided a reason for the attainment of the set target. The outcome of the corrective action to be taken should be monitored.
",,,,"The PED is advised to insert the outcome for the quarter under review.
",,"All teachers to be trained in Mathematics content and methodology. 
The target for the year is to be met or exceeded.
",116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,POI 2.7: Number of teachers trained in Language content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",300,140,800,960,100,,300,200,1500,200,,,,,"EFAL Teachers could not be trained due to accommodation
challenges.
",The 160 teachers who were not trained will be added to Q2 target.,Indicator not achieved to form part of the Improvement plan.,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 47% of the set target. The variance is -160.  The PED has provided a reason for the attainment of the outcome for the period under review. The PED must track the outcome of the corrective action to be undertaken.
",The 960 includes 160 educators who were not trained in Q1.,," The outcome for the 2nd  quarter of the 2024/25 financial year is  120% of the set target.  The variance is 160. The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",,,Managers are encouraged to report adequately  during phase 1 of reporting as per the Provincial and National Reporting guidelines. ,,The output of 200 incorporated the Q3 shortfall of 100,"There will be no targets attached in Q3. Annual targets will only be distributed across Q1, 2 & 4.",,"The PED has achieved  66,67%  of the set target for the quarter under review. The variance is 100   The PED has provided a reason for the   attainment of the target for the quarter under review. The corrective action to be undertaken should be monitored during the 2025/26 financial year.
",,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,POI 2.7: Number of teachers trained in language content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",300,140,800,,100,0,100,,1300,0,,,,,"EFAL Teachers could not be trained due to accommodation
challenges.
",The 160 teachers who were not trained will be added to Q2 target.,,,,,,Training for Q3 were put on hold in prioritising the NSC activities as per circular 25 of 2024.,The 100 teachers will be incorporated in Q4.,ndicator that was not achieved to also be included in the Improvement plan,"The PED has achieved 0% of the set target for the quarter under review. The variance is -100.  The PED has provided a reason for the attainment of the set target.  The outcome of the corrective action to be taken should be monitored.

",,,,"The PED is advised to insert the outcome for the quarter under review.
",,"All teachers to be trained in Mathematics content and methodology. 
The target for the year is to be met or exceeded.
",116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,"Sub-Programme 2.4: School Sport, Culture and Media Services",Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,"Sub-Programme 2.4: School Sport, Culture and Media Services",Quarterly,POI 2.19: Number of events coordinated by school enrichment programmes ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",8,8,14,13,4,3,8,8,34,8,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",Districts were not ready with eliminations,The event has been rescheduled to take place in the Third Quarter," The outcome for the 2nd  quarter of the 2024/25 financial year is  93% of the set target.  The variance is -1 The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",The Event was planned for 4th and 5th October 2024 and unfortunately there were labour unrests at the venue and followed by examinations,,Indicator to be included in the Improvement plan in Q4,"The PED has achieved 75% of the set target for the quarter under review. The variance is -1.  The PED has provided a reason for the attainment of the set target. 
",None,None,,"The PED has achieved 100% of the set target for the quarter under review.   
",Indicator to be included in the Improvement plan for Q2 underperformance. ,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.5: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.17: Percentage of schools producing a minimum set of management documents.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0 %,,0 %,,100 %,70 %,0 %,,100 %,0 %,,,,,,,," The PED is not reporting on this indicator for the quarter under review.
",,,,Inconsistency in following their SOPs to the latter.,"Plans should be put in place and implemented as outlined for monitoring and supporting of schools.
",,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.2: Number of learners in no fee public ordinary schools funded in line with the National Norms and Standards for School Funding,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",746881,750219,0,,746881,,0,,746881,0,,,,,Increase in enrolment of learners,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100,4% of the set target. The variance is 3 338.  The PED has provided a reason for the attainment of the outcome for the period under review. 
",,,,,,Managers are encouraged to report adequately  during phase 1 of reporting as per the Provincial and National Reporting guidelines. ,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.2: Number of learners in no fee public ordinary schools funded in line with the National Norms and Standards for School Funding,Non-Standardized,Max,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",746881,750219,0,,750219,750219,0,,750219,750219,,,,,Increase in enrolment of learners,None,,,,,,None,None,,"The PED has achieved 100% of the set target for the quarter under review
",,,,,,The target of learnersattending no fee schools should be met or exceeded,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.21: Number of schools provided with extra support for the achievement of safety measures,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",30,25,30,35,30,30,30,30,120,30,,,,,"Ngaka Modiri Molema did not monitor 5 schools as planned.
Coordinator still on sick leave.",DLSSS CES in Ngaka Modiri Molema District indicated that they appointed someone who will start in July and He will cover those schools in the next quarters.,Indicator not achieved to form part of the Q1 Improvement plan,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 83% of the set target. The variance is -5.  The PED has provided a reason for the attainment of the outcome for the period under review. The PED must track the outcome of the corrective action to be undertaken. 
",5 schools were not monitored in Quarter 1.,None," The outcome for the 2nd  quarter of the 2024/25 financial year is  117% of the set target.  The variance is 5 The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",None,None,,"The PED has achieved 100% of the set target for the quarter under review. 
",30,None,,"The PED has achieved 100%  of the set target for the quarter under review.  
",,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.22: Percentage of resolved transgressions of school based  violence,Non-Standardized,Average,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",25 %,25 %,25 %,,100 %,100 %,100 %,100 %,100 %,"56,25 %",,,,,None,None,,,,,,None,None,,"The PED has achieved 100% of the set target for the quarter under review. 
",None,None,,"The PED has achieved 100%  of the set target for the quarter under review.  
",,All reported transgressions get resolved,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.22: Percentage of resolved transgressions of school based violence,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",25 %,25 %,25 %,25 %,25 %,,25 %,,100 %,0 %,,,,,Nome,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.   
",None,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 100% of the set target.
",,,Managers are encouraged to report adequately  during phase 1 of reporting as per the Provincial and National Reporting guidelines. ,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.24: Number of schools monitored for piloting of Coding and Robotics curriculum,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",6,6,6,6,0,,0,,12,0,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.   
",None,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 100% of the set target.
",,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.3: Percentage of learners in schools that are funded at a minimum level.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0 %,,0 %,,100 %,100 %,0 %,,100 %,0 %,,,,,,,,"The PED is not reporting on this indicator for the quarter under review.
",,,,None,None,Managers are encouraged to report adequately  during phase 1 of reporting as per the Provincial and National Reporting guidelines. ,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.8: Number of learners provided with sanitary towels,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",92646,0,92646,0,92646,,92646,,92646,0,,,,,The tender process for supply and delivery of sanitary towels is underway. Supply Chain Management envisage to conclude the processes 12 July 2024,"The department has identified 255 575 learners in quintile 1 to 3 and special school eligible to receive sanitary pads. However, 92 646 were targeted due to budget constraints. Therefore, the number of beneficiaries (for quintile 1 to 3) will be increased in order to curb under-performance of quarter 1 of the financial year 2024/2025",Indicator not achieved to form part of the Q1 Improvement plan,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 0% of the set target. The variance is -92 646.  The PED has provided a reason for the attainment of the outcome for the period under review. The PED must track the outcome of the corrective action to be undertaken. It is noted that the PED had problems on reporting on this indicator in the previous financial year.
",The tender process for supply and deliver of sanitary towels is underway. The evaluation report was presented to Bid Adjudication Committee on 27 September 2024. Awaiting the Acting Superintended General approval,"The department has identified 255 575 learners in quintile 1 to 3 and special school eligible to receive sanitary pads. However, 92 646 were targeted due to budget constraints. Therefore, the number of beneficiaries (for quintile 1 to 3) will be increased in order to curb under-performance of quarter 1 and 2 of the financial year 2024/2025"," The outcome for the 2nd  quarter of the 2024/25 financial year is  0% of the set target.  The variance is -92 646 The PED has provided a reason for the attainment of the outcome for the quarter under review. The outcome on this strategic outcome indicator must be tracked for the reminder of the 2024/25 financial year.
",,,Managers are encouraged to report adequately  during phase 1 of reporting as per the Provincial and National Reporting guidelines. ,,,,,"The PED has achieved 100%  of the set target for the quarter under review.   It is however not know if the targets for the other quarters were delivered as the outcome was at 0% in some of the quarters.
",,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programmes 2.1 and 2.2,Quarterly,POI 2.8: Number of learners provided with sanitary towels,Non-Standardized,Max,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",92344,0,92344,,92344,0,92344,92344,92344,92344,,,,,The tender process for supply and delivery of sanitary towels is underway. Supply Chain Management envisage to conclude the processes 12 July 2024,"The department has identified 255 575 learners in quintile 1 to 3 and special school eligible to receive sanitary pads. However, 92 646 were targeted due to budget constraints. Therefore, the number of beneficiaries (for quintile 1 to 3) will be increased in order to curb under-performance of quarter 1 of the financial year 2024/25",,,,,,"SCM has appointed a panel of 46 service providers for supply and delivery of Sanitary towels on a 36-month rotational based contract on the 24 October 2024
16 service providers received orders on 22 November 2024.
",16 Service providers that received orders will be begin delivery in January 2025 when schools reopen.,Indicator that was not achieved to form part of the Improvement plan in Q4,"The PED has achieved 0% of the set target for the quarter under review. The variance is -92344.  The PED has provided a reason for the attainment of the set target. The impact of the non-delivery of sanitary towels should be assessed for the three quarters. Does the orders of the 16 service providers cover all the learners. Further what is the status of the placement of orders for the 30 service providers. In addition, will all the sanitary towels inclusive of those for the other quarters be delivered and paid for before the end of the 2024/25 financial year.
",None,None,,,,Regular attendance by girl learners,116
Basic Education,Education,North West,Programme 3: Independent School Subsidies,Sub Programme 3.1 and 3.2,Annually,POI 3.1: Percentage of registered independent schools receiving subsidies,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,46 %,,,,46 %,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 3: Independent School Subsidies,Sub Programme 3.1 and 3.2,Annually,POI 3.2: Number of learners subsidised at registered independent schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,12500,,,,12500,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 3: Independent School Subsidies,Sub Programme 3.1 and 3.2,Quarterly,POI 3.1: Percentage of registered independent schools receiving subsidies,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0 %,,0 %,,46 %,45 %,0 %,,46 %,0 %,,,,,,,," The PED is not reporting on this indicator for the quarter under review.
",,,,"In quarter 3, Lofdal Christian School dropped its state illegible due to subsidy due to closure of the school permanently.",None,,"The PED has achieved 98% of the set target for the quarter under review.   The PED has provided a reason for the attainment of the set target. 
",,,,,,,116
Basic Education,Education,North West,Programme 3: Independent School Subsidies,Sub Programme 3.1 and 3.2,Quarterly,POI 3.2: Number of learners subsidised at registered independent schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0 %,,0 %,,12500 %,12 007 %,0 %,,12500 %,0 %,,,,,,,," The PED is not reporting on this indicator for the quarter under review.
",,,,Lofdal Christian School has dropped in quarter 3 hence the number reduction on learner statistics.,,,"The PED has achieved 96% of the set target for the quarter under review. The variance is -493.  The PED has provided a reason for the attainment of the set target. 
",,,,,,,116
Basic Education,Education,North West,Programme 3: Independent School Subsidies,Sub Programme 3.1 and 3.2,Quarterly,POI 3.3 (a): Percentage of registered independent schools  monitored (subsidised),Non-Standardized,Average,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,97 %,0 %,,100 %,"74,25 %",,,,,,,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.   
",None,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 100% of the set target.
",One school (Lofdal Christian School) dropped from the illegible state subsidy.,In the next financial year one qualifying school is going to be included to replace Lofdal Christian School.,,"The PED has achieved 97% of the set target for the quarter under review.  The PED has provided a reason for the attainment of the set target. The outcome of the corrective action to be undertaken should be monitored.
",,,,,,,116
Basic Education,Education,North West,Programme 3: Independent School Subsidies,Sub Programme 3.1 and 3.2,Quarterly,POI 3.3 (b): Percentage of registered independent schools monitored (non-subsidised),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",24 %,24 %,28 %,23 %,24 %,24 %,24 %,24 %,100 %,24 %,,,,,,,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.   
",Wrong capturing of the target. The correct target is 23%. The integer is 10 schools out of 42 schools multiplied by 100,Target has to be captured correctly," The outcome for the 2nd quarter of the 2024/25 financial year is  82% of the set target.  The variance is 5 The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",None,None ,,"The PED has achieved  87,5%  of the set target for the quarter under review.  The PED has provided a reason for the attainment  of the quarterly target
",,,116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub Programme 4.1,Annually,POI  4.4: Number of Special schools provided with assistive devices,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,32,32,32,32,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub Programme 4.1,Annually,POI 4.2: Number of therapists/ specialist staff in public special schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,45,30,45,30,,"The transfer out of the province, resignations and the less attraction of qualified candidates to these specialised posts contributes to the vacancy rate.",Request to advertise vacant posts will be done in the 2025/26 financial year.,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub Programme 4.1,Annually,POI 4.2: Number of therapists/ specialist staff in public special schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,"The transfer out of the province, resignations and the less attraction of qualified candidates to these specialised posts contributes to the vacancy rate.",Request to advertise vacant posts will be done in the 2025/26 financial year.,,,,,,,,,,,,,,,,,,"All public special schools to have the requisite number of school-based
professional staff
",116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub Programme 4.1,Quarterly,POI 4.1: Number of learners in public special schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0,,0,,8040,8156,0,,8040,8156,,,,,,,," The PED is not reporting on this indicator for the quarter under review.
",,,,Additional learners were placed in special schools as against the baseline target,Districts to assist schools to ensure that admissions do not exceed the capacity of the school.,,"The PED has achieved 101% of the set target for the quarter under review. The variance is 116.  The PED has provided a reason for the attainment of the set target. 
",,,,,,,116
