Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q2,DesiredPerformance,UID
Basic Education,Education,North West,Programme 1:  Administration,Sub Programme 1.5,Quarterly,POI 1.8:  Number of schools monitored on the integration of ICT in teaching and learningPOI 1.5: Percentage of schools having access to information through Connectivity,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",65,77,45,34,15,15,15,14,140,14,,,,,More schools monitored because of the second and third quarter that are normally a challenge due examinations,None,,"The PED is advised to check the strategic output indicator as it includes POI1.8 and POI 1.5
",More schools were monitored in Quarter 1 due to activities planned during Exam time in quarter 2.    ,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 76% of the set target.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The corrective action to be undertaken should inserted. In addition, there are two indicators that are reported on.
",None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",One POE submitted in Q1 as part of overachievement,N/A,,"The PED has achieved  99,33%  of the set target for the quarter under review.  The variance is -1.  The PED has provided a reason for the   attainment of the target for the quarter under review. 
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub-programme 1.3,Annually,POI 1.15:Number of multi grade schools with access to electronic devices including tablets,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,50,0,50,0,,Delays from SCM and the sudden change of needs by the end user,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub-programme 1.3,Annually,POI 1.17: Number of 6 year old learners enrolled in Education institutions,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,56830,59349,56830,59349,,More learners are enrolled in Education institutions than anticipated.,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub-programme 1.3,Quarterly,POI 1.14: Percentage of Post Audit Action Plan implemented,Non-Standardized,Average,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",100 %,45 %,100 %,50 %,100 %,26 %,100 %,27 %,100 %,37 %,,,,,In the first Quater we have developed the PAAP based on the Prior year findings and the new 2024/25 findings will also be incorporated,None,The indicator should form part of the Quarter 1 improvement plan ,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 45% of the set target. The PED has provided a reason for the attainment of the outcome for the period under review.
",On Implementation phase.,Closely monitoring and report on monthly basis.," The outcome for the 2nd  quarter of the 2024/25 financial year is 0% of the set target.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The outcome of the corrective action to be undertaken should be monitored.
",Slow implementation is due to the amount of work that needs to be performed. It is a lot of work and also going back and correcting prior period errors and misstatements,"In Q3 IFS which is due on 31 January 2025, there will be more actions showing progress. More progress/completion of action will be confirmed after year-end and finalisation of the AFS.",,"The PED is advised to provide an actual output for the quarter under review.
","Slow implementation is due to the amount of work that needs to be performed, for example, correcting prior period errors.",Close monitoring and report on monthly basis.,,"The PED is advised to insert the outcome for the quarter under review.
",The department to report the percentage or the implementation phase of the PAAP. ,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub-programme 1.3,Quarterly,POI 1.9 : Percentage of schools monitored at least once a quarter by district officials,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",100 %,99.95 %,100 %,100 %,100 %,100 %,100 %,"100
 %",100 %,0 %,,,,,"One school in Tswaing LEO, Kilppan Primary School has been closed and merged with Tlhalefang & Uitschort Primary Schools",None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 99,5% of the set target. The PED has provided a reason for the attainment of the outcome for the period under review.
",None,None," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target.
",None,None,,"The PED has achieved 99% of the set target for the quarter under review. The PED has provided a reason for the attainment of the set target. 
",None,None,The department to develop improvement plan for the indicator that  was not achieved in Q4,"The PED has achieved  99,82%  of the set target for the quarter under review.  The variance is -1.  The PED has provided a reason for the   attainment of the target for the quarter under review. 
",,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub-Programme 1.4: Human Resource Development,Annually,POI 1.16: Number of unemployed youth trained in general maintenance of schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,62,,62,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 1:  Administration,Sub-Programme 1.4: Human Resource Development,Annually,POI 1.16: Number of unemployed youth trained in general maintenance of schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eleviation of unemployment and poverty through skilling of youth in general maintenance of schools,116
Basic Education,Education,North West,Programme 1:  Administration,Sub-Programme 1.4: Human Resource Development,Annually,POI 1.7: Number of unemployed youth participating in skills development interventions ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,50,358,50,358,,"308 
The ETDP SETA funded the following programs: 
-200 youth enrolled in Digital Skills Program
- funded 50 interns
- 50 enrolled in ECD Learnership
6 interns received from OTP and 2 funded by Bank SETA
",None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programme 2.1 and 2.2,Annually,POI 2.1: Number of schools provided with multimedia resources,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,25,25,25,25,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programme 2.1 and 2.2,Annually,"POI 2.10: Percentage of learners having English First Additional Language (EFAL) textbooks in Grades 6, and 9 ",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,100 %,95 %,100 %,95 %,,"Dropped out learners not returning books to School.
Increased learner enrolment
Failure to retrieve Textbooks from Learners at the end of the year.

Relocation/ transfer of learners from one school to another
","Schools placed Top Up Orders and received delivery.
Schools will be encouraged to intensify Retrieval strategies.

Coordination of relocation of learners from one school to another to be monitored to ensure that learners move with LTSM to the new school
",,,,,,,,,,,,,,,,,,,116
