Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Number of hospitals implementing the Queue Management System (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,37,2,37,2,,"Target not achieved due to the complexity of the CMJAH patient workflow process and the influx of patient, the hospital decided to follow a phased approached implementation. Phase 1 (Paediatrics Pharmacy and Main Pharmacy) is completed.
	
","We are planning to implement QMS in only two facilities during 2025/26 financial year: Rahima Moosa Hospital and Charlotte Maxeke Johannesburg Academic Hospital (CMJAH). The remaining facilities will be phased in over the next three years.

•  At CMJAH Phase 2 is ongoing and scheduled for completion by May 2025.
",,37,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of budget spent on townships enterprises against identified commodities,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,60 %,19 %,60 %,19 %,,"Target not achieved as the bulk of GDoH procurement is geared towards Original Equipment Manufacturers (OEM’S) for example medical equipment, medical consumables and pharmaceuticals, procured from non-township enterprises.","•	The Department of Economic Development needs to assist in the development of township enterprises to enter the medical commodity market.
•	Contracts for identified commodities >1 000 000 awarded to historically disadvantaged individual owned enterprises. 
•	Support from institutions in meeting PP spend targets
•	Utilization of P Card for purchases <R30 000
",,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of CHCs implementing PACS (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,51 %,18.2 %,51 %,18.2 %,,"Target not achieved. The current low percentage of Community Health Centres (CHCs) implementing PACS is due to several operational and technical challenges:
• Inadequate Devices: Many CHCs lack the necessary hardware to support PACS integration.
•	Isolated Radiology Network: Existing radiology systems are not connected to a centralized network, making integration difficult.
•	Unavailability of Modality Licenses: Required software licenses for imaging modalities are missing, delaying implementation.
",Meetings are now aligned to better track and manage ongoing PACS-related tasks. Critical issues have been escalated to the GPN for faster resolution and resource allocation. Requests for modality licenses have been initiated with vendors across all districts to close the licensing gap.,,51%,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of CHCs with integrated health information systems (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,61 %,0 %,61 %,0 %,,"Target not achieved. Only 33 CHCs have completed implementation of key modules (patient administration, finance, billing, and revenue), progress on clinical modules has stalled due to:
a. Poor ICT infrastructure in clinical areas.
b. Ongoing procurement of necessary devices and network upgrades.
c. Persistent network downtime, which has been escalated to eGov.
d. Budget constraints limiting infrastructure rollout.
","Procurement of devices for clinical areas is in progress. Installation of additional network points is underway to support system access. Facilities like Lilian Ngoyi CHC and Zola CHC are actively preparing for clinical module rollout. Khutsong, Bekkersdal, Esangweni, and Stanza Bopape CHCs are fully ready for implementation. Despite current constraints, efforts are ongoing to prioritise essential infrastructure within available budgets and secure additional funding where possible.",,61%,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of hospitals compliant with Occupational health and safety regulations,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,100 %,97 %,100 %,97 %,,"Target not achieved. Thelle Mogoerane hospital there were no fire detection and warning system; no fire escape doors; no 1hour fire barriers and sprinkler system in stores; no emergency lighting, assembly points luminary fire exit system, exit signs and notices for wayfinding.","OHS specific maintenance to install fire detection and suppression equipment.

Regular OHS Grand rounds on the OHS Compliant 
",,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of service providers invoices without dispute paid within 30 days ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,100 %,21 %,100 %,21 %,,"Target not achieved due to the Department paid more accruals than current invoices.
Payment of Medico-Legal. 
Late submission of invoices.
Non-adherence to turnaround times in attending to exceptions by our Health Institutions (PO creation & GRV capturing).
Cash availability.
","Monitoring of Cash Available. 
Weekly meetings with Management at Entities.
Weekly scrutiny of payment proposal and preparation of payment run as a collective, chaired by CFO.
Constant reminders sent:
By system daily Monthly
",,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of women in senior management posts,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,50 %,46.2 %,50 %,46.2 %,,"Target was not achieved. There was 1% growth in the recruitment of women at senior management service compared to last quarter, however the gain was offset by natural attrition i.e. retirements.",Continue to target women for filling of posts at Senior Management Positions.,,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Annually,Rand value for medico-legal claim,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,R16.2bn,R261 394 350.00 ,R16.2bn,R261 394 350.00 ,,"During the 4th quarter of the 2024/25 financial year, the Department received 20 (Twenty) medico-legal claims, with a corresponding claim value of R261 394 350.00. ",N/A,,,,,,,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of hospitals implementing the Queue Management System,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,12,1,24,,37,2,37,3,,,,,,"WIFI installation and configuration have been completed at Rahima Moosa. The installation of monitors is complete. Training commences on the 22 June 2024 -11 July 2024 and concluded.  Configurations for the Wi-Fi network are currently in progress. Kiosks are installed.

A system demonstration was concluded on the 05 July 2025
Pilot sites to go-live on the week of 19 July 2024
",Currently pilot sites are CMJAH and Rahima Moosa,Target not achieved due to budget constraints. Rahima Moosa Hospital is the only hospital that has implemented a queue management system. ,The department is in the process of allocating funds to the project,,,"Target not achieved due to the complexity of the CMJAH patient workflow process and the influx of patient, the hospital decided to follow a phased approached implementation. Phase 1 (Paediatrics Pharmacy and Main Pharmacy) is completed.","We are planning to implement QMS in only two facilities during 2025/26 financial year: Rahima Moosa Hospital and Charlotte Maxeke Johannesburg Academic Hospital (CMJAH). The remaining facilities will be phased in over the next three years.

•  At CMJAH Phase 2 is ongoing and scheduled for completion by May 2025
",283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of CHCs implementing PACS,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",0 %,0 %,18 %,0 %,30.3 %,3 %,51 %,18.2% %,51 %,3 %,,,,,,Currently pilot sites are CMJAH and Rahima Moosa,"A Meeting was held with district representatives on the 31 May 2024, and an agreement was reached on the approach. There will be network reconfigurations for all CHC on a different VLan HIS interfaces to PACS ","Target not achieved due to inadequate IT network infrastructure, obsolete Radiology modalities and the Integration layer is not available","Procurement of PCs underway, 
Redesigning of network design in radiology is in progress
","Target not achieved due to network infrastructure, usage of HPRS over HIS, synchronisation of patient demographics through the HIS integration with SAP, and inadequate devises
Isolated radiology network in the radiology department
","Network infrastructure reconfigurations, synchronisation of patient demographics through the HIS integration with SAP, migrate Isolated radiology network into the GBN and procurement of devices

","Target not achieved. The current low percentage of Community Health Centres (CHCs) implementing PACS is due to several operational and technical challenges:
• Inadequate Devices: Many CHCs lack the necessary hardware to support PACS integration.
•	Isolated Radiology Network: Existing radiology systems are not connected to a centralized network, making integration difficult.
•	Unavailability of Modality Licenses: Required software licenses for imaging modalities are missing, delaying implementation.
",Meetings are now aligned to better track and manage ongoing PACS-related tasks. Critical issues have been escalated to the GPN for faster resolution and resource allocation. Requests for modality licenses have been initiated with vendors across all districts to close the licensing gap.,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of CHCs with Integrated Health information systems,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",0 %,0 %,13 %,0 %,39 %,0 %,61 %,0% %,61 %,0 %,,,,,,Patient administration is functional at 100% while the clinical module is not yet operating because of lack of buy-in from clinicians and inadequate IT infrastructure ,"The implementation plan is reviewed after a system audit, and for all sites that are not upgraded, the request will be sent to eGov. Additional computers and tablets will be procured for clinicians, nurses and Therapeutics.","Target not achieved. Patient administration is currently operating at 100% while the clinical module is at 0%. The department took a decision to audit the system with reference to the charter. There has been a lack of buy-in from clinicians due to inadequate IT infrastructure, lack of network infrastructure and insufficient computers/printers",An agile methodology is followed and information gathering with clinicians has commenced; and the implantation is planned to be finalized during Quarter 4.,"Target not achieved. Patient administration is currently operating at 100% while the clinical module is at 0%. The integrated HIS project was paused for audit purpose. Other reasons include delayed finalisation of the clinical module, unavailability of clinicians to conclude information gathering  workshop, delay in finalization of remaining clinical requirements – New Clinical Stakeholders availability, tools of Trade Readiness and inadequate network infrastructure","Advocacy for improved availability of clinicians, enhanced network infrastructure, adoption of the clinical windows base application, information gathering workshop completed and configuration of specialized documents underway amongst other key issues.","Target not achieved. Only 33 CHCs have completed implementation of key modules (patient administration, finance, billing, and revenue), progress on clinical modules has stalled due to:
a. Poor ICT infrastructure in clinical areas.
b. Ongoing procurement of necessary devices and network upgrades.
c. Persistent network downtime, which has been escalated to eGov.
d. Budget constraints limiting infrastructure rollout.
","Procurement of devices for clinical areas is in progress. Installation of additional network points is underway to support system access. Facilities like Lilian Ngoyi CHC and Zola CHC are actively preparing for clinical module rollout. Khutsong, Bekkersdal, Esangweni, and Stanza Bopape CHCs are fully ready for implementation. Despite current constraints, efforts are ongoing to prioritise essential infrastructure within available budgets and secure additional funding where possible.",283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of facilities implementing forensic pathology management information systems,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,0 %,100 %,0 %,100 %,0 %,100 %,0% %,100 %,0 %,,,,,,Target not achieved as the system is not yet in place. Currently change management and Training plans are completed and the Requirements analysis done,The solution development has not commenced,Target not achieved as the system was at developmental phase and super users were trained. There are pending matters on Infrastructure installation including connectivity/Wi-Fi etc. before the launch of the system.,Microsoft Hosting is to be activated,Target not achieved because Microsoft Hosting fees outstanding. Microsoft Azure locked due to failure of payment made in order for the system to be activated.,Payment of 10 million was paid in December 2024 December and Microsoft agreed to activate Microsoft Azure capability on the 1 March 2025,"Target not achieved. The system is still in the development phase, and the official launch is pending.
While super users have been trained, critical infrastructure issues—such as connectivity, Wi-Fi, and hardware installation—are still unresolved These infrastructure gaps have delayed the system rollout at facility level.
","To accelerate the rollout of connectivity (Wi-Fi and network cabling) and installation of necessary hardware in all identified facilities. Coordinate Go-Live Readiness: Develop a detailed implementation plan aligned with infrastructure readiness to support a smooth system launch.
Strengthen Interdepartmental Collaboration: Work closely with ICT and eGov teams to fast-track outstanding infrastructure issues.
Support Post-Training Engagement: Keep super users engaged through refresher sessions and simulation exercises until the system goes live, to maintain readiness.
Monitor and Report Progress Weekly: Introduce a weekly tracking mechanism to flag and escalate delays in infrastructure completion and ensure accountability
",283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of hospitals with integrated health information systems,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",19 %,0 %,81 %,0 %,0 %,,0 %,,81 %,0 %,,,,,,"The implementation of Patient Administration, Finance, Billing and Revenue is at 100% while the Clinical Module is at 5% as the implemented IT infrastructure is inadequate and training is still in progress","The implementation plan is reviewed after a system audit, and for all sites that are not upgraded, the request will be sent to eGov. Additional computers and tablets will be procured for clinicians, nurses and Therapeutics.","Target not achieved. Patient administration is currently operating at 100% while the clinical baseline module is at 2.7% - the implementation is at Mamelodi Hospital. The department decided to audit the system with reference to the charter. There is lack of network infrastructure and insufficient tools of trade (computers, tablets, etc.).",Clinical process mapping is underway. The implementation is planned to be finalized during Quarter 4.,,,,,283
Health,Health,Gauteng,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of hospitals with integrated health information systems (Revised),Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",0 %,,81 %,,0 %,0 %,0 %,,81 %,0 %,,,,,81%,,,,,"Target not achieved. Patient administration is currently operating at 100% while the clinical module is at 0%. The integrated HIS project was paused for audit purpose. Other reasons include delayed finalisation of the clinical module, unavailability of clinicians to conclude information gathering  workshop, delay in finalization of remaining clinical requirements – New Clinical Stakeholders availability, tools of Trade Readiness and inadequate network infrastructure","Advocacy for improved availability of clinicians, enhanced network infrastructure, adoption of the clinical windows base application, information gathering workshop completed and configuration of specialized documents underway amongst other key issues.
Advocacy for improved availability of clinicians, enhanced network infrastructure, adoption of the clinical windows base application, information gathering workshop completed and configuration of specialized documents underway amongst other key issues.
",,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Ideal clinic status obtained rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ",Not Applicable,,,,,,,92,96,92,96,,Target achieved. Strengthened measures in PHC facilities were effective as 357 of the 364 assessed facilities obtained the ideal status,N/A,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Maternal Mortality in facility (Ratio - Per 100 000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Number of facilities providing 24-hour emergency services,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,40,40,40,40,,Two facilities Florida and Westbury clinics only offer 24-hour MoU services,Refurbishments completed for A & E awaiting recruitment of staff,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,85.1 %,,85.1 %,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient experience of care satisfaction rate (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,90 %,85 %,90 %,85 %,,"Target not achieved because five domains performed poorly such as cleanliness, access to care, value and attitudes, waiting times and patients’ safety affected the score in most facilities.
All five districts did not achieve the target.
Johannesburg=84%
Ekurhuleni=85%
Sedibeng=89%
Tshwane=85%
West Rand=88%
",Facilities developed quality improvement plans (QIPs) that should be monitored for progress.,,90%,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Percentage of PHC facilities with functional Clinic committees,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,100 %,85.2 %,100 %,85.2 %,,Target not achieved due to the recruitment process of filling the Clinics committees with less than 3 members the appointment process is still ongoing.,The Department to continue to engage with all Primary Health Care Facilities for new nominations.,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,All DS-TB client LTF rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,All DS-TB Client Treatment Success Rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Antenatal 1st visit before 20 weeks rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART adult remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART adult viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART child remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART child viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Cervical cancer screening coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years pneumonia case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years severe acute malnutrition case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Complaints resolution within 25 working days rate,Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",95 %,100 %,95 %,99.3 %,95 %,99.6 %,95 %,"
99 %",95 %,100 %,,,,,,Target achieved because of timeous investigation of complaints and availability of complainants within the prescribed timelines for redress.,N/A,Target achieved due to timeous investigation of complaints and availability of complainants,N/A,Target achieved due to timeous investigation of complaints and availability of complainants,n/a,Target achieved. Timeous investigation of complaints and availability of complainants for redress meetings within the expected time frame.,N/A,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Death under 5 years against live birth rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Delivery 10-14 years in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,-,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,HIV positive 15-24 years (excl. ANC) rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,HIV test positive around 18 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Immunisation under 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Infant PCR test positive around 6 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,IUCD Uptake (*IUCD - Intra Uterine Contraceptive Device),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,-,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Measles 2nd dose 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Mother postnatal visit within 6 days rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Neonatal death in facility rate (Per 1000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",95 %,62.8 %,95 %,75.4 %,95 %,61 %,95 %,"
83 %",95 %,0 %,,,,,,"Target not achieved because Ekurhuleni, Johannesburg, Sedibeng and Tshwane Districts failed to close all their PSI cases on time. This was due to:
Ekurhuleni – 1 incident still under investigation, observing the 60 days of closure.
Johannesburg- 2 incidents still under investigation, while observing the 60 days of closure.
Sedibeng- 4 incidents not yet closed, still under investigations and observing the 60 days.
Ratanda Clinic had patient referred to Thelle Mogoerane, outcome not yet known.
Tlhokomelong case reported still under investigation and to be discuss in the PSI meeting.
Bophelong- case reported 22 June, still under investigation and to be discussed in PSI meeting observing 60 days of closure. 
L Mbatha – case reported on 18 June, still under investigation observing 60 days of closure.
Tshwane= 9 cases still under investigation. 3 for Dark city, Darkcity cases were not represented at district PSI committee meeting. Laudium,M Shiceka, Refentse, Rosslyn, Temba and Bophelong  had 1 PSI not closed, reported in June, still under invesgations while observing 60 days of closure.
","Conduct investigation immediately after PSIs are reported and conduct Ad-hoc meeting to close cases within the reported month and quarter whilst observing the 60 days closure rate.

DCST to make follow-up frequently with sub-districts to assist with closure, make recommendations and actions to be taken.

Create extra sufficient time to investigate complex PSIs while observing the 60 days prescribed by the National PSI Guideline
",Target not achieved due to complex cases that were reported in August and September and will still undergo investigations and discussions in meetings while observing 60 days of closure.,"Enforce management of PSIs according to PSI national guideline. Conduct investigation immediately after PSIs are reported and conduct Ad-hoc meeting to discuss and close cases within the reporting quarter whilst observing the 60 days closure rate. DCST to make follow-up frequently with sub-districts to assist with closure, make recommendations and actions to be taken. Create extra sufficient time to investigate complex PSIs while observing the 60 days prescribed by the National PSI Guideline.",Target not achieved due to complex cases that were reported in November and December and still undergoing investigations and discussions in meetings while observing 60 days of closure.,"Manage PSIs according to PSI national guideline, conduct investigation immediately after PSIs are reported and conduct Ad-hoc meeting to close cases within the reporting quarter whilst observing the 60 days closure rate.","Target not achieved due to CoJ had 3 PSIs cases that are still under investigation and to be discussed in the next meeting for closure and CoT had 7 PSI cases still open, reported on the last 2 months of the quarter, complex and investigation still underway","Enforce managers to start investigation as soon as the PSI is reported.
Instruct PSI committee to convene meetings as scheduled and add Adhoc meeting to close all PSIs within the reporting quarter. 
Encourage managing PSI according to PSI National guideline.
",283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,PHC Mental Disorders Treatment rate new,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",91.4 %,87 %,91.4 %,93.2 %,91.4 %,,91.4 %,,91.4 %,0 %,,,,,,"Target not achieved due to: 
Ekurhuleni Nokuthela Ngwenya CHC 1 incident happened on public holiday 17/06/2024 QA manager not on duty, reported to QA manager 18/06/2024 who was in the meeting and only registered on 19/06/2024 by the QA manager. 
Johannesburg due to Alex CHC obtaining a SAC 1 Incident from media through voice note.
Tshwane due to Darkcity CHC reported X 1 SAC1 case after 4 days due to capturing error on the register and capturing on the database without completing Section A.
","Roving credentials to be allocated to clinicians on call to be able to report and capture after offce hours, on weekends and public holidays. 

Enforce verifying of information after a case has been captured by another senior person.

Reennforce inservice training to all new personnel on management of PSI and capturing process.

Enforce management of PSIs according to PSI national guideline and reporting and capturing immediately when it is received.
",Target achieved due to continuous monitoring and meetings conducted to discuss SAC 1 PSIs; and the utilisation of WhatsApp reporting,"To continue with close monitoring of SAC 1 PSIs reporting within 24 hours, WhatsApp reporting enforcement and emphasise prompts prompt reporting in meetings.",,,,,283
