Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,3.4.1.	Number of LED initiatives / interventions implemented in municipalities ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",4. Integrated and sustainable socio-economic infrastructure development (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",2,2,2,2,2,2,2,2,Achieved ,8,8,,,,,None,N/A,target met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,"Number of work opportunities reported through Community Work Programme (CWP) (MTSF 2019-2024, Priority 2)",Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",30000,29426,30000,29114,30000,26057,30000,21489 ,Not achieved ,30000,21489,,,,,Budget and target reductions by the DCOG after APP approval.,Target to be revised during the budget adjustment / APP review,target not met ,Budget and target reductions by the DCOG after APP approval.,Target to be revised during the budget adjustment / APP review,DCoG reduced annual target due to reduction of budget allocation for the programme,"None, Align target in the new financial year",Budget cuts by DCOG,"Target reduction in the new
APP
",,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,3.1.1.	Number of reports on additional households provided with basic services,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,Number of Districts monitored on the spending of National grants,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,4,4,,4,4,,N/A,N/A,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of municipalities monitored on the implementation of indigent policies (Sub-outcome 1) (B2B Pillar 2),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",22,22,22,22,22,,22,22,Achieved ,22,66,,,,,None,N/A,target met ,N/A,N/A,,,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,"Number of municipalities monitored on the implementation of infrastructure delivery programmes (Outcome 9, Sub-outcome 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",25,25,25,25,25,,25,25,Achieved ,25,75,,,,,None,N/A,target met ,N/A,N/A,,,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,3.3.4.	Number of reports compiled on functionality of disaster management advisory forum,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",5. Accelerate social change and improve quality of life of Limpopo’s citizens (2019-2024),"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,Achieved ,4,1,,,,,None,N/A,target met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported on Fire Brigade Services,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,0,,Not achieved (no performance output),0,0,,,,,,,default ,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported to maintain functional Disaster Management Centres,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,5,5,5,5,5,5,Achieved ,5,5,,,,,None ,N/A,target met ,N/A,N/A,None,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Annually,Number of municipalities with legally compliant IDPs,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,27,,,27,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Quarterly,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Cumulative indicator ,,0,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of Anti GBVF Intervention/campaigns for traditional leadership (Final M&E Plan for the NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,Achieved ,4,4,,,,,None ,N/A,target met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of Traditional Councils supported to perform their functions,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",203,203,203,203,203,203,203,203,Achieved ,203,812,,,,,None ,N/A,target met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Percentage of Traditional Leadership succession disputes processed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,Governance and Administration cluster,100 %,5 %,100 %,100 %,100 %,100 %,100 %,100 %,Achieved ,100 %,100 %,,,,,"Delay in the submission of names to serve in the investigative committee by the house
Royal house members taking each other to court.
",Continuous engagement with the house and royal families,target not met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.1: Traditional Institutional Administration,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.1: Traditional Institutional Administration,Quarterly,4.1.5. Number of reports on initiation schools,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,1. Transform the public service for effective and efficient service delivery (2019-2024),"The Social Protection, Community and Human Development cluster",1,,1,1,1,1,1,1,Achieved ,4,3,,,,,,,target not met ,N/A,N/A,None ,,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.1: Traditional Institutional Administration,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,Default indicator ,,-,,,,,,,default ,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.2: Traditional Resource Administration,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.2: Traditional Resource Administration,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,Default indicator ,,-,,,,,,,default,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,Default indicator ,,-,,,,,,,default ,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,Default indicator ,,-,,,,,,,default,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,4.1.2. Number of reports for the sittings of the Provincial House of Traditional Leaders.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,1. Transform the public service for effective and efficient service delivery (2019-2024),"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,Achieved ,4,4,,,,,None,N/A,target met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,Default indicator ,,-,,,,,,,default,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,Default indicator ,,-,,,,,,,default,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.1: Office of the MEC,Annually,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.1: Office of the MEC,Quarterly,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Annually,Number of risk assessments conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,5,5,,5,5,5,None,None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,Number of security threat risk assessment reports compiled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,5,5,5,5,5,5,Acgìeved,20,20,20,None,None,,None,None,,None,None,None,None,None,None,achieved ,Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,Number of Human Resource Plan developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1,,,,,,,,,1,,1,None,None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Number of ICT Plan developed,Non-Standardized,Average,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,Àchièçd,1,1,1,None,None,,None,None,,None,None,None,None,None,None,not achieved ,Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Number of Financial Statements submitted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,0,1,1,Acieved,2,2,2,None,None,,None,None,,None,None,None,None,None,None,not achieved,Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.5: Communication Services  ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.5: Communication Services  ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 1: Administration,Sub Programme 1.5: Communication Services  ,Quarterly,Number of communication strategies implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,Àçhièved,1,1,1,None,None,,None,None,,None,None,None,None,None,None,achieved ,Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Annually,Development of norms and standards for infrastructure projects,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,,1,1,1,None,None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of agricultural infrastructure established,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",7,9,12,12,18,12,17,32,Acgieved,54,65,65,Some of the infrastructure projects were brought forward and completed.  Other projects are from previous quarters which were completed in current quarter.,,,"As per APP targets, 7 infrastructure projects were targeted for completion in Q1. All 7 completions were aimed from the carried over running projects from previous year.  
Only 3 of the targeted projects and 1 previous year late project achieved completions in Q1. The others received practical completions (2) and slow performance (1). 
The 5 completions which lead to overall overachievement are from early completion of Animal handling facilities. 
",Close monitoring engagements for early attendance to snags and improve performance.,,None,None,"Delayed sites handover due to Contractors’ non-compliance to term contract pricing documentation. Sites were handed over in Q2 and therefore shifted completion targets.  The following (6) irrigation projects, are near completion: Mazeli  (99%), Duvadzi  (99%), Benevaju  (95%), Rametse  (75%), Shadtonez  (85%), Selamolela 1 (75%).",Close monitoring engagements for early attendance to snags and improve performance. Catch-up plan developed to complete the balance of 21 infrastructures for the annual target of 54 in Q4.,Some of the infrastructure projects were brought forward and completed.  Other projects are from previous quarters which were completed in current quarter,None,achieved,  not Achieved,Noted,None,The reason for deviation is noted,The reason for deviation provided is noted,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of efficient water use systems developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1,3,2,1,5,3,8,10,Achièved,16,17,17,Drip irrigation (efficient water use system) was added to the Scope of work for Madzivhandila College and the project was completed.,,,"Over achievement contributed by 2 projects with were not targeted for in Q1:
Makiema farm repair project on tunnels and shadenet targeted for completion in Q4 in the previous year. 
Tompi irrigation was targeted for Q1 completion, additional drip irrigation works were instructed for implementation to replace old and dilapidated irrigations materials in use.
",None,,The completion of Kopano Disable drip irrigation of 10ha has been delayed by the electricity connection from ESKOM.,Close monitoring engagements with ESKOM.,"Target not achieved due to late commencement as a result of contractors non-compliance to term contract pricing in Q1. The following two (2) irrigation projects with efficient water systems are near completion: Duvadzi 1ha (99%), Benevaju 1ha (95%).",Close monitoring engagements for early attendance to snags and improve performance. Catchup plan developed.,More infrastructure projects with efficient water use systems were brought forward and completed.,"
None",not achieved,not Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of environmentally controlled production structures constructed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1,2,1,"0

",6,1,5,6,N¨ot Achieved,13,9,9,Change of scope due to budget constraints and slow performance by the contractor.,,,"Over achievement contributed by 1 project which was not targeted for in Q1:
Makiema farm repair project on tunnels and shadenet was due for completion in the previous year and only completed currently in Q1.

",None,,"The completion of the Poultry house project for S&L Sons, is not achieved. The contractor is progressing very slow.",Close monitoring engagements for early attendance to snags and improve performance.,"Target not achieved due to late commencement as a result of contractors non-compliance to term contract pricing in Q1. The following three (3) irrigation projects with environmentally controlled structures are near completion: Duvadzi 1ha (99%), Benevaju 1ha (95%), Rametse 2ha (75%).
The completion of the Poultry house project for S&L Sons, is not achieved. The contractor is progressing very slow.
 
",Close monitoring engagements for early attendance to snags and improve performance. Catchup plan developed to achieve annual targets.,One project is from previous quarters which were completed in current quarter.,None,not achieved,not Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of hectares equipped with infield irrigation systems,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",30,31,20,10,35,20.5,20,120.5,Achievede,105,41,182,Additional Hectares achieved by bringing forward projects. Other projects are from previous quarters which were completed in current quarter.,,,"Overachieved by 1ha, from Makiema repairs completion which was supposed to have been completed in the previous financial year.",None,,The completion of Kopano Disable drip irrigation of 10ha has been delayed by the electricity connection from ESKOM.,Close monitoring engagements with ESKOM.,"Target not achieved due to late commencement as a result of contractors non-compliance to term contract pricing in Q1. The following irrigation projects are near completion: Mazeli  (99%), Duvadzi (99%), Benevaju (95%), Rametse  (75%), Shadtonez  (85%), Selamolela (75%).",Close monitoring engagements for early attendance to snags and improve performance. Catchup developed.,Additional Hectares achieved by bringing forward projects. Other projects are from previous quarters which were completed in current quarter.,None,not achieved,not Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of livestock infrastructure established,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",0,5,7,10,9,1,8,13,Achièved,24,29,29,Livestock projects were completed ahead of planned time.,,,Early completion of infrastructure ,None,,3 livestock project were completed ahead of the planned schedule,None,"Livestock projects were completed ahead of the planned time for completion in Q1 and Q2. The cumulative target for Q1, Q2 and Q3 = 16. A total of 16 are achieved up to date. ",Continue with implementation and complete balance of 8 on the annual target before end of Q4.,Livestock projects were completed ahead of planned time.,None,achieved,not Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Annually,Number of hectares of cultivated land under Conservation Agriculture practices,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,600,139.694,,600,139.694,704,"During Cover Crops awareness with University of Limpopo, there was an uptake of Conservation Agriculture practices by other farmers who developed interest",None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of communities adopting LandCare practices,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",20,47,30,30,30,30,20,5,Done,100,112,112,"There was an uptake of the LandCare philosophy by other farmers who developed interest

",,,Awareness campaigns increased the adoption rate,None,,None,None,None,None,The annual target has already been achieved earlier in the previous quarters,None,achieved,Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of green jobs created,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",500,500,350,"491
(373 green jobs and 118 EPWP)
",350,292,320,776,Done,1520,500,2059,The reduction in the allocation of EPWP triggered additional budget allocation from equitable share,,,None,None,,The over achievement is due to co-funding by farmers and LDARD.,,Some of green jobs activities such as Conservation Agriculture could not start in time because of odd rain patterns during the quarter. Most jobs were created in Q2 since the target was 350 and we achieved 491(variance of 141),None,"Workers were increased and this led to increased performance.
",None,achieved,not Achieved,noted,noted,The reason for deviation is noted. Performance is on tract to achieve annual target.,"Clarity is needed on the factors that contributed to the increase in workers, which resulted in a significant variance. In Q2, support was co-funded by farmers and LDARD, has this arrangement continued, or has additional funding been sourced? A detailed explanation will help assess the sustainability and potential for replicating this performance.",185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of hectares cleared of alien invasive plants ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",200,123.02,500,339.58,500,256.4,200,661,Done,1400,0,1400,None,None,,The late approval of LandCare Business Plan delayed the implementation,To accelerate implementation in the next quarter,,Projects started late due to approval granted in June 2024 by the national transferring officer.  Procurement was therefore  delayed which affected performance.,Additional performance is expected in the 3rd quarter as procurement advanced and materialized by end of quarter 2.,Extreme high temperatures during the quarter has affected the labourers performance rate and resulted to less hectarage cleared. ,The projects will argument the hectares in the last quarter.,Additional EPWP workers due to additional funds and availability of chemicals assisted in clearing more hectares.,None,not achieved,not Achieved,,,,,185
