Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.4.	Percentage of vacancies on organizational structure,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",0 %,,0 %,N/A %,0 %,4.41% %,10 %,5.1 %,Not achieved ,10 %,0 %,,,,,,,annual target,N/A,To be reported in the 4th quarter,Vacant funded posts are at various stages of recruitment,N/A,"The department prioritised the filling of funded vacant
posts
",N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.5.	Number of employees trained as per WSP  ,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",250,324,250,269,250,232,250,362,Achieved ,1000,362,,,,,There were inhouse trainings on Bid Committee trainings and Basic Computer trainings,N/A,target met ,19 employees were inducted and there were no financial implications.,N/A,18 officials failed to attend the earmarked training and this affected the targeted employees to be trained.,The shortfall will be recovered fourth quarter sessions. ,Additional trainings were facilitated by Provincial Treasury,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.6.	Percentage of employee wellness cases attended,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,,100 %,100 %,100 %,100 %,100 %,100 %,Achieved ,100 %,75 %,,,,,,,annual target ,N/A,N/A,None,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.7.	Percentage of women in SMS represented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",46 %,40 %,47 %,40 %,48 %,40 %,49 %,40 %,Not achieved ,49 %,40 %,,,,,Retirement and no filling of post in the quarter,55 posts were advertised in May and will be filled from second quarter,target not met,No appointments were made for SMS during the quarter from the 55 posts advertised. Shortlisting and interviews are still being conducted. Shortlisting and interviews are still being conducted.,Women will be considered on the targeted posts as per Employment Equity Plan during the next appointments.,No SMS appointments were made during the quarter from the advertised posts. Shortlisting and interviews are still being conducted.,Women will be considered on the targeted posts as per Employment Equity Plan during appointments.,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.8.	Percentage of people with disabilities represented ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",0.9 %,1 %,1 %,1.2 %,1 %,1.2 %,1 %,1.2 %,Achieved ,1 %,1 %,,,,,None ,N/A,target met ,Previous quarters status remained unchanged ,N/A,Improved recruitment process,N/A,The employment of people with disabilities was prioritised resulting in an improved performance,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,1.1.9.	Number of Anti-Fraud and Corruption awareness workshops conducted within the department.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",2,2,2,2,2,2,2,2,Achieved ,8,8,,,,,None ,N/A,target met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,1,1,1,,1,,1,,Cumulative indicator ,4,1,,,,,None ,N/A,target met ,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.3. Financial Management Services,Quarterly,1.2.1.	Percentage of undisputed invoices paid within 30 days,Non-Standardized,Average,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,92.3 %,100 %,99.6 %,100 %,100 %,100 %,100 %,Achieved,100 %,99 %,,,,,,,target not met,Wrong capturing of invoice receipt date on BAS,Manual reconciliation of transactions captured on BAS to identify the errors. Excel spreadsheet tool to identify transactions exceeding the 30 day payment period.,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.3. Financial Management Services,Quarterly,1.2.2.	Percentage of bids awarded to women owned companies,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",40 %,51 %,40 %,26 %,40 %,69 %,40 %,64 %,Achieved ,40 %,210 %,,,,,Invoices submitted in the previous financial year that were not paid due to shortage of funds and over commitments,Ensuring that there is sufficient funding for all the projects.,target met ,Bids mainly allocated from database for engineering services with ranking.,Procurement could not have been made to any other service provider. The allocation on the database is sequential.,"Allocation for women owned companies from databases is as follows: 
•	Low cost housing = 65%
•	Bulk engineering services = 93%
•	RFQ for goods and services selected from CSD – 71%",N/A,"1. Allocation from
RDP database to
women owned
companies = 65%
2. Awards to
women owned
companies from
database for bulk
engineering
services = 93%
- 3. Awards from
RFQ for goods
and services
selected from
CSD – 71%
",N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.3. Financial Management Services,Quarterly,1.2.3.	Percentage cumulative expenditure achieved (Actual expenditure/ adjusted budget),Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",25 %,25 %,25 %,31 %,25 %,23 %,25 %,27 %,Achieved ,100 %,106 %,,,,,,,target met ,The   overspending is due to accelerated expenditure attributed to milestones carried over from previous financial year (Rural Housing).,N/A,"The total departmental budget was adjusted from R2,473 to R2,687, therefore    underspending resulted from goods and services due to maintenance of building, computer services, airtime and data as well as township establishment of 313 site in Molemole local municipality for disaster projects. In addition, underspending on conditional grants ISUPG and EPWP due to cessation of project by South African Heritage Resources Agency (ISUPG) and late appointment of additional participants (EPWP)",Monitor the recovery plans in fourth quarter.,"Good performance
on HSDG and ISUPG together with Traditional
affairs and Cooperative
governance
",N/A,,,,,,,185
