Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,% Resolution of reported incidents of corruption,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Report on resolved cases/incidents of fraud corruption cases,"Achieved
",N/A,N/A,Report on resolved cases/incidents of fraud corruption cases,Achieved,N/A,N/A,Report on resolved cases/incidents of fraud corruption cases,Revised,,,95% resolution of reported incidents of corruption,Revised,,,95% resolution of reported incidents of corruption,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,No new incidences of irregular expenditure identified requiring investigation per annum,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",No new incidences of irregular expenditure identified requiring investigation per annum,Not achieved ,Procurement process not followed,"SCM policy was shared with the end user.
",No new incidences of irregular expenditure identified requiring investigation per annum,"Achieved
No irregular expenditure was incurred during Q2 ",N/A,N/A,No new incidences of irregular expenditure identified requiring investigation,"Achieved

No irregular expenditure incurred during the 3rd quarter
",N/A,N/A,No new incidences of irregular expenditure identified requiring investigation per annum,Achieved,N/A,N/A,No new incidences of irregular expenditure identified requiring investigation per annum,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,"Achieved 
",N/A,N/A,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,Not Achieved ,The invoice received after due date,Implementation of firmer consequence management,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,Not Achieved. An amount of R936.12 interest was paid,Additional amount was incurred in December 2024 due to late receipt of arbitration award which led to payment of  interest.,The matter will be referred to internal audit for investigation. ,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,Achieved,N/A,N/A,No new incidents of wasteful and fruitless expenditure identified requiring investigation per annum,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of jobs to be enabled through the granting of new (to industry) petroleum retail licenses,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Delete ,Delete ,Delete ,Delete ,Delete ,,,,Delete ,,,,Delete ,,,,Delete ,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage assessment of approved Shareholder compacts and Corporate Plans of Schedule 2 SOEs,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,Revised,,,"100% assessment of received Shareholder compacts and Corporate Plans of Schedule
2 SOEs",Revised,,,"100% assessment of received Shareholder compacts and Corporate Plans of Schedule
2 SOEs",-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of approved invoices from service providers paid within 30 days of receipt,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100% approved invoices from service providers paid within 30 days of receipt,Achieved ,N/A,N/A,100% approved invoices from service vice providers paid within 30 days of receipt,Achieved: 3 Note 34 Reports submitted to NT on time,N/A,N/A,100% approved invoices from service vice providers paid within 30 days of receipt,"Achieved
Approved invoices paid within 30 days 
",N/A,N/A,100% approved invoices from service providers paid within 30 days of receipt,Achieved,N/A,N/A,"100% approved
invoices from service providers paid within 30 days of receipt",-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received schedule 3A SOE Annual Performance Plans reviewed and tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,N/A,,,100% of received schedule 3A SOE Annual Performance Plans reviewed and tabled in Parliament,"Achieved: 7 Annual Performance Plans approved by the Minister for tabling
",N/A,N/A,100% of received schedule 3A SOE Annual Performance Plans reviewed and tabled in Parliament,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received Schedule 3A SOE’s Annual Performance Plans assessed for submission to Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,Revised,,,100% assessment of received schedule 3A SOE Annual Performance Plans and submitted to Parliament,Revised,,,100% assessment of received schedule 3A SOE Annual Performance Plans and submitted to Parliament,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received Shareholder compacts and Corporate Plans of Schedule 2 SOEs reviewed and ministerial submission produced,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,N/A,,,"100% of received Shareholder compacts and Corporate Plans of Schedule
2 SOEs reviewed and ministerial submissions produced","Not achieved: Shareholder Compact and Corporate Plans of Schedule 2 SOE received, reviewed and Ministerial submissions produced
","CEF Shareholder Compact submission delayed due to the outstanding financial information. 
","CEF shareholder compact was signed after the reporting timelines
","100% of received Shareholder compacts and Corporate Plans of Schedule
2 SOEs reviewed and ministerial submissions produced",-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received SOE Annual Reports reviewed and tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,100% of received SOE Annual Reports reviewed and tabled in Parliament,,,,,N/A,,,,N/A,N/A,N/A,100% of received SOE Annual Reports reviewed and tabled in Parliament,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received SOEs Annual Reports assesses for submission to Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,,,100% assessment of received SOEs Annual Reports submitted to Parliament,"Achieved : 11 SOEs Annual Reports received, reviewed and submission produced for the Minister consideration and approval for tabling. ",N/A,N/A,N/A,Revised,,,N/A,Revised,,,100% assessment of received SOEs Annual Reports submitted to parliament,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of received SOEs Quarterly Performance Reports reviewed and Ministerial submission produced,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100% assessment of received SOEs Quarterly performance Reports and Ministerial submissions produced,"11 SOE Quarterly Performance Reports received, reviewed and submissions produced
",N/A,N/A,100% assessment of received SOEs Quarterly performance Reports and Ministerial submissions produced,"Achieved: 11 SOEs Quarterly Reports were received, analysed and submission produced for the Minister consideration and approval. ",N/A,N/A,100% assessment of received SOEs Quarterly performance Reports and Ministerial submissions produced,Revised,,,100% assessment of received SOEs Quarterly performance Reports and Ministerial submissions produced,Revised,,,100% assessment of received SOEs Quarterly performance Reports and Ministerial submissions produced,-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,"Percentage of received SOEs Quarterly Performance Reports reviewed, and Ministerial submissions produced",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","100% of received Quarterly Performance Reports reviewed, and Ministerial submissions produced",,,,"100% of received Quarterly Performance Reports reviewed, and Ministerial submissions produced",,,,"100% of received Quarterly Performance Reports reviewed, and Ministerial submissions produced","Achieved: 11 SOEs Quarterly Report were received, analysed and submissions produced for the Minister's consideration.
",N/A,N/A,"100% of received Quarterly Performance Reports reviewed, and Ministerial submissions produced","Achieved: 11 SOE quarterly perfromance reports received, reviewed and submission produced
",N/A,N/A,"100% of received Quarterly Performance Reports reviewed, and Ministerial submissions produced",-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of reported incidents of corruption,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",Report on incidents of corruption,,,,Report on incidents of corruption,,,,Report on incidents of corruption,Achieved,N/A,N/A,80%e of reported incidents of corruption requiring investigation referred within 90 days,Achieved,N/A,N/A,"80%e of reported incidents of corruption requiring investigation referred within 90 days 
",-,,,,,,287
,Mineral Resources and Energy,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Unqualified audit opinion,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,,,"Unqualified audit 
opinion","Achieved
The department received an unqualified audit opinion.
",N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,Unqualified audit opinion,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of Audit reports on fuel price adjustments (external auditors),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,Achieved: 03 audit reports on fuel price adjustment were issued ,N/A,N/A,3,Achieved: 03 Audit reports on fuel price adjustment were issued,N/A,N/A,3,Achieved: 03 Audit reports on fuel price adjustment were issued in the quarter. ,N/A,N/A,3,"Achieved: 03 Audit reports on 
fuel price adjustment were issued in this 
quarter
",N/A,N/A,12,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of Environmental Inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",343,Achieved: 379 Environmental inspections were conducted,The target was overachieved by 36. The regions received a lot of applications for renewal as well as closure and they warrant site inspection prior to decision making  ,N/A,344,Achieved: 437 Environmental  inspections were conducted in this quarter.,"The target was overachieved by 81 due to more applications for renewal, new applications for rights and permits as well as closure application and some warranted site inspection prior to decision making. ",N/A,344,Not Achieved: 312 Environmental inspections were conducted in the quarter.,Regions were focusing on processing applications to reduce backlog.,N/A,343,"Achieved: 375 Environmental inspections were conducted in this quarter

","Overachievement is as a result of catching up on inspections conducted

",N/A,1 374,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of fuel samples Tested,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",270,Not Achieved: No fuel samples tested ,The Branch is in the process of appointing a new service provider.  Delays were as a result ,A catch-up plan will be developed to ensure that the Annual target is still achieved.,270,Not Achieved: no fuel samples were tested,The Branch is still in the process of appointing a new service provider. ,A catch up plan will be developed to ensure that the Annual target is still achieved. ,270,Not Achieved: No fuel samples were tested.,The Branch is still in the process of appointing a new service provider. ,A catch-up plan will be developed to ensure that the annual target is still achieved.,270,"Achieved: 
566 
fuel samples were tested in this quarter 
","Surplus achieved as 
part of catch-up plan to achieved at least 50% of Annual Target (540). 
",N/A,1 080,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of jobs to be enabled through the granting of new (to industry) petroleum retail licenses,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,300,Achieved: 428 jobs were enabled through the granting of new to industry petroleum retail licenses. ,The clearance of backlog led to overachievement.,N/A,300,"Not Achieved
","System not available to extract the 
information",Data will be accessed once the system is up and running.,600,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of jobs to be enabled through the issuing of mining rights ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",2 000,Achieved: 2175 were enabled through the issuing of mining rights in this quarter. ,Priority was given to execution of mining rights granted.  The increase in the number of Mining Rights finalised in the last year is also leading to overachievement of this target. ,N/A,2 000,Not Achieved: 665 jobs will be enabled through the issuing of mining rights,Mining companies did not submit documents for issuing of mining rights during the period under review,More invitations will be sent to rights holders to come and execute their mining rights.,2 000,Achieved: 9108 jobs were enabled through the issuing of mining rights in the last quarter. ,Priority was given to execution of mining rights granted.  The increase in the number of Mining Rights finalized in the last year is also leading to overachievement of this target.,N/A,2 000,"Achieved: 12751 jobs has been enabled through the issuing of mining right. For quarter 4, 763 jobs were enabled. 
","Clients have responded positively to invite to come and execute their rights.
",N/A,8 000,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of legal compliance inspections (mineral laws-MLA) conducted ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",37,Not Achieved: 26 Legal Compliance inspections were conducted in this quarter  ,The target was under achieved by 11. Right Holders that were identified for planned inspections in the quarter did not confirm the proposed dates. ,The inspections that were initially planned for  Quarter one will be added into the second quarter.,38,Achieved: 54 Legal Compliance inspections were conducted in this quarter.,"The target was overachieved by 16, this is as a result of catching up as the first quarter target was underachieved by 11 and other companies had more than 1 right to be inspected.",N/A,38,Not Achieved: 16 Legal Compliance inspections were conducted in the quarter.,Regions were focusing on processing applications to reduce backlog.,The target will be achieved in Q4,37,"Achieved: 61 Legal compliance inspections were conducted in this quarter 

","Overachievement is as a result of catching up on inspections conducted
",N/A,150,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of Mining Economics (MWP/PWP) inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",125,Not Achieved: 110 Mine Economics (MWP/PWP) inspections were conducted ,The target was under achieved by 15.  A Mine Economics official from GP was unable to conduct inspections due to health reasons. ,The inspections that were initially planned for  Quarter one will be added into the second quarter.,125,Achieved: 134 Mining Economics inspections were conducted in this quarter.,"The target was overachieved by 09,  this is as a result of catching up as the first quarter target was underachieved by 15. ",N/A,125,Not Achieved: 108 Mine Economics inspections. ,Regions were focusing on processing applications to reduce backlog.,The target will be achieved in Q4,125,"Achieved: 170 Mine Economics inspections were conducted in this quarter 
","Overachievement is as a result of catching up on inspections conducted
",N/A,500,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of petroleum retail and wholesale site compliance inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",375,Achieved: 381 retail and wholesale inspections were conducted. ,The target was overachieved by 06. This is due to increasing number of complaints from other retailers about unlicensed and dual operations. ,N/A,375,Achieved: 401 retail and wholesale site inspections were conducted in this quarter.,The target was overachieved by 26. This is due to number of complaints from other retailers about unlicensed and dual operations. ,N/A,375,Achieved: 387 petroleum retail and wholesale site inspections were conducted,This is due to number of complaints from other retailers about unlicensed and dual operations.,N/A,375,"Achieved: 440 retail site and wholesale compliance inspections were conducted in this quarter 

","Quarterly target exceeded by 65 due  to follow up inspections and petroleum compliance  

",N/A,1 500,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of prospecting ang mining rights application finalized,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",617,Achieved: 627 applications were finalised in this quarter,The target was overachieved by 10 as there is a sustained focus on processing of applications  ,N/A,617,Achieved: 619 applications were finalised,The target was overachieved by 2. ,N/A,617,Achieved: 640 applications were finalized in the quarter,Clients have also responded positively to invite,N/A,619,"Achieved:
 656 applications were processed in this quarter","Clients have responded positively to submit application
",N/A,2 470,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of rights and permits issued to HDSA controlled entities including individuals,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",50,Achieved: 03 audit reports on fuel price adjustment were issued ,There is an increase in the number of applications granted to HDSA controlled entities and HDSA individuals. ,N/A,50,Achieved: 93 Rights and permits were issued to HDSA controlled entities,Eradication of backlog ,N/A,50,Achieved: 128 rights and permits were issued to HDSA and controlled entities including individuals in the quarter. ,There has been an increase in the number of rights granted to HDSA controlled entities and individuals. Clients have also responded positively to the invite to come and execute their rights.,N/A,50,"Achieved: 98 rights and
 permits were issued to HDSA controlled entities and individuals",Clients have responded positively to invite to come and execute their rights.,N/A,200,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of SLP development projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",33,Not Achieved: 28 SLP development projects were completed in this quarter ,The target was under achieved by 05. There were delays in completing some of the projects due to poor execution by the project owners.,The Department will strengthen monitoring of progress to reduce delays in the project completion,33,Achieved: 34 SLP development projects were implemented in the quarter.,The target was overachieved by 01,N/A,33,Achieved: 35 Development projects were completed in the last quarter. ,The clearance of backlog led to overachievement.,N/A,33,"Achieved: 38 SLP projects 
were completed in this quarter ","The clearance of backlog led to 
overachievement.",N/A,132,-,,,,,,287
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of SLP inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",53,Achieved: 64 SLP inspection were conducted in this quarter ,The target was overachieved by 11 as there is a great focus on SLP compliance due to increased community concerns.,N/A,53,Achieved: 79 SLP inspections were conducted in this quarter,The target was overachieved by 26 due to some mining companies which had more than one rights to be inspected. ,N/A,53,Not Achieved: 47 SLP inspections were conducted in the quarter. ,Regions were focusing on processing applications to reduce backlog.,The target will be achieved in Q4,53,"Achieved: 59 SLP inspections were conducted in this quarter
","The clearance of backlog led to overachievement.
",N/A,212,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Amended Gas Bill,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Consolidation of public comments,Achieved,N/A,N/A,Gas Amendment bill submitted to OCSLA for certification,Achieved,N/A,N/A,Submit SEIAS to DPME,Revised,,,Gas Amendment Bill presented to Cabinet for submission to Parliament,Revised,,,Gas Amendment Bill presented to Cabinet for submission to Parliament,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Critical Minerals Strategy for South Africa approved by Cabinet,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Incorporation of stakeholder comments,Achieved,N/A,N/A,Critical Minerals Strategy for South Africa approved by Cabinet,"Not Achieved. The Cluster has approved the Strategy for submission to Cabinet
","There was a delay in presenting the Strategy to the ESIEID Cluster
","The strategy will be   submitted to the Cabinet in 2025/26.
",Critical Minerals Strategy for South Africa approved by Cabinet,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Critical Minerals Strategy for South Africa developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Modelling and ranking of minerals to be categorised as critical,Achieved,N/A,N/A,Draft Strategy developed and stakeholder consultation,Not Achieved,"The stakeholder consultation will proceed in Q3, due to delays in finalising the draft strategy
","Stakeholder consultations to be conducted in Q3
",Submission of Strategy to Cabinet,Revised,,,N/A,,,,Critical Minerals Strategy for South Africa developed,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Draft Regulations for the Electricity Regulation Act developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,First Draft Regulations developed,Achieved,N/A,N/A,Final Draft Regulations for the Electricity Regulation Act developed,Achieved,N/A,N/A,Draft Regulations for the Electricity Regulation Act developed,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Gas Amendment Bill submitted to Cabinet for approval to submit to Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Gas Amendment Bill submitted to DPME for SEIAS approval,Achieved,N/A,N/A,Gas Amendment Bill submitted to Cabinet for approval to submit to Parliament,"Not Achieved. The Cabinet memo was signed on the 03/04/2025 which was outside the reporting period.

","The Bill was reschedule to be presented on  was a delay in presenting the last meeting of the year for ESIEID Cluster
","The Bill is anticipated to be submitted to Cabinet in Q1 of 2025/26
",Gas Amendment Bill submitted to Cabinet for approval to submit to Parliament,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Integrated Energy Plan developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Modelling 
Assumptions",Not Achieved,"There were procurement process delays to finalize the appointment of service provider 

","Intervention has been sought to assist in addressing the delays.

","Consultations with 
stakeholders/ industry experts",Not Achieved,"The consultations are dependent on the appointment of a service provider to develop the IRP. A service provider has not been appointed due to a deadlock between Project Manager and Bid Adjudication Committee (BAC). 
","The consultations will be conducted subsequent to finalisation of modelling assumptions. In the meantime, a process has been started with the Spanish Embassy as an option to the BAC process.
","Consolidation of 
stakeholder inputs",,,,"Draft 
Integrated Energy Plan submitted for Cabinet approval and implementation",Revised,,,"Integrated 
Energy Plan developed
",-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Integrated Resource Plan 2023 submitted to Cabinet for approval,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Stakeholder consultation report,Achieved,N/A,N/A,Integrated Resource Plan 2023 submitted to Cabinet for approval ,"Not Achieved. The IRP is now serving at NEDLAC.
","Additional stakehoder consultations were held in Q3 and these affected the planned timeframes of delivery
","The department will await conclusion of the NEDLAC process and then proceed to Cabinet after June 2025
",Integrated Resource Plan 2023 submitted to Cabinet for approval,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,MHSA Bill presented to Cabinet for submission to Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","MHSA Bill submitted
 to State Law Advisor for final certification",Achieved,"MHSA Bill was submitted for final certification earlier than anticipated. 
",N/A,MHSA Bill submitted to DPME to obtain final SEIAS,"Achieved
A final SEIAS certificate obtained from DPME. A request was sent on 12 July 2024 and a certificate was issued on 17 July 2024
",N/A,N/A,MHSA Bill submitted to ESEID cluster for approval to submit to Cabinet,Revised,,,MHSA Bill presented to Cabinet for submission to Parliament,Revised,,,MHSA Bill presented to Cabinet for submission to Parliament,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,MHSA Bill submitted to Cabinet for approval to submit to Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,MHSA Bill submitted to Cabinet for approval to submit to Parliament,Achieved,N/A,N/A,N/A,N/A,N/A,N/A,MHSA Bill submitted to Cabinet for approval to submit to Parliament,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,MRDA Bill submitted to Cabinet for approval to gazette for public comments,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,"Stakeholder consultation on the MRDA Bill.
MRDA Bill submitted to OCSLA for certification.
MRDA Bill submitted to DPME for",Achieved,N/A,N/A,MRDA Bill submitted to Cabinet for approval to gazette for public comments,"Not Achieved.The Cluster has approved the Bill for submission to Cabinet 
","There was a delay in presenting the Bill to the ESIEID Cluster 
","The Bill is anticipated to be submitted to Cabinet in Q1 of 2025/26
",MRDA Bill submitted to Cabinet for approval to gazette for public comments,-,,,,,,287
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of exploration projects approved for funding,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Report on due diligence of eligible applicants,Achieved,N/A,N/A,5 exploration projects approved for funding,"Achieved 6
","Subsequent to the awarding of funds there was a balance and it was decided to award an additional project
",N/A,5 exploration projects approved for funding,-,,,,,,287
