Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q4,UID
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Arts and Culture,Quarterly,Number of Arts and Crafts  cooperatives supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,Not Applicable,5,5,None,None,Achieved as planned.,5,39 ,Exceeded target due to partnership with SEDA to secure more exhibition space,There are no additional financial implications ,"Achieved, reason for deviation and corrective action provided.",4,0,Target was achieved in the 2nd quarter,Achievement will be reconciled in the 9 months’ report.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Not achieved, reason for deviation and corrective action provided.",3,3,Target was achieved in the 2nd quarter,Actual output will be reconciled in the Annual Report,17,3,53,Exceeded target due to partnership with SEDA to secure more exhibition space,There are no additional financial implications ,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Arts and Culture,Quarterly,Number of cultural projects supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,Not Applicable,0,0,None,None,No reporting required for the quarter under review.,2,"2 
",None,None,Achieved.,1,1,The status of the Central Supllier Database (CSD) for Erholweni Cultural Project is non-compliant. ,Financial support to the project to be concluded in the fourth quarter,Achieved.,1,1,None,None,4,1,4,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Arts and Culture,Quarterly,Number of National and Historical days celebrated,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",3,3,None,None,Achieved as planned.,2,2,None,None,Achieved.,0,0,none,none,No reporting required for the quarter under review.,1,1,None,None,6,6,6,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Arts and Culture,Quarterly,Number of phases for the establishment of Arena at Mbombela Stadium,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster","0
Monitoring Planning and design","0
Monitoring Planning and design
",None,None,No reporting required for the quarter under review.,"0
Monitoring Planning and design",Professional work on planning and design has been completed by the implementing agent. The project is currently at a stage to call tenders for construction,None,None,"No reporting required for the quarter under review, however there was progress noted.","0
Monitoring Planning and design",0,Annual Target was achieved in the 2nd quarter,Achievement will be reconciled in the Annual report.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,No reporting required for the quarter under review.,Phase 1 (Planning and designs),"Phase I

(Planning and design)
",Target was achieved in the 2nd quarter,Actual output will be reconciled in the Annual Report,Phase 1 (Planning and designs),-,phase 1,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Language Services,Annually,Number of language coordinating structures supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,Not Applicable,,,,,,1,1,,,,,,,,,,,,,1,1,1,none, none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Language Services,Annually,Number of reading materials in indigenous languages produced,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,Not Applicable,,,,,,,,,,,,,,,,1,1,,,1,1,1,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Museum and Heritage,Annually,Number of international and national gold panning tournaments participated in ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",,,,,,2,2,,,,,,,,,,,,,2,2,2,None,None,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Museum and Heritage,Annually,Number of museums provided with maintenance,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,Not Applicable,,,,,,,,,,,1,1,,,,,,,,1,1,1,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Museum and Heritage,Annually,Number of Standardized geographic names features reviewed,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,3,3,,,,,,,,3,3,6,"Exceeded target due to high demand for the service as more names were received from Municipalities and the department spent within the allocated budget.
Participated in the review of Maphoch cave to Mabhoko cave that was coordinated by Limpopo Provincial Government
",The annual target was estimated based on previous trends and will be reviewed in the next financial year,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 2: Cultural Affairs ,Sub-Programme: Museum and Heritage,Quarterly,Number of facilities providing museum services,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,Not Applicable,3,3,None,None,Achieved as planned.,3,3,None,None,Achieved.,3,"
3",none,none,Achieved.,3,3,None,None,3,3,3,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Annually,Number of libraries established per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,3,1,,,3,1,3,None,None,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Quarterly,Number of public awareness programmes conducted about archival services,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",1,1,None,None,Achieved as planned.,1,1,None,None,Achieved.,0,0,none,none,No reporting required for the quarter under review.,0,,,,2,2,2,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set.,,,,,,,,,,,,,,,,-,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-Programme: Library Services,Annually,Number of existing library facility upgraded,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,1,1,,,1,1,1,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-Programme: Library Services,Annually,Number of municipal libraries provided with maintenance ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,6,1,,,6,1,1,5 not achieved due to late appointment by the Implementing Agent and financial constrains by the contractor on side resulted in projects delays,Request DPWRT to fastrack the maintenance of the libraries to be completed in the next financial year,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-Programme: Library Services,Quarterly,Number of electronic books made accessible,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",5745,5745,None,None,Achieved as planned.,6745,6475,None,None,"Not achieved, no reason for deviation and corrective action provided.",6745,6745,none,none ,Achieved.,6745,6745,None,None,6745,6745,6745,none,none,,,Achieved,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-Programme: Library Services,Quarterly,Number of libraries accessing Mpumalanga Library Information Management System,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",120,120,None,None,Achieved as planned.,120,120,None,None,Achieved.,120,"120
",none,none,Achieved.,120,120,None,None,120,120,120,none,none,,,Achieved,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-Programme: Library Services,Quarterly,Number of libraries monitored for completion in three years,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",3,0,The project is behind the schedule due to the new appointment of the civil and structural engineer by Implementing Agent.,Close monitoring of the project to cover lost time.,"Not achieved, reason for deviation provided.",3,,,,"Not achieved, no reason for deviation and corrective action provided.",3,,,,"Not achieved, no reason for deviation and corrective action provided.",3,1,Contractors experienced financial constraints,Request DPWRT to fastrack construction of the project to cover lost time,3,1,1,Contractor experianced financial constraints,Request DPWRT to fastrack construction of the project to cover lost time,,complete progress of status of libraries,Not Achieved,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-Programme: Library Services,Quarterly,Number of libraries offering services to the blind,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",39,39,None,None,Achieved as planned.,39,39,None,None,Achieved.,39,39,none,none,Achieved.,39,39,None,None,39,39,39,none,none,,,Achieved,128
,"Sport, Arts and Culture",Mpumalanga,Programme 3: Library and Archives Services ,Sub-Programme: Library Services,Quarterly,Number of mobile library buses provided ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",1,0,The factory encountered challenges with supply chain in the production phase.,The Department will continue to closely monitor the progress to ensure that the bus is delivered in the 2nd quarter.,"Not achieved, reason for deviation provided.",1,0,The delay was created by the shortage of supply of the raw materials to build the coachwork,The raw materials have been delivered. The two buses (One for 1st quarter and One for 2nd quarter) will delivered in the 3rd quarter 2024/25 FY,"Not achieved, reason for deviation and corrective action provided.",1,4,"Exceeded target to offset the under achievement of the previous quarter.
1 bus for the 4th quarter was delivered before the planned time.
",Actual output will be reconciled in the annual report.,"Overachieved, reason for deviation and corrective action provided.",1,1,The target was achieved in the previous quarter,Actual output will be reconciled in the annual report,4,5,4,none,none,,,Achieved,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Annually,Default ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of athletes supported by the sports academies,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",100,100,None,None,Achieved as planned.,100,100,None,None,Achieved.,100,100,none,none,Achieved.,0,,,,300,0,300,none,none,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,"Number of schools, hubs and clubs provided with equipment and/or attire to enable participation in sport and or recreation",Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",25,0,Delay in finalising the needs analysis with the respective hub coordinators. ,The indicator will be achieved during the second quarter.,"Not achieved, reason for deviation provided.",90,0,Delay in delivery of items by the appointed service providers.,Matter escalated and will be attended as such during the 3rd quarter of the 2024/25 financial year.,"Not achieved, reason for deviation and corrective action provided.",100,15,The delayed was caused by the price and quantity negotiation between the service provider and the Department ,The indicator will be achieved during the fourth quarter,"Not achieved, reason for deviation and corrective action  provided.",100,300,Exceded the target to offset the previous quarter’s targets,The actual output will be reconciled in the annual report,315,315,315,none,none,,,Achieved,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Sub-programme 1: Management,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Sub-programme 1: Management,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set.,,,,,,,,,,,,,,,,-,,,,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Sub-Programme: Recreation,Quarterly,Number of local leagues supported.,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",7,7,None,None,Achieved as planned.,7,7,None,None,Achieved.,7,"
6
",The match fixtures were reviewed by leagues. This resulted in postphonment of some of the matches to the next quarter.,The indicator will be achieved in the fourth quarter,"Not achieved, reason for deviation and corrective action provided.",6,7,Exceded the target to offset the previous quarter target,The actual output will be reconciled in Annual Report,27,27,27,none,none,,,,128
