Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q4,UID
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Disaster management plan approved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,1,1,,,1,1,1,None.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Number of interns enrolled,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",100 %,230 %,,,,,,,,,,,,,,,,,,100 %,230 %,273,Over achievement due to CETA funded learnership programmes.,Continue relations with CETAs to increase work experience for the youth. ,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Number of learners enrolled,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",70 %,240 %,,,,,,,,,,,,,,,,,,70 %,240 %,240,Over achievement due to CETA funded learnership programmes.,Continue relations with CETAs to increase work experience for the youth. ,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Percentage of performance agreements signed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",100 %,99.2 %,,,,,,,,,,,,,,,,,,100 %,99.2 %,100,Compliance to PSR for election years.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Percentage of persons with disabilities employed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,2 %,2.2 %,,,2 %,2.2 %,2.2,None.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Percentage of persons with disabilities employed in SMS positions,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,2 %,0 %,,,2 %,0 %,0,Insufficient applications received that complies with the skills required for the vacant posts.,Consider headhunting or skills development of PWD.,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Percentage of women in SMS positions,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,50 %,37.8 %,,,50 %,37.8 %,37.8,Insufficient applications received that complies with the skills required for the vacant posts. ,Consider headhunting or skills development of women at deputy director level. ,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.4: Departmental Strategy,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.4: Departmental Strategy,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.1: Programme Support Infrastructure,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.1: Programme Support Infrastructure,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.2: Infrastructure Planning,Annually,Number of consolidated infrastructure plans developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,1,1,,,1,1,1,None.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.2: Infrastructure Planning,Annually,Number of kilometers of gravel roads visually assessed as per the applicable TMH Manual,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,3000,4893,,,3000,4893,4893,Additional assessments were conducted based on the available budget. ,None.,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.2: Infrastructure Planning,Annually,Number of kilometres of surfaced roads visually assessed as per the applicable Technical Methods for Highways (TMH) manual,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,3500,5363,,,3500,5363,5363,Additional assessments were conducted based on the available budget. ,None.,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.2: Infrastructure Planning,Quarterly,Deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.3: Infrastructure Design,Annually,Deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.3: Infrastructure Design,Quarterly,Deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,,,,0,,,,,0,,,,,0,,,,0,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.3: Infrastructure Design,Quarterly,Number of infrastructure designs completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None.,None.,,2,2,None.,None.,,1,0,Awaiting final approval of design.,Finalise approval in Q4. ,,2,3,Over achieved to offset under performance in the 3rd quarter.,Annual target achieved.,6,6,6,None.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.4: Construction,Annually,Deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.4: Construction,Quarterly,Number of IRMA projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,1,Project was planned for completion end of March 2024. ,None. ,,0,0,None.,None.,,0,1,Project completed ahead of schedule (planned for Q4).,None.,,1,2,Additional projects completed - one inhouse and one was planned for 2023/24. ,None. ,1,4,4,Completed 3 culverts which were planned for completion in the previous financial year 2023/24. ,Review all ongoing projects at year end and improve target setting. ,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.4: Construction,Quarterly,Number of kilometres of gravel roads upgraded to surfaced roads,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",6,1,Poor performance and cashflow challenges by the Contractor on Road D2274 Hendrina. Suspension of works by the Contractor on Road D481.,"Cession agreements in place on Road D2274.
Notice of Intention to terminate the contract issued to the Contractor on Road D481 because of failure to return to site.
",,11,8,"Delays due to contract termination, community unrest and work stoppages ","A new contractor was appointed to finish the outstanding works.
Intervention by the social facilitation team ongoing.",,5,6,Output improved to offset under performance in previous quarter.,None.,,4,11,Roads upgraded to paved roads. ,Annual target achieved. ,26,26,26,None.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.4: Construction,Quarterly,Number of Welisizwe projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",2,1,The same SANDF team is deployed for construction in three other municipalities which is delaying  completion. ,Works are ongoing. ,,5,0,Delays in implementation by SANDF since they only have 1 team to construct all bridges. Currently in Nkomazi LM. ,DPWRT proposed new implementation models to  DPWI but they resolved that SANDF will implement and DPWRT to provide support. ,,5,0,Only 1 SANDF team deployed to construct all bridges which delays progress.,Continue consultation with NPWI and DOT to review the implementation model.,,5,0,Projects delayed due to implementation model by SANDF - 4 in progress. ,Review implementation model.,17,1,1,There is only one SANDF team that is deployed to construct bridges in all municipalities (currently in Nkomazi LM).,"The SANDF team continues to construct the bridges whilst DPWRT only renders support services to the team. 
",,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Annually,Deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,,,,0,,,,,0,,,,,0,,,,0,0,0,,,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of contractors participating in the National Contractor Development Programme (NCDP),Standardized,Average,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,None.,None.,,10,11,Additional participant appointed.,Ensure spending within budget. ,,15,22,Numerous main contractors enter into cession agreements and sub-contracted certain scope of works depending on the needs of the projects.,Emerging contractors are acquiring the required skills through the programme.,,10,107,Annual output is 35. ,Annual target achieved.,35,35,35,None.,None. ,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of kilometres of gravel roads bladed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",5000,6321,"High demand due to poor road condition.
",Works executed within the available budget,,7000,6261,Over achieved in Q1. ,Ensure spending within budget. ,,7000,8046,High demand due to poor road condition.,Ensure spending within the available budget. ,,6000,5972,High demand due to poor road condition. ,Ensure spending within the available budget.,25000,26600,26600,High demand due to poor road condition.,Ensure spending within the available budget. ,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of kilometres of gravel roads re-graveled,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",6,47,"High demand due to poor road condition.
",Works executed within the available budget,,51,71,High demand due to poor road condition. ,Ensure spending within budget. ,,0,16,High demand due to poor road condition.,Ensure spending within the available budget. ,,0,90,High demand due to poor road condition. ,Ensure spending within the available budget.,57,224,224,High demand due to poor road condition.,Ensure spending within the available budget. ,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of square metres of blacktop patching,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",30900,56358,"High demand due to poor road condition.
",Works executed within the available budget,,30900,98625,High demand due to poor road condition. ,Ensure spending within budget. ,,20600,51172,High demand due to poor road condition.,Ensure spending within the available budget. ,,20600,58160,High demand due to poor road condition. ,Ensure spending within the available budget.,103000,264315,264315,High demand due to poor road condition.,Ensure spending within the available budget. ,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of square metres of surfaced roads rehabilitated,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",30750,0,"Slow progress on Road P36/1 due to the Contractor’s inefficiencies (i.e. plant, personnel, materials, etc.)",Stringent monitoring of Contractor’s performance to minimise inefficiencies. Submission of the recovery plan by the Contractor,,51250,107180,Acceleration plan was implemented to fast track progress. ,Ensure spending within available budget. ,,71750,75600,Works are ahead of schedule. ,Ensure spending within the available budget. ,,51250,157477,Completion of ongoing projects. ,Ensure spending within the available budget. ,205000,340257,340257,Completed Road P36/1 in Delmas with 6 other projects that are ongoing.  ,Ensure spending within the available budget. ,,,,128
Transport,Transport,Mpumalanga,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of square metres of surfaced roads resealed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",91400,83603,"Slow progress by the Contractors due to cashflow challenges.
","Contractors entered into a cession agreement. 
",,639800,86692,Delays due to cashflow challenges by contractors. ,Assist contractors or consider cession contractors. ,,182800,423000,Works are ahead of schedule,Ensure spending within the available budget. ,,0,394800,High demand due to poor road condition. ,Ensure spending within the available budget.,914000,988095,988095,High demand due to poor road condition.,Ensure spending within the available budget. ,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.1: Programme Support Operations,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.1: Programme Support Operations,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Average number of weekday passenger trips,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,,,,0,0,None.,None.,,0,0,None.,None.,,0,0,,,0,-,0,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,,,,,0,,,,,0,,,,,0,,,,0,0,0,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of hours operated by public transport operators,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,,,,0,,None.,None.,,0,0,None.,None.,,0,0,,,0,0,0,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of routes subsidised,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",154,154,None.,None.,,154,154,None.,None.,,154,154,None.,None.,,154,154,None.,None.,154,154,154,None.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of scholar transport routes monitored,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",422,422,None.,None.,,423,423,None.,None.,,423,423,None.,None.,,422,422,None.,None.,1690,1690,1690,None.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of trips subsidised,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",205439,202917,Less trips operated than planned.,None.,,207514,208669,Miscalculation on the number of trips to be operated by Thembalethu Bus Company. ,Trips processed in line with the claim and compliance to requirements of the contract. ,,204700,201386,Less trips operated due to community unrest. ,Surrender funds to Treasury. ,,204671,204813,Incorrect projects by MEGABUS for March 2025. ,None. ,822324,817785,817785,Less trips were operated due to DNO’s and standing kilometers by operators (i.e. Buscor and Putco). ,Savings on the Provincial Transport Operations Grant (PTOG) were utilized to off-set the equitable share allocation.,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of vehicle kilometers subsidised,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",6687074,6616775,Less trips operated than planned.,None.,,6858018,6792618,"The underperformance was due to failure to operate all scheduled kilometers by Buscor, and Putco due to Did not Operates (DNOs)",Surrender unspent funds at year end. ,,6669574,6699717,Less kilometers operated due to community unrest. ,Surrender funds to Treasury. ,,6687174,6674936,Incorrect projects by MEGABUS for March 2025. ,None. ,26901840,26784046,26784046,Less kilometres operated due to DNO’s and standing kilometers by operators (i.e. Buscor and Putco). ,Savings on the Provincial Transport Operations Grant (PTOG) were utilized to off-set the equitable share allocation.,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Quarterly,Number of Provincial Regulating Entity (PRE) hearings conducted,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,13,13,,,,13,13,None.,None.,,13,13,None.,None.,,13,13,None.,None.,52,52,52,None.,None. ,,please update target when information is received,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.4: Transport Systems,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.4: Transport Systems,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.5: Infrastructure Operations,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Sub-Programme 3.5: Infrastructure Operations,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 3: Transport Operations ,Transport Safety and Compliance,Quarterly,Number of roadside checks conducted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"Justice, Crime Prevention and Security cluster",1000,958,Special inspections conducted on buses that does not constitute as roadside checks. ,Additional checks to be conducted in the remaining quarters.,,950,1842,Additional operations conducted as part of the MECs 100 Days activities and scholar transport route verification. ,Ensure spending within budget.,,1000,1010,"Additional roadside checks conducted due to MECs 100 days activities, Avanza and Scholar transport route verification.",Ensure spending within the available budget.,,950,1373,Overachieved due to extra operations on MECs programme and Scholar transport route verification. ,Ensure spending within budget. ,3900,5183,5183,None.,None.,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.1: Programme Support Regulation,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.1: Programme Support Regulation,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,0,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of drunken driving operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,0,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of pedestrian operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,0,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of road safety awareness interventions conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,0,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of schools involved in road safety education,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,0,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of speed operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,0,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of vehicles stopped and checked,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,0,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of vehicles weighed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,0,,,,0,,,,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.1: Programme Support Community Based,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.1: Programme Support Community Based,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.2: Community Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.2: Community Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.3: Innovation and Empowerment,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.3: Innovation and Empowerment,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.4: EPWP Coordination and Monitoring,Annually,default,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.4: EPWP Coordination and Monitoring,Quarterly,Number of persons with disabilities employed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",42,2,Access database for PWD.,Consult Database and restructure programmes. ,,43,3,Minimal participation of PWD and lack of projects to accommodate them.,Database for PWD to be used by programmes in all implemented projects. ,,43,8,Minimal participation of PWD due to project scope. ,Database for PWD to be used by programmes during recruitment. ,,43,8,Awaiting closure of the EPWP reporting system for final figures. ,Report to be updated. ,171,8,8,Minimal participation of Persons with Disabilities (PWD) and lack of projects to accommodate them.,Continue to work with the disability desk at OTP to increase participation.,,,,128
Transport,Transport,Mpumalanga,Programme 5: Community Based Programmes,Sub-Programme 5.4: EPWP Coordination and Monitoring,Quarterly,Number of women employed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",1281,2375,Capturing of Siyatentela beneficiaries.,Update report in July 2024. ,,1281,2805,Over achieved through capturing of Siyatentela beneficiaries. ,None. ,,1281,5634,Prelim info. Output achieved in Q2.,Annual target achieved.,,1281,6205,Awaiting closure of the EPWP reporting system for final figures. ,Report to be updated. ,5124,6205,6205,Improved reporting and upscaling of job creation programmes. ,Job massification implemented. ,,,,128
