Name,Vote,Department,EntityName,ConsolIndi,PFMA,Type,EconomicClassification1,EconomicClassification2,EconomicClassification3,EconomicClassification4,EconomicClassification5,EconomicClassification6,FunctionGroup1,FunctionGroup2,FinancialYear,BudgetPhase,Amount (R-Thou),Amount
National public entities,35,Science and Innovation,Academy of Science of South Africa,1,Not listed,Cash flow data,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Economic development,"Innovation, science and technology",2019,Audited outcome,1206,1206000
National public entities,35,Science and Innovation,Academy of Science of South Africa,1,Not listed,Cash flow data,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Economic development,"Innovation, science and technology",2020,Audited outcome,-211,-211000
National public entities,35,Science and Innovation,Academy of Science of South Africa,1,Not listed,Cash flow data,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Net increase / (decrease) in cash and cash equivalents,Economic development,"Innovation, science and technology",2021,Audited outcome,6977,6977000
