Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q4,DesiredPerformance,OTP_Q1,OTP_Q2,OTP_Q3,National_Summary,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,3.9.2 Number Provincial Disaster Management Advisory Forums held,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,1,1,,,4,4,4,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,3.9.4 Number of municipalities monitored on the implementation of Disaster Management Policy Frameworks,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",3,3,,,3,3,,,3,3,,,2,2,,,11,11,11,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,3.9.5 Number of municipalities supported with disaster management planning to incorporate climate change adaptation programmes,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",3,3,,,3,3,,,3,3,,,2,2,,,11,11,11,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,3.9.6 Percentage of post Disaster grants monitored,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,100,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,3.9.7 Number of Contingency plans developed to manage seasonal disasters,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",0,0,,,1,1,,,0,0,,,1,1,,,2,2,2,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported on Fire Brigade Services,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,,,3,3,,,3,3,,,2,2,,,11,11,11,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported to maintain functional Disaster Management Centres,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",11,11,,,11,11,,,11,11,,,11,11,,,11,11,11,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.6: Geospatial Information Services,Quarterly,3.6.1 Number of functional Integrated Land Information Systems implemented,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,1,1,,,1,1,1,,,,Please capture the actual output,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 3: Development and Planning,Sub Programme 3.6: Geospatial Information Services,Quarterly,3.6.2 Number of institutional GIS capacity strengthening programmes implemented,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,1,1,,,4,4,4,,,,Please capture the actual output,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Annually,4.1.6 Number of databases of coordinated government support maintained,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.1 Number of guidelines monitored for implementation,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",5,100,,,5,5,,,5,5,,,5,5,,,5,"28,75",28.75,,,,,,"target exceeded ,please provide reason for deviation.",,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.10 Percentage of identified Traditional Council Officials & Traditional Public Office Bearers assessed in line with Job descriptions,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,100,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.11 Number of Anti GBVF Intervention/campaigns for traditional leadership,Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",0,0,,,1,1,,,0,0,,,1,1,,,2,2,2,,,,,,,,,noted,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.13 Percentage of TCs supported with boundary applications,Non-Standardized,Average,"Priority 5: Spatial Integration, Human Settlements and Local Government",Build a caring and incorruptible government,Governance and Administration cluster,0 %,0 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,75 %,75,,,,,"All boundary
requests
received
attended to
",,,,noted,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.14 Number of capacity building initiatives implemented for Amakhosi,Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,Governance and Administration cluster,0,0,,,0,0,,,1,1,,,2,2,,,3,2,2,,,,,"This refers to all capacity building initiatives conducted for Amakhosi, including trainings 
",,Please capture the actual output even if the target is zero,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.2 Percentage of Traditional Leadership succession disputes processed,Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,100,,,,,,,,,noted,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.3 Number of information sharing sessions on conflict management conducted with Amakhosi,Non-Standardized,Not  Applicable,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",2,2,,,4,4,,,4,3,"The fourth session of information sharing was supposed to take place at ilembe District , but the agreed upon  date was changed which was 06 October 2024 and on the following sitting the presentations were not allowed. ",In the next quarter the Directorate will ensure that the dates are communicated at the beginning of the quarter.,2,2,,,12,11,11,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.4 Number of Provincial Houses monitored for functionality,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,1,1,,,1,1,1,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.5 Percentage of Local Houses monitored for functionality,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,100,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.7 Number of Izinduna Databases maintained,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,1,1,,,1,1,1,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.8 Percentage of Amakhosi/Amabambabukhosi recognitions concluded within 6 months of the ubukhosi position becoming vacant,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,75,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,4.1.9 Percentage of recognised Amakhosi/Amabambabukhosi with updated family trees,Non-Standardized,Average,Not Applicable,Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,,,100 %,100 %,100,,,,,,,,,,,,,,209
,Cooperative Governance,KwaZulu-Natal,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of Traditional Councils supported to perform their functions,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",76,76,,,77,77,,,77,77,,,77,77,,,307,307,307,,,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,Percentage of Departmental Vacancy Rate,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,10 %,4 %,,,10 %,4 %,4,The Department introduced improved measures in its recruitment processes thus resulting to quicker filling of vacant posts.,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly, Number of capacity building initiatives implemented for contract compliance ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None,None,1,1,Target achieved,N/A,1,1,Target Achieved,N/A,1,1,Target achieved,N/A,4,4,4,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly, Number of performance oversight meetings held with Department entity (ADA) ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None,None,1,1,Target achieved ,N/A,1,1,Target Achieved,N/A,1,1,Target achieved,N/A,4,4,4,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,1 Percentage of decisions that are compliant with the Promotion of Administrative Justice Act finalized. ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,None,None,100 %,100 %,Target achieved for Q2,N/A,100 %,100 %,Target Achieved,N/A,100 %,100 %,Target achieved,N/A,100 %,100 %,100,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Number of ICT business cases approved for implementation ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q2 to Q4,None,1,1,Target achieved,N/A,0,0,"No target planned for the quarter
",N/A,1,1,Target achieved,N/A,2,2,2,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Number of policy awareness workshops conducted in the Department,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None,None,1,1,Target achieved,N/A,1,1,Target Achieved,N/A,1,1,Target achieved,N/A,4,4,4,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Percentage of annual employee performance assessment concluded for SL 1-12,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build a caring and incorruptible government,"The Economic Sectors, Employment and Infrastructure Development cluster",0 %,0 %,No target planned for Q3,None,0 %,0 %,No target planned for Q2.,N/A,100 %,100 %,Target Achieved,N/A,0 %,0 %,No target planned for this quarter,N/A,100 %,0 %,100,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Percentage of annual performance assessment concluded for SMS,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build a caring and incorruptible government,"The Economic Sectors, Employment and Infrastructure Development cluster",0 %,0 %,No target planned for Q4,None,0 %,0 %,No target planned for Q2,N/A,0 %,0 %,"No target planned for the quarter
",N/A,100 %,100 %,Target achieved,N/A,100 %,100 %,100,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Percentage of employees signed performance agreement submitted within the prescribed timeframe,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build a caring and incorruptible government,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,98 %,"Delayed from 29 officials to submit on time due to various reasons, however, letters of non-compliance have issued to their supervisors.",Follow up and application of the performance policy to be implemented,0 %,0 %,No target planned for Q2,N/A,0 %,0 %,"No target planned for the quarter
",N/A,0 %,0 %,No target planned for this quarter,N/A,100 %,0 %,100,Target achieved,N/A,,,,reason for deviation is noted.,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,"Percentage of Non-SMS employees (MMS, OSD & SCM) compliant with financial disclosure submission",Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build a caring and incorruptible government,"The Economic Sectors, Employment and Infrastructure Development cluster",0 %,0 %,Target planned for Q2,None,100 %,100 %,Target achieved,N/A,0 %,0 %,"No target planned for the quarter
",N/A,0 %,0 %,No target planned for this quarter,N/A,100 %,0 %,100,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Percentage of SMS members compliant with financial disclosure submission,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build a caring and incorruptible government,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,None,None,0 %,0 %,No target planned for Q2.,N/A,0 %,0 %,"No target planned for the quarter
",N/A,0 %,0 %,No planned target for the quarter,N/A,100 %,0 %,100,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Approved 2025/26 Departmental Procurement Plan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,1,1,,,1,1,1,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Approved 2024/25 Departmental Contract Register,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q2,None,1,1,Target achieved,N/A,0,0,"No target planned for the quarter
",N/A,0,0,No target planned for this quarter,N/A,1,1,1,Target achieved,N/A,,,,Kindly state reason for deviation from set target.,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Approved 2024/25 Departmental Strategic Risk Register,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q2,None,1,1,Target ,N/A,0,0,"No target planned for the quarter
",N/A,0,0,No target planned for this quarter,N/A,1,1,1,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Approved 2024/25 Infrastructure Programme Management Plan (IPMP),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q4,None,1,1,Target achieved,N/A,0,0,"No target planned for the quarter
",N/A,0,0,No target planned for this quarter,N/A,1,1,1,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,"Investigation conducted on fruitless, unauthorized and irregular expenditure",Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q4,None,0,0,No target planned for Q2,N/A,0,0,"No target planned for the quarter
",N/A,1,1,Target achieved,N/A,1,1,1,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Number of In-Year Monitoring Reports submitted to oversight structures,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,None,None,3,3,Target achieved,N/A,3,3,Target Achieved,N/A,3,3,Target achieved,N/A,12,12,12,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Percentage achievement of Departmental budget expenditure,Non-Standardized,Average,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",25 %,22.9 %,Slow progress on conditional grant expenditure due to national assessment and approval process taken longer than anticipated. Budget performance reviews will be held to facilitate improvement,Province to expedite the process going forward.,50 %,50 %,Target achieved,N/A,75 %,69.3 %,"Target not achieved due to lower than anticipated expenditure on office, leases. PPE, T&S as well as no expenditure on the fresh produce agri-hub",N/A,100 %,96.7 %,Slow progress on the construction of the fresh produce agri-hub,N/A,100 %,59.724999999999994 %,96.70,Slow progress on the construction of the fresh produce agri-hub,Department has commenced engaging RBIDZ to facilitate improved implementation pace,,Please provide the corrective action,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Percentage of valid invoices paid within 30 days,Non-Standardized,Min,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,99.29 %,"End users do not submit invoices for payment on time. More awareness campaigns and consequence management to be implement.
",More workshops and consequence management to be implemented ,100 %,100 %,Target achieved,N/A,100 %,99.97 %,Delays in the submission of invoices on time by end-user ,N/A,100 %,99.86 %,Delays to submit valid invoices on time by end-users,More workshops to be rolled-out and the Department to continue implementing consequence management,100 %,100 %,99.92,Delays in submitting valid invoices by end-users. ,More workshops to be rolled-out and the Department to continue implementing consequence management,,Reason for deviation and corrective action   statement has been noted.,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Unqualified AG audit outcome,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q2,None,0,0,No target planned for Q2,N/A,1,0,"No target planned for the quarter
",N/A,0,0,No target planned for this quarter,N/A,1,0,1,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Updated 2024/25 Departmental Asset Register,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q2,None,1,1,Target achieved,N/A,0,0,"No target planned for the quarter
",N/A,0,0,No target planned for this quarter,N/A,1,1,1,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of agricultural infrastructure established,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,8,Previous financial year projects only finalized in Q1,None,3,7,Projects planned for finalization in Q3 where concluded earlier.,N/A,17,9,"Infrastructure project started very late due to late transfer of conditional grant. Construction of projects started in the second quarter and will be completed in 4th quarter 
",None,36,17,The service providers employed more people to compensate for the delays encountered and ensure timeous completion,The Department will consider reducing target in the next financial year,59,41,36,Delays in the start of infrastructure project due to the late transfer of conditional grant. funding ,The Department has reduced the annual target for the next financial year.,,"Reason for deviation provided is not in with the reported performance, please review and expand to explain why the target was not achieved.",,"quarterly target has been exceeded, please provide reason for deviation and corrective action.",Kindly provide the corrective action statement. ,Kindly provide a corrective action statement. ,61% achievement.   Reporting on outstanding/ delayed infrastructure planned must be captured correctly in the new financial year. Carry-over outputs must be reported as such ,267% achievement. Reason for deviation and corrective action not provided ,Noted.,"Underperformance is noted. however, a more detailed reason for deviation and corrective action must be provided.","Reason for 
 does not tally with reported performance. ",209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of agricultural infrastructure rehabilitated by the department,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",1,3,Previous financial year projects only finalized in Q1,None,7,7,Target achieved,Target achieved,11,11,Target Achieved,None,9,27,The Department's Yellow-Plants enabled the re-scooping of more dams,N/A,28,48,28,Target achieved,N/A,,"Quarterly target has been exceeded, please provide a corrective action.",,"quarterly target has been exceeded, please provide reason for deviation and corrective action.",,Kindly revise the reason for deviation for underachievement as Q2 was achieved.,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of kilometre fenced for agricultural use,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,No target planned ,None,13.5,13.5,Target achieved,Target achieved,23.5,36.86,".
Over achievement is a carry-over from previous quarter",None,59.9,70.49,The Department fenced more kilometers to make up for previous quarter shortfall and ensure annual target achievement,N/A,96.9,120.85,106,Pronouncement of new additional projects resulted in more kilometres completed than anticipated,N/A,,,,,,Kindly provide a corrective action statement. ,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of green jobs created (EPWP),Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",330,338,Additional EPWP beneficiaries employed,None,0,7,EPWP beneficiaries employed as replacement of exits.,N/A,0,9,Projects participants leaving and new ones joining,None,0,8 ,Project participants leaving and new ones joining,N/A,330,362,362,Project participants leaving due to greener pastures and new ones joining,N/A,,,,"slight over achievement is noted, please provide reason for deviation and corrective action statement.",Provide a corrective action statement.,Kindly provide a corrective action statement.,109.7% achievement. Reason for deviation noted.,102.4% achievement. Reason for deviation and corrective action not provided,Noted.,Noted ,Reason for deviation noted,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of hectares of agricultural land rehabilitated  through the Land Care Programme,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",700,772.15,Additional EPWP beneficiaries enabled more hectares to be rehabilitated,None,850,"941,96","Additional EPWP beneficiaries employed enabled more hectares to be rehabilitated.
",N/A,700,1082.91,Variance is due to follow-up control which is quicker than new clearing and easier terrain in the quarter,None,650,572.41,"Varience is due to not working on rainy days.
overall the annual target was met- projects over achieved in the previous quarters.annual achievement of 3369.02ha",N/A,2900,3368.4700000000003,3369.02,Variance is due to follow-up control which is quicker than new clearing.,N/A,,,,"slight over achievement is noted, please provide reason for deviation and corrective action statement.",Kindly provide a corrective action statement.,"Target overachieved, Kindly provide a reason for deviation and corrective action statement.",116.17% achievement. Reason for deviation is noted.,110% achievement. Reason for deviation and corrective action not provided,"While this is a positive outcome, the reason for deviation lacks detail regarding how the additional EPWP beneficiaries were deployed and whether this level of performance is sustainable in future quarters. We recommend providing more specific insights into how the additional resources were allocated and whether there are any potential limitations or risks that need to be addressed. Furthermore, even in cases of overachievement, a corrective action statement should be provided to guide the future planning of resources and targets to ensure consistent performance.",154.7% achievement. Detailed reason for deviation and possible corrective action must be provided for both over and under performance,Reason for deviation noted. ,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of hectares of cultivated land under  Conservation Agriculture practises,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q3 and Q4,None,0,0,No target planned for Q2,N/A,350,419.91,"With the funding of glyphosate and implements, farmers were able to plant additional hectares
",None,350,297.09,"Due to prolonged rain, overall the annual target was over achieved annual achievement of 717ha",N/A,700,717,717,Glyphosate and implements funding enabled farmers to plant additional hectares,N/A,,,,,,Kindly provide a corrective action statement.,102.4% achievement. Reason for deviation is noted.,,none ,120% achievement. Reason for deviation is noted,Reason for deviation is noted.,209
