Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q2,CorrectiveAction_Q2,UID
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,% Increase localisation in both public and private sectors through key sectoral interventions,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",20% Increase localisation in both public and private sectors through key sectoral interventions,,,,,,,"10% Increase 
localisation in both public and private sectors through key sectoral interventions",R1 467 660.00 ,"Fewer companies reported on this indicator in this quarter
","Increased  engagements with stakeholders on localisation

","10% Increase
 localisation in both public and private sectors through key sectoral interventions","R1 105 223 784.00 derived from the following:
Aerospace & Defense local industrial output:  R9 512 000 
CCPP(Afro Zonke): R100 000 000
Electro-Tech: R2 100 000
Industrial Procurement : R489 839 000
NIPP: R503 772 784

Note: - 31% of R1 607 400 of quarterly  
","Slow economic growth resulting in low localisation value reported by companies
","Branch will endeavor to engage more companies in order to increase the value of localisation reported
",20% Increase localisation in both public and private sectors through key sectoral interventions,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Develop and implement a  Regional Critical Minerals (RCM) Strategy and funding proposal  in partnership with the Department of Minerals and Petroleum  ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Develop and implement a  Regional Critical Minerals (RCM) Strategy and funding proposal  in partnership with the Department of Minerals and Petroleum  ,,,,,,,"Stakeholder engagemen
t  towards the development of a  draft Regional Critical Minerals (RCM) Strategy  Framework in partnership with the Department of Minerals and Petroleum  ","Draft Regional Critical Minerals (RCM) Strategy  Framework was revised following the presentation to Economic cluster and Cabinet.

",N/A,N/A ,"Development of a draft Regional Critical Minerals (RCM) Strategy  

Funding proposal and implementation plan of the Regional Critical Minerals (RCM) Strategy  Framework in partnership with the Department of Minerals and Petroleum  
","Draft Regional Critical Minerals (RCM) Strategy developed

The draft Regional Critical Minerals Strategy document has informed the dtic inputs into the following processes:
the National Critical Minerals Strategy- led by the Department of Mineral Resources and Energy, 
Development of the Continental Critical Mineral’s Strategy- through led by the Department of International Relations and Cooperation (DIRCO)
",N/A,N/A,Develop and implement a  Regional Critical Minerals (RCM) Strategy and funding proposal  in partnership with the Department of Minerals and Petroleum  ,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Development of National  industrial policy ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Development of a draft National Industrial Policy,,,,,,,"Conduct research to
 inform the National Industrial Policy Framework

Stakeholder engagement workshops
","Conducted research to inform the National Industrial Policy Framework
Held stakeholder engagement workshops with different industries

Produced draft document for further consultations 


",N/A ,N/A ,"Draft National 
Industrial Policy Framework developed and submitted to the Accounting Office","Draft National Industrial
Policy developed and
submitted to the Accounting
Officer
",N/A,N/A,Development of a draft National Industrial Policy,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Establishment of a Decarbonisation Project Coordination Office,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Establishment of a Decarbonisation Project Coordination Office,,,,,,,Identification of resources towards the establishment of a Decarbonisation Strategy,"Identification of resources towards the establish 
ment of a Decarbonisation Strategy


Note: This is described within the project plan under Project governance
",N/A ,N/A ,"Approval of a 
Decarbonisation Project Coordination Office","Resources will be provided internally at the dtic. 
",N/A,N/A,Establishment of a Decarbonisation Project Coordination Office,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Finalisation of a decarbonisation strategy for the industry  ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Finalisation of a decarbonisation strategy for the industry by Cabinet,,,,,,,Stakeholder engagement  and project plan development towards the  implementation of  a draft decarbonisation strategy,"Stakeholder engagements held and project plan towards the implementation of  a draft decarbonisation strategy was developed

",N/A ,N/A ,"Finalisation of a 
decarbonisation strategy for the industry  ","Draft Industry Decarbonisation Strategy submitted
",N/A,N/A,Finalisation of a decarbonisation strategy for the industry by Cabinet,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Hemp and Cannabis Commercialization Policy approved ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Approved  of Hemp and Cannabis Commercialization Policy,,,,,,,"Draft Hemp and 
Cannabis Commercialization Policy","Draft Commercialisation Policy
 developed. However, the policy has not yet been submitted for Ministerial approval
","Policy was circulated for public comment and deadline was set for 2 Jan 2025

","Draft Hemp and Cannabis Commercialization Policy to be 
submitted in Q4

","Finalisation of Hemp 
and Cannabis Commercialization Policy","Finalised Hemp and Cannabis Commercialisation Policy and submitted for approval and sign-off.
",N/A,N/A,Approved  of Hemp and Cannabis Commercialization Policy,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of  new jobs created through sectoral interventions,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3 000 new jobs created through the sectoral interventions,,,,,,,"1 500 jobs created 
through the sectoral interventions ",188,"Fewer companies have reported on the number of jobs created

","Increased engagements with stakeholders on jobs created

","1 500 jobs created 
through the sectoral interventions ","24 jobs created through the following sectors:

Aerospace & Defense : 4
Metals (GMSA) : 10
CCPP (Aro Zonke): 10
","Slow economic growth resulted in the low number of jobs reported. 
","Branch will endeavour to engage more companies in order to increase the number of jobs reported
",3 000 new jobs created through the sectoral interventions,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of Masterplans reviewed,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","1 Masterplan reviewed 
(Auto Masterplan)
",,,,,,,"Stakeholder engagemen
t workshops on Automotive Master Plan","Initial engagements on
 the Automotive Policy Review terms of reference commenced in December following the EOC.
","Unavailability of stakeholders to engage earlier

","Process being fast-tracked for consideration by stakeholders during Q4.
","Draft Automotive 
Master Plan with implementation actions reviewed","Draft ToR developed and submitted to ERPC for review. 

","Draft Automotive Master Plan was not completed. A   submission was  submitted to ADDG highlighting reasons for non-achievement
","To be completed in Q1 of 25/26 FY
","1 Masterplan reviewed 
(Auto Masterplan)
",-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of Masterplans reviewed,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","1 Masterplan reviewed 
(Auto Masterplan)
",,,,,,,,,,,,N/A,N/A,N/A,,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of SMMEs provided with market access instruments ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Number of SMMEs provided with market access instruments 200  SMMEs provided with market access instruments,,,,,,,"Market access 
instruments provided to 100 SMMEs  ", 102," N/A
","   N/A
","Market access 
instruments provided to 100 SMMEs  "," 195 SMME’s through the following sectors:: 
AISI: 6
Industrial Procurement: 1
CCPP (Cosmetics): 27
Proudly SA: 161
","Significant number of SMME’s that exhibited at the Proudly SA Summit resulted to the achievement. 
",N/A ,200  SMMEs provided with market access instruments,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Rand value of investment secured through key sectoral interventions,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R5bn  investment secured  through key sectoral  interventions,,,,,,,"R1bn investment
secured through key sectoral interventions",R 2 283 474 670.17 ,"The investment from PG Bison’s SupaWood (medium-density fibreboard - MDF) manufacturing facility was significant and  accounted for the overachievement

","N/A 
",R2.5bn investment secured through key sectoral interventions,"R 125 687 468. from the following:
AISI : R11 490 780
Metals: R12 190 688
CCPP(Afro Zonke): R15 000 000
Electro-Tech (Icembu Cables): R15 000 000
Automotive (MAN): R72 000 000

","Slow economic growth resulting in a low value of investment reported by companies
","Branch will endeavor to engage more companies in order to increase the value of investments reported
",R5bn  investment secured  through key sectoral  interventions,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Rand value of manufacturing exports ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R3bn  value of manufacturing exports,,,,,,,"R1.5bn worth of 
manufacturing exports",R 347 581 657.00 ,"Fewer companies reported on this indicator
","Increased  engagements with stakeholders on manufacturing Exports

","R1.5bn worth of 
manufacturing exports","R232 870 110.04 from the following:
Aerospace & Defense:  R8 000 000
Metals: R224 870 110.04
","Slow economic growth resulting in a low value of manufacturing exports reported by companies
","Branch will endeavor to engage more companies in order to increase the value of manufacturing exports reported
",R3bn  value of manufacturing exports,-,,,,,,,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value (Rand) of investment facilitated by branch interventions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,R500m ,R4 537 741 091 ,"Regular monitoring of investments pledged
",N/A ,R1bn ,"R1 259 354 788
",R1bn ,N/A,N/A,,"R500m 
",N/A,N/A,N/A,R3bn ,-,,,,,"A larger than expected investment obtained from Toyota
",N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value (Rand) of additional local output committed or achieved by branch interventions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,R875m ,R150 000 000 ,"Low monitoring of localization data
","Increased  engagements with stakeholders on localization
",R875m ,0  ,R875m ,N/A,N/A,N/A,"R875m 
",N/A,N/A,N/A,R3.5bn ,-,,,,,"No companies reported on this indicator in this quarter
","Increased  engagements with stakeholders on localisation
",300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value (Rand) contributed by branch through manufacturing exports,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,R137.5m ,R4 671 903 ,"Regular monitoring of sector interventions and increased stakeholder engagements
",N/A ,R200m ,0,R100m ,N/A,N/A,N/A,"R112.5m
 ",N/A,N/A,N/A,R550m ,-,,,,,"No companies reported on this indicator in this quarter
","Increased  engagements with stakeholders on manufacturing Exports
",300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value (Rand) contributed by branch through manufacturing exports to the rest of Africa,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,R27.5m ,R29 045 479 ,"Regular monitoring of sector interventions and increased stakeholder engagements
",N/A ,R50m ,R84 917 257.16 ,R20m ,N/A,N/A,N/A,"R12.5m 
",N/A,N/A,N/A,R110m ,-,,,,,"Regular monitoring of sector interventions and increased stakeholder engagements
",N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Value (Rand) of output by black industrialists supported through sector interventions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,R250m ,0,"Low monitoring of black-owned business in sectors
","Increased sector interventions amongst  black industrialists 
",R250m ,Nil  ,R250m ,N/A,N/A,N/A,"R250m 
",N/A,N/A,N/A,R1bn ,-,,,,,"No black-owned companies reported on their output
","Increased sector interventions amongst  black industrialists 
",300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs supported and maintained through branch interventions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,600 000,562  009 ,"Low monitoring of jobs supported by Master Plans
","Increased sector interventions for jobs supported by Master Plans
",600 000,617 932 ,600 000,N/A,N/A,N/A,"600 000
",N/A,N/A,N/A,600 000,-,,,,,"Data sources have demonstrated  a marginal increase in number of jobs maintained in the sector against the target set
",N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs to be created through branch interventions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,500,"241 jobs derived from the following:
13 B1 total: 200 jobs to be created
Metals: 100 jobs
CTFL: 100 jobs

13 B2 total: 41  jobs created
AISI: 6 jobs  
CCPP: 10 jobs
CTFL : 25 jobs
","Low monitoring of data on jobs created
","Increased engagements with stakeholders on jobs created
",1 000,281,500 ,N/A,N/A,N/A,"500
",N/A,N/A,N/A,2 500 ,-,,,,,"Fewer companies have reported on this
","Increased engagements with stakeholders on jobs created
",300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of jobs supported through branch interventions in Black Industrialist firms,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,1 500 ,29,"Low monitoring of jobs retained in black-owned firms
","Increased sector interventions amongst  black industrialists 
",1 500m,"AISI: 28 Jobs
",1 500,N/A,N/A,N/A,"2 000
",N/A,N/A,N/A,6 500,-,,,,,"No black-owned companies reported on jobs supported
","Increased sector interventions amongst  black industrialists 
",300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of compulsory specifications for Energy Efficiency submitted to the Executive Authority,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil  ,Nil  ,N/A ,N/A ,1,"1 compulsory specifications for Energy Efficiency submitted to the Executive Authority 
",Nil ,N/A,N/A,N/A,"1 
",N/A,N/A,N/A,2,-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Amendment of National Building Regulations and Building Standards Act submitted to Cabinet,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil  ,Nil  ,N/A ,N/A ,Nil  ,N/A ,Nil  ,N/A,N/A,N/A,"1 
",N/A,N/A,N/A,1,-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of reports on monitoring and evaluation of the implementation of the White paper on New Energy Vehicle,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Report on monitoring and evaluation of the implementation of the White paper on New Energy Vehicle,"1 Report on the monitoring and evaluation of the implementation of the EV White Paper 
",N/A ,N/A ,Report on monitoring and evaluation of the implementation of the White paper on New Energy Vehicle,"Report on monitoring and evaluation of the implementation of the White paper on New Energy Vehicle
",Report on monitoring and evaluation of the implementation of the  White paper on New Energy Vehicle,N/A,N/A,N/A," Report on monitoring 
and evaluation of the implementation of the Whitepaper on New Energy Vehicle   ",N/A,N/A,N/A,4,-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of reports on monitoring and evaluation of the implementation of the Green Hydrogen commercialisation framework,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,"Report on monitoring and evaluation of the implementation of the Green Hydrogen commercialisation framework
","1 Report on the monitoring and evaluation of the implementation of the Green Hydrogen commercialisation framework  
",N/A ,N/A ,"Report on monitoring and evaluation of the implementation of the Green Hydrogen commercialisation framework
","Report on monitoring and evaluation of the implementation of
 the Green Hydrogen commercialisation framework
","Report on monitoring and evaluation of the implementation of the Green Hydrogen commercialisation framework
",N/A,N/A,N/A,"Report on monitoring 
and evaluation of the implementation of the Green Hydrogen commercialisation framework
",N/A,N/A,N/A,4,-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,"Monitoring and evaluation of the implementation of approved Master Plans (Automotive, RCTLF, Sugar, Poultry, Furniture and Steel)",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Monitoring and evaluation of the implementation of 8 approved Master Plans,"Monitored and evaluated the implementation of 8 approved Master Plans
",N/A ,N/A ,Monitoring and evaluation of the implementation of 8 approved Master Plans,"Monitoring and evaluation of the implementation of 6 approved Master Plans

*GBS to be submitted by Programme 6
",Monitoring and evaluation of the implementation of 8 approved Master Plans,N/A,N/A,N/A,"Monitoring and 
evaluation of the implementation of 8 approved Master Plans",N/A,N/A,N/A,Monitoring and evaluation of the implementation of 8 approved Master Plans,-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Medical Devices Master Plan finalised and implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Finalisation of the Medical Devices Master Plan,"Medical Devices Master Plan was approved, launched and signed by Min Patel and various stakeholders in the sector on 13 May 2024 at the IDC
",N/A ,N/A ,Implementation of the Medical Devices Master Plan,"1 Implementation report on the Medical Devices 
Master Plan
",Nil ,N/A,N/A,N/A,"Nil 
",N/A,N/A,N/A,Finalisation and implementation of the Medical Devices Master Plan,-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of reports setting out progress with oversight of competition entities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Monitoring and evaluation of the impact of the work of entities ensuring 96% achievement of KPIs and the impact of the work of entities,"1 report on the monitoring and evaluation of the impact of the work of entities to ensure 96% achievement of KPIs and the impact of the work of entities 
",N/A ,N/A ,Monitoring and evaluation of the impact of the work of entities ensuring 96% achievement of KPIs and the impact of the work of entities,"1 Monit
oring and evaluation report on the impact of the work of entities ensuring 96% achievement of KPIs and the impact of the work of entities
",Monitoring and evaluation of the impact of the work of entities ensuring 96% achievement of KPIs and the impact of the work of entities,N/A,N/A,N/A,"Monitoring and 
evaluation of the impact of the work of entities ensuring 96% achievement of KPIs and the impact of the work of entities",N/A,N/A,N/A,4,-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,Number of regulations / guidelines published & red tape reduction interventions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil  ,Nil ,N/A ,N/A ,Nil ,N/A ,Nil ,N/A,N/A,N/A,"1
",N/A,N/A,N/A,1,-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Progamme 4:Sectors,Progamme 4:Sectors,Quarterly,"Number of reports on the implementation and Monitoring of a Metal Trading System to identify stolen public infrastructure entering the scrap metal value-chain, export market or legitimate metal production industry",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,"1 progress reports on the Implementation and Monitoring of a Metal Trading System to identify stolen public infrastructure entering the scrap metal value-chain, export market or legitimate metal production industry","1 progress reports on the Implementation and Monitoring of a Metal Trading System to identify stolen public infrastructure entering the scrap metal value-chain, export market or legitimate metal production industry 
",N/A ,N/A ,"1 progress reports on the Implementation and Monitoring of a Metal Trading System to identify stolen public infrastructure entering the scrap metal value-chain, export market or legitimate metal production industry","1 progress reports on the Implementation and Monitoring of a Metal Trading System to identify stolen public infrastructure entering the scrap metal value-chain, export market or legitimate metal production industry
","1 progress reports on the Implementation and Monitoring of a Metal Trading System to identify stolen public infrastructure entering the scrap metal value-chain, export market or legitimate metal production industry",N/A,N/A,N/A,"1 progress reports on
 the Implementation and Monitoring of a Metal Trading System to identify stolen public infrastructure entering the scrap metal value-chain, export market or legitimate metal production industry",N/A,N/A,N/A,"4 Progress reports on Implementation and Monitoring of a Metal Trading System to identify stolen public infrastructure entering the scrap metal value-chain, export market or legitimate metal production industry",-,,,,,"Report was not submitted to the ADDG before the end of the quarter
","Report to be signed off upon the appointment of an ADDG
",300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Annually,"(%) of procurement contracts approved towards women, youth and PWD owned businesses",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,"  (%) of procurement contracts approved towards women, youth and PWD owned businesses",Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil ,Nil  ,N/A ,N/A ,Nil  ,N/A ,Nil  ,N/A,N/A,N/A,"40% Women
30% Youth and
7% PWD owned businesses","40% Women
","The legislative requirements of the
80/20 preferential goals make it difficult for woman, youth and
PWD owned businesses to benefit. The 80 already goes to price which determines the winning supplier thereby disadvantaging the targeted groups
","Quarterly engagements with
branches to promote awareness of the shared targets in the procurement process as outlined in the APP Training of Financial
Advisors to provide support in the respective branches at the initial planning
stages of the process
","40% Women
30% Youth and
7% PWD owned businesses",-,,,,,N/A ,N/A ,300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,% achievement of planned targets by entities,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",85% achievement of planned targets by entities,,,,,,,Nil,"76%
","5 out of the 19 entities achieved less than 56%  of their planned targets and thus pulling down th
e combined/overall performance of the 19 entities.
(11 out of the 19 entities achieved over 85% (and above) of their planned targets).
","Track th
e implementation of the corrective actions identified by the entities.
",85% achievement of planned targets by entities,"74%
",7 out of the 19 entities achieved less than 70%  of their planned targets and thus pulling down the combined/overall targets  ,Track the implementation of the corrective actions identified by the entities.,85% achievement of planned targets by entities,-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,% of  advertised vacancies filled   ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","100% of advertised vacancies filled 

",,,,,,,Nil,Longlists of advertised entity vacancies were received and shortlisting done,"N/A 
",N/a ,100% of vacancies advertised in September 2024 filled by 31 March 2025,"Longlists of advertised entity vacancies were received and shortlisting done. Process of screening potential candidates is underway.
","
There was a high volume of applications received and the selection process took longer than anticipated
","The screening process of the candidates and the entire selection and placement process to be expedited.
","100% of advertised vacancies filled 

",-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,% of entities obtaining Clean Audit Outcomes,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","56% of entities obtaining Clean Audit Outcomes
",,,,,,,Nil,N/A,N/A,N/A,56% of entities obtaining Clean Audit Outcomes,"Of the 2023/24 concluded audits, 9 out of 18 entities achieved clean audit outcomes (50%).
9 out of 18 entities (50%) received unqualified outcomes with material findings 
","None
","None
","56% 
of entities obtaining Clean Audit Outcomes
",-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,% of procurement spent on businesses owned by persons with disability,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",% of procurement spent on businesses owned by persons with disability,,,,,,,Nil,N/A,N/A,N/A,2% PWD owned businesses,"1% PWP
","The legislative requirements of the
80/20 preferential goals make it difficult for woman, youth and
PWD owned businesses to benefit. The 80 already goes to price which determines the winning supplier thereby disadvantaging the targeted groups
","Quarterly engagements with
branches to promote awareness of the shared targets in the procurement process as outlined in the APP Training of Financial
Advisors to provide support in the respective branches at the initial planning stages of the process
",% of procurement spent on businesses owned by persons with disability,-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,% of procurement spent on women owned businesses ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","40% of procurement spent on women owned businesses
",,,,,,,Nil,N/A,N/A,N/A,"40% 
women 
","40% Women
","7 out of the 19 entities achieved less than 70%  of their planned targets and thus pulling down the combined/overall performance of the 19 entities.
(7 out of the 19 entities achieved over 85% (and above) of their planned targets).

","Track the implementation of the corrective actions identified by the entities.
","40% 
of procurement spent on women owned businesses
",-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,% of procurement spent on youth owned businesses,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",30% of procurement spent on youth owned businesses,,,,,,,Nil,N/A,N/A,N/A,"30% Youth

","24% Youth
","The legislative requirements of the
80/20 preferential goals make it difficult for woman, youth and
PWD owned businesses to benefit. The 80 already goes to price which determines the winning supplier thereby disadvantaging the targeted groups
","Quarterly engagements with
branches to promote awareness of the shared targets in the procurement process as outlined in the APP Training of Financial
Advisors to provide support in the respective branches at the initial planning stages of the process
",30% of procurement spent on youth owned businesses,-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of case studies covering the dtic Group / Entities success stories,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,250,20,"Branches submit case studies from the middle to the end of the first month of the following quarter.
","Branches to, at least, submit case studies by the 3rd day of the first month following the end of the quarter, as suggested in the memo prepared for submission of case studies.  And the Chief Directorate ‘s reporting deadline to follow this date
",250,18,250,N/A,N/A,N/A,250,N/A,N/A,N/A,1000,0,,,,,"Quarterly targets for the current APP were erroneously captured for this specific indicator, the approved APP currently reflects 4 instead of 2.  In the Q2 report, Strategy captured the quarterly target as per approved branch plan instead.   APP is being currently revised and the target will be corrected. Also, actual achievement will be consolidated at the end of financial year to determine whether the target was achieved or not

","
Number of case studies should be reviewed as there are many external factors
",300
,"Trade, Industry and Competition",National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of community outreach initiatives completed in 10 Districts,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,1,2,"2024 General elections affected  
","Community outreach programme will be rolled-out per province X 9 going forward
",4,3 ,4,N/A,N/A,N/A,1,N/A,N/A,N/A,10,0,,,,,Increase in opportunities to carry out more community engagements,N/A ,300
