Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,National_Q4,National_Q3,DesiredPerformance,UID
Social Development,Social Development,Gauteng,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing community-based care and support services,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",19675,11336,"Target: Not Achieved.
Performance is due to fewer beneficiaries accessing community-based services than anticipated. Efforts to realise the target within the quarter could not be concluded pending finalisation of Service Level Agreements (SLAs).
","The Department will fast track signing of SLAs and implementation of the programme in the subsequent quarter. Furthermore, the Department will facilitate access to the programme through promotion and prevention services to make communities aware of existing services. 
",Target not achieved.,19675,"
15 110
",Target: Not Achieved                                performance is due community-based care and support centres that does not meet funding requirements.,The Department will continue to capacitate community-based care and support centres to comply with the funding requirements for older persons to access the services.,Target not achieved.,15822,"

15 813
",Target: Not Achieved                                Performance is due to community-based care and support centres that does not meet funding requirements.,The Department will continue to capacitate community-based care and support centres to comply with the funding requirements for older persons to access the services.,Target not achieved. The Annual Target is not aligned to revised APP.,15822,"

16 416
",Target: Exceeded                                       Performance is due to community-based care and support centres that met the funding requirements.,The Department will continue to facilitate access to the programme.,Target exceeded,15822,16416,16416,Target: Exceeded                                       Performance is due to community-based care and support centres that met the funding requirements.,The Department will continue to facilitate access to the programme.,,"Targeted output is underachieved, reason for deviation and corrective action noted.","Underachievement with reason for deviation and corrective action is noted for this indicator.

",Reason for deviation and corrective action are acknowledged for this overachieved indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
Social Development,Social Development,Gauteng,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing residential facilities,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",6146,5384,"Target: Not Achieved
Performance is due to fewer beneficiaries accessing residential facilities than anticipated and it is also dependent on the number of referrals received from communities.",The Department will continue to facilitate access to the programme (Prevention and awareness services to make communities aware of existing services). Furthermore review to ensure all categories of residential facilities are included as per norms and standards.,Target not achieved.,6146,"
5 777
","Target: Not Achieved                              Performance is due to less admissions 
caused by reclassification of persons with disabilities as older persons and mental health patients. Two (2) facilities have not signed SLAs.","The Department will continue to facilitate access to the programme (Prevention and awareness services to make communities aware of existing services). Furthermore, review to ensure all categories of residential facilities are included as per norms and standards.",Target not achieved.,6146,"
5 915
",Target: Not Achieved                              Performance is due to less referrals received from the community ,The Department will continue to facilitate access to the programme through prevention and awareness services to make communities aware of existing services.,Target not achieved.,6146,"
6 385
",Target: Exceeded                                        Performance is due to more beneficiaries being accommodated in residential facilities ,The Department will continue to facilitate access to the programme.,Target exceeded,6146,6385,6390,Target: Exceeded                                        Performance is due to more beneficiaries being accommodated in residential facilities.,The Department will continue to facilitate access to the programme.,,Underachievement with reasons for deviation and corrective action noted.,"Underachievement with reason for deviation and corrective action is noted for this indicator.

",Reason for deviation and corrective action are acknowledged for this overachieved indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
Social Development,Social Development,Gauteng,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of persons with disabilities accessing residential facilities,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",1703,1277,"Target: Not achieved
Performance is due to less admissions 
caused by reclassification of persons with disabilities as older persons.
 
Furthermore, efforts to realise the target within the quarter could not be concluded pending finalisation of Service Level Agreements (SLAs).
","TThe Department has since finalised signing of SLAs, will continue to facilitate access to the programme and fast track implementation in the subsequent quarter.
","Target not achieved.
",1703,"
1 429
","Target: Not Achieved
Performance is due to less admissions 
caused by reclassification of persons with disabilities as older persons and some reclassified as mental health patients. Furthermore two (2) facilities have not signed SLAs.",The Department will facilitate access to the programme through promotion and prevention services to make communities aware of existing services. ,Target not achieved.,1703,"1 435
","Target: Not achieved
Performance is due to the reclassification of persons with disabilities as older persons, some. are now beneficiaries of the Department of Health due to severe disability There are also vacant beds that needs to be filled.",The Department will facilitate access to the programme through promotion and prevention services to make communities aware of existing services. ,Target not achieved.,1703,"

1 398
","Target: Not achieved
Performance is due to the reclassification of persons with disabilities over the age of 60 as older persons, therefore no longer reported under disability programme but they are still occupying space and benefiting from the disability residential facilities. Some are now beneficiaries of the Department of Health due to severe disability.",The Department will facilitate access to the programme.,Target not achieved ,1703,1435,1438,"Target: Not achieved
Performance is due to the reclassification of persons with disabilities over the age of 60 as older persons, therefore no longer reported under disability programme but they are still occupying space and benefiting from the disability residential facilities. Some are now beneficiaries of the Department of Health due to severe disability.",The Department will facilitate access to the programme.,,Underachievement with reason for deviation and corrective action reported.,"Underachievement with reason for deviation and corrective action is noted for this indicator.

",Reason for deviation and corrective action are acknowledged for this underachieved indicator.,Performance is noted for this indictor wit reason for deviation and corrective action in place.,,76
Social Development,Social Development,Gauteng,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of persons with disabilities accessing services in protective workshops,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",4265,3146,"Target: Not Achieved
Performance is due to fewer beneficiaries accessing Protective Workshops than anticipated. Some Protective Workshop were not complaint to funding requirements.",The Department will continue to facilitate access to the programme and to support NPOs to meet the compliance requirements.,Target not achieved.,4265,"
3 241
","Target: Not Achieved
Performance is due to some protective workshops that could not sign their SLAs as a result of their non-compliance with funding requirements. ",The Department will continue to facilitate access to the programme and support NPOs to meet the compliance requirements.,Target not achieved.,3509,3353,"Target: Not achieved
Performance is due to  some protective workshops  that are non-compliant with funding requirements. Furthermore less beneficiaries presented themselves for the service.",The Department will continue to facilitate access to the programme and support NPOs to meet the compliance requirements.,"Target not achieved. Revised target is noted. However, the indicator is not the same as the Revised APP. ",3509,"

3 690
","Target: Exceeded 
Performance is due to additional protective workshops that are compliant with funding requirements. ",The Department will continue to facilitate access to the programme ,Target exceeded,3509,3690,3690,"Target: Exceeded 
Performance is due to additional protective workshops that are compliant with funding requirements.",The Department will continue to facilitate access to the programme.,,"The same comment as above applies, submission noted.",The same comment as above applies.,Reason for deviation and corrective action are acknowledged for this overachieved indicator.,Underachievement is noted for this indicator.,,76
Social Development,Social Development,Gauteng,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,"Number of beneficiaries reached through social, and behaviour  change programmes.",Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",68540,485774,"Target:  Exceeded
Performance is due to Department effort to upscale Social and Behaviour Change Programme to mitigate and raise awareness on the increasing infection rate in province.",The Department will continue to facilitate access to the programme.,,68541,"
327 449
","Target:  Exceeded
Performance is due to Department effort to upscale Social and Behaviour Change Programme to mitigate and raise awareness on the increasing infection rate in province.                                                 ",The Department will continue to facilitate access to the programme.,,68675,"

345 249
","Target:  Exceeded
Performance is due to Department effort to upscale Social and Behaviour Change Programme to mitigate and raise awareness on the increasing infection rate in the province.                                  ","The Department will continue to facilitate access to the programme.
",,68540,"

431242","Target:  Exceeded
Performance is due to Department effort to upscale Social and Behaviour Change Programme to mitigate and raise awareness on the increasing infection rate in the province.       ",The Department will continue to facilitate access to the programme.,Target exceeded,274296,1589714,1589714,"Target:  Exceeded
Performance is due to Department effort to upscale Social and Behaviour Change Programme to mitigate and raise awareness on the increasing infection rate in the province.",The Department will continue to facilitate access to the programme.,,"The same comment as above applies, submission noted.","Overachievement with reason for deviation and corrective action is noted for this indicator.

",Reason for deviation and corrective action are acknowledged for this overachieved indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
Social Development,Social Development,Gauteng,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of beneficiaries receiving psychosocial support services,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",111275,90375,"Target: Not achieved
Efforts to realise the targets within the quarter could not be concluded. ",The Department will improve performance in subsequence quarters. ,Target not achieved.,111275,"
116 729
","Target: Exceeded
Performance is due to intensified Psychosocial Support Services.",The Department will continue to facilitate access to the programme.,Target not achieved.,111275,"
129 412
","Target: Exceeded
Performance is due to intensified Psychosocial Support Services.",The Department will continue to facilitate access to the programme.,,111275,"
130 533
","Target: Exceeded
Performance is due to intensified Psychosocial Support Services.",The Department will continue to facilitate access to the programme.,Target exceeded,111275,130533,131804,"Target: Exceeded
Performance is due to intensified Psychosocial Support Services.",The Department will continue to facilitate access to the programme.,,Targeted output is underachieved with reason for deviation and corrective action reported.,"Underachievement with reason for deviation and corrective action is noted for this indicator.

",The same comment as above applies.,The same comment as above applies.,,76
Social Development,Social Development,Gauteng,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,"Number of implementers trained on social, and behaviour  change programmes.",Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",60,61,"Target:  Exceeded
Performance is due to Department effort to upscale Social and Behaviour Change Programme and capacitate   implementers.",The Department will continue to facilitate access to the programme,,60,"

60
","Target:  Achieved                      
          ","None
",Target achieved.,60,"

64
","Target:  Exceeded 
Performance is due to more social service practitioners presenting themselves for training.                
                    
","The Department will continue to facilitate access to the programme .
",,60,"

71
","Target:  Exceeded 
Performance is due to more social service practitioners presenting themselves for training.                              ",The Department will continue to facilitate access to the programme.,Target exceeded,240,256,256,"Target:  Exceeded 
Performance is due to more social service practitioners presenting themselves for training.                               ",The Department will continue to facilitate access to the programme.,,Overachievement with reason for deviation and corrective action reported.,Targeted output is achieved for this indicator.,Reason for deviation and corrective action are acknowledged for this overachieved indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members participating in family preservation services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",45542,43764,Target:  Not achieved                                                   Performance is due to fewer beneficiaries presenting themselves to access services as anticipated. Efforts to realise the targets within the quarter could not be concluded. ,The Department will continue to facilitate access to the programme.,,45668,"

54 293
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.","The Department will continue to facilitate access to the programme.
",,40491,"

53 608
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,,44034,"

54077
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,Target exceeded,175735,205742,205742,"Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,,Overachievement is noted with reason for deviation and corrective action.,"Overachievement with reason for deviation and corrective action is noted for this indicator.

", Overachievement for this indicator is noted with reason for deviation and corrective action reported.,Overachievement is noted for this indicator.,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members participating in parenting programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",23941,27811,"Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,,25508,"

33 833
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.","The Department will continue to facilitate access to the programme.

",,19356,"

33 911
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.
","The Department will continue to facilitate access to the programme.
",,22305,"

32087
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,Target exceeded,91110,127642,127642,"Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,,"Targeted output is overachieved, reasons for deviation and corrective action are noted.","Overachievement with reason for deviation and corrective action is noted for this indicator.

",Overachievement for this indicator is noted with reason for deviation and corrective action reported.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members reunited with their families,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",551,597,"Target: Exceeded                      
Performance is due to more beneficiaries participating in the programme than anticipated. ",The Department will continue to facilitate access to the programme.,,581,"
602
","Target: Exceeded                      
Performance is due to is due to readiness of families and members for reunification.",The Department will continue to facilitate access to the programme.,,582,"
562
","Target: Not achieved                
Reunification is an intensive process and is dependent on the willingness of the clients to be reunified and the families to positively receive their family members.",The Department will continue to facilitate access to the programme.,Target not achieved. ,497,"
530
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme.",The Department will continue to facilitate access to the programme.,Target exceeded,2211,2291,2291,"Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,,"The same comment as above applies, submission noted.","Overachievement with reason for deviation and corrective action is noted for this indicator.

",Overachievement for this indicator is noted with reason for deviation and corrective action reported.,Performance is noted for this indicator.,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of homeless beneficiaries accessing Drop-in Centre,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",0,0,Not targeted under the quarter review,None,,0,,,,,5760,"
2 070
","Target: Not achieved 
Performance is due to the  number of beneficiaries that presented themselves for the service .
Comment:  The target includes physical and mobile drop-in centres.                                         
",Two new  physical  drop-in centres   have been approved for funding this quarter  to improve performance.                                        The Department will continue to facilitate access to the programme.,Target not achieved. Revised target noted.,11520,"
 5 347
","Target: Not achieved 
Performance is due to the number of beneficiaries that presented themselves for the service. 
Comment:  The target includes physical and mobile drop-in centres.
                                         ",Two new physical drop-in centres   have been approved for funding this quarter to improve performance.                                        The Department will continue to facilitate access to the programme.,Target not achieved ,11520,5347,5347,"Target: Not achieved 
Performance is due to  the  number of beneficiaries that presented themselves for the service .
Comment:  The target includes physical and mobile drop-in centres. ",Two new  physical  drop-in centres   have been approved for funding this quarter  to improve performance.                                        The Department will continue to facilitate access to the programme.,,,,,,Highest performance is desired,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of homeless beneficiaries accessing homeless shelters,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",3210,1674,"Target: Not achieved Efforts to realise the targets within the quarter could not be concluded pending finalisation of Service Level Agreements (SLAs). Moreover, one shelter is under renovation and 1 shelter was closed due to health and safety compliance.","The Department has since finalised signing of SLAs, will continue to facilitate access to the programme and fast track implementation in the subsequent quarter.
",,3210,"
2 361
","Target:  Not achieved 
Performance is due ti there (3) shelters that were not operational, (1) is closed and two (2) were temporarily closed due to health and safety compliance. Funding for two 2 shelters in Northern Corridor is suspended due to non- compliance One shelter is under renovation .",The Department will continue to monitor and promote access to shelter services.,Target not achieved.,3210,"
2 303
","Target:  Not achieved 
Performance is due to three shelter that were closed and another one is not operational due to health and safety reasons. Furthermore, funding for 1 shelter is suspended due to non-compliance.",The Department will continue to monitor and promote access to shelter services.,Target not achieved. Revised target noted.,3210,"
2 352
","Target:  Not achieved 
Performance is due to three shelter that were closed and another one is not operational due to health and safety reasons. Furthermore, funding for 1 shelter is suspended due to non-compliance.",The Department will continue to monitor and promote access to shelter services.,Target not achieved ,3210,2352,2361,"Target:  Not achieved 
Performance is due to three shelter that were closed and another one is not operational due to health and safety reasons. Furthermore, funding for 1 shelter is suspended due to non-compliance.","The Department will continue to monitor and promote access to shelter services 
Deaprtment is embarking on the process of identifying buildings to be converted as shelters for homeless.",,,,,,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children in foster care re-unified with their families,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",74,38,"Target: Not Achieved
Both children and families were not ready to be reunified due to unresolved issues and in most instances the reasons for removal still exist. 
","The Department will continue to implement the reunification programmes and work on the areas of removal so that children and families remain committed to the reunification process.
",Target not achieved.,74,"
45
","Target: Not Achieved
Both Children and Families were not ready to be reunified due to unresolved issues and in most instances the reasons for removal still exist.  ",The Department will continue to implement the reunification programmes and work on the areas of removal so that children and families remain committed to the reunification process,Target not achieved.,74,"
29
","Target: Not Achieved
Performance is due to most foster care placements are with related family members therefore there is no need for family reunification.","The Department will continue to implement the reunification programme in terms of unrelated foster care placements.
","Target not achieved. The Department has provided the same RoD and Corrective Actions from Q1 and Q2, but the target remains underachieved. ",74,"
39
","Target: Not Achieved
Underperformance is due to most foster care placements are with related family members therefore prompting no need for family reunification.",The Department will continue to implement the reunification program in terms of unrelated foster care placements,Target not achieved ,296,151,151,"Target: Not Achieved
Underperformance is due to most foster care placements are with related family members therefore prompting  no need for family reunification.",The Department will continue to implement the reunification program in terms of unrelated foster care placements.,,"The same comment as above applies, submission noted.","Underachievement is noted for this indicator coupled with reason for deviation and corrective action.

",The same comment as above applies.,Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of Children participating in Masupatsela Programme,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",0,0,New indicator. Not targeted under the quarter review ,None ,,0,,,,,390,"
481
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme.
",The Department will continue to facilitate access to the programme.,,390,"
696
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme",The Department will continue to facilitate access to the programme.,Target exceeded,390,696,696,"Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme.",The Department will continue to facilitate access to the programme .,,,,,,Higher performance is desired,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children with valid foster care orders,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",36363,31824,"Target: Not Achieved 
Efforts to realise the targets within the quarter could not be concluded. This has impacted on the performance particularly on CPOs contribution to the indicator. ","The Department developed catch up plans with affected Child Protection Organisations to fast track the finalisation of Children Court Enquiries related to Children to be placed in Foster Care.
","Target not achieved.

The department is requested to correct ""Target Achieved"" with ""Target not achieved"".",36363,"34336
","Target: Not Achieved 
Performance is due to some Child Protection Organisation (CPO) experiencing challenges in implementing catch up plans. In addition there are delays in securing the dates on court roll.
 ",The Department will continue to monitor the implementation of catch up plans.,Target not achieved.,33755,"
34 876
","Target: Exceeded
Performance is due to presiding officers prioritising finalisation of children court enquiries related to children being placed in foster care.
The CPOs have intensified implementation of catch-up plans.",The Department will continue with its case flow management meetings with presiding officers as well continue to monitor the catch up plans the Corridors have in place with Child Protection Organisations.,"Target not achieved. The Dept has provided the same RoD and Corrective Actions from Q1 and Q2, but the target remains underachieved. ",33755,"
28892
","Target: Not Achieved 
Performance is due to children who turned 18 years that now require Section 176 Order - only qualify for Section 176 Order when pursuing studies. This means Social Workers will have to receive proof of registration into an educational facility before issuing Section 176 Orders.  
Comment: Annual performance has been achieved.
",The Department will Intensify efforts to remind Foster Parents to submit proof of registration as well as micromanage Social Workers on concluding all cases that qualify for Section 176 Order.,Target not achieved ,33755,34876,34876,"Target: Exceeded
Performance is due to presiding officers prioritising finalisation of children court enquiries related to children being placed in foster care.
The CPOs further intensified implementation of catch up plans
",The Department will continue with its case flow management meetings with presiding officers .,,"Targeted output not achieved, reasons for deviation and corrective action reported.","Underachievement is noted for this indicator coupled with reason for deviation and corrective action.

","
Performance for this indicator shows an improvement with regards to services related to foster care.",Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of reported cases of child abuse,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",879,1020,"Target: Exceeded      
Performance is due to Departmental intervention on Prevention and Awareness wherein in communities, children (through school social work interventions) are encouraged to report any forms of abuse. In addition, all reported cases of abuse legislatively requires the completion Form 22 and Form 23 which feeds into the Part A of the National Child Protection Register.",The Department will continue to implement childcare and protection programmes through prevention and awareness interventions and communities are encouraged to report abuse as legislatively required.,,879,"1166
","Target: Exceeded      
Performance is due to Departmental intervention on Prevention and Awareness wherein in communities, children (through school social work interventions) are encouraged to report any forms of abuse. In addition, all reported cases of abuse legislatively requires the completion Form 22 and Form 23 which feeds into the Part A of the National Child Protection Register.",The Department will continue to implement child care and protection programmes through prevention and awareness interventions and communities are encouraged to report abuse as legislatively required.,,879,"
1 080
","Target: Exceeded      
Performance is due to Departmental intervention on Prevention and Awareness wherein in communities, children (through school social work interventions) are encouraged to report any forms of abuse. In addition, all reported cases of abuse legislatively require the completion Form 22 and Form 23 which feeds into the Part A of the National Child Protection Register.
",The Department will continue to implement child care and protection programmes through prevention and awareness interventions and communities are encouraged to report abuse as legislatively required.,,880,"
981
","Target: Exceeded      
Performance is due to Departmental intervention on Prevention and Awareness wherein in communities, children (through school social work interventions) are encouraged to report any forms of abuse. In addition, all reported cases of abuse legislatively require the completion Form 22 and Form 23 which feeds into the Part A of the National Child Protection Register.",The Department will continue to implement child care and protection programmes through prevention and awareness interventions and communities are encouraged to report abuse as legislatively required.,Target exceeded,3517,4247,4247,"Target: Exceeded      
Performance is due to Departmental intervention on Prevention and Awareness wherein in communities, children participating in school social work interventions are encouraged to report any forms of abuse. In addition all reported cases of abuse legislatively requires the completion Form 22 and Form 23 which feeds into the Part A of the National Child Protection Register.",The Department will continue to implement child care and protection programmes through prevention and awareness interventions and communities are encouraged to report abuse as legislatively required.,,Overachievement with reason for deviation and corrective action reported. this shows an increased awareness efforts on the part of the department.,"Overachievement with reason for deviation and corrective action is noted for this indicator.

",Overachievement for this indicator is noted with reason for deviation and corrective action reported.,Overachievement indicates the increase in awareness by the department considering this is a negative indicator.,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Percentage of children placed in foster care ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",100 %,100 %,"Target: Achieved 
Performance is due d to the Presiding Officers discouraging kinship foster care placement as the child is not a child in need of care and protection. Instead, such learners are diverted to SASSA for the Child Support Top Up Grant.
Furthermore, efforts to realise the targets within the quarter could not be concluded. This has impacted on the performance particularly on CPOs contribution to the indicator. ","The Department developed catch up plans with affected Child Protection Organisations to fast track the finalisation of Children Court Enquiries related to Children to be placed in Foster Care.
",Target achieved.,100 %,100 %,"Target: Not Achieved 
Performance is due to the Presiding Officers discouraging kinship foster care placement as such children are not found to be in need of care and protection. 
 
",The Department will continue to monitor catch up plans and additionaly children are diverted to SASSA for the Child Support Top Up Grant.,Target achieved.,100 %,"
100 %","Target: Achieved 
Performance is due to presiding officers prioritising finalisation of children court enquiries related to children being placed in foster care.
.",The Department will continue with its case flow management meetings with presiding officers as well continue to monitor the catch up plans the Corridors have in place with Child Protection Organisations.,Target achieved.,100 %,"
100 %","Target: Achieved 
Performance is due to presiding officers prioritising finalisation of children court enquiries related to children being placed in foster care.
",The Department will continue with its case flow management meetings with presiding officers as well continue to monitor the catch up plans the Corridors have in place with Child Protection Organisations.,Target achieved ,100 %,400 %,100,"Target: Achieved 
Performance is due to presiding officers prioritising finalisation of children court enquiries related to children being placed in foster care.
",The Department will continue with its case flow management meetings with presiding officers as well continue to monitor the catch up plans the Corridors have in place with Child Protection Organisations.,,Targeted output is achieved.,,,,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,Number of children in CYCCs re-unified with their families ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",42,63,"Target: Exceeded
Performance is due to more children and families meeting the criteria for reunification.
","The Department will continue to intensify services for children and families to meet reunification criteria.
",,42,"
60
","Target: Exceeded
Performance is due to more children and families meeting the criteria for reunification.",The Department will continue to intensify services for children and families to meet reunification criteria.,,42,"
63
","Target: Exceeded
Performance is due to more children and families meeting the criteria for reunification.",The Department will continue to intensify services for children and families to meet reunification criteria.,,45,"
78
","Target: Exceeded
Performance is due to more children and families meeting the criteria for reunification.",The Department will continue to intensify services for children and families to meet reunification criteria.,Target exceeded,171,264,264,"Target: Exceeded
Performance is due to more children and families meeting the criteria for reunification.",The Department will continue to intensify services for children and families to meet reunification criteria.,,Targeted output is overachieved with reasons for deviation and corrective action reported.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action are noted with targeted output overachieved for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
