Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,OTP_Q2,National_Q4,National_Q1,National_Q2,National_Q3,UID
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of District and Metro Municipalities monitored on implementation of IGR function,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",8,8,,,8,8,,,8,8,,,,8,8,,,8,8,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,"Number of District/Metro monitored on the implementation One Plans (MTSF 2019 – 2024, Priority 5: Spatial integration, human settlements, and local government)",Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,,,0,,,,0,,,,,8,8,,,8,8,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019-2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,7,"Targeted 1 municipality being Port St. Johns however we also received additional requests from Joe Gqabi DM, Inxuba Yethemba LM, BCMDA, Elundini LM, Emalahleni LM and Ngqushwa LM.
","Ethics Officers have been appointed in all 6 District Municipalities and the two Metros. These ethics officers will be trained which will enhance their capabilities to drive  proactive anti-corruption programmes within their respective municipalities.
",1,4,"The department capacitated Ethics Officers in  Alfred Nzo, OR Tambo, Amathole municipalities who will drive the anti-corruption programmes in their respective municipalities. Training of the ethics officers is one of the areas on the Local Government Anti-Corruption Strategy and Municipal Integrity Management Framework  Assessment Tool wherein municipalities are monitored.",The Local Government Anti-Corruption Strategy and Municipal Integrity Management Framework requires the establishment of Ethics Offices in municipalities.,1,3,"Targeted 1 municipality being Dr. AB Xuma LM for Q3; however the department  also received additional requests from OR Tambo DM and KSD LM 
","To ensure by end of fourth quarter 2024/25 financial year all municipalities have appointed Ethics Officers. All Ethics Officers appointed to be capacitated in the Local Government Anti-Corruption Strategy and Municipal Integrity Management Framework as well as the Code for Ethical Leadership in municipalities.
",,1,2,"Targeted for the quarter was Sarah Baartman DM, however the department received additional requests from Joe Gqabi DM and Mhlontlo.  Joe Gqabi was not counted as it was supported during Q1 and since the calculation type is cumulative.
","N/A: All planned municipalities were supported.
",4,16,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",3,3,,,2,2,,,2,2,,,,5,5,,,12,12,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of reports on paperless business solutions compiled in line with the ICT Strategic Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,,1,1,,,4,4,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of reports on vacant funded posts filled,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,,1,1,,,4,4,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,Number of municipal compliance assessment with relevant legislation(s) conducted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",10,10,,,12,12,,,9,9,,,,8,8,,,39,39,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities supported to comply with MSA Regulations on the appointment of senior managers (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of assessment reports developed on audit response plans implemented by municipalities towards improvement of audit outcomes (Linked to MTSF 2019-2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,,,1,1,,,1,1,,,,1,1,,,4,4,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities guided to comply with the MPRA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 4)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,Number of municipalities supported to have functional Municipal Public Accounts Committees (MPACs),Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",12,12,,,10,10,,,9,9,,,,8,8,,,39,12,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities supported to reduce Unauthorized, Irregular, Wasteful and Fruitless expenditure (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,All indicators that are not active for this financial year must be removed or if they are active kindly populate all the indicators with gaps ,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of quarterly Interventions conducted to monitor government debt payable to municipalities (Sub-outcome 3, Action 1)",Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",6,6,,,6,6,,,6,6,,,,6,6,,,6,6,,,,,Please check if the annual target is correct if each quarterly target for all quarters is 6,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to maintain functional ward committees (MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",9,9,,,10,10,,,9,9,,,,5,5,,,33,33,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to promote participation in community based local governance processes (Priority 1: Capable, Ethical and Developmental State) (Priority 6 MTEF indicatory: Social Cohesion and Safer Communities)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",2,1,"Clashing of programmes with the 2024 General elections.
","Will be held in the 2nd Quarter.
",2,3,"Sarah Baartman outreach programme that was planned but could not be done during the Q1 was done quring Q2 to catch up.
",,2,2,,,,2,2,,,8,2,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of municipalities supported to resolve community concerns,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of municipalities supported to resolve community concerns (Outcome-9: Sub-Outcome 2) (B2B Pillar 1),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Demand driven,10,"N/A: Demand-driven target
","N/A
",Demand driven,3,,,Demand driven,3,N/A: Demand driven,N/A: Demand driven,Accepted.,Demand driven,9,,,Demand driven,-,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Quarterly,"Number of capacity building interventions conducted in municipalities (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Quarterly,"Number of capacity building interventions conducted in municipalities (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,,,1,2,Responded to request from Sarah Baartman Municipality,,1,1,,,,1,1,,,4,5,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Quarterly,"Number of municipalities supported to comply with MSA Regulations on the appointment of senior managers (Linked to MTSF 2019 – 2024, Priority 1) MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Demand driven,3,"N/A: Demand-driven target
","N/A
",Demand driven,8,N/A: Demand Driven,Demand driven,Demand driven,10,N/A: Demand driven,N/A: Demand driven,,Demand driven,7,,,Demand driven,-,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Quarterly,Number of municipalities supported to comply with underlying Municipal Staff Regulations when reviewing their HR Plans,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",3,4,"The department responded to the requested support by INgquza Hill Municipality.
","N/A
",3,3,,,3,3,,,,3,3,,,12,13,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Quarterly,Number of municipalities supported to review Organograms to comply with the underlying Municipal Staff Regulations linking with powers and functions as identified in the IDP,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,2,The department responded to the requested support by INgquza Hill Municipality.,"N/A
",2,2,,,2,2,,,,1,1,,,6,7,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Quarterly,Number of reports on the enhancement of sound labour relations in municipalities,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,,,1,2,The deviation was necessitated by a need to urgently intervene at Kumkani Mhlontlo Municipality.,,1,1,,,,1,1,,,4,5,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Annually,"Number of Section 47 Reports compiled as prescribed by the MSA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Quarterly,"Number of municipalities supported to institutionalize the performance management system (PMS) (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",8,11,"The department responded to the request of support by Enoch Mgijima, Ingquza Hill and Mhlontlo Municipalities 
","N/A
",9,10,"There was a request of support from one of the municipalities that the department had to respond to, whilst other municipalities were replaced by others that also needed urgent assistance.",,12,13,Blue Crane Route which was planned to be supported in Q2 was supported on the implementation of MFMA Circular 88.,,Accepted,10,10,,,39,44,,,,,,Next time please do mention the name of the municipality that was assisted,,,,,202
,Cooperative Governance,Eastern Cape,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Quarterly,"Number of Section 47 reports compiled as prescribed by the MSA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,,,1,1,,,0,,,,,0,,,,1,1,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.1.	Spatial Planning,Annually,"Number of Districts/ Metros monitored on the implementation One Plans (MTSF 2019 – 2024, Priority 5: Spatial integration, human settlements and local government)",Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.1.	Spatial Planning,Quarterly,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.1.	Spatial Planning,Quarterly,Number of municipalities supported to develop functional Integrated Geographic Information Systems,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",4,4,,,3,3,,,3,3,,,,2,3,"There was a written request from the NMBM for GIS training to the disaster management division.
",,12,13,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.1.	Spatial Planning,Quarterly,"Number of municipalities supported with the implementation of SPLUMA (Outcome 9, Sub-outcome 1) non-standardised (B2B Pillars 1, 2 and 3)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",3,4,"A request was recived from the Dr Beyers Naude Municipality requesting training of its newly established Municipal Planning Tribunal
",,4,4,,,3,3,,,,3,3,,,13,14,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.1.	Spatial Planning,Quarterly,Number of phases completed in the review of the Provincial Spatial Development Framework (PSDF),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,,,1,0,The tender was non-responsive as no tender document complied to the requirement of the Terms of Reference for the review of the PSDF.,The project procurement process will be resuscitated which will have an impact on the remaining plans within the APP and OPS. During the adjustment period the indicator or target will need to be revised through consultation of the Strategic Planning and M&E directorates.,0,,,,,1,1,,,2,1,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Quarterly,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Quarterly,Number of district municipalities supported to conduct cadastral surveys for access to land rights,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",3,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Quarterly,"Number of municipalities guided to comply with the MPRA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 4)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",3,3,,,3,3,,,3,3,,,,4,4,,,13,13,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Quarterly,Number of municipalities supported to administer land use management in the implementation of SPLUMA,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",5,6,"Additional support was provided at DR A B Xuma LM per request.
","N/A
",6,6,,,4,4,,,,4,4,,,19,20,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,Number of EPWP job opportunities created through CWP norms and standards,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",170,170,,,170,169,An EPWP participant resigned due to ill health.,A replacement for the exited EPWP participant has been contracted to start working in October 2024.,170,171,"One extra EPWP work opportunity was created to  compensate for under expenditure caused by high level of absenteeism. CWP policy accepts over- recruitment to the maximum of 10%.
",,Accepted,170,170,,,170,171,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,Number of LED IGR structures supported in municipalities to promote strategic collaboration,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",6,6,,,6,6,,,6,6,,,,6,6,,,6,6,,,,,Check targeting,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,Number of municipalities monitored to implement Local Economic Development projects in line with updated municipal LED Strategies (Sub-outcome 4),Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",12,12,,,12,12,,,12,12,,,,12,12,,,12,12,,,,,Check targeting,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,Number of municipalities supported to implement Community Work Programme (CWP),Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",14,14,,,17,17,,,15,15,,,,14,14,,,33,60,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,Number of municipalities supported to promote the Small-Town Development,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",7,7,,,7,7,,,7,7,,,,7,7,,,7,7,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,Number of municipalities supported with LED capacity programmes,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,,,3,3,,,3,3,,,,0,,,,6,3,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,"Number of work opportunities reported through Community Work Programme (CWP) (MTSF 2019-2024, Priority 2)",Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,Number of Districts monitored on the spending of National grants,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of Districts monitored on the spending of National Grants,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",6,6,,,6,6,,,6,6,,,,6,6,,,6,6,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of municipalities monitored on the implementation of indigent policies (Sub-outcome 1) (B2B Pillar 2),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,10,,,10,10,,,9,9,,,,9,9,,,38,38,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,"Number of municipalities monitored on the implementation of infrastructure delivery programmes (Outcome 9, Sub-outcome 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",36,36,,,36,36,,,36,36,,,,36,36,,,36,144,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of supported municipalities assessed with the implementation of Institutional and Social Development (ISD) principles in line with the ISD Framework,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",36,36,,,36,36,,,36,36,,,,36,36,,,36,36,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported on Fire Brigade Services,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",8,8,,,8,8,,,8,8,,,,8,8,,,8,32,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported to maintain functional Disaster Management Centres,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",8,8,,,8,8,,,8,8,,,,8,8,,,8,8,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Annually,Number of municipalities with legally compliant IDPs,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Quarterly,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,0,,,,0,,,,,0,,,,0,0,,,,,Remove all the defaults,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Quarterly,Number of municipalities with legally compliant IDPs,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",39,39,,,39,39,,,39,39,,,,39,32,"07 Sarah Baartman LMs not supported in Q4.
",,39,39,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of Anti GBVF Intervention/campaigns for traditional leadership (Final M&E Plan for the NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,0,,,,,Remove if not active or populate targets if active,,no report,,,,202
,Cooperative Governance,Eastern Cape,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of policies developed for improved governance,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,,,0,,,,0,,,,,2,,,,2,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of policies reviewed for improved governance,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,,,0,,,,0,,,,,1,,,,1,0,,,,,,,,,,,202
,Cooperative Governance,Eastern Cape,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of research reports on genealogies of Royal Families conducted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",2,,,,3,,,,3,,,,,2,,,,10,0,,,,,,Nothing written on actual output and there is no reason for deviation,,,,,202
