Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q1,OTP_Q2,OTP_Q3,OTP_Q4,National_Q2,UID
Human Settlements,Human Settlements,Limpopo,Programme 3: Housing Development,Sub-programme 3.4: Social and Rental Intervention,Quarterly,Number of rental social housing units delivered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",0,0,0,,0,,0,,0,0,,,,,,,,,,,,,default,cumulative target ,target not achieved ,Not achieved (no performance output reported),,191
Human Settlements,Human Settlements,Limpopo,Programme 3: Housing Development,Sub-programme 3.5: Rural Intervention,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Human Settlements,Human Settlements,Limpopo,Programme 3: Housing Development,Sub-programme 3.5: Rural Intervention,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,default ,default indicator ,default indicator  ,Default indicator ,,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.1: Administration ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.1: Administration ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,default ,default indicator ,default indicator,Default indicator ,,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.2: Sale and transfer of Housing Properties,Annually,2.3.6.	Number of Housing Subsidy Applications approved through Housing Subsidy System ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",4. Integrated and sustainable socio-economic infrastructure development (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.2: Sale and transfer of Housing Properties,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.2: Sale and transfer of Housing Properties,Quarterly,2.3.6.	Number of Housing Subsidy Applications approved through Housing Subsidy System ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",4. Integrated and sustainable socio-economic infrastructure development (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",3644,2759,911,1027,0,188,0,,4555,3974,,,,,Delay in re-alignment of units to cater for the budget reduction,Alignment of units finalized.,Over performance due to recovery from quarter 1. Development areas finalized. ,N/A,Recovery from previous quarters,N/A,,,target not met ,target achieved ,target achieved ,Not achieved (no performance output reported),,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.2: Sale and transfer of Housing Properties,Quarterly,Number of New title deeds registered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",0,,131,21,244,12,216,225,591,258,,,,,,,Unavailability of letter of authorities from beneficiaries delays the process of service providers to register the properties. Unavailability of section 82 certificates at municipalities.,Provide consumer education to dependants of deceased beneficiaries.  Municipalities to expedite issuance of section 82 certificates.,Target achieved in previous quarters ,N/A,"Letters and emails were written to municipalities requesting the issuance of section 82 certificates

Service Provider were requested to assist in applying for lost copy

Consumer education on letters of authorities during physical verification
",N/A,target not met ,target not achieved ,target not achieved,Achieved ,Misalignment between APP and EQPR  targets,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.2: Sale and transfer of Housing Properties,Quarterly,Number of Post- 2014 title deeds registered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",0,,88,29,124,151,113,180,325,360,,,,,,,Unavailability of letter of authorities from beneficiaries delays the process of service providers to register the properties. Unavailability of section 82 certificates at municipalities. ,Provide consumer education to dependants of deceased beneficiaries.  Municipalities to expedite issuance of section 82 certificates.,Recovery from previous quarter,N/A,"Clearance and Section 82 certificates were issued by Modimolle Mookgopong and Polokwane municipalities
Consumer education on letters of authorities
",N/A,target not met ,target not achieved ,target achieved ,Achieved ,Misalignment between APP and EQPR  targets,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.2: Sale and transfer of Housing Properties,Quarterly,Number of Post-1994 title deeds registered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",0,,148,10,150,172,216,84,514,266,,,,,,,Unavailability of letter of authorities from beneficiaries delays the process of service providers to register the properties. Unavailability of section 82 certificates at municipalities,Provide consumer education to all potential beneficiaries including dependents of deceased beneficiaries during beneficiary verification process. Develop  readiness matrix for assessment of the township before appointment of the service provider.,Recovery from previous quarter,N/A,"Unavailability of section 82 certificates at municipalities

Unavailability of letters of authority for deceased beneficiaries

Lack of Township title at Deeds Office and Thabazimbi Local Municipality
","Letters and emails were written to municipalities requesting the issuance of section 82 certificates

Service Provider were requested to assist in applying for lost copy

Consumer education on letters of authorities during physical verification
",target not met ,target not achieved ,target achieved ,Not achieved ,Misalignment between APP and EQPR  targets,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.2: Sale and transfer of Housing Properties,Quarterly,Number of Pre-1994 title deeds registered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",10,0,10,13,5,11,5,4,30,28,,,,,"Delay by the following municipalities to provide the   required documents for transfer of properties to be effected; Giyani, Tzaneen and Mogalakwena Local Municipalities e.g exemption certificates to finalize the transfers",The matter was resolved later in the quarter.,"Acceleration by service provider collecting
documents from 
beneficiaries.  
",FICA documents collected,Recovery from previous quarter,N/A,Unavailability of clearance certificates at FetakgomoTubatse Local Municipality,Letter written to Fetakgomo-Tubatse municipality requesting clearance certificates,target not met ,target achieved ,target achieved ,Not achieved ,Misalignment between APP and EQPR  targets,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.3: Devolution of Housing Properties ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.3: Devolution of Housing Properties ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,default ,default indicator ,default indicator ,Default indicator ,,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.4: Housing Properties Maintenance ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Human Settlements,Human Settlements,Limpopo,Programme 4: Housing Asset Management ,Sub-programme 4.4: Housing Properties Maintenance ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,default ,default indicator,default indicator ,Default indicator ,,191
