Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
,Government Printing Works,National,Corporate Services,Facilities Management,Quarterly,Percentage refurbishment of GPW's Headquarters building,Non-Standardized,Not  Applicable,Not Applicable,"Justice, Crime Prevention and Security cluster",Project Execution Plan (PEP) developed and submitted for approval,Project Execution Plan (PEP) developed and submitted for approval,None,None,25% progress completed against the project execution plan,25% progress NOT completed against the Project Executive Plan due to approval delays,The official site handover took place on 5 September 2024. The Baseline plan in the PEP was impacted and led to the PEP being three months behind schedule. ,None,60% Progress completed against the project execution plan,"The Baseline plan in progress. Refurbishment program in progress and contractor has started with the works on the fifth (5) floor and is now busy on floors 4, 3 and 2. Scope of works: 
1. demolitions works started
2. sundry brickworks
3. A/C (ducting) in progress
4. Electrical cable and wiring 
Cleaning of Sewer 
Current progress percentage 20%
","The delays are attributed to construction activities, delayed approvals from the City of Tshwane, and logistical challenges (delivery of HVAC and lifts from oversees). Additionally, the Builders' Break started on 13 December 2024, and work resumed on 7 January 2025.",,90% completion of the Headquarters building( practical completion certificate issued) ,80% progress completed against the Project Execution Plan ,"Late connection of Electricity by the City of Tshwane, affecting different stages
 of commissioning.
• Furniture Delivery (Long lead items)
• ICT First Fix Items to be installed. 
• Temporary Parking SDP re-submitted to CoT.

","Project completion set for the 2025/26 financial year, in line with the new APP.",90% of the GPW's Headquarters building refurbished ,-,,,,,,158
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,70% of total workforce trained as per critical WSP identified priorities ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",10% of total workforce trained as per critical WSP identified priorities,23% (91/395) workforce trained as per the WSP priorities ,"Mandatory trained conducted by NSG,(CIP salary level 4-5)",None,25% of total workforce trained as per critical WSP identified priorities ,"57,72% (228/395) of total workforce trained as per critical WSP identified priorities","Mandatory training from DPSA and NSG (POPI Act, First Aid and Emergency Evacuation Trainings)",None,25% of total workforce trained as per critical WSP identified priorities ,"203/51,4% total workforce trained as per critical WSP identified priorities",The over achievement was because of the mandatory trainings in OHS,,10% of total workforce trained as per critical WSP identified priorities ,17.7% of total workforce trained as per critical WSP identified priorities ,Some of the Quarter 3 training interventions were recovered during Quarter 4 (i.e. NKP training).,,70% of total workforce trained as per critical WSP identified priorities,-,,,,,,158
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Number of unemployed young people recruited for Artisan and Graduate skills development programmes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",Skills and areas of placement  identified and a skills development programme developed,Skills and areas of placement identified for various  in collaboration with all branches (covering all programmes),None,None,Artisan and graduate skills development programme submitted for approval and intake advertised ,Artisan and Graduate Skills development intake advertised ,None,None,Artisan and graduate skills development programme shortlisting completed,3 Artisan and Graduate skills development programme shortlisting completed,"The non-achievement of the target was due to high number of applications that was received electronically without the system sorting.  The sorting delayed the commencement of shortlisting.
The IT folder for applications requires internet for access. The two (2) boardrooms used for shortlisting does not have internet access.
Limited access to printers and network availability delayed the shortlisting process.

",More shortlisting’s planned for January 2025,Interviews completed and offer letters awarded to 20 unemployed young people ,Interviews completed and offer letters issued to 37 unemployed young people,"The Recruitment drive was exerted based on priorities highlighted in the SONA 2024/25, with emphasis placed on dealing with the youth unemployment",,20 unemployed  young people recruited for Artisan and Graduate skills development programmes,-,,,,,,158
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Percentage Implementation of the change management plan,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",10% Change Management plan implemented in line with the approved quarterly deliverables ,10% Change Management plan not implemented in line with the approved quarterly deliverables ,The progress to appoint a service provider for the training of the change agents still need to be finalised.,,20% Change Management plan implemented in line with the approved quarterly deliverables ,"20% Change Management plan implemented in line with the approved quarterly deliverables:
•	Change Management training was conducted for Change Management Technical Committee (CMTC),
•	CMTC meeting convened       •	Draft Communication and Resistance Plan developed

",None,None,20% Change Management plan implemented in line with the approved quarterly deliverables ,20% Change Management plan implemented in line with the approved quarterly deliverables,None,,10% Change Management plan implemented in line with the approved quarterly deliverables ,10% Change Management plan implemented in line with the approved quarterly deliverables,None,,60% implementation of Change Management plan,-,,,,,,158
,Government Printing Works,National,Corporate Services,Human Resources,Quarterly,Percentage implementation of the GPW Gender based Violence and Femicide plan,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",GPW Gender based Violence and Femicide Plan developed and submitted for approval by the CEO,GPW Gender based Violence and Femicide Plan developed and submitted for approval by the CEO,None ,None,20% GPW  Gender- based Violence and Femicide Plan implemented ,"20% GPW Gender-based violence and femicide plan implemented
•	Communication issued on GBV and Femicide to enhance awareness
",None,None,20% GPW  Gender- based Violence and Femicide Plan implemented ,20% GPW Gender-based Violence and Femicide Plan implemented,None,,20% GPW  Gender- based Violence and Femicide Plan implemented ,20% GPW Gender-based Violence and Femicide Plan implemented,None,,60% GPW Gender based Violence and Femicide Plan implemented,-,,,,,,158
,Government Printing Works,National,Corporate Services,Information Communication and Technology,Quarterly,Percentage of the required capability for the GPW Information Systems and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance achieved,Non-Standardized,Not  Applicable,Not Applicable,"Justice, Crime Prevention and Security cluster",Implementation  report on the previous financial year produced and submitted to the CEO,Implementation  report on the previous financial year produced and submitted to the CEO,,None,5% of the required capability for the GPW Information System and Digital services Ecosystem Platform in line with Disaster Management Act and good governance achieved ,5% not achieved pending the conclusion of procurement processes for the ERP and e-Gazette system,"Delays on the appointment of service providers for ERP and e-gazette.


",None,5% of the required capability for the GPW Information System and Digital services Ecosystem Platform in line with Disaster Management Act and good governance achieved ,"1.	Bid Evaluation Committee (BEC) Concluded for the award and appointment of the service provider to provide Maintenance and Support for the e-Gazette System and associated software licenses. Awaiting Bid Adjudication Committee (BAC). The e-Gazette project is closed.

2.	Enterprise Resource Planning (ERP) procurement via SITA SCM (Oracle Framework served Executive Bid Adjudication Committee (EBAC) on the 12-December-2024 for publication approval.
","Target not achieved SCM processes for appointment of eGazette service provider still in-progress awaiting BAC.

Target not achieved SITA SCM process for ERP procurement still in-progress EBAC approval for publication.
",,5% of the required capability for the GPW Information System and Digital services Ecosystem Platform in line with Disaster Management Act and good governance achieved ,"5% of the required capability for the GPW Information System and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance NOT achieved

","
 
Dependencies on procurement processes.

• Only achieved re-automation of e-Gazette
• The Oracle Framework was only approved on the 24th of March 2025 by SITA and Oracle
• Support contract for eGazette: SCM processes still ongoing. 

","ICT Strategy and Implementation Plan milestones to be recovered in the 2025/26 financial year, in line with the new APP.",15% of the required Capability for the GPW Information Systems and Digital Services Ecosystem Platform in line with Disaster Management Act and good governance achieved,-,,,,,,158
,Government Printing Works,National,Corporate Services,Security Services,Quarterly,Percentage implementation of the approved GPW security management plan,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100% implementation of the approved security management plan,75% implementation of the approved security management plan,"Review of the Whistleblowing Policy, Fraud Investigation Policy and Vetting Procedures conducted in consultation with key stakeholders and subject to finalisation",,100% implementation of the approved security management plan in line with quarter 2 deliverables ,"100% implementation of the approved security management plan in line with quarter 2 deliverables 
•	15 x Vetting files submitted to SSA.
•	12 x Fraud, corruption, and security awareness campaign conducted.
•	Document security operations procedures submitted for approval and Anti-Corruption policy/strategy approved. 
•	Security Audit conducted at Bosman and Masada/publication buildings.
",None,None,100% implementation of the approved security management plan in line with quarter 3 deliverables ,100% implementation of the approved security management plan in line with quarter 3 deliverables,None,,100% implementation of the approved security management plan in line with quarter 4 deliverables ,100% of the approved security management plan in line with quarter 4 deliverables implemented,None,,100% implementation of the approved security management plan,-,,,,,,158
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of Examinations papers produced that conform to client's specifications,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"Justice, Crime Prevention and Security cluster",100% of Examination Papers produced that conform to the client's specifications ,100% of 3 806 842 Examination Papers produced that conform to the client's specifications ,None,None,100% of Examination Papers produced that conform to the client's specifications ,100% of 3 706 515 Examination Papers produced that conform to client specifications,None,None,100% of Examination Papers produced that conform to the client's specifications ,100% of 12  336 824 Examination Papers produced that conform to client specifications,None,,100% of Examination Papers produced that conform to the client's specifications ,"100% of 446 510 Examination Papers produced that conform to client specifications
",None,,100% of Examination Papers produced that conform to the client's specifications ,-,,,,,,158
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of High Security Certificate produced that conform to client specifications,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"Justice, Crime Prevention and Security cluster",99% of High Security Certificates produced that conform to client specifications,99% of 6 651 928 High Security Certificates produced that conform to client specifications,None ,None,99% of High Security Certificates produced that conform to client specifications,99% of 3 777 086 High Security Certificates produced that conform to client specifications,None,None,99% of High Security Certificates produced that conform to client specifications,99% of 2 607 010 High Security Certificates produced that conform to client specifications,None,,99% of High Security Certificates produced that conform to client specifications,"99% of 6 212 640 High Security Certificates produced that conform to client specifications
",None,,99% of High Security Certificates produced that conform to client specifications,-,,,,,,158
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of Identity Documents/Cards produced that conform to client's specifications,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"Justice, Crime Prevention and Security cluster",100% of Identity Documents/Cards produced that conform to clients specifications,100% of  774 419 Identity Documents/Cards produced that conform to clients specifications,None,None ,100% of Identity Documents/Cards produced that conform to clients specifications,100% of 905 722 Identity Documents/ cards produced that conform to client specifications.,None,None,100% of Identity Documents/Cards produced that conform to clients specifications,100% of 1 017 588 Identity Documents/ cards produced that conform to client specifications,None,,100% of Identity Documents/Cards produced that conform to clients specifications,100% of 965 420 Identity Documents/ cards produced that conform to client specifications,None,,100% of Identity Documents/Cards produced that conform to clients specifications,-,,,,,,158
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of Travel Documents produced that conform to client's specifications,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"Justice, Crime Prevention and Security cluster",100% of travel documents produced that conform to client's specifications,100% of 223 319 travel documents produced that conform to client's specifications,None,None,100% of travel documents produced that conform to client's specifications,100% of 238 015 Travel Documents produced that conform to client specifications,None,None,100% of travel documents produced that conform to client's specifications,100% of 235 389 Travel Documents produced that conform to client specifications,None,,100% of travel documents produced that conform to client's specifications,100% of 230 742 Travel Documents produced that conform to client specifications,None,,100% of travel documents produced that conform to client's specifications,-,,,,,,158
,Government Printing Works,National,Office of the CEO,Enterprise Risk Management,Quarterly,Percentage of the Business Continuity Management Plan implemented ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",100% of Business Continuity Management Plan Implemented in line with Quarter 1 deliverables,100% of Business Continuity Management Plan Implemented in line with Quarter 1 deliverables,,None,100% of Business Continuity Management Plan Implemented in line with quarter 2 deliverables ,"100% of the Business Continuity Management plan implemented in line with quarter 2 deliverables

•	Work Area Requirements for Corporate Services and Financial Services reviewed.

•	Business Impact Analysis (BIA) for Corporate Services and Financial Services has been reviewed.

•	Monitoring of ICT backups and test restore was conducted.

•	Training for Risk, Business Continuity and Compliance Management Champions was conducted
",None,None,100% of Business Continuity Management Plan Implemented in line with quarter 3 deliverables ,"• Crisis Management Plan and Incident Management Plan were reviewed and awaiting for Risk Committee’s recommendation for an approval by the CEO
• Monitoring of ICT backups and test conducted
• BCM testing conducted at the CSIR 
","All ERM policies, strategies and plans should be reviewed and recommended by the Risk Committee for the CEO’s approval. The Special Risk Committee has been scheduled to review and recommend ERM documents during quarter 4.",,100% of Business Continuity Management Plan Implemented in line with quarter 4 deliverables ,100% of the Business Continuity Management Plan implemented in line with quarter 4 deliverables,None,,100% of Business Continuity Management Plan Implemented ,-,,,,,,158
,Government Printing Works,National,Office of the CEO,Internal Audit,Quarterly,Percentage of the approved annual Internal Audit plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",20% of the approved annual Internal Audit Plan implemented,20% of the approved IA Plan implemented,None ,None,30% of the approved annual Internal Audit plan implemented ,30% of the approved IA plan implemented ,None,None,30% of the approved annual Internal Audit plan implemented ,20% of the approved annual Internal Audit Plan achieved,"Due to high volume of resignations, SCM delays in appointing from the IA panel, study and maternity leave taken, IA could not complete all reviews initially planned for the quarter with the limited resources available. All remaining work carried over to quarter 4.",,20% of the approved annual Internal Audit plan implemented ,30% of the approved annual Internal Audit plan implemented,Some of the Quarter 3 deliverables were recovered during Quarter 4.  ,,100% of the approved annual Internal Audit Plan implemented,-,,,,,,158
,Government Printing Works,National,Operations Management,Operations Management,Quarterly,Number of follow-up engagements conducted with potential customers in the SADC Region,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"Justice, Crime Prevention and Security cluster",Follow up engagements conducted with 2 potential customers in the SADC Region,"Three (3) Countries engaged
-ESwatini
-Botswana
-Lesotho
",An engagement was conducted with Botswana while awaiting confirmations from Lesotho,None ,Follow up engagements conducted with 2 potential customers in the SADC region ,"Follow up engagements conducted with 2 potential customers in the SADC Region:
•	Eswatini University
•	Lesotho Government Printers
",None,None,Follow up engagements conducted with 2 potential customers in the SADC region ,"Follow-up engagements conducted with 2 potential customers in the SADC Region:
•Tanzania
•Democratic Republic of Congo (DRC)
",None,,Follow up engagements conducted with 2 potential customers in the SADC region ,Follow up engagements conducted with 3 potential customers in the SADC Region,"Madagascar was available for engagement whilst the process was underway to finalise engagements with 
Mauritius and Seychelles.

All three countries were therefore engaged.

",,Follow up engagements conducted with 8 potential customers in the SADC Region,-,,,,,,158
,Government Printing Works,National,Operations Management,Operations Management,Quarterly,Percentage of Government Gazettes published that conform to client specification,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",100% of Government Gazettes published that conform to client specification,100% of 652 Government Gazettes published ,None ,None,100% of Government Gazettes published that conform to client specifications ,100% of 611 Government Gazettes Published that conform to client specifications,None,None,100% of Government Gazettes published that conform to client specifications ,100% of 588 Government Gazettes Published that conform to client specifications,None,,100% of Government Gazettes published that conform to client specifications ,100% of 704 Government Gazettes published that conform to client specifications,None,,100% of Government Gazettes published that conform to client specification,-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 1: Administration,Programme 1: Administration,Quarterly,External audit opinion obtained,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"90% 2022/23 action plan
implemented","98% (99/101) 2022/23 action plan implemented

2% (2/101) partially implemented. Implementation of audit action plan to ensure findings and recommendations from the Auditor-General addressed for continuous improvement


","Regular engagements held to resolve outstanding findings
",Not applicable,"Unqualified external audit
opinion obtained","Unqualified audit opinion obtained from Auditor-General of South Africa in July 2024
",Not applicable (N/A),N/A,"50% 2023/24 action plan
implemented","58% (37/64) 2023/24 action plan implemented 
",Regular engagements held with relevant stakeholders to resolve outstanding findings. Audit Action Plan reviewed monthly and assessed in line with portfolio of evidence,Not applicable,"90% 2023/24 action plan
implemented",91% (58/64) implemented ,Continuous monitoring together with relevant units to resolve or address findings with implementation of controls put in place,N/A,"Unqualified external audit
opinion obtained",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of bursaries issued,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Consultation with all
branches conducted","Consultation with all branches conducted in April 2024

To promote culture of learning and assist in development of career paths for employees. Furthermore, mandated to develop skills of internal and external applicants in line with Employment Equity Act

",Not applicable,Not applicable,"Awarding of bursaries to
beneficiaries approved","Submission to advertise part-time and full-time bursaries approved by Director-General in August 2024 

Advertisements for bursaries placed on newspapers, website and social media in September 2024
","Advert for applications published in September 2024 with closing date of October 2024. Approval for awarding bursaries will therefore take place after this process
",Approval for awarding of bursaries will take place in Q3,"110 bursaries issued
(40 full time and 70 part
time)","158 bursaries issued (40 full time and 118 part time)
",Availability of funds for more individuals to benefit due to cost of courses applied for being less than projected budget estimates,N/A,No milestone,No milestone for the period under review,N/A,N/A,"110 bursaries issued
(40 full time and 70 part time)",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of persons with disabilities appointed,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"1,8%","2% (64/3 256)

Supported development of Job Access Strategic Framework on Recruitment, Employment and Retention of Persons with Disabilities in Public Service, which is strategy to fast track attainment of disability employment equity target

","Decreased number of filled posts
",Not applicable,"1,9%","2% (65/3 212)
",Decreased number of filled posts led to percentage remaining high,N/A,"1,9%","2% (64/3 170)
",Decreased number of filled posts led to percentage remaining high,N/A,2%,2% (63/3 131),N/A,N/A,"2% persons with disabilities
appointed",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of women appointed in Senior Management Service positions,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,47%,"50% (102/202)
 
Gender mainstreaming initiatives implemented such as Gender Policy and Gender Equity Strategic Framework. Furthermore, Employment Equity Plan implemented to manage representation targets

","Prioritised recruitment of women at Senior Management Services level
",Not applicable,48%,"50% (101/202) 
",Prioritised recruitment of women at Senior Management Service level,N/A,49%,"50% (100/200) 
",Prioritised recruitment of women at Senior Management Service level,N/A,50%,"49,2% (98/199)",Termination of employment of 4 women (1 death and 3 resignations),Development of new Employment Equity Plan in progress which will entail mitigation measures that will be implemented to ensure that employment equity targets are achieved in 2025/2026 Financial Year,"50% women appointed in Senior
Management Service positions",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 2: Regulatory Compliance and Monitoring,Programme 2: Regulatory Compliance and Monitoring,Quarterly, Number of administrative enforcement notices issued for non-compliance with environmental legislation,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,68,"111

Notices contains findings and instructions for actioning by transgressors
","Unplanned operations undertaken in following facilities and sectors: Extended Producer Responsibility, South African Waste Information Regulations and Barberton Makhonjwane World Heritage Site. Operations were in response to environmental risks in protected areas and due to new environmental legislation
",Not applicable,135,151,Unplanned inspections undertaken in Q1,N/A,203,212,Majority of enforcement notices issued to enforce compliance to Extended Producer Responsibility Regulations,N/A,270,285,Increased volume of work undertaken in EPR sector ,N/A,"270 administrative enforcement notices issued for
non-compliance with environmental legislation",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 2: Regulatory Compliance and Monitoring,Programme 2: Regulatory Compliance and Monitoring,Quarterly, Number of environmental authorisations inspected for compliance,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,45,"98

Proactive approach to monitor and enforce compliance with environmental legislation/authorisations and take action against non-compliance","Additional sites inspected not initially planned, which had received authorisations 
",Not applicable,105,199,Additional inspections conducted due to other authorisations found during site inspections,N/A,155,"251
",Farms/facilities within same area having more than one authorisation/permit inspected on same day,N/A,195,324,"Inspections conducted at facilities that may hold more than one authorisation. In addition, authorisations issued to facilities in close proximity to targeted facility also inspected to ensure cost-effective travelling",N/A,"195 environmental authorisations inspected for
compliance",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 2: Regulatory Compliance and Monitoring,Programme 2: Regulatory Compliance and Monitoring,Quarterly,Number of finalised criminal investigation dockets handed over to the National Prosecutions Authority for a prosecutorial decision,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,10,"10

Investigations conducted into alleged criminal activities related to environment
",Not applicable,Not applicable,25,"21
","Limited human resource capacity to attend to volume of criminal activities which are continuously being reported. Extensive time spent on post-investigation phase (attending to cases on the court roll)

",Prioritise cases close to finalisation and plan developed indicating cases that will be finalised in Q3 to ensure that the backlog is cleared and cumulative year-to- date target is achieved. Request assistance with investigations from other units during Q3. ,38,48,Unplanned operations emanating from intelligence undertaken to ensure enforcement to Integrated Coastal Management Act and the Offroad Vehicle Regulations,N/A,46,59,Unplanned operations emanating from intelligence undertaken in Q3 to ensure enforcement to Integrated Coastal Management Act and the Offroad Vehicle Regulations,N/A,"46 finalised criminal investigation dockets handed
over to the National Prosecuting Authority for a
prosecutorial decision",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 3: Oceans and Coasts,Programme 3: Oceans and Coasts,Annually, Annual Science Report published,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"2023/24 Annual Science
Report published online","2023/24 Annual Science Report published online in June 2024

Report considers key scientific variables, information and science-indicators measured around South Africa that tracks and updates environmental changes that will have an impact on ecosystems and used to improve the management interventions of the South African ocean and coastal space
",,,,,,,,,,,,,,,"2023/24 Annual Science
Report published online",,,Not applicable,Not applicable,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 3: Oceans and Coasts,Programme 3: Oceans and Coasts,Quarterly, Marine Spatial Planning Sub-Regional plan published,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Comments and Response
document for Marine Spatial
Planning Sub-regional Plan
compiled (Western Marine
Area Plan)","Comments and Response document for Marine Spatial Planning Sub-regional Plan (Western Marine Area Plan) compiled in May 2024

Plan aims to guide decision-makers by specifying where and when marine activities should occur within marine spatial planning area

",Not applicable,Not applicable,"2 stakeholder engagements
on Marine Spatial Planning
Sub-regional Plan held
(Western Marine Area Plan)","2 stakeholder engagements on Marine Spatial Planning Sub-regional Plan (Western Marine Area Plan) held in September 2024 at Saldanha Bay as follows:

National stakeholder workshop 
Communities and fishermen of Western area region
",N/A,N/A,"Comments and Response
document for Marine Spatial
Planning Sub-regional Plan
compiled
(Western Marine Area Plan)","Comments and Response document for Marine Spatial Planning Sub-regional Plan compiled (Western Marine Area Plan) in December 2024
",N/A,N/A,"Marine Spatial Planning
Sub-regional Plan published
for implementation (Western
Marine Area Plan)",Roadmap towards developing Western Marine area plan drafted. Marine Spatial Planning task team established to assist in advancing Western Marine Area Plan,Sector departments not finalising respective marine sector plan,Reinvigoration of Directors-General Marine Spatial Planning Committee held in February 2025 to ensure submission and buy-in from sector departments,"Marine Spatial Planning
Sub-regional Plan published
for implementation (Western
Marine Area Plan)",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 3: Oceans and Coasts,Programme 3: Oceans and Coasts,Quarterly,Number of declared Marine Protected Areas management plans submitted for approval,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"2 Marine Protected Areas
management plans submitted
to the Minister for approval to
publish for public comments","2 Marine Protected Areas management plans submitted to Minister for approval to publish for public comments  in June 2024

Management plan of Marine Protected Areas valid for 5 - 10 years and will ensure effective management of Marine Protected Areas 

",Not applicable,Not applicable,"2 Marine Protected Areas
management plans published
for public comments","2 Marine Protected Areas management plans published for public comments in Sowetan, Cape Times and Daily Voice newspapers in August 2024
",N/A,N/A,"Comments and Response
document for 2 Marine
Protected Areas management
plans compiled","Comments and Response document for 2 Marine Protected Areas management plans compiled (Southeast Atlantic Seamount and Southwest Indian Seamount) in December 2024
",N/A,N/A,"2 declared Marine Protected
Areas management plans
submitted to Minister for
approval",2 declared Marine Protected Areas management plans submitted to Minister for approval in March 2025,N/A,N/A,"2 declared Marine Protected
Areas management plans
submitted to Minister for
approval",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 3: Oceans and Coasts,Programme 3: Oceans and Coasts,Quarterly,Number of expeditions to remote stations undertaken,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"1 expedition to Marion Island
undertaken","1 expedition to Marion Island undertaken in April 2024 

Voyage returned in May 2024. Expedition undertaken to conduct research and provide scientific information required for understanding and protection of ocean environment

",Not applicable,Not applicable,"1 expedition to Gough Island
undertaken","1 expedition to Gough Island undertaken in September 2024
",N/A,N/A,"1 expedition to SANAE Island
undertaken","1 expedition to SANAE Island undertaken in December 2024
",N/A,N/A,No milestone,No milestone for the period under review,N/A,N/A,"3 expeditions to remote
stations undertaken",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 3: Oceans and Coasts,Programme 3: Oceans and Coasts,Quarterly,"Water quality report on levels of heavy metals, agricultural, biological and sewage contaminants for priority areas in 4 coastal provinces produced",Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Quarterly water quality report
on levels of heavy metals,
agricultural, biological and
sewage contaminants for
45 priority areas in 4 coastal
provinces produced","Quarterly water quality report on levels of heavy metals, agricultural, biological and sewage contaminants for 41 priority areas in 4 coastal provinces produced in June 2024

Report analyses trends and provides status quo of coastal and marine environment related to heavy metals, agricultural, biological and sewage 
","Remaining sites could not be sampled due to challenges in identifying sampling points as river systems were wide and deep during sampling day due to high river flows in area

Nahoon Estuary not sampled due to funding not included on Memorandum of Agreement of National Pollution Laboratory
","Meeting to be held end of July 2024 for management to address challenges 
","Quarterly water quality report
on levels of heavy metals,
agricultural, biological and
sewage contaminants for
45 priority areas in 4 coastal
provinces produced","Quarterly water quality report on levels of heavy metals, agricultural, biological and sewage contaminants for 45 priority areas in 4 coastal provinces produced in September 2024
",N/A,N/A,"Quarterly water quality report
on levels of heavy metals,
agricultural, biological and
sewage contaminants for
45 priority areas in 4 coastal
provinces produced","Quarterly water quality report on levels of heavy metals, agricultural, biological and sewage contaminants for 45 priority areas in 4 coastal provinces produced in December 2024
",N/A,N/A,"Annual water quality report
on levels of heavy metals,
agricultural, biological and
sewage contaminants for
45 priority areas in 4 coastal
provinces produced","Annual water quality report on levels of heavy metals, agricultural, biological and sewage contaminants for 45 priority areas in 4 coastal provinces produced in March 2025",N/A,N/A,"Annual water quality report
on levels of heavy metals,
agricultural, biological and
sewage contaminants for 45
priority areas in 4 coastal
provinces produced",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 4: Climate Change and Air Quality,Programme 4: Climate Change and Air Quality,Annually,Financial value of resources raised from international donors to support South African and African environment programmes,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,"US$ 100 million raised
from international donors
to support South African
and African environment
programmes","Quarterly donor fund report produced in June 2024

$ 29 226 331 raised thus far
",,,"US$ 100 million raised
from international donors
to support South African
and African environment
programmes",,,Not applicable,Not applicable,,,158
