Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,UID
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 4: National Prosecuting Authority,Programme 4: National Prosecuting Authority,Quarterly,10.5.4 Number of state capture matters enrolled,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,n/a,n/a,2,6,Target achieved,n/a,2,4,n/a,n/a,5,3,The ID enrolled more state captures in the previous quarters.,n/a – Annual target was already exceeded.,9,13,18,Target exceeded due close collaboration and effective alignment with other internal stakeholders,,18,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 4: National Prosecuting Authority,Programme 4: National Prosecuting Authority,Quarterly,10.5.5. Number of cases finalised with a verdict involving money laundering,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",25,9,Delays in the finalisation of matters by the defense,Money laundering cases are being prioritised and closely monitored,24,25,Target achieved,n/a,26,14,Money laundering trials are protracted with several legal challenges ,"Focused attention will be given by Divisions to identify cases with the potential of money laundering charges, as well as to re-prioritise and address the delay in the finalisation of cases involving money laundering",25,19,Money laundering trials are protracted with several legal challenges.,Money laundering cases are being prioritised and closely monitored.,100,67,85,"Target not achieved due to trials that are protracted, with several legal challenges ",,89,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 4: National Prosecuting Authority,Programme 4: National Prosecuting Authority,Quarterly,10.6.1.Value of completed forfeiture cases,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",R250m,R15m,Recoveries were made in low value cases – prosecutions in high value restraint cases are proceeding,State Capture cases and other serious corruption matters are being prioritised,R400m,R837k,Recoveries were made in low value cases – prosecutions in high value restraint cases are proceeding,State Capture cases and other serious corruption matters are being prioritised,R300m,R2.592bn,n/a,n/a,R450m,R28m,Only lower value recoveries were obtained.,n/a – Annual target was already achieved.,R1.4bn,-,R495m,Target not achieved due to delays in the finalisation of trials in serious corruption and high value matters,,R495m,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 4: National Prosecuting Authority,Programme 4: National Prosecuting Authority,Quarterly,10.6.2 Value of freezing orders obtained for corruption or related offences,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",R550m,R21m,"Whilst a number of orders were achieved, the cases were of lower value",State Capture cases are being prioritised (in collaboration with the ID),R750m,R138m,"Whilst a number of orders were achieved, the cases were of lower value",State Capture cases are being prioritised (in collaboration with the ID),R450m,R146m,"The freezing orders that were achieved, were of lower value","State Capture cases are being prioritised, in close collaboration with the ID",R650m,R77m,"Whilst several orders were achieved, the cases were of lower value.",State Capture cases are being prioritised (in collaboration with the ID).,R2.4bn,-,R570m,Target not achieved due to delays in the finalisation of trials and obtaining freezing orders in high value cases,,R570m,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 4: National Prosecuting Authority,Programme 4: National Prosecuting Authority,Quarterly,10.7.1 Value of recoveries relating to corruption or related offences,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",R150m,R44.5m,"Whilst a number of orders were achieved, the cases were of lower value",The AFU is working on large matters where preservations were obtained,R150m,R47m,"Whilst a number of orders were achieved, the cases were of lower value",The AFU is working on large matters where preservations were obtained,R100m,R123.5m,n/a,n/a,R150m,R79m,Only cases of lower value were finalised due to the time required for criminal investigations and prosecutions to be finalised.,Improved stakeholder engagement on several structures aimed at fast-tracking cases and sourcing of new cases.,R550m,-,R2.83bn,Target exceeded due to close collaboration with the ID,,R2.63bn,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 4: National Prosecuting Authority,Programme 4: National Prosecuting Authority,Quarterly,4.14.1. Total number of Thuthuzela care centres,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,n/a,n/a,2,61,Target achieved,n/a,0,"1
(61)",n/a,n/a,4,62,n/a,n/a,4,61,62,,,62,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 4: National Prosecuting Authority,Programme 4: National Prosecuting Authority,Quarterly,4.14.2. Conviction rate in sexual offences,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",70 %,75.3 %,Higher percentage of cases finalised in which the court was satisfied that guilt was proven beyond reasonable doubt,n/a,70 %,"72,3% %",Higher percentage of cases finalised in which the court was satisfied that guilt was proven beyond reasonable doubt,n/a,70 %,"76,6 %",n/a,n/a,70 %,"75,6% %",n/a,n.a,70 %,0 %,75,Target exceeded due to cases continuously screened from enrolment to ensure prosecutor guided investigations and consultations with victims conducted at the earliest opportunity,,75,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 4: National Prosecuting Authority,Programme 4: National Prosecuting Authority,Quarterly,4.14.3. Number of public awareness sessions held,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",72,15,"Public awareness sessions conducted in terms of GBV, Child Protection week, school outreaches and trafficking in persons",Finalisation of public awareness sessions plan and schedule – more sessions will be conducted from quarter 2,75,86,More public awareness sessions conducted than planned,n/a,78,179,n/a,n/a,72,13,The Communications Unit conducted more public awareness sessions in the previous quarters.,n/a – Annual target was already achieved.,300,293,307,"Target exceeded, public awareness sessions conducted through inter alia social media, presentations, school outreaches, television and radio",,307,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 5: Auxiliary and Associated Services,Programme 5: Auxiliary and Associated Services,Quarterly,1.4.1 Number of government departments and entities connected to transversal platform and exchanging information electronically,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,-,-,0,-,-,-,1,0,"PSiRA’s process to  finalise its SLA with its service provider took longer than anticipated

Finalisation of data lines and connectivity on PSiRA side delayed","Connectivity and configuration planned for end of February 2023. 

",0,0,,,1,0,1,,,1,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 5: Auxiliary and Associated Services,Programme 5: Auxiliary and Associated Services,Quarterly,1.5.1 Number of KPIs completed on the Integrated Justice System dashboard,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,-,-,0,-,-,-,0,-,-,-,1,1,,,1,0,1,,,1,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 5: Auxiliary and Associated Services,Programme 5: Auxiliary and Associated Services,Quarterly,1.6.1 Number of SAPS Police stations where Person Verification Services (PVS) is deployed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10,27,-,-,20,32,-,-,30,85,-,-,40,85,,,40,85,85,"Target Exceeded
The roll-out of PIVA has been accelerated for Integrated Person Management planned for the third quarter of the 2023/24 financial year.
",,85,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 5: Auxiliary and Associated Services,Programme 5: Auxiliary and Associated Services,Quarterly,1.7.1 Number of IJS Governance intervention sessions held,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",4,4,-,-,6,7,-,-,10,10,-,-,14,14,,,14,14,14,,,14,,177
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 5: Auxiliary and Associated Services,Programme 5: Auxiliary and Associated Services,Quarterly,1.8.1 Number of IJS DPME Assessment Report recommendations implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",2,1,-,-,2,2,-,-,1,1,-,-,1,2,,,6,6,6,,,6,No reason provided for target not met?,177
Military Veterans,Military Veterans,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Annually,Unqualified audit opinion,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,Unqualified,,Unqualified audit opinion,N/A,achieved as per plan,,,177
Military Veterans,Military Veterans,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Annually,Percentage representation of persons with disability ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,2 %,,2,N/A,N/A,,,177
Military Veterans,Military Veterans,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Annually,Percentage representation of women at SMS level ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,50 %,,54,N/A,N/A,,,177
Military Veterans,Military Veterans,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Annually,Number of liberation struggle history research outputs,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,6,,6,One scripts not submitted on time for publishing ,To provide extended support to mil vets to submit final scripts for publishing,,,177
Military Veterans,Military Veterans,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Percentage of legitimate invoices paid within 30 days of receipt,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,100 %,100 %,N/A,N/A,100 %,98.7 %,Reason for the variance of 1.3% is due lengthy processes taken by branches to validate travel agency invoices,Follow-up on distributed invoices to ensure payment within 30 days. ,100 %,93.5 %,The backlog on clearing the travel account contributes negatively towards compliance with TR Regulation on payment of legitimate invoices within 30 days.,Stricter control on monitoring items above 30 days and timely clearance of such. Finance and SCM forms a joint team which will now monitor and assist management on clearing such.,100 %,0 %,Leadership vacuum within the department that is hindering service delivery.  ,Intervention by the Executive Authority.  ,100 %,100 %,94,Due to the lengthy processes taken by branches to validate invoices,Follow-up on distributed invoices to ensure payment within 30 days,,,177
Military Veterans,Military Veterans,National,PROGRAMME 1: ADMINISTRATION,PROGRAMME 1: ADMINISTRATION,Quarterly,Number of IDMS modules implemented ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,1,1,N/A,N/A,1,0,Lack of Development capacity at SITA,Escalate the delays in procurement of SITA Resources for Development to DMV and SITA management,1,0,Lack of Development capacity at SITA.,Monitor the progress made by SITA development team to ensure implementation of the IDMS.,1,0,The DMV depends on SITA to deliver the IDMS. SITA committed to deliver the system by 01 April 2023 but this was not fulfilled.,Request a formal report on the non- delivery from SITA. Further request a commitment and updated project plan from SITA. Strengthen project management capacity from DMV. Explore available opportunities for development of systems. ,4,1,0,The DMV depends on SITA to deliver the IDMS. SITA committed to deliver the system by 01 April 2023 but this was not fulfilled.,Request a formal report on the non- delivery from SITA. Further request a commitment and updated project plan from SITA. Strengthen project management capacity from DMV. Explore available opportunities for development of systems,,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Annually,Number of Military Veterans approved to access newly built houses per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,355,,90,Poor delivery of houses to military veterans due to a variety of challenges in all provinces,"Continue to engage NDHS to find resolution to challenges, review MoU and SLAs with provincial DHS",,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Strategy on subsidised  public transport approved,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,-,-,N/A,N/A,-,-,-,Planned for reporting in Q3 and Q4,Draft Strategy on subsidised public transport,Draft Strategy on subsidised public transport was not drafted as planned. ,The capacity constraints and competing activities within the programme continue to affect the engagement with relevant stakeholders to assist in this benefits.,An agreement has been reached with DoT to commence with engagements during January 2023 and to also identify other relevant partners to enrich the engagements towards the strategy development for this benefit.,Approved Strategy on subsidised public transport,Target not achieved,Target was not achieved because of continuing engagements with stakeholders due to the complexity in the subsidized public transport sector in the country.,Continue with robust engagements with the stakeholders,Strategy on subsidised public transport,-,Target not achieved,"Target not been achieved because of continuing engagements with stakeholders due to the complexity in the subsidized public transport sector in the country.

",Continue with robust engagements with the relevant stakeholders in the new financial year ,,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Number of confirmed Military veterans registered in the database per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,250,250,N/A,N/A,250,264,Large number of application received.,N/A,250,369,Large number of applications received.,N/A,250,311, Large number of applications received.,N/A,1000,1194,1184,Large number of applications received,,,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Number of files processed by verification panel per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,360,595,N/A,N/A,360,0,Panel sitting did not take place.,The activities of the Verification Panel is not in DMV’s control.,360,0,Panel sitting did not take place.,The activities of the Verification Panel is not in DMV’s control.,360,0,Panel sitting did not take place.,The activities of the Verification Panel is not in DMV’s control.,1440,0,595,Panel sitting did not take place.,The activities of the Verification Panel is not in DMV’s control and robust engagements to be sort from relevant stakeholders ,,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Number of Military  Veterans approved for compensation benefit per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,0,0,Not planned for Q1,N/A,0,0,N/A,To be reported during Q3 & Q4. ,50,74,Majority of the military veterans assessed qualified for payment.,N/A,50,53,"Majority of the military veterans assessed qualified for payment.
More applications for the benefit were from men, than the women
","Going forward, Female military veterans will be proactively targeted. ",100,53,127,Majority of the military veterans assessed qualified for payment.,,,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Number of Military  Veterans approved for Pension benefit per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,1000,0,Pension benefit not implemented due to Draft Regulations not yet finalised being consulted with stakeholders,Continue stakeholder engagement on draft Regulations towards benefit implementation,1250,0,Pension benefit not implemented due to Draft Regulations not yet finalised being consulted with stakeholders,Continue stakeholder engagement on draft Regulations towards benefit implementation,1500,0,Pension benefit not implemented due to Draft Regulations and have been tabled in Parliament for public comment.,Await outcome of Parliamentary process on draft Regulations.,2000,0,Pension benefit not implemented as the Draft Regulations have been tabled in parliament for approval. ,Await outcome of parliamentary process on draft Regulations. ,2000,0,0,Pension benefit not implemented but Draft Regulations have been tabled in parliament,Await outcome of parliamentary process on draft Regulations,,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Strategy on subsidised  public transport approved,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,0,0,N/A,N/A,0,0,N/A,Planned for reporting in Q4,0,0,N/A,N/A,0,0 ,the target was not captured correctly ,the target was corrected ,0,0,0,Continue with robust engagements with the relevant stakeholders in the new financial year ,,,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Number of Military Veterans approved to access health care services,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,150,54,Healthcare is demand driven. About 151 applications received. Only 54 were approved while 90 applications were incomplete and 8 were rejected as they did not meet criteria. ,Continuous monitoring. A team has been setup to contact military veterans individually for outstanding documents.,150,80,Healthcare is demand driven. About 137 applications were received. Only 80 were approved while 45 applications were incomplete and 12 were rejected as they did not meet criteria,"Constant follow up on incomplete applications to authorize provided they meet qualifying criteria.

Future downward review of targets as the population of military veterans exiting the Defence force is supposed to continue with medical cover from DoD as such applications for cover should drop
",150,132,SADF/SANDF received do not meet criteria to qualify for the benefit.,Majority of SADF/SANDF members with more than 10 years of service have medical cover.,150,109,SADF/SANDF applications received do not meet criteria to qualify for the benefit while majority have medical cover.,"Majority of SADF/SANDF members with more than 10 years of service have medical cover. As such,  annual targets will be revised going forward",600,375,194,SADF/SANDF applications received do not meet criteria to qualify for the benefit while majority have medical cover,"Majority of SADF/SANDF members with more than 10 years of service have medical cover. As such,  annual targets will be revised going forward",,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Number of Military Veterans and dependents provided with dedicated counselling services and treatment,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,150,157,Counselling services are demand driven. Women military veterans access to services is now increasing due to continuous communication about benefits ,Continuous monitoring,150,232,Dedicated Counselling is need and demand driven,Continuously monitor the demand and the budget ,150,97,Though the month of December is not included. The target will be reached,,150,101,The month of March is not included as the department is awaiting stats from an external source,N/A,600,101,627,NA,,,,177
Military Veterans,Military Veterans,National,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,PROGRAMME 2: SOCIO-ECONOMIC SUPPORT,Quarterly,Number of Military Veterans approved to access mortgage bond subsidy per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,5,5,N/A,N/A,5,4,"Most military veterans are not qualifying e.g., bond balance above threshold and ownership of more than 1 property etc.",Increase frequency of mortgage bond adjudications,5,0,"Most military veterans are not qualifying e.g., bond balance above threshold and ownership of more than 1 property etc.",Continue with regular mortgage bond adjudications,5,0,"Most military veterans are not qualifying e.g., bond balance above threshold and ownership of more than 1 property etc.",Continue with mortgage bond adjudications,20,0,8,"Most military veterans are not qualifying e.g., bond balance above threshold and ownership of more than 1 property etc.",Continue with mortgage bond adjudications,,,177
Military Veterans,Military Veterans,National,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,Annually,Number of bursaries provided to Military Veterans and their dependants per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,3500,4114,,,3500,,4114,High demand than anticipated. ,Monitoring of the budget in line with the target.,,,177
Military Veterans,Military Veterans,National,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,Annually,Number of Military Veterans memorial sites facilitated per year,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,3,0,,,3,,4,Dependences on DSAC to achieve the target,Interdepartmental collaborations.  ,,,177
Military Veterans,Military Veterans,National,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,Quarterly,Number of memorial activities coordinated for Military Veterans ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,1,0,Delays in consulting with stakeholders for memorial activities for military veterans,On-going consultations,1,1,N/A,Achieved as planned ,1,3,The consultation process resulted in consensus among all relevant stakeholders.   ,Continues monitoring of the budget against outputs,1,1,target was archived during Q3. ,N/A,4,1,4,NA,Dependences on DSAC to achieve the target,,,177
Military Veterans,Military Veterans,National,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,Quarterly,Percentage of approved burial claims paid within 30 days of receipt,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,100 %,100 %,N/A,N/A,100 %,100 %,,,100 %,100 %,N/A,N/A,100 %,33 %,leadership vacuum affected the delivery of this benefit during Q4.,The executive authority to intervene as a matter of urgency on this matter. ,100 %,33 %,73,The budget affected the delivery of this benefit,Intervention by the Executive Authority ,,,177
Military Veterans,Military Veterans,National,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,Quarterly, Number of Military Veterans and dependants approved for Skills Development Programmes ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,875,159,Low demand for the Skills Development benefit,Promotion of the benefit through outreach programmes.  ,875,63,,,875,62,Incapacity challenges,Contract workers,875,60,Capacity and travel challenges due to the department not having a travel agenc.y,Find alternative that are in line with legislation to ensure service delivery continues.,3500,60,344,Capacity and travel challenges due to the department not having a travel agency ,Find alternative that are in line with legislation to ensure service delivery continues,,,177
Military Veterans,Military Veterans,National,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,Quarterly, Number of Military Veterans businesses provided with access to business facilitation programmes ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,30,10,Low demand for the business support benefit,Promotion of the benefit through outreach programmes.  ,40,41,Normal trend as demand picks up from Q1,Resumption of planned outreach programmes in the provinces.,70,85,There was an increase in business opportunities for MV businesses,N/A,110,105,Capacity and travel challenges due to the department not having a travel agency.,Find alternative that are in line with legislation to ensure service delivery continues.,110,105,0,Capacity and travel challenges due to the department not having a travel agency ,Find alternative that are in line with legislation to ensure service delivery continues ,,,177
Military Veterans,Military Veterans,National,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,PROGRAMME 3: EMPOWERMENT AND STAKEHOLDER MANAGEMENT,Quarterly,Number of Military Veterans provided with access to employment placement opportunities,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,0,0,Not planned for Q1,N/A,10,0,Capacity challenges,Continues collaboration and engagement with relevant stakeholders for job opportunities.,10,0,Capacity challenges,Continues collaboration and engagement with relevant stakeholders for job opportunities.,10,0,Capacity challenges. ,Approval of the structure. ,30,0,0,Capacity challenges ,Approval of the structure ,,,177
