Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
,Communication and Digital Technologies,National,ICT INTERNATIONAL  RELATIONS AND AFFAIRS ,ICT INTERNATIONAL  RELATIONS AND AFFAIRS ,Quarterly,Number of approved Country  Positions to support the  National ICT priorities,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",-,,,,"Cabinet Memorandum 
developed and submitted 
for approval for WRC for SA 
position ",Cab Memo prepared based on position developed by Programme 5.,,,"Advance SA positions during 
World Radio Conference ",South Africa’s positions were successfully advanced.,None,None,"Obtain legal opinions on WRC 
Final Acts and commence 
ratification process  ",Legal opinion was obtained.  ,The legal opinion is awaited from DOJ.,The ratification process will commence upon receipt of the legal opinion from DOJ.,"3 Country Positions 
developed and approved 
to support the National ICT 
priorities focused on BRICS, 
UPU and WRC-23 ",-,"The Department approved 3 Country Positions to support the National ICT priorities focused on BRICS, UPU and WRC-23 ",None,None,"The Department
achieved the
planned target. 3
Country Positions
were approved
to support the
National ICT
priorities focused
on BRICS, UPU
and WRC-23
",127
,Communication and Digital Technologies,National,ICT INTERNATIONAL  RELATIONS AND AFFAIRS ,ICT INTERNATIONAL  RELATIONS AND AFFAIRS ,Quarterly,Number of approved Country Positions to support the National ICT priorities,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"Position paper approved 
to support the National ICT 
priorities focused on BRICS 
2023  ","BRICS Position Paper was approved by the ADG and submitted to the Minister.
",None,None,-,"



BRICS ICT 2023 Meetings based on Position to support the National ICT priorities was successfully hosted.",,,-,,,,-,-,,,"3 Country Positions 
developed and approved 
to support the National ICT 
priorities focused on BRICS, 
UPU and WRC-23 ",-,"The Department approved 3 Country Positions to support the National ICT priorities focused on BRICS, UPU and WRC-23 ",None,None,"The Department
achieved the
planned target. 3
Country Positions
were approved
to support the
National ICT
priorities focused
on BRICS, UPU
and WRC-23
",127
,Communication and Digital Technologies,National,ICT INTERNATIONAL  RELATIONS AND AFFAIRS ,ICT INTERNATIONAL  RELATIONS AND AFFAIRS ,Quarterly,Number of international  programmes,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,Not Applicable,"Internal stakeholder 
engagement to identify 
international programmes of 
DCDT conducted ",Internal stakeholder engagement to identify international programmes were conducted.,None,None ,"Two (2) identified International 
programmes coordinated ",Two identified international programmes were coordinated.,,,"Two (2) identified International 
programmes coordinated ",One identified international programmes were coordinated.,None,None,"Two (2) identified International 
programmes coordinated ",Two (2) identified International programmes were coordinated,None,None,"Number of international 
programmes to support the 
digital economy initiatives 
coordinated ",-,"Implementation of two (2) International programs to support the digital economy initiatives was coordinated
",None,None,"The Department
achieved the
planned target.
Implementation
of two (2)
International
programs to
support the
digital economy
initiatives was
coordinated
",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Approved Electronic  Communications  Amendment Bill (USAF),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Electronic Communications 
Amendment Bill developed ",Not achieved,Delay in obtaining strategic direction,Minute to the Minister submitted to obtain strategic direction,"SEIAS report sign-off obtained 
from Presidency and 
Precertification legal opinion 
obtained from Office of the 
Chief State Law Adviser ",Not achieved,New strategic direction required from Minister on institutional form for USAF,Opportunity to brief Minister requested,"Electronic Communications 
Amendment Bill submitted to 
Cluster for approval",The target was revised,The target was revised,The target was revised,"Electronic Communications 
Amendment Bill submitted 
to Cabinet for public 
consultation approval",Target was revised,,,"Electronic Communications 
Amendment Bill (USAF) 
submitted to Cluster 
and Cabinet for public 
consultation approval ",-,SEIAS report sign-off for the Electronic Communications Amendment Bill was not obtained from Presidency and Precertification legal opinion was not obtained from Office of the Chief Justice,There was a delay in getting the new strategic direction required from Minister on institutional form for USAF.,The annual target was revised due to the uncertainties of the calendar and timeous approval of the ECA Bill (USAF) by the Cluster and the Cabinet.,"The Department
did not
achieve the
planned target
of submitting
Electronic
Communications
Amendment
Bill (USAF)
to Cluster and
Cabinet for
public consultation
approval",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Approved Electronic Communications Amendment Bill,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",None,,,,None,,,,"Draft Electronic
Communications
Amendment Bill (USAF)
developed",Draft Electronic Communications Amendment Bill (Digital Development Challenge fund) developed,None,None,"Electronic Communications
Amendment Bill (Digital
Development Challenge
Fund) developed",Electronic Communications Amendment Bill (Digital Development Challenge Fund) was developed.,None,None,Electronic Communications Amendment Bill (USAF) developed,-,Electronic Communications Amendment Bill (Digital Development Challenge Fund) was developed.,None,None,"The Department
achieved the
planned target.
Electronic Communications
Amendment Bill
(Digital Development
Challenge
Fund) was developed.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Audio- and  Audio-Visual Content Service  policy and Online Safety Act,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Draft White Paper on the 
Audio- and Audio-Visual 
Content Services and Online 
Safety submitted to Cluster 
and Cabinet for approval ",The Draft White Paper has been submitted to the Minister seeking approval to submit to Cabinet to approve the gazetting for the final inputs,The Ministry responded towards the end of Q1 to engage the unit on the DWP,The unit has since engaged the Minister and the approval has been granted to gazette for the public comments,"Audio- and Audio-Visual 
Content Services and Online 
Safety Bill developed ",Audio- and Audio-Visual Content Services and Online Safety Bill has not been developed,The Draft White Paper on Audio- and Audio-Visual Content Services and Online Safety is on the last stage of consultation through the gazette,The team will be in the process of analysing inputs and ultimately integrate them into the Draft White Paper on Audio- and Audio-Visual Content Services and Online Safety,"Submit the Audio- and Audio Visual Content Services and 
Online Safety Bill to the State 
Law Adviser  ",The target was revised,The target was revised,The target was revised,"Audio- and Audio-Visual 
Content Services and 
Online Safety Bill submitted 
to the State Law Adviser for 
certification ",Target was revised,,,"White Paper and the Bill on 
the Audio- and Audio-Visual 
Content Services and Online 
Safety submitted to Cabinet 
for approval  ",-,The Department was not able to achieve the target to submit the White Paper on Audio- and Audio-Visual Content Services and Online Safety to Minister for approval ,"Further research done brought up new issues that needed more discussions and updating of the White Paper. Furthermore, there were delays in the procurement of a writer in finalising the write-up of the final white paper",Appoint writer in finalising the write-up of the final white paper in the 2024/25 FY.,"The
Department
did not
achieve the
planned target
of submitting
White Paper
and the Bill on
the Audio- and
Audio-Visual
Content
Services and
Online Safety
to Cabinet for
approval.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Audio- and  Audio-Visual Content Service  policy and Online Safety Act,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",- ,,,,-,-,-,-,"Consultation on the Audio and Audio-Visual Content 
Services and Online Safety 
Bill conducted ",The target was revised,The target was revised,The target was revised,"Submit the Audio- and Audio Visual Content Services and 
Online Safety Bill to the Cluster 
and Cabinet for approval ",Target was revised ,,,"White Paper and the Bill on 
the Audio- and Audio-Visual 
Content Services and Online 
Safety submitted to Cabinet 
for approval ",-,The Department was not able to achieve the target to submit the White Paper on Audio- and Audio-Visual Content Services and Online Safety to Minister for approval ,SEIAS for the Audio- and Audio-Visual Content Services and Online Safety was not submitted for precertification and as a result the White Paper on Audio- and Audio-Visual Content Services and Online Safety was not submitted to Minister for approval,Appoint writer in finalising the write-up of the final white paper in the 2024/25 FY.,"The
Department
did not
achieve the
planned target
of submitting
White Paper
and the Bill on
the Audio- and
Audio-Visual
Content
Services and
Online Safety
to Cabinet for
approval.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Audio- and  Audio-Visual Content Service  policy and Online Safety Act,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",-,,,,-,-,-,-,"SEIAS for the Audio- and 
Audio-Visual Content Services 
and Online Safety Bill 
submitted for precertification ",SEIAS for the Audio- and Audio-Visual Content Services and Online Safety was not submitted for precertification,Extension of submission of inputs by stakeholders had a knock-on effect on the submission of SEIAS for precertification. ,The updating of SEAIS is being done parallel to analysis of inputs from stakeholders to ensure submission of White Paper to Minister in Q4.,-,-,,,"White Paper and the Bill on 
the Audio- and Audio-Visual 
Content Services and Online 
Safety submitted to Cabinet 
for approval ",-,The Department was not able to achieve the target to submit the White Paper on Audio- and Audio-Visual Content Services and Online Safety to Minister for approval ,SEIAS for the Audio- and Audio-Visual Content Services and Online Safety was not submitted for precertification and as a result the White Paper on Audio- and Audio-Visual Content Services and Online Safety was not submitted to Minister for approval,Appoint writer in finalising the write-up of the final white paper in the 2024/25 FY.,"The
Department
did not
achieve the
planned target
of submitting
White Paper
and the Bill on
the Audio- and
Audio-Visual
Content
Services and
Online Safety
to Cabinet for
approval.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Audio- and Audio-Visual Content Services and Online Safety Act,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",None,,,,None,,,,"Inputs from stakeholders
consolidated into the White
Paper on Audio- and Audio-
Visual Content Services and
Online Safety
",Inputs from stakeholders consolidated into the White Paper on Audio- and Audio- Visual Content Services and Online Safety,None,None,"White Paper on Audio- and
Audio-Visual Content Services
and Online Safety submitted
to Minister for approval
",Not achieved,"Due to the new and recent developments in the sector, the Branch had to engage in further research based on submissions.
This further research brought up new issues that needed more discussions and updating of positions.
There has also been delays in the procurement of a writer in finalising the write-up of the final white paper. 
","The unit is in the process of attempting to finalise the White Paper
The unit will also engage SCM on the best possible approach to secure the services of a writer 
","White Paper
on Audio- and
Audio-Visual
Content Services
and Online
Safety submitted
to Minister for
approval
",-,The Department was not able to achieve the target to submit the White Paper on Audio- and Audio-Visual Content Services and Online Safety to Minister for approval ,SEIAS for the Audio- and Audio-Visual Content Services and Online Safety was not submitted for precertification and as a result the White Paper on Audio- and Audio-Visual Content Services and Online Safety was not submitted to Minister for approval,Appoint writer in finalising the write-up of the final white paper in the 2024/25 FY.,"The Department
did not achieve
the planned
target of
submitting White
Paper on Audioand
Audio-Visual
Content Services
and Online
Safety to Minister
for approval.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Audio- and Audio-Visual Content Services and Online Safety Act,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",None,,,,None,,,,"SEIAS for the White Paper
on Audio- and Audio-Visual
Content Services and
Online Safety submitted for
precertification
",The target was revised,The target was revised,The target was revised,None,-,,,"White Paper on Audio- and Audio-Visual Content Services and Online Safety submitted to Minister for approval
",-,The Department was not able to achieve the target to submit the White Paper on Audio- and Audio-Visual Content Services and Online Safety to Minister for approval ,SEIAS for the Audio- and Audio-Visual Content Services and Online Safety was not submitted for precertification and as a result the White Paper on Audio- and Audio-Visual Content Services and Online Safety was not submitted to Minister for approval,Appoint writer in finalising the write-up of the final white paper in the 2024/25 FY.,"The Department
did not achieve
the planned
target of
submitting White
Paper on Audioand
Audio-Visual
Content Services
and Online
Safety to Minister
for approval.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Cost-of-Communication Review  Mode,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Data collected for the 
formulation of the review 
model ",Data was collected for the formulation of the review model.,None,None,"Initial draft report on 
data collected for the 
development of the cost to 
communicate review model ",Initial draft report on data collected for the development of the cost to communicate review model was developed.,None,None,"Final draft report for the 
review and improvement of 
cost to communicate review 
model ","Final draft report for the
review and improvement
of Cost to Communicate
Review Model was developed.
",None,None,"Cost to Communicate review 
Model developed ",Cost to Communicate Review Model was developed.,None,None,"Cost-of-Communication 
Review Model developed ",-,Cost to Communicate Review Model was developed.,None,None,"The
Department
achieved
the planned
target. Cost to
Communicate
Review
Model was
developed.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Digital  Economy Framework and  Strategy,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Draft Digital Economy 
Framework and Strategy 
developed and submitted to 
Cabinet for public comments ",Draft Digital Economy Framework and Strategy developed and signed by the DG.,Submitted supporting document not relevant  ,Catch-up report to be done in quarter 2.,"Revised Draft Digital Economy 
Framework and Strategy 
submitted to Minister ",Revised Draft Digital Economy Framework and Strategy submitted to Minister,Need direction or feedback on the Framework and Strategy going forward,Follow up with the Ministers office,"Revised Draft Digital Economy 
Framework and Strategy 
submitted to Cabinet for 
approval",The target was revised,The target was revised,The target was revised,"Digital Economy Framework 
and Strategy developed ",Target was revised,,,"Digital Economy Framework 
and Strategy submitted 
to Cluster and Cabinet for 
approval",-,Digital Economy Framework and Strategy was not submitted to Cluster and Cabinet for approval.,There was a need for updating and monitoring the feedback on the Framework and Strategy going forward ,The annual target was revised since approval was previous given which necessitated the updating and monitoring the implementation of the Digital Economy Master Plan.,"The
Department
did not
achieve the
planned target
of submitting
Digital
Economy
Framework
and Strategy
to Cluster and
Cabinet for
approval.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Digital Economy Masterplan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",None,,,,None,,,,"Implementation Plan of the
Digital Economy Master Plan
updated
",Implementation Plan of the Digital Economy  Masterplan was updated. ,None,None,"Implementation Plan of the
Digital Economy Master Plan
monitored
",Implementation Plan of the Digital Economy Masterplan was updated and submitted for approval.,Monitoring of the Implementation Plan of the Digital Economy Masterplan will be conducted upon receipt of the approved plan.,Follow-up with DGO on the approved Implementation Plan of the Digital Economy Masterplan.,"Implementation of Digital
Economy Masterplan
monitored",-,Implementation Plan of the Digital Economy Masterplan was updated and submitted for approval.,Monitoring of the Implementation Plan of the Digital Economy Masterplan could only be conducted upon receipt of the approved plan.,Monitoring of the Implementation Plan of the Digital Economy Masterplan will be conducted upon receipt of the approved plan.,"The Department
did not achieve
the planned target
of monitoring
the implementation
Plan of the
Digital Economy
Masterplan.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented Government  Cloud Computing Policy,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Initial SEIAS report developed 
and consulted with the 
Presidency ",SEIAS report developed and consulted with the Presidency,None,None,"Full SEIAS and Pre-certification 
obtained from Presidency ",Full SEIAS and Pre-certification obtained from Presidency,None,None,"Government Cloud 
Computing Policy consulted 
with the ESEID Cluster",The target was revised,The target was revised,The target was revised,"Government Cloud 
Computing Policy finalised 
and submitted to Minister for 
approval",Target was revised,,,"Government Cloud 
Computing Policy finalised ",-,"SEIAS report was developed and consulted with the Presidency. Furthermore, a full SEIAS and Pre-certification was obtained from Presidency.
",None,The annual target was reprioritized over the finalisation of National Data and Cloud Policy target. ,"The
Department
achieved
the planned
target.
Government
Cloud
Computing
Policy was
finalised.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented National Data and Cloud Policy,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",None,,,,None,,,,"SEIAS report on Draft National
and Cloud Policy developed.
","SEIAS report developed, completed and approved by Presidency (DPME)",None,None,"National Data and Cloud
Policy finalised and submitted
","National Data and Cloud Policy was finalised, submitted and approved.",None,None,"National Data and Cloud
Policy finalised",-,"National Data and Cloud Policy was finalised, submitted and approved.",None,None,"The Department
achieved the
planned target.
National Data
and Cloud Policy
was finalised.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented National Data and Cloud Policy,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",None,,,,None,,,,"Draft National and Cloud
Policy consulted with the
Cluster",Cluster presentation finalised and other related documents finalised,Cluster meeting of 14 December 2023 was deferred,The policy to be presented to the ESEID Cluster meeting in the 4th quarter,None,-,,,"National Data and Cloud
Policy finalised",-,"National Data and Cloud Policy was finalised, submitted and approved.",None,None,"The Department
achieved the
planned target.
National Data
and Cloud Policy
was finalised.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented PC4IR Strategic  plan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Data sources for the 
operationalisation of the M&E 
framework identified ",Not Achieved ,No performance information was submitted.,Catch-up report to be done in quarter 2.,"Agreements for data sharing 
with relevant stakeholders 
established ",Not Achieved ,Lack of resource due to expiry of PC4IR PMO contracts ,Process of acquiring a Resource is underway. ,"Data for the 
operationalisation of the M&E 
framework developed ",The target was revised,The target was revised,The target was revised,"Operationalize and report on 
the M&E framework ",Target was revised,,,"PC4IR Strategic 
implementation plan 
coordinated ",-,Coordination report was developed on the projects related to the Strategic Implementation Plan in line with the PC4IR Recommendations,The Integrated Implementation Plan does not entail which activities will be coordinated within the fourth quarter in line with the recommendations which makes it difficult to measure the achievement of all activities planned in the fourth quarter. ,"The Integrated Implementation plan to be 
adequately documented to assist the department in tracking progress against the planned activities.","The Department
did not
achieve the
planned target
of coordinating
PC4IR Strategic
implementation
plan.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented PC4IR Strategic Plan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",None,,,,None,,,,"Progress report on the
implementation of the
projects aligned to the PC4IR
Recommendations within the
Reporting Framework",Progress report on the implementation of internal projects aligned to the PC4IR Recommendations was developed. ,None,None,"Coordination report
developed on the projects
related to the SIP in line with
the PC4IR Recommendations",Coordination report was developed on the projects related to the SIP in line with the PC4IR Recommendations.,The Integrated Implementation Plan does not entail which activities will be coordinated within the fourth quarter in line with the recommendations which makes it difficult to measure the achievement of all activities planned in the fourth quarter. ,The Integrated Implementation plan to be adequately documented to assist the department in tracking progress against the planned activities.,"PC4IR Strategic
implementation plan
coordinated",-,Coordination report was developed on the projects related to the Strategic Implementation Plan in line with the PC4IR Recommendations,The Integrated Implementation Plan does not entail which activities will be coordinated within the fourth quarter in line with the recommendations which makes it difficult to measure the achievement of all activities planned in the fourth quarter. ,The Integrated Implementation plan to be adequately documented to assist the department in tracking progress against the planned activities.,"The Department
did not
achieve the
planned target
of coordinating
PC4IR Strategic
implementation
plan.",127
,Communication and Digital Technologies,National,ICT POLICY DEVELOPMENT AND RESEARCH,ICT POLICY DEVELOPMENT AND RESEARCH,Quarterly,Implemented policy directive  on the data and lowered  mobile broadband cost,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Initial Research Report 
to inform policy and or 
strategies to offer free data to 
household. ",Desk top research done for the compilation of the initial report.,Budget constraints were the main issue that delayed the target,The initial research report will be prioritised in the quarter 2.,"Draft Policy developed 
incorporating various modes/ 
SEIAS/strategies to enable free 
data to households ",Not achieved.,"-Delay in finalising SEIAS to inform the development of draft policy directive.
-Inadequate funding to appoint an External Service Provider to assist the Department with a feasibility study to inform the development of draft policy.
","-In quarter 3, the process of finalising SEIAS will be expedited.
-Consult other Chief Directorates with the ICT Policy and Strategy Development Branch and Finance Chief Directorate regarding the funding of the study.
","Final Report incorporating 
inputs from sector 
stakeholders submitted to 
Cluster  ",The target was removed on revision,The target was removed on revision,The target was removed on revision,"Policy Directive on free data 
services and lowered mobile 
broadband cost issued to 
ICASA. ",Target was removed from the revised 2023/24 APP,,,"Policy Directive issued to 
ICASA for household to 
receive data and lower the 
mobile broadband cost ",-,Draft Policy was not developed incorporating various modes/ SEIAS/ strategies to enable free data to households.,Budget constraints and delays in finalising SEIAS to inform the development of draft policy directive,The target was removed from the 23/24 APP due to Inadequate funding to appoint an External Service Provider to assist the Department with a feasibility study to inform the development of draft policy.,"The
Department
did not
achieve the
planned target
of issuing
Policy Directive
to ICASA for
households to
receive data
and lower
the mobile
broadband
cost.",127
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Finance,Annually,7.1.3.6 Audit outcome,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,Unqualified audit opinion with reduced findings,Awaiting Audit Outcome,,,Unqualified audit opinion with reduced findings,,Awaiting Audit Outcome,Awaiting Audit Outcome,Awaiting Audit Outcome,Unqualified audit opinion with reduced findings,127
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Finance,Annually,7.1.3.7 Percentage of tenders above R30 million awarded to designated groups,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,30 %,0 %,,,30 %,,0,No bids above R30 million were awarded for the 2023/24 financial year,The Department will continue to priorities designated groups in the awarding of bids above R30 million,0,127
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Human Resources ,Quarterly,7.1.3.4 Percentage compliance to the EE Plan for SMS,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",No target set  for Q1 ,No target set for Q1 ,No target set for Q1 ,No target set for Q1 ,M=50   F=50,"M=51.43
F=48.57",Number of female SMS members reduced from 69 in 2022/23 to 68. No new female members appointed for 2023/24,Appointments for the advertised vacant posts salary levels 13-15 to be concluded.,,No target for the Q3,No target for Q3,No target for Q3,M=50   F=50,"M=53.33
F=46.67","Due to the implementation of the DPSA Moratorium on the filling of posts and Financial Circular No 2 of 2023/24: Cost Containment Measures for the Department of Correctional Services only two SMS appointments/ promotions were finalised in 2023/24
",Consistent compliance with the EE Plans,M=50   F=50,-,"M=53
F=47",Inadequate compliance to the Employment Equity Plan resulting in fewer female SMS appointments/ promotions for the 2023/24 financial year (i.e. 1 female appointed and 7 females promoted to SMS vs 1 male appointed and 12 males promoted to SMS).  Two (2) of the female promotions were already in the SMS.,n/a,"M=53
F=47",127
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Human Resources ,Quarterly,7.1.3.3 Percentage of youth employed within the Department,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",0 %,0 %,No target set for Q1 ,No target set for Q1 ,20 %,34.57 %,More youth appointments on contract and permanent posts. ,n/a,0 %,No target for Q3 %,No target for Q3,No target for Q3,20 %,50.07 %,"In addition to the normal recruitment process, the Department recruited 1 001 Centre Based Auxiliary support officers in November 2023 ",n/a,20 %,0 %,40,"In addition to the normal recruitment process, the Department recruited 1 001 centres based auxiliary support officers in November 2023",n/a,40,127
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Human Resources ,Quarterly,7.1.3.5 Percentage compliance to the EE plan for PWDs,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",0 %,0 %,No target set for Q1 ,No target set for Q1 ,0.83 %,0.87 %,"Consistent compliance with the EE plan for promotions, appointments and transfers",n/a,0 %,No target for Q3 %,No target for Q3,No target for Q3,0.83 %,0.87 %,Consistent compliance with the EE Plan for promotions/ appointments/ transfers,n/a,0.83 %,0 %,0.86,Consistent compliance with the EE Plan for promotions/ appointments/ transfers persons living with disabilities.,n/a,0.86,127
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Information Technology,Quarterly,7.1.3.8 Number of sites where mesh network and Integrated Security System are installed (ISS),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",0,0,No target set for Q1 ,No target set for Q1 ,0,No target for Q2,No target for Q2,No target for Q2,5,0,Funds allocated for mesh network projects was insufficient due to budget shortfall for the microsoft licences.,Funding not available for 2023/24 financial year. Project will be implemented in the next  financial year when sufficient funding is allocated.,5,0,Funds allocated for Mesh Network and ISS were insufficient due to the budget shortfall for the Microsoft Licenses,"The project will be implemented in the 2024/25 financial year if sufficient funding is allocated


",10,0,0,Funds allocated for the Mesh Network project was insufficient due to a budget shortfall for the Microsoft licenses.,The project will be implemented in the 2024/25 financial year if sufficient funding is allocated,0,127
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Information Technology,Quarterly,7.1.3.9 Percentage of sites installed with Local Area Network (LAN) infrastructure,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",56 %,52 %,"Cancellation letter was presented to the National Bid Adjudication Committee (NBAC) on the 10/07/2023.  Delay in SCM booking the slot for Bid Evaluation Committee (BEC) committee. 

","SCM to ensure that the National Bid Adjudication Committee (NBAC)sitting takes place as soon as possible. 

",58 %,42.00 %,"Delay in finalization of contract to assist with cabling, Where SITA cancelled the bid to appoint the service provider for cabling. ",Participation letter to get a service provider to assist with cabling has been approved by National Commissioner and accepted by accounting officer from DIRCO. ,60 %,42                           %,Funds allocated for LAN Infrastructure project was insufficient due to budget shortfall for the microsoft licences.,NBAC has approved the request to participate in the cabling contract for DIRCO. Funding not available for 2023/24 financial year. Project will be implemented in the next  financial year when sufficient funding is allocated.,62.5 %,42.31 %,Funds allocated for LAN Infrastructure project was insufficient due to budget shortfall for the Microsoft licenses.,NBAC has approved the request to participate in the cabling contract for DIRCO. Funding not available for 2023/24 financial year. Project will be implemented in the next  financial year when sufficient funding is allocated..,62.5 %,52 %,42.3,Funds allocated for the LAN Infrastructure project was insufficient due to a budget shortfall for the microsoft licences.,NBAC has approved the request to participate in the cabling contract for DIRCO. Funding not available for 2023/24 financial year. Project will be implemented in the next  financial year when sufficient funding is allocated..,42.3,127
