Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,OTP_Q1,OTP_Q2,OTP_Q3,UID
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of schools participating in the School Sport Programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",285,3,285,Revised target. please see indicator no 8 below for the revised target.,0,Annual target was revised. Please see indicator no 8 below for the revised target.,0,,570,3,0,Revised target. please see indicator no 8 below for the revised target.,,,,Regular Participation Guidelines not yet finalized. DSAC & DBE still working on document. This led to delay in the implementation,National Joint Task Team to finalise the document before the end of July. Agreement has been reached with DBE to start with limited implementation of the programme (Football u15),"Not achieved, reason for deviation provided.",,,,,,No reporting required for the quarter under review.,,,No reporting required for the quarter under review,,,,238
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of schools participating in the School Sport Programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",285,3,15,454,0,,0,,300,457,457,More schools registered for participation in the programme ,No corrective measure required. More schools should register to participate.,,Higher ,Regular Participation Guidelines not yet finalized. DSAC & DBE still working on document. This led to delay in the implementation,National Joint Task Team to finalise the document before the end of July. Agreement has been reached with DBE to start with limited implementation of the programme (Football u15),,The quarter 1 target was not achieved due to delays in finalising essential policy documents that govern cooperation between DoE and DSAC nationally. The over achievement was to address the first quarter under achievement. ,A new Memorandum of Agreement has been signed between the national ministers of Education and Sport Arts & Culture. This will make it easier for cooperation between the 2 departments in order to implement the School Sport Programme.,,,,No reporting required for the quarter under review.,,,No reporting required for the quarter under review.,,,,238
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of schools provided with equipment and/ or attire,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",50,0,80,60,0,36,0,34,130,130,130,,,,,Work to rule strike by SADTU at the beginning of the financial year delayed the submission of needs analysis forms from schools which had a knock-on effect on the procurement process.,Needs analysis forms have been submitted and procurement processes were at an advanced stage at the time of reporting. The hand-over and delivery will take place in the 2nd quarter. ,"Not achieved, reason for deviation provided.",Equipment and/or attire for 20 schools could not be delivered during the second quarter due to delays from service provider. The service provider delivered sport equipment on 23 September. Schools were already closed hence delivery could only take place at schools where the principals were still available.,Delivery of sport equipment and attire for the remaining schools commenced once schools reopened on 01 October 2024.,,The service provider did not deliver all equipment in quarter 2 as planned. ,Service provider is in the process of delivering the remaining attire and equipment and the annual target will be achieved in the 4th quarter.,"No reporting required for the quarter under review, however progress reported is noted.",34 schools were provided with equipment and attire in the 4th quarter to address the shortfall of quarter 2.,No corrective measure required. The annual target is achieved.,"No reporting required, the achievement was corrective action for Q2",,,,238
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of Sport Ambassadors programmes Supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",3,3,3,1,0,,0,2,6,6,6,,,,,,,Achieved as planned.,Changes to the activity plans at district level led to a congested calendar and the Sport Ambassador Programmes had to be postponed.,Better planning and coordination between DoE and SACR through joint planning sessions will assist in reducing programme clashes and congestion.,,,,No reporting required for the quarter under review., Two (2) Ambassador programmes were supported in the 4th quarter to address the shortfall of the 3rd quarter. ,No corrective measure required. The annual target is achieved.,"No reporting required, the achievement was corrective action for Q3.",,,,238
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.7: Sport (Academies),Quarterly,Number of athlete development programmes supported,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",5,3,5,5,5,5,5,5,5,5,5,,,,,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.",,,,,,Achieved as planned.,,,Achieved as planned.,,,,238
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.7: Sport (Academies),Quarterly,Number of people trained to deliver the sport academy programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",60,0,90,92,90,195,60,77,300,364,364,There was a need for more people to be trained on accredited courses.,No corrective measure required. No overspending on the annual budget occurred.,,,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.","Two more participants registered for the planned workshop. 
",Two more participants were allowed to address the under achievement of the first quarter. ,,More participants were allowed to address the under achievement of the first quarter.,No corrective measure required.,"Overachieved, reason for deviation is provided.",There was a need for more people to be trained on accredited courses. ,No corrective measure required.  No overspending on the annual budget occurred. ,Not Achieved reason for deviation and corrective actions provided.,,,,238
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.7: Sport (Academies),Quarterly,Number of sport academies supported,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",4,3,4,4,4,4,4,4,4,4,4,,,,,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.",.,,,,,Achieved as planned.,,,Achieved as planned,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,"Complaints, Registry and Investigations",Quarterly,Number of reports on the nature of complaints.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,"
1",1,1,4,4,4,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,"Complaints, Registry and Investigations",Quarterly,Number of reports reflecting the number and status of complaints.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,"
1",1,1,4,4,4,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,"Complaints, Registry and Investigations",Quarterly,Number of reports regarding the investigation of complaints.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",9,9,9,9,9,"
9",9,9,36,36,36,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Social Crime Prevention.,Quarterly,Number of awareness programmes on Human Trafficking conducted.,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,2,1,1,"

1",1,2,5,5,5,,,,,,,,"One awareness programme on human trafficking was deferred to Quarter 4, to ensure maximum impact when children / students return to schools for 2025 in Quarter 4
","To be conducted in the 4th Quarter to maximise impact
Time frame: 
Quarter 4 of 2024/2025
",,,,,"Human Trafficking programmes were conducted at Thaba Nchu Sediti Secondary School on the 15th  February 2025; and on the 13th March 2025 at Vierfontein. The purpose was to raise awareness on human trafficking including other social crimes. The second activity was done to cover the under achievement in the second quarter.
",,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Social Crime Prevention.,Quarterly,"Number of community outreach Programmes conducted (public meetings, road shows, etc.).",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",3,3,2,2,3,"

3",2,2,10,10,10,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Social Crime Prevention.,Quarterly,Number of crime prevention campaigns commemorating National focus days/months.,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,2,2,1,"

1
",1,1,5,5,5,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Social Crime Prevention.,Quarterly,Number of rural safety programmes - projects conducted (cross border and inland).,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,2,2,1,"

1",1,1,5,5,5,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Social Crime Prevention.,Quarterly,Number of School Safety programmes implemented at identified schools.,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",15,15,15,15,0,"
0",10,10,40,40,40,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Social Crime Prevention.,Quarterly,Number of Social crime prevention programmes implemented per year,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,2,2,1,"

1",1,1,5,5,5,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Quarterly,Number of customer survey reports per year,Non-Standardized,Average,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,2,2,2,"
2",1,1,6,"1,5",6,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Quarterly,Number of research reports on policing and safety,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,"
1",1,1,4,4,4,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,Number of M&E Special projects implemented.,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",0,,0,,1,"
1",1,1,2,2,2,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,Number of monitoring reports compiled on implementation of IPID recommendations by SAPS per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,"

1",1,1,4,4,4,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,Number of oversight reports on police stations compliance with prescripts.,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",28,28,28,28,28,"

28",27,27,111,111,111,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,Number of reports compiled on police stations monitored based on the MNT per year.,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,"

1",1,1,4,4,4,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,Number of reports compiled on the management of service delivery complaints received against SAPS per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,"

1",1,1,4,4,4,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of monitoring reports on compliance and implementation of the Domestic Violence Act (98) by SAPS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",28,28,28,28,28,"

28",27,27,111,27,111,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of police stations monitored and evaluated on the implementation of Victim Empowerment Programme (VEP).,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",28,28,28,28,28,"


28",27,27,111,111,111,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of public awareness campaigns conducted on DVA.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",0,0,0,,5,"
5
",5,5,10,10,10,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Annually,Provincial Board assessed on functionality.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build social cohesion  ,"Justice, Crime Prevention and Security cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Number of CPFs assessed on functionality per year ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",27,27,28,28,28,"
28",28,28,111,111,111,,,,,,,,,,,,,,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Number of CSFs assessed on functionality per year ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,0,2,0,1,"
0",1,1,5,1,1,"-Major stumbling blocks remain, especially in terms of taking collective and individual responsibility as implementing agents (with specific reference to municipalities) and building on political will and buy-in towards the establishment of these structures.
-The Provincial Secretariat put many efforts into the establishment and revival of Community Safety Forums through training and outreach sessions as part of outreach drives to promote the concept and spark renewed interest in the collective benefits of such a structure when it is well functioning.
",Continuous engagements and necessary provision of support to relevant stakeholders .,,,"The Provincial Secretariat had undertaken CSF outreach and training sessions in all 5 districts in the 1st quarter 2024/2025. However, even though much effort 
has been put into the revival of this structure there is currently no CSF in existence.
 ","Planned Action:
The outreach session have laid a firm ground for the future efforts, but buy in is needed from main stakeholders. ",,"The Provincial Secretariat had undertaken CSF outreach and training sessions in all 5 districts in the 1st quarter 2024/2025. However, even though much effort  has been put into the revival of this structure there is currently no CSF in existence.
","The outreach programme have laid a firm ground for future efforts, but buy in is needed from main stake holders.
",,The launching of the CPFs remain a challenge. There are process underway to launch in Mangaung Metro soon.,"
Planned Launch in Mangaung Metro
",,,,,,,,238
Police, Safety and Liaison,Free State,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Number of training workshops for CPF executive members per district.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",1,1,2,2,1,"

1",1,1,5,5,5,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.1.	Office of the MEC,Annually,Default,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,Number of Social Service Professionals appointed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Education, innovation and skills development","The Economic Sectors, Employment and Infrastructure Development cluster",121,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,Number of written supervision contracts between Social Work Supervisors and Supervisees signed,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Good governance,"The Social Protection, Community and Human Development cluster",,,,,,,410,425,410,425,,Over achievement as a result of new appointments,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Number of comprehensive assessments conducted by Social Workers,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Good governance,"Governance, State Capacity and Institutional Development cluster",450,440,450,591,650,651,650,567,2200,2249,,,,,,Comprehensive Assessments conducted for all received,,Targeted output is almost achieved. Reason for deviation is noted.,"An increase is as a result of District’s Social Work Supervisors Learning and Support Forums ensuring that all sub offices in their respective districts submit their monthly reports and that no service point’ data is left unaccounted for.  
",Comprehensive assessment of client’s situation and needs is an important step of a case management and districts should continue to ensure all assessments conducted are reported accordingly. ,Overachievement is acknowledged for this indicator with reason for deviation in place.,Achieved,,,"The performance for the fourth quarter was significantly lower than all other quarters due to poor reporting of assessments conducted.
","In a  meeting on 23 April 2025, Districts have committed to ensuring timely submission of all assessments conducted by Social Workers

",Performance is noted for this indicator with underachievement reported.,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Number of Risk Management and Fraud Prevention awareness workshops conducted,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Good governance,"Governance, State Capacity and Institutional Development cluster",3,3,3,3,3,3,3,3,12,12,,,,,,Achieved,,,"Awareness conducted during  second quarter:
30 July 2024 Jaggersfontein, 
30 August 2024 Bethulie, 
16 September 2024 Bloemfontein Afrikaans Museum (Awareness for intern) 
",,,Achieved,,,"Awareness workshops were conducted in Tshepong, Thaba Nchu and Clarens.",,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,"Number of workshops on prevention of Irregular, Fruitless and Wasteful Expenditure conducted",Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,0,0,1,1,1,1,2,2,,,,,,Not planned,,,Not Planned,,,Achieved,,,Achieved,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Percentage of valid invoices paid ,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Good governance,"Governance, State Capacity and Institutional Development cluster",100 %,99 %,100 %,102 %,100 %,100 %,100 %,100 %,100 %,102 %,,,,,,2 invoices could not be paid in June 2024.  The payment was made on time but BAS/LOGIS couldn't interface,,,"
Achieved
",,,Achieved,,,Achieved,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.3.	District Management,Annually,Default,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 1:  Administration,Sub Programme 1.3.	District Management,Quarterly,Default,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.1: Management and Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.1: Management and Support,Quarterly,Default,Not Applicable,Min,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing Community Based Care and Support Services,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",4500,4738,4500,4729,4500,4815,4500,"4 633
",4500,4815,,,,,,Achieved.  More older persons accessed services in Thabo Mofutsanyana District.,,Targeted output is overachieved.,Achieved,,Performance is noted for this indicator.,"
The attendance increased due to the Active Ageing Programme which was held in Mangaung as a build up to upcoming National Golden Games which will be held on the 17-21 February 2025.
",,Overachievement is noted for this indicator.,"The overachievement is due to improved access to services that benefited Agang Magheku in the Mangaung District and Sefate sa Nnete in Thabo Mofutsanyana.
",,Targeted output is achieved for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing residential facilities,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",1375,1349,1375,1398,1375,1372,1375,"1390
",1375,1398,,,,,,Achieved,,Targeted output is almost achieved.,Achieved,,Performance is noted for this indicator.,Achieved,,Underachievement with reason for deviation is noted for this indicator.,"Overachievement is linked to the inclusion of Bethel Old Age in Lejweleputswa and Lethabo for Elderly People in Thabo Mofutsanyana, due to the process of increasing access to services.
",,Targeted output is achieved for this indicator.,Provide reason for deviation and corrective action,Target not achieved. Provide reasons for deviation and corrective action.,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of persons with disabilities accessing residential facilities,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",596,600,596,633,596,614,596,607,596,633,,,,,,Achieved,,Targeted output is almost achieved.,Achieved,,"Overachievement is acknowledged, however reasons for deviation and corrective action were necessary.",Achieved,,Overachievement is noted for this indicator.,"The overachievement is attributed to the second round funding of Emmanuel Disability Centre: Clocolan (20) beneficiaries
",,Targeted output is achieved for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of persons with disabilities accessing services in protective workshops,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",905,955,905,916,905,876,905,"923
",905,955,,,,,,Achieved,,Targeted output is overachieved.,Achieved,,Performance is noted for this indicator nevertheless reasons for deviation and corrective action were necessary.,"Vukamawulele Disability Project was suspended in Vrede for mismanagement of funds 
",,Underachievement with reason for deviation is noted for this indicator.,"The overachievement was due to an increased number of persons accessing the protective workshop in various districts.
",,Targeted output is achieved for this indicator.,,Target not achieved. Provide reasons for deviation and corrective action.,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of beneficiaries reached through Social and Behaviour Change Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",3305,2905,4775,4384,4545,4957,3575,"9096
",16200,21342,,,,,,Withdrawal of funding for non-compliant organisations.,"Expand the implementation of Social and Behaviour Change Programme to Institutions of higher learning.
","Targeted output is almost achieved, however reason for deviation should have been provided.","Under achievement is of delayed implementation by trained  implementer
",The under performance has been discussed with the Social Work Manager and the Supervisor of the implementer,Underachievement reported but what would be the reason for such huge deviance.,Achieved,,Underachievement with reason for deviation is noted for this indicator.,"The indicator was overachieved due to the addition of 10 new organizations that were funded in the second call for funding from the following districts: Lejweleputswa, Mangaung Metro, Xhariep District.
",,"Overachievement is acknowledged for this indicator, reason for deviation should have been included.",,Target not achieved. Provide reasons for deviation and corrective action.,Provide Corrective action,238
