Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,UID
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of fuel samples Tested ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",270,Partially Achieved: 260 fuel samples were tested,The loss of a vehicle of one of the inspectors in one of the Regions contributed to the under achievement. ,,270,Achieved: 287 fuel samples were tested. ,Addional samples i.e 17 were collected and sampled to make up the shortfall of 10 samples during Q1; and 7 more due to rise in fuel quality complaints.,N/A,270,"Not Achieved: 253 fuel samples were tested.
","253 (270 - 17) fuel samples were collected and tested. There was a deficit of 17 samples due to surplus of 21 from the second quarter. Lastly, the Department contracted a service provider to collect and test fuel samples annually thus the numbers had to be distributed evenly.
","This target will be achieved in the next quarter.
",270,Achieved: 279 fuel samples were tested ,Over achievement is as a result of addressing shortfalls in the previous quarters,,1 080 ,-,Achieved: 1083 fuel samples were tested,The Department conducted more inspections,N/A,Achieved: 1083 ,224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of jobs to be enabled through the issuing of mining rights ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1 000,Partially Achieved: 928 jobs were enabled through the issuing of mining rights,"WC, LP and GP didn’t issue any mining right during the quarter. ",,1 000,Achieved: 2389 jobs were enabled through the issuing of mining rights. Last quarter was 928. ,A number of mining companies responded positively to the invitation to come forward for execution of mining rights.,N/A,1 000,"Achieved: 2174 jobs were enabled through the issuing of mining rights.
","Target overachieved by 1174. A number of mining companies responded positively to the invitation to come forward for execution of mining rights.
",None,1 000,Achieved: 1457 jobs were enabled through the issuing of mining rights,A number of mining companies responded positively to the invitation to come forward for execution of mining rights.,,4 000 ,-,Achieved: 6977 jobs were enabled through the issuing of mining right ,Several mining companies responded positively to the invitation for execution of their rights,N/A,"Achieved:
 6977 
",224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of legal compliance inspections (mineral laws-MLA) conducted ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",37,Achieved: 52 Legal compliance inspections were conducted,Some companies inspected have more than one right,,38,Achieved: 38 Legal Compliance inspections were conducted,N/A,N/A,38,"Achieved: 49 Legal Compliance inspections were conducted.
","Additional inspection are were conducted due to Audit findings.
",None,37,Achieved: 40 Legal compliance inspections were conducted ,Over achievement is as a result of addressing shortfalls in the previous quarters,,150,-,Achieved: 179 Legal compliance inspections were conducted ,More inspections were conducted due to audit findings and verification of non-operational mines. Some companies inspected held more than one right.,N/A,Achieved: 179 ,224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of Mining Economics (MWP/PWP) inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",125,Achieved: 126 Mining Economics (MWP/PWP) inspections were conducted,Over achieved by one inspection,,125,Not Achieved: 122 inspections were conducted. ,The GP Regional office redirect resources to deal with the evaluation of applications (MWP and PWP) . ,More inspections will be conducted in the next quarter ,125,"Achieved: 134 Mine Economics inspection were conducted.
","Over achievement is as a result of addressing shortfalls in the previous quarters.
",None,125,Achieved: 143 Mine Economics inspections were conducted ,Over achievement is as a result of addressing shortfalls in the previous quarters,,500,-,"Achieved: 531 Mine Economics inspections were conducted 
","More inspections were conducted to process ancillary applications (sec 102 renewals and sec 20 application) and complaints 
",N/A,Achieved: 531 ,224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of petroleum retail site compliance inspections conducted ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",375,Achievded: 392 petroleum retail site compliance inspections were conducted ,There were repeat inspections for offenders,,375,Achieved: 455 petroleum retail site compliance inspections were conducted,Additional 80 inspections were conducted due to Inspectors' request for leave during the festive season in December and January (i.e. Q3 and Q4).,N/A,375,"Achieved: 381 retail site compliance inspections conducted. 
",381 (375+6) inspections were conducted. Additional 6 inspections were conducted to accommodate the month of January due to leave days taken by Inspectors.,None,375,Achieved: 377 petroleum retail site inspections were conducted ,Over achievement is as a result of addressing shortfalls in the previous quarters,,1 500 ,-,Achieved: 1605 retail site inspections were conducted ,Wholesale site inspections were wrongly included in the annual target. ,N/A,Not Achieved: 1463,224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of rights and/or  permits issued to HDSA controlled entities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",30,Achieved: 46 rights were issued to HDSA controlled entities,A target was exceeded due to most applications lodged by HDSA being compliant,,30,Achieved: 77 rights/permits were issued to HDSA controlled entities,A target was exceeded due to most applications lodged by HDSA being compliant.,N/A,30,"Achieved: 82 rights and permits were issued to HDSA entities.
","A number of mining companies responded positively to the invitation to come forward for execution of their rights.
",None,30,Achieved: 47 rights and/or permits were issued to HDSA controlled entities,A number of mining companies responded positively to the invitation to come forward for execution of their rights,,120,-,Achieved: 249 rights were issued to HDSA controlled entities,A target was exceeded due to most applications lodged by HDSA being compliant.,N/A,"Achieved: 
249 
",224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of SLP development projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",30,Achieved: 30 SLP development projected completed,,,30,Achieved: 30 SLP development projects were completed,N/A,N/A,30,"Achieved: 63 SLP development projects were completed.
","One mining company completed 26 projects at once. 
",None,30,Achieved: 33 SLP projects were completed ,One mining company completed 26 projects at once in quarter 3,,120,-,Achieved: 150 SLP development projects were completed,One mining company completed 26 projects at once. ,N/A,"Achieved: 
150 
",224
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of SLP inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",53,Achieved: 55 SLP inspections were conducted ,Over achieved by two inspections ,,53,Achieved: 61 SLP inspections were conducted,Other Regions reprioritize the implementation of SLP projects ,N/A,53,Achieved: 66 SLP inspections were conducted.,"Additional inspections were conducted because mining companies were launching projects. 
",None,53,"Achieved: 52 SLP inspections were conducted (237 inspections were conducted against a target of 212. For the 4th quarter, only 52 inspections were conducted given that the annual target had already been overachieved by 25.",The annual target of 212 has been achieved (237),,212,-,Achieved: 237 SLP inspections were conducted in the financial year,Other inspections were in response to complaints by stakeholders and others were prompted by the review of SLP in terms of section 102 and Regulation 44.,N/A,Achieved: 237 ,224
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,"Amended Section 75,76 and 77 of MPRDA Regulation",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Draft Regulations Developed,Achieved,,,Regulations gazetted for public comments,Not  Achieved: A submission and  notice were  submitted for approval by Minister for Gazetting. ,A follow up will be done to track the submission,N/A,Amended Section 75.76 and 77 of MPRDA Regulations gazetted for implementation,Not Achieved,The MPRDA regulations were only published for public comments on the 11th of October for a duration of 30 days. ,The final regulations for implementation will be published before end of financial year.,N/A,,,,"Amended Section 75,76 and 77 of MPRDA Regulations gazetted for implementation",-,Not Achieved,There was delay in requesting formal concurrence from the Minister of Finance in terms of section 107(1)(d) (2) of the MPRDA. A formal letter is enroute to the Minister of Finance requesting for concurrence.,"The MPRDA regulations were finalised, however concurrence must be obtained with the Minister of Finance in terms of section 107(1)(d) and (2) of the MPRDA before the regulations are implemented. ",Not Achieved,224
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Beneficiation Master plan implementation plans developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Desktop research and benchmarking


",Achieved,,,"Stakeholder consultations





 

",Achieved: Consultations were done on  20 & 22 September 2022 with industry and Government.,,,"Jewelry and Battery Minerals Value Chain implementation plans developed




",Achieved,None,None,"Jewelry and Battery Minerals Value Chain implementation plans approved by Minister




",Not achieved,There was a delay in receiving the final report from partner department (DTI),The finalised documents will be submitted for approval in Q1 of 2023/24,"Jewelry and Battery Minerals Value Chain implementation plans approved by the Minister

",-,Not Achieved,There was a delay in receiving the final report from partner department (DTI). The finalised document will be submitted for approval in Q1 of the 2023/24 FY.,The draft reports are ready for submission for approval. ,Not Achieved,224
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Diamonds Amendment Bill tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Diamonds Amendment Draft Bill developed,Achieved ,,,Sector and Government Stakeholder Consultations completed ,Not Achieved: Process for consultations were delayed due to engagements with implementers.         ,Issues relating to implementers were resolved and which led to  several consultative workshops being held to date.,Outstanding consultations will be finalised before end of October 2022. This will allow for cabinet Memorandum to be tabled at relevant  clusters in Q3.   Progress report on stakeholder consultation attached.,Precious Metals Bill submitted to Cabinet for public consultation, Not Achieved,The consultation process started late due to unvaillability of external stakeholders.,The Draft Diamonds Bill will be published/gazetted for public comment before end of financial year.,Diamonds Amendment Bill tabled in Parliament for public comments,Not achieved,Due to key stakeholder unavailability the consultation process was delayed,The Draft Bill will be submitted to office of State Law Advisor for pre-certification during Q1 and gazetted by Q2.,Diamonds Amendment Bill tabled in Parliament for public comments,-,Not Achieved,The consultation process to identify gaps to inform the review of the Act were delayed due to approval processes to be followed by relevant SOEs on submission of their inputs.,"A draft Bill is in place, but it is still to be submitted to State Law Advisors for precertification",Not Achieved,224
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Electricity Pricing Policy submitted to Cabinet,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Public consultation on the reviewed EPP,Achieved,,,Electricity Pricing Policy review submitted to cabinet for final approval,Not achieved.,The Review of the Electricity Pricing Policy final draft is  dependent on EXCO workshop and the department finalising certain EPP positions ,EXCO workshop arranged to deal with the issues raised and policy positions to be made to move the Policy forward for NEDLAC tabling ,EPP gazetted for implementation,Not Achieved,There was a delay in tabling and consulting NEDLAC on the Policy before gazetting.,The Policy to be tabled for NEDLAC consultations.,N/A,,,,Electricity Pricing Policy review submitted to cabinet for final approval ,-,Not Achieved,The revised policy is currently being consulted at NEDLAC.,A Revised Electricity Pricing Policy is in place.,Not Achieved,224
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Electricity Regulation Act Bill tabled in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",consolidation of public comments on the Amended ERA Bill,Achieved,,,Electricity Regulation Amendment Bill submitted to Cabinet for tabling in Parliament,Not achieved ,The Amedment Electricity Regulation Bill dependency is on EXCO decisions on the proposed amendments and policy positions on the amendments.,EXCO workshop arranged to deal with the issues raised and policy positions to be made to move the Bill forward for DG's Cluster and Cabinet tabling ,Electricity Regulation Amendment Bill submitted to Parliament,Not Achieved,There was a delay in receiving comments on the Bill from stakeholders.,The Electricity Regulation Bill will be submitted to Cluster for approval to table in Cabinet.,N/A,,,,Electricity Regulation Amendment Bill submitted to Cabinet for tabling in Parliament,-,Achieved,N/A,N/A,Achieved,224
