Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,Clean Audit for 2022-23,,To be concluded end of July 2023	,To be concluded end of July  2023,"To be concluded end of July  2023

","To be concluded end of July  2023
",,,,,,,,,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Annually,Number of Impact Evaluation Study (IES) Reports completed ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,0,"There were delays in the finalization of the report
",In-house work,0,,,,,,,,,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage compliance with key legislative requirements,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,100% compliance with quarterly requirements,100% compliance,100% compliance with quarterly requirements,100%,100% compliance with quarterly requirements,100% compliance with quarterly requirements ,100% compliance with quarterly requirements,90% compliance ,100% compliance,-,90,Non-compliance with PFMA Regulations and 2017 Preferential Procurement regulation,Non-compliance due to procurement for legal services. Revisions to the Supply Chain Policy have been done so as to ensure future compliance. ,90,None,None,None,None ,None ,None,Non compliance with PFMA regulations and 2017 Preferential Procurement regulation ,Revisions to the supply chain policy have been done so as to ensure future compliance  ,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage expenditure against total budget,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,15% - 25% expenditure,21% expenditure,35% - 50% expenditure,23%,65% - 75% expenditure,"68% expenditure:
(Approximately 
R150.3m spent 
out of R220.5m)

",98% - 100% expenditure,96% expenditure ,98% - 100% expenditure,-,96% expenditure ,AGSA invoices relating to audit planning been invoice in Q4 other than Q1 2023/24 and proactive audit on APP and TID,AGSA invoices relating to audit planning been invoice in Q4 other than Q1 2023/24 and proactive audit on APP and TID,96,None,None,None,None,None ,None ,AGSA invoices relating to Audit planning have been invoiced in Q4 other than Q1 2023/24 and proactive audit on Audit  of APP and TID  ,Budget tracking tool has been developed.,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of Strategic Risks Treatment Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,26.5 %,40 %,20.5% %,70 %,58 %,100 %,"implemented 64,3% of SRTP %",100 %,,64,Capacity constraints with resignation of Senior Managers (2) and delays in procurement of external service providers. ,Capacity constraints with resignation of Senior Managers (2) and delays in procurement of external service providers. ,64,None,None,"Exceeded by 7%
ome treatment 
plans exceeded 
targets due to 
efficiencies and 
strategic 
approaches.",None,Less by 12 percentage points,Various reasons including non-responsiveness to calls for proposals; capacity constraints due to management transitional arrangements; and CRM systems challenges,capacity constraints with resignation of senior managers and delays in procurement of external service providers,Performance contracts include risks for all staff,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of recommendations from 2020-21 Remuneration Structure and Conditions of Service Report (RSCSR),Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,10 %,35 %,5% %,65 %,20 %,80 %,implemented 45% of RSCSR %,80 %,10 %,45,"Service provider appointed. Kick off meeting has taken place and have submitted documents for the service. Meeting with Commissioner scheduled for early March 2023, this has been rescheduled to 13 April 2023, this is aimed at the top management analysis with the board. The Job evaluation committee has been constituted and trained",We had delays in implementing the project due to a delay in starting  the tender procurement process.,45,None,None,Capacity constraints due to the resignation of the human resources manager,Contracting consultant,Quarterly target less by 25 and year-to-date by 45 percentage points,"Capacity constraints due to resignation of human resources manager. 
Service provider appointed and target will be met
",Service provider not appointed ,Human Resources to review the indicator for next financial year.,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Human Capital Management (HCM) Plan,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,Min 10%,Implemented 23%,Min 35%,12%,Min 65%,70%,Min 80%,70% achieved ,Min 80%,-,70%,"Performance Management Policy was not done. Automation of the system for performance management was not done. 
Innovative recruitment methods not implemented.
",Limited capacity challenge resulted in non-achievement of the plan. ,70%,None ,None,None,None,None ,None,Bursary scheme is being implemented ,HR is processing the payment of tuition ,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Organisational Culture Renewal Plan,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,Min 10%,Implemented 15%,Min 35%,o%,Min 65%,65%,Min 80%,Implemented 50% of OCRP,Min 80%,-,65%,Implemented 65% of OCRP,Implementation will be done with approved plan before the next financial year. ,65%,None,None ,Capacity constraints due to the resignation of the human resources manager,Contracting consultant,None,None,Activities undertaken under OCRP were not explicitly included in the OCRP,Implementation will be done with approved plan before the next financial year ,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Information and Communications (ICT) Plan,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,Min 10%,Implemented 13%,Min 35%,17%,Min 65%,70%,Min 80%,Implemented 78% of ICT plan ,Min 80%,-,78%,Delayed Sharepoint migration ,Delayed Sharepoint migration ,78%,None,None,"CRM Server 
crashed due to 
loadshedding. ",Plan to procure additional system,None,None,Delayed SharePoint migration and Aug vox rentals,ICT plan did not link ICT staff performance with the ICT plan deliverables.,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of Knowledge Management Plan (KMP),Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,5 %,35 %,47% %,65 %,67% %,80 %,Implemented 60% of KMP %,80 %,5 %,67,Delays in implementation of Digitization element of the KMP.,Delays in implementation of Digitization element of the KMP.,67,Digital transformation process prolonged due to lessons learnt for thorough planning and understanding before procurement.,Drafting of Terms of Reference in progress for procurement during Q2,Support of newly appointed Librarian ,None,Quarterly target less by 10 and year-to-date target exceeded by 2 percentage points.,None,Challenges with final approval of the plan.,Capacity constraints.,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Internal Audit Plan,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,Min 10%,Implemented 10%,Min 40%,24%,Min 70%,50%,100%,Implemented 91% of IA plan ,100% implementation,-,"91%

","Not all the performance evidence was provided for Commissioners Programme, Research unit, NPM and Communication was provided on time. ","Not all the performance evidence was provided for Commissioners Programme, Research unit, NPM and Communication was provided on time. ",91%,None ,None,Challenges with evidence storage system,Will determine correct evidence storage system,Less by 14% (percentage points),"Delays or insufficient provision of performance information by business units. 
Ongoing follow-ups made.
There is need to secure proper information management system. Currently exploring options for system automation.
",Not all evidence was provided ,Capacity and budget constraints.,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of governance assessment reports completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,0,0,1,1,2,2,2,3,2,Target achieved ,None ,2,None ,None,Digital governance system installed,Report to be completed in Q3,none,none,None ,None ,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of submissions made on the sufficiency of the SAHRC Budget ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,0,0,2,0 submissions made on the sufficiency of the SARHC Budget,3,0 submission made on the sufficiency of the SAHRC budget ,3,0,0,"Management in process of engaging some of the universities for drafting of paper/s to inform the submission.
Consolidating existing information from related processes to inform the submission.
Remains high risk of non-achievement. 

",". Management in process of engaging some of the universities for drafting of paper/s to inform the submission.
Consolidating existing information from related processes to inform the submission.
Remains high risk of non-achievement. 
",0,None,None,Capacity constraints,Will fast track implementation in Quarter 3,"0 submissions 
made on the 
sufficiency of the 
SARHC Budget",Attention given to other planned and compliance commitments. It must be noted that this is an additional special project for the delegated business unit and therefore capacity may be constrained.,,Management in the process of engaging some of the universities for drafting of paper to inform the submission . Consolidating Existing information from related processes to inform submission ,275
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of Supply Chain Management Turnaround (SCMT) Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,10 %,40 %,10% %,70 %,Implemented 46% of SCMT Plan %,100 %,Implemented 61% of SCMT plan  %,100 %,0 %,61,"61%
Travel Policy, Asset Policy and Fleet Management Policies updated.
",Training on policies not achieved. ,61,None,None,Delays in finalization of four plans linked to the overall Turnaround plan ,Will fast track implementation in Quarter 3 as there is one plan outstanding,"Quuarterly 
target less 
by 4 and 
year-to-date 
target less 
by 24 
percentage 
points. ","Incomplete Demand Management Plan (DMP) as only 4 plans received from business units.
Following up to complete DMP by Q4.  
",Delays in finalizing service provider contract.,Procurement to start at the beginning of financial year for specialist service provider.,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Annually,Number of human rights conference reports completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,1,None,None,1,,,,,,,,,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Annually,Number of Human Rights Advocacy and Communications (HR Advocom) Reports completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,1,none,None,1,,,,,,,,,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Annually,Number of National Schools Moot Court Competitions hosted,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,1,none ,None,1,,,,,,,,,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of stakeholder engagements conducted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",24,114,88,119,172,"Conducted 338
engagements",216,560,216,119,560,Target met ,Target met ,560,Ongoing human rights challenges necessitate engagement beyond plans.,Not necessary,"Ongoing human 
rights challenges 
necessitate 
engagement 
beyond plans.",Selection criteria to be developed to respond to requests.,Ongoing human rights challenges necessitate engagement beyond plans,None,None ,None ,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of reports completed on SAHRC annual human rights engagements (HRE) held with the provincial governments,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",Hold 9 HRE,Held 8 HRE,Complete 9 reports,9 reports completed,-,Completed 9 reprots by Q2,-,9 reports completed ,Complete 9 reports,-,9,Target met ,None ,9,Unavailability of  Premiers as stakeholders,Rescheduling of engagements ,None,None,Achieved,Achieved,None ,None ,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of human rights educational material (HREM) developed,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,2,0,5,"Completed 0 HREM.
4 draft HREM  in progress",8,6 materials developed ,8,0,8,Target met ,none ,8,None,None,"Conceptualisation of the HREM taking 
longer than anticipated due to other 
pressing commitments.
",Will complete 4 in Quarter 3,"Conceptualisation 
longer than 
anticipated due to 
other 
commitments.","Advocom ongoing 
engagement with 
Commissioners 
Programme and 
assured by those 
offices that the 
target will be met. 
Remains high risk 
as 6 materials are 
required. 
(2 from AG 
uncertain)
Write to Chair.",Delays in conceptualization of material.,Re-allocation of coordination of development of material to National Advocacy unit.,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of human rights dialogues hosted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,3,5,6,"Hosted 8 human rights dialogues
(EC, KZN, NW)
",9,12 dialogues hosted ,9,5,12,Target met ,none ,12,None,None,"Ongoing need to 
interact with 
stakeholders for 
the promotion of 
human rights",Selection criteria to be developed.,"Ongoing need to 
interact with 
stakeholders for 
the promotion of
human rights
ative year-to-date target exceeded by 2)
",None,None ,None ,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of human rights calendar day events hosted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",4,5,9,9,19,Hosted 9 human rights calendar day events.,29,28 calendar day events hosted ,29,9,28,Target not met.,Will ensure that Human Rights lecture includes more than one speaker in future. ,28,Ongoing human rights challenges necessitate engagement beyond plans.,Not necessary,None,None,Ongoing human rights challenges necessitate awareness raising beyond plans.,None,Guest lecturer cancelled.,Review method of calendar day events.,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of workshops conducted to empower community human rights champions (CHRC),Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,3,9,11,18,Conducted 4 workshops to empower CHRC.,18,27 workshops conducted ,18,11,27,Target met,none,27,Responding to the needs of CHRC organisations to implement their plans. ,Not necessary,None,None,"NC to conduct by mid Feb 2023. 

","
NC to conduct by mid Feb 2023.",None ,None ,275
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Percentage Implementation of Media and Communications Plan,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",20 %,78 %,40 %,243% %,65 %,"Implemented 154% of the MCP 
(1026 of 666)
 %",80 %,implemented 80% of Media and communication plan  %,80 %,78 %,80,Target met ,none ,80,Ongoing events and arising issues requiring media attention beyond plans,Not necessary,Target exceeded,"Ongoing events 
and arising issues 
requiring media 
attention beyond 
plans.
",Ongoing events and arising issues requiring media attention beyond plans.,Ongoing events and arising issues requiring media attention beyond plans.,None ,None ,275
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Annually,Number of Annual Complaints Trends Analysis (CTA) Reports completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,0,"Target not achieved. Annual (2021-22) CTA Report not yet completed. Approved concept note

","Target not achieved. Annual (2021-22) CTA Report not yet completed. Approved concept note

",0,,,,,,,,,275
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Quarterly,Number of complaints and enquiries finalised,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",500,1451,1500,1843,2500,4792 ,3000,6662 complaints and enquiries finalised ,3000,4792,6662,Target met ,None ,6662,Efforts to finalise the complaints lodged.,Not necessary,"Efforts to finalize 
the complaints 
lodged.",None ,"Efforts to finalise 
the complaints 
lodged.",None,None ,None ,275
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Quarterly,Number of initiatives undertaken to address systemic human rights violations,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",9,8,19,18,39," 42 initiatives undertaken



",39,46 initiatives undertaken to address  systemic human rights  violation,39,18,46,Target met ,None ,46,Conceptualisation processes taking longer than anticipated. ,"Additional initiatives would be implemented from Q2. 
To identify initiatives earlier in future.","Strategic 
approaches by 
some provinces yielding better results.",None,"Strategic 
approaches by 
some provinces 
yielding better 
results",None,None ,None ,275
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Quarterly,Number of strategic impact litigation (SIL) matters instituted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,7,1,0,2,"Instituted 14 SIL matters 
(cumulative 14)
",3,19 SIL matters instituted ,3,0,19,Target met ,None ,19,Availability of relevant matters for litigation.,Not necessary,"
Availability of 
relevant matters 
for litigation.",Will engage on complaints through Legal Sub-Committee,"Availability of 
relevant matters 
for litigation",None,None ,None ,275
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Quarterly,Number of national inquiries held,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,1,0,2,Held 1 national inquiry,0,0 enquiries held,2,0,0,Target not met,"Capacity constraints 
2 concept notes were tabled with Commissioners but not approved.   
Racism conceptual focus negated by SHiNE.
Procured pro-bono counsel to draft concept notes and engaged 2 Commissioners with a view to hold 2 inquiries by the end of the financial year. 
",0,None,None,Capacity constraints,Will contract consultant to assist,"Capacity 
constraints. 
Racism 
conceptual focus 
negated by 
SHiNE.
","Procured pro-bono 
counsel to draft 
concept notes and
engaged 2 
Commissioners 
with a view to hold 
2 inquiries by the end of the financial year.",Capacity constraints.,procured pro- bono counsel to draft concept note and engaged commissioners with a view to hold  2 enquiries by the end of the financial year. ,275
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Quarterly,Number of Memoranda of Understanding (MoU) signed with Universities,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,3,0,6,"5 MoU signed
(EC x 4)
(MP x1)
",9,6 MOU signed ,9,0,5,Delays in signing by universities. ,Target not achieved. MOUs not signed: GP and NC.,5,None,None,"Attention given to 
other 
commitments so 
far",Will fast track implementation in Quarter 3,"Delayed MoU 
approval. 
Unavailability of 
the stakeholder 
universities","Follow-up efforts underway with both internal and external stakeholders to facilitate for the signing on the outstanding provinces. 
","3 MOU not signed. KZN, GP and NC",Delays in signing by the universities ,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Annually,Number of integrated human rights monitoring (HRM) frameworks completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,0,Not achieved.,Delays in procurement and no suitable service provider was found,0,,,,,,,,,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Annually,Number of Provincial State of Human Rights (PSOHR) Reports completed,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,9,,6,Target not achieved. Delays in finalization of editing and layout of report. Capacity constraints with completing report. ,Target not achieved. Delays in finalization of editing and layout of report. Capacity constraints with completing report. ,6,,,,,,,,,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Annually,Number of International and Regional Human Rights (IRHR) Research Outputs completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,1,Target met ,None ,1,,,,,,,,,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Annually,Submission of NPM-OPCAT Monitoring Report,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,Submit by Dec 2022,,NPM-OPCAT Report submitted by Dec 2022,Target met ,None ,NPM-OPCAT Annual Report submitted to the SPT by Dec 2022,,,,,,,,,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Annually,Number of SAHRC Recommendations Monitoring Reports (RMR) completed,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,11,,6,"Target not achieved. 
No reports from LSU, CP, and some provinces.
",Capacity constraints,6,,,,,,,,,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Quarterly,Percentage implementation of Human Rights Monitoring Plan,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,15 %,40 %,43% %,70 %,77 %,100 %,90% %,90 %,15 %,90,None,None ,90,None,None,"Target exceeded. Strategic 
approaches and 
added effort by 
some provinces",None,"Strategic 
approaches and 
added effort by 
some provinces",None,Target not met ,None.,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Quarterly,Number of State of Human Rights (SOHR) in SA Research Outputs completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,0,0,0,First drafts of the 3 Research Outputs (completed),3,3 state of Human Rights in SA Research outputs completed ,3,0,3,None ,None ,3,None,None,Data gathering in progress,None,None,None. ,None ,None ,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Quarterly,Percentage submission of identified NHRI Reports by deadline,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,100 %,100% %,100 %,100% Submission of identified NHRI Reports by deadline %,100 %,100% submission of identified NHRI reports by deadline  %,100 %,100 %,100,None ,None ,100,None,None,None,None,None,None.,None ,None ,275
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Quarterly,Percentage submission on identified legislation by deadline,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,100 %,100% %,100 %,100% submission on identified legislation by deadline %,100 %,100% submission on identified legislation  by deadline  %,100 %,100 %,100,None ,none ,100,None,None,None,None,None ,None.,None ,None ,275
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually, Percentage of interns enrolled against funded posts,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,5 %,,6.09,The Interns were enrolled earlier (before the lapsing of the first intake) and beyond the targeted number (5%) because of identified placement opportunities within the Department and the availability of budget to pay the necessary Interns’ stipends.,-,6.09,,,,,,,,,275
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually,Number of prioritised manual services modernised,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,2,,1,"There was no response to the advertised tender for the Public Entities Reporting System. 
The tender followed an unsuccessful attempt of incorporating the project in a State Information Technology Agency ( SITA) transversal system, recommended by National Treasury.
","The project will be moved to the new financial 
year.",1,,,,,,,,,275
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually,Number of SAC awareness campaigns activated to  profile the work of the Department,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,4,,4,-,-,4,,,,,,,,,275
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly,Number of Izimbizo held,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",3,5,3,4,2,4 Izimbizos were held.,1,1,9,9,12,"Three (3)
additional Izimbizo were held in
response to issues affecting the
sector/community",-,12,"2 additional Izimbizo were held as follows: 

(i) The East London Imbizo - Social Cohesion Dialogue was held for 2 days on the 16 &17 June 2022, due to number of attendees.  

(ii)  The Imbizo, Western Cape - Silapha Activation was hosted in Cape Town in June 2022, based on the special requests from the Sector.
",-,Inadequate portfolio of evidence,-,2 additional Izimbizo were held in the third quarter.  This has led to over-achievement due to the Sectorial demand from the Community and Stakeholders. ,-,-,-,275
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly, Percentage of valid invoices paid within 30 days,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,"100% of invoices were paid within 30 days.
•	OCTOBER: 803  (R49 137 511.11)
•	NOVEMBER 665 (R56 927 803.02)
•	DECEMBER: 295 (R58 702 687.86)

The total number of invoices processed in Q3 was 1763 and the total amount spent was R164 768 001.99 %",100 %,100 %,100 %,200 %,100,-,-,100,-,-,-,-,-,-,-,-,275
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly, Percentage of councils/boards that are fully  constituted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,"100% of councils/boards were fully constituted during the period under review. In the quarter under review two (2) boards/councils were reconstituted:
•	Council of the Nelson Mandela Museum (01 November 2022);
•	Board of the South African Institute for Drug-Free Sport (1 December 2022). %",100 %,100 %,100 %,200 %,100,-,-,100,-,-,-,-,-,-,-,-,275
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Annually,Number of heritage legacy facilities (including the Resistance and Liberation Heritage Route [RLHR] sites) developed and / or maintained to transform the national heritage landscape,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,3,,1,"Enyokeni (Isibhubhu) Cultural Arena
Environmental Impact Assessment (EIA) 
has not yet been approved. It turned out on following up the approval that further engagements are required with the traditional leadership in KwaZulu-Natal. 

Sarah Bartman Centre of Remembrance:
The contractor terminated a contract and vacated site in July 2021 due to contractual disputes with DPWI (Implementing Agent) 
","
Enyokeni (Isibhubhu) Cultural Arena
The matter was escalated to Ministry to facilitate a meeting with the traditional leadership in KwaZulu-Natal.

Sarah Bartman Centre of Remembrance:
Follow up with DPWI regarding the formal acceptance of the project by DBSA (as the new implementing agent).
",1,,,,,,,,,275
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Annually,% of national federations meeting 50% or more of all prescribed charter transformation  targets,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,89.5 %,,0,"The transformation status could not
be assessed due to late or non
submission
of datasheets by the
National Federations.
Of the 19 federations due for
submission, only 16 had submitted
their data sheets and (3) were
outstanding at the end of the
financial year. Of the 16 that
submitted, five had been captured
and were in the process of being analysed and verified. The three that
were outstanding are the following:
Chess SA, Basketball SA and South
African Football (SAFA) ","
Reminders have been sent to outstanding federations The targets are highly dependent on compliance by the Federations. 

The appointment of a service provider to compile the EPG report will be fast tracked.



",0,,,,,,,,,275
