Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,OTP_Q3,National_Q3,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Sub-Programme 4.2: Human Resource Development,Annually,SOI 402: Number of therapists/specialists staff in special schools,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,55,,55,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Sub-Programme 4.2: Human Resource Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,"Sub-Programme 4.3: School Sport, Culture and Media Services",Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,"Sub-Programme 4.3: School Sport, Culture and Media Services",Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Sub-Programme 4.4: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Sub-Programme 4.4: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,SOI 502: Number of registered ECD programmes,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,130,202,130,202,,Mass registration drive (Jamboree/Bana Pele Mass registration drive).,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Quarterly,SOI 503: Number children accessing registered ECD programmes,Standardized,Max,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",0,, Target was not set ,0,,Target was not set ,129784,164 853,0,,129784,164853,,,,,The PED is not reporting on this indicator for the quarter under review.,,Achieved,The PED has achieved 100% of the set target for the quarter under review,,,,,Mass registration campaigns,N/A,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.1: Grade R in Public Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.1: Grade R in Public Schools,Annually,SOI 501: Number of public schools that offer Grade R,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,2239,2283,2239,2283,,"More schools introduced Grade R based on the provisions of the Basic Education Laws Amendment Act (BELA), 2024 which prescribes the school going age.",N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.1: Grade R in Public Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.2: Grade R in Early Childhood Development Centres,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.2: Grade R in Early Childhood Development Centres,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.3: Pre-Grade R in Early Childhood Development Centres,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.3: Pre-Grade R in Early Childhood Development Centres,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.4: Human Resource Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.4: Human Resource Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.5: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 5:  Early Childhood Development,Sub-Programme 5.5: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.1: Administration,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,"POI 601: Number of additional classrooms built in, or provided for existing public schools (includes new and replacement schools)",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,100,176,100,176,,Projects carried over from the previous financial year due to poor performance by the contractors.,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,POI 602: Number of new Grade R classrooms built ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,12,28,12,28,,Projects carried over from the previous financial year due to poor performance by the contractors.,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,SOI 601: Number of public ordinary schools provided with water infrastructure,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,30,93,30,93,,Poor Performance by the contractors who failed to complete contracted projects.,Invoking of punitive clauses as prescribed by the Joint Building Contracts Committee (JBCC).,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,SOI 602: Number of Public ordinary schools provided with electricity infrastructure ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,2,0,2,0,,Not implemented due to lack of professional Mechanical Engineer /Electrical Engineer. The Post was included in the Recruitment Plan for 2024/25 but the process could not be finalised.,Appointment of a panel of professional service providers to assist with the development of specifications.,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,SOI 603: Number of public ordinary schools supplied with sanitation facilities,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,50,89,50,89,,Poor Performance by the contractors who failed to complete contracted projects,Invoking of punitive clauses as prescribed by the JBCC.,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,SOI 604: Number of public ordinary schools provided with new or additional boarding facilities,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,SOI 605: Number of public ordinary schools where scheduled maintenance projects were completed,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,15,17,15,17,,Projects carried over from the previous financial year due to poor performance by the contractors.,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.3: Special Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.3: Special Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.4: Early Childhood Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 6:  Infrastructure Development,Sub-Programme 6.4: Early Childhood Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 701: Number of programmes implemented to enhance performance in second chance NSC pass.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,1,1,1,1,,"Strengthened
Learner Attainment strategy 
",N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 702: Percentage of Grade 12 learners who pass Engineering Graphics Design (EGD).,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,96 %,,96 %,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 703: Percentage of Grade 12 learners who pass Arts subjects.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,75 %,,75 %,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 701: Percentage of learners who passed National Senior Certificate (NSC).,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,81.3 %,86.3 %,81.3 %,86.3 %,,"Strengthened
Learner Attainment strategy 
",N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 702: Percentage of Grade 12 learners passing at bachelor level,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,38 %,38.9 %,38 %,38.9 %,,"Strengthened
Learner Attainment strategy 
",N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 703: Percentage of Grade 12 learners achieving 60% or more in Mathematics.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,15.3 %,28.0 %,15.3 %,28.0 %,,"Strengthened
Learner Attainment strategy 
",N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 704: Percentage of Grade 12 learners achieving 60% or more in Physical Sciences.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,16.6 %,18.3 %,16.6 %,18.3 %,,"Strengthened
Learner Attainment strategy 
",N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 705: Number of secondary schools with National Senior Certificate (NSC) pass rate of 70% & more.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,1088,1143,1088,1143,,"Strengthened
Learner Attainment strategy 
",N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.1: Payments to SETA,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.1: Payments to SETA,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.2: Professional Services ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.2: Professional Services ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.3: External Examinations,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.3: External Examinations,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: Special Projects,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: Special Projects,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.5: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 7: Examination and Education Related Services,Sub-Programme 7.5: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Programme 1:  Administration ,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Programme 1:  Administration ,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,Default indicator,,,,,,0,,,,,,,Default indicator,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.1: Office of the MEC,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.1: Office of the MEC,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.2: Senior Management (HOD),Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.2: Senior Management (HOD),Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Annually,Percentage compliance to e-disclosure of financial interests by other categories of employees within set timelines,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",,,,100 %,,,,,,,100 %,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Annually,Percentage compliance to e-disclosure of financial interests by SMS members within set timelines,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,,,,,,,100 %,100 %,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Annually,Percentage of employees performance contracts submitted within set timelines ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,87 %,,,,,,,,,100 %,87 %,,Alignment with the changes in post responsibilities due to placement of staff on the new structure.	,The placement of the affected staff has been completed and thus the performance agreements will be aligned with the job description,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Annually,Percentage of female at SMS level ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",,,,,,,,,50 %,45 %,50 %,45 %,,"More males qualifying candidates than females for SMS posts.
	","Funded vacancies posts on SMS level  to be earmarked for qualifying female candidates
",,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Annually,Percentage of persons with disability in employment ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",,,,,,,,,2 %,1.7 %,2 %,1.7 %,,"People with disabilities not meeting inherent job requirements

Reluctancy by employees to disclose their disability status
","Funded vacancies to be earmarked for people with disabilities.

Conduct  disability 
disclosure awareness workshops 


",,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,Default indicator,0,,Default indicator,0,,0,,0,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Quarterly,Number of ICT projects implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,Target not achieved,1,1,Target achieved,1,1,1,1,4,4,,,,,,,Target met ,,None,None,None ,None,None,None,None,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Quarterly,Percentage of disciplinary cases adjudicated within 90 days of receipt,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,100 %,Target achieved,100 %,100 %,Target achieved,100 %,76 %,100 %,100 %,100 %,100 %,,,,,,,Target not met,,None,None,None,None,"Memo submitted to management for implementation of 5 adjudicated cases’ outcomes. 

Last case still pending due to affected employee being on sick leave until the 31st December 2024
",Outstanding case to be finalized the 4th quarter after the return of the employee,None,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Annually,Unqualified audit opinion sustained  ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",,,,Unqualified audit opinion,Unqualified audit opinion,,,,,,Unqualified audit opinion,Unqualified audit opinion,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,,Default indicator,0,,Default indicator,0,,0,,0,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Quarterly,Percentage expenditure in relation to the allocated budget,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",25 %,2.4 %,Target achieved,50 %,40.1 %,Target not achieved,75 %," 
79.5 %",98 %,98 %,98 %,,,,,,,,Target not met,,"Department still in the process of filling posts as per the Recruitment Plan.
Infrastructure projects have not yet reached spending level
","Posts have been advertised and anticipate appointment by the end of second quarter.

Received and processed infrastructure invoice which will be reported in the second quarter.

",Under spending is mainly on earmarked funding due to one project that was handed over late Q2," Infrastructure projects are closely monitored, and expenditure is expected to match physical progress.  ","
Over expenditure is under Pr2 and Pr4.
PR2: LEDA funding has been reduced during budget adjustment.  Pr4: The department has already delivered 2024 Marula event 
","LEDA would not receive transfers exceeding the appropriated transfers.  
Implementation of 2024 Marula event in the first quarter was within the APP and would not result into over expenditure at the end of the financial year. 
",None,None,Target achieved,,207
