Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,OTP_Q1,OTP_Q2,OTP_Q3,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,National_Summary,UID
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,"Number of work opportunities reported through Community Work Programme (CWP) (MTSF 2019-2024, Priority 2)",Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",20000,24028,20000,23570,20000,23368,20000,The indicator was amended during the retabling of the APP.,20000,23368,0,Reporting on this APP was discontinued.,Reporting on this APP was discontinued.,,Target was reduced for the 2024-2025 financial year due to the moratorium on recruitment of CWP participants from National Cogta resulting in over-achievement,None,Target was reduced for the 2024-2025 Financial year due to moratorium on recruitment of CWP participants from National Cogta resulting in over-achievement,None,No recruitment of new CWP Participants or the replacement of those who has left the programme. This was communicated through a circular from Dcog,None,The indicator was amended during the retabling of the APP.,The indicator was amended during the retabling of the APP.,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,Improved functionality of Project Management Units in Municipalities,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,No. of indigent households with access to free basic services:  • Water  • Refuse Removal • Electricity  • Sanitation,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,168834,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,No. of municipalities spending 100% of MIG funds in accordance with municipal infrastructure implementation plans  ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,No. of municipalities that have updated indigent Registers for the provision of free basic services ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,Number of Districts monitored on the spending of National grants,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Monitor the extent to which existing infrastructure is maintained (operation and maintenance).	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,1,1,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Monitor the extent to which technical posts in municipalities  are  filled with competent persons towards improving infrastructure delivery ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,0,0,0,0,1,0,1,0,1,None,None,,None,None,None,None,None,None,Incomplete POE,Performance will be considered when all POE is received. ,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,No. of municipalities monitored in terms of their:  *  Non-Financial Performance * Financial Performance ,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",18,18,18,18,18,18,18,18,18,18,18,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,No. of municipalities monitored on the implementation of the indigent register for the provision of the Free Basic to  the qualifying households.,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",5,5,5,5,5,5,4,4,19,4,0,Reporting on this APP was discontinued.,Reporting on this APP was discontinued.,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,No. of Project Management Units (PMU) in Municipalities monitored in terms of their functionality	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",5,5,5,5,4,4,4,4,18,4,18,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of Districts monitored on the spending of National Grants,Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,0,,0,0,0,,1,1,1,None,None,,None,None,,,None,None,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of districts monitored on the spending of national grants	,Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,0,1,0,0,4,The indicator was amended during the retabling of the APP.,4,1,0,Reporting on this APP was discontinued.,Reporting on this APP was discontinued.,,None,None,None,None,None,None,The indicator was amended during the retabling of the APP.,The indicator was amended during the retabling of the APP.,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of municipalities monitored on the implementation of indigent policies (Sub-outcome 1) (B2B Pillar 2),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,5,5,5,5,4,4,19,19,19,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,"Number of municipalities monitored on the implementation of infrastructure delivery programmes (Outcome 9, Sub-outcome 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",18,6,18,1,18,0,18,"The indicator was amended during the retabling of the APP.
",18,7,0,Reporting on this APP was discontinued.,Reporting on this APP was discontinued.,,18 Municipalities cannot be visited per quarter due to the restriction on kilometers and shortage of technical staff within the unit as we only have 1 engineer,None,On APP Target was erroneously planned as 18 per Quarter non-cumulative. Upon review of the APP it was noticed that the reporting cycle is cumulative and annual target is 18,During re-tabling of the APP the error will be rectified.,Indicator was amended during the re-tabling of the APP,None,The indicator was amended during the retabling of the APP.,The indicator was amended during the retabling of the APP.,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,"Number of municipalities monitored on the implementation of infrastructure delivery programmes (Outcome 9, Sub-outcome 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",18,6,18,,6,6,6,6,18,18,18,None,None,,18 Municipalities cannot be visited per quarter due to the restriction on kilometers and shortage of technical staff within the unit as we only have 1 engineer,None,,,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of municipalities support on the implementation indigent register for the provision of the Free Basic to qualifying households,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",5,5,5,,5,5,4,4,19,4,19,None,None,,None,None,,,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Annually,Functional:  • Provincial DM Centre  • Provincial DM Advisory Forum,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Annually,No. of functional Municipal Disaster Management Centres: • Metro  • District ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Monitor and report on the following: • Adverse and  disaster incidents in the Province  • The state of Municipal and designated fire services in the Province  • The functionality of the District DM Advisory Forum  • Functionality of Municipal Disaster Man,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",5,5,5,5,5,5,5,5,20,5,20,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,No. of Provincial DM Advisory Forums convened.	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,No. of Provincial Fire Services Advisory Committees convened	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported on Fire Brigade Services,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported to maintain functional Disaster Management Centres,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,5,5,5,5,5,5,5,5,5,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Annually,No. of institutions participating in the IDP processes:  • Metro  • District  • Local  • Sector Departments,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Annually,No. of municipalities that have adopted their IDPs: • Metro • District • Local,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Annually,Number of municipalities with legally compliant IDPs,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Quarterly,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,0,0,0,0,,0,0,0,,,,,,None,None,None,None ,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Quarterly,No. of municipalities monitored on the adoption of their IDPs:,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,0,0,0,0,23,23,23,23,23,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Quarterly,No. of support initiatives implemented and sustained towards improving municipal IDPs:  • biannual Provincial IDP Managers Forum with quarterly meetings • Annual Provincial IDP Assessment Sessions • Municipal Engagement IDP Support Session • Bi-Annual Pro,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",2,2,2,2,1,1,2,2,7,2,7,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 3: Development and Planning,Sub Programme 3.6:	IDP Coordination,Quarterly,Number of municipalities with legally compliant IDP's	,Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,0,0,0,0,23,23,23,23,23,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Annually,Functional Senior Traditional Leader’s Forum,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Annually,Increased participation of traditional leaders in municipal councils,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Annually,Successful implementation of leadership development initiatives for Traditional Leaders ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,No. of Capacity building initiatives implemented for Traditional Leaders	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,1,1,0,0,1,1,2,1,2,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,No. of culture and heritage awareness sessions/ celebrations held,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,1,2,0,0,0,,1,2,2,Bakena principle traditional leadership consisting of 7 traditional councils and Batlokoa ba Mota principle traditional leadership consisting of 3 traditional councils celebrated cultural celebration with all the traditional councils which falls under their area of jurisdiction,None,,None,None,Bakwena Principal Traditional Leadership consisting of 7 Traditional Councils and Batlokoa ba Mota Principal Traditional Leadership consisting of 3 Traditional Councils celebrated cultural celebration with all Traditional Councils which falls under their area of their jurisdiction.,None,None,None,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,No. of Traditional Councils  supported towards reducing audit findings	,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",13,13,13,13,13,13,13,13,13,13,13,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of Anti GBVF Intervention/campaigns for traditional leadership (Final M&E Plan for the NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,2,2,0,0,2,2,4,4,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Number of Traditional Councils supported to perform their functions,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,4,4,3,12,13,22,13,None,None,,None,None,None,None,None,None,"Directive from DDG: Traditional Affairs was received that Traditional Council must be reconsitiuted by 10 February 2025. Due to this directive, 12 recognized Traditional Councils had to be supported in order to fulfil this mandate.",None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Percentage of Traditional Leadership succession claims/disputes received and processed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,Governance and Administration cluster,100 %,25 %,100 %,,100 %,77 %,100 %,Reporting on APP was discontinued.  %,100 %,102 %,100,None,None,,None,None,,,Outstanding claims are due for processing,None,Reporting on APP was discontinued. ,Reporting on APP was discontinued. ,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Programme 4: Traditional Institutional Management,Quarterly,Percentage of Traditional Leadership succession disputes processed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,Governance and Administration cluster,25 %,25 %,25 %,0 %,25 %,0 %,25 %,100 %,100 %,100 %,0,Reporting on this APP was discontinued.,Reporting on this APP was discontinued.,,None,None,No disputes and claims received for 2nd Quarter. Outstanding claims will be resolved in Q3.,None,Indicator was amended during the re-tabling of the APP,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Sub Programme 4.1: Traditional Institutional Administration,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Sub Programme 4.1: Traditional Institutional Administration,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Sub Programme 4.2: Traditional Resource Administration,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Sub Programme 4.2: Traditional Resource Administration,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Annually,No. of meetings held by fully functional Committees of the House of Traditional Leaders,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Annually,No. of sittings held by the Executive Committee to review progress on decisions taken,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Annually,No. of sittings held by the House of Traditional Leaders to review progress of the institution ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,0,,0,0,0,,0,,0,-,,,,,,,None,None,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of capacity building programmes implemented towards capacitating members of the House	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,1,1,0,0,1,1,2,1,2,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of constituency and progress meetings held with traditional councils towards ensuring the implementation of decisions of the House of Traditional Leaders.	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",5,4,0,0,5,4,0,1,10,1,10,None,None,,Batlokoa Ba Mokgalong cancelled the request to meet with the House based on issues that are outstanding,The House will seek to address the matter pertaining to Batlokoa Ba Mokgalong's concern,None,None,Meeting could not take place due to Local Government Summit,None,"Batlokoa Ba Mokgalong were not available on the scheduled date in previous quarter 
",None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of engagements convened with the Premier towards advancing the interest of traditional communities,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,0,0,0,0,0,0,1,1,1,1,None,None,,Engagement with Premier commenced during the 4th Quarter (March 2024) based on the availability of the Premier,None,None,None,None,None,The House could not meet with Premier in Quarter 1 due their unavailability of the Premier and was able to meet with the House on 26 March 2025.,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of meetings held with Local Houses of traditional leaders towards advancing the interest of traditional communities,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,0,0,1,1,0,,2,0,2,None,None,,None,None,None,None,None,None,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of meetings held with Marena a Moholo/Principal Traditional Leaders towards advancing the interest of traditional communities	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,0,0,1,0,0,1,2,1,2,None,None,,None,None,None ,None,Meeting could not take place due to Local Government Summit,None,The House could not meet with Morena e Moholo in Quarter 3 due his unavailability and was able to meet with the House on 29 January 2025.,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of meetings/ sessions held for development of MoU to enable the House to perform their oversight functions,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,0,0,0,0,1,Reporting on APP was discontinued. ,1,0,0,Reporting on this APP was discontinued.,Reporting on this APP was discontinued.,,None,None,None,None,Indicator was removed during the re-tabling of the APP,None,Reporting on APP was discontinued. ,Reporting on APP was discontinued. ,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of meetings/sessions held for development of MoU to enable the House  to perform their oversight functions,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,Governance and Administration cluster,0,0,0,,0,0,0,,1,,0,Reporting on this APP was discontinued.,Reporting on this APP was discontinued.,,None,None,,,Indicator was removed during the re-tabling of the APP,None,,,,,,,,,,,,,270
