Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,OTP_Q4,OTP_Q1,OTP_Q2,UID
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Quarterly,POI 3.1: Number of registered independent schools that are implementing improvement plans based on monitoring findings,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",24,24,24,23,24,24,24,24,24,95,24,None ,None ,,None ,None,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.   
",1 school not paid due to non compliance to NNSF,The payment has since been effected in the third quarter ," The outcome for the 2nd  quarter of the 2024/25 financial year is 96% of the set target.  The variance is -1.  The reason for the deviation does not correlate with the outcome for the provincial output indicator.
",None ,None ,"The PED has achieved 100% of the set target for the quarter under review. 
",none ,none ,"The PED has achieved 100%  of the set target for the quarter under review.   
",,,,171
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Sub-Programme 3.1: Primary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Sub-Programme 3.1: Primary Level,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Sub-Programme 3.2: Secondary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Sub-Programme 3.2: Secondary Level,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,POI 4.3: Number of children ages 0-8 provided screening and/or support services for developmental delays and or disability ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,160,,160,,95,The variance of 65 is due to Special Care Centres having only 95 learners enrolled in ages 0-8 range/cohort and due to learner drop-out ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,SOI 401	Number of learners in public special schools,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,4017,,4017,,4029,Special schools are more accessible due to district support ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Quarterly,POI 4.1: Number of educators: employed in public special schools ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",472,447,472,446,472,455,472,,472,0,453,The target was not achieved due to normal attrition.,None ,,Attrition,None,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The PED is advised to provide the outcome for this indicator.
",Normal staff attrition,None ," The outcome for the 2nd  quarter of the 2024/25 financial year is 94% of the set target.  The variance is -26.  The PED has provided a reason for the attainment of the outcome for the quarter under review. What is the corrective action to be undertaken to fill the posts.
",The target has been revised during the adjustment period to 31 ,None ,"The output for the quarter under review is 455. The reason deviation total does not correspond with the outcome for the quarter under review.
",,,"The PED is advised to insert the outcome for the quarter under review.
",actual output not captured,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Quarterly,POI 4.2: Number of special schools monitored for implementing curriculum monitoring findings ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",18,0,18,9,18,6,18,,18,15,18,None ,None ,,None,None,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The PED is advised to provide the outcome for this indicator.
",Not all schools could be visited due to competing programmes ,"
The remaining 9 will be prioritised in the third quarter. 
"," The outcome for the 2nd  quarter of the 2024/25 financial year is 50% of the set target.  The variance is -9.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The corrective action to be undertaken should be monitored.
",the activity was not achieved due to the ill health of the responsible official,None ,"The PED has achieved 33,3% of the set target for the quarter under review. The variance is -12.  The PED has provided a reason for the attainment of the set target. 
",,,"The PED is advised to insert the outcome for the quarter under review.
",actual output not captured,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Quarterly,POI 4.4: Number teachers trained on SIAS policy,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",300,0,300,330,0,0,300,,900,330,900,NONE ,NONE ,,None,None,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The PED is advised to provide the outcome for this indicator.

",More teachers trained due to a  need identified ,None ," The outcome for the 2nd  quarter of the 2024/25 financial year is 110% of the set target.  The variance is 30.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The PED must monitor the spending in the Human Resources Development sub-programme. Is the identification based on the planning process.
",None ,None ,,,,"The PED is advised to insert the outcome for the quarter under review.
",actual output not captured,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Quarterly,SOI 402: Number of therapists/specialist staff in public special schools. ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",27,0,27,21,27,21,27,,27,0,21,normal attrition,None ,,None,None,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters of the  2024/25 financial year. The PED is advised to provide the outcome for this indicator.
",Normal staff  Attrition ,None ," The outcome for the 2nd  quarter of the 2024/25 financial year is 78% of the set target.  The variance is -6.  The PED has provided a reason for the attainment of the outcome for the quarter under review. What is the corrective action to be undertaken to fill the posts.
",Due to normal staff attrition and delayed HR processed ,To finalise the HR processes for appointments,"The PED has achieved 78% of the set target for the quarter under review. The variance is -6.  The PED has provided a reason for the attainment of the set target.. The PED is advised to track the outcome of the corrective action to be undertaken.
",,,"The PED is advised to insert the outcome for the quarter under review.
",actual output not captured,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Sub-Programme 4.1: Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Sub-Programme 4.1: Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Sub-Programme 4.2: Human Resource Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Sub-Programme 4.2: Human Resource Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,"Sub-Programme 4.3: School Sport, Culture and Media Services",Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,"Sub-Programme 4.3: School Sport, Culture and Media Services",Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Sub-Programme 4.4: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 4:  Public Special School Education,Sub-Programme 4.4: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 5.1: Number of learners enrolled in Grade R in public schools ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,67000,,,,67000,,69221,The overachievement is due to advocacy campaigns,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 5.2: Number of Grade R educators or practitioners with NQF level 6 and above qualification,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1595,,1595,,1684,"More practitioners
passed their
academic
requirement than
projected
",None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 5.3: Number of Grade R practitioners employed in public ordinary schools per quarter(incl. qualified educators serving as Gr. R educators),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1600,,1600,,2030,normal attrition ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 5.4: Number of Practitioners trained on ECD NQF Level 4 qualification ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,400,,400,,400,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,SOI 501	Number of public schools that offer Grade R,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1063,,1063,,1073,The achievement is due to advocacy campaigns ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,SOI 502: Number of registered ECD programmes,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1463,,1463,,1300,Target was reduced to 1300 and achieved accordingly,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,SOI 503: Number of children accessing registered ECD programmes ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,70887,,70887,,7088,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.1: Grade R in Public Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.1: Grade R in Public Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.2: Grade R in Early Childhood Development Centres,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.2: Grade R in Early Childhood Development Centres,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.3: Pre-Grade R in Early Childhood Development Centres,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.3: Pre-Grade R in Early Childhood Development Centres,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.4: Human Resource Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.4: Human Resource Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.5: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 5:  Early Childhood Development,Sub-Programme 5.5: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,"POI 6.1: Number of additional classrooms built in, or provided for, existing public schools (includes new and replacement schools)",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,162,,162,,226,The 40 overachieved due to the provisioning of Mobile classrooms provided for storm damaged schools  ,NONE ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,POI 6.2: Number of additional specialist rooms built in public schools (Includes specialists rooms built in replacement schools),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,11,,11,,9,5 workshops at Vaal Rivier not completed according to planned schedule,NONE,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,POI 6.3: Number of new public schools that have reached completion and are ready for occupation (Includes replacement schools),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,2,,2,,2,NONE ,NONE ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,"POI 6.4: Number of new grade R classrooms built or provided (Includes those in new, existing and replacement schools)",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,10,,10,,22,The target was reprioritised to 22 during adjustment ,none ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,POI 6.5: Number  of schools provided with secure fencing facilities ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,23,,23,,20,3 projects not completed according to planned schedule due to community unrest,NONE ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,POI 6.6: Number of new schools under construction (new and replacement),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,6,,6,,7,NONE ,NONE ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 601	Number of public ordinary schools provided with water infrastracture,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,16,,16,,40,There was a need for  additional projects for water,NONE ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 602: Number of public schools provided with electricity infrastructure.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,0,,0,,0,NONE ,NONE ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 603 Number of public schools supplied with sanitation facilities ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,75,,75,,26,Some Projects were not completed due to slow progress of the contractors.,none ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 604 Number of schools provided with new or additional boarding facilities  ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1,,1,,0,The target was changed during adjustment to 0 ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 605: Number of schools where scheduled maintenance projects were completed,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,335,,335,,148,The target was reduced to 148 during adjustment ,NONE ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Sub-Programme 6.1: Administration,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Sub-Programme 6.1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Sub-Programme 6.2: Public Ordinary Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Sub-Programme 6.3: Special Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Sub-Programme 6.3: Special Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Sub-Programme 6.4: Early Childhood Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 6:  Infrastructure Development,Sub-Programme 6.4: Early Childhood Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 7.1 Number of bursary holders who complete their study programmes successfully,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,83,,83,,107,Internal bursars struggled to meet mandatory academic requirements to complete their studies ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 7.2 Number of learners on learnership and internship programmes ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,600,,600,,166,due to budget cuts funding was limited,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 701: Percentage of learners who passed the National Senior Certificate (NSC) Examination ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,83 %,,83 %,,84.9,The overachievement is due to monitoring and support visits to schools to monitor the implementation of LPIP; training of educators on content and methodology and providing coaching and mentoring for individual educators,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 702: Percentage of Grade 12 learners passing at the Bachelor Pass level.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,40 %,,40 %,,43.4,The overachievement is due to monitoring and support visits to schools to monitor the implementation of LPIP; training of educators on content and methodology and providing coaching and mentoring for individual educators,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 703 Percentage of Grade 12 learners achieving 60% and above in Mathematics,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,18 %,,18 %,,14.7,Learners have challenges with high order questions ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 704 Percentage of Grade 12 learners achieving 60% or more in Physical Sciences,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,20 %,,20 %,,15.1,Learners have challenges with high order questions,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 705 : Number of secondary schools  with National Senior Certificate  (NSC) pass rate of 60% and  above.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,495 %,,495 %,,550,"Monitoring and support visits to schools to monitor curriculum coverage, lesson preparation, learners' written work and SPIP yielded results ",None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Quarterly,POI 7.3: Number of teachers trained on care and support programmes to make informed decisions ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",450,542,450,450,450,450,450,600,1800,2042,1800,None ,None ,,,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The PED is advised to provide the outcome for this indicator.
",None ,None,,None ,None ,"The PED has achieved 100% of the set target for the quarter under review. 
",The target was revised as per the need ,None ,"The PED has achieved 133,33%  of the set target for the quarter under review.   The variance is 150. The PED has provided a reason for the attainment of the quarterly target. 
",,capture output for Q1,,171
Basic Education,Education,Mpumalanga,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Quarterly,POI 7.4: Number of learners trained on care and support programmes to make informed decisions ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",375,,375,375,375,300,375,500,1500,1175,1500,NONE ,NONE ,,,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The PED is advised to provide the outcome for this indicator.
",None ,None ,,Not all learners were trained due to NSC exams,The remaining learners will be capacitated in the fourth quarter ,"The PED has achieved 80% of the set target for the quarter under review. The variance is -75.  The PED has provided a reason for the attainment of the set target.. The PED is advised to track the outcome of the corrective action to be undertaken.
",The target was revised as per the need ,None ,"The PED has achieved 133,33%  of the set target for the quarter under review.   The variance is 125. The PED has provided a reason for the attainment  of the quarterly target. 
",,capture output for Q1,,171
