Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,OTP_Q4,OTP_Q1,OTP_Q2,UID
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Programme 1:  Administration,Quarterly,SOI 102:  Number of Public schools that can be contacted electronically (e-mail),Standardized,Max,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",1666,1634,1666,1635,1666,1636,1666,1635,1666,1636,1635,1635,closure and merger of schools,,Closed /merged non viable schools,None,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 98,1% of the set target.  The variance is -32. The PED has  provided a reason for the attainment of the set target for the quarter under review. 
",Closure /merger of schools ,None ," The outcome for the 2nd  quarter of the 2024/25 financial year is 98% of the set target. The variance is -31. The PED has provided a reason for the attainment of the outcome for the quarter under review. The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",Closure of small and non-viable schools ,None ,"The PED has achieved 98,2% of the set target for the quarter under review. The variance is -30.  The PED has provided a reason for the attainment of the set target.. The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",Closure /merger of schools ,None ,"The PED has achieved 98,14%  of the set target for the quarter under review.   The variance is -31. The PED has provided a reason for the attainment  of the quarterly target.   The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub Programme 1.1: Office of the MEC,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub Programme 1.1: Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.2: Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.3: Education Management,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.3: Education Management,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.4: Human Resource Development,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.4: Human Resource Development,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.5: Education Management Information System (EMIS),Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
