Function group;Econ2;Econ3;Financial year;Value
Learning and culture;Current payments;Compensation of employees;2021;216478923
Learning and culture;Current payments;Compensation of employees;2022;222348604
Learning and culture;Current payments;Compensation of employees;2023;221002608
Learning and culture;Current payments;Compensation of employees;2024;229095336
Learning and culture;Transfers and subsidies;Public corporations and private enterprises;2018;11101683
Learning and culture;Transfers and subsidies;Public corporations and private enterprises;2019;10860713
Learning and culture;Transfers and subsidies;Public corporations and private enterprises;2020;7445505
Learning and culture;Transfers and subsidies;Public corporations and private enterprises;2021;10924180
Learning and culture;Transfers and subsidies;Public corporations and private enterprises;2022;12249936
Learning and culture;Transfers and subsidies;Public corporations and private enterprises;2023;13656153
Learning and culture;Transfers and subsidies;Public corporations and private enterprises;2024;14771707
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2018;371709
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2019;516181
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2020;309929
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2021;358475
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2022;160818
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2023;169554
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2024;174158
Learning and culture;Payments for capital assets;Heritage assets;2021;13440
Learning and culture;Payments for capital assets;Land and sub-soil assets;2018;39219
Learning and culture;Transfers and subsidies;Households;2022;44749408
Learning and culture;Transfers and subsidies;Households;2023;48188319
Learning and culture;Transfers and subsidies;Households;2024;52119368
Learning and culture;Current payments;Interest and rent on land;2018;132
Learning and culture;Current payments;Interest and rent on land;2019;512
Learning and culture;Current payments;Interest and rent on land;2020;99
Learning and culture;Current payments;Interest and rent on land;2021;96
Learning and culture;Current payments;Interest and rent on land;2022;101
Learning and culture;Current payments;Interest and rent on land;2023;107
Learning and culture;Current payments;Interest and rent on land;2024;113
Learning and culture;Transfers and subsidies;Provinces and municipalities;2018;1917360
Learning and culture;Transfers and subsidies;Provinces and municipalities;2019;2465054
Learning and culture;Transfers and subsidies;Provinces and municipalities;2020;1991200
Learning and culture;Transfers and subsidies;Provinces and municipalities;2021;2834169
Learning and culture;Transfers and subsidies;Provinces and municipalities;2022;3021638
Learning and culture;Transfers and subsidies;Provinces and municipalities;2023;3169355
Learning and culture;Transfers and subsidies;Provinces and municipalities;2024;3303902
Learning and culture;Payments for financial assets;Payments for financial assets;2021;3951
Learning and culture;Payments for financial assets;Payments for financial assets;2022;5826
Learning and culture;Payments for financial assets;Payments for financial assets;2023;5150
Learning and culture;Payments for financial assets;Payments for financial assets;2024;5381
Learning and culture;Payments for capital assets;Software and other intangible assets;2019;55917
Learning and culture;Payments for capital assets;Software and other intangible assets;2020;50743
Learning and culture;Transfers and subsidies;Non-profit institutions;2018;16368374
Learning and culture;Transfers and subsidies;Non-profit institutions;2019;17587024
Learning and culture;Transfers and subsidies;Non-profit institutions;2020;24708350
Learning and culture;Transfers and subsidies;Non-profit institutions;2021;23581428
Learning and culture;Transfers and subsidies;Non-profit institutions;2022;29666790
Learning and culture;Transfers and subsidies;Non-profit institutions;2023;30206887
Learning and culture;Transfers and subsidies;Non-profit institutions;2024;24566260
Learning and culture;Payments for financial assets;Payments for financial assets;2018;41340
Learning and culture;Payments for financial assets;Payments for financial assets;2019;23960
Learning and culture;Payments for financial assets;Payments for financial assets;2020;169777
Learning and culture;Transfers and subsidies;Households;2018;3033157
Learning and culture;Transfers and subsidies;Households;2019;3097980
Learning and culture;Transfers and subsidies;Households;2020;3178649
Learning and culture;Transfers and subsidies;Households;2021;3199181
Learning and culture;Transfers and subsidies;Households;2022;2767355
Learning and culture;Transfers and subsidies;Households;2023;2956307
Learning and culture;Transfers and subsidies;Households;2024;3090644
Learning and culture;Transfers and subsidies;Provinces and municipalities;2018;2766
Learning and culture;Transfers and subsidies;Provinces and municipalities;2019;2475
Learning and culture;Transfers and subsidies;Provinces and municipalities;2020;5200
Learning and culture;Transfers and subsidies;Provinces and municipalities;2021;5997
Learning and culture;Transfers and subsidies;Provinces and municipalities;2022;6481
Learning and culture;Transfers and subsidies;Provinces and municipalities;2023;6767
Learning and culture;Transfers and subsidies;Provinces and municipalities;2024;7070
Learning and culture;Transfers and subsidies;Departmental agencies and accounts;2018;365733
Learning and culture;Transfers and subsidies;Departmental agencies and accounts;2019;394921
Learning and culture;Transfers and subsidies;Departmental agencies and accounts;2020;330932
Learning and culture;Transfers and subsidies;Departmental agencies and accounts;2021;376003
Learning and culture;Transfers and subsidies;Departmental agencies and accounts;2022;489072
Learning and culture;Transfers and subsidies;Departmental agencies and accounts;2023;481789
Learning and culture;Transfers and subsidies;Departmental agencies and accounts;2024;502284
Learning and culture;Current payments;Interest and rent on land;2018;54076
Learning and culture;Current payments;Interest and rent on land;2019;58477
Learning and culture;Current payments;Interest and rent on land;2020;44418
Learning and culture;Current payments;Interest and rent on land;2021;40294
Learning and culture;Current payments;Interest and rent on land;2022;40783
Learning and culture;Current payments;Interest and rent on land;2023;40839
Learning and culture;Current payments;Interest and rent on land;2024;42665
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2018;14374
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2019;16522
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2020;13980
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2021;21396
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2022;22793
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2023;22878
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2024;23867
Learning and culture;Payments for capital assets;Software and other intangible assets;2021;14541
Learning and culture;Payments for capital assets;Software and other intangible assets;2022;2091
Learning and culture;Payments for capital assets;Software and other intangible assets;2023;2179
Learning and culture;Payments for capital assets;Software and other intangible assets;2024;2437
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2018;626548
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2019;351786
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2020;252520
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2021;658992
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2022;708327
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2023;565519
Learning and culture;Payments for capital assets;Buildings and other fixed structures;2024;578580
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2018;2770
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2019;2866
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2020;3820
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2021;4166
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2022;4276
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2023;4292
Learning and culture;Transfers and subsidies;Foreign governments and international organisations;2024;4484
Learning and culture;Current payments;Interest and rent on land;2018;9158
Learning and culture;Current payments;Interest and rent on land;2019;5182
Learning and culture;Current payments;Interest and rent on land;2020;2948
Learning and culture;Current payments;Interest and rent on land;2021;366
Learning and culture;Current payments;Interest and rent on land;2022;355
Learning and culture;Current payments;Interest and rent on land;2023;363
Learning and culture;Current payments;Interest and rent on land;2024;342
Learning and culture;Payments for capital assets;Heritage assets;2018;94782
Learning and culture;Payments for capital assets;Heritage assets;2019;51171
Learning and culture;Payments for capital assets;Heritage assets;2020;90016
Learning and culture;Payments for capital assets;Heritage assets;2021;155721
Learning and culture;Payments for capital assets;Heritage assets;2022;228584
Learning and culture;Payments for capital assets;Heritage assets;2023;187760
Learning and culture;Payments for capital assets;Heritage assets;2024;196579
Learning and culture;Transfers and subsidies;Higher education institutions;2020;6039
Learning and culture;Transfers and subsidies;Provinces and municipalities;2018;830107
Learning and culture;Transfers and subsidies;Provinces and municipalities;2019;898521
Learning and culture;Transfers and subsidies;Provinces and municipalities;2020;828321
Learning and culture;Transfers and subsidies;Provinces and municipalities;2021;981182
Learning and culture;Transfers and subsidies;Provinces and municipalities;2022;957553
Learning and culture;Transfers and subsidies;Provinces and municipalities;2023;961531
Learning and culture;Transfers and subsidies;Provinces and municipalities;2024;1001659
Learning and culture;Transfers and subsidies;Higher education institutions;2018;6140
Learning and culture;Transfers and subsidies;Higher education institutions;2019;5245
Learning and culture;Transfers and subsidies;Higher education institutions;2020;5888
Learning and culture;Transfers and subsidies;Higher education institutions;2021;7111
Learning and culture;Transfers and subsidies;Higher education institutions;2022;7394
Learning and culture;Transfers and subsidies;Higher education institutions;2023;7423
Learning and culture;Transfers and subsidies;Higher education institutions;2024;7756
Learning and culture;Payments for financial assets;Payments for financial assets;2021;665
Learning and culture;Payments for financial assets;Payments for financial assets;2021;7137
Learning and culture;Payments for financial assets;Payments for financial assets;2022;5494
Learning and culture;Payments for financial assets;Payments for financial assets;2023;5730
Learning and culture;Payments for financial assets;Payments for financial assets;2024;5988
Learning and culture;Transfers and subsidies;Higher education institutions;2021;14288
Learning and culture;Transfers and subsidies;Higher education institutions;2022;15113
Learning and culture;Transfers and subsidies;Higher education institutions;2023;15781
Learning and culture;Transfers and subsidies;Higher education institutions;2024;16490
Learning and culture;Transfers and subsidies;Public corporations and private enterprises;2021;11525
Learning and culture;Payments for capital assets;Land and sub-soil assets;2018;44263
Learning and culture;Payments for capital assets;Land and sub-soil assets;2019;35764
Learning and culture;Payments for capital assets;Land and sub-soil assets;2020;24954
Learning and culture;Payments for capital assets;Land and sub-soil assets;2021;36000
Learning and culture;Payments for capital assets;Land and sub-soil assets;2022;24000
Social development;Payments for financial assets;Payments for financial assets;2019;255909
Social development;Transfers and subsidies;Households;2018;162930583
Social development;Transfers and subsidies;Households;2019;190200564
Social development;Transfers and subsidies;Households;2020;219134767
Social development;Transfers and subsidies;Households;2021;224664053
Social development;Transfers and subsidies;Households;2022;248414192
Social development;Transfers and subsidies;Households;2023;212893739
Social development;Transfers and subsidies;Households;2024;224470159
Social development;Transfers and subsidies;Departmental agencies and accounts;2018;92765
Social development;Transfers and subsidies;Departmental agencies and accounts;2019;110687
Social development;Transfers and subsidies;Departmental agencies and accounts;2020;98457
Social development;Transfers and subsidies;Departmental agencies and accounts;2021;108328
Social development;Transfers and subsidies;Departmental agencies and accounts;2022;119808
Social development;Transfers and subsidies;Departmental agencies and accounts;2023;113751
Social development;Transfers and subsidies;Departmental agencies and accounts;2024;118729
Social development;Payments for capital assets;Machinery and equipment;2018;374487
Social development;Payments for capital assets;Machinery and equipment;2019;391184
Social development;Payments for capital assets;Machinery and equipment;2020;429266
Social development;Payments for capital assets;Machinery and equipment;2022;270243
Social development;Payments for capital assets;Machinery and equipment;2023;255334
Social development;Payments for capital assets;Machinery and equipment;2024;278945
Social development;Payments for capital assets;Software and other intangible assets;2018;22640
Social development;Payments for capital assets;Software and other intangible assets;2019;28619
Social development;Payments for capital assets;Software and other intangible assets;2020;24355
Social development;Payments for capital assets;Software and other intangible assets;2021;31014
Social development;Payments for capital assets;Software and other intangible assets;2022;22327
Social development;Payments for capital assets;Software and other intangible assets;2023;22394
Social development;Payments for capital assets;Software and other intangible assets;2024;21877
Social development;Current payments;Compensation of employees;2018;12812889
Social development;Current payments;Compensation of employees;2019;14387765
Social development;Current payments;Compensation of employees;2020;14580800
Social development;Current payments;Compensation of employees;2021;15460150
Social development;Current payments;Compensation of employees;2022;15750939
Social development;Current payments;Compensation of employees;2023;15441472
Social development;Current payments;Compensation of employees;2024;16028923
Social development;Current payments;Goods and services;2018;7047875
Social development;Current payments;Goods and services;2019;7608850
Social development;Current payments;Goods and services;2020;8194112
Social development;Current payments;Goods and services;2021;9537265
Social development;Current payments;Goods and services;2022;8402544
Social development;Current payments;Goods and services;2023;8508668
Social development;Current payments;Goods and services;2024;8848859
Social development;Transfers and subsidies;Non-profit institutions;2018;6683055
Social development;Transfers and subsidies;Non-profit institutions;2019;7329476
Social development;Transfers and subsidies;Non-profit institutions;2020;8095651
Social development;Transfers and subsidies;Non-profit institutions;2021;8329657
Social development;Transfers and subsidies;Non-profit institutions;2022;6605725
Social development;Transfers and subsidies;Non-profit institutions;2023;6814062
Social development;Transfers and subsidies;Non-profit institutions;2024;7029011
Social development;Transfers and subsidies;Foreign governments and international organisations;2018;6302
Social development;Transfers and subsidies;Foreign governments and international organisations;2019;18605
Social development;Transfers and subsidies;Foreign governments and international organisations;2020;3817
Social development;Transfers and subsidies;Foreign governments and international organisations;2021;4577
Social development;Transfers and subsidies;Foreign governments and international organisations;2022;4697
Social development;Transfers and subsidies;Foreign governments and international organisations;2023;4714
Social development;Transfers and subsidies;Foreign governments and international organisations;2024;4925
Social development;Payments for capital assets;Buildings and other fixed structures;2019;566649
Social development;Transfers and subsidies;Provinces and municipalities;2018;9193
Social development;Transfers and subsidies;Provinces and municipalities;2019;1478
Social development;Transfers and subsidies;Provinces and municipalities;2020;1670
Social development;Transfers and subsidies;Provinces and municipalities;2021;2104
Social development;Transfers and subsidies;Provinces and municipalities;2022;2446
Social development;Transfers and subsidies;Provinces and municipalities;2023;2549
Social development;Transfers and subsidies;Provinces and municipalities;2024;2291
Social development;Transfers and subsidies;Public corporations and private enterprises;2018;25413
Social development;Transfers and subsidies;Public corporations and private enterprises;2019;33903
Social development;Transfers and subsidies;Public corporations and private enterprises;2020;17108
Social development;Transfers and subsidies;Public corporations and private enterprises;2021;433949
Social development;Transfers and subsidies;Public corporations and private enterprises;2022;224779
Social development;Transfers and subsidies;Public corporations and private enterprises;2023;272761
Social development;Transfers and subsidies;Public corporations and private enterprises;2024;34605
Social development;Payments for capital assets;Buildings and other fixed structures;2018;488183
Social development;Payments for capital assets;Buildings and other fixed structures;2020;304069
Social development;Payments for capital assets;Buildings and other fixed structures;2021;326500
Social development;Payments for capital assets;Buildings and other fixed structures;2022;390142
Social development;Payments for capital assets;Buildings and other fixed structures;2023;334652
Social development;Payments for capital assets;Buildings and other fixed structures;2024;341525
Social development;Current payments;Interest and rent on land;2018;295
Social development;Current payments;Interest and rent on land;2019;109
Social development;Current payments;Interest and rent on land;2020;21606
Social development;Current payments;Interest and rent on land;2021;5778
Social development;Current payments;Interest and rent on land;2022;16
Social development;Current payments;Interest and rent on land;2023;17
Social development;Current payments;Interest and rent on land;2024;18
Social development;Payments for financial assets;Payments for financial assets;2018;5222
Social development;Transfers and subsidies;Higher education institutions;2018;1500
Social development;Payments for financial assets;Payments for financial assets;2020;10639
Social development;Payments for financial assets;Payments for financial assets;2021;492
Social development;Payments for capital assets;Land and sub-soil assets;2021;742
Peace and security;Current payments;Goods and services;2018;9901005
Peace and security;Current payments;Goods and services;2019;10363063
Peace and security;Current payments;Goods and services;2020;10896011
Peace and security;Current payments;Goods and services;2021;12833807
Peace and security;Current payments;Goods and services;2022;12510421
Peace and security;Current payments;Goods and services;2023;12669943
Peace and security;Current payments;Goods and services;2024;13247648
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2018;8781490
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2019;8969204
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2020;10912463
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2021;6246402
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2022;7055973
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2023;7002442
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2024;7307388
Peace and security;Payments for financial assets;Payments for financial assets;2018;10842
Peace and security;Payments for financial assets;Payments for financial assets;2019;25612
Peace and security;Payments for financial assets;Payments for financial assets;2020;12165
Peace and security;Transfers and subsidies;Provinces and municipalities;2018;179
Peace and security;Transfers and subsidies;Provinces and municipalities;2019;139
Peace and security;Transfers and subsidies;Provinces and municipalities;2020;135
Peace and security;Transfers and subsidies;Provinces and municipalities;2021;151
Peace and security;Transfers and subsidies;Provinces and municipalities;2022;182
Peace and security;Transfers and subsidies;Provinces and municipalities;2023;186
Peace and security;Transfers and subsidies;Provinces and municipalities;2024;213
Peace and security;Transfers and subsidies;Households;2018;443495
Peace and security;Transfers and subsidies;Households;2019;277311
Peace and security;Transfers and subsidies;Households;2020;246258
Peace and security;Transfers and subsidies;Households;2021;336495
Peace and security;Transfers and subsidies;Households;2022;1246324
Peace and security;Transfers and subsidies;Households;2023;1057185
Peace and security;Transfers and subsidies;Households;2024;394904
Peace and security;Payments for capital assets;Machinery and equipment;2018;552512
Peace and security;Payments for capital assets;Machinery and equipment;2019;365327
Peace and security;Payments for capital assets;Machinery and equipment;2020;482813
Peace and security;Payments for capital assets;Machinery and equipment;2021;489529
Peace and security;Payments for capital assets;Machinery and equipment;2022;408338
Peace and security;Payments for capital assets;Machinery and equipment;2023;321055
Peace and security;Payments for capital assets;Machinery and equipment;2024;325354
Peace and security;Payments for capital assets;Software and other intangible assets;2018;272611
Peace and security;Payments for capital assets;Software and other intangible assets;2019;233189
Peace and security;Payments for capital assets;Software and other intangible assets;2020;105612
Peace and security;Payments for capital assets;Software and other intangible assets;2021;61564
Peace and security;Payments for capital assets;Software and other intangible assets;2022;87873
Peace and security;Payments for capital assets;Software and other intangible assets;2023;90081
Peace and security;Payments for capital assets;Software and other intangible assets;2024;41764
Peace and security;Current payments;Compensation of employees;2018;27642744
Peace and security;Current payments;Compensation of employees;2019;29254820
Peace and security;Current payments;Compensation of employees;2020;30098928
Peace and security;Current payments;Compensation of employees;2021;28586809
Peace and security;Current payments;Compensation of employees;2022;28208203
Peace and security;Current payments;Compensation of employees;2023;27319942
Peace and security;Current payments;Compensation of employees;2024;28548185
Peace and security;Current payments;Goods and services;2018;17455092
Peace and security;Current payments;Goods and services;2019;18833638
Peace and security;Current payments;Goods and services;2020;17814712
Peace and security;Current payments;Goods and services;2021;19110723
Peace and security;Current payments;Goods and services;2022;19759530
Peace and security;Current payments;Goods and services;2023;19780509
Peace and security;Current payments;Goods and services;2024;20675450
Peace and security;Current payments;Compensation of employees;2018;75986779
Peace and security;Current payments;Compensation of employees;2019;81512178
Peace and security;Current payments;Compensation of employees;2020;80490071
Peace and security;Current payments;Compensation of employees;2021;83847995
Peace and security;Current payments;Compensation of employees;2022;84721170
Peace and security;Current payments;Compensation of employees;2023;82930477
Peace and security;Current payments;Compensation of employees;2024;87501815
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2018;92407
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2019;99524
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2020;101327
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2021;103642
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2022;101887
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2023;106228
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2024;111001
Peace and security;Transfers and subsidies;Provinces and municipalities;2018;73571
Peace and security;Transfers and subsidies;Provinces and municipalities;2019;201750
Peace and security;Transfers and subsidies;Provinces and municipalities;2020;493915
Peace and security;Transfers and subsidies;Provinces and municipalities;2021;253864
Peace and security;Transfers and subsidies;Provinces and municipalities;2022;483640
Peace and security;Transfers and subsidies;Provinces and municipalities;2023;438140
Peace and security;Transfers and subsidies;Provinces and municipalities;2024;442099
Peace and security;Transfers and subsidies;Households;2018;1218632
Peace and security;Transfers and subsidies;Households;2019;1165457
Peace and security;Transfers and subsidies;Households;2020;1547577
Peace and security;Transfers and subsidies;Households;2021;1862525
Peace and security;Transfers and subsidies;Households;2022;1193461
Peace and security;Transfers and subsidies;Households;2023;1201138
Peace and security;Transfers and subsidies;Households;2024;1255316
Peace and security;Payments for capital assets;Machinery and equipment;2018;2429452
Peace and security;Payments for capital assets;Machinery and equipment;2019;2162375
Peace and security;Payments for capital assets;Machinery and equipment;2020;2467618
Peace and security;Payments for capital assets;Machinery and equipment;2021;2358885
Peace and security;Payments for capital assets;Machinery and equipment;2022;2825484
Peace and security;Payments for capital assets;Machinery and equipment;2023;2935012
Peace and security;Payments for capital assets;Machinery and equipment;2024;3060502
Peace and security;Payments for financial assets;Payments for financial assets;2018;18564
Peace and security;Payments for financial assets;Payments for financial assets;2019;33503
Peace and security;Payments for financial assets;Payments for financial assets;2020;47345
Peace and security;Payments for capital assets;Software and other intangible assets;2018;7850
Peace and security;Payments for capital assets;Software and other intangible assets;2020;93270
Peace and security;Payments for capital assets;Software and other intangible assets;2021;50831
Peace and security;Payments for capital assets;Software and other intangible assets;2022;36388
Peace and security;Payments for capital assets;Software and other intangible assets;2023;11102
Peace and security;Payments for capital assets;Software and other intangible assets;2024;10307
Peace and security;Current payments;Goods and services;2018;12054467
Peace and security;Current payments;Goods and services;2019;12655045
Peace and security;Current payments;Goods and services;2020;11703809
Peace and security;Current payments;Goods and services;2021;12540259
Peace and security;Current payments;Goods and services;2022;13110338
Peace and security;Current payments;Goods and services;2023;13383707
Peace and security;Current payments;Goods and services;2024;14097984
Peace and security;Current payments;Interest and rent on land;2018;20456
Peace and security;Current payments;Interest and rent on land;2019;1357
Peace and security;Current payments;Interest and rent on land;2020;2382
Peace and security;Payments for capital assets;Machinery and equipment;2018;418622
Peace and security;Payments for capital assets;Machinery and equipment;2019;590003
Peace and security;Payments for capital assets;Machinery and equipment;2020;672140
Peace and security;Payments for capital assets;Machinery and equipment;2021;592427
Peace and security;Payments for capital assets;Machinery and equipment;2022;804956
Peace and security;Payments for capital assets;Machinery and equipment;2023;715339
Peace and security;Payments for capital assets;Machinery and equipment;2024;745968
Peace and security;Current payments;Compensation of employees;2018;30418686
Peace and security;Current payments;Compensation of employees;2019;32387919
Peace and security;Current payments;Compensation of employees;2020;32948624
Peace and security;Current payments;Compensation of employees;2021;34560622
Peace and security;Current payments;Compensation of employees;2022;34882157
Peace and security;Current payments;Compensation of employees;2023;33779726
Peace and security;Current payments;Compensation of employees;2024;35205205
Peace and security;Transfers and subsidies;Households;2018;720790
Peace and security;Transfers and subsidies;Households;2019;1023455
Peace and security;Transfers and subsidies;Households;2020;997369
Peace and security;Transfers and subsidies;Households;2021;910637
Peace and security;Transfers and subsidies;Households;2022;943275
Peace and security;Transfers and subsidies;Households;2023;952096
Peace and security;Transfers and subsidies;Households;2024;994858
Peace and security;Transfers and subsidies;Provinces and municipalities;2018;7469
Peace and security;Transfers and subsidies;Provinces and municipalities;2019;7211
Peace and security;Transfers and subsidies;Provinces and municipalities;2020;7601
Peace and security;Transfers and subsidies;Provinces and municipalities;2021;8227
Peace and security;Transfers and subsidies;Provinces and municipalities;2022;8688
Peace and security;Transfers and subsidies;Provinces and municipalities;2023;9116
Peace and security;Transfers and subsidies;Provinces and municipalities;2024;9562
Peace and security;Payments for financial assets;Payments for financial assets;2018;104395
Peace and security;Payments for financial assets;Payments for financial assets;2019;20128
Peace and security;Payments for financial assets;Payments for financial assets;2020;170103
Peace and security;Payments for financial assets;Payments for financial assets;2021;154
Peace and security;Payments for capital assets;Biological assets;2018;2355
Peace and security;Payments for capital assets;Biological assets;2019;3430
Peace and security;Payments for capital assets;Biological assets;2020;3777
Peace and security;Payments for capital assets;Biological assets;2021;3511
Peace and security;Payments for capital assets;Biological assets;2022;3034
Peace and security;Payments for capital assets;Biological assets;2023;2269
Peace and security;Payments for capital assets;Biological assets;2024;2074
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2018;35605
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2019;36117
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2020;39184
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2021;40461
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2022;41974
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2023;43825
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2024;45793
Peace and security;Payments for capital assets;Buildings and other fixed structures;2018;617324
Peace and security;Payments for capital assets;Buildings and other fixed structures;2019;810766
Peace and security;Payments for capital assets;Buildings and other fixed structures;2020;869736
Peace and security;Payments for capital assets;Buildings and other fixed structures;2021;445252
Peace and security;Payments for capital assets;Buildings and other fixed structures;2022;454493
Peace and security;Payments for capital assets;Buildings and other fixed structures;2023;398715
Peace and security;Payments for capital assets;Buildings and other fixed structures;2024;410768
Peace and security;Payments for capital assets;Buildings and other fixed structures;2018;1237376
Peace and security;Payments for capital assets;Buildings and other fixed structures;2019;668927
Peace and security;Payments for capital assets;Buildings and other fixed structures;2020;459505
Peace and security;Payments for capital assets;Buildings and other fixed structures;2021;1015184
Peace and security;Payments for capital assets;Buildings and other fixed structures;2022;978009
Peace and security;Payments for capital assets;Buildings and other fixed structures;2023;1100519
Peace and security;Payments for capital assets;Buildings and other fixed structures;2024;1164365
Peace and security;Payments for capital assets;Software and other intangible assets;2018;44525
Peace and security;Payments for capital assets;Software and other intangible assets;2019;18862
Peace and security;Payments for capital assets;Software and other intangible assets;2020;29532
Peace and security;Payments for capital assets;Software and other intangible assets;2021;20882
Peace and security;Transfers and subsidies;Public corporations and private enterprises;2018;634
Peace and security;Transfers and subsidies;Public corporations and private enterprises;2019;1184
Peace and security;Transfers and subsidies;Public corporations and private enterprises;2020;330146
Peace and security;Transfers and subsidies;Public corporations and private enterprises;2021;0
Peace and security;Transfers and subsidies;Public corporations and private enterprises;2022;0
Peace and security;Transfers and subsidies;Public corporations and private enterprises;2023;0
Peace and security;Transfers and subsidies;Public corporations and private enterprises;2024;0
Social development;Payments for capital assets;Buildings and other fixed structures;2018;199446
Social development;Payments for capital assets;Buildings and other fixed structures;2019;172683
Social development;Payments for capital assets;Buildings and other fixed structures;2020;194460
Social development;Payments for capital assets;Buildings and other fixed structures;2021;529975
Social development;Payments for capital assets;Buildings and other fixed structures;2022;1507784
Social development;Payments for capital assets;Buildings and other fixed structures;2023;921715
Social development;Payments for capital assets;Buildings and other fixed structures;2024;583010
Social development;Payments for capital assets;Machinery and equipment;2018;120490
Social development;Payments for capital assets;Machinery and equipment;2019;18492
Social development;Payments for capital assets;Machinery and equipment;2020;66173
Social development;Payments for capital assets;Machinery and equipment;2021;113393
Social development;Payments for capital assets;Machinery and equipment;2022;118789
Social development;Payments for capital assets;Machinery and equipment;2023;51469
Social development;Payments for capital assets;Machinery and equipment;2024;54021
Social development;Payments for capital assets;Software and other intangible assets;2018;45746
Social development;Payments for capital assets;Software and other intangible assets;2019;226269
Social development;Payments for capital assets;Software and other intangible assets;2020;189492
Social development;Payments for capital assets;Software and other intangible assets;2021;91226
Social development;Payments for capital assets;Software and other intangible assets;2022;97087
Social development;Payments for capital assets;Software and other intangible assets;2023;85141
Social development;Payments for capital assets;Software and other intangible assets;2024;89398
Social development;Current payments;Compensation of employees;2018;3849248
Social development;Current payments;Compensation of employees;2019;4099737
Social development;Current payments;Compensation of employees;2020;4249304
Social development;Current payments;Compensation of employees;2021;4864076
Social development;Current payments;Compensation of employees;2022;5390137
Social development;Current payments;Compensation of employees;2023;5565199
Social development;Current payments;Compensation of employees;2024;5850887
Social development;Current payments;Goods and services;2018;2564858
Social development;Current payments;Goods and services;2019;3179010
Social development;Current payments;Goods and services;2020;2778782
Social development;Current payments;Goods and services;2021;5646171
Social development;Current payments;Goods and services;2022;5841151
Social development;Current payments;Goods and services;2023;6452913
Social development;Current payments;Goods and services;2024;6746360
Social development;Current payments;Interest and rent on land;2018;321737
Social development;Current payments;Interest and rent on land;2019;249790
Social development;Current payments;Interest and rent on land;2020;102380
Social development;Current payments;Interest and rent on land;2021;95485
Social development;Current payments;Interest and rent on land;2022;101215
Social development;Current payments;Interest and rent on land;2023;107287
Social development;Current payments;Interest and rent on land;2024;113724
Social development;Transfers and subsidies;Departmental agencies and accounts;2018;197
Social development;Payments for capital assets;Land and sub-soil assets;2021;171443
Social development;Transfers and subsidies;Households;2018;55029576
Social development;Transfers and subsidies;Households;2019;51943368
Social development;Transfers and subsidies;Households;2020;105686856
Social development;Transfers and subsidies;Households;2021;82283407
Social development;Transfers and subsidies;Households;2022;71148309
Social development;Transfers and subsidies;Households;2023;59709103
Social development;Transfers and subsidies;Households;2024;51610477
