Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
The Presidency,The Presidency,National,Administration,Office of the Deputy President,Quarterly,Number of engagements with stakeholders to promote the country social transformation agenda,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",2,4,2,8,2,9x engagements conducted with partners and stakeholders to promote the country's social transformation agenda.,2,6,8,21,27,"The appointment of a new Deputy President in March 2024 led to a refocusing of the Office of the Deputy President's programme. This involved increased engagement with social partners such as the private sector, inter-faith community, and traditional leaders, as well as supporting the country's social transformation agenda. ",N/A,,None,N/a,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Office of the Deputy President,Quarterly,Number of facilitated interventions in identified areas with governance challenges and service delivery failures,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,1,3,1,The overachievement of one facilitated intervention in Quarter 2 is carried over to Quarter 3.,1,1,3,3,4,"The Deputy President has received a revised delegation to assist in implementing the District Development Model across the government. They have conducted provincial outreach and oversight visits to assess existing DDM interventions and engage with key role-players to strengthen inter-governmental relations, with a focus on supporting municipalities in addressing service delivery weaknesses",None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Office of the Deputy President,Quarterly,Number of monitoring reports on the governments programme with respect to fast-tracking land reform and strengthening of agricultural support programme/ interventions. ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,0,0,1,1,0,0,2,2,2,N/A,None,,None,,Not applicable in the quarter under review,N/a,N/A,N/A,The indicator in not applicable in the quarter under review,N/A,,260
The Presidency,The Presidency,National,Administration,Office of the Deputy President,Quarterly,Number of reports on the Leader of Government Business work to strengthen Executive accountability,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,1,1,0,Not applicable in this quarter.,1,1,2,1,2,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Annually,Number of reviews of the implementation of the GBV&F-NSP providing recommendations to strengthen reporting and accountability,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,1,,1,N/A,None,,,,,,,,,,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Annually,"Number of tracking reports on the implementation of the Presidential State-Owned Enterprises Council (PSEC) workplan, providing recommendations to strengthen implementation",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,1,,1,N/A,N/A,,,,,,,,,,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Annually,Percentage of R1.2trillion over five years pledged through the investment drive ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,100 %,,126.07,The target was set five years ago in the State of the Nation Address (SONA) and has been in effect for a five-year term.,N/A,,,,,,,,,,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,Number of analysis reports on the performance of ministers against the agreed priorities,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,"Priorities for 2023/24 agreed with ministers, for inclusion as an annexure to their performance agreement",All 30 Ministers have signed the annexures of priorities with the President.,0,Not applicable in the quarter under review.,1x analysis report on the performance of ministers against 2023/24 agreed priorities,1,1x analysis report on the performance of ministers against the agreed 2023/24 priorities,-,1,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,"Number of multilateral or bilateral forums either hosted by South Africa, or where South Africa engages to shape the agenda and outcomes of South Africa's foreign policy",Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"International Cooperation, Trade and Security cluster",1,1,1,4,1,3x multilateral or bilateral forums conducted.,1,3,4,8,10,"Requests for bilateral and multilateral engagements, along with their approval, are conducted on a monthly basis and consequently cannot be incorporated into the APP.",None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,Number of public engagements to mobilise society and promote nation building and social cohesion,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",1,1,1,2,1,1x public engagement to mobilise society and promote nation building and social cohesion.,1,3,4,4,7,The number of engagements is ascertained by the requests forwarded to the President subsequent to the finalisation of the Annual Performance Plan,None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,Number of synthesis reports on advisory papers prepared by the Presidential Economic Advisory Council (PEAC),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,Not applicable in the quarter under review. ,1,1,2,1,2,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,Number of synthesis reports on the district oversight visit conducted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,0,1,1,0,Not applicable in the quarter under review. ,1,1,2,1,2,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,Number of synthesis reports on the engagements with business on the strategic programmes of government,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1x  synthesis report produced on the engagements with business on the strategic programmes of government,1,1,4,3,4,N/A,None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,Number of tracking reports on employment opportunities and livelihoods supported through the Presidential Epmployment Stimulus and Presidential Youth Employment Intervention,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,Not applicable in the quarter under review.,1,1,2,1,2,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,Number of tracking reports on the implementation of Operation Vulindlela Economic Reform Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,Not applicable in the quarter under review.,1,1,2,1,2,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Administration,Private Office of the President,Quarterly,"Number of tracking reports on the implementation of the Presidential Coordinating Commission on Climate Change (PCCC) workplan, providing recommendations to strengthen implementation",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,Not applicable in the quarter under review.,1,1,2,1,2,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Executive Support,Cabinet Office,Annually,Annual Cabinet and FOSAD Programme approved by Q3,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,"2024 Annual Cabinet and FOSAD Programme approved by Cabinet and FOSAD Workshop respectively, by Q3",,2024 Annual Cabinet and FOSAD programme produced,N/A,None,,,,,,,,,,,260
The Presidency,The Presidency,National,Executive Support,Cabinet Office,Annually,Cluster System Improvement Plan approved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,"Cluster System Improvement Plan approved by FOSAD MANCO, by Q1. ",,The Cluster System improvement Plan was not approved by Quarter 1,"Delays on the finalisation of the Plan. 

","The CSIP was approved in March 2024

",,,,,,,,,,,260
The Presidency,The Presidency,National,Executive Support,Cabinet Office,Quarterly,"number of assessment reports on the strategic agenda setting of Cabinet committees and Cabinet, providing recommendations to strengthen agenda setting.",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,1,1,0,Not applicable in the quarter under review.,1,1,2,1,2,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Executive Support,Cabinet Office,Quarterly,Number of monitoring reports on the implementation of the Cluster System Improvement Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,1,0,0,Not applicable in the quarter under review.,1,0,2,0,0,The delay in approval of the Cluster System Improvement Plan impact on the achievement of the target,"The first monitoring report on the implementation of the Cluster System Improvement Plan will be developed in the first half of 2024/2025, following the eCabinet training and rollout to the FOSAD Cluster Secretariats.
",,Not applicable in the quarter under review,N/A,The delay in approval of the Cluster System Improvement Plan impact on the achievement of the target.,The Cluster System Improvement Plan will be presented for approval by the Director-General and Chairperson of FOSAD by the end of Quarter 3 of 2023/24,N/A,N/A,No report produced on the implementation of the CSIP.,The implementation of the CSIP will commence in 2024/25 financial year.,,260
The Presidency,The Presidency,National,Executive Support,Cabinet Office,Quarterly,Number of quarterly reports on implementation of the Cabinet and FOSAD Programme,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1x quarterly report produced.,1,1,4,3,4,N/A,None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Executive Support,Cabinet Office,Quarterly,Number of quarterly reports on the implementation of the Annual Legislative Programme submitted to the Officer of the LOGB,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,1,1,1,"1x progress report produced on the implementation of the Legislative programme, submitted to the Office of the LOGB>",1,1,4,3,4,N/A,None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Executive Support,Cabinet Office,Quarterly,Number of tracking reports on Cabinet Work in Progress,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,1,1,1,1x tracking report produced on Cabinet WIP and implementation progress.,1,1,4,3,4,N/A,None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Policy and Research Services,Policy and Research Services,Quarterly,30-Year Review of Democracy in South Africa developed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Concept for 30 year review of Democracy in South Africa ,"Concept for 30-Year Review of Democracy in South Africa  produced

",Drafting of 30 year review of Democracy in South Africa,The draft introduction of the 30 Year Review of Democracy in South Africa was produced.,Drafting of 30 year review of Democracy in South Africa,The draft introduction of the 30 year review of Democracy in South Africa was produced.,30 year review of Democracy in South Africa finalised,The team Presidency joined the DPME to produce the 30 Year Review  as the DPME has already covered the work in the  report that they have produced,30 year review of Democracy in South Africa report finalised,-,Draft 30-Year Review of Democracy in South Africa report  not developed,The project was discontinued to avoid the duplication of efforts between the Presidency and DPME.,"In the 2024/25 Financial Year, The Presidency will embark on synthesis analysis of all the reviews focusing on areas that the country is struggling with e.g. unemployment, poverty and inequality, crime, governance, etc.",,None,N/A,N/A,N/A,N/A,N/A,The team Presidency teamed up with DPME to produce the 30-Year Review and to avoid any duplication of efforts,"In 2024/25 Financial Year, PRS will embark on synthesis analysis of all the reviews focusing on areas that  the country is struggling with e.g. unemployment, poverty and inequality, crime, governance etc",,260
The Presidency,The Presidency,National,Policy and Research Services,Policy and Research Services,Quarterly,Country Investment Strategy submitted to Cabinet for approval,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Country Investment Strategy finalised,"The CIS was finalised, the Cab memo was signed by the Minister in the Presidency, and the final Country Investment Strategy was submitted to the Cabinet Office

",Country Investment Strategy submitted to Executive Authority for approval of submission to Cabinet,The Country Investment Strategy was submitted to Cabinet on 27 June 2023.,0,Not applicable in the quarter under review.,Final Country Investment Strategy submitted for Cabinet approval,"The CIS was submitted to Cabinet on 27 June 2023 and was approved by Cabinet on  5 July 2023
",Final country investment strategy submitted for Cabinet approval,-,The CIS was submitted to Cabinet on 27 June 2023 and was approved by Cabinet on  5 July 2023,N/A,None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Policy and Research Services,Policy and Research Services,Quarterly,Number of assessment reports on received socio-economic impact assessment reports,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,1,1,0,Not applicable in the quarter under review.,1,1,2,1,2,N/A,None,,Not applicable in the quarter under review,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Policy and Research Services,Policy and Research Services,Quarterly,Number of progress reports on the implementation of the Programme of Action for Digital Transformation (digitisation and digitalisation) in the Public Sector. ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,1,1,1,1x progress report produced.,1,1,4,2,4,N/A,None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Policy and Research Services,Policy and Research Services,Quarterly,Number of synthesis reports on strategic content support provided to the principals,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1,1,1,1,1x synthesis report produced.,1,1,4,2,4,N/A,None,,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,260
The Presidency,The Presidency,National,Policy and Research Services,Policy and Research Services,Quarterly,number of tracking reports on progress against the State of the Nationa commitments,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,0,0,1,0,0,Not applicable in the quarter under review.,1,1,2,0,1,"Departments have different reporting timelines compared to the performance information reporting timelines from DPME, which resulted in the delay in finalising the Quarter 2 tracking report.","From this experience, we learned that it would be better to stagger reporting, for example, by doing the tracking report for the first and second quarters in the third quarter, rather than waiting until the end of the second quarter",,Not applicable in the quarter under review,N/A,"The tracking report report was produced but only covered 1 April to 30 June 2023.
Incomplete report produced.",The request will be submitted through the DG that all departments should submit their reports 15 days before the end of the quarter. This will allow time for consolidation of all the reports from departments.,N/A,N/A,N/A,N/A,,260
