government,department_name,vote_number,is_vote_primary,intro,website_url
----------,---------------,-----------,---------------,-----,-----------
South Africa,The Presidency,1,True,## Vote purpose 
Facilitate a common programme towards the achievement of the electoral mandate and the enhanced integrity of the state through considered planning, coordination, oversight, mobilisation and support.

## Vote mandate

The Presidency ,http://www.thepresidency.gov.za
South Africa,Parliament,2,True,## Vote purpose 

Provide the support services required by Parliament to fulfil its constitutional functions, assist political parties represented in Parliament to secure administrative support and service constituents, and provide members of Parliament ,http://www.parliament.gov.za
South Africa,Cooperative Governance,3,True,## Vote purpose 

Improve cooperative governance across the three spheres of government, in partnership with provinces, municipalities, civil society and communities, to enable accelerated service delivery. 

## Vote mandate

The Department of Cooper,http://www.cogta.gov.za
South Africa,Government Communication and Information System,4,True,## Vote purpose 

Provide a comprehensive communication service on behalf of government to facilitate the involvement of the majority of South Africans in governance, reconstruction and development, nation building, and reconciliation.

## Vote mandate,www.gcis.gov.za
South Africa,Home Affairs,5,True,## Vote purpose 

Efficiently determine and safeguard the identity and status of citizens. Regulate immigration to ensure security, promote development and fulfil South Africa’s international obligations.

## Vote mandate

The Department of Home Affa,http://www.dha.gov.za
South Africa,International Relations and Cooperation,6,True,## Vote purpose 

Formulate, coordinate, implement and manage South Africa’s foreign policy and international relations programmes.

## Vote mandate

According to the Constitution, the president is ultimately responsible for the foreign policy and in,http://www.dirco.gov.za
South Africa,National School of Government,7,True,## Vote purpose 

Provide or coordinate the provision of learning, training and development interventions that lead to improved
performance and service delivery in the public sector. 

## Vote mandate

The National School of Government is mandated t,https://www.thensg.gov.za/
South Africa,National Treasury,8,True,## Vote purpose 

Support economic growth and development, good governance, social progress and rising living standards through the accountable, economical, efficient, equitable and sustainable management of public finances, the
maintenance of macroecon,http://www.treasury.gov.za
South Africa,Planning, Monitoring and Evaluation,9,True,## Vote purpose 

Improve government service delivery through integrated planning, monitoring and evaluation.

## Vote mandate

The Department of Planning, Monitoring and Evaluation is mandated to:
- support the National Planning Commission
- facil,http://www.dpme.gov.za
South Africa,Public Enterprises,10,True,## Vote purpose 

Drive investment, productivity and transformation in the department’s portfolio of state-owned companies to unlock growth, drive industrialisation, create jobs and develop skills. 

