Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,"Number of hubs, clubs or schools provided with equipment and/or attire to enable participation in sport and/or recreation",Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,,1000,,1250,,1250,1 354,3500,1354,,,,,,,,,,,"The
overachievement was
caused by the
following
reasons:

FS: 34 schools
were provided
with equipment
and attire in 4th
quarter to
cover for the
underachievement of Q2

GP:47
Community
clubs benefited
equipment and
attire during
Ministerial
Outreach
Programme

KZN: The
province has a quarter target of 50
clubs but
additional 84
more clubs got
support to
address
distribution
delays for
previous
quarters.

LM: School
Sport Has 0
Q4 target but
113 schools
supported to
address
previous
quarter.
","None

Department
will ensure
Districts comply with
norms and
standard to
ensure
impact on
the support
provided

Engagement
with schools to adhere to
the distribution
plan.












None










Department
will ensure
Districts comply with
norms and
standard to
ensure
impact on
the support
provided






Engagement
with schools to adhere to
the distribution
plan.
",3 500,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of learners participating in the National School Sport Championship.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,1500,2892 ,0,0,2500,1438,4000,4330,,,,,,,"The overachievement was due to following reasons:
1.The department supported the hosting of the Chess NSSC to assist the South African Schools Chess Association to prepare for the FIDE World Youth Chess Championships 2024 to be held in Brazil in October 2024 and the African Schools Chess Championship 2025. 

Furthermore, the department supported the hosting of the Football U15 NSSC to assist the South African Football Association to participate in the Council of Southern Africa Football Association (COSAFA) Schools Championship in Namibia to be held in October 2024 and the Continental African Schools Championship to be held in May 2025.
",-,-,-,"The reason for deviation were as follows:  

1.	For 2024/25, School Sport System and Development Programme planned two National School Sport Championships, that is;  Autumn and Summer (December).
2.	Due to Football and Chess plans to participate internationally, their NSSC were moved to earlier dates. 
3.	Football and Chess NSSC took place in Q2 (August and September),  instead of Q3
4.	Thus, number of codes for Summer(December) NSSC were reduced due to this early participation in the financial year.
5.	The other factor is that provinces could not bring all teams for disability (wheelchair and blind).

","The DSAC is providing direction to the school sport structures and other stakeholders to align all
programmes for the 2025/26 year and the MTDP.
",,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of monitoring reports compiled on the heritage legacy facilities developed and/or maintained.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",2,2,2,2,2,2,2,2,8,8,,,,,,,-,-,-,-,"In terms of progress: Follow ups have been made
to the DPWI Minister on the request by the DSAC
to take over the implementation of the project.
",-,,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of municipalities supported during the planning and implementation of sport and recreation infrastructure projects to ensure compliance with the applicable Norms and Standards.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",52,52,52,52,52,52,52,52,52,52,,,,,,,-,-,-,-,-,-,,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of national sport and recreation events implemented.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",1,1,2,2,1,1,1,1,5,5,,,,,,,-,-,-,-,-,-,,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of organised community - based sport and recreation activities supported.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",10,10,30,30,30,30,20,20,90,90,,,,,-,-,-,-,-,-,-,-,,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of school sport leagues supported at a district level.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",25,25,30,30,20,22,15,29,90,106,,,,,,,-,-,"The overachievement of 2 leagues is due to Provinces prepare for the National school sport championships which took place in December 2024, Pretoria, Gauteng. ",-,"The
overachievement of
fourteen (14)
leagues is
due to Provinces
preparing for
the Autumn
National
school sport
championship
s taking place
in April 2025.
This is due to
the increased
number of
age groups
and activities
within
athletics and
swimming
and the
increased
number for
learners with regular
participation,
which is the
purpose of
the indicator.


","In order to
promote
regular

participation
n across all
provinces
in line with
guidelines and code
specific
requirements, the Unit
has
presented
an annual
calendar of
school
sport
programme
s in
consultation with
Provinces
and
Provincial
federations
to align
their programme
s with the
national
federations’
competition
s. This will
ensure that
all leagues,
festivals,
athletics
meetings
and gala’s
will be
reported in
line with
the new
TID which
encompass
es the school
sport
programmes.



",,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,"Number of schools, hubs and clubs provided with equipment and/or attire to enable participation in sport and/or recreation.",Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,1000,1756,1250,1030,1250,1 354,3500,4140,,,,,,,"The overachievement is attributed to more hubs participating in the district and provincial Indigenous Games festival.
Also, more clubs affiliated with the local leagues in provinces.
",-,"In most schools, hubs and clubs there were delays in the delivery of the equipment and/or attire to enable participation in sport and/or recreation.","The outstanding equipment and /or attire for schools, hubs and clubs will be distributed in the 4th quarter.","The
overachievement was
caused by the
following
reasons:

FS: 34 schools
were provided
with equipment
and attire in 4th
quarter to
cover for the
underachievement of Q2

GP:47
Community
clubs benefited
equipment and
attire during
Ministerial
Outreach
Programme

KZN: The
province has a quarter target of 50
clubs but
additional 84
more clubs got
support to
address
distribution
delays for
previous
quarters.

LM: School
Sport Has 0
Q4 target but
113 schools
supported to
address
previous
quarter.
","None

Department
will ensure
Districts comply with
norms and
standard to
ensure
impact on
the support
provided

Engagement
with schools to adhere to
the distribution
plan.
",,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of sport and recreation bodies supported.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",20,22,20,17,10,13,0,6,50,58,,,,,"The federation support is dependent on meeting funding compliance requirements. For the 1st quarter, more federations met the compliance requirements which was more than expected resulting in the department supporting more federations. that federation support is dependent on meeting funding compliance requirements. For the quarter under review which is the 1st quarter more federations met the compliance requirements which was more than expected resulting in the department managing to support more federations.",,"The reason for the deviation is that the Department dependent on Sport and Recreation Bodies meeting funding compliance requirements for them to be supported.
For the quarter under review the number of Sport and Recreation 
Bodies which met the compliance requirements were 17 which is less than the targeted number of 20.  The observation is that non compliance is primarily due to the administrative matters such as ensuring compliance with Tax Requirements.


","The Department  is engaging Sport and Recreation Bodies to expedite compliance.  Remarkable progress has been made in this regard. It is envisaged that in the third quarter, more Sport and Recreation Bodies will comply with funding requirements and eventually achieve the annual target.",The department had to support additional 3 sport and recreation Bodies to recover the shortfall from quarter 2.,-,,,,304
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Percentage of national federations meeting 50% or more of their self-set transformation targets,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Governance, State Capacity and Institutional Development cluster",0 %,,0 %,,0 %,,100 %,67 %,100 %,67 %,,,,,,,,,,,"Capacity challenges in the execution of the indicator. Also, at the time of the reporting the Department was still collectiong the data from the federations that had not submitted ","Already implemented.  The service provider has been
appointed to conduct the data analysis and develop the report
",50% or more,304
