Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Public Service and Administration,Public Service and Administration,National,"Programme 3: Negotiations, Labour Relations and Remuneration Management","Programme 3: Negotiations, Labour Relations and Remuneration Management",Quarterly,Approval Discipline management strategy,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Finalize the first draft Discipline
management strategy","The first draft of Discipline 
management strategy was developed
",Not Applicable,Not Applicable,Consult on the strategy ,"
Consultations on the Discipline Management Strategy were held with  Western Cape, Northern Cape, Gauteng, Mpumalanga and the Free State Provinces 
",N\A,N\A,"Consolidate the input on
the strategy ",Inputs from national and provincial departments  were consolidated towards the development of the Discipline management strategy for the public service,Not Applicable,Not Applicable,Submit for approval,Discipline Management Strategy was submitted for approval in March 2023,"Discipline management strategy
approved ",-,The Discipline Management Strategy was not approved,A  submission will be made in the next FY,The Strategy is developed only needs approval,,Not Applicable,Not Applicable,153
Public Service and Administration,Public Service and Administration,National,"Programme 3: Negotiations, Labour Relations and Remuneration Management","Programme 3: Negotiations, Labour Relations and Remuneration Management",Quarterly,Approval of Collective Bargaining Policy,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Review current collective
bargaining policy and structures ","A review report has been compiled on the current collective 
bargaining policy and structures
",Not Applicable,Not 'applicable,"Develop a draft Document
on Collective Bargaining
policy / protocols and
conduct consultations with
the relevant (government
and labour – where
necessary) stakeholders ",A Draft document on the Collective Bargaining (Negotiations Implementation) Policy/Protocol was developed & consulted at National Workshop in September 2022,N\A,N\A,"Finalize consultations and
seek approval for the Draft
Collective Bargaining
Policy and Procedures",The consultations on the draft Collective Bargaining Policy and Procedures during were finalised during the period under review. The consultations were done with the  Employer Caucus and the National Labour Relations Forum,Not Applicable,Not Applicable,"Implement the approved
Collective Bargaining
Policy and reviewed
procedures. ",The draft Implementation Protocol is currently in the Forum of SA Directors General (FOSAD) for their consideration and inputs.,"1 DPSA Collective bargaining
policy developed, procedures
reviewed.",-,"1 DPSA Collective bargaining policy developed, procedures reviewed.",Not applicable,Not Applicable,,"The March 2023 Governance, State Capacity, and Institutional Development (GSCID)/ FOSAD meeting where FOSAD was to be consulted on the Collective Bargaining Policy was cancelled",The Collective Bargaining Policy is on the agenda of the next GSCID/FOSAD meeting to be held in April 2023,153
Public Service and Administration,Public Service and Administration,National,"Programme 3: Negotiations, Labour Relations and Remuneration Management","Programme 3: Negotiations, Labour Relations and Remuneration Management",Quarterly,Approved reviewed generic functional structure for Programme 1: Administration Functions.,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Reviewed generic functional
structure for Programme 1:
Administration Functions
submitted for approval ",The generic functional structure for Programme 1: Administration was reviewed and submission was routed to the Director-General,Not Applicable,Not Applicable,"Support departments on
the implementation of
reviewed generic
functional structure","The following Departments were supported on the implementation of reviewed generic functional structure: 
(1)Presidency, (2) Limpopo Department of Agriculture and Rural Development and the, (5) Mpumalanga Department of Community Safety.
",N\A,N\A,"Support departments on
the implementation of
reviewed generic
functional structure","During the quarter under review , the following Departments were supported on the implementation of Reviewed Generic Functional Structure for Programme 1:
•	Northern Cape Department Of Sport, Arts and Culture
•	National Department of Health
•	Limpopo Department of Health
•	Gauteng Department of Health
•	National Department of Sport, Arts and Culture
•	Free State Provincial Departments 

",N/A,N/A,"Approved Annual report on
the implementation of
reviewed generic
functional structure",Approved Annual report on the implementation of reviewed generic functional structure was not developed,"Reviewed generic functional
structure for Programme 1:
Administration Functions
submitted for approval",-,Reviewed generic functional structure for Programme 1: Administration Functions submitted for approval,Not Applicable,Not Applicable,,The generic functional structure for Programme 1: Administration Functions was reviewed however the department took a decision to delay the approval of the reviewed generic structure pending the finalisation of the Post Provisioning Norms which inform the allocation of positions within the Programme:1in departments,The Review generic functional structure for Programme 1: Administration Functions will be finalised after the approval of the Post Provisioning Norms,153
Public Service and Administration,Public Service and Administration,National,"Programme 3: Negotiations, Labour Relations and Remuneration Management","Programme 3: Negotiations, Labour Relations and Remuneration Management",Quarterly,Job evaluation System for the Public Service implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Submission to engage with
National Treasury approved by
the Director-General ",The submission to engage with National Treasury was approved by the Director-General on 14 April 2022. ,Not Applicable,Not Applicable,"Engagements with the
developers of the job
evaluation and job grading
system.",The process for the procurement of a service provider has been re-started,In   2021 the department was not successful in procuring a service provider to develop the system as the applicants did not meet the specifications. The revised terms of reference are being finalised.,Once the revised ToR’s have been approved the procurement process will commence,"Conclusion of a service
level agreement and the
implementation of the job
evaluation system.",The service level agreement and the implementation of the Job evaluation of the job evaluation system was not concluded,"The initial procurement process did not result in appointment of an  appropriate service provider for the project , therefore the process was re-started in this financial year",The terms of reference have been approved and a submission was made to supply chain management for re-advertisement of the bid which is expected to be completed in Quarter four (4).,"Implementation of the job
evaluation system. ",The job evaluation system was not implemented,"Job evaluation System for the
Public Service final report
submitted for approval ",-,The job evaluation system was not implemented,"The initial procurement process did not secure an appropriate service provider; therefore, the process was re-started",The bid was re-advertised and the appointment of the successful bidder has been routed for approval,,"The initial procurement process did not secure an appropriate service provider; therefore, the process was re-started",The bid was re-advertised and the appointment of the successful bidder has been routed for approval,153
Public Service and Administration,Public Service and Administration,National,"Programme 3: Negotiations, Labour Relations and Remuneration Management","Programme 3: Negotiations, Labour Relations and Remuneration Management",Quarterly,Number of departments supported to implement the lifestyle.,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Conduct awareness sessions on
lifestyle reviews",An awareness session on lifestyle reviews was held with JCPS Cluster departments on the risk indicators (red flags) ,Not Applicable,Not Applicable,"Conduct training on
identified departments ","A training session on the implementation of the Life Style Audits was conducted in September 2022 with identified Justice, Correctional and Police Service Cluster departments",N\A,N\A,"Monitor the
implementation of lifestyle
audits ","he implementation of the lifestyle audits was monitored and shared with the Justice, Correctional and Police Cluster",Not Applicable,Not Applicable,"Annual Lifestyle Audit
report ",We have compiled the annual lifestyle audit report in March 2023,"All JCPS departments supported
to implement the lifestyle ",-,The annual lifestyle audit report was compiled in March 2023,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,153
Public Service and Administration,Public Service and Administration,National,"Programme 3: Negotiations, Labour Relations and Remuneration Management","Programme 3: Negotiations, Labour Relations and Remuneration Management",Quarterly,Personnel Expenditure review conducted,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Conduct research and gather
data on the relevant practices
in the organisations within the
scope of the PER. ",Research conducted and data gathered on the relevant practices in the organisations within the scope of the PER,Not Applicable,Not Applicable,"Conduct research and
gather data on the
relevant practices in the
organisations within the
scope of the PER.","
Research  has been  conducted and data gathered on the relevant practices in the organisations within the scope of the Personnel Expenditure Reviews
",N\A,N\A,"Analyze data and do a
comparative analysis with
national and international
best practices ",Analyse data and a comparative analysis with national and international best practices was conducted. ,Not Applicable,Not Applicable,"Finalize PER report in
consultation with
stakeholders and submit
final report for approval. ",Finalized PER report in consultation with stakeholders and submit final report for approval.,"Personnel Expenditure review
final report submitted for
approval 
",-,Consultations were conducted with sectoral Departments and the PER report was submitted for approval in ,Not applicable,Not Applicable,,Not applicable,  Not applicable,153
Public Service and Administration,Public Service and Administration,National,Programme 4: e-Government Services and Information Management,Programme 4: e-Government Services and Information Management,Quarterly,Approval of the Digital Government Policy Framework for the Public Service ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Finalize the first draft of the
Digital Government Policy
Framework for the Public
Service ",First Draft Digital Government Policy Framework for the Public Service was developed.,Not Applicable,Not Applicable,Consult on the framework,"Consultation workshops on the approved Digital Government Policy Framework were held in August and September 2022 with the Department of Communications and Digital Technologies, the Presidency and National Treasury",N\A,N\A,"Consolidate the input on the
framework","Inputs from the Presidency, Department of Communication and Digital Technologies, State Information Technology Agency and Department of Public and Service were consolidated into the final draft Digital Government Policy Framework policy",Not Applicable,Not Applicable,Submit for approval,Draft Digital Government Policy Framework for the Public Service submitted for approval in March 2023,"Approved Digital Government
Policy Framework for the Public
Service ",-,Digital Government Policy Framework for the Public Service was not approved,Processes took longer than planned,Work will continue in the next financial year,,Not Applicable,Not Applicable,153
Public Service and Administration,Public Service and Administration,National,Programme 4: e-Government Services and Information Management,Programme 4: e-Government Services and Information Management,Quarterly,Approval of the Digital service attributes standard ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Digital Service attributes
research conducted ",Discussion document on Digital Service Attributes Standards was developed.,Not Applicable,Not Applicable,"A draft digital service
standard developed ",The Draft Digital Service Attributes Standards has been developed.,N\A,N\A,"Consultation on the digital
service standard conducted","Consultations workshops were conducted within DPSA, and external stakeholders namely: 
1. Department Of Communications and Digital Technologies (DCDT), 2. Department of Transport, 3. Department of Home Affairs, 4. Government Communication Information System (GCIS), 5. State Information Technology Agency (SITA), 6. Department of Planning, Monitoring and Evaluation (DPME), 7. Centre for Public Service Innovation (CPSI), and 8. Gauteng e-Government Department 

",Not Applicable,Not Applicable,"digital service standard
submitted for approval ",Draft Digital Service Attributes Standard submitted for approval in March 2023,"Approved Digital service
standard ",-,Digital service standard not approved,Processes took longer than planned,Work will continue in the next financial year,,Not Applicable,Not Applicable,153
Public Service and Administration,Public Service and Administration,National,Programme 4: e-Government Services and Information Management,Programme 4: e-Government Services and Information Management,Quarterly,Approval of the Public Service Data and Information Management Directive ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"1st draft of the Directive for
the Public Service Data and
Information Management ",1st draft of the Directive for the Public Service Data and Information Management was developed ,Not Applicable,Not Applicable,"Consultations held with the
relevant stakeholders on
the 1st draft of the
Directive for the Public
Service Data and
Information Management ","The consultations on the draft Determination and Directive on Data Management were held in September 2022with the following stakeholders: 
(1) DPSA, (2) Stats SA, (3)Human Science Research Council (HSRC) and the , (4) Department of Planning Monitoring and Evaluation (DPME)
",N\A,N\A,"Final Directive for the Public
Service Data and
Information Management ",The Final Directive for the Public Service Data and Information Management has been developed ,Not Applicable,Not Applicable,"The Directive for the Public
Service Data and
Information Management
submitted for approval",The Determination and Directive on the implementation of Knowledge and Data Management in the public service was submitted for approval in March 2023,"Approved Public Service Data
and Information Management
Directive",-,Public Service Data and Information Management Directive not approved,Processes took longer than planned,Work will continue in the next financial year,,Not Applicable,Not Applicable,153
Public Service and Administration,Public Service and Administration,National,Programme 5: Government Services Access and Improvement,Programme 5: Government Services Access and Improvement,Quarterly,Approval of the National Plan of Action ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Develop the draft National Plan
of Action ",Draft APRM National Plan of Action has been developed ,Not Applicable,Not Applicable,"Submit the draft National
Plan of Action to the
National Governing Council
for consideration",The National Plan of Action was submitted for consideration by the National Governing Council and adopted by the Cabinet on 22 June 2022.,N\A,N\A,"Submit the final draft
National Plan of Action with
inputs for ratification. ",The Final draft of the African Peer Review Mechanism’s National Plan of Action with inputs was submitted ratification to the National Governing Council on the 30 November 2022.,Not Applicable,Not Applicable,"Submit the final draft National
Plan of Action for approval ",The National Plan of Action was submitted on 22 June 2022,"APRM National Plan of Action
approved",-,The final draft National Plan of Action was submitted to Cabinet in June 2022,Not Applicable,Not Applicable,,Not applicable ,Not applicable ,153
