Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Health,Health,Northern Cape,Programme 5: Central Hospital Services,Programme 5: Central Hospital Services,Quarterly,Death in facility under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",47,52,49,56,43,45,46,21,185,21,,,,,"•Low birth weight.
•Compromised immune system.
•Pre-existing illness.
•Late presentation to the facility.","Improve the community
 education through health promotion.",Targets are aligned to the APP. Under performance reflected with the death in facility above the provincial threshold of 47. Increase in deaths in comparison with the 45 in Q1 of 2023/24. ,"•Low birth weight.
•Compromised immune system.
•Pre-existing illness.
•Late presentation to the facility.","•Improve the community education through health 
promotion.",Total of 108 deaths reflected up to the 2nd quarter. Slightly higher than the  set threshold. ,"Multidisciplinary approach;
Early Intervention;
Nutritional advice;
Managed the cause appropriately;

",Continue awareness and health education in the community about danger signs.,A total of 153 deaths in facility under 5 years against a threshold of 139 up to the 3rd quarter. ,"Multidisciplinary approach

Early Intervention

Nutritional advice

Managed the cause appropriately
",Continue awareness and health education in the community about danger signs,"Quarterly target achieved, with the total deaths under 5 years below the quarterly threshold. A total of 174 deaths reflected up to the 4th quarter against the threshold of 185.  ",,,,,82
Health,Health,Northern Cape,Programme 5: Central Hospital Services,Programme 5: Central Hospital Services,Quarterly,Diarrhoea death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",4,2,8,3,12,2,14,0,14,0,,,,,-,"Strengthen
 and improve the community education through health promotion.",Targets are aligned to the APP. Performance is on track with the quarterly output below the provincial threshold.,"•Managed the cause appropriately.
•Early Intervention.","•Strengthen and improve the community education
 through health promotion.","Performance is on track with 3 deaths in the 2nd quarter. (2 reflected in the 1st quarter) Please clarify if 3 is the total up to the 2nd quarter or is this reflecting only the deaths for Q2, with a total of 5 deaths up to the 2nd quarter?","Multidisciplinary approach;
Early Intervention;
Nutritional advice;
Managed the cause appropriately;
","Continue awareness and health education in the 
community about danger signs.","Performance is on track up to the 3rd quarter, with the total diarhoea deaths under 5 years at 7 against the threshold of 12 up to the 3rd quarter. ","Multidisciplinary approach

Early Intervention

Nutritional advice

Managed the cause appropriately
Multidisciplinary approach

Early Intervention

Nutritional advice

Managed the cause appropriately


","Continue awareness and health education in the 
community about danger signs","No diarrhoea deaths reported in the 4th quarter, however, this is a year to date target setting, with 7 deaths reflected up to Q3. Total of 7 deaths is below the provincial annual threshold.",,,,,82
Health,Health,Northern Cape,Programme 5: Central Hospital Services,Programme 5: Central Hospital Services,Quarterly,Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,All PSI cases were reported and closed within the stipulated timeframe.,Monitor and maintain the status quo.,Targets are aligned to the APP. Performance is on track up to the 1st quarter with the quarterly target achieved as planned. ,•All ten (10) Patient Safety Incident cases were reported and resolved /closed.,•Monitor and maintain the status quo.,Performance is on track up to the 2nd quarter with 100% achieved against the annual target,All nine (9) Patient Safety Incident  cases were reported and resolved /closed during the quarter under review.,Monitor and maintain the status quo.,"Performance is on track up to the 3rd quarter, with quarterly targets achieved as planned. ",All sixteen (16) Patient Safety Incident  cases were reported and resolved /closed during the quarter under review,Monitor and maintain the status quo,Quarterly and annual target achieved as planned.,,,,,82
Health,Health,Northern Cape,Programme 5: Central Hospital Services,Programme 5: Central Hospital Services,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",3,3,6,7,9,6,11,2,11,2,,,,,-,Strengthen and improve the community education through health promotion.,Targets are aligned to the APP. Performance is on track up to the 1st quarter. ,"•Compromised immune system.
•Pre-existing illness.","•Liaise with Health Promotion to continue 
awareness and education in the community about danger signs.","Output is higher than the provincial threshold with 7 Pneumonia deaths up to the 2nd quarter. (3 reflected in the 1st quarter) Please clarify if 7 is the deaths recorded up to the 2nd quarter, or only for the 2nd quarter. Please be reminded of the calculation type when reporting (year to date). ","Multidisciplinary approach;
Early Intervention;
Nutritional advice;
Managed the cause appropriately;
",Continue awareness and health education in the community about danger signs.,Total of pneumonia deaths under 5 years (16) up to the 3rd quarter is already higher than the annual threshold of 11. ,"Multidisciplinary approach

Early Intervention

Nutritional advice

Managed the cause appropriately
",Continue awareness and health education in the community about danger signs,"2 Pneumonia deaths reflected in the 4th quarter, however, this is a year to date target, and should reflect all deaths up to the reporting quarter. Total deaths reported up to the 4th quarter is 18, which is above the provincial annual threshold.",,,,,82
Health,Health,Northern Cape,Programme 5: Central Hospital Services,Programme 5: Central Hospital Services,Quarterly,Severe acute malnutrition (SAM) death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",5,4,10,3,12,5,15,6,15,6,,,,,-,Strengthen and improve the community education through health promotion.,Targets are aligned to the APP. Performance is on track up to the 1st quarter with the output below the provincial threshold. ,"•Early Intervention.
•Multidisciplinary approach.
•Nutritional advice.",•Liaise with Health Promotion to continue awareness and education in the community about danger signs.,"Performance is on track and below the threshold as per reflected output. The department is reminded to report according to the calculation type (year to date) 4 deaths reflected in Q1, and 3 reflected in the 2nd quarter. Clarity is required in terms of the total deaths, as the aggregated output is the total deaths up to the 2nd quarter. (7)","Multidisciplinary approach;
Early Intervention;
Nutritional advice;
Managed the cause appropriately;",Continue awareness and health education in the community about danger signs.,"Performance is on track up to the 3rd quarter with the total number of SAM deaths under 5 years (12), the same as the threshold up to the 3rd quarter. ","Multidisciplinary approach

Early Intervention

Nutritional advice

Managed the cause appropriately
",Continue awareness and health education in the community about danger signs,"Only 6 SAM deaths reflected in the 4th quarter. However, a total of 18 SAM deaths reflected up to the 4th quarter, which is above the provincial annual threshold. The DOH is reminded to report according to the calculation type as specified in the TID.",,,,,82
Health,Health,Northern Cape,Programme 5: Central Hospital Services,Programme 5: Central Hospital Services,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,0 %,100 %,0 %,,,,,No SAC1 incidents were reported.,Monitor reporting of all  SAC1 incidents.,"Targets are aligned to the APP. No incidents reported in the 1st quarter. The department may have to reflect in the TID of this deliverable, what to report in cases of no incidents reported. ",•All  Three (3 ) SAC1 incidents were reported within 24 hours.,"•Monitor reporting of all  SAC1 incidents and maintain the status quo.
",Performance is on track up to the 2nd quarter with 100% achieved against the annual target,All three (3) SAC 1 cases were reported within 24 hours during the quarter under review. ,Maintain the reporting of all SAC 1 incidents within 24 hours.,"Performance is on track up to the 3rd quarter, with quarterly targets achieved as planned. ",All eight (8) SAC 1 cases were reported within 24 hours during the quarter under review. ,Maintain the reporting of all SAC 1 incidents within 24 hours,Quarterly and annual target achieved as planned.,,,,,82
Health,Health,Northern Cape,Programme 6: Health Sciences and Training,Sub-Programme 6.1: Health Sciences and Training,Annually,Percentage of graduates who obtained Higher Certificate in Emergency Care,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,60 %,52 %,,,60 %,52 %,,"Student selection- applications influenced by stipends;
Staff shortage;
College operational deficiencies;
Lecturer development opportunities
Student fitness levels.
","Adequate budget allocation;
Employment of suitable lecturing staff;
Use of the WSP to develop the EMS lecturers;
Hold accountable managers to deliver on their promises eg. Telephones, IT connectivity;
",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 6: Health Sciences and Training,Sub-Programme 6.1: Health Sciences and Training,Annually,Proportion of bursary holders permanently appointed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,90 %,44 %,90 %,44 %,,The completion of the training of bursars has been delayed due to outstanding rotations,To better improve on our forecasting to be able to yield better results.,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 6: Health Sciences and Training,Sub-Programme 6.1: Health Sciences and Training,Annually,Total number of basic nurse students completing training ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,54,50,,,54,50,,"Out of the fifty-four (54) students, four (4) students did not complete
","Four (4) students are to complete full time academic training.
",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 7: Health Care Support Services,Sub-Programme 7.1: Forensic Medical Services,Quarterly,Percentage of autopsies completed within 4 working days,Non-Standardized,Average,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",90 %,92 %,90 %,94 %,90 %,88 %,90 %,91 %,90 %,"91,25 %",,,,,"•Improved management controls as a result of acting /  caretaking appointments.
•Less cases for the quarter, therefore less reports to be produced.","Filling of vacant 
management posts for improved performance .",Targets are aligned to the APP. Performance is on track up to the 1st quarter. ,•Improved management controls as a result of acting caretaking appointments. ,"•Filling of vacant management and Medical Officer posts for improved 
performance.",Performance is on track up to the 2nd quarter with an increase reflected in Q2 in comparison with the 1st quarter. ,There was an increase of workload during the festive season with there not being enough doctors to complete the autopsies.,"Reprioritise approval of leave to ensure sufficient coverage of personnel and
 doctors for the increased workload. ",3rd Quarter paerformance just below the provincial target with the average performance up to the 3rd quarter at 91%,Staff members worked under pressure.,Filling of vacant management and Medical Practitioners posts for improved performance ,"Quarterly target achieved and average performance across all the quarters at 91,25%, achieving the set annual target. ",,,,,82
