Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Health,Health,Northern Cape,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,Unqualified Audit Report,,,,Unqualified Audit Report,,,,,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 1: Administration,Sub-Programme 1.1: Information Communication and Technology,Quarterly,Percentage of PHC facilities with network access,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",0 %,0 %,90 %,93 %,95 %,95 %,95 %,95 %,95 %,95 %,,,,,"Indicator reported from 
quarter 2",-,Targets are aligned to the APP. Nothing planned for the 1st quarter. ,"More facilities were connected, than the planned target.",-,Quarterly target achieved. Performance is on track up to the 2nd quarter. ,All planned facilities have network access.,Sustain connectivity and network access.,Performance is on track with the quarterly target achieved as planned. Please also provide the raw data indicating the number of PHC facilities with network access.,All planned facilities were connected.,All planned facilities to have network access.,Performance is on track with the annual target achieved as planned. ,,,,,82
Health,Health,Northern Cape,Programme 1: Administration,Sub-Programme 1.2: Human Resource Management,Annually,Human Resource Plan developed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",Reviewed Human Resources Plan ,"Human Resource Plan developed and 
approved.",,,,,,,Reviewed Human Resources Plan ,"Human Resource Plan developed and 
approved.",,None,None,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 1: Administration,Sub-Programme 1.2: Human Resource Management,Annually,Percentage of Performance Agreements signed by SMS officials,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",100 %,50 %,,,,,,,100 %,50 %,,"The due date for submission of signed PAs has been extended to 31st 
August 2024 by DPSA as a result of the national 2024 elections. ",Compliance status will only correctly be reported in Quarter 2.,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Ideal Clinic Status obtained rate (PHC),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,57 %,52 %,57 %,52 %,,"Scale up plan facilities for 2024/05 is 101
Total number facilities that achieved the ideal clinic status is 84, of which 17 facilities are not ideal
","Remaining facilities to be included on the scale up plan
 
All 161 fixed facilities must be ideal in 2025/26
",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Ideal Hospital Status obtained rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,27 %,18 %,27 %,18 %,,"
District hospitals category is unsatisfactory. 
NNVs are lacking.
","NNV to be 100%, emergency trolley items to be procured 
Calibration of equipment 


",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,0 %,,,,,,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Maternal Mortality in facility (Ratio - Per 100 000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,110 %,96.5 %,110 %,96.5 %,,"Monthly, and quarterly district and provincial Perinatal Morbidity and Mortality Review meetings conducted;
Provincial Maternal Death Assessors Meeting conducted 
Continuous in-service training on ESMOE and BANC Plus;
Improved coverage for Caesarean section and high risk clinics services at district level;
Improved working relationship between districts and Tertiary hospital (All patients discussed with senior MO/Consultant before referral)
Referral pathway and criteria clear between referring and the receiving facilities
","Monthly, and quarterly district and provincial 
Perinatal Morbidity and Mortality Review meetings conducted;
Provincial Maternal Death Assessors Meeting conducted 
Continuous in-service training on ESMOE and BANC Plus;
Improved coverage for Caesarean section and high risk clinics services at district level;
Improved working relationship between districts and Tertiary hospital (All patients discussed with senior MO/Consultant before referral)
Referral pathway and criteria clear between referring and the receiving facilities
",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,80 %,74 %,,"The following domains scored below the target: Cleanliness, Staff attitude, Patient safety

","Develop quality service delivery quality improvement plan to improve the affected areas

",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient experience of care satisfaction rate (PHC),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,80 %,78 %,80 %,78 %,,"The following domains scored below the target: Cleanliness, Staff attitude, Patient safety

","Develop quality service delivery quality improvement plan to improve the affected areas

",,,,,,,,,,,,,,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,All DS-TB client LTF rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",9 %,18.3 %,9 %,9 %,9 %,8 %,9 %,9 %,9 %,0 %,,,,,"•Poor treatment adherence. •District LTFU as follows: >JTG 26,0%
>FB 18,3%
>NMK 19,0%
>PKS 17,0%
>ZFM 16,0%.","•Strengthen counselling 
and treatment adherence at facility level.
•Conduct meeting with TB Coordinators (July 2024) to prioritise data clean-up and updating reports by end of the month.","Targets are aligned to the APP. Performance is above the provincial threshold. The high LTF rate needs to be addressed, as it increased in comparison with the 4th quarter output and 2023/24 pre-audited output. ","Three districts performed under the 9% target of the LTFU:
•JTG 10% (22/210)
•FB 7% (35/478) 
•JTG 10% (22/210)
•Namakwa 5% (9/187) 
•Pixley 8% (29/373)
•ZFM at 11% (53/478)","•Programme  to sustain and monitor performance 
closely in the next quarter.",Reduction in the Lost to follow up rate reflected in comparison with the previous quarter. (ZFM and JTG reflect outputs higher than 9%).,"Improvement due to active tracing of defaulters, awareness activities including data cleaning;
Three districts had a positive deviation, with a low LTFU rate than the target of 9%: FB 39/578 (7%) JTG with a rate of 5% (13/282) and ZFM with 8,3% (41/489), with Pixley 9% (37/419). Namakwa did not achieve target with 10% (29/281) .

","Programme to monitor performance closely in
 the next quarter and sustain good practices.
",Improvement quarter on quarter up to Q3 with the LTF at 8 in Q3 and below the provincial threshold. Districts needs to sustain good practices and Namakwa district to decrease LTF to contribute to a lower provincial LTF.,"Attributed to the low LTFU rate of Frances 
Baard 7% (39/576) followed by Pixley ka Seme with 9% (34/379) ZFM with 10% (33/333) JTG with 11% (27/247) and Namakwa with 12% (30/249).
","TB Data Quality Audits planned for next quarter 
in ZFM and JT Gaetsewe districts.","Average performance across all quarters remains around 9, equal to the set threshold. This is an improvement with the 16,1% achieved in the 2023/24 FY.",Concerning performance Pls alert NDoH manager as well,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,All DS-TB Client Treatment Success Rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",80 %,73.3 %,80 %,73 %,80 %,76 %,80 %,67 %,80 %,0 %,,,,,•High unfavourable outcome of LTFU rate which has direct bearing on treatment success.,"•Strengthen counselling and treatment adherence at facility level.
•Conduct meeting with TB Coordinators (July 2024) to prioritise data clean-up and updating reports by end of the month.","Targets are aligned to the APP. Performance of 91,6% achieved against the quarterly target. ","All districts performed under the 80%:
•FB 74% (345/478)
•JTG 65% (137/210)
•Namakwa 74% (139/187)
•Pixley 75%(283/373)
•ZFM the biggest percentage  drop (-7%) quarter on quarter 74% (336/452).","•Data reconciliation efforts underway at district level and updated
 report to be available by 20 October 2024.","Performance remains consistent in comparison with the previous quarter, but still below the provincial target. ",Performance attributed to the low Treatment success rate of JTG 201/282 (71%) followed by Pixley with 311/419(74%). Namakwa achieved and had highest rate of 225/281 (80%).,"Districts to conduct data clean up exercises and update the system 31
 January  2025.","Improvement in success rate reflected in the 3rd quarter, however still below the provincial threshold of 80%. Data challenges reflected as possible contributors to lower success rate reported, which needs to be addressed.","Four districts did not achieve the target of 80%, only Pixley ka 
Seme exceeded target with treatment success rate of 82% followed by ZFM with 77.9%, NMK at 71%, FBaard at 77.8%. Data outstanding for JTG","Outstanding data will  be updated after verification at district level
","A slight decrease in treatment success rate in the 4th quarter in comparison with previous quarters with an average performance of 72,3 across all quarters, which is below the annual target of 80%.",,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Antenatal 1st visit before 20 weeks rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",60 %,66.6 %,60 %,67.3 %,60 %,68 %,60 %,64.2 %,60 %,0 %,,,,,"Despite achieving the indicator the following challenges remain:
•No immediate bookings. 
•Late bookings.
•Mobiles and satellites not operational daily.
•Suboptimal screening and testing of women of reproductive potential.","•Continuous public health 
education and awareness campaigns. 
•Ongoing screening and testing of all women of reproductive potential at all levels of care.","Targets are aligned to the APP. Performance is on track up to the 1st quarter, with the quarterly target achieved. ","Despite achieving the target, the following challenges remain:
•Late bookings,
•Mobiles and satellites not operational daily;
•Suboptimal screening and testing of women of reproductive potential.
","•Continuous public health education and awareness campaigns.
•Ongoing screening and testing of all women of reproductive potential at all levels of care.","Performance is on track up to the 2nd quarter, with the performance remaining consistent in comparison with the previous quarter. ","Despite achieving the indicator, the following challenges remain:
Late bookings,  
Mobiles and satellites not operational daily;
Suboptimal screening and testing of women of reproductive potential

","Limited linkage to care following positive pregnancy testing;

Continuous public health education and awareness campaigns; 
Ongoing screening and testing of all women of reproductive potential at all levels of care;

",Performance is on track with a slight increase in performance quarter on quarter. 68% performance up to the 3rd quarter. ,"
Improved antenatal care screening before 20 weeks and testing of women of reproductive potential.-","Poor linkage to care following positive pregnancy testing;

Continuous public health education and awareness campaigns; 
Ongoing screening and testing of all women of reproductive potential at all levels of care;
","Quarterly target achieved with an average performance of 66,6% against the annual target of 60%. Challenges remain and have to be addressed to improve on antenatal care. ",,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART adult remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",95 %,57 %,95 %,59.4 %,95 %,58 %,95 %,55 %,95 %,0 %,,,,,"•Lack of treatment literacy provision to newly initiated patients on benefits of ART.
Sub-optimal ART data management and data capturing backlogs (unconfirmed lost to follow ups).","•Strengthen implementation of SOP 
1 fast track initiation counselling and treatment literacy
•Engage coordinators and sub-district information compliance officers to monitor unconfirmed lost to follow up line list and support data capturers to update tier.net with clinical visits.
•Conduct provincial U=U strategy and support districts to disseminate U=U strategy to enable Implementation of U=U strategy across the treatment cascade.",Targets are aligned to the APP. Performance of 60% achieved against the quarterly target up to the 1st quarter. ,"•Target not achieved despite data showing that there is growth on the overall total remaining in care – slow progress of putting in place structural interventions i.e adherence clubs.
•ART data capturing backlogs i.e none capturing of patient visits contributing to unconfirmed lost to follow-ups.
•Self-transfer outs due to retrenchments especially in the mining sector in the Tsantsabane sub-district.","•Cascade differentiated model of care trainings in all districts (non-
professionals and professionals) November & December 2024.
•Engage DHS on supervision of community health care workers which contributes to non-tracking and tracing of health care users disengaged from care.
•Capacitate health care providers on U=U strategy – district workshops planned for Quarter 3.
•Conduct U=U community dialogues with PLWHIV Quarter 3 and 4.","Slight improvement reflected in comparison with the 1st quarter, but still significantly lower than the 95% target. Data capturing backlogs remains a challenge. ","Sub-optimal implementation of DMOC minimum package of care interventions;
Fast track initiation counselling, Standard Operating Procedure (SOP) 5 – adherence clubs and RPC,s including SOP 7;
Tracing and recall to strengthen linkage to care and retention in care;
ART data outstanding from two districts (JTG & Pixley Ka Seme).

","Cascade DMOC SOPs training for professionals and non-professionals to 
strengthen linkage, adherence and retention in care;
Update Tier.Net on outstanding data;
","Consistent performance around an average of 58,1% remains significantly lower than the 95% target. Data challenges reflected needs to be addressed, as it compromises the reporting of credible data.","FB – 53.5%, JTG – 57.3%, NMK – 59.4%, PKS – 68%, 45.7%

Sub-optimal retention in care due to poor cohort monitoring.

Partial implementation of differentiated models of care to improve linkage and retention in care i.e. adherence clubs, tracking and tracking for re-engagement.

Outstanding ART data capturing (ULTF) due to process of data flow for Tier.Net, compete data will only be available at end of May 2025 after districts have loaded all their dispatch files into the system
","Implementation of close the gap campaign plan to re-engage health care 
users disengaged from care.

Cascade differentiated models of care training targeting non-professionals and professionals.



Data will be updated after all dispatch have been loaded and verified as per reporting timelines.
",Decrease in adult remain in care rate in Q4 in comparison with Q3. The outstanding ART data remains a challenge the needs to be addressed. ,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART adult viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",95 %,87 %,95 %,90.6 %,95 %,90 %,95 %,92.4 %,95 %,0 %,,,,,"•Sub-optimal implementation of guidelines i.e unsuppressed patients not recalled and provided enhanced adherence counselling.
•Unsuppressed viral loads not repeated 3 months after intervention of enhanced adherence counselling.
•Patients managed out of cohort leading to viral loads done out of cohort.
•Viral loads not recorded on the clinical stationary leading to non-capturing on tier.net.
•Viral loads not done due to disengagement from care/lost to follow up.

","•Follow up on 
implementation of DMOC quality improvement plans i.e implementation of SOP 2 enhanced adherence counselling and 
•Register high volume facilities to access viral load results for identifying unsuppressed viral loads and implementation of SOP 2 (enhanced adherence counselling).
•Onsite mentoring and training on cohort monitoring and management.
•Conduct audits and onsite training on recordkeeping.
•Support implementation of SOP 1 fast track initiation counselling and establishment of adherence clubs to support with retention of patients in care including tracking and tracing of early missed appointments.
•Conduct provincial workshop on U=U strategy and support districts to disseminate U=U strategy.
•Conduct dialogues with PLHIV on U=U strategy.","Targets are aligned to the APP. 91,6% performance against the quarterly target. Improvement from the 65,3% reflected for 2023/24 pre-audited. ","•Sub-optimal implementation of differentiated model of care SOP 1 (Fast track initiation counselling including SOP 2 – Enhanced adherence counselling for unsuppressed health care users.
•Tier.net ART data (viral load) capturing backlogs.
•Slow process of re-establishing adherence clubs to support retention in care.","•Cascade differentiated model of care trainings in all districts (non-
professionals and professionals) planned for November & December 2024.
•Scale up on registering facilities to access and action viral load results.
•Capacitate health care providers on U=U strategy – district workshops planned for Quarter 3.
•Conduct U=U community dialogues with PLWHIV Quarter 3 and 4.
•Audit files of unsuppressed adults on DTG based regimen for more than 2 years.","Positive trend reflected, improving quarter on quarter. 65,3% in 2023/24 improving to 87% in Q1 and 90% in Q2. ","Fast track initiation counselling;
Enhanced adherence counselling for unsuppressed health care users;
Tier.net ART data (viral load) capturing backlogs;
Sub-optimal implementation of guidelines i.e clients due for viral load not offered testing.

","Cascade DMOC SOPs (minimum package of interventions) training targeting professionals and non-professionals to strengthen linkage to care, adherence and retention in care;
Conduct U=U dissemination and orientation in Frances Baard and Pixley Ka Seme districts and implementation of U=U communication plan;
Update Tier.Net on outstanding data.

","Consistent performance reflected up to the 3rd quarter, but with the rate still below the annual target. Data challenges reflected, needs to be addressed as it compromises the reporting of credible data and may result in audit findings. ","Only FB achieved target (96%), other districts: JTG – 94%, NMK – 89%, PKS – 89%, 90%

Poor cohort monitoring leading to missed viral loads or viral loads done out of cohort.

Sub-optimal implementation of differentiated models of care standard operating procedures including non-recording and capturing of viral load results on tier.net.
","Support facilities to put systems in place to assist with cohort 
monitoring.

Cascade differentiated models of care training targeting non-professionals and professionals.

Conduct clinical audits for unsuppressed health care  on TLD2 for >2 years.
","Slight increase reflected in adult viral load suppressed rate for Q4 in comparison with previous quarters, but still below the target. ",,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART child remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",95 %,69 %,95 %,70 %,95 %,71 %,95 %,60 %,95 %,60 %,,,,,"•Lack of treatment literacy provision to newly initiated patients on benefits of ART.
•Sub-optimal ART data management and data capturing backlogs.","•Strengthen implementation of SOP
 1 fast track initiation counselling and treatment literacy for care givers.
•Engage coordinators and sub-district information compliance officers to monitor unconfirmed lost to follow up line list and support data capturers to update tier.net with clinical visits.","Targets are aligned to the APP. Performance of 72,6% achieved against the quarterly target up to the 1st quarter. Slight decrease reflected in comparison with the 2023/24 pre-audited data. ","•Lack of disclosure counselling for children and adolescents which impacts on retention and viral load suppression.
•Sub-optimal implementation of tracking and tracing of health care users due for viral load monitoring.  
•Challenges with supervision of community health workers.","•Conduct disclosure counselling for social workers and nurses  
planned for 21-22 October 2024.
•Engage DHS on supervision of community health care workers which contributes to non-tracking and tracing of health care users disengaged from care.
•U=U community dialogues with PWLHIV Quarter 3 and 4.","Slight improvement reflected in comparison with the 1st quarter, but still 25% lower than the 95% target. ","Sub-optimal implementation of DMOC minimum package of interventions i.e SOP 1; Fast track initiation counselling and SOP 3 – Child and adolescent disclosure counselling and SOP 7 – Tracing and recalling;
ART data outstanding from two districts (JTG & Pixley).


","Cascade DMOC minimum package of interventions SOPs training ie. SOP 1, SOP 3 and SOP 7 to strengthen linkage to care and retention in care;
Conduct clinical audits and support develop of QI interventions;
Update Tier.Net on outstanding data.
","Consistent performance around an average of 70% remains lower than the 95% target. Data challenges reflected needs to be addressed, as it compromises the reporting of credible data.","Only JTG achieved target (100%), other districts: FB – 53.8%, NMK – 50%, PKS – 78%, 54%

Sub-optimal retention in care due to poor cohort monitoring.

Partial implementation of differentiated models of care to improve linkage and retention in care i.e adherence clubs, tracking and tracking for re-engagement.

Outstanding ART data capturing (ULTF) due to process of data flow for Tier.Net, compete data will only be available at end of May 2025 after districts have loaded all their dispatch files into the system
","Implementation of close the gap campaign plan to re-engage health care
 users disengaged from care.

Cascade differentiated models of care training targeting non-professionals and professionals.




Data will be updated after all dispatch have been loaded and verified as per reporting timelines.
",Decrease in child remain in care rate in Q4 in comparison with Q3. The outstanding ART data remains a challenge that needs to be addressed. ,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART child viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",95 %,45 %,95 %,57.1 %,95 %,73 %,95 %,53 %,95 %,0 %,,,,,"•Sub-optimal implementation of guidelines i.e unsuppressed patients not recalled and provided enhanced adherence counselling.
•Unsuppressed viral loads not repeated 3 months after intervention of enhanced adherence counselling.
•Slow progress of transitioning children to optimized regimens.
•Viral loads not recorded on the clinical stationary leading to non-capturing on tier.net.
•Rejected viral loads not repeated and challenges with phlebotomy
•Viral loads not done due to disengagement from care/lost to follow up.
","•Follow up on 
implementation of DMOC quality improvement plans i.e implementation of SOP 2 enhanced adherence counselling and 
•Register high volume facilities to access viral load results for identifying unsuppressed viral loads and implementation of SOP 2 (enhanced adherence counselling)
Scale-up on transitioning children to optimised regimens
•Conduct audits and onsite training on recordkeeping.
•Register facilities to access viral load results for action to identify rejected viral loads for repeating.
•Support implementation of SOP 1 fast track initiation counselling and establishment of adherence clubs to support with retention of patients in care including tracking and tracing of early missed appointments.","Targets are aligned to the APP. 47% performance against the quarterly target. Improvement reflected from 22,6% in 2023/24 pre-audited data. ","•Lack of disclosure counselling for children and adolescents which impacts on retention and viral load suppression.
•Sub-optimal implementation of tracking and tracing of health care users due for viral load monitoring due to challenges with supervision of community health workers.","•Conduct disclosure counselling for social workers and nurses 
planned for 21-22 October 2024.
•Capacitate health care providers on U=U strategy – district workshops planned for in Quarter 3.
•Engage DHS on challenges related to tracking and tracing of health care users disengaged from care.
•U=U community dialogues with PLWHIV Quarter 3 and 4.
•Audit files of unsuppressed children.","Positive trend reflected, improving quarter on quarter. 22,6% in 2023/24 improving to 45% in Q1 and 57,1% in Q2. ","16% improvement noted and performance still below the expected norm of 95% Sub-optimal implementation of DMOC SOP 1 (Fast track initiation counselling including SOP 2 – Enhanced adherence counselling for unsuppressed health care users and SOP 3 – Child and adolescent disclosure counselling;
Tier.net ART data (viral load) capturing backlogs.


","Cascade Child and Adolescent disclosure counselling SOP - 3
 training and strengthen implementation of SOP 1 and SOP 2 to strengthen adherence and retention in care by conducting clinical audits and development of QI plans;
Back-capturing of ART data backlogs.
","Quarter on quarter improvement reflected up to the 3rd quarter, but with the rate still significantly below the annual target. Data challenges reflected, needs to be addressed as it compromises the reporting of credible data and may result in audit findings.","Only JTG achieved target (100%), other districts: FB – 67%, NMK – 0%, PKS – 50%, 25%

Poor cohort monitoring leading to missed viral loads or viral loads done out of cohort.

Sub-optimal implementation of differentiated models of care standard operating procedures including non-recording and capturing of viral load results on tier.net.
","Support facilities to put systems in place to assist with cohort 
monitoring.

Cascade differentiated models of care training targeting non-professionals and professionals.

Conduct clinical audits for unsuppressed health care  on TLD2 for >2 years.
",Significant decrease in the ART child viral load suppressed rate in the 4th quarter in comparison with the 3rd quarter. ,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Cervical cancer screening coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",30 %,31.9 %,30 %,32.3 %,30 %,34.7 %,30 %,40.7 %,30 %,0 %,,,,,"Target achieved, however the following challenge remains:
•Sub-optimal screening.","•Screening at all levels of care.

•Continuous public health education and awareness campaigns.
•Continuous trainings and mentoring.",Targets are aligned to the APP. Performance is on track up to the 1st quarter with the quarterly target achieved. ,"•Despite achieving the target, the following challenges remain:
•Sub-optimal screening.","•Screening at all levels of care; 
•Continuous public health
 education and awareness campaigns;
•Continuous trainings and mentoring.",Performance is on track and quarterly targets achieved up to the 2nd quarter. ,"Despite achieving the indicator, the following challenges remain:
Sub-optimal screening of (pregnant women, HIV positive women at all levels of care;
and not offered on demand;
Delayed procurement of equipment.
","Screening at all levels of care; 
Continuous public health 
education and awareness campaigns;
Continuous trainings and mentoring
Emphasize adequate 
specimen collection;
Provision of screening on demand.
","Gradual increase reflected quarter on quarter, maintaining a coverage above the provincial target. Performance on track against the annual target up to the 3rd quarter. ","Cervical cancer screening targets set in some districts (Namakwa) to improve on screening coverage;
Continuous training and monitoring of specimens
NHLS rejections  
","Target setting for cervical cancer screening at all facilities;

Emphasise screening of all eligible women on demand at all levels of care; 
Continuous public health education and awareness campaigns;
Continuous trainings and mentoring
",Improvement noted quarter on quarter with quarterly targets achieved. ,,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",2.9 %,2.9 %,2.9 %,3.5 %,2.9 %,2.2 %,2.9 %,1.2 %,2.9 %,0 %,,,,,"Target achieved, however the following challenges remain.

•Delay in seeking medical care by communities
•Poor establishment of rehydration corners.","•Continuous public health 
education and awareness campaigns.
•Continuous trainings, mentoring and support visits.
•Establishment of Rehydration Corner.
•Poor auditing of death under 5’s;
•Delay in seeking medical care by communities
•Delay in implementing immediate care and investigations; 
•PHCWBOT’s involvement in Maternal and Child health services.","Targets are aligned to the APP. Performance is on track up to the 1st quarter, as per the reported data. Increase reflected in comparison with the 1,8% reflected in 2023/24 pre-audited data.","•Delay in seeking medical care by communities
•Rehydration corners are not well established. ","•Continuous public health education and awareness campaigns;
•Continuous trainings, mentoring and support visits;
•Establishment of Rehydration Corners;
•Poor auditing of death under 5’s;
•Delay in seeking medical care by communities;
•Delay in implementing immediate care and investigations; 
•PHCWBOT’s involvement in Maternal and Child health services.",Increase reflected in the 2nd quarter with the fatality rate above the provincial threshold. ,"Despite achieving the indicator
The following challenges remain: Delay in seeking medical care by communities
Poor establishment of rehydration corners;
Poor auditing of death under 5’s;
Delay in implementing immediate care and investigations; 
","Oral rehydration corners in every clinic and Community Health 
Centre; Continuous public health education and awareness campaigns, trainings, mentoring and support visits;
PHCWBOT’s involvement in Maternal and Child health services.
","Decrease reflected in the 3rd quarter with the diarrhoea case fatality rate below the provincial threshold. Average performance of 2,86% up to the 3rd quarter. ","Monthly and quarterly district and provincial Perinatal and Child Morbidity and Mortality Review meetings conducted; 
Availability of rehydration corners in all districts;

","Continuous public health education and awareness campaigns, 
Trainings, mentoring and support visits;
Track and tracing by PHCWBOT’s;
Emphasise on auditing of deaths for targeted approach

","Significant improvement reflected in comparison with the previous quarters, with output below the provincial threshold in the 4th quarter. ",,,,,82
Health,Health,Northern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years pneumonia case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",2.7 %,2.7 %,2.7 %,3.5 %,2.7 %,1.4 %,2.7 %,2.6 %,2.7 %,0 %,,,,,"Target achieved, however the following challenges remain:
•Lack of essential equipment and high care units at district hospitals.
•Poor auditing of death under 5’s;
•Delay in seeking medical care by communities.
•Delay in implementing immediate care and investigations.
•Lost to follow up on chronic medication.","•Continuous public health education and awareness; 
•Continuous support visits and training;
Continuous auditing of child under 5 deaths.
","Targets are aligned to the APP. Performance is on track up to the 1st quarter, as per the reported data. Decrease reflected in comparison with the 3,1% reflected in 2023/24 pre-audited data","•Lack of essential equipment and high care units at district hospitals;
•Auditing of death under 5’s is not efficiently done.
•Delay in seeking medical care by communities;
•Delay in implementing immediate care and investigations;
•Lost to follow up on chronic medication.","•Continuous public health education and awareness; 
•Continuous support visits and training;
•Continuous auditing of child under 5 deaths.",Increase reflected in the 2nd quarter with the fatality rate above the provincial threshold. ,"Despite achieving the indicator, the following challenges remain:
Lack of essential equipment and high care units at district hospitals;
Poor auditing of death under 5’s;
Delay in seeking medical care by communities;
Delay in implementing immediate care and investigations;
 Lost to follow up on chronic medication.
","Continuous public health education and awareness campaigns, trainings, mentoring and support visits;
PHCWBOT’s involvement in Maternal and Child health services Continuous auditing of child under 5 deaths.
","Significant improvement in the 3rd quarter with the pneumonia case fatality rate well below the provincial threshold. Average performance over the three quarters at 2,5","Monthly, and quarterly district and provincial Perinatal and Child Morbidity and Mortality Review meetings conducted; 
Improved, paediatric care interventions at district level

","Continuous public health education and awareness campaigns, 
Trainings, mentoring and support visits;
Track and tracing by PHCWBOT’s;
Emphasise on auditing of deaths for targeted approach

","Increase in pneumonia fatality rate in the 4th quarter, in comparison with the 3rd quarter, whic is a concern. The output is still below the provincial threshold. ",,,,,82
