Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,OTP_Q3,National_Q3,National_Q4,UID
Social Development,Social Development,Mpumalanga,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of beneficiaries receiving psychosocial support services,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",1620,639,1620,1154,1620,1169,1620,1287,1620,1287,1716,There were more beneficiaries who received psychosocial support,Target for 2025/26 were reviewed,,Under achievement is due to limited human resource capacity to provide the services. ,To create awareness and capacitate more NPOs,,There were NPOs that could not be funded since beginning of the financial year due to not meeting norms and standard. N,New calls  for proposals were made and hopefully qualified NPOs will be funded,Under achievement is due to limited capacity to implement the programme ,Intensify the HIV Testing Screening to ensure institutionalization of the programme within the Department ,Limited capacity to implement the service due to delayed in the appointment of new service provider coupled with staff turnover during the reporting period.,None,,"Although the targeted output is not achieved for this indicator, reason for deviation and corrective action are noted.",Performance is noted for this indicator with reason for deviation and corrective action in place.,,Performance is noted for this indicator.,Underachievement for this indicator is noted with reason for deviation reported.,106
Social Development,Social Development,Mpumalanga,Programme 2:  Social Welfare Services,Sub Programme 2.5: Social Relief,Quarterly,Number of beneficiaries who benefitted from social relief of distress interventions,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",1599,325,3331,3149,3649,8115,1921,1888,10500,13477,13076,"Over achievement is due to demand of service following disasters that occurred in Ehlanzeni and Gert Sibande Districts 
",None,,The service is need driven,None,,Service is dependent on need,None,"The target was over-achieved due to disasters that occurred in all three Districts namely Ehlanzeni District, Nkangala District and Gert Sibande District. Support was provided to families and individuals who were in need of social relief.",Advocate for the allocation of more funding to ensure provisioning of Social Relief of Distress to needy families.  Partnering with other stakeholders and the private sector to provide support to families and individuals in need of social relief.  ,The service is need driven,None,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,1.Number of family members participating in family preservation services.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",1329,1641,1604,1906,1418,1516,1294,1632,5645,6695,6693,"The capacity buildings  for families were intensified and this resulted in an over-achievement in this the current financial year

(2) Information was shared with various communities through prevention and advocacy campaigns on issues that are affecting families and this resulted to a higher intake on the services. ( 1st quarter 30th celebration of the International year of families and 2nd quarter National Marriage week and International Men’s Day)
",,,Services were intensified to address the backlog from the previous quarters. ,None,,The service is need driven,We will continue to market services rendered by the department,"The overachievement is due to intensified capacity buildings that were provided to service providers in the districts, funded NPO’s and the development partners",To continue monitoring the trends,There is an overachievement that is attributed to intensified capacity building which has led to a positive impact. This was coupled with prevention and advocacy campaigns. Integration of services in the children and families sub-programmes and reporting on NPO’s were also strengthened.,Targets have been adjusted accordingly in the 2025/26 financial year,actual output not captured,Targeted output is overachieved with reason for deviation reported.,Performance is noted for this indicator with reason for deviation and corrective action in place.,,Reasons for deviation and corrective action noted for this indicator with overachievement reported.,"Although nothing is reported as an actual, reason for deviation and corrective action should have been included for this indicator.",106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members participating in parenting programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",520,366,607,602,518,599,508,359,2153,359,1909,"Service is need driven. The department will continue monitoring the services rendered by the department
",None,,Service is need driven,None,,The service is need driven,We will continue to market services rendered by the department,The over-achievement was due to an improvement in the reporting on individual and parenting groups,To continue monitoring the trends,There is an under achievement in two(2) Districts .In one district there has been a slow reporting and the other district one sub-district is affected because of the closure of offices,Targets have been adjusted accordingly in the 2025/26 financial year,actual output not captured,Underachievement with reason for deviation is noted.,Performance is noted for this indicator with reason for deviation and corrective action in place.,,Reasons for deviation and corrective action noted for this indicator with overachievement reported.,"Although nothing is reported as an actual, reason for deviation and corrective action should have been included for this indicator.",106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members re-united with their families,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",57,43,60,67,49,71,47,72,213,253,253,"Capacity building on the reunification guideline for families has been provided to all the districts and this has an impact on reporting.
",,,Service is need driven,None,,The service is need driven,We will continue to market services rendered by the department,Strengthening for integration on reporting within the welfare sector has resulted in more family members being reunited which addressed the previous backlog. More family members were ready for the reunification service.,To continue monitoring the trends,This indicator is a need driven indicator. More families were ready for the reunification process. ,Targets have been adjusted accordingly in the 2025/26 financial year,actual output not captured,Although targeted output is not achieved reason for deviation is noted.,Performance is noted for this indicator with reason for deviation and corrective action in place.,,Reasons for deviation and corrective action noted for this indicator with overachievement reported.,"Although nothing is reported as an actual, reason for deviation and corrective action should have been included for this indicator.",106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,1.Number of reported cases of child abuse ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",198,334,184,377,199,394,174,394,755,1499,1592,The service is dependent on referrals,None,,The service is dependent on need,None,,The service is need driven,Continue to market services rendered by the department,The service is need driven,Monitor trends to inform future planning,Service is dependent on reported cases,None,,"Although this is a negative indicator, overachievement shows an increase in the awareness sessions on child abuse.",Overachievement is noted for this indicator and this shows the Department's determination with regards to awareness considering this is a negative indicator.,,Reasons for deviation and corrective action noted for this indicator with overachievement reported.,Overachievement for this indicator shows determination in terms of awareness with regards to services of abuse cases.,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,2.Number of children with valid foster care orders.,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",380,439,420,412,393,189,340,552,1533,552,552,The service is dependent on referrals,None,,Achievement is dependent on the number of valid foster care orders,None,,The cases are still being attended to by the courts,None,The service is need driven,None,The achievement is as per the valid foster care orders,None,,Targeted output is overachieved for this indicator and this will solve the foster care backlogs in the future.,Performance for this indicator shows an improvement with regards to services related to foster care. ,,performance is noted for this indicator,Performance for this indicator shows an improvement with regards to services related to foster care.,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Default,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children adopted,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",11,6,17,11,13,12,14,8,55,37,37,Service is need driven,,,The service is dependent on need,None,,The service is need driven and there are a lot of processes that should be followed before adoption can be finalised,None,The service is need driven,None,The service is dependent on need,None,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children placed in foster care,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",118,150,128,126,95,78,103,70,444,424,429,"The under achievement is due to the implementation of  amended Regulationn56(1) of the Children`s Act where missing parents are no longer advertised but put on notices on the departmental website
",None,,The achievement is as a result of reprioritization of foster care placement cases,None,,None,None,The under achievement is due to clients referred for CSG –Top-up,None,The introduction of the top-up grant resulted in less children qualifying for foster care placements.,Targets have been adjusted accordingly for the 2025/2026 financial year.,,Overachievement with reason for deviation is noted for this indicator.,Targeted output is achieved for this indicator.,,Underachievement is acknowledged for this indicator.,Performance for this indicator shows an improvement with regards to services related to foster care.,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,1. Number of children placed in Child and Youth Care Centers.,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",1093,1071,1093,1106,1093,1118,1093,1078,1093,1118,1239,"Over achievement is due to admission of emergency cases mostly referred by SAPS and Social Workers for overnight and during school holidays where cases of child neglect/ abandonment and unaccompanied minors and suspected child trafficking which needs emergency admission for temporary safe care programme.

",None,,Service is dependent on requests received,None,,"There were more children admitted in the centres and admission is as per request, hence the achievement",None,Overachievement is due to admission of emergency cases mostly referred by SAPS for overnight and during school holidays where cases of child neglect are reported which needs admission for temporary safe care,None,Closure of SOS Children’s Village in Ehlanzeni District has impacted on the number of children placed in the CYCC,Target was adjusted for the 2025/26 financial year taking into consideration the closure of the CYCC and new CYCCs that have applied for funding,,"Targeted output is underachieved for this indicator, reason for deviation is noted.",Overperformance is noted for this indicator with reason for deviation.  ,,Reasons for deviation noted for this indicator with overachievement reported.,Performance for this indicator shows an improvement with regards to services related to childcare and protection.,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,2.Number of children in CYCCs re-unified with their families,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",10,18,15,21,22,24,11,14,58,77,88,Service is need driven,None,,Service is dependent on need,None,,The service is need driven,None,Service is need driven,None,The service is need driven,None,,Overachievement with reason for deviation is noted for this indicator.,Overperformance is noted for this indicator with reason for deviation.  ,,,Performance for this indicator shows an improvement with regards to services related to childcare and protection.,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Quarterly,1.Number of children reached through community based prevention and early intervention programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",12797,16640,5773,6124,4680,2206,3346,3094,26096,28064,27828,"The Child and Youth Care Workers embarked on an extensive drive to each all children in their database to assess level o vulnerability during the 1st quarter. This resulted in an over-achievement.
",None,,The service is dependent on referrals received from schools and communities,None,,There was a demand for the service,None,There were minimal recruitment of beneficiaries in the 3rd quarter as the service depends on the need.  Lesser number of children was reached by programme implementers.,To continue monitoring the trends,More children were reached during the 1st quarter and all identified cases in the funded areas are receiving the services. There is already overachievement for the annual target.,Target per quarter has been reviewed for the 2025/26 financial year,,Overachievement with reason for deviation is noted for this indicator.,,,Underachievement is acknowledged for this indicator.,Performance for this indicator shows an improvement with regards to services related to childcare and protection.,106
Social Development,Social Development,Mpumalanga,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Quarterly,Number of children accessing  registered partial care facilities,Not Applicable,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",218,111,200,420,560,295,608,401,608,401,503,there has been a decline in number of children accessing registered partial care since the transfer of EVD to DoE,None,,The were few children who accessed the partial care centres,Monitor trends,,More children accessed partial care ,None,there are few partial care facilities registered,None,The are few children accessing partial care facilities,None,,,Overperformance is noted for this indicator with reason for deviation.  ,,Performance is noted for this indicator.,Performance for this indicator shows an improvement with regards to services related to childcare and protection.,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,1.Number of persons reached through social crime prevention programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",3129,10821,5061,11980,4658,9793,3418,11036,16266,43630,43612,"Collaboration with funded NPOs and other relevant stakeholders contributed to the over achievement
",None,,"Over achievement due to a collaboration with funded NPOs on prevention services
",None,,Over achievement due to collaboration with funded NPOs and other stakeholders in the field of restorative justice,None,Collaboration with funded NPOs and other relevant stakeholders contributed to the over achievement,None,Collaboration with funded NPOs and other relevant stakeholders contributed to the over achievement,None,,"Overachievement recorded for this indicator with reason for deviation, this shows that a lot of awareness sessions were done.",Performance is noted for this indicator with reason for deviation.  ,,Reason for deviation noted for this indicator with overachievement reported.,Over achievement recorded with reasons for deviation reported.,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,3. Number of children in conflict with the law who accessed secure care centres,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",25,12,25,13,25,14,25,14,100,53,53,Service is dependent on referrals,None,,"Service is dependent on referrals
",None,,There were renovations taking place at the centre. hence it could not admit to its full capacity,None,Service is dependent on referrals,None,Service is dependent on referrals,None,,"Targeted output is underachieved, reason for deviation is acknowledged for this indicator.",Performance is noted for this indicator with reason for deviation.  ,,Performance is noted for this indicator.,Under achievement recorded with reasons for deviation reported.,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Number of children in conflict with the law who completed diversion programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",168,265,181,289,169,249,175,184,693,987,984,Service is dependent on referrals,None,,"Over achievement is due to high number of referrals received from local courts.
",None,,Over achievement due to more referrals received from local courts,None,Overachievements due to more referrals received from local courts,None,Service is dependent on referrals,None,,Overachievement with reason for deviation is noted for this indicator.,,,,Over achievement recorded with reasons for deviation reported.,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,1.Number of victims of crime and violence accessing support services ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",567,524,590,709,624,565,468,725,2249,2523,2533,"The overachievement is due to demand for services and intensification of awareness campaigns
",None,,"Service is dependent on referrals
",None,,Positive impact on the reporting of cases that more victims are getting the necessary support,Intensify awareness campaigns on gender based violence and reporting thereof,Fewer referrals were received ,None,There were more referrals received.,None,,Targeted output is underachieved with reason for deviation noted.,Overperformance is noted for this indicator with reason for deviation.  ,,Underachievement reported with reason for deviation in place.,Overachievement for this indicator shows determination in terms of awareness with regards to services to victims of violence.,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,3.Number of human trafficking victims who accessed social services,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",11,0,9,0,31,2,11,133,62,135,136,Service is dependent on referrals received,None,,"Service is dependent on referrals from other stakeholders
",None,,Service is dependent on referrals by other stakeholders,None,Fewer referrals were received ,None,Increase of suspected and victims referrals received from the SAPS/HAWKS(through operation valamgodi).,None,,Targeted output is underachieved with reason for deviation reported for this indicator.,Reason for deviation is noted for this indicator although zero output is reported.,,Performance is noted for this indicator.,Overachievement for this indicator shows determination in terms of awareness with regards to services of human trafficking.,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,0,0,,0,,0,,0,0,0,,,,0,0,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,2.Number of service users who accessed Substance Use Disorder (SUD) treatment services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",651,751,633,607,571,533,345,698,2200,2589,2588,"Overachievement is due to increase in referrals received
",None,,Service is dependent on referrals,None,,Under achievement due to fewer referrals,Intensify awareness campaigns on the scourge of substance abuse amongst the youth and their families,Underachievement due to fewer referrals received,None,Overachievement due to demand for service and treatment centers roadshows,None,,Underachievement with reason for deviation noted for this indicator.,Performance is noted for this indicator with reason for deviation and corrective action in place.  ,,,Overachievement for this indicator shows determination in terms of awareness with regards to services of substance abuse.,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of people reached through substance abuse prevention programmes,Not Applicable,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",12025,35227,10950,32465,10225,27491,10050,29544,43250,29544,124727,"Collaboration with funded NPOs and other relevant stakeholders contributed to the over achievement

",None,,There was a demand for the service,None,,Over achievement due to collaboration with funded NPOs and other stakeholders in the field of restorative justice,Intensify awareness campaigns on the scourge of substance abuse amongst the youth and their families,Over achievement due to intensity of festive season campaigns conducted and collaboration with funded NPOs ,None,Collaboration with funded NPOs and campaign conducted in institutions of higher learning contributed to the over achievement,None,,Targeted output is overachieved with reason for deviation reported.,Overperformance is noted for this indicator with reason for deviation and corrective action in place.  ,,Reason for deviation noted for this indicator with overachievement reported.,Overachievement for this indicator shows determination in terms of awareness with regards to services of substance abuse.,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.1: Management and Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,1.Number of NPOs capacitated ,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",585,673,640,697,450,698,247,218,1922,698,2252,"Overachievement due to that a high number of NPOs attended the NPO Roadshows in  all the districts  
   
Overachievement due to that a high number of NPOs attended the NPO Roadshows in  all the districts  
   
",None,,"More NPOs were reached than planned due to high response and demand of the services from the communities 
",None,,Overachievement due to that a high number of NPOs attended the N PO Roadshows in Nkangala District than planned,None,More NPOs attended the NPO roadshow,None,There was overachievement in the previous quarters due to  more NPOs were reached during the NPO Roadshows in Nkangala and Gert Sibande Districts and the implementation of the deregistration campaign. The annual target will be exceeded.,Target reviewed for 2025-26 fin year,,Overachievement with reason for deviation reported for this indicator.,Performance is noted for this indicator with reason for deviation.  ,,Performance is noted for this indicator with reason for deviation in place.,Under achievement recorded with reason for deviation reported.,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,1.Number of people benefitting from poverty reduction initiatives.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",0,0,260,109,0,156,0,147,260,412,314,Service is dependent on the number that benefitted from the initiaves,None,,Output not planned for this quarter,None,,There were delays in the appointment of service providers to render services in Nkangala and Gert Sibande District.,The department will fast-track the appointment of the service providers and ensure that the outstanding services to the households are fully implemented in the 3rd quarter.,Backlog from previous quarter,None,The 2nd quarter target was not achieved. This is a backlog from the previous quarter,None,,,Performance is noted for this indicator with reason for deviation.  ,,Performance is noted although nothing was targeted for this indicator.,Actual output is reported although nothing was targeted for this quarter.,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,3.Number of people accessing food through DSD feeding programmes (centre-based),Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",2200,2346,2200,1957,2200,1985,2200,0,2200,6288,3175,Service is dependent on need,None,,"The number of people reached were more than the planned target due to high response and turn up of the food insecure  beneficiaries  from the communities 
",None,,"Under achievement due to delays in transferring fund to the Implementing Agency and furthermore, one of the CNDCs could not be fully  supported due to burglary and theft on the site","To monitor the transfer of payments to the NPOs with the support of the finance unit

To facilitate the repairs and installation of security measures and the maintenance of the facility.
",One CNDC could not provide meals due to burglary experienced,None,Contract for the agent expired and funds could not be transferred,None,,Targeted output is overachieved for this indicator.,Overperformance is noted for this indicator with reason for deviation.  ,,Performance is noted for this indicator with reason for deviation in place.,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of EPWP job opportunities created,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",800,800,800,800,800,800,800,800,800,800,863,None,None,,None,None,,None,None,None,None,None,None,,Targeted output is achieved.,Targeted output is achieved for this indicator.,,Targeted output achieved.,Targeted output is achieved for this indicator.,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,2.Number of communities profiles,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",143,136,0,4,0,4,0,0,143,0,144,None,None,144,"7 outstanding profiles from Mkhondo due to labour-related problems 
",None,,This is to cover for the shortfall in the first quarter,Ensure that implementation happens as planned,Backlog from the previous quarters,None,Output not planned for this quarter,None,,Underachievement with reason for deviation is noted for this indicator.,,,,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,0,0,,0,,0,,0,0,0,,,,0,0,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Number of youth development structures supported,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",53,35,53,50,53,51,53,51,53,51,51,2 NPOs could not be funded due to non compliance issues,they will be funded in 2025/26 fin year,,Some Youth development centres could not be supported due to not meeting the norms and standard,Calls for proposals was advertised,,Some organisations were not recommended after it was found that they had used fraudulent documents during application. ,These organizations will be replaced as soon as the verification process is completed.,2 Npos could not be funded due to compliance issues,Continue providing support the affected NPOs,The under achievement was as a result that the department could not find a suitable and eligible NPOs from Nkangala District that meet the funding requirements and compliance criteria during assessment,The department will continue with assessment and the outstanding organisations will be funded in the next financial year. ,,Targeted output is achieved.,Performance is noted for this indicator with reason for deviation.  ,,Reason for deviation and corrective action noted for this indicator with underachievement reported.,Under achievement recorded with reason for deviation and corrective action reported.,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Number of youth participating in mobilisation programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",362,461,452,507,0,44,0,0,816,1012,878,There were more youth reached during the mobilization sessions,None,,"The number of youth reached where more than the planned target due to high response and turn up of young people during the mobilization campaigns in the month of June.
",None,,The deviation was due to the fact that the target is dependent on turnout which was more that the planned target ,None,Backlog for the previous quarter,None,Output not planned for this quarter,None,,Targeted output is overachieved with reason for deviation reported.,Overperformance is noted for this indicator with reason for deviation.  ,,Performance is noted for this indicator although nothing was targeted for.,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.7:	Women development,Annually,Number of women NPOs supported,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",,,,,,,3,2,3,2,2,One NPO could not be funded due to non compliance with the NPO act,NPO will be funded in 2025/26 fin year,2,,,,,,,,,,,,,,,,106
Social Development,Social Development,Mpumalanga,Programme 5: Development and Research,Sub Programme 5.7:	Women development,Quarterly,1. Number of women participating in empowerment programmes.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the social wage through reliable and quality basic services,"The Social Protection, Community and Human Development cluster",450,0,1584,1098,1316,1451,450,715,3800,3264,3194,"1 NPO could not be funded, hence the under performance",NPO to be funded in the next fin year,3194,The sessions were conducted due to unavailability of personel,The session were deferred in the 2nd quarter,,One NPO could not be funded and this affected performance of this output,The department to continue supporting women NPOs to ensure that more women gets empowered and to encourage registration on Women NPOs,More women participated in the women programmes,None,Overachievement due to backlog of the previous quarter,None,,Reason for deviation and corrective action are noted for this indicator.,Performance is noted for this indicator with reason for deviation and corrective action in place.  ,,Reason for deviation noted for this indicator with overachievement reported.,,106
