Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,UID
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Programme 2: Public Works Infrastructure,Quarterly,Number of Facilities provided,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,0,,0,0,6,3,,,,,No Deviation,Not Applicable,,No deviation,Not applicable,,,No deviation,Not applicable,Unable to assess as preliminary report is not provided,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Programme 2: Public Works Infrastructure,Quarterly,Number of utilisation inspections conducted for office accommodation,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,1,,,,,No Deviation,Not Application,,No deviation,Not applicable,No Deviation,Not Applicable,No deviation,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Property and Facility Management,Quarterly,Number of properties released for socio-economic infrastructure development,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",0,,3,12,6,6,11,2,20,20,,,,,,,,Overachievement is due to 10 assets (closed schools) that were surrendered by GDE and re-allocated to DED to support the Township Revitalization Strategy,Not applicable,No Deviation,Not Applicable,Target achieved in previous quarters,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Property and Facility Management,Quarterly,Number of properties sold,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release",Not Applicable,5,5,10,1,0,,0,0,15,6,,,,,No Deviation,Not Applicable,,"Government officials in occupation of  houses approved for disposal are resisting to buy at market value citing lack of affordability.

Delay in Public Works processing the Deed of Donation for the 35 Properties.  

The residential houses identified for disposal are not formally surrendered as surplus.
","•	Process to conduct affordability assessment on government officials who are in occupation of the houses approved for disposal is currently underway. 

•	Pending feedback on the signing of the Deed of Donation by NDPWI
o	Continuous engagements with user departments  on disposal considerations.  Thereby allow them to exercise their rights to object if need be.
",,,No deviation,Not applicable,Unable to assess as preliminary report is not provided,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Property and Facility Management,Quarterly,Number of properties transferred to the third parties,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",0,,5,2,0,,0,0,5,2,,,,,,,,Cash buyers have not paid the purchase price in full. Transfers of the properties cannot be concluded until the purchase price is paid.,"The Department has followed necessary processes to encourage payment.  However, despite numerous attempts, payments were not made.  Therefore, eviction processes will commence.",,,No deviation,Not applicable,Unable to assess as preliminary report is not provided,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.1: Programme support,Annually,Rand value of municipal rates and taxes paid,Non-Standardized,Not  Applicable,Not Applicable,"Economy, Jobs and Infrastructure ",Not Applicable,,,,,,,983000000,761193396.98,983000000,761193396.98,,Budget constraints -  No funds available  to service rates and taxes accounts,"The number reported as cumulative output in Q4 was achieved and reported in the previous quarters.
Payments will commence as soon as funds are available.
Engagements with municipalities held and  payment plan communicated.
",,,,,,,,,,,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.1: Programme support,Quarterly,Rand value of revenue collected from GPG property portfolio (Disposal and leases),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",4000000,5541308.23,9000000,R19 430 813.64 ,2000000,2550333.27,19000000,"R2 659 240,44 
",34000000,0,,,,,Overachievement due to the sale of capital assets. Two properties were transferred between April and May 2024,Not Applicable,,Deviation due to revenue that was received but not included in Q1.  This was as a result of timing differences between performance reporting and processing on BAS. ,Not applicable,"Overcollection is due to the sale of properties for R650 K in October 2024.  Also, that the projections for to Q3 were revised",Not Applicable,"Resistance from tenants to pay monthly rent due.

Expired lease agreements
","The service provider is appointed for debt collection. 

Tracking progress on matters handed over to legal. 

Continuous one-on-one engagements with top owing tenants. 
",,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.3: Design,Quarterly,Number of Infrastructure designs ready for tender (IDMS Gate 4),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",5,7,9,8,5,5,4,4,23,24,,,,,Hoerskool Elburg and Rantailane were pre-achieved. Projects planned for Quarter 2. ,Not Applicable,,The Client has not yet committed funds for execution of Lehae project. ,"Awaiting Treasury’s finalisation of funding process for the project. DID will proceed with the project, as soon as the funding process has been finalised. DID will proceed with the project, as soon as the funding process has been finalised. ",No Deviation,Not Applicable,No deviation,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.4: Construction,Quarterly,"Number of facilities Rehabilitated, Renovated and Refurbished",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",6,4,3,2,0,,4,5,13,11,,,,,"Goudwesskool will be implemented as per the construction program. Site was handed over on 31st May 2024 and will be completed in Q2, Laerskool Noordhoek – (Project was replaced by Lotus Gardens Secondary School which is completed, Tshirela Primary school will be implemented as per the construction program. Site was handed over on 17th May 2024 and will be completed in Q2. ","Project to be completed in the next quarter, ",,Provincial Integrated Centre: was not completed due to late confirmation of construction budget by client  ,Expedite procurement process to get Contractor appointed ,,,"Refihlilepele Primary School and Goudwesskool were not part of the planned projects for the quarter; however, they were completed.

Diepkloof FPS was not achieved due to poor performance by the contractor
",Diepkloof FPS-Warning letters were issued to the contractor,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.4: Construction,Quarterly,"Number of new (Education, Health and STARS) construction projects completed",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,5,0,0,,1,0,6,1,,,,,Semphato Secondary chool was pre achieved,,,"sectional completion has been reported in the previous quarter. Currently, the project is at 88% completion stage and anticipated final completion during quarter three. 


The Johannesburg FPS project not complete due the delays on payments of the service providers by the Client.

Women’s Living Monument project was not completed due to late provision of electricity and   delayed payment of Service Providers by the Client Department.


Bekkersdal Social Integrated Facility project was not completed due to late approval of additional funds by Client and poor performance by the Professional Service Provider (PSP).  

 

","Final completion of the project will be reported in Q3.

Expedite the payment  of Service Providers by the Client and Compensation Event approval.

Johannesburg FPS-GDoH to ringfence the Capital grant budget. 



Expedite the payment  of Service Providers by the Client and Compensation Event approval.

Bekkersdal Social Facility project-Expedite process of PSP Termination




",,,Projects delayed due to contractor’s poor performance on site and experiencing cash flow challenges.,Terms and conditions of the contract is being applied,,39
