Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,National_Q4,UID
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Quarterly,1.1.1: Number of compliance documents submitted to the Legislature,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",0,0,Not applicable,Not applicable,,1,2,"The overachievement was due to the legislative requirement for submission of policy speech in the first quarter.  However, due to the May general elections, a second policy speech had to be submitted as an institutional requirement.",None,1,1,None ,None ,5,4,"The SDIP was not developed during the reporting period due to changes in the SDIP guidelines, which require all departments to submit the draft by March 31 and the approved SDIP by June 30, 2025.","The approved SDIP will be submitted in accordance with the SDIP guided by June 30, 2025.",Noted,7,7,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Quarterly,1.1.2: Percentage (%) of reports submitted to the House,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,None,None,"It is advisable to give a brief summary of what has been achieved, to indicate what reports were submitted to the House this quarter and how many were they to get to the 100%",100 %,100% %,NONE,None,100 %,100 %,None ,None ,100 %,75% %,There were delays in receiving responses from various stakeholders.,The department will continuously enhance monitoring of IQP responses to ensure that they are submitted within the required timeframes.,,100 %,100 %,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.1: Number of HOD performance review sessions convened,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",0,0,Not Applicable,Not Applicable,,1,1,None,None,0,0,Not Applicable ,Not Applicable ,1,1,None,None,,2,2,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.2: Number of programmes on mainstreaming and transformation initiatives implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,2,2,None,None,2,"
1",Unanticipated financial constraints restricted the capacity to achieve the desired target.,The funding will be sourced to provide a financial safety net for unexpected shortfalls.,1,1,None,None,Please provide actual output information for this indicator,6,5,,,,,Please provide reasons for deviation and indicate how they are going to be corrected,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,"1.2.3: Number of reports on evaluation of the effectiveness of governance processes, risk management and controls compiled",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None ,None ,2,2,None,None,,5,5,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.4: Number of reports on the risk management compiled,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None ,None ,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.5: Number of reports on fraud prevention compiled,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None ,None ,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Office of the HOD,Quarterly,1.2.6: Percentage (%) of security management plan implemented,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,None,None,,100 %,100 %,None,None,100 %,100  %,None,None ,100 %,100 %,None,None,,100 %,100 %,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,1.3.2: Percentage (%) of expenditure in relation to budget allocated,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,98 %,98 %,,,,98 %,98 %,,None,None,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Annually,1.3.3: Percentage (%) of goods and services procured from SMMEs owned by designated groups,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,50 %,86.59 %,,,,50 %,86.59 %,,"The department based its target on the budget allocated for goods and services less the budget reserved for its contractual obligations per year and its key cost drivers are catering, cleaning material, stationery, printing, promotional material, venues and facilities and accommodation that are predominantly owned by business enterprises owned by women. Not much of goods was acquired from business enterprises owned by youth, people living with disability and military veterans during the year under review","The department will disaggregate the procurement of goods and services from the designated groups based on the following threshold per category:
Women- 40%
Youth- 30%
People living with disability- 7%
Military veterans- 3%

",,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,1.3.1: Percentage (%) of valid invoices paid within 30 days,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",100 %,100 %,None,None,,100 %,100 %,None,None,100 %,100 %,,,100 %,100 %,None,None,,100 %,100 %,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.3: Financial Management,Quarterly,1.3.4: Percentage (%) of goods and services procured locally,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",60 %,99 %,"The department based its target on the current threshold for the Provincial Local Economic Development Policy Framework (LEDPF) and its key cost drivers are caterign, cleaning materials, stationery, printing, promotional material, venues and facilities and accommodation that are procured locally.",The department will consider adjusting the  target in the next financial year.,,60 %,98.16 %,"The department based its target on the current threshold for the Provincial Local Economic Development Policy Framework(LEDPF) and its key cost drivers are catering, cleaning material, stationery, printing, promotional material, venues and facilities and accommodation that are procured locally. 
","
The department will consider moving up its % target in future
",60 %,96.96 %,"The department based its target on the current threshold for the provincial local economic development policy framework (LEDPF) and its key cost drivers are catering, cleaning material, stationery, printing, promotional material, venues & facilities and accommodation that are procured locally.",The department will consider moving its % target in future.,60 %,85.57 %,"The department based its target on the current threshold for the Provincial Local Economic Development Policy Framework (LEDPF) and its key cost drivers are catering, cleaning material, stationery, printing, promotional material, venues & facilities and accommodation that are procured locally.",The department will consider moving its % target in future,,60 %,99 %,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,1.4.3: Percentage (%) of implementation of workplace skills plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,100 %,45.45 %,,,,100 %,45.45 %,,"There has been a delay in payments for CIP and BB2E, and the schedule for the NSG implementation is indicated for May and June 2025. Additionally, the Misconduct and Emotional intelligence trainings programs, initially planned for level 12 -14, have been extended to include SL 5-11, due to the course content being identified as relevant for lower level.","To pay BB2E and CIP in advance and negotiate dates within the financial year as per the plan. Furthermore, to adhere to the planned levels.",,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,1.4.4: Percentage (%) of the communication plan implemented per year,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,100 %,100 %,,,,100 %,100 %,,None,None,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,1.4.7: Percentage (%) representation of women at Senior Management Service per year,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,50 %,50 %,,,,50 %,50 %,,None,None,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Annually,1.4.8: Percentage (%) representation of persons living with disabilities in the department per year,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,2 %,2.2 %,,,,2 %,2.2 %,,"The high turn up on applicants with disability who qualified for the posts in question performed accurately,  contributed to an overachievement.",Recruitment section shall monitor this in future.,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Quarterly,1.4.1: Number of reports on the compliance with ICT governance framework,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,"None
",None,,1,1,None,None,1,1,None ,None ,1,1,None,None,Please provide reasons for deviation and corrective measures with time frames for this indicator,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Quarterly,1.4.2: Percentage (%) of vacant positions filled within 6 months,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",0 %,0 %,Not Applicable ,Not Applicable ,,100 %,0 %, An underachievement was due to DPSA additional recruitment requirements that were introduced in the middle of the first quarter which resulted to prolong the processes of filling the vacant positions., The vacant positions will be filled before the end of the financial year taking into consideration of the new DPSA additional recruitment requirements.,0 %,0 %,Not Applicable ,Not Applicable ,100 %,0% %,"Limited human resource capacity within HR to accommodate the workload. Delays and competing departmental priorities from the line managers in providing the siting dates for shortlisting and interviews, and withdrawal of posts advertised in the middle of the process.",A project plan will be put in place to monitor the implementation of the recruitment process and to also fill the recuring vacancies within two months.,,100 %,0 %,,,,,,The matter will be noted for Q3,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Quarterly,1.4.5: Number of strategic documents approved,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None ,None ,,2,3,"An over-achievement was a result of General Elections which were in May 2024, coupled with cabinet change and the transition from 6th Administration to 7th administration necessitated the policy speech to be revised and tabled during the 2nd quarter.",The targets will be met at the end of the financial year.,2,2,None ,None ,6,5,"The SDIP was not developed during the reporting period due to changes in the SDIP guidelines, which require all departments to submit the draft by March 31 and the approved SDIP by June 30, 2025.","The approved SDIP will be submitted in accordance with the SDIP guided by June 30, 2025.",,11,11,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 1: Administration,Sub-Programme 1.4: Corporate Services,Quarterly,1.4.6: Number of employee Health and Wellness Programmes implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",2,2,None,None,,1,1,None,None,2,1,Unanticipated financial constraints restricted the capacity to achieve the desired target.,The funding will be sourced to provide a financial safety net for unexpected shortfalls.,1,1,None,None,,6,5,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.1: Programme Support,Quarterly,2.1.1: Number of reports on oversight conducted ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None ,None ,,1,1,None,None,1,1,None,None,1,1,None,None,Please provide a report on the actual output for the indicator,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.1: Programme Support,Quarterly,2.1.2: Number of signed Memorandum of Understanding (MOUs) on Community Safety matters,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",0,0,Not Applicable ,Not Applicable ,,3,1,An underachievement was due to some delays to finalize processes towards signing of MOUs. ,The MOUs will be concluded in the fourth quarter.,2,"
0",Target not achieved due delays to finalize processes towards signing of MOUs.,The MOUs will be concluded in the fourth quarter.,0,0,Not applicable,Not applicable,,5,1,,,,,What will be strategy of the encouragement and when will it be achieved?,"The Department needs to provide reasons for deviation as well as the corrective measures on this indicator. Also, please indicate which quarter are you now targeting to implement this",,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Quarterly,2.2.1: Number of research reports on policing needs and priorities,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",Research concept,Research concept,None,None,,Develop tool/instrument,Developed tool/instrument,None,None,Conduct fieldwork,Conducted fieldwork	,None,None,1 report,1 report,None,None,,1 report,-,,,,,,Is this tool the same as the research report on policing needs and priorities? Is this tool / instrument going to end up as a research report in Q4 & annual as planned?,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Quarterly,2.2.2: Number of research reports on policing and safety*,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",Research concept,Research concept,None,None,,Develop tool/instrument,Developed tool/instrument,None,None,Conduct fieldwork,Conducted fieldwork,None,None,1 report,1 report	,None,None,,1 report,-,,,,,,Is this tool the same as the research report on policing needs and priorities? Is this tool / instrument going to end up as a research report in Q4 & annual as planned?,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Quarterly,2.2.3: Number of analysis reports on crime statistics and safety indicators,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.1: Number of analysis reports on police stations monitored based on NMT per year,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,0,The analysis of the police stations Monitored based on National Monitoring Tool (NMT) was not conducted due to the Civilian Secretariat for Police Service (CSPS) timeframes to conclude the implementation of the NMT census project in October/November 2023.  ,"The province will align its planning process with the CSPS for effective implementation of the census project, reporting and analysis processes.",CSPS? Please write in full,1,1,None,None,1,1,None,None,1,1,None,None,,4,3,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.10: Number of reports on assessment of the effectiveness of the Metro Police ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",0,0,Not Applicable,Not Applicable,,1,1,None,None,0,0,Not applicable,Not applicable,1,1,None,None,,2,2,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.2: Number of analysis reports on the implementation of the Court Watchig Brief Programme,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None ,None,,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.3: Number of analysis reports on compliance and implementation with the Domestic Violence Act (DVA) by SAPS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,0,The analysis of the compliance and implementation of the Domestic Violence Act (DVA) by SAPS was not conducted due to the Civilian Secretariat for Police Service (CSPS) timeframes to conclude the implementation of the Domestic Violence Act (DVA) by SAPS census project in October/November 2023.  ,"The province will align its planning process with the CSPS for effective implementation of the census project, reporting and analysis processes.",,1,1,None,None,1,1,None,None,1,1,None,None,,4,3,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.4: Number of M & E special projects implemented*,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",0,0,Not Applicable,Not Applicable,,1,1,None,None,0,0,Not applicable,Not applicable,1,1,None,None,,2,2,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.5: Number of analysis reports on policing accountability engagements convened,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.6: Percentage of service delivery complaints resolved by the SAPS within 30 days of referral,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",90 %,100 %,All complaints received by the department were resolved by the SAPS within 30 days of referral. Most of the complaints received during the quarter were not complicated.,The department will consider adjusting the target in the next financial year. ,Were there no service delivery complaints resolved during this quarter? An improvement plan should be provided for this non-achievement for the attention of the Director General and the Head of Department. Reasons for deviation should always be provided.,90 %,65 %,SAPS took longer to resolve the complaints due to some complainants that are untraceable.,The department will continuously monitor the SAPS on the progress to resolve complaints.,90 %,"94,11% %",During the term under review the police has managed to resolve all the complaints as the majority of the complaints were the lack of feedback on the status of the cases.,The department will continuously strive to monitor SAPS to ensure that all complaints are resolved within the stipulated timeframe.,90 %,0 %,SAPS did not adhere to the set timeframes in resolving complaints.,The Department through the Compliance forum will continuously monitor SAPS to ensure that all complaints are resolved within the stipulated timeframes.,"Where is the compliance forum now, why is it not working? Try using another strategy to achieve this indicator",90 %,100 %,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.7: Number of monitoring reports compiled on implementation of IPID recommendations by SAPS per year*,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.8: Number of oversight engagements with SAPS ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,This is a non-achievement and therefore a reason for deviation should be included.,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,2.3.9: Number of analysis reports on police stations monitored utilising provincial monitoring tools ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,2.4.1: Number of reports compiled on police stations monitored based on the NMT per year*,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",31,31,None,None,What caused the deviation and how are you going to correct this to be able to achieve it by the end of this Financial Year?,31,31,None,None,30,30,None ,None ,31,30,"Joubertina police station in Sarah Baartman District, was initially scheduled for follow-up visits in Quarters 2 and 4. However, since all recommendations were fully implemented during Quarter 2, the planned Quarter 4 visit was not conducted.",A mitigation plan will be developed in the event that the same situation arises in future.,,123,122,,,,,,Please provide your reasons for not achieving the set target for this quarter,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,2.4.2: Number of monitoring reports on compliance and implementation of the Domestic Violence Act (98) by SAPS*,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",31,31,None,None,Why do we only have 9? What caused the variance on the monitoring of compliance and implementation of the Act? ,31,31,None,None,30,30,None ,None ,31,31,None ,None ,,123,123,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,2.4.3: Number of reports compiled on the management of service delivery complaints received against SAPS per year*,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",8,8,None,None,Please provide reasons for variation,8,8,None,None,8,8,None ,None ,8,8,None ,None,,32,32,,,,,,Service delivery complaints for this quarter have not been addressed. State reasons for non-performance as well as the new time frame for implementation please.,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,2.4.4: Number of reports on police stations monitored utilising provincial monitoring tools,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",44,42,The underachievement was due to the special project conducted by the Civilian Secretariat for Police Service as a result two police stations were not visited.,The monitoring of two police stations will be conducted in the following quarter.,,45,45,None,None,40,40,None ,None ,44,44,None,None,,173,171,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,2.4.5: Number of reports on the implementation of the Court Watching Brief Programme,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",8,8,None,None,,8,8,None,None,8,7,OR Tambo district did not conduct follow-ups on Court Watching Brief Programme due to the implementation of Court Watching Special Project 2000 that was prioritized.,Follow- ups will be reported in the following quarter.,8,8,None,None,,32,31,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,2.4.6: Number of policing accountability engagements convened,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",14,13,The accountability engagement was not conducted due to the MEC’s request to conduct additional crime prevention programme.,The accountability engagement will be convened in the following quarter.,"Target was not achieved, provide reasons for non-achievement",14,14,None,None,15,15,None,None,8,9,An over-achievement is due to an underperformance during first quarter following MEC’s request to conduct an additional crime prevention programme.,The department will ensure future adherence to quarterly targets.,,51,51,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,2.4.7: Number of social crime prevention programmes implemented per year*,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",15,16,The over-achievement was due to the request by the MEC to add an additional programme to combat crime in the province.,The department will adhere to its set targets by the end of the financial year.,,17,18,An over-achievement was due to a request by the community in Joe Gqabi district for the department to intervene on social crime challenges.,The department will adhere to its set targets by the end of the financial year. ,16,16,None,None,14,12,An under-achievement is due to additional social crime programme implemented in quarter 1 and 2 to combat crime in the province and the request by the community for the department to intervene on social crime challenges.,The department will ensure future adherence to quarterly targets.,Please provide reasons for deviation and corrective measures,62,62,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,2.4.8: Number of Community Police Forums (CPFs) assessed on functionality per year*,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",21,22,The department responded to the community’s request to conduct an additional assessment of CPF. ,The department will adhere to its set targets by the end of the financial year.,,21,23,There were complaints raised by the communities in Chris Hani district (Ilinge) which resulted the department in assessing the functionality of the CPFs.,The department will adhere to its set targets by the end of the financial year. ,21,20,Kenton on sea - CPF was not assessed due to the unavailability of its CPF members. ,The CPF will be assessed in the next quarter.,20,18,An under-achievement is a result of three additional police stations that were assessed during quarter 1 and 2 in response to community concerns that required urgent attention.,The department will ensure future adherence to quarterly targets.,Please provide reasons for deviation and corrective measures,83,83,,,,,How will you ensure availability of the CPF during this quarter?,How did you get this over-achievement?,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Annually,2.5.1: JCPS Programme of Action (POA) approved ,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,2.5.2: Number of analysis reports on the implementation of social crime prevention initiatives conducted,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,"Please provide reasons for deviation, corrective measures and Improvement plans. Please be aware that the Department is at risk of not achieving these indicators by the end of the financial year and end of term. ",,,,,,295
