Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,National_Q3,OTP_Q4,National_Q2,UID
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,ART child viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",89.9 %,50.2 %,89.9 %,54.7 %,90.0 %,55 %,90.0 %,55.7 %,90.0 %,55 %,,,,,Challenges with the implementation of the Matrix of Intervention (MOI) and status disclosure.,"•	Implementation of “know your Child strategy” to spark complete case management for every child on chronic treatment. 
•	Phased-in implementation of Dolutegravir (DTG), especially monitoring stock levels of legacy regimen. 
•	Implementation of adherence guidelines, especially Disclosure SOP.  
•	Revitalisation of support groups targeting children and their caregivers. 
",,Challenges with the implementation of the Matrix of Intervention (MOI) and status disclosure.,"•	Implementation of “know your Child strategy” to spark complete case management for every child on chronic treatment. 
•	Phased-in implementation of Dolutegravir (DTG), especially monitoring stock levels of legacy regimen. 
•	Implementation of adherence guidelines, especially Disclosure Standard Operating Procedure (SOP).  
•	Revitalisation of support groups targeting children and their caregivers. 
",Corrective action is noted,Non-Disclosure contributes to poor viral suppression in children. This can be further attributed to poor psycho social support of children and caregivers.,"•	To coordinate psycho social activities at hospital/CHC to improve support at PHC facilities and communities (family visits). 
•	Facilitate social worker grounding on HIV management to improve support. 
•	Training of facilities and community based organisations on disclosure processes and mentoring thereof.
",Non-Disclosure contributes to poor viral suppression in children. ,"•	Implementation of disclosure and enhanced adherence counselling (EAC) in all facilities. 
•	Co-ordinate psycho- social activities at hospital/CHC to improve support at facilities and in communities (family visits). 
•	Facilitate Allied Worker grounding on HIV management to improve support.

(The Department has not met the revised APP target of 70.0%) 
",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,HIV positive 15-24 years (excl ANC) rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",1.8 %,1.7 %,1.8 %,1.7 %,1.8 %,1.6 %,1.8 %,1.6 %,1.8 %,1.6 %,,,,,"•	Initiation of treatment of young people testing HIV positive to limit transmission.
•	Screening youth when they access other health services. 
•	Outreach campaigns targeting young people.
",,,"•	HIV treatment initiation of young people testing HIV positive to limit transmission.
•	Screening youth when they access other health services. 
•	Outreach campaigns targeting young people.
",,,"Promotion of HIV prevention through commercial and community radio stations, and billboard campaigns.",,"Promotion of HIV prevention through commercial and community radio stations, and billboard campaigns.",,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,TB Pre-XDR Loss to follow up Rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",20.0 %,14.3 %,20.0 %,13 %,22.2 %,16.9 %,21.7 %,16.5 %,21.7 %,0 %,,,,,Improved follow-up on patients who missed appointments and linkage of patients to outreach teams.,,,Improved follow-up on patients who missed appointments and linkage of patients to outreach teams.,,,Improved follow-up on patients who missed appointments and linkage of Extreme Drug Resistant (XDR) TB patients to outreach teams.,,Improved follow-up on patients between decentralised site transfers.,(The Department met the revised APP target of 20.0%),,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,TB Pre-XDR treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",60.0 %,42.9 %,56.7 %,48.9 %,55.6 %,47.7 %,55.0 %,49.4 %,55.0 %,47.7 %,,,,,"•	High death rate related to late presentation, delayed diagnosis and limited skills on drug resistant management associated with staff rotation and high staff turnover. 
•	High loss to follow up and treatment failure rate also contributed to low success rate.
","•	Clinicians, data capturers and TB Coordinators were trained on EDRWEB dash board to identify early and follow up missing results necessary for adjusting treatment regimen. 
•	Community awareness campaigns on the importance of early presentation to clinic for TB treatment and adherence to treatment. 
•	Support Districts with technical working group meetings to ensure that all staff managing TB are updated on  DRTB management.
",,"High death rate related to late presentation, delayed diagnosis and limited skills on drug resistant management associated with staff rotation and high staff turnover. ","•	Clinicians, data capturers and TB Coordinators were trained on Electronic Drug Resistant Web-Based (EDRWEB) Tuberculosis Register  dash board to identify early and follow up missing results necessary for adjusting treatment regimen. 
•	Community awareness campaigns on the importance of early presentation to clinic for TB treatment and adherence to treatment. 
•	Support Districts with technical working group meetings to ensure that all staff managing TB are updated on Drug Resistant Tuberculosis (DRTB) management.
",Corrective action is noted,"High death and lost-to-follow-up rates have contributed to the non-achievement of the success rate target, with Ethekwini reporting the highest rates.","•	Community awareness campaigns on the importance of early presentation to clinics for TB treatment and adherence to treatment. 
•	Implementation of:
o	drug-resistant clinical audit guidelines. 
o	DRTB literacy material. 
o	district technical advisory meetings to ensure that all clinicians are updated on Drug resistant TB management.
","•	High death and lost-to-follow-up rates have contributed to the non-achievement of the success rate target.
•	Treatment failure as patients present late with advanced disease and demise within a short period of being referred to the Centres of Excellence. 
","•	Community awareness campaigns on early clinic presentation for TB screening and treatment, with emphasize on the importance of adherence throughout treatment.
•	Convene regular District Technical Advisory Committee (DTAC) meetings to update clinicians on DR-TB management.
•	Implementation of the shorter DR-TB regimen which has shown an 86% success rate for Pre-XDR TB and 0% death.
",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,TB Rifampicin resistant / Multidrug - Resistant lost to follow up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",15.1 %,15.1 %,15.0 %,15.1 %,15.0 %,15.3 %,15.0 %,15.3 %,15.0 %,15.3 %,,,,,No deviation.,,,"Challenges in the  implementation of the appointment system has resulted in inadequate follow-up of early missed appointments, particularly for patients not linked to outreach teams.","Ensure patients are linked to TB outreach teams.
Revival of appointment system in all decentralised sites  giving priority to King Dinizulu Hospital. 
Enhance social mobilization efforts, emphasizing the importance of treatment adherence.",,Ineffective linkage of all drug resistant TB patients to outreach teams and poor implementation of the appointment system has impact on lost to follow up. ,"•	The number and rate of drug resistant patients linked to outreach teams included in early warning indicators. 
•	Explore with the national team the possibility of including the appointment line list on the Electronic Drug Resistant web system.
",Limitations to linking of all drug resistant TB patients to outreach teams and non-adherence by patients to the appointment system has impact on lost to follow up. ,"•	Implementation of the TB literacy material especially at Ugu, EThekwini and Harry Gwala Districts.
•	Social mobilisation on importance of adherence to treatment.
",,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,TB Rifampicin Resistant / Multidrug - resistant treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",72.0 %,68.5 %,72.0 %,68.4 %,72.0 %,68.6 %,72.0 %,69.2 %,72.0 %,68.6 %,,,,,Performance negatively impacted by the high death rate which is associated with poor implementation of the hospital admission criteria i.e. sick patients are managed at the community;  late presentation for treatment and limited skills on drug resistant management associated with staff rotation and high staff turnover.,"•	Districts to institutionalise clinical audits as per guidelines. 
•	Nurse initiated drug resistant TB training to be convened between September and December 2024. 
•	Develop a checklist to guide patient management and admission when required.                                                                                
",corrective action statement is noted.,Performance negatively impacted by the high death rate which is associated with late presentation for treatment and limited skills on drug resistant management associated with staff rotation and high staff turnover.,"•	Districts to institutionalise clinical audits as per guidelines. 
•	Nurse initiated drug resistant TB training to be convened between September and December 2024. 
•	Develop a checklist to guide patient management and admission when required.                                                                                
",Reason for deviation and corrective action have been noted.,Performance negatively impacted by the non-adherence to treatment and  high death rate which is associated with late presentation for treatment and limited skills on drug resistant management associated with staff rotation and high staff turnover.,"•	Update on clinical and mortality audits targeting districts that have partially implemented audits.  
•	Orientation of the new staff on linkage to care SOP at the centre of excellence. 
•	Implementation of the bring back 25% patients lost to follow up project.  
","Performance negatively impacted by the high lost to follow-up and death rates due to late presentation for treatment, resulting in delayed referrals to the Centre of Excellence.","•	Community awareness campaigns on early clinic presentation for TB screening and treatment, with emphasize on the importance of adherence throughout treatment.
•	Convene regular District Technical Advisory Committee (DTAC) meetings to update clinicians on DR-TB management.
•	Implementation of the shorter DR-TB regimen which has shown an 82% success rate for MDR TB and less than 10% death rate Provincially.

(The Department has not met the revised APP target of 70.0%)",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health Including Nutrition (MCWHN)",Annually,Death in facility under 5 years rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,5.4 %,3.5 %,5.4 %,3.5 %,,"Implementation of the Essential Package of Paediatric care, and effective outreach support.",,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health Including Nutrition (MCWHN)",Annually,Maternal Mortality in facility Ratio - per 100 000 live births,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,98.0/100000,91.8/100000,98.0/100000,91.8/100000,,"Implementation of quality improvement project in health facilities i.e. Minimum Standards of Safe and Respective Care, Respective Labour Care, Online Education Sessions, and EMOTIVE to improve management of postpartum haemorrhage.",,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Antenatal 1st visit before 20 weeks rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",75.0 %,77.6 %,75.0 %,"79
 %",75.0 %,79.1 %,75.0 %,78.5 %,75.0 %,0 %,,,,,"House hold pregnancy testing continues and linkage to care is improving. 

",,,House hold pregnancy testing continues and linkage to care is improving. ,,,"Household pregnancy testing continues and linkage to care is improving. 

",,"Household and in-facility pregnancy testing with improved linkage to care.

",,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Cervical Cancer Screening Coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",70.0 %,65.9 %,70.0 %,"62.4
 %",70.0 %,67.9 %,70.0 %,69.7 %,70.0 %,62.4 %,,,,,Poor marketing of cervical cancer screening at the community and facility level.,"•	Conduct cervical cancer awareness campaigns.
•	Transition from using cytology as a primary method to HPV DNA as primary screening method.
",,Limited marketing of cervical cancer screening at the community and facility level.,"•	Conduct cervical cancer awareness campaigns.
•	Transition from using cytology as a primary method to Deoxyribonucleic acid (DNA) of human papillomaviruses (HPV) [HPV DNA] as primary screening method.
",Corrective action is noted,"•	Although KZN has implemented the transition from pap smear to human papillomaviruses (HPV) deoxyribonucleic acid (DNA) testing, not all facilities have fully transitioned, leading to inconsistencies in screening methods and coverage. 
•	Eligible women may face barriers in accessing cervical cancer screening services, such as lack of transportation, long waiting times, or limited availability of screening facilities. 
•	Some women may not be aware of the importance of cervical cancer screening or may not understand the benefits of HPV DNA testing, leading to low uptake of screening services. 
","•	Ensure that all healthcare facilities in KZN have fully transitioned to HPV DNA testing and that healthcare providers are adequately trained to use the new technology. 
•	Expand screening services to more locations, including rural and underserved areas, and consider mobile screening units or outreach programs to reach eligible women. 
•	Public awareness campaigns to educate women on the importance of cervical cancer screening and the benefits of HPV DNA testing. Provide educational materials and counselling to women at healthcare facilities.
","•	Eligible women may face barriers in accessing cervical cancer screening services, such as lack of transportation. 
•	Some women may not be aware of the importance of cervical cancer screening or may not understand the benefits of human papillomaviruses (HPV) deoxyribonucleic acid (DNA) testing, leading to low uptake of screening services. 
","•	Expand screening services to more locations, including rural and underserved areas, and consider mobile screening units or outreach programs to reach eligible women. 
•	Public awareness campaigns to educate women on the importance of cervical cancer screening and the benefits of HPV DNA testing. Provide educational materials and counselling to women at healthcare facilities.
",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",1.6 %,1.8 %,1.6 %,"1.2

 %",1.6 %,1.2 %,1.6 %,1.2 %,1.6 %,0 %,,,,,"Although the target was not met, this was as a result of the lower than projected admissions due to the positive impact of the rotavirus vaccine; improved compliance with hand hygiene and use of oral rehydration solution thereby reducing the number of children requiring admission.","•	Rapid triage of all children on entry into a primary healthcare facility and proper management. 
•	Compliance with well situated and functional oral rehydration therapy (ORT) corners. 
•	Capacitating clinicians and staff on the Integrated management of Childhood illnesses (IMCI).
",,Effective case management and compliance with clinical guidelines. ,,,Effective case management and compliance with clinical guidelines.,,Effective case management and compliance with clinical guidelines.,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Child under 5 years Pneumonia case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",1.7 %,1.3 %,1.8 %,"1.4
 %",1.8 %,1.4 %,1.8 %,1.5 %,1.8 %,1 %,,,,,"Implementation of interventions including effective triaging, twice daily medical review of new admissions and high care patients, and providing respiratory support.",,,"•	Implementation of the Essential Package of Paediatric care.
•	Decrease in neonatal deaths which account for 70% of under 5 deaths.
",,,Increased access to respiratory support equipment and early identification and case management.,,"Increased access to respiratory support equipment, early identification and case management.",,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Child under 5 years Severe acute malnutrition case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",6.7 %,6.1 %,6.9 %,"6.5
 %",6.9 %,6.1 %,7.1 %,6.4 %,7.1 %,0 %,,,,,"Ongoing training of paediatric ward health workers on inpatient management of severe acute malnutrition. 

",,,"Ongoing training of pediatric ward health workers on inpatient management of severe acute malnutrition. 
",,,"Ongoing training of paediatric ward health workers on inpatient management of severe acute malnutrition. 

",,Uptake of the SAM inpatient training course and implementation of the Family Mid-Upper Arm Circumference (MUAC) Project are key strategies in the early case detection and improved management of SAM.,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Death under 5 years against live birth rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",2.2 %,1.8 %,2.2 %,1.8 %,2.2 %,1.8 %,2.0 %,1.8 %,2.0 %,3 %,,,,,"•	Implementation of the Essential Package of Paediatric care.
•	Decrease in neonatal deaths which account for 70% of under 5 deaths.
",,,"Implementation of the Essential Package of Pediatric care.
 
",,,"•	Implementation of the Essential Package of Paediatric care.
•	Decrease in neonatal and pneumonia deaths in children.
",,Implementation of the Essential Package of Paediatric care.,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Delivery 10 - 14 years in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",158,145,316,"293

",474,398,632,523,632,523,,,,,"•	Integrated Strategy to reduce teenage pregnancy implemented together with other departments and partners. 
•	Adolescents and Youth Friendly Service (AYFS) is functional in 216 public health facilities where comprehensive services are offered.
",,,•	Integrated Strategy to reduce teenage pregnancy implemented together with other departments and partners. ,,,Multi-disciplinary focus in KZN to reduce teenage pregnancy implemented together with other departments and partners. ,,Implementation of the KZN Strategy to curb early pregnancies and Integrated Multi Stakeholder Health Promotion Strategy in all 11 districts.,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,HIV Test positive around 18 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",1.5 %,0.2 %,1.5 %,"0.14
 %",1.5 %,0.13 %,1.5 %,0.13 %,1.5 %,0 %,,,,,"•	Education to mothers to avoid mixed feeding continues. 
•	Viral load is completed as required at specific intervals for breast feeding women. 
",,,"•	Education to mothers to avoid mixed feeding continues. 
•	Viral load is completed as required at specific intervals for breast feeding women. 
",,,"•	Education to mothers to avoid mixed feeding continues. 
•	Viral load is completed as required at specific intervals for breast feeding women. 
",,"•	Education to mothers to avoid mixed feeding continues. 
•	Viral load is completed as required at specific intervals for breast feeding women. 
",,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Immunisation under 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",95.0 %,84.9 %,95.0 %,"84.8
 %",95.0 %,84.7 %,95.0 %,85.5 %,95.0 %,0 %,,,,,Failure by the facilities to conduct catch-up drive activities. ,Implementation of catch-up drive activities to reach children who missed immunisation doses.,,Insufficient catch-up drive activities. ,Implementation of catch-up drive activities to reach children who missed immunisation doses.,,EPI catch-up drive activities not fully implemented by all districts.,All districts to implement catch-up drive activities.,Expanded Programme on Immunisation (EPI) catch-up drive activities not fully implemented by all districts due to resource constraints.,Implement the Reach Every District (RED) strategy to reach children who missed their vaccination doses in the community.,Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Infant PCR test positive around 6 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",1.0 %,0.35 %,1.0 %,"0.25
 %",1.0 %,0.28 %,1.0 %,0.29 %,1.0 %,0 %,,,,,"•	Education to mothers to avoid mixed feeding continues. 
•	Viral load is completed as required at specific intervals for breast feeding women. 
",,,"•	Education to mothers to avoid mixed feeding continues. 
•	Viral load is completed as required at specific intervals for breast feeding women. 
",,,"•	Education to mothers to avoid mixed feeding continues. 
•	Viral load is completed as required at specific intervals for breast feeding women. 
",,"•	Education to mothers to avoid mixed feeding continues. 
•	Viral load is completed as required at specific intervals for breast feeding women. 
",,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,IUCD Uptake (*IUCD - Intra Uterine Contraceptive Device),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",6804,9302,13608,"18 813

",20412,28 628,27216,38 426,27216,38426,,,,,"Raised awareness and creating demand at facility and community level. 

",,,"Raised awareness and creating demand at facility and community level. 

",,,Increased uptake as a result of continuous promotion of the method at District forums and training.,,Health education in communities and facilities increased demand for IUCD services.,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Measles 2nd dose 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",95.0 %,92.6 %,95.0 %,"91.7
 %",95.0 %,89 %,95.0 %,88.2 %,95.0 %,0 %,,,,,Failure by the facilities to conduct catch-up drive activities. ,Implementation of catch-up drive activities to reach children who missed immunisation doses.,,Insufficient catch-up drive activities. ,Implementation of catch-up drive activities to reach children who missed immunisation doses.,,EPI catch-up drive activities not fully implemented by all districts.,All districts to implement catch-up drive activities.,Expanded Programme on Immunisation (EPI) catch-up drive activities not fully implemented by all districts due to resource constraints.,Implement the Reach Every District (RED) strategy to reach children who missed their vaccination doses in the community.,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Mother postnatal visit within 6 days rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",73.6 %,83.7 %,73.6 %,"85.7
 %",73.6 %,86.6 %,73.6 %,86.9 %,73.6 %,0 %,,,,,"Implementation of Post-natal care register, including at delivering hospitals to record care offered to those who stay beyond 3-6 days in hospitals.",,,"Implementation of Post-natal care register, including at delivering hospitals to record care offered to those who stay beyond 3-6 days in hospitals.",,,"Implementation of Post-natal care register, including at delivering hospitals to record care offered to those who stay beyond 3-6 days in hospitals.

",,"•	Implementation of Post-natal care register, including at delivering hospitals to record care offered to those who stay beyond 3-6 days in hospitals.
•	Integration with Outreach Teams to remind mothers to attend postnatal care.
",(The Department has met the revised APP target of 80.0%),,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Neonatal death in facility rate (per 1 000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",13.9/1000,12.7,13.9/1000,12.7,13.9/1000,13,13.9/1000,12.9/1000,13.9/1000,-,,,,,"•	Implementation of the Essential Package of Neonatal care.
•	Fewer neonates requiring ventilation. 
",,,"Implementation of the Essential Package of Neonatal care.
",,,Improved care immediately after birth which may be due to the Essential New-born Care training (ENC) programme.,,Improved case management immediately after birth which may be due to the Essential New-born Care training (ENC) programme.,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"Maternal, Woman and Child Health including Nutrition (MCWHN) ",Quarterly,Still Birth in Facility Rate (Per 1 000 births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",26.8/1000,22.2,26.8/1000,"22.5
",26.8/1000,22.7,26.8/1000,23/1000,26.8/1000,-,,,,,"•	Treatment for syphilis in pregnant women. 
•	Outreach Obstetric & Gynae (O&G) Education sessions for midwives and doctors working in maternity units, which includes the management of hypertension in pregnancy.
",,,"•	Treatment for syphilis in pregnant women. 
•	Outreach Obstetrics & Gynaecology (O&G) Education sessions for midwives and doctors working in maternity units, which includes the management of hypertension in pregnancy.
",,,Implementation of the new vertical transmission program (VTP)  guidelines on syphilis.,,"•	Implementation of the new vertical transmission program (VTP) guidelines on syphilis. 
•	Improved management of Hypertension in pregnant woman.
",,,,,,125
Health,Health,KwaZulu Natal,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,EMS P1 rural response under 60 minutes rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",48.0 %,43.2 %,48.0 %,47.1 %,48.0 %,45.5 %,48.0 %,43.6 %,48.0 %,135.8 %,,,,,"•	Some districts experienced challenges with the current fleet management contract (RT46) resulting in delays and extended downtime of emergency vehicles
•	Insufficient emergency vehicles to meet the demand.
","•	Vehicle management service provider has been engaged to increase the pool of service providers and increase supervision of fleet matters.
•	EMS has provision to procure a total of 42 new ambulances, 8 new priority patient transport service (PPTS) vehicles and 2 rapid response vehicles, which have been ordered.
",,"•	Some districts experienced challenges with the current fleet management contract (RT46) resulting in delays and extended downtime of emergency vehicles
•	Insufficient emergency vehicles to meet the demand.
","•	Vehicle management service provider has been engaged to increase the pool of service providers and increase supervision of fleet matters.
•	EMS has provision to procure a total of 42 new ambulances, 8 new priority patient transport service (PPTS) vehicles and 2 rapid response vehicles, which have been ordered.
",,"•	Ambulances are aged and require repairs frequently which increases their downtime. 
•	Fleet repair and maintenance merchants were not operating at full capacity during the festive period. 
","•	Engagement with the fleet management service provider is ongoing. 
•	A total of 38 new ambulances and 2 rapid response vehicles were issued to districts in December 2024.
","•	Insufficient operational ambulances and response units available to attend to the demand for services. 
•	The majority of emergency vehicles are aged increasing the frequency of repairs and vehicle downtime.
",Regular engagement with Fleet Section and the fleet maintenance service provider. ,Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,EMS P1 urban response under 30 minutes rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",42.0 %,43.3 %,42.0 %,42.7 %,42.0 %,32.7 %,42.0 %,26.8 %,42.0 %,118.7 %,,,,,"Implementation of fleet management interventions resulted in improved vehicle maintenance turnaround time, which positively influenced the performance in Amajuba, eThekwini, Ilembe and Ugu Districts.",,,"Implementation of fleet management interventions resulted in improved vehicle maintenance turnaround time, which positively influenced the performance in some districts. ",,,"•	Ambulances are aged and require repairs frequently which increases their downtime. 
•	Fleet repair and maintenance merchants were not operating at full capacity during the festive period. 
","•	Engagement with the fleet management service provider is ongoing. 
•	A total of 38 new ambulances and 2 rapid response vehicles were issued to districts in December 2024.
","•	Insufficient operational ambulances and response units available to attend to the demand for services. 
•	The majority of emergency vehicles are aged increasing the frequency of repairs and vehicle downtime.
",Regular engagement with Fleet Section and the fleet maintenance service provider. ,Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Annually,Maternal deaths in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,25,71,25,71,,Hypertension and Post Partum Haemorrhage continue to contribute to deaths.,"Implementation of EMOTIVE protocol to reduce severe post-partum haemorrhage (PPH) in all labour wards, as part of minimum standards for safe and respectful care during labour. ",,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,86.1 %,80.7 %,86.1 %,80.7 %,,"Patients were unsatisfied with the information received when treatment is prescribed, and were not aware of the complaints management systems.","The District QA co-ordinators and Communications Officers to educate patients on complaints mechanisms.

",,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Cervical Cancer screening,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",1675,1479,3350,"3 094
",5025,4 968,6700,6 427,6700,6427,,,,,Poor marketing of cervical cancer screening at the community and facility level.,Conduct cervical cancer awareness campaigns.,,Limited marketing of cervical cancer screening at the community and facility level.,Conduct cervical cancer awareness campaigns.,,Marketing of cervical cancer screening at the community and facility level is a gradual process,Increase coverage of cervical cancer awareness campaigns within the available resources,"Some women may not be aware of the importance of cervical cancer screening or may not understand the benefits of human papillomaviruses (HPV) deoxyribonucleic acid (DNA) testing, leading to low uptake of screening services.",Public awareness campaigns to educate women on the importance of cervical cancer screening and the benefits of HPV DNA testing. Provide educational materials and counselling to women at healthcare facilities,Corrective action statement is noted.,,,,125
