Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Social Development,Social Development,Northern Cape,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,2.Number of persons in conflict with the law who completed diversion programmes.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",20,24,25,25,20,42,15,25,80,116,116,"This is a needs-based service, consequently the over-achievement of the target is due to the increased crime and violence.",Continued early intervention and prevention programmes. ,,"This is a needs-based service, consequently the over-achievement of the target is due to the increased crime and violence.",No need for corrective action,Q1 target exceeded.,Target was achieved as planned. ,No corrective action needed. ,"To date, performance is on track.","This is a needs-based service, consequently the over-achievement of the target is due to the increased crime and violence.",Continuous prevention and and early intervention programmes.,"To date, the annual target is already achieved. ", the over-achievement of the target is due to the increased crime and violence cases that was reported ,Continuous prevention and and early intervention programmes.,Annual target exceeded.,"Targeted output is overachieved, reason for deviation is noted for this indicator.",Targeted output is achieved for this indicator.,Reason for deviation and corrective action noted for this indicator with overachievement reported.,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,58
Social Development,Social Development,Northern Cape,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,3. Number of children in conflict with the law who accessed secure care centres,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",75,119,25,33,25,31,25,26,150,209,209,"This is a needs-based service, consequently the over-achievement of the target is due to the increased crime and violence.",Continued early intervention and prevention programmes. ,,"This is a needs-based service, consequently the over-achievement of the target is due to the increased crime and violence.",Continuous prevention and awareness programmes ,Q1 target exceeded.,As a result of the increase in substance abuse and poverty crime is on the rise. ,Continued prevention and early intervention programmes. ,"To date, performance is on track.","This is a needs-based service, consequently the over-achievement of the target is due to the increased crime and violence.",Continuous prevention and awareness .,"To date, the annual target is already achieved. ","his is a needs-based service, consequently the over-achievement of the target is due to the increased crime and violence.",Continuous prevention and and early intervention programmes.,Annual target exceeded. ,Overachievement is noted as well as reason for deviation and corrective action for this indicator.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action noted for this indicator with overachievement reported.,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,58
Social Development,Social Development,Northern Cape,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Annually,2.Number of human trafficking victims who accessed social services.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,1,0,,,,,1,0,0,This is a negative indicator. The under-achievement may be attributed to the increased awareness and prevention. ,Continuous awareness and prevention programmes ,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,1.Number of victims of crime and violence accessing support services ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",752,716,752,765,752,823,752,699,3008,3003,3003,"This is a needs-based service, consequently the over-achievement of the target is due to the increased crime and violence.","Strengthen key control measures with regard to the provision of services to victims of GBVF, crime and violence.

",,This is a needs based services ,Continuous awareness and prevention programmes ,The target was not achieved as planned for Q1.,The over-achievement of the target is clear manifestation of the increased  advocacy and awareness ,Continuous prevention and early intervention programmes. ,"To date, performance is on track.",This is a needs based indicator. During the festive season there was an increased demand for the service. ,Contious advocacy and prevention programmes ,"To date, performance is on track. ","This is a negative indicator and therefore a reduction in the number of reported cases are a positive outcome.  The decrease in the number of victims requiring support services for this quarter suggests that proactive prevention and intervention strategies are having a significant impact, reducing the number of individuals falling into situations that would necessitate such services.",No corrective action needed ,Annual target slightly underachieved. ,Targeted output is underachieved with reason for deviation and corrective action reported.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action noted for this indicator with overachievement reported.,Performance for this indicator shows determination in terms of awareness with regards to services to victims of violence.,58
Social Development,Social Development,Northern Cape,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,3.Number of victims of GBVF and crime who accessed sheltering services ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",60,48,61,61,61,45,60,39,242,193,193,"This is a negative indicator and therefore a reduction in the number of reported cases are a positive outcome. The decrease in the number of victims requiring sheltering  services  suggests that proactive prevention and intervention strategies are having a significant impact, reducing the number of individuals falling into situations that would necessitate such services.","Continuous early intervention and prevention programmes . Strengthen key control measures with regard to the provision of services to victims of GBVF, crime and violence.",,This is a needs based service,Continuous awareness and prevention programmes ,The target was not achieved as planned for Q1.,Although the target was achieved as planned. This is a negative indicator and in ideal situation the target should not be achieved..  ,Continuous prevention and early intervention programmes. ,"To date, performance is not on  track.","This is a needs based. This is also  negative indicator. Furthermore, there is still a stigma in our communities regarding the admission in a shelter.  ",Do more awareness and education about shelter admission and services in a shelter.,"3rd quarter target not achieved as planned, and to date performance is not on track. ","This is a negative indicator and therefore the absence of identified trafficking victims in this financial year reflects the effectiveness of preventative measures, strong community awareness, and successful partnerships with stakeholders and support organizations in combating trafficking in persons.

",No corrective action needed ,"While the department indicated that this is a negative indicator, performance is assessed based on maximum output achieved.","The same comment as above applies, submission noted.",Targeted output is achieved for this indicator.,Performance is noted for this indicator.,Performance for this indicator shows determination in terms of awareness with regards to services to victims of violence.,58
Social Development,Social Development,Northern Cape,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,1.Number of people reached through substance abuse prevention programmes.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",580,654,580,642,580,744,580,491,2320,2531,2531,"The high levels of substance abuse in the province has resulted in an increased prevention and awareness programmes,  hence the over-achievement of the target",Continuous early intervention and prevention programmes.,,The high levels of substance abuse in the province has resulted in an increased prevention and awareness programmes  hence the over-achievement of the target.,Continuous awareness and prevention programmes ,The Q1 target was exceeded.,The over-achievement is as a result of the increased prevention programmes. ,Continuous prevention programmes  ,"To date, performance is on track.",The intensification of services in collaboration with different stakeholders during the festive season campaigns yields much more results.,No need for corrective action.,"To date, performance is on track.",Restricted access to the target market due to intensified institution orientation program for students  ,The programme must strengthen there planning processes to ensure that achievement of planned targets.,The annual target is exceeded.,Overachievement is noted which shows an increased awareness from the department's part.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Performance is noted for this indicator with underachievement reported.,58
Social Development,Social Development,Northern Cape,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,2.Number of service users who accessed substance use disorder (SUD) treatment services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",80,72,80,108,60,49,20,74,240,303,303,"?	There was in increase in the demand for treatment services from service users, hence the over-achievement.",Continuous early intervention and prevention programmes.,,This is a demand driven service. The under-performance is due to the low demand for the service. ,Continuous awareness and prevention programmes ,The target was not achieved as planned for Q1.,This is a demand driven service. The over-achievement is a indication of the increased  implementation of  prevention programmes. ,Continuous prevention and early intervention. ,"To date, performance is on track.","Lack of commitment of service users to participate and complete all sessions of community based treatment services.

",Intensify their efforts in terms of marketing of treatment services with specific reference to  community-based treatment and the value thereof.,"Underperformance was noted in Q3, but to date performance is on track.",intensification of  marketing of community base treatment  services resulted in the increased accessibility of  the service ,No corrective action needed ,The annual target is exceeded.,Targeted output is underachieved with reason for deviation and corrective action in place.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action noted for this indicator with underachievement reported.,Performance is noted for this indicator with overachievement reported.,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,5.10: Institutional Funding and Monitoring,Quarterly,1. Number of funding applications assessed,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",0,0,0,0,140,263,180,191,320,454,454,The over achievement is as a result of four additional programmes registered and supported during the financial year thereby creating new additional work opportunities and a number of EPWP participant resignations that were replaced.,No need for corrective action. ,,Not applicable,Not applicable,There is no planned target for Q1.,No target planned for the quarter. ,No need for corrective action. ,Targets planned for 3rd and 4th quarters.,The over-achievement of the target as due to the assessment of  additional funding applications.,No need for corrective action.,"To date, performance is on track.",The over-achievement of the target as due to the assessment of  additional funding applications.,No corrective action needed ,The annual target is exceeded.,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,5.10: Institutional Funding and Monitoring,Quarterly,2.Number of funded organisations monitored,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",30,13,60,88,90,91,30,31,210,223,223,The over-achievement was as a result that Departmental funded programmes reporting more work opportunities created through the funded NPO’s.,No need for corrective.,,Due to cost containment measures not all target organization could be monitored . ,Strengthening of internal controls.,The Q1 target was not achieved as planned.,Increased number of funded organisation monitored for the quarter under review. ,No need for corrective action. ,"To date, performance is on track.",As a result of the additional applications that was assessed more organisations was monitored.,No need for corrective action.,"To date, performance is on track.",Increased number of funded organisation monitored for the quarte,No corrective action needed ,The annual target is exceeded.,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,5.9: Expanded Public Works Programme (EPWP),Annually,1.Number of participants accessing Incentive Grant,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",82,87,,,,,,,82,87,113,The over-achievement is due to additional work opportunities created .,Not applicable ,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,5.9: Expanded Public Works Programme (EPWP),Annually,2.Number of work opportunities created utilizing Departmental budgets,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,1000,1126,1000,1126,1126,The target was over achieve due to ,Not applicable ,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,1.Number of people reached through community mobilization programmes.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",1140,1156,1140,1286,570,971,570,1225,3420,4638,4638,The over-achievement of the target is as a result of the implementation of additional programmes.,No need for corrective action.,,The over-achievement of the target is due to the demand for capacity development sessions ,No need for corrective action ,Q1 target exceeded.,The over-achievement of the target is as a result of additional  programmes being implemented.,No need for corrective action. ,"To date, performance is on track.",The over-achievement of the target is as a result of additional  programmes  implemented.,No need for corrective action.,"To date, performance is on track.",The over achievement of the target is as a result of additional programmes implemented ,No corrective action needed ,The annual target is exceeded.,Targeted output is overachieved with reason for deviation in place.,Overachievement with reason for deviation is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Performance is noted for this indicator with overachievement reported.,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,2.Number of outcomes-based Community Mobilization and Empowerment (CME) reports,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",19,8,19,19,19,19,19,19,19,19,19,"The target has been achieved, as planned.",No need for corrective action. ,,The department is in a process revisiting internal controls in terms of capturing of performance and reporting of the indicator ,Strengthening of internal controls,"Q1 target not achieved, ",Target was achieved as planned.,No need for corrective action.,"To date, performance is on track.",Target achieved as planned. ,No need for corrective action. ,"To date, performance is on track.",Target achieved as planned ,No corrective action needed ,The target was achieved as planned. ,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,1.Number of NPOs capacitated ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",40,102,50,79,20,30,20,83,130,294,294,,,,Additional NPO's was capacitated ,No need for corrective action. ,The Q1 target was exceeded.,The over-achievement is as a result of increased number of NPO's capacitated. ,Continuous advocacy and awareness. ,"To date, performance is on track.",Additional NPO's capicitated during quarter  3.,No need for corrective action. ,"To date, the annual target is already achieved. ",Due to collaborated efforts with other stakeholders allowed for potential NPO's  to be capacitated hence the increase of the target ,No corrective action needed ,The annual target is exceeded.,Overachievement noted with reason for deviation.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Performance is noted for this indicator with overachievement reported.,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Annually,4.Number of cooperatives linked to economic opportunities,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,10,10,,,10,10,10,Target achieved as planned. ,The continue lobbing and advocating for economic opportunities for cooperatives.,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,1.Number of people benefitting from poverty reduction initiatives.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",219,581,371,107,206,68,0,52,796,808,808,"The over-achievement of the target is as a result of additional people that could be appointed to benefit to earn an income at food outlets

",No need for corrective action. ,,Additional people was identified to benefit from  poverty reduction initiatives ,No need for corrective action,The Q1 target was exceeded.,"The under-achivement of the target is due to non compliance by NPO's, therefore fewer NPO's could be reached. ",Continuous advocacy and awareness. ,"To date, performance is on track.",The under-achievement of the target is a result of NPOs not being funded due to non-compliance and the mismanagement of previous funds received.,Intensified monitoring and capacity building. ,"To date, performance is on track.",The under-achievement of the target is a result of NPOs not being funded due to non-compliance and the mismanagement of previous funds received.,Intensified Monitoring and Capacity Building of NPO's,The annual target is exceeded.,Overachievement is noted for this indicator.,"Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.

",Performance is acknowledged for this indicator.,"Although nothing was targeted for, actual performance with reason for deviation and corrective action are included for this indicator.

",58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,2.Number of households accessing food through DSD food security programmes.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",689,791,1372,729,1053,709,886,1140,4000,3369,3369,The under-achievement of the target is as a result of the demand for food parcels,Strengthen key control measures with regard to people accessing food through DSD feeding programmes.,,During the winter season additional people benefitted DSD food security programmes.,No need for corrective action,The Q1 target was exceeded.,The reason for the under-achievement is that this is a needs based service and during the quarter under review there was a low demand for the service. ,Continuous advocacy and awareness. ,"Due to the underperformance in Q2, to date performance is not on track.",This is a needs-based service and is based on the number of applications received for households in distress,Continuous advocacy and awareness of the service. ,"To date, performance is not on track. ",This is a needs-based service and is based on the number of applications received for households in distress,Continues advocacy and awareness of the service ,"To date, performance is not on track.",Targeted output is overachieved with the reason for deviation reported.,"Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.

",Underachievement is noted for this indicator with reason for deviation and corrective action in place.,Over achievement recorded with reason for deviation for this indicator is noted.,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,3.Number of people accessing food through DSD feeding programmes (centre-based),Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",13153,21005,20200,12237,11284,7295,8363,5203,53000,45740,45740,The under-achievement of the target is as a result of a number of organizations were not funded due to non-compliance and mismanagement of previous funds received and non-compliance with Health inspector regulations.,Strengthening of monitoring and support of organisations.,,As a result of the winter season and the closure of school there was an influx of people at soup kitchen's ,No need for corrective action,The Q1 target was exceeded.,The reason for the under-achievement is that this is a needs based service and during the quarter under review there was a low demand for the service. ,Continuous advocacy and awareness. ,"Due to the underperformance in Q2, to date performance is not on track.",The under-achievement of the target is a result of NPOs not being funded due to non-compliance and the mismanagement of previous funds received,Intensified monitoring and capacity building of NPO's. ,"To date, performance is not on track.",The under-achievement of the target is a result of NPOs not being funded due to non-compliance and the mismanagement of previous funds received.,Intensified Monitoring and Capacity Building of NPO's,"To date, performance is not on track.","The same comment as above applies, submission noted.","Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.

",Same comment as above applies.,Under achievement recorded with reason for deviation for this indicator is noted.,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Annually,2.Number of community based plans developed.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,19,19,19,19,19,No target planned for this quarter.,No need for corrective action,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,1.Number of households profiled.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",650,404,650,0,650,418,650,892,2600,1714,1714,"The system failures experienced by  the electronic NISIS system probed the Department to developed their own  tool and database. Training on the mentioned tool took longer than anticipated, hence not all targeted households were profiled, therefore the under-achievement.",Continue strengthening internal controls.,,"Challenges experienced with the NSIS system, thus the department resorted to using a manual system. ",Strengthening of internal controls,The Q1 target was exceeded.,,,"To date, performance is not on track, due to the underperformance in Q2.",The NDSD NISIS household profiling system crashed and forced Prog 5 to introduce a new household profile template. Q3 was used in the main to conduct training for all community development staff on the template and database.,"Continuous training, monitoring and strengthening of internal controls. ","To date, performance is not on track. ",The reason for the over achievement was as a result of the training on the Manual systems ,Continuous training on manual system  and monitoring thereof.,"To date, performance is not on track.",Underachievement noted with reason for deviation and corrective action.,"
Reason for deviation and corrective action should have been provided considering this indicator was targeted for although zero output is reported.


",Reason for deviation and corrective action noted for this indicator with underachievement reported.,Over achievement recorded with reason for deviation for this indicator is noted.,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,1.Number of youth development structures supported.,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",24,24,24,28,24,28,24,29,24,29,29,The target has been exceeded due to the funding of an additional youth development structure.,Continued support of youth development structures.,,Target achieved as planned ,No need for corrective action ,The Q1 target was achieved as planned.,Increased number of youth structures was supported. ,No need for corrective action. ,"To date, performance is on track.","
The over-achievement is as a result of additional youth structures supported.
",No need for corrective action.,"To date, the annual target is already achieved. ",The over-achievement is as a result of additional youth structures supported.,No corrective action needed ,Annual target exceeded.,Targeted output is achieved.,Overachievement with reason for deviation is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Over achievement recorded with reason for deviation for this indicator is noted.,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,2.Number of youth participating in skills development programmes.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",0,13,100,35,50,88,0,124,150,260,260,The over-achievement of the target is as a result of  partnerships that were formed with institutions of learning.,No need for corrective action. ,,"No skills development programmes planned for this quarter, yet JTG skills development programmes beneficiaries graduated in this quarter.",No need for corrective action ,"Performance noted, no planned target for Q1.",The under-achievement is as a result of the delay in the moderation process of the trainings.,Strengthen internal controls,"To date, performance is not on track.",The over-achievement of the target is as a result of partnerships with between the Department and stakeholders which resulted in greater access to skills development programmes ,No need for corrective action.,"To date, performance is not on track.",The under achievement of target was due to the fact that the training was concluded in the 4th quarter  ,No corrective action needed ,Annual target exceeded.,Actual output is noted as well the reason for deviation.,"Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.

",Reason for deviation noted for this indicator with overachievement reported.,"Although nothing was targeted for, actual performance with reason for deviation is included for this indicator.",58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,3.Number of youth participating in youth mobilization programmes.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",10000,8044,8500,10661,7500,9717,6000,9790,32000,38212,6212,"Innovation and partnerships during the implementation of needs-based services and programmes more young people were reached, which resulted in the over-achievement of the target.",No need for corrective action. ,,Delay in funding of Youth services centres lead to under-achievement,Strengthening of internal controls ,Q1 target was not achieved as planned.,The over-achievement is as a result of additional centres that was funded. ,No need for corrective action. ,"To date, performance is on track.",The over-achievement of the target is due to partnerships with different stakeholders.,No need for corrective action.,"To date, performance is not on track.",The over-achievement of the target is due to partnerships with different stakeholders.,No corrective action needed ,Annual target exceeded.,Underachievement is noted with reason for deviation and corrective action in place.,Overachievement with reason for deviation is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Over achievement recorded with reason for deviation for this indicator is noted.,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.7:	Women development,Quarterly,1. Number of women participating in empowerment programmes.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",0,0,90,39,60,82,0,21,150,142,142,The under -achievement of the target is as a result of  delay in securing of credible service providers to provide empowerment programmes.,Strengthen key control measures with regard to the empowerment programmes for women.,,No target planned for this quarter,No need for corrective action ,Targets planned for Q2 & 3,There was a delay in the appointment of the service providers for the identified trainings.,Strengthening of internal controls. ,"To date, performance is not on track.","The target was over-achieved due to additional skills empowerment development programmes implemented.

",No need for corrective action. ,"The taregt was exceeded in Q3, bu to date performance is not on track.",The target was over-achieved due to additional skills empowerment development programmes implemented.,No corrective action needed ,"To date, performance is not on track.",,"Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.

",Reason for deviation noted for this indicator with overachievement reported.,"Although nothing was targeted for, actual performance with reason for deviation is reported.",58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Annually,3.Number of Population Policy Monitoring and Evaluation reports produced.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,1,1,1,1,1,No target planned for this quarter. ,Not applicable ,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Annually,4.Number of research projects completed.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",,,,,,,1,2,1,2,2,The over achievement of the target was due to the high social ills and crime statics that was released hence the demand.    , No corrective action needed ,,,,,,,,,,,,,,,,,,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,1.Number of population capacity development sessions conducted.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",2,3,2,5,2,8,2,4,8,20,20,The over-achievement of the target is due to the demand for capacity development sessions.,No need for corrective action.,,The reason for the over-achievement is that additional session conducted ,No need for corrective action,Q1 target exceeded.,The over-achievement of the target is due to the demand for capacity development sessions,No need for corrective action. ,Performance achieved to date shows the annual target is already achieved. ,The over-achievement of the target is due to the demand for capacity development sessions,No need for corrective action. ,"To date, the annual target is already exceeded.",The over-achievement of the target is due to the demand for capacity development sessions,No corrective action needed ,Annual target exceeded.,Targeted output is overachieved.,Overachievement with reason for deviation is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Over achievement recorded with reason for deviation for this indicator is noted,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,"2.Number of Population Advocacy, Information, Education and Communication (IEC) activities implemented.",Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",5,6,6,12,5,5,5,7,21,30,30,The over-achievement of the target is due to the demand for information in terms of evidence-based planning.,No need for corrective action.,,Target was reached as planned. ,No need for corrective action,Q1 target exceeded.,"The over-achievement of the target is due to the demand for the service, given the need for evidence based planning

",No need for corrective action. ,"To date, performance is on track. ","Target was achieved as planned.  This was to ensure that the demand for the service is met, given the need for evidence based planning",No need for corrective action. ,"To date, the annual target is already exceeded.","arget was achieved as planned.  This was to ensure that the demand for the service is met, given the need for evidence based planning",No corrective action needed ,Annual target exceeded.,Targeted output is overachieved.,Overachievement with reason for deviation is noted for this indicator.,Targeted output achieved.,Over achievement recorded with reason for deviation for this indicator is noted,58
Social Development,Social Development,Northern Cape,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,5.Number of demographic profiles completed.,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Driver 2: Social Equity and Human Welfare ,"The Social Protection, Community and Human Development cluster",9,14,10,16,9,14,9,9,37,53,53,The over-achievement of the target is due to the demand/requisition of information from stakeholders ,,,"The reason for the over-achievement was, additional profiles was done ",No need for corrective action,Q1 target exceeded.,The over-achievement of the target is due to the demand/requisition of information from stakeholders ,No need for corrective action. ,"To date, performance is on track. ",The over-achievement of the target is due to the demand/requisition of information from stakeholders ,No need for corrective action. ,"To date, the annual target is already exceeded.",Target achieved ,No corrective actions needed ,Annual target exceeded.,Targeted output is overachieved with reason for deviation in place.,Overachievement with reason for deviation is noted for this indicator.,Reason for deviation noted for this indicator with overachievement reported.,Targeted output is achieved for this indicator.,58
