Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q3,National_Q2,DesiredPerformance,UID
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Audit opinion of FS Department of Health,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,Unqualified  opinion,Audit is still in progress,Unqualified  opinion,Audit is still in progress,,,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Number of business processes automated ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,4,4,4,4,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Number of district hospitals implementing HMS2,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,16,16,16,16,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Number of facilities with security QIPs implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,60,0,60,0,,Target not achieved,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Number of research projects recommended for implementation in the department by PHRC,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,3,3,3,3,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,Percentage of internal audit recommendations implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,17 %,100 %,17 %,,"Target not achieved.
Shortage of resources.
Insufficient monitoring of audit action plans.","•	Reprioritization of available resources.
•	Regular follow up by management.
•	Conduct regular follow-up audits. ",,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Annually,"Percentage of most procured goods, services and works awarded to women-owned businesses",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,40 %,,40 %,,,,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,"Number of employees trained on code of conduct, grievance procedure and disciplinary code and procedures",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",750,691,750,1452,750,"

2221",750,1 131,3000,5495,,,,,"Target not achieved. 
•	Practitioners were on leave for part of the quarter, taking their previous cycle’s leave days before they expire. 
",There is already a training schedule drafted for the remaining period of the financial year.,,"Target achieved.
The deviation is due to the previous quarters impact from employees and pensioners who were on leave. 
As a result, the performance was lower than expected, contributing to the deviation in meeting the target.
","conduct additional training on code of conduct, grievance procedure, disciplinary code and procedures virtually through  i-Cam and Microsoft teams.",What is the output achieved?,"Target not achieved. 
Officials were on vacation leave as it was festive season and cost containment measures 
","Training schedule will be populated and confirm availability of officials. 
",,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,"Number of employees trained on code of conduct, grievance procedure and disciplinary code and procedures",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",750,,1500,"

1452",2250,"

2221",3000,3352,3000,7025,,,,,,,,"Target not achieved. 
•	The deviation is due to the previous quarter’s impact from employees and practitioners who were on leave. 
•	As a result. The performance was lower than expected, contributing to the deviation in meeting the initial target. 
","•	Incorporate i-Cam training.
•	Conduct additional training on code of conduct, grievance procedure, disciplinary code and procedures virtually i-Cam and Microsoft Teams 
",,"Target not achieved. 
Officials were on vacation leave as it was festive season.

Cost containment measures also affected progress.
",Training schedule will be populated and confirm availability of officials. ,,Target achieved,"Progress on implementation of Q3 action plan:
Training schedule was populated and submitted to senior managers. 
",,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,Number of public health facilities security audited,Non-Standardized,Min,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",15,0,15,15,15,"
30",15,0,60,0,,,,,"Target not achieved. 
•	There was lack of communication and coordination for the conducting security audits in facilities.
•	10 visits were done in the facility to review security measures implemented.  
 ",Conclude security audits scheduled for the remaining quarters of the financial year.  ,,Target achieved.,"Q1 Progress on action plan
•	The security audits schedule was compiled, and its implementation has commenced. 
",,Target achieved. ,"Q2 Progress on action plan:
Security audit schedule implemented and the Q1 catch-up audits conducted. 
",,"Target not achieved.

Challenges with the provincial security management due to staff shortage and budgetary constraints.",,What is the reason for none achievement of the target?,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,Percentage of invoices paid within 30 days,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",100 %,39.3 %,100 %,73 %,100 %,"
23 %",100 %,32 %,100 %,0 %,,,,,"Target not achieved. 
The payment of Accruals and Payables carried over from the previous financial year was prioritized.
",The remaining A&P must be finalized.  Then the rest of the new invoices received in the current year should be paid.,,"Target not achieved. 
The payment of Accruals and Payables carried over from the previous financial year was prioritized. There are still invoices brought forward that have not yet been paid. 
",The remaining A&P must be finalized.  Then the rest of the new invoices received in the current year should be paid.,,"Target not achieved. 
Due to high value of accruals that the department started the year with, most of the effort went to addressing the backlog. This inadvertently created a new backlog in the current year. 

The department is implementing a first in, first out payment process. 

",,What is the planned corrective action for this deviation?,"Target not achieved.
The shortage of cash resulted in the department not being able to make payments to the suppliers on time. 
",,What is the corrective action in this regard as the deviation is quite significant? ,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,"Percentage of most procured goods, services and works awarded to women-owned businesses",Non-Standardized,Average,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",40 %,36.9 %,40 %,36.2 %,40 %,"

45.7 %",40 %,40.5 %,40 %,0 %,,,,,"Target not achieved. 
Insufficient number of women-owned businesses for goods, services and works with 51% shares in terms of the procurement in the first quarter.","•	Monitor the procurement of specific goods, services and works from women-owned companies through the implementation of the specific goals.
•	Treasury to review the threshold for qualification of the specific goals to accommodate the shareholders with the percentage below 51% in order to enhance participation. 
",,"Target not achieved. 
Insufficient number of women-owned businesses for goods, services and works with 51% shares in second quarter.
","•	Monitor the procurement of specific goods, services and works from women-owned companies through the implementation the specific goals.
•	Treasury to review the threshold for qualification of the specific goals to accommodate the shareholders with the percentage below 51% in order to enhance participation.
",,Target achieved. ,"Q2 Progress on action plan:
Monitoring on the procurement of specific goods, services and works from women-owned companies through the implementation of the specific goals.
",,Target achieved,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,Percentage of summons audited to determine baseline of claimants amenable to mediation,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",100 %,16.7 %,100 %,0 %,100 %,"
50
 %",100 %,100 %,100 %,0 %,,,,,"Target not achieved. 
•	1 case of an explicit NO interest in mediation.
•	4 cases where interest in mediation was not indicated.
",Enquiry to be sent to the 4 plaintiff lawyers on their amenability to mediation.,,"Target not achieved. 
None of the 4 plaintiff’s attorneys indicated amenability to mediation.
","Q1 Progress on action plan
•	No favourable indication on amenability to mediation was received. 

Q2 Action Plan
•	Enquiry to be sent to the 4 plaintiff lawyers on their amenability to mediation. 
",,"Target achieved. 
Mediation is a voluntary process and only 1 out of 2 summons received where mediation was agreed on. ",,,Target achieved. ,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,Percentage of the annual Departmental Budget Allocation Spent,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",25 %,24.4 %,50 %,50 %,75 %,"
72 %",100 %,98 %,100 %,0 %,,,,,"Target not achieved.  
Under expenditure on Current Payments: Compensation of Employees (vacant posts and outstanding pay progression) and Goods & Services.",Payment of accruals.,,Target achieved. ,,,"Target not achieved.
•	The under spending is 3% less on Voted Funds due Compensation of Employees (CoE) due to the non-filling of vacant posts, Goods and Services.
•	Overall Conditional Grants expenditure is 4% less than the benchmark as end of December 2024.

","There will be improvement on CoE due to the appointment of Covid-19 Officials.
All Conditional Grant must ensure that the break even at the end of financial year.
",,"Target not achieved.
The department is underspending on Compensation of Employees, due to the non-filling of posts. Due to cash challenges appointment of employees could not be made.
",,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,Percentage own revenue collected,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",23 %,38.8 %,46 %,113 %,69 %,158 %,92 %,164.1 %,92 %,0 %,,,,,"Target achieved.  
Government of Lesotho made a payment for R36 million.
",Ensure that  all processes are followed by the facilities to ensure that all revenue owed to the state is collected.,,"Target achieved.
Government of Lesotho made an additional payment of R88 million in the second quarter.
",Ensure that all processes are followed by the facilities to ensure that all revenue owed to the state is collected.,,"Target achieved. 
Government of Lesotho made an additional payment against their debt. 

","Ensure that all processes are followed by the facilities to ensure that all revenue owed to the state is collected. 
",,"Target achieved. 
The payment of the outstanding accounts by the Lesotho Government contributed positively to the annual collection. 
",,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Management,Quarterly,Public health dataset timeliness rate,Non-Standardized,Min,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",97.7 %,98.8 %,97.7 %,99.8 %,97.7 %,"
96.8 %",97.7 %,98.2 %,97.7 %,0 %,,,,,Target achieved.,,What is the reason for exceeding the target?,Target achieved,,,"Target not achieved due to
Computer theft and some officials were on leave.
",Report facilities with stolen computers to district management and security.,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 1: Administration,Sub-Programme: Office of the MEC,Annually,Number of districts with functional District Health Councils,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,5,3,5,3,,"Target not achieved.
The District Health Council was relaunched in March 2025 and the 3 districts which achieved were Mangaung Metro, Fezile Dabi and Lejweleputswa districts.",Continuous attendance of council meetings as convened.,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Annually,Number of mental health care practitioners contracted,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,14,0,14,0,,"Target not achieved. 
Delayed recruitment process.
",Performance will improve with appointments.,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Annually,Percentage of functional mental health review boards,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,Target achieved.,Continue to monitor the compliance ,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Annually,Percentage of hospitals compliant on 72-hour mental health assessment,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,13.8 %,10.3 %,13.8 %,10.3 %,,"Target not achieved. 
Infrastructure process hampered progress.",Monitor the implementation of the Mental Health transformation plan progress.,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,Client 18-44 years  screened for hypertension,Non-Standardized,Min,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",74840,328413,74840,255 728,74840,311861,74839,325 383,299359,255728,,,,,Target achieved.,,,Target achieved,,What was the reason for the over-achievement of the target?,Target achieved.,"Continue with health promotion messages, screen clients at risk of developing diabetes and put eligible clients on treatment.",What is the reason behind over-achievement?,Target achieved.,Continue with screening.,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,Client 18-44 years screened for diabetes,Non-Standardized,Min,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",13361,253090,13360,154797,13360,249728,13360,257 831,53441,154797,,,,,Target achieved.,,,Target achieved,,What was the reason for the over-achievement of the target?,Target achieved.,"Continue with health promotion messages, screen clients at risk of developing diabetes and put eligible clients on treatment.",What is the reason behind over-achievement?,Target achieved.,Continue with screening.,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,Client 45 years and older screened for diabetes,Non-Standardized,Min,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",3918,158715,3918,138928,3917,146182,3917,157 502,15670,138928,,,,,Target achieved.,,,Target achieved,,What was the reason for the over-achievement of the target?,Target achieved.,"Continue with health promotion messages, screen clients at risk of developing diabetes and put eligible clients on treatment.",What is the reason behind over-achievement?,Targeted achieved.,Continue with screening,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,Client 45 years and older screened for hypertension,Non-Standardized,Min,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",27359,144931,27359,327164,27359,125295,27358,139 498,109435,125295,,,,,Target achieved.,,,Target achieved,,What was the reason for the over-achievement of the target?,Target achieved.,"Continue with health promotion messages, screen clients at risk of developing diabetes and put eligible clients on treatment.",What is the reason behind over-achievement?,Target achieved.,Continue with screening.,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,Normal Haemoglobin A1c (HbA1c) test with result =8% rate,Non-Standardized,Average,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",55 %,,55 %,No Report from NHLS %,55 %,66 %,55 %,60  %,55 %,0 %,,,,,,,,The HbA1C testing information is currently unavailable due to the cyber attacks on the NHLS systems.,To convene a meeting with Information Management to explore the manual system.,,Target achieved.,"•	To scale up monitoring of facilities that are not correctly managing patients that are diabetic to increase adherence to treatment.
•	To distribute 50 boxes (13 000) test strips received from a donor (Promed Technologies) to replace expired test strips.",What is the reason behind over-achievement?,Target achieved.,Continue with screening.,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,Normal Hemoglobin A1c (HbA1c) test with result <7% rate,Non-Standardized,Min,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",60 %,55.1 %,60 %,,60 %,66 %,60 %,60 %,60 %,55.1 %,,,,,"Target not achieved. 
•	This is a report containing April & May 2024 only, NHLS experienced a cyber attacked and could not retrieve data for June 2024.  
","•	Training and on-site monitoring on National User guideline on the prevention and treatment of hypertension in adults.
•	District training of nurses to take place in September. 
",,,,,Target achieved.,"•	To scale up monitoring of facilities that are not correctly managing patients that are diabetic to increase adherence to treatment.
•	To distribute 50 boxes (13 000) test strips received from a donor (Promed Technologies) to replace expired test strips.
",What is the reason behind over-achievement?,Target achieved.,Continue with screening.,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,Number of mental health clients seen by contracted mental health care practitioners at PHC level,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",2100,623,2100,1226,2100,1556 (accumulative 3519),2100,1 234,8400,3404,,,,,"Target not achieved. 
Services were provided for two months, May and June, the 1st month was used for orientation of all contacted professionals.
","•	Create service demand at PHC level.
•	The APP target will be revised in line with the approved 2024 /2025 NHI Business Plan.
",,"Target not achieved.
Delayed appointments  of additional mental health professionals.
",Finalize appointment of additional professionals.,What was the actual reason behind the delayed appointment?,"Target was achieved.
Performance was affected by delayed appointments.","Q2 Action Plan progress:
Submission on request to appoint was sent to Provincial Treasury for approval since 09 December 2024.

Q3 Progress:
Escalate the matter to the DDG's office for intervention.",The target is not achieved...,"Target not achieved. 
Performance was affected by the delayed appointment of additional professionals.","Progress on implementation of Q3 action plan:
The submission to appoint additional professionals was approved. 
Q4 Action Plan:
Short listing and interviews concluded, and appointments will be finalized in quarter one.",,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,Number of mental health clients seen by contracted mental health care practitioners at PHC level,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",1680,,1680,1226,1680,"1 556
(Accumulative 3 519)
",1680,1 234,6720,1226,,,,,,,,"Target not achieved.
Delayed appointment of additional mental health professionals.
",Finalize appointment of additional professionals.,What was the actual reason behind the delayed appointment?,(less 125) Performance is affected by delayed appointments).,"Q2 Progress on action plan:
Follow up done, the submission is 
still at treasury since 9th December 2024 for approval.

Q3 Action Plan:
Escalated to the office of the DDG for intervention.
",,"Target not achieved. 
Performance was affected by the delayed appointment of additional professionals.
","Progress on implementation of Q3 action plan:
The submission to appoint additional professionals was approved. 
Q4 Action Plan:
Short listing and interviews concluded, and appointments will be finalized in quarter one.",,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: Community Based Services (Disease Prevention and Control {DPC}),Quarterly,PHC mental disorders treatment rate new,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",0.01 %,0.01 %,0.01 %,0.01 %,0.01 %,0.0 %,0.01 %,0.0 %,0.01 %,0 %,,,,,Target achieved.,,,Target achieved,,,Target not achieved. ,To conduct Data clean-up .,,"Target not achieved. 
Contracted mental health professional’s data not captured into the DHIS.
","Progress on implementation of Q3 action plan:
Data clean up done and gaps identified.

Q4 Action Plan:
Train all contacted officials and provide them with access to capture in the DHIS.
Develop a mental health register for the capturing of all clients seen by contracted officials. Contracted professionals will be provided with a register, training and the access to capture data into the system.",,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Annually,Ideal hospital status obtained rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,20 %,36 %,20 %,36 %,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Annually,Maternal deaths in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,9,5,9,5,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,80 %,82 %,80 %,82 %,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Annually,Percentage of hospitals implementing quality improvement programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,60 %,100 %,60 %,,"Target not achieved. 
Some components in hospital QIPs have not yet been completed.",Incomplete components to be assisted to complete their QIP’s.,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Annually,Percentage of hospitals with functional hospital boards,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,92 %,100 %,92 %,,"Target not achieved. 
Tokollo and Mafube District Hospital Complex board lost members. 
",Appoint new hospital board members.,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Quarterly,Cervical cancer screening ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",80,63,360,632,300,144,120,70,860,70,,,,,"Target not achieved.
Low demand of cervical cancer screening in the district hospitals.
","•	Training & onsite mentoring planned. 
•	Intensify campaigns to promote uptake in the districts.
",What is the reason for the deviation on exceeding the target?,"Target achieved.
The female patients visited the facilities were offered cancer screening additional to the services required.",-	Continue to provide comprehensive package.,What was the reason behind the over-achievement reported?,"Target not achieved.
District Hospitals conduct a few cervical cancer screenings as most screenings take place at PHC level.
","•	Target allocated to each PN = 10pd. Still not winning for districts scoring low.
•	Casualties and OPD to be equipped for patient smears.
•	Advocate 1 smear per PN per day --Address the APP targets during hospital support visits.
•	Have health promotion talks in waiting areas.
",,"Target not achieved.
District Hospitals conduct a few cervical cancer screenings as most screening takes place at PHC level.","•	Casualties and OPD to be equipped for patient smears.
•	Advocate 1 smear per PN per day --Address the APP targets during hospital support visits.
•	Have health promotion talks in waiting areas.",,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",1.2 %,0.41 %,1.2 %,0 %,1.2 %,0.8 %,1.2 %,1.2 %,1.2 %,0 %,,,,,Target achieved,,,Target achieved,,,"Target achieved.
",,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Quarterly,Child under 5 years pneumonia case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",1.1 %,0.36 %,1.1 %,1.1 %,1.1 %,2.8 %,1.1 %,2.6 %,1.1 %,0 %,,,,,Target achieved,,,Target achieved,,,"Target not achieved.
TM contributed to a high case fatality rate: El Ross case fatality rate is 7%. Phumelela had 20%. Other districts achieved their target.
","•	Identify referral facility and follow up on progress at the local area
•	Check RTHC for fully vaccinations.
•	Exclude possible TB disease in cases that died.
",,"Target not achieved. 
•	Late presentation with peeling skin, oral thrush and diarrhea
•	Thusanong Hospital:  2 deaths out of 17 admissions. Late presentations with complications.","•	Encourage mothers to seek early medical intervention
•	Nutritional education to be done at maternity by dietician.
•	Daily monitoring of all babies admitted in the wards
•	Register and addresses of patients lost to follow-up to be provided to district OTLs to assist with home support visits.",,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Quarterly,Child under 5 years severe acute malnutrition case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",3 %,8.2 %,3 %,12.1 %,3 %,10.4 %,3 %,7.8 %,3 %,0 %,,,,,"Target not achieved.
•	1 out of 9 inpatient separations in Botshabelo
•	5 deaths in Lejweleputswa district due to late presentation to the hospital in a critical condition with poor prognosis.
•	1 death under 6 days in National Hospital. 8 deaths under 5 years in Botshabelo. 1 death under 6 days in Dr JS Moroka
•	1 death recorded at Diamant DH in Xhariep.
","•	Continue strengthening early detection and referral to high level of care.
•	Strengthen early detection and referral to high level of care.
•	Encouragement on exclusive breastfeed
•	Seeking of early medical intervention
•	Educate mothers on Road to health Chart weight monitoring for nutrition and supplement
•	Engage social workers on discharged
•	Enforce clinical audits at PHC
",,"Target not achieved. 
•	Social factors such as neglect as well as other health risks contributed to the SAM deaths District Hospitals.
•	There were children with poor prognoses.
•	Delayed health care seeking behaviour. 

","•	Strengthen screening for malnutrition at all levels of care and management of identified cases. 
•	Continue with the IMCI refresher trainings and in-service trainings as and when needs are identified at facility level.
•	Health promotions to take place for all stakeholders. 
•	Conduct root cause analysis.
•	Strengthen rural health services.
",,"Target not achieved.
•	Dr JS Moroka had 1 SAM case fatality in Q3. Cause of death was PTB (diagnosed postmortem). Botshabelo Hospital  had 1 death where MDR TB was also diagnosed postmortem
•	1 Death reported in December 2024 at Albert Nzula District Hospital (Kopanong Sub-district) due to late presentation.
","•	Strengthen community knowledge and motivation on importance of regular PHC Child Care visits to strengthen early detection of malnutrition, TB, pneumonia and other risks and the correct management thereof. 
•	 Continued strengthening of the implementation of the SAM and IMCI management protocols at PHC and hospital levels.
•	Health education on danger signs in under 5yrs to ensure early health care seeking behaviour done continuously during PHC visits
•	DCST-FP, Epidemiologist and ASD-Dietetics to Conduct RCA and QIPs on findings to be implemented accordingly.
",,"Target not achieved. 
•	High death rate with low separations in Botshabelo (6 SAM deaths) out of 26 separations and 1 SAM death for the year in Dr JS Moroka in Q3 out 20 separations for the year. ","•	Continued strengthening of the implementation of the SAM and IMCI management protocols at PHC and hospital levels.
•	Continued implementation of Nutritional Supplementation Policy at PHC facilities.
•	Monitor that MUAC screening and or growth monitoring at outreach activities and PHC facilities is conducted.",,,,,,256
Health,Health,Free State,Programme 2: District Health Services,Sub-Programme: District Hospitals,Quarterly,Death under 5 years against live birth rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",0.4 %,0.68 %,0.4 %,0.85 %,0.4 %,2.3 %,0.4 %,2.4 %,0.4 %,0 %,,,,,"Target not achieved. 
•	1 macerated still birth recorded and reported at Diamant DH.
•	High under 5 years death rates: National Hospital had 1 death under 6 days and Botshabelo had 8 deaths under 5 years and Dr JS Moroka had 1 death under 6 days. 
","•	Women to be encouraged to attend PHC facilities early to get supplements and be monitored for early diagnosis and treatment of UTIs.
•	Strengthen early detection and referral to high level of care
",,"Target not achieved. 
•	There was a late presentation and poor prognoses in Mohau Hospital and a preterm birth in Nala sub-district.
•	Delay in seeking medical attention and one child was a down referral with congenital disorders at birth.
",High risk patients seen at PHC and hospitals to be followed up and monitored.,,"Target not achieved.
•	TM has 0.95% death under 5 against live birth
•	Lejweleputswa has 2 deaths: Unbooked mother with pre-term delivery of 900g (severe prematurity of unknown cause) that survived 4 hours. Severe malnutrition unresponsive at 16 months non-clinic attendance (social issues)
•	1 Death recorded and reported in December 2024 in Albert Nzula District Hospital.","•	Promote early antenatal care before 20 weeks. 
•	Strengthen breast feeding education 
•	Case investigation of the under 5 death to be finalized and QIPs to be implemented and reported accordingly.
",,"Target not achieved. 
•	High death rate with low separations in Botshabelo (6 SAM deaths) out of 26 separations and 1 SAM death for the year in Dr JS Moroka in Q3 out 20 separations for the year. ","•	Continued strengthening of the implementation of the SAM and IMCI management protocols at PHC and hospital levels.
•	Continued implementation of Nutritional Supplementation Policy at PHC facilities.
•	Monitor that MUAC screening and or growth monitoring at outreach activities and PHC facilities is conducted.",,,,,,256
