administration_type;government_institution;project_slug;sector;project_name;project_description;gps_code;nature_of_investment;infrastructure_type;current_project_stage;sip_category;project_value_rands;br_featured;featured;financial_year;budget_phase;amount_rands
National;Defence;defence_upgrade_and_refurbishment_of_the_south_african_military_health_training_centre_phase_2_nurses_college;Justice, Crime Prevention and Security;Upgrade and refurbishment of the South African Military Health Training Centre: Phase 2 (nurses college);Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-29.08148442;26.19360267";Rehabilitation and refurbishment;Training Centre;On Hold;Not related to SIPs;2128866000;;TRUE;2023;Audited Outcome;0
National;Defence;defence_upgrade_and_refurbishment_of_the_south_african_military_health_training_centre_phase_2_nurses_college;Justice, Crime Prevention and Security;Upgrade and refurbishment of the South African Military Health Training Centre: Phase 2 (nurses college);Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-29.08148442;26.19360267";Rehabilitation and refurbishment;Training Centre;On Hold;Not related to SIPs;2128866000;;TRUE;2024;Adjusted Appropriation;0
National;Defence;defence_upgrade_and_refurbishment_of_the_south_african_military_health_training_centre_phase_2_nurses_college;Justice, Crime Prevention and Security;Upgrade and refurbishment of the South African Military Health Training Centre: Phase 2 (nurses college);Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-29.08148442;26.19360267";Rehabilitation and refurbishment;Training Centre;On Hold;Not related to SIPs;2128866000;;TRUE;2025;MTEF;0
National;Defence;defence_upgrade_and_refurbishment_of_the_south_african_military_health_training_centre_phase_2_nurses_college;Justice, Crime Prevention and Security;Upgrade and refurbishment of the South African Military Health Training Centre: Phase 2 (nurses college);Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-29.08148442;26.19360267";Rehabilitation and refurbishment;Training Centre;On Hold;Not related to SIPs;2128866000;;TRUE;2026;MTEF;0
National;Defence;defence_upgrade_and_refurbishment_of_the_south_african_military_health_training_centre_phase_2_nurses_college;Justice, Crime Prevention and Security;Upgrade and refurbishment of the South African Military Health Training Centre: Phase 2 (nurses college);Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-29.08148442;26.19360267";Rehabilitation and refurbishment;Training Centre;On Hold;Not related to SIPs;2128866000;;TRUE;2027;MTEF;0
National;Defence;defence_refurbishment_of_airforce_base_bloemspruit;Justice, Crime Prevention and Security;Refurbishment of Airforce Base Bloemspruit;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"29.10101204  ; 26.30772499";Rehabilitation and refurbishment;Airforce Base;Design;Not related to SIPs;1083304000;;TRUE;2021;Audited Outcome;0
National;Defence;defence_refurbishment_of_airforce_base_bloemspruit;Justice, Crime Prevention and Security;Refurbishment of Airforce Base Bloemspruit;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"29.10101204  ; 26.30772499";Rehabilitation and refurbishment;Airforce Base;Design;Not related to SIPs;1083304000;;TRUE;2022;Audited Outcome;8974000
National;Defence;defence_refurbishment_of_airforce_base_bloemspruit;Justice, Crime Prevention and Security;Refurbishment of Airforce Base Bloemspruit;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"29.10101204  ; 26.30772499";Rehabilitation and refurbishment;Airforce Base;Design;Not related to SIPs;1083304000;;TRUE;2023;Audited Outcome;2200000
National;Defence;defence_refurbishment_of_airforce_base_bloemspruit;Justice, Crime Prevention and Security;Refurbishment of Airforce Base Bloemspruit;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"29.10101204  ; 26.30772499";Rehabilitation and refurbishment;Airforce Base;Design;Not related to SIPs;1083304000;;TRUE;2024;Adjusted Appropriation;0
National;Defence;defence_refurbishment_of_airforce_base_bloemspruit;Justice, Crime Prevention and Security;Refurbishment of Airforce Base Bloemspruit;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"29.10101204  ; 26.30772499";Rehabilitation and refurbishment;Airforce Base;Design;Not related to SIPs;1083304000;;TRUE;2025;MTEF;0
National;Defence;defence_refurbishment_of_airforce_base_bloemspruit;Justice, Crime Prevention and Security;Refurbishment of Airforce Base Bloemspruit;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"29.10101204  ; 26.30772499";Rehabilitation and refurbishment;Airforce Base;Design;Not related to SIPs;1083304000;;TRUE;2026;MTEF;0
National;Defence;defence_refurbishment_of_airforce_base_bloemspruit;Justice, Crime Prevention and Security;Refurbishment of Airforce Base Bloemspruit;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"29.10101204  ; 26.30772499";Rehabilitation and refurbishment;Airforce Base;Design;Not related to SIPs;1083304000;;TRUE;2027;MTEF;0
National;Defence;defence_refurbishment_and_additions_to_2_mil_hosp_cape_town;Justice, Crime Prevention and Security;Refurbishment and additions to 2 Mil Hosp Cape Town;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.00401568; 18.45457775";Rehabilitation and refurbishment;Hospital;Final Completion;Not related to SIPs;1006427000;;TRUE;2021;Audited Outcome;34761000
National;Defence;defence_refurbishment_and_additions_to_2_mil_hosp_cape_town;Justice, Crime Prevention and Security;Refurbishment and additions to 2 Mil Hosp Cape Town;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.00401568; 18.45457775";Rehabilitation and refurbishment;Hospital;Final Completion;Not related to SIPs;1006427000;;TRUE;2022;Audited Outcome;2720000
National;Defence;defence_refurbishment_and_additions_to_2_mil_hosp_cape_town;Justice, Crime Prevention and Security;Refurbishment and additions to 2 Mil Hosp Cape Town;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.00401568; 18.45457775";Rehabilitation and refurbishment;Hospital;Final Completion;Not related to SIPs;1006427000;;TRUE;2023;Audited Outcome;1316000
National;Defence;defence_refurbishment_and_additions_to_2_mil_hosp_cape_town;Justice, Crime Prevention and Security;Refurbishment and additions to 2 Mil Hosp Cape Town;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.00401568; 18.45457775";Rehabilitation and refurbishment;Hospital;Final Completion;Not related to SIPs;1006427000;;TRUE;2024;Adjusted Appropriation;14450000
National;Defence;defence_refurbishment_and_additions_to_2_mil_hosp_cape_town;Justice, Crime Prevention and Security;Refurbishment and additions to 2 Mil Hosp Cape Town;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.00401568; 18.45457775";Rehabilitation and refurbishment;Hospital;Final Completion;Not related to SIPs;1006427000;;TRUE;2025;MTEF;0
National;Defence;defence_refurbishment_and_additions_to_2_mil_hosp_cape_town;Justice, Crime Prevention and Security;Refurbishment and additions to 2 Mil Hosp Cape Town;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.00401568; 18.45457775";Rehabilitation and refurbishment;Hospital;Final Completion;Not related to SIPs;1006427000;;TRUE;2026;MTEF;0
National;Defence;defence_refurbishment_and_additions_to_2_mil_hosp_cape_town;Justice, Crime Prevention and Security;Refurbishment and additions to 2 Mil Hosp Cape Town;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.00401568; 18.45457775";Rehabilitation and refurbishment;Hospital;Final Completion;Not related to SIPs;1006427000;;TRUE;2027;MTEF;0
National;Defence;defence_refurbishment_of_6_sai_bn_grahamstown;Justice, Crime Prevention and Security;Refurbishment of 6 SAI Bn, Grahamstown;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-33.28412889; 26.51000586";Rehabilitation and refurbishment;Military Base;Design;Not related to SIPs;776282000;;TRUE;2021;Audited Outcome;48000
National;Defence;defence_refurbishment_of_6_sai_bn_grahamstown;Justice, Crime Prevention and Security;Refurbishment of 6 SAI Bn, Grahamstown;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-33.28412889; 26.51000586";Rehabilitation and refurbishment;Military Base;Design;Not related to SIPs;776282000;;TRUE;2022;Audited Outcome;2779000
National;Defence;defence_refurbishment_of_6_sai_bn_grahamstown;Justice, Crime Prevention and Security;Refurbishment of 6 SAI Bn, Grahamstown;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-33.28412889; 26.51000586";Rehabilitation and refurbishment;Military Base;Design;Not related to SIPs;776282000;;TRUE;2023;Audited Outcome;4500000
National;Defence;defence_refurbishment_of_6_sai_bn_grahamstown;Justice, Crime Prevention and Security;Refurbishment of 6 SAI Bn, Grahamstown;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-33.28412889; 26.51000586";Rehabilitation and refurbishment;Military Base;Design;Not related to SIPs;776282000;;TRUE;2024;Adjusted Appropriation;409000
National;Defence;defence_refurbishment_of_6_sai_bn_grahamstown;Justice, Crime Prevention and Security;Refurbishment of 6 SAI Bn, Grahamstown;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-33.28412889; 26.51000586";Rehabilitation and refurbishment;Military Base;Design;Not related to SIPs;776282000;;TRUE;2025;MTEF;0
National;Defence;defence_refurbishment_of_6_sai_bn_grahamstown;Justice, Crime Prevention and Security;Refurbishment of 6 SAI Bn, Grahamstown;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-33.28412889; 26.51000586";Rehabilitation and refurbishment;Military Base;Design;Not related to SIPs;776282000;;TRUE;2026;MTEF;0
National;Defence;defence_refurbishment_of_6_sai_bn_grahamstown;Justice, Crime Prevention and Security;Refurbishment of 6 SAI Bn, Grahamstown;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-33.28412889; 26.51000586";Rehabilitation and refurbishment;Military Base;Design;Not related to SIPs;776282000;;TRUE;2027;MTEF;0
National;Defence;defence_construction_of_base_hospital_and_medical_staff_housing_in_pe;Justice, Crime Prevention and Security;Construction of Base Hospital and medical staff housing in PE;Construction of military base health care centres and support capabilities;"-33,958288;25.599652";New infrastructure assets;Medical facilities;Final Completion;Not related to SIPs;981206000;;TRUE;2021;Audited Outcome;146863000
National;Defence;defence_construction_of_base_hospital_and_medical_staff_housing_in_pe;Justice, Crime Prevention and Security;Construction of Base Hospital and medical staff housing in PE;Construction of military base health care centres and support capabilities;"-33,958288;25.599652";New infrastructure assets;Medical facilities;Final Completion;Not related to SIPs;981206000;;TRUE;2022;Audited Outcome;432414000
National;Defence;defence_construction_of_base_hospital_and_medical_staff_housing_in_pe;Justice, Crime Prevention and Security;Construction of Base Hospital and medical staff housing in PE;Construction of military base health care centres and support capabilities;"-33,958288;25.599652";New infrastructure assets;Medical facilities;Final Completion;Not related to SIPs;981206000;;TRUE;2023;Audited Outcome;222748000
National;Defence;defence_construction_of_base_hospital_and_medical_staff_housing_in_pe;Justice, Crime Prevention and Security;Construction of Base Hospital and medical staff housing in PE;Construction of military base health care centres and support capabilities;"-33,958288;25.599652";New infrastructure assets;Medical facilities;Final Completion;Not related to SIPs;981206000;;TRUE;2024;Adjusted Appropriation;126458000
National;Defence;defence_construction_of_base_hospital_and_medical_staff_housing_in_pe;Justice, Crime Prevention and Security;Construction of Base Hospital and medical staff housing in PE;Construction of military base health care centres and support capabilities;"-33,958288;25.599652";New infrastructure assets;Medical facilities;Final Completion;Not related to SIPs;981206000;;TRUE;2025;MTEF;16905000
National;Defence;defence_construction_of_base_hospital_and_medical_staff_housing_in_pe;Justice, Crime Prevention and Security;Construction of Base Hospital and medical staff housing in PE;Construction of military base health care centres and support capabilities;"-33,958288;25.599652";New infrastructure assets;Medical facilities;Final Completion;Not related to SIPs;981206000;;TRUE;2026;MTEF;17558000
National;Defence;defence_construction_of_base_hospital_and_medical_staff_housing_in_pe;Justice, Crime Prevention and Security;Construction of Base Hospital and medical staff housing in PE;Construction of military base health care centres and support capabilities;"-33,958288;25.599652";New infrastructure assets;Medical facilities;Final Completion;Not related to SIPs;981206000;;TRUE;2027;MTEF;18260000
National;Defence;defence_refurbishment_of_afb_overberg;Justice, Crime Prevention and Security;Refurbishment of AFB Overberg;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.56544257;20.25178277";Rehabilitation and refurbishment;Military Base;Construction 76% - 99%;Not related to SIPs;365892000;;TRUE;2021;Audited Outcome;10085000
National;Defence;defence_refurbishment_of_afb_overberg;Justice, Crime Prevention and Security;Refurbishment of AFB Overberg;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.56544257;20.25178277";Rehabilitation and refurbishment;Military Base;Construction 76% - 99%;Not related to SIPs;365892000;;TRUE;2022;Audited Outcome;1033000
National;Defence;defence_refurbishment_of_afb_overberg;Justice, Crime Prevention and Security;Refurbishment of AFB Overberg;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.56544257;20.25178277";Rehabilitation and refurbishment;Military Base;Construction 76% - 99%;Not related to SIPs;365892000;;TRUE;2023;Audited Outcome;17859000
National;Defence;defence_refurbishment_of_afb_overberg;Justice, Crime Prevention and Security;Refurbishment of AFB Overberg;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.56544257;20.25178277";Rehabilitation and refurbishment;Military Base;Construction 76% - 99%;Not related to SIPs;365892000;;TRUE;2024;Adjusted Appropriation;409000
National;Defence;defence_refurbishment_of_afb_overberg;Justice, Crime Prevention and Security;Refurbishment of AFB Overberg;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.56544257;20.25178277";Rehabilitation and refurbishment;Military Base;Construction 76% - 99%;Not related to SIPs;365892000;;TRUE;2025;MTEF;109921000
National;Defence;defence_refurbishment_of_afb_overberg;Justice, Crime Prevention and Security;Refurbishment of AFB Overberg;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.56544257;20.25178277";Rehabilitation and refurbishment;Military Base;Construction 76% - 99%;Not related to SIPs;365892000;;TRUE;2026;MTEF;111071000
National;Defence;defence_refurbishment_of_afb_overberg;Justice, Crime Prevention and Security;Refurbishment of AFB Overberg;Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works;"-34.56544257;20.25178277";Rehabilitation and refurbishment;Military Base;Construction 76% - 99%;Not related to SIPs;365892000;;TRUE;2027;MTEF;115514000
National;Employment and Labour;employment_and_labour_construction_of_new_office_buildings_upgrade_of_the_ulundi_and_prospecton_labour_centres_and_the_installation_of_water_tanks;Social Services;"Construction of new office buildings; upgrade of the Ulundi and Prospecton labour centres and the installation of water tanks";Old and new labour centres;-28.309377,31.418046 and -29.828035,30945027;New infrastructure assets;Offices;Tender;Not related to SIPs;280094000;;TRUE;2021;Audited Outcome;14005000
National;Employment and Labour;employment_and_labour_construction_of_new_office_buildings_upgrade_of_the_ulundi_and_prospecton_labour_centres_and_the_installation_of_water_tanks;Social Services;"Construction of new office buildings; upgrade of the Ulundi and Prospecton labour centres and the installation of water tanks";Old and new labour centres;-28.309377,31.418046 and -29.828035,30945027;New infrastructure assets;Offices;Tender;Not related to SIPs;280094000;;TRUE;2022;Audited Outcome;39721000
National;Employment and Labour;employment_and_labour_construction_of_new_office_buildings_upgrade_of_the_ulundi_and_prospecton_labour_centres_and_the_installation_of_water_tanks;Social Services;"Construction of new office buildings; upgrade of the Ulundi and Prospecton labour centres and the installation of water tanks";Old and new labour centres;-28.309377,31.418046 and -29.828035,30945027;New infrastructure assets;Offices;Tender;Not related to SIPs;280094000;;TRUE;2023;Audited Outcome;19712000
National;Employment and Labour;employment_and_labour_construction_of_new_office_buildings_upgrade_of_the_ulundi_and_prospecton_labour_centres_and_the_installation_of_water_tanks;Social Services;"Construction of new office buildings; upgrade of the Ulundi and Prospecton labour centres and the installation of water tanks";Old and new labour centres;-28.309377,31.418046 and -29.828035,30945027;New infrastructure assets;Offices;Tender;Not related to SIPs;280094000;;TRUE;2024;Adjusted Appropriation;39513000
National;Employment and Labour;employment_and_labour_construction_of_new_office_buildings_upgrade_of_the_ulundi_and_prospecton_labour_centres_and_the_installation_of_water_tanks;Social Services;"Construction of new office buildings; upgrade of the Ulundi and Prospecton labour centres and the installation of water tanks";Old and new labour centres;-28.309377,31.418046 and -29.828035,30945027;New infrastructure assets;Offices;Tender;Not related to SIPs;280094000;;TRUE;2025;MTEF;41914000
National;Employment and Labour;employment_and_labour_construction_of_new_office_buildings_upgrade_of_the_ulundi_and_prospecton_labour_centres_and_the_installation_of_water_tanks;Social Services;"Construction of new office buildings; upgrade of the Ulundi and Prospecton labour centres and the installation of water tanks";Old and new labour centres;-28.309377,31.418046 and -29.828035,30945027;New infrastructure assets;Offices;Tender;Not related to SIPs;280094000;;TRUE;2026;MTEF;49949000
National;Employment and Labour;employment_and_labour_construction_of_new_office_buildings_upgrade_of_the_ulundi_and_prospecton_labour_centres_and_the_installation_of_water_tanks;Social Services;"Construction of new office buildings; upgrade of the Ulundi and Prospecton labour centres and the installation of water tanks";Old and new labour centres;-28.309377,31.418046 and -29.828035,30945027;New infrastructure assets;Offices;Tender;Not related to SIPs;280094000;;TRUE;2027;MTEF;75280000
National;Employment and Labour;employment_and_labour_pretoria_bronkhorstspruit;Social Services;Pretoria: Bronkhorstspruit;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;33428000;;TRUE;2021;Audited Outcome;0
National;Employment and Labour;employment_and_labour_pretoria_bronkhorstspruit;Social Services;Pretoria: Bronkhorstspruit;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;33428000;;TRUE;2022;Audited Outcome;0
National;Employment and Labour;employment_and_labour_pretoria_bronkhorstspruit;Social Services;Pretoria: Bronkhorstspruit;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;33428000;;TRUE;2023;Audited Outcome;0
National;Employment and Labour;employment_and_labour_pretoria_bronkhorstspruit;Social Services;Pretoria: Bronkhorstspruit;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;33428000;;TRUE;2024;Adjusted Appropriation;0
National;Employment and Labour;employment_and_labour_pretoria_bronkhorstspruit;Social Services;Pretoria: Bronkhorstspruit;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;33428000;;TRUE;2025;MTEF;16040000
National;Employment and Labour;employment_and_labour_pretoria_bronkhorstspruit;Social Services;Pretoria: Bronkhorstspruit;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;33428000;;TRUE;2026;MTEF;14000000
National;Employment and Labour;employment_and_labour_pretoria_bronkhorstspruit;Social Services;Pretoria: Bronkhorstspruit;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;33428000;;TRUE;2027;MTEF;3388000
National;Employment and Labour;employment_and_labour_ermelo;Social Services;Ermelo;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;32624000;;TRUE;2021;Audited Outcome;0
National;Employment and Labour;employment_and_labour_ermelo;Social Services;Ermelo;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;32624000;;TRUE;2022;Audited Outcome;0
National;Employment and Labour;employment_and_labour_ermelo;Social Services;Ermelo;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;32624000;;TRUE;2023;Audited Outcome;0
National;Employment and Labour;employment_and_labour_ermelo;Social Services;Ermelo;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;32624000;;TRUE;2024;Adjusted Appropriation;0
National;Employment and Labour;employment_and_labour_ermelo;Social Services;Ermelo;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;32624000;;TRUE;2025;MTEF;15000000
National;Employment and Labour;employment_and_labour_ermelo;Social Services;Ermelo;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;32624000;;TRUE;2026;MTEF;14400000
National;Employment and Labour;employment_and_labour_ermelo;Social Services;Ermelo;Construction of new Labour Centre;0;New infrastructure assets;Building;Tender;Not related to SIPs;32624000;;TRUE;2027;MTEF;3224000
National;Employment and Labour;employment_and_labour_rustenburg_labour_centre_construction_of_building;Social Services;Rustenburg labour centre: Construction of building;Construction of new labour centre;-25.644028,27.236904;New infrastructure assets;Offices;Final Completion;Not related to SIPs;16000000;;TRUE;2021;Audited Outcome;0
National;Employment and Labour;employment_and_labour_rustenburg_labour_centre_construction_of_building;Social Services;Rustenburg labour centre: Construction of building;Construction of new labour centre;-25.644028,27.236904;New infrastructure assets;Offices;Final Completion;Not related to SIPs;16000000;;TRUE;2022;Audited Outcome;0
National;Employment and Labour;employment_and_labour_rustenburg_labour_centre_construction_of_building;Social Services;Rustenburg labour centre: Construction of building;Construction of new labour centre;-25.644028,27.236904;New infrastructure assets;Offices;Final Completion;Not related to SIPs;16000000;;TRUE;2023;Audited Outcome;0
National;Employment and Labour;employment_and_labour_rustenburg_labour_centre_construction_of_building;Social Services;Rustenburg labour centre: Construction of building;Construction of new labour centre;-25.644028,27.236904;New infrastructure assets;Offices;Final Completion;Not related to SIPs;16000000;;TRUE;2024;Adjusted Appropriation;0
National;Employment and Labour;employment_and_labour_rustenburg_labour_centre_construction_of_building;Social Services;Rustenburg labour centre: Construction of building;Construction of new labour centre;-25.644028,27.236904;New infrastructure assets;Offices;Final Completion;Not related to SIPs;16000000;;TRUE;2025;MTEF;0
National;Employment and Labour;employment_and_labour_rustenburg_labour_centre_construction_of_building;Social Services;Rustenburg labour centre: Construction of building;Construction of new labour centre;-25.644028,27.236904;New infrastructure assets;Offices;Final Completion;Not related to SIPs;16000000;;TRUE;2026;MTEF;0
National;Employment and Labour;employment_and_labour_rustenburg_labour_centre_construction_of_building;Social Services;Rustenburg labour centre: Construction of building;Construction of new labour centre;-25.644028,27.236904;New infrastructure assets;Offices;Final Completion;Not related to SIPs;16000000;;TRUE;2027;MTEF;0
National;Employment and Labour;employment_and_labour_taung;Social Services;Taung;Construction of new Labour Centre;0;New infrastructure assets;Building;Practical Completion (100%);Not related to SIPs;1963000;;TRUE;2021;Audited Outcome;0
National;Employment and Labour;employment_and_labour_taung;Social Services;Taung;Construction of new Labour Centre;0;New infrastructure assets;Building;Practical Completion (100%);Not related to SIPs;1963000;;TRUE;2022;Audited Outcome;0
National;Employment and Labour;employment_and_labour_taung;Social Services;Taung;Construction of new Labour Centre;0;New infrastructure assets;Building;Practical Completion (100%);Not related to SIPs;1963000;;TRUE;2023;Audited Outcome;0
National;Employment and Labour;employment_and_labour_taung;Social Services;Taung;Construction of new Labour Centre;0;New infrastructure assets;Building;Practical Completion (100%);Not related to SIPs;1963000;;TRUE;2024;Adjusted Appropriation;0
National;Employment and Labour;employment_and_labour_taung;Social Services;Taung;Construction of new Labour Centre;0;New infrastructure assets;Building;Practical Completion (100%);Not related to SIPs;1963000;;TRUE;2025;MTEF;1963000
National;Employment and Labour;employment_and_labour_taung;Social Services;Taung;Construction of new Labour Centre;0;New infrastructure assets;Building;Practical Completion (100%);Not related to SIPs;1963000;;TRUE;2026;MTEF;0
National;Employment and Labour;employment_and_labour_taung;Social Services;Taung;Construction of new Labour Centre;0;New infrastructure assets;Building;Practical Completion (100%);Not related to SIPs;1963000;;TRUE;2027;MTEF;0
National;Employment and Labour;employment_and_labour_security_wendy_houses;Social Services;Security: Wendy houses;Labour centres security: Construction of wendy houses;0;New infrastructure assets;Wendy Houses;Final Completion;Not related to SIPs;33000;;TRUE;2021;Audited Outcome;0
National;Employment and Labour;employment_and_labour_security_wendy_houses;Social Services;Security: Wendy houses;Labour centres security: Construction of wendy houses;0;New infrastructure assets;Wendy Houses;Final Completion;Not related to SIPs;33000;;TRUE;2022;Audited Outcome;0
National;Employment and Labour;employment_and_labour_security_wendy_houses;Social Services;Security: Wendy houses;Labour centres security: Construction of wendy houses;0;New infrastructure assets;Wendy Houses;Final Completion;Not related to SIPs;33000;;TRUE;2023;Audited Outcome;0
National;Employment and Labour;employment_and_labour_security_wendy_houses;Social Services;Security: Wendy houses;Labour centres security: Construction of wendy houses;0;New infrastructure assets;Wendy Houses;Final Completion;Not related to SIPs;33000;;TRUE;2024;Adjusted Appropriation;0
National;Employment and Labour;employment_and_labour_security_wendy_houses;Social Services;Security: Wendy houses;Labour centres security: Construction of wendy houses;0;New infrastructure assets;Wendy Houses;Final Completion;Not related to SIPs;33000;;TRUE;2025;MTEF;0
National;Employment and Labour;employment_and_labour_security_wendy_houses;Social Services;Security: Wendy houses;Labour centres security: Construction of wendy houses;0;New infrastructure assets;Wendy Houses;Final Completion;Not related to SIPs;33000;;TRUE;2026;MTEF;0
National;Employment and Labour;employment_and_labour_security_wendy_houses;Social Services;Security: Wendy houses;Labour centres security: Construction of wendy houses;0;New infrastructure assets;Wendy Houses;Final Completion;Not related to SIPs;33000;;TRUE;2027;MTEF;0
National;Forestry, Fisheries and the Environment;forestry_fisheries_and_the_environment_departmental_head_office_buidling;Economic Services and Infrastructure;Departmental Head Office Buidling;PPP Office Accommodation Pretoria Head Office;25.7379 S, 28.2028 E;New infrastructure assets;Building;Final Completion;SIP 8: Green energy in support of the South African economy;2500000000;;TRUE;2021;Audited Outcome;169698000
National;Forestry, Fisheries and the Environment;forestry_fisheries_and_the_environment_departmental_head_office_buidling;Economic Services and Infrastructure;Departmental Head Office Buidling;PPP Office Accommodation Pretoria Head Office;25.7379 S, 28.2028 E;New infrastructure assets;Building;Final Completion;SIP 8: Green energy in support of the South African economy;2500000000;;TRUE;2022;Audited Outcome;7607000
National;Forestry, Fisheries and the Environment;forestry_fisheries_and_the_environment_departmental_head_office_buidling;Economic Services and Infrastructure;Departmental Head Office Buidling;PPP Office Accommodation Pretoria Head Office;25.7379 S, 28.2028 E;New infrastructure assets;Building;Final Completion;SIP 8: Green energy in support of the South African economy;2500000000;;TRUE;2023;Audited Outcome;13209000
National;Forestry, Fisheries and the Environment;forestry_fisheries_and_the_environment_departmental_head_office_buidling;Economic Services and Infrastructure;Departmental Head Office Buidling;PPP Office Accommodation Pretoria Head Office;25.7379 S, 28.2028 E;New infrastructure assets;Building;Final Completion;SIP 8: Green energy in support of the South African economy;2500000000;;TRUE;2024;Adjusted Appropriation;9073000
National;Forestry, Fisheries and the Environment;forestry_fisheries_and_the_environment_departmental_head_office_buidling;Economic Services and Infrastructure;Departmental Head Office Buidling;PPP Office Accommodation Pretoria Head Office;25.7379 S, 28.2028 E;New infrastructure assets;Building;Final Completion;SIP 8: Green energy in support of the South African economy;2500000000;;TRUE;2025;MTEF;12335000
National;Forestry, Fisheries and the Environment;forestry_fisheries_and_the_environment_departmental_head_office_buidling;Economic Services and Infrastructure;Departmental Head Office Buidling;PPP Office Accommodation Pretoria Head Office;25.7379 S, 28.2028 E;New infrastructure assets;Building;Final Completion;SIP 8: Green energy in support of the South African economy;2500000000;;TRUE;2026;MTEF;11942000
National;Forestry, Fisheries and the Environment;forestry_fisheries_and_the_environment_departmental_head_office_buidling;Economic Services and Infrastructure;Departmental Head Office Buidling;PPP Office Accommodation Pretoria Head Office;25.7379 S, 28.2028 E;New infrastructure assets;Building;Final Completion;SIP 8: Green energy in support of the South African economy;2500000000;;TRUE;2027;MTEF;24340000
National;Forestry, Fisheries and the Environment;forestry_fisheries_and_the_environment_epwp_infrastructure_projects;Economic Services and Infrastructure;EPWP Infrastructure Projects;EPWP Infrastructure Projects;25.7379 S, 28.2028 E;New infrastructure assets;Buildings, fences,roads;Final Completion;SIP 8: Green energy in support of the South African economy;357022000;;TRUE;2021;Audited Outcome;33812000
