Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Internal Audit,Annually,7.1 Number of reports on internal audit processes reviewed: 1 report on internal audit processes reviewed by March 2023,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,0,Internal processes,Work will continue in 2023/24,0,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Internal Audit,Annually,7.2 Number of internal audit reports on assurance to Census 2022: 1 audit report on Census 2022 compiled by December 2022,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,1,Achieved later than scheduled due to Census extension,NA,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,"Risk, Anti-corruption & Integrity Management",Annually,3.1 Number of reports on COVID-19 measures and controls implemented:1 report on COVID-19 measures and controls implemented by March 2023,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,"Risk, Anti-corruption & Integrity Management",Annually,3.2 Number of integrated risk management information systems developed: 1 integrated risk management information system developed by March 2023  ,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,0,Census priority,Work will continue in 2023/24,0,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,"Risk, Anti-corruption & Integrity Management",Annually,"3.3 Number of reports on risk, anti-corruption and integrity management support provided to Census 2022 and PES compiled: 1 report on risk, anti-corruption and integrity management support provided to Census 2022 and PES compiled by September 2022 ",Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,0,Census extension,Work will continue in 2023/24,0,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Strategy Operations and Organisational Development,Annually,2.1 Number of business processes management elements institutionalised: 1 business processes management strategy compiled by June 2022 ,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Strategy Operations and Organisational Development,Annually,2.2 Number of transformation and change management plans developed:1 transformation and change management plan developed by March 2023 ,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 1: Administration,Strategy Operations and Organisational Development,Annually,2.3 Number of digital business transformation strategies compiled: 1 digital business transformation strategy compiled by March 2023,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,,,,,,,,,1,,0,Internal processes,Work will continue in 2023/24,0,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics, National Accounts,Annually,13.2 Number of research reports to improve existing statistics compiled: 1 research report on reviewing and improving data sources compiled by March 2023 ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics, National Accounts,Annually,13.3 Number of reports on tourism satellite accounts published: 1 report on tourism satellite accounts published by March 2023 ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics, National Accounts,Annually,13.4 Number of reports on EEA as part of the Natural Capital Accounting series published: 1 report on EEA as part of the NCA series published by March 2023,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics, National Accounts,Annually,13.5 Number of research reports on Natural Capital Accounting compiled: 1 research report to expand the coverage of NCA series compiled by March 2023         ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics, National Accounts,Quarterly,13.1 Number of GDP releases published: 4 quarterly releases on GDP published as scheduled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,4,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Annually,8.16.1 Number of reports on improving business cycle indicator statistics compiled: 1 report on weights for mining indices updated by October 2022,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
