Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Transport,Transport,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3 : Monitoring and Evaluation,Quarterly,Percentage of new service delivery complaints against the SAPS resolved,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",50 %,50 %,50 %,50% %,50 %,77 %,50 %,61 %,50 %,50 %,61,None,None,,None,None,None,None," 	
The complaints received needed immediate attention and intervention, with no investigation undertaken",None,The complaints resolved were over the 50% as most of the complaints needed immediate intervention,None,44
Transport,Transport,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3:Monitoring and Evaluation,Annually,Number of M&E special projects implemented	,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Justice, Crime Prevention and Security cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,44
Transport,Transport,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Number of social crime prevention programmes implemented in municipalities,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Justice, Crime Prevention and Security cluster",1,1,1,1,1,1,1,1,4,4,4,None,None,,None,None,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Number of community structures supported to participate in community policing,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Justice, Crime Prevention and Security cluster",3,3,3,3,3,3,3,3,3,3,3,None,None,,None,None,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.1: Programme Support Operations,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.1: Programme Support Operations,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Average number of weekday passenger trips,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,-,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of hours operated by public transport operators,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,,,,,,,,,44
