Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q2,UID
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of community engagements facilitated(revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",3,6,Over performance was due to the increase in contractor appointments in Alfred Nzo due to sourcing from the panel of contractors. This necessitated community engagements in preparation for the implementation of the projects,None,,8,13,Over Performance was due to increase in performance new appointed due to sourcing from the panel of contractors. This required community engagement to be conducted for implementation of the project,None,,4,4,None,None,,5,5,None,None,,20,5,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of destitute beneficiaries approved,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",150,2076,"Over performance was due to disaster and running destitute projects in Alfred Nzo, Amathole, BCM, OR Tambo, Nelson Mandela and Chris Hani
     
",None,,250,0,None,None,,200,None,None,None,,200,0,None,None,,800,2076,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of destitute beneficiaries approved(revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",150,2076,"Over performance was due to disaster and running destitute projects in Alfred Nzo, Amathole, BCM, OR Tambo, Nelson Mandela and Chris Hani",None,,2100,2501,"Over performance was due to disaster and destitute projects that required urgent approvals in Alfred Nzo, Amathole, Buffalo City, OR Tambo, Nelson Mandela and Chris Hani",None,,875,1777,"Over performance was due to disaster and destitute projects that required urgent approvals in Amathole, Buffalo City, OR Tambo and Chris Hani regions",None,,875,1 348,"Over performance was due to disaster, destitute and unblocked projects that required urgent approvals in the following regions Chris Hani, Alfred Nzo, Joe Gqabi and Sarah Baartman",None,,4000,1348,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of housing beneficiaries educated,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",1200,2036,"Overperformance was due to the Departmental and Provincial engagements which were organised during the 1st quarter, 
•	Commencement of the new projects in Alfred Nzo region, 
•	MEC Title deeds handover in Amathole 
•	Educated ponteital beneficiaries during the   Interfaith prayer, and Africa day which was in Chris Hani. 
•	The Sub-Programme educated the community members on various departmental programmes as the prospective beneficiaries in those events.
",None,,1500,0,None,None,,1300,None,None,None,,1000,0,None,None,Please provide reasons for deviation as it cannot be 0 while the target is 1000,5000,2036,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of housing beneficiaries educated(revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",1200,2036,"Overperformance was due to the Departmental and Provincial engagements which were organised during the 1st quarter, 
•	Commencement of the new projects in Alfred Nzo region, 
•	MEC Title deeds handover in Amathole 
•	Educated ponteital beneficiaries during the   Interfaith prayer, and Africa day which was in Chris Hani. 
•	The Sub-Programme educated the community members on various departmental programmes as the prospective beneficiaries in those events.",None,,2100,1544,Under performance was due to some of the planned second quarter consumer education session that were conducted during first quarter.,The unit will recover shortfall in the next quarter.,,1984,1996,Over performance was due to request from the unit to provide services on Wheels in Nelson Mandela,None,,1000,1 107,Over performance was due to unplanned Human Rights Commission outreach programme that was held in Enoch Mgijima Local Municipality,None,,6284,1107,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of individual subsidies facilitated for payment ,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",8,22,Over performance was due to an influx of claims emanating from the backlog after the upliftment of the moratorium which resulted to the over expenditure,None,,8,22,Over performance was due to an influx of claims emanating from the backlog after the upliftment of the moratorium which resulted to over expenditure,None,,12,0,"The Directorate under performed for this quarter due to utilising all the given budget, however the annual target has been met in Quarter 1 and 2.",None,,12,0,"The Directorate underperformed for this quarter; however, the Annual Target was met in Quarter 1 and 2",The Directorate will stick to the plans in Strategic Management.,,40,22,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of Municipalities supported on beneficiary administration,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",4,4,None,None,Name them,4,5,Over performance was due to prioritization of consultative sessions with municipalities aiming at   regularizing beneficiary administration processes. ,None,,5,5,None,None,,5,3,"Under-performance was due to the shift in focus, when the MEC directed the intervention to be provided to Elundini Local Municipality and Dr AB Xuma Local Municipality",The programme will now normalize its operation and perform in line with planned activities,,18,5,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of project steering committees supported,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",3,6,"Over performance was due to establishment and training of the PSC members in the following projects: 
•	Goshin 100 in Amathole District Municipality, 
•	Siyathemba and Qalashe in Buffalo City Municipality.
",None,Please write PSC in full,5,0,None,None,,4,None,None,None,,3,0,None,None,Please provide reasons for deviation and corrective measures,15,6,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of project steering committees supported(revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",3,6,"Over performance was due to establishment and training of the PSC members in the following projects: 
•	Goshin 100 in Amathole District Municipality, 
•	Siyathemba and Qalashe in Buffalo City Municipality.",None,,8,8,None,None,,4,4,None,None,,5,5,None,None,,20,5,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of youths supported for artisan development programme (apprenticeship and learnership),Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",33,27,Underperformance was due to 06 Learners who dropped out of the learnership programme through non-attendance over a period of 2 months. ,The Sub-Programme will continuously monitor and engage with learners to minimize non- attendance and dropout. ,"What is the plan to get to the 33 that you planned for, seeing that you lost some learners on the way. How are you addressing the 06?   ",0,0,None,None,,0,0,None,None,,0,0,None,None,,33,27,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Turnaround time to customer care cases refered/resolved,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",30,30,None,None,,30,30,None,None,,30,30,None,None,,30,30,None,None,,30,30,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Annually,Number of Informal Settlements Upgraded to phase 1 and 2 of the Upgrading of Informal Settlements Programme(UISP) (new),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,45,0,,,,45,0,,Under performance was due to the poor performance of the Implementing Agents and the contractors on the Phase 1 & 2 activities,The Implementing Agents and the Contractors for Phase 2 have been issued with contractual terms and conditions on the poor performance as outlined in their Funding Agreement,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Annually,Number of informal settlements upgraded to phase 3 of the Upgrading of Informal Settlements Programme (UISP),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Spatial Integration, Human Settlements and Local Government","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,29,0,,,,29,0,,Under performance was due to the poor performance of the Implementing Agents and the contractors on the Phase 3 activities ,The Implementing Agents and the Contractor have been issued with contractual terms and conditions on the poor performance as outlined in their Funding Agreement ,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Annually,Number of socio-economic facilities provided,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,2,0,,,,2,0,,"Under performance has been registered on the Mnandi and Tsomo MPCC that were planned for completion in this quarter, due to the slow pace of the contractor and the poor Contractual relationship between the implementation teams",The Department is intervening to resolve the contractual disputes and challenges,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Quarterly,Number of catalytic projects supported,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",6,6,None,None,,6,6,None,None,,6,6,None,None,,6,6,None,None,,6,6,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Quarterly,Number of destitute persons verified,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",260,260,None,None,,260,260,None,None,,200,200,None,None,,333,333,None,None,,1053,333,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Quarterly,Number of EPHP projects supported,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",2,2,None,None,,2,2,None,None,,2,2,None,None,,1,1,None,None,,7,2,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Quarterly,"Number of Gender mainstreaming opportunities created for Youth, Women, Military Veterans and Persons with disability compliance reports",Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",1,1,None,None,,1,1,None,None,,1,1,None,None,,1,1,None,None,,4,1,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Quarterly,Number of houses handed over to Military Veterans,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",20,0,"Under performance was due to the following reasons:
•	 The earmarked project in NMBM was illegal occupied   Amabutho in NMBM
•	Gompo social unrest by community in the BCMM
•	EIA taking longer to be approved in DEDEA in Joe Gqabi District.
","•	Continuous engagement with Amabutho and Department of Défense and Military Veterans (DMV)
•	Engagements with BCMM and other relevant stakeholders are in progress 
•	Follow up with session with Department of Economic Development, Environmental Affairs and Tourism (DEDEA) was arranged to fast track the approval of Environmental Impact Assessment (EIA).
",A comprehensive improvement plan should be devised and sent to the Office of the Premier urgently. It should show how this is going to be fast tracked as indicated in the corrective measure column,10,0,Under performance was due to slow pace on site in O.R. Tambo Rural 84 due to scattered sites. Project is stalled due to complaints by SMMEs who wants to be involved in the construction of houses,To employ another contractor to assist the existing one in O.R. Tambo Rural 84. Stakeholders are facilitation the involvement of SMMEs at Gompo Military Veterans 30,,20,15,Under performance was due to slow progress on beneficiary administration in Chris Hani 98 and in O.R. Tambo Rural 84 project,Meeting with relevant stakeholders to resolve the challenges.,When is this meeting taking place? Will the indicator be achieved in Q4?,15,0,"Under performance was due to slow progress on beneficiary administration in Chris Hani 98 , slow progress on site in OR Tambo 84 and social unrest by SMMEs in Gompo 30",The unit will have engagements with the relevant stakeholders to resolve the challenges in the first quarter of the new financial year,Please provide time frames ,65,15,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Quarterly,Number of reports on special projects submitted,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",1,1,None,None,,1,1,None,None,,1,1,None,None,,1,1,None,None,,4,1,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.2 HUMAN SETTLEMENTS INCREMENTAL PROGRAMME ,Quarterly,Number of temporary shelters erected for emergency housing cases,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",83,395,"•	Over performance was due to response provided to BCMM project that was affected by illegal occupation, where the programme had to supply temporary shelters for the affected beneficiaries.
•	Provided temporary shelters to special cases or displaced families in BCMM. 
•	Provided temporary shelters, in response to the 2024 Disasters that affected different municipalities in the province.
",None,,83,496,"Over performance was due to the following: 
•	Response provided to the Ndlambe rectification projects that require temporary relocation area meanwhile exiting houses are being rectified.
•	Provision of temporary shelters and special cases for different Municipalities
",None,,83,189,"Over performance was due to shelters erected in OR TAMBO, Chris Hani and BCMM for destitute cases that require emergency assistance.",None,,85,163,"Over performance was due to the demand of temporary Shelters that were erected in OR Tambo, Amathole, Chris Hani, & Alfred Nzo for destitute cases including HDA shelters.",None,,334,496,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of Breaking New Grounds (BNG) houses delivered,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Spatial Integration, Human Settlements and Local Government","Governance, State Capacity and Institutional Development cluster",1569,1259,"Under performance was due to the following reasons:
•	Non-Performance of limited number of contractors in Alfred Nzo Region.
•	Procurement process for appointment of additional contractors for construction of top structures through Framework Agreement was at advanced stages
","The Department will:
•	Spread the outstanding balance of units over the next quarter.
•	Implement Contractual terms for non-performing contractors.
•	Finalization of appointment of contractors and commencement on site in 02nd quarter
",,1740,1778,Over-performance was due to the engagement with contractors to augment capacity on site to mitigate the upcoming rainy season and recover on the shortfall during first quarter,None,,1296,1278,Under performance was due to contractors reducing focus in converting various stages into completions and due to closure for December holidays.,"The Department will engage contractors to augment capacity on site, recover in deficit and spread outstanding units to the next quarter",,1679,1800,Over performance was due to continuous engagement with contractors and professional service providers (PSPs) to improve their performance on site ,None,,6284,6115,,,,,The output is noted however not verified by National,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of defective houses rectified (Pre and Post),Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",201,127,"Under performance was due to:
•	Limited number of additional contractors
•	Substantial number of projects are currently at completion stage. 
","The Department will:
•	Spread the outstanding balance of units over the next quarter and 
•	Finalize appointment of additional contractors through Framework Agreement
",,201,0,None,None,,201,None,None,None,,204,0,None,None,Provide reasons for deviation and corrective measures,807,127,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of defective houses rectified (Pre and Post) (revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",201,127,"Under performance was due to:
•	Limited number of additional contractors
•	Substantial number of projects are currently at completion stage. ","The Department will:
•	Spread the outstanding balance of units over the next quarter and 
•	Finalize appointment of additional contractors through Framework Agreement",,358,161,Under performance was due to the limited number of a contractors for rectification programme and substantial number of projects that are currently at completion stage,The Department has appointed a substantial number of contractor and currently finalizing contracts,,359,213,Under performance was due to the limited number of contractors for the rectification programme and project extortions that resulted in insufficient security escort limited to 3 days in a week.,The Department has engaged NMBM to augment security escort capacity and increase availability on days for project inspections,,359,300,"Under performance was due to extortion related issues in NMBM Safety of officials (Department & NHBRC) & contractors in NMBM due to threats and need for more security for escorts to various sites as part of project monitoring& quality assurance. Limitations on security escorts on 03 days & 05hrs per day provided to Department & NHBRC officials. Where there is service Delivery protest then Security escorts from Metro are not available.

","•	The department is engaging NMBM as to extend the number of days through Metro Police due to Security Guards that are unable to cover more than 03 days weekly. This will result in more days spent on site for project monitoring and improving performance as there will be more inspections provided by Departmental & NHBRC Inspectors. It will also improve production through effective Project monitoring & quality assurance on site. 
•	Department is engaging security cluster for joint integrated approach in mitigating Extortions related incidents. For medium to Long term; Department is considering Provision of Security Guards to escorts for staff while performing their duties on-site (Panel on process for approval).
",,1277,300,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of empowerment opportunities created for youth through youth brigade programme,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",50,100,"Over performance was due to extension of the youth participants in Orange Grooves project which fall under the jurisdiction BCMM
 And to respond to high rate of unemployment amongst the youth of Boxwood in the BCM 
",None,,50,0,None,None,,50,None,None,None,,50,0,None,None,Provide reasons for deviation and corrective measures,200,100,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of empowerment opportunities created for youth through youth brigade programme(revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",50,100,"Over performance was due to extension of the youth participants in Orange Grooves project which fall under the jurisdiction BCMM
 And to respond to high rate of unemployment amongst the youth of Boxwood in the BCM ",None,,50,50,None,None,,25,0,Under performance was due to the fact that annual target was already achieved in the previous quarter,None,,25,0,The annual target was achieved in the 2nd Quarter,None,,150,0,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of historical projects closed,Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",15,,Under performance was due to Technical Evaluations Committee (TEC) which was not yet appointed during the 1st Quarter to consider close out projects,Submit completed close out submissions to TEC on scheduled date,Why is the Technical Evaluations Committee not appointed yet? When will be appointed?,15,0,None,None,,15,None,None,None,,15,0,None,None,Provide reasons for deviation and corrective measures,60,0,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of historical projects closed(revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",15,0,Under performance was due to Technical Evaluations Committee (TEC) which was not yet appointed during the 1st Quarter to consider close out projects,Submit completed close out submissions to TEC on scheduled date,,5,0,Under performance was due to the revision of Close Out Procedure Manual that is pending and awaiting approval of the Accounting Officer.,Close out submissions will be attended to once the Manual is approved,,5,19,"Over performance was due to the approval of a revised procedure to close of projects. However, the 14 close out are the recovery of previous quarters",None,,5,21,Over performance was due to the backlog that was encountered in the previous quarters as the result of revised close out manual that resulted in more projects meeting the minimum requirements for close out,None,,30,21,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of job opportunities reported through EPWP complaint projects,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",1775,673,"Underperformance was due to under reporting on the running projects from the regions, it is caused by the unavailability of data captures in most regional offices. ",The department will initiate engagements with the Professional Service Providers (PSP) to utilise the  approved  PSP Framework to source data capturers,,1975,0,None,None,,1775,None,None,None,,1975,0,None,None,Provide reasons for deviation and corrective measures,7500,673,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of job opportunities reported through EPWP compliant projects(revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",1775,673,"Underperformance was due to under reporting on the running projects from the regions, it is caused by the unavailability of data captures in most regional offices. ",The department will initiate engagements with the Professional Service Providers (PSP) to utilise the  approved  PSP Framework to source data capturers,,1275,687,"Under performance was due to under reporting on the running projects from regions, due to the unavailability of Data Captures at a Regional level","The unit will initiate engagements of PSP, from the recently approved PSP framework to source data capturers",,875,1193,Over performance was due to the fact that some Regions that were unavailable report in the previous quarters manage to report in this quarter,None,,1075,843,Under performance was due to inadequate capacity to execute the duties of data collection & capturing on Public Works System for reporting on job opportunities created as per EPWP Framework.,Department has engaged Department of Public Works and Infrastructure to collaborate on data collection and capturing on EPWP Reporting System and there will be improvement for next financial year.,,5000,843,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of projects assessed for quality standards,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",15,15,None,None,,15,15,None,None,,15,15,None,None,,20,20,None,None,,65,20,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of projects supported on innovative and sustainable building technologies,Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",2,2,None,None,,2,0,None,None,,2,None,None,None,,2,0,None,None,Provide reasons for deviation and corrective measures,8,2,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of projects supported on innovative and sustainable building technologies(revised),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",2,2,None,None,,1,1,None,None,,1,1,None,None,,2,2,None,None,,6,2,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.3. DISTRICT COORDINATION AND PROJECT MANAGEMENT,Quarterly,Number of serviced sites delivered,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Spatial Integration, Human Settlements and Local Government","Governance, State Capacity and Institutional Development cluster",1404,1721,Over performance was due to increased performance in Engcobo 1854 -Ext 11- Planning & Services,None,,1129,1736,Over performance was due to the increased performance in Amathole - Cenyulands and Port Alfred Marselle 500 in Sarah Baartman Region,None,,1358,1329,Under performance was due to limited number of running projects in Joe Gqabi Region as newly appointed projects are currently establishing on site and poor performance of contractors and implementing agent in Alfred Nzo Region,The Department will engage contractor and implementing agents in Joe Gqabi and Alfred Nzo Region to increase performance and adhere to project implementation plans,,2733,2313,"Under performance was due to the following:
•	Poor performance of contractors and implementing Agents in Alfred Nzo region and BCMM.
•	Social unrest and inclement weather conditions adversely delayed construction works for delivery of services in BCMM. 
•	In Alfred Nzo Region; there were non-performance issues due to litigation between Municipality & the contractors. 


","The department will engage contractors and implementing agent to:
•	Priorities delivery of service sites in accordance to project implementation plans.
•	Engage project stakeholders on areas of expectations as to mitigate social unrest and clarify roles and responsibilities on litigation issues.
•	Increase delivery of sites during dry period in anticipation to avoid raining season. 



",,6624,7099,,,,,The output is noted however not verified by National,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,Sub-programme 3.1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,Sub-programme 3.2: Financial Interventions,Quarterly,Number of households that received subsidies through FLISP (Finance Linked Individual Subsidy Programme),Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,Sub-programme 3.3: Incremental Interventions,Annually,Number of informal settlements upgraded to phase 3 of the Upgrading of Informal Settlements Programme (UISP),Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,Sub-programme 3.3: Incremental Interventions,Quarterly,Number of Breaking New Ground (BNG) houses delivered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,Sub-programme 3.3: Incremental Interventions,Quarterly,Number of serviced sites delivered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,Sub-programme 3.4: Social and Rental Intervention,Quarterly,Number of Community Residential Units (CRU) delivered,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,85
