Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q1,UID
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually, POI 201: Number of SIPP residential camps ,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,,30,000,30,000,,See achievement below,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 201: Annual Report for the development of lesson plans and exemplars for Grade 1-3 Home Languages,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All Foundation Phase teachers use exemplars and lesson plans to plan and benchmark content delivery in home languages offered in the province.,,,,,,,"Approved Provincial Annual Report on lesson plan development
","Approved Provincial Annual Report on lesson plan development
","Approved Provincial Annual Report on lesson plan development
","Approved Provincial Annual Report on lesson plan development
",,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 202: Annual Report on the availability of reading material for Grade 3 learners in indigenous languages,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All schools, offering Grade 3 indigenous languages have access to indigenous language reading materials. ",,,,,,,Approved Provincial Annual Report on the availability of reading material for Grade 3 learners,"Approved Provincial Annual Report on the  availability of reading material for Grade 3 learners
",Approved Provincial Annual Report on the availability of reading material for Grade 3 learners,"Approved Provincial Annual Report on the  availability of reading material for Grade 3 learners
",,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 203: Progress Report on the implementation of the National Reading Plan,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All Public Primary schools improve reading competency amongst their learners.,,,,,,,Approved Bi-annual Progress Reports on the implementation of the National Reading Plan ,"Approved Bi-annual Progress Reports on the implementation of the National Reading Plan 
",Approved Bi-annual Progress Reports on the implementation of the National Reading Plan ,"Approved Bi-annual Progress Reports on the implementation of the National Reading Plan 
",,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 204: Number of foundation phase teachers trained on teaching reading and numeracy,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All teachers in the Foundation Phases to be trained in teaching reading and numeracy. 
The target for the year is to be met or exceeded.",,,,,,,Refer to SOI: 204 and 205,000,Refer to SOI: 204 and 205,000,,Refer to SOI: 204 and 205,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 205: Number of teachers trained in math and language content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All teachers to be trained in mathematics and language content and methodology.
The target for the year is to be met or exceeded.",,,,,,,Refer to SOI: 206 and 207,000,Refer to SOI: 206 and 207,000,,Refer to SOI: 206 and 207,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 206: Number of districts in which the teacher development plans have been implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All districts implementing teacher development programmes.,,,,,,,15,15,15,15,,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 207: Percentage of learners with access to required maths and EFAL textbooks in Grades 6 and 9,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All Grade 6 and 9 learners have access to Mathematics and EFAL textbooks.,,,,,,,70 %,70 %,70 %,70 %,,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 207: Percentage of learners with access to required maths and EFAL textbooks in Grades 6 and 9,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,,80 %,000 %,80 %,000 %,,See achievement below,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 208: Number of Schools of Specialisation (Focus Schools),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Schools of Specialisation produce learners of high competence that are innovative and entrepreneurial.,,,,,,,32,36,32,36,,"Achieved:

The Department increased the number of established Schools of Specialisation to provide learners with access to specialised learning through an accelerated delivery programme. ",Nil,,,,,,,,,,,,,,,,,,125
