Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q1,UID
Basic Education,Education,Gauteng,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,POI 401: Number of educators employed in public special schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Adequate number of educators to be employed in line with learner enrolment in the system.,,,,,,,4600,4672,4600,4672,,"Achieved:
The Department employed additional appropriately qualified educators in public schools as a result of increased posts in Special Schools. ",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,SOI 401: Number of learners in public special schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All learners with physical, intellectual, sensory disabilities attend public special schools.
",,,,,,,61277,84143,61277,84143,,"Achieved:
Additional learning spaces were created for learners on the waiting lists for placement in Special Schools. This resulted in additional learners being successfully placed. ",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Quarterly,SOI 402: Number of therapists/specialist staff in public special schools,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,623,673,623,"

673",623,"
682",623,671,623,671,,,,,"Increase in the employment of specialist staff is as a result of additional specialist staff recruited to support the learners with barriers.
",No corrective action,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 108% of the set target.   The variance is 50. The PED has  provided a reason for the attainment of the set target for the quarter under review. The PED is advised to monitor the spending in Compensation of Employees under this programme.
","Increase in the employment of specialist staff is as a result of additional specialist staff 
recruited to support the learners with barriers.",No corrective action,Target exceeded.," The outcome for the 2nd  quarter of the 2024/25 financial year is 100.8% of the set target. The variance is 50. The PED has provided a reason for the attainment of the outcome for the quarter under review. The PED is advised to monitor the spending of Compensation of employees for the remainder of the financial year.
",The increase in the employment of specialist staff is due to additional specialist staff recruited to support the learners with barriers.,No corrective action,Target exceeded,"The PED has achieved 100,2% of the set target for the quarter under review. The variance is 59.  The PED has provided a reason for the attainment of the set target.  The PED is advised to monitor the spending in the remaining months of the year on Compensation of Employees.
","Achieved:

Increase  in the employment of specialist staff  is as a result of additional  specialist staff  recruited  to support the learners with barriers.",Nil,Target exceeded,"The PED has achieved 107,7% of the set target for the quarter under review.   The variance is 48. The PED has provided a reason for the attainment  of the quarterly target.
",,125
Basic Education,Education,Gauteng,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 501: Number of learners enrolled in Grade R,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All eligible children to attend Grade R in a given year.,,,,,,,130100,136529,130100,136529,,"Achieved:
The increase in the number of Grade R learners is as a result of increased enrolment and because of an increase in the number of schools offering Grade R.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 502: Percentage of Grade 1 learners who have received formal Grade R education,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All eligible children to attend Grade R in a given year. Target for the year to be met or exceeded.,,,,,,,76.0 %,78.15 %,76.0 %,78.15 %,,"Achieved:
Additional learners in Grade 1 received formal Grade R education mainly as a result of increased access to Grade R in public and private programmes.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 503: Number of fully registered ECD Centres,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All ECD sites are registered and fully comply with the norms and standards for registration in terms of Chapter 5 Children’s Act 38 of 2005.
Target for the year to be met or exceeded.",,,,,,,1560,1606,1560,1606,,"Achieved:
Additional ECD sites were declared fully registered as a result of meeting the criteria for full registration.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 504: Number of children in registered ECD Centers,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All 0–5-year-old children have access to ECD progamme.,,,,,,,110000,000,110000,000,,Refer to achievement below,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,POI 504: Number of children in registered ECD Centres,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All 0-5-year-old children have access to a registered ECD programme. Target for the year to be met or exceeded.,,,,,,,130000,160810,130000,160810,,"Achieved:
The number of children enrolled was higher than anticipated as more ECD sites met the required criteria for registration.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 5:  Early Childhood Development,Programme 5:  Early Childhood Development,Annually,SOI 501: Number of public schools that offer Grade R,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All public schools (ordinary and special) with Grade 1 offer Grade R.
The target for the year is to be met or exceeded.
",,,,,,,1409,1413,1409,1413,,"Achieved:
Five additional schools opted to include the Grade R programme to cater for children in the community.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,default ,Not Applicable,Not  Applicable,Not Applicable,"Building a Capable, Ethical and Developmental State","International Cooperation, Trade and Security cluster",,,,,,,,0,000,0,000,,N/,N/A,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,POI 601: Number of classrooms refurbished as smart classrooms,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",A tech-enabled teaching and learning environment to improve the quality of education in identified classrooms.,,,,,,,350,000,350,000,,Indicator discontinued in the revised APP for 2024/25,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,POI 601: Number of new and replacement schools under construction funded by the Budget Facility for Infrastructure (BFI),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",A minimum of 18 public schools to be built over the three years.,,,,,,,"Progress report on 18 new and
replacement
schools under
construction","Approved Progress report on 18 new and replacement schools under construction
","Progress report on 18 new and
replacement
schools under
construction","Approved Progress report on 18 new and replacement schools under construction
",,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 601: Number of public schools provided with water infrastructure,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All public schools have access to water infrastructure. The target for the year is to be met or exceeded. NB: Provinces in which this target has already been met and where this has been audited and confirmed will indicate “Not applicable” for this measure, which refers solely to improvements to existing buildings and not new stock.",,,,,,,N/A,N/A,N/A,N/A,,N/A,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 602: Number of public schools provided with electricity infrastructure,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All public schools have access to electricity infrastructure. The target for the year is to be met or exceeded. NB: Provinces in which this target has already been met and where this has been audited and confirmed will indicate “Not applicable” for this measure, which refers solely to improvements to existing buildings and not new stock.",,,,,,,N/A,N/A,N/A,N/A,,N/A,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 603: Number of public schools supplied with sanitation facilities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All public schools have access to sanitation facilities. The target for the year is to be met or exceeded. NB: Provinces in which this target has already been met and where this has been audited and confirmed will indicate “Not applicable” for this measure, which refers solely to improvements to existing buildings and not new stock.",,,,,,,N/A,N/A,N/A,N/A,,N/A,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 604: Number of schools provided with new or additional boarding facilities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All children have access to education, regardless of geographical location. The target for the year is to be met or exceeded.",,,,,,,N/A,N/A,N/A,N/A,,N/A,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 6:  Infrastructure Development,Programme 6:  Infrastructure Development,Annually,SOI 605: Number of schools where scheduled Maintenance projects were completed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Schools to be conducive to learning and teaching.,,,,,,,295,295,295,295,,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually, POI 702: Number of youth in structured skills development programmes (apprenticeship/ learnership/ skills programmes / work integrated learning).,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Every youth to exit the programme with acquired skills.,,,,,,,4000,000,4000,000,,Refer to achievement below,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually, POI 704: Number of bursary allocations to youth.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All deserving youth to have bursaries, limited by financial resources available to
GCRA.",,,,,,,4500,000,4500,000,,Refer to achievement below,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 701: Number of youth (including learners) that have access to career guidance and information,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All learners from identified schools are aware of current career paths and career opportunities. Bursars have a deepened understanding of their field of study. Out of school youth explore various options to re-engage.,,,,,,,30000,30873,30000,30873,,"Achieved:
Additional career guidance activities were conducted after the launch of the Career Guidance Programme. The programme was also redesigned to widen coverage to learners.
",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 702: Number of youth in structured skills development programmes (apprenticeship/ learnership/ skills programmes / work integrated learning),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Every youth to exit the programme with acquired skills.,,,,,,,2500,3011,2500,3011,,"Achieved:
The Department formed additional partnerships with sectors and industries to increase participation in the programme. ",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 703: Number of youth benefitting from workplace experience programmes (including PYEI),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Youth exposed to workplace experience.,,,,,,,28000,28137,28000,28137,,"Achieved:
Additional youth were placed in the PYEI programme and other workplace experience programmes due to the reprioritisation of funds.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 703: Number of youth benefitting from workplace experience programmes (including PYEI) ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Youth exposed to workplace experience.,,,,,,,35000,000,35000,000,,Refer to achievement below,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,POI 704: Number of bursary allocations to youth ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All deserving youth to have bursaries, limited by financial resources available to
GCRA.",,,,,,,3800,4105,3800,4105,,"Achieved:
The Bursary programme was extended to include the TVET sector thus resulting in additional bursaries being awarded to deserving learners.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 701: Percentage of learners who passed the National Senior Certificate (NSC) examination,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",To increase the number of Grade 12 learners that are passing the NSC examinations.,,,,,,,88.0 %,88.41 %,88.0 %,88.41 %,,"Achieved: 
The Class of 2024 benefitted from the innovative and intensified academic interventions and were exposed to extended contact time spanning several days at a time in both face-to-face and online formats in SSIP programmes offered at school, district and provincial levels with access to an unprecedented range of digital resources consequently resulting in increased learners who passed the National Senior Certificate (NSC) examination. ",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 702: Percentage of Grade 12 learners passing at the Bachelor pass level,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","To increase the percentage of learners who are achieving Bachelor passes in the
NSC examinations.",,,,,,,44.5 %,50.27 %,44.5 %,50.27 %,,"Achieved: 
The Class of 2024 benefitted from the innovative and intensified academic interventions and were exposed to extended contact time spanning several days at a time in both face-to-face and online formats in SSIP programmes offered at school, district and provincial levels with access to an unprecedented range of digital resources consequently resulting in increased learners passing at the Bachelor Pass level. ",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 703: Percentage of Grade 12 learners achieving 60% and above in Mathematics ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",To increase the number of NSC learners who are passing Mathematics with 60% and above,,,,,,,20.5 %,22.25 %,20.5 %,22.25 %,,"Achieved: 
The Class of 2024 benefitted from the innovative and intensified academic interventions and were exposed to extended contact time spanning several days at a time in both face-to-face and online formats in SSIP programmes offered at school, district and provincial levels with access to an unprecedented range of digital resources consequently resulting in increased learners achieving 60% and above in Mathematics.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 704: Percentage of Grade 12 learners achieving 60% and above in Physical Sciences,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",To increase the number of NSC learners who are passing Physical Sciences at 60% and above.,,,,,,,21.5 %,18.55 %,21.5 %,18.55 %,,"Not Achieved: 
During the marking of the 2024 NSC answer scripts, the provincial marking team reported several challenges with the question papers, all of which disadvantaged learners resulting in fewer learners achieving 60% and above in Physical Sciences.","In improving the pass rate, the Department will focus on progressed and high-risk learners in all schools. The Department will work with formally declared underperforming schools in line with Section 58(b) of the South African Schools Act (SASA).",,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 7: Examination and Education Related Services,Programme 7: Examination and Education Related Services,Annually,SOI 705: Number of secondary schools with National Senior Certificate (NSC) pass rate of 60% and above.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All Public Ordinary Schools to perform at 60% and above in the NSC.,,,,,,,900,923,900,923,,"Achieved: 
The Class of 2024 benefitted from the innovative and intensified academic interventions and were exposed to extended contact time spanning several days at a time in both face-to-face and online formats in SSIP programmes offered at school, district and provincial levels with access to an unprecedented range of digital resources consequently resulting in increased secondary schools with National Senior Certificate (NSC) pass rate of 60% and above.
",Nil,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Gauteng Greenhouse Gas (GHG) Inventory Developed ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release",Not Applicable,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Gauteng Industrial Symbiosis Programme (GIS),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release",Not Applicable,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of climate change response interventions implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,2,2,2,2,,None,None,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of environmental research projects completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of functional environmental information management systems maintained,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,3,3,3,3,,None,None,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of inter-governmental sector programmes implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,3,3,3,3,,None,None,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of legislated tools developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,1,1,1,1,,None, None,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Annually,Number of designated Environmental Management Inspectors (EMI) in provincial departments and local government,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","Justice, Crime Prevention and Security cluster",,,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Annually,Percentage of Administrative enforcement notices complied with   ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Sustainable Development for future generation,"Justice, Crime Prevention and Security cluster",,,,,,,,70 %,,70 %,,,,,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Annually,Percentage of compliance to legislative obligations in respect of licensed facilities inspected   ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Sustainable Development for future generation,"Justice, Crime Prevention and Security cluster",,,,,,,,70 %,,70 %,,,,,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of administrative enforcement notices issued for non-compliance with environmental management legislation,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,26,22,25,28,23,23,26,17,100,90,,,,,None,No corrective measures are required as administrative enforcement notices can only be issued when there are non-compliances found during inspections and investigations,"The province is below Q1 target and has not achieved the target for the quarter 
","During the inspections and investigations conducted, 28 facilities were found to be non-compliant with their authorisations and / or environmental legislation.",None,Reasons for deviations must also be provided for areas of over achievement. Please provide the reason for deviation,"The province is above Q2 target and has achieved by exceeding the target for the quarter 
",None,"All administrative enforcement notices were issued as received
",Kindly provide actual output before finalisation of the report,"Report not yet complete
",The number of administrative enforcement notices issued is determined by the number of non-compliances that were detected. Reduced number of non-compliances detected results in reduced number of administrative enforcement notices issued and that does not require any corrective measures.,None,Unable to assess as preliminary report is not provided,"The province did not provide performance data (actual output) for Quarter 4 on the indicator and as a result the performance assessment feedback can not be provided. The department is kindly requested to provide quarterly performance data on time.  
",Provide reason for under achievement ,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of completed criminal investigations handed to the NPA for prosecution,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,7,6,9,9,8,7,6,10,30,32,,,,,The target was missed by one (1) due to unavailability of some of the witnesses to obtain the witness statements and the outstanding forensic reports and specialists' statements.,The outstanding witness statements and specialists statements and forensic reports will be obtained in the second quarter to complete the investigations and ensure that the annual target is achieved,"The province is below Q1 target and has not achieved the target for the quarter 
",Nine (9) criminal investigations were finalised and handed over to the National Prosecuting Authority (NPA),None,,"The province is above Q2 target and has achieved by exceeding the target for the quarter 
",Seven (7) criminal investigations were finalised and handed over to the National Prosecuting Authority. One (1) investigation could not be finalized due to the unavailability of some witnesses during the month of December and the courts been closed for December recess.,The outstanding witness statements will be obtained during the next quarter to ensure that the annual target is achieved. It is envisaged that the annual target will be met as there is positive progress towards achievement of annual target. ,Kindly provide actual output before finalisation of the report,Report not yet complete,Ten (10 criminal investigations were finalised and handed over to the NPA during quarter 4 of 2024/25.,None,,"The province is above quarter 4 target and has achieved the quarterly and annual target  
",,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,75,97,75,93,60,78,60,58,270,326,,,,,The target for the quarter 1 April 2024 - June 2024 was achieved and exceeded due to follow-ups on administrative enforcement notices and complaints received.,None,"The province is above Q1 target and has achieved by exceeding the target for the quarter 
","Follow-ups on administrative enforcement notices and complaints received, enabled the overachievement of the quarter target.",None,,"The province is above Q2 target and has achieved by exceeding the target for the quarter 
","Target overachieved due to follow-ups on administrative enforcement notices issued and complaints received for the quarter
",None,,"The province is above Q3 target and has achieved by exceeding the target for the quarter 
", Due to budget constraints for the last reporting quarter was not able to achieve the set target for this indicator.,Request more funds for the next financial year.,,"The province is below quarter 4 target and has not achieved the quarterly target. The annual target has been achieved  
",,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Percentage of Complete s24G applications finalized within 60 working days of the date of receipt of proof of payment of section 24G administrative fine,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Sustainable Development for future generation,"Justice, Crime Prevention and Security cluster",,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,,None,None,,Two (02) section 24G applications were finalized within 60 working days of the payment being paid in full.,None,,,None,None,,,None,None,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 3: Compliance and Enforcement,Sub-Programme 3.1: Environmental quality management compliance and enforcement,Annually,Percentage  of facilities with atmospheric Emission licenses reporting to the National Atmospheric Emissions Inventory System (NAEIS),Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Integrated Human Settlements, Basic Services and Land Release","The Social Protection, Community and Human Development cluster",,,,,,,,,,100 %,,,,,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,Feasibility Study  for the Regional Integrated Waste facility,Not Applicable,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Social Protection, Community and Human Development cluster",,,,,,,,Phase 3 Feasibility study  and Treasury study for the regional integrated Waste facility,0,Phase 3 Feasibility study  and Treasury study for the regional integrated Waste facility,0,,Target was not met due to lack of funds,The department will make every effort to secure funding for the programme. ,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,feasibility study for regional integrated Waste Facility,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",Phase 4 Detailed Feasibility study,,,,,,,,0,,0,,Lack of funds.,The department will allocate funds for the programme.,,,,,,,,,,,,,,,,,,125
Environmental Affairs,Environmental Affairs,Gauteng,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,Gauteng Waste Minimisation Regulation Promulgated,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Social Protection, Community and Human Development cluster",,,,,,,,Gauteng Waste Minimisation Regulation Promulgated,0,Gauteng Waste Minimisation Regulation Promulgated,0,,"There was no budget, because no funds were allocated during the budget adjustment as had been anticipated.",The department will allocate funds for this programme.,,,,,,,,,,,,,,,,,,125
