Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q3,OTP_Q2,National_Q1,DesiredPerformance,UID
Health,Health,Eastern Cape,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Programme 1: Administration,Quarterly,9.1.2 Number of statutory documents tabled at Legislature,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"The Social Protection, Community and Human Development cluster",1,1,Target achieved,,2,,1,1,Target achieved,,6,6,Target achieved.,,10,6,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-programme 1.1: Office of the MEC,Quarterly,9.1.2 Number of statutory documents tabled at Legislature,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",1,1,Target achieved,,1,2,2,1,Target achieved,The correct target for quarter three is one. ,6,,,,10,1,,,,,Please mention the names of the statutory documents tabled at Legislature during this quarter,Target achieved.,,How come we have 2 showing as a target then? Please ensure that it is rectified urgently. Be aware that we will be recording it as a non-achievement from our side in the meantime until it is rectified.,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,6.4.1 Holistic Human Resources for Health (HRH) strategy approved,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,Aproved HRH Strategy,,,,Aproved HRH Strategy,,,.,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,6.7.1 Percentage of Hospitals with connectivity,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,52.8 %,50.5 %,,,52.8 %,50.5 %,,Target achieved within 5% margin of error..,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,6.7.2  Percentage of fixed PHC facilities with connectivity,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,32 %,32 %,,,32 %,32 %,,Target achieved,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,7.1.1 Audit opinion of Provincial DoH,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,Unqualified,Qualified,,,,,,,,,Unqualified,Qualified,,"Target not achieved for 2023/24 Audit due to instable leadership, lack of resources and lack of consequence management. ","•	Audit Improvement Plan Implementations, 
•	Weekly AIP Workgroup Meetings, CBC, and 
•	Provincial Treasury Presentation of AIP Progress 
",,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Annually,8.1.1 Contingent liability of medico – legal cases,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,"R23,857bn","R23,985bn",,,"R23,857bn","R23,985bn",,Target achieved within 5% margin of error..,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Quarterly,6.8.1 Number of benefit medical examination conducted during outreach,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",200,0,"Target not achieved.
No outreaches conducted due to austerity measures and the fact that partnership with other partners did not materialise. The Project Management Unit was not able to conduct the BMEs. 
",•	To work in partnership with other stakeholders as the austerity measures are still in place.,600,,600,,,The indicator has been revomed after re-tabling of the APP. ,600,,This indicator was amended and removed in August.,,200,0,,,,,Show how you will recover the 200 you have already lost in Q1,Indicator has been removed.,,"POE of the removal will also be required, please try to get it ready",Please provide evidence of the approval for the indicator to be removed.,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Quarterly,7.1.2 Approved Annual Procurement Plan,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,1st draft Annual Procurement Plan,2025/26 1st Draft Procurement Plan submitted to Treasury.,2nd Draft Annual Procure-ment Plan,2025/26 2nd Draft Procurement Plan submitted to Treasury.,Target achieved.,,2025/26 Approved Annual Procure-ment Plan,2025/26 Final Procurement Plan approved and submitted to Provincial Treasury,Target achieved.,,2025/26 Approved Annual Procure-ment Plan,-,,,,,You need to show if there's progress made towards achieving the first draft in Q2,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management,Quarterly,7.1.3 Amount Revenue generated (R),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",50.3 mil,33.1 mil,"Target not achieved.
The under collection in patient fees is less than expected receipts from the Road Accident Fund (RAF) and the Department of Justice and Constitutional Development (DOJ) due to pyscho legal observations to persons on trial which are referred by the Courts.   On follow up with RAF it is noted that claims settlement is delayed due to litigations taking place in the RAF space, where working tools are attached by the Sherriff. 
","•	The department has already escalated the RAF matter to the National Department of Health Provincial Support office for intervention in the 10X10 NDOH – RAF engagements where it was requested that RAF should allocate a designated human resource team to handle DoH claims. 
•	The NDoH Provincial support team follows up pyscho legal claims settlement with DOJ for all provinces.
•	Facilities continue to bill and follow up for healthcare services rendered to all funders. 
•	Head Office support on revenue generation is prioritized to the Tertiary and Regional hospitals, and retraining on HMS2 will be requested where necessary.
•	The engagement with Program Managers to support revenue generation will be introduced.
","80,3 mil",54.2mil,"94,8 mil","38,0 mil","Target not achieved.
The under collection from planned target is due to long outstanding fees owed by the Road Accident Fund for claims in respect of motor vehicle accident victims treated in public health facilities and Department of Justice and Constitutional Development for psycho legal observations rendered to persons referred by courts of law. The amount is 85,5 mil for RAF and 37 mil for DOJ.
","•	Continuous follow up with both sectors and assisted by the NDoH CFO support office as the matter has been escalated to that space. 
•	EDI billing has been implemented and collections from medical aid schemes has improved, from 5mil in the previous year to 7mil this current financial year for the period under review. 
•	
•	Facilities continue to bill and recover for other revenue streams. Refresher training on the UPFS billing, patient registration process and HMS2 revenue modules in on-going. Raising awareness on revenue management to facility executive management is proceeding. This will help CEOs to lead the function in the facilities as revenue collection takes place in that area.
","99,4 mil",45.3 mil,"Target not achieved. 
The under collection from planned target is due to long outstanding fees owed by the Road Accident Fund for claims in respect of motor vehicle accident victims treated in public health facilities and Department of Justice and Constitutional Development for psycho legal observations rendered to persons referred by courts of law. The amount is 104 mil for RAF and 60.5 mil for DOJ. At the same time, the department owes DOJ 1 billion for representing the department in its legal proceedings.
",Continuous follow up with both sectors and assisted by the NDoH CFO support office as the matter has been escalated to that space.,324.8 mil,-,,,,,,"Target not achieved.
The under collection from planned target is due to long outstanding fees owed by the Road Accident Fund for claims in respect of motor vehicle accident victims treated in public health facilities and Department of Justice and Constitutional Development for psycho legal observations rendered to persons referred by courts of law. The amount is plus minus 100mil for RAF and 37 mil for DOJ
",,Please ensure that your POE for the escalation is in place as it will be needed during the submission of the annual report.,"The matter should be escalated to the HOD & cluster requesting intervention. Otherwise, the target is running a risk of not being achieved by the end of the year",,,222
Health,Health,Eastern Cape,Programme 1: Administration,Sub-Programme 1: Office of the MEC,Quarterly,deafult,Not Applicable,Average,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,2.1 	Sub – Programme: District Management,Quarterly,9.1. 1 Number of districts conducted quarterly performance reviews,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"The Social Protection, Community and Human Development cluster",8,8,Target achieved,N/A,8,8,8,8,Target achieved,,8,8,Target achieved,,8,8,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,2.2	Sub-Programme: Community Health Clinics,Annually,6.1.1 Patient experience of care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,86.3 %,85 %,,,,,,,,,86.3 %,85 %,,Target achieved within 5% margin of error.,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,2.2	Sub-Programme: Community Health Clinics,Annually,6.2.1 Ideal clinic status obtained rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,38 %,62 %,,,38 %,62 %,,Target overachieved due to several intervention strategies implemented during the reporting period.,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,2.2	Sub-Programme: Community Health Clinics,Quarterly,6.3.17 Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"The Social Protection, Community and Human Development cluster",88 %,100 %,"Target overachieved
due to improved implementation of PSI guidelines and awareness of capturing PSIs on the web-based system
",,88 %,100 %,88 %,91 %,Target achieved.,,88 %,100 %,"Target overachieved. 
due to improved implementation of PSI guidelines and awareness of capturing PSIs on the IHFRM web-based system.
",,88 %,100 %,,,,,,"Target overachieved. 
due to improved implementation of PSI guidelines and awareness of capturing PSIs on the IHFRM web-based system.
",,,IHFRM - Stands for?,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,2.2	Sub-Programme: Community Health Clinics,Quarterly,6.3.8 Severity Assessment Code (SAC)1 incident reported within 24 hours rate,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"The Social Protection, Community and Human Development cluster",86 %,56 %,Target not achieved due to poor implementation of guidelines by the clinicians as indicated.,Training and coaching of clinicians on the implementation of guidelines.,86 %,90 %,86 %,100 %,Target overachieved. Due to improved awareness on early reporting and capturing of incidents on the web-system.,,86 %,100 %,Target overachieved due to in service training that was done during the second quarter of ICRM reviews on the 21 and 22 August 2024,,86 %,100 %,,,,,In which quarter will you implement this training?,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,2.3	Sub – Programme: Community Health Centers (CHCs) ,Annually,6.1.2 Patient experience of care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,83 %,79 %,,,,,,,,,83 %,79 %,,Target achieved within 5% margin of error.,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,2.3	Sub – Programme: Community Health Centers (CHCs) ,Quarterly,6.3.18 Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,Target achieved.,,100 %,130 %,100 %,88 %,"Target not achieved. 
No PSI cases identified in December 2024 as the CHCs reported nil report on the web-system.",To strengthen supervision and capacitate staff on PSI & SAC1 recording in the system,100 %,38 %,Target not achieved due to poor implementation of guidelines by the Clinicians throughout the year.,Training of the Clinicians on the Patient safety guidelines by Quality Assurance and monitoring of reporting.,100 %,38 %,,,,,,"Target not achieved due to poor implementation of guidelines by the Clinicians during the first quarter and much improvement noticed during the second quarter. 
In service training was done during the second quarter ICRM reviews held on the 21 and 22 August 2024 and the Champions and Supervisors included.
",,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,2.3	Sub – Programme: Community Health Centers (CHCs) ,Quarterly,6.3.9 Severity Assessment Code (SAC)1 incident reported within 24 hours rate,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"The Social Protection, Community and Human Development cluster",60 %,71 %,Target was overachieved due to improved implementation of PSI guidelines and timeous capturing of incidents in the system.,,60 %,70 %,60 %,33 %,"Target not achieved. 
No PSI cases identified in December 2024 as the CHCs reported nil report on the web-system.
",To strengthen supervision and capacitate staff on PSI & SAC1 recording in the system,60 %,19 %,Target not achieved due to poor implementation of guidelines by the Clinicians throughout the year.,Training of the Clinicians on the Patient safety guidelines by Quality Assurance and monitoring of reporting.,60 %,19 %,,,,,,Target achieved.,,How is this going to be strengthened? What different methods will be used to be able to achieve this target?,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Maternal Mortality in facility (Ratio - Per 100 000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,120 %,120 %,,,120 %,120 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,79 %,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,All DS-TB client LTF rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,All DS-TB Client Treatment Success Rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Antenatal 1st visit before 20 weeks rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",66 %,,,,66 %,,66 %,,,,66 %,,,,66 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Antenatal client  start on ART rate,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,95 %,,,,95 %,,95 %,,,,95 %,,,,95 %,0 %,,,,,"Why is it that there are no actual outputs for these indicators, yet you do have targets for this quarter? Please provide the actual output as well as reasons for deviations where you have deviated",,,,,Actual output incomplete,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART adult remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART adult viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART child remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART child viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Cervical cancer screening coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",43 %,,,,43 %,,43 %,,,,43 %,,,,43 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",2.5 %,,,,2.5 %,,2.5 %,,,,2.5 %,,,,2.5 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years pneumonia case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",2.4 %,,,,2.4 %,,2.4 %,,,,2.4 %,,,,2.4 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years severe acute malnutrition case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",7.5 %,,,,7.5 %,,7.5 %,,,,7.5 %,,,,7.5 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Death under 5 years against live birth rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",2 %,,,,2 %,,2 %,,,,2 %,,,,2 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Delivery 10-14 years in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",83,,,,84,,84,,,,84,,,,335,-,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,HIV positive 15-24 years (excl. ANC) rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,HIV test positive around 18 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Immunisation under 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",89 %,,,,89 %,,89 %,,,,89 %,,,,89 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Infant PCR test positive around 6 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",1 %,,,,1 %,,1 %,,,,1 %,,,,1 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,IUCD Uptake (*IUCD - Intra Uterine Contraceptive Device),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",500,,,,500,,500,,,,500,,,,2000,-,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Live birth under 2500g in facility rate,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,12 %,,,,12 %,,12 %,,,,12 %,,,,12 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Measles 2nd dose 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",85 %,,,,85 %,,85 %,,,,85 %,,,,85 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Mother postnatal visit within 6 days rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",82 %,,,,82 %,,82 %,,,,82 %,,,,82 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Neonatal death in facility rate (Per 1000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",12 %,,,,12 %,,12 %,,,,12 %,,,,12 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",91.7 %,,,,91.7 %,,91.7 %,,,,91.7 %,,,,91.7 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,PHC Mental Disorders Treatment rate new,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",75 %,,,,75 %,,75 %,,,,75 %,,,,75 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Still birth in facility rate (Per 1000 births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",18 %,,,,18 %,,18 %,,,,18 %,,,,18 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Pre-XDR loss to follow up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Pre-XDR treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Rifampicin resistant/Multidrug - Resistant lost to follow-up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Rifampicin resistant/Multidrug - Resistant treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Vitamin A dose 12-59 months coverage,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,76 %,,,,76 %,,76 %,,,,76 %,,,,76 %,0 %,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.4: Community-based Services,Quarterly,4.2.1 Positivity rate for hypertension 18 - 44 years,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",5 %,0.6 %,"Target not achieved. Although provincially the 778 707 clients 18 – 44 years were screened for hypertension above target of 306 813, only 4 874 clients aged 18 -44 years had symptoms of hypertension. This is due to healthy lifestyle activities to promote health through Thuma Mina programs that were done during the quarter one.  ",To strengthen health promotion strategies at district level and reduce positivity rate for hypertension 18-44 years to less than 2%.,5 %,,5 %,,,The indicator target has been changed after re-tabling of the APP.,5 %,,,The indicator was amended in August.,5 %,0 %,,,,,In which quarter will you be implementing the strengthening of health promotion strategies?,Indicator amended.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.4: Community-based Services,Quarterly,4.2.1 Positivity rate for hypertension 18 - 44 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,2 %,0.6 %,Target not achieved. Although provinciall,To strengthen health promotion strategies at district level ,2 %,0.7 %,2 %,0.7 %,"Target achieved. The districts conducted awareness campaigns, Thuma Mima and outreach programs and integrated health education  on all health programs including hypertension and healthy lifestyle was done. Health radio interviews and distribution of information, education communication material was performed.",,2 %,0.6 %,Target achieved. ,,2 %,,,,,,,Target achieved. ,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.4: Community-based Services,Quarterly,4.2.2 Positivity rate for hypertension > 45 years,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",5 %,2.2 %,"Target not achieved. Provincially, 393 220 clients 45 years and older were screened for hypertension against the target of 201 235 and only 8 671 clients aged were referred with symptoms of hypertension This is due to healthy lifestyle activities to promote health through Thuma Mina programs that were done during the quarter one.  ",To strengthen health promotion strategies at district level and reduce positivity rate for hypertension 45 years and older to less than 2%.,5 %,,5 %,,,The indicator target has been changed after re-tabling of the APP.,5 %,,,The indicator was amended in August.,5 %,0 %,,,,,,Indicator amended.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.4: Community-based Services,Quarterly,4.2.2 Positivity rate for hypertension > 45 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,2 %,2.2 %,"Target not achieved. Provincially, 393 220 ",To strengthen health promotion strategies at ,2 %,2.2 %,2 %,2.4 %,"The target was not achieved due to five health districts performing above the target: 
•	Alfred Nzo – 2.6%
•	Amathole - 3.6%
•	Buffalo City Metro– 2.2%
•	Nelson Mandela Bay - 3,9 %
•	Sarah Baartman – 4.1%
","To finalise NCD Longitudinal register proposed to be used from the next financial year, All NCD patients to have facility patient file, data verification – clean up data strengthened.",2 %,1.8 %,Target achieved. ,,2 %,,,,,,,Target achieved within 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.4: Community-based Services,Quarterly,4.3.1 Positivity rate for diabetes 18 - 44 years,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",5 %,0.3 %,"Target not achieved. Although provincially, 740 861 clients 18-44 years were screened for diabetes against the target of 513 773 and only 2 217 clients were referred with symptoms of diabetes. This is due to healthy lifestyle activities to promote health through Thuma Mina programs that were done during the quarter one.  ",To strengthen health promotion strategies at district level and reduce positivity rate for hypertension 45 years and older to less than 2%.,5 %,,5 %,,,The indicator target has been changed after re-tabling of the APP.,5 %,,,The indicator was amended in August.,5 %,0 %,,,,,,Indicator amended.,,,,,,222
