Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Annually,7.2.1 Percentage of AgriBEE Fund applications assessed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,100 %,100 %,100 %,,,N/A,N/A,,,,,,,,,,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Quarterly,7.1.1 Number of agricultural cooperatives trained (Farmtogether agricultural cooperative training),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Economic Sectors, Employment and Infrastructure Development cluster",12,12,42,42,45,45,18,18,117,117,,,,,N/A,N/A,N/A,N/A,N/a,N/a,N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,Deeds Registration,Quarterly,	8.2.1 Percentage of registered deeds delivered within ten days from date of registration,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",95 %,99 %,95 %,99 %,95 %,98 %,95 %,90 %,95 %,90 %,,,,,Performance outcome is due to good availability of system and low number of deeds registered during the period under review,,"The impact of less downtime (due to good availability of Deeds Registration System (DRS)) resulted on more deeds registered.

",N/A,"Resulting from low lodgements led to more deeds registered.

",N/A,"Poor system unavailability in some of Deeds office led to non-achievement of target, with 4 offices not able to achieve the 95%.  WC (86%), Southern Gauteng (81%), Northern Gauteng (89%) and KZN (94%) respectively.
",ICT to assist with system downtime challenges,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,Deeds Registration,Quarterly,8.1.1 Percentage of deeds made available within seven days from lodgement for execution,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",95 %,98 %,95 %,"
98 %",95 %,98 %,95 %,97 %,95 %,97 %,,,,,"Low lodgements encountered led to a  during the period under review and despite system challenges, offices were able to catch-up from backlogs created.",N/A,"Resulting from low lodgements, examination of deeds was manageable and completed within planned period.  
",N/A,"Resulting from low lodgements, examination of deeds was manageable and completed within planned period.  
",N/A,"Resulting from low lodgements, examination of deeds was manageable and completed within planned period",N/A,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,National Geomatics Management Services,Quarterly,8.4.1 Average number of working days taken to process cadastral documents for addition to the national dataset of Cadastre; Land parcel boundaries from date of lodgement to date of dispatch,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",16,12,16,14,16,14,16,17,16,-,,,,,"Less systems downtimes led to reduction in work delays and improvement in performance

",N/A,"The impact of minimal system downtime in most Surveyor General Offices resulted on less average time taken to process cadastral documents received.
.
",N/A,"The  impact of minimal system downtime in most of Surveyor General (SG) Offices resulted on less average time taken to process cadastral documents received
",N/A,"Non-achievement of the set target was due to backlogs encountered from the previous months caused by staff shortages (SG: WC lost 8 staff members during 2024/25) and the relocation of SG: WC office to a new building during the period under review.
","Additional staff added to examination environment to assist with backlog
",,140
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,National Geomatics Management Services,Quarterly,8.5.1 The average number of working days taken to add new cadastral documents to the cadastral spatial information dataset,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",10,4,10,3,10,"
5",10,6,10,-,,,,,"Less systems downtimes led to reduction in work delays and improvement in performance
",N/A,The impact of minimal system downtime experienced in most Surveyor General Offices led to improved performance,N/A,The impact of minimal system downtime experienced in most SG’s offices led to improved performance for the quarter under review.  ,N/A,The impact of minimal system downtime experienced in most SG’s offices led to improved performance for the quarter under review,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,National Geomatics Management Services,Quarterly,8.6.1 The percentage of GNSS datasets downloaded from the CORS and made available to geospatial data users,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",85 %,96 %,85 %,91 %,85 %,95 %,85 %,91 %,85 %,91 %,,,,,The majority of the TrigNet sites have been migrated onto LTE (Fastnet) to improve speed and connectivity,N/A,"Connectivity has been improved in all Trignet sites and no major challenges were experienced
",N/A,Improved connectivity in all TrigNet sites resulted in minor challenges encountered,N/A,The impact of minimal system downtime experienced in most SG’s offices led to improved performance for the quarter under review,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,National Geomatics Management Services,Quarterly,8.7.1 Number of maps produced to maintain the currency of the National Map Series dataset,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",17,20,23,21,20,25,20,26,80,92,,,,,"The number of maps produced was improved by source data as the areas mapped had minimal complexities and less amendments done than anticipated
",N/A,Disruptions in server accessibility caused by power supply failure led to irregular supply of source data that resulted on deviations  from planned production,The server connectivity has been restored. The irregular supply has been communicated and will be improved going forward.,"The previous challenge encountered on irregular supply was addressed  during the period under review, resulting in more production of maps. 
",N/A,"More source data was available to produce more maps. The volume of maps produced depends on source data availability. Moreover, the complexity (light, medium and heavy) of the area plays a crucial role, the dense areas like big cities and urban areas takes longer to update",,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,Spatial Planning and Land Use,Quarterly,8.3.1 Number of monitoring reports on National Spatial Development Framework spatial actions areas developed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster","1 report on the
indicators for
monitoring of
NSDF spatial
action areas
developed",Report on the indicators for monitoring of NSDF spatial action areas was developed,-,,"1 Framework for
monitoring report of
NSDF spatial action
areas developed",A Framework for monitoring report of NSDF spatial action areas was developed,"1 monitoring report
on NSDF spatial
action areas
developed","1 monitoring report on NSDF spatial action areas was developed
 
","3 monitoring
reports on NSDF
spatial action
areas developed",-,,,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,Spatial Planning and Land Use,Quarterly,"8.3.2 Number of organs of state supported (professionally and/or technically) to implement the Spatial Data Infrastructure Act, 2003 (Act No.54 of 2003)",Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster","3 organs of state

supported
(professionally
and/or
technically) to
implement the
Spatial Data
Infrastructure
Act, 2003 (Act
No. 54 of 2003)","3 organs of state were supported (professionally and/or technically) to implement the Spatial Infrastructure Act 2003 (Act No.54, 2003) during the quarter under review, namely: Ngaka Modiri Molema District Municipality, Eskom and DFFE.","3 organs of state

supported
(professionally
and/or
technically) to
implement the
Spatial Data
Infrastructure
Act, 2003 (Act
No. 54 of 2003)","3 organs of state were supported (professionally and/or technically) to implement the Spatial Infrastructure Act 2003 (Act No.54, 2003) during the quarter under review, namely: Amathole District Municipality and Cogta in the Eastern Cape (EC) and NW Office of the Premier.","3 organs of state
supported
(professionally
and/or
technically) to
implement the
Spatial Data
Infrastructure
Act, 2003 (Act
No. 54 of 2003)","3 organs of state were supported (professionally and/or technically) to implement the Spatial Infrastructure Act 2003 (Act No.54, 2003) during the quarter under review, namely: Ehlanzeni District Municipality, Thaba Chweu Local Municipality and  South African Local Government Association (SALGA).","3 organs of state
supported
(professionally
and/or
technically) to
implement the
Spatial Data
Infrastructure
Act, 2003 (Act
No. 54 of 2003)","5 organs of state were supported (professionally and/or technically) to implement the Spatial Infrastructure Act 2003 (Act No.54, 2003) during the quarter under review, namely: Department of Water and Sanitation, DFFE , Municipal Demarcation Board, DALRRD, South African National Space Agency.
","12 organs of state
supported
(professionally
and/or technically)
to implement the
Spatial Data
Infrastructure Act,
2003 (Act No. 54
of 2003)",-,,,,,N/A,N/A,N/A,N/A,N/A,N/A,"The Committee Spatial Information (CSI) monitoring of base dataset implementation led to an intervention affecting all appointed coordinators.
",N/A,,140
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Development of Disaster Management Programme,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster","Development of 
draft
Disaster Management
Programme","Draft Disaster Management Programme was developed
","Consultations on the draft
Disaster Management
Programme with the
identified key stakeholder
commenced.",Consultations on the draft Disaster Management Programme with the identified key stakeholder have commenced. ,"Consultations on the draft
Disaster Management
Programme with the
identified key stakeholder
finalised.",Consultations on the draft Disaster Management Programme with the identified key stakeholder was finalised.,"Disaster Management
Programme developed.",Disaster Management Programme was developed.,"Disaster Management
Programme developed",-,,,,,None,None,None,None,None,None,None ,None ,,140
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Development of Disaster Management Programme,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",No Q1 Target,No Q1 Target ,No Q2 Target,,"Draft Disaster
Management Programme
updated",Draft Disaster Management Programme was updated.,No Q4 Target,,"Disaster Management
Programme developed",-,,,,,,,,,None,None,,,,140
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Digitisation of the workflow management system,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster","e-Claims user

requirements
specification developed","e-Claims User 
requirements specification was developed
","e-Claims System
developed",The e-Claims System was developed,"e-Claims System user
training conducted", e-Claims System user training was conducted,"e-Claims System rolled
out",e-Claims System was rolled out.,"e-Claims System
developed",-,,,,,None,None,None,None,None,None,None ,None ,,140
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Percentage (%) of valid  invoices paid within 30 days  from date of receipts,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"
100% of
 valid invoices
paid within 30 days from
date of receipt","100% of valid invoices were paid within 30 days from date of receipt
","
100% of valid invoices
paid within 30 days from
date of receipt",100% of valid invoices were paid within 30 days from date of receipt.,"
100% of valid invoices
paid within 30 days from
date of receipt",100% of valid invoices were paid within 30 days from date of receipt.,"
100% of valid invoices
paid within 30 days from
date of receipt","100% of all valid invoiced received from suppliers for the period 1 January – 31 March 2025 were paid within 30 days.

The exception report on 30-day payments for the period 1 January – 31 March 2025 were submitted to National Treasury before the monthly deadlines.
","
100% of valid invoices
paid within 30 days from
date of receipt",-,,,,,None,None,None,None,None,None,None,None ,,140
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented Performance  Management System for  ICASA Councilors,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Quarterly submissio
n
to the Minister on
the monitoring of the
implementation of the
ICASA PMS developed",Submission on the quarterly monitoring of the implementation of the ICASA PMS was developed and submitted for Minister’s approval,"Quarterly submission
to the Minister on
the monitoring of the
implementation of the
ICASA PMS developed",Quarterly submission for monitoring of the implementation of the ICASA PMS was developed and submitted to Minister.,"Quarterly submission
to the Minister on
the monitoring of the
implementation of the
ICASA PMS developed",Quarterly submission of the monitoring for the implementation of the ICASA PMS developed and submitted to Minister.,"Quarterly submission
to the Minister on
the monitoring of the
implementation of the
ICASA PMS developed","Quarterly submission
of the monitoring of
ICASA PMS to Minister was developed and
Submitted.
","Implementation of

the ICASA Councilors
Performance
Management System
monitored",-,,,,,None,None,None,None,Challenges to be identified,Corrective Actions to be identified,None,None,,140
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented SABC Strategy,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Quarterly submissio
n
to the Minister on
the monitoring of the
implementation of
the SABC Strategy
developed","Submission on the quarterly Monitoring of the implementation of the SABC developed and submitted for the Minister’s approval
","Quarterly submission
to the Minister on
the monitoring of the
implementation of
the SABC Strategy
developed",Quarterly submission for monitoring of the implementation of the SABC Strategy was developed and submitted to Minister.,"Quarterly submission
to the Minister on
the monitoring of the
implementation of
the SABC Strategy
developed","Quarterly submission on the Monitoring
 of the implementation of the SABC Strategy developed
 ","Quarterly submission
to the Minister on
the monitoring of the
implementation of
the SABC Strategy
developed","Quarterly monitoring of
the implementation of
the SABC Strategy to Minister was developed and submitted.

","Implementation of the

SABC Strategy monitored",-,,,,,None,None,,,None,None,None,None,,140
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented SAPO Business Rescue Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Quarterly	submissio
n	to
the Director-General on
the monitoring of the
implementation	of	the	
SAPO	BR	Plan	
developed","Implementation of the SAPO Business Rescue Plan was monitored
","Quarterly	submission	to
the Director-General on
the monitoring of the
implementation	of	the	
SAPO	BR	Plan	
developed","Quarterly submission for monitoring of the implementation of the SAPO BR Plan was developed and submitted to Director-General.
","Quarterly	submission	to
the Director-General on
the monitoring of the
implementation	of	the	
SAPO	BR	Plan	
developed","Quarterly submission on the monitoring of the 
implementation of the SAPO BR Plan was developed and submitted to DG.
","Quarterly	submission	to
the Director-General on
the monitoring of the
implementation	of	the	
SAPO	BR	Plan	
developed","Quarterly monitoring of
SAPO BR Plan to DG was developed and submitted.
","Implementation of the

SAPO Business Rescue
Plan monitored",-,,,,,None,None,None,None,None,None,None,None,,140
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented SITA Repurposing Recommendations,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Quarterly	submissio
n	to
the Director-General on
the monitoring of the
implementation	of	the	
SITA	Repurposing	
Recommendations	for	
key	affected	Departments","Submission on the 
quarterly Monitoring of the implementation of the SITA Repurposing developed and submitted to the DG","Quarterly	submission	to
the Director-General on
the monitoring of the
implementation	of	the	
SITA	Repurposing	
Recommendations	for	
key	affected	Departments","Submission on the monitoring of the implementation of the SITA Repurposing was done
","Quarterly	submission	to
the Director-General on
the monitoring of the
implementation	of	the	
SITA	Repurposing	
Recommendations	for	
key	affected	Departments","Quarterly report was submitted to the Director-
General on the monitoring of the implementation of the SITA Repurposing Recommendations for key affected Departments.
","Quarterly	submission	to
the Director-General on
the monitoring of the
implementation	of	the	
SITA	Repurposing	
Recommendations	for	
key	affected	Departments","Quarterly monitoring submission of
the implementation of
the SITA Repurposing
Recommendations for key affected Departments was submitted to DG.

","Implementation of

SITA Repurposing
Recommendations
monitored",-,,,,,None,None,Challenges to be identified,Corrective Actions to be identified,None,None,None,None,,140
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Number of developed Shareholder Compacts for Schedule 2 and 3B of Entities,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","4 Draft sharehold
er
compacts submitted for
approval (2024/25)","Submission for 4 draft Shareholder’s Compacts were submitted for the Minister’s approval
","Implementation of the 4
Shareholder’s Compacts
(2024/25) monitored","Monitoring report on the implementation of the 4 Shareholder’s Compacts was developed and submitted to the Director-General.
","4 Shareholder Compacts
(2024/25) reviewed
in preparation for the
development of (2025/26)
shareholder compacts","4 Shareholder Compacts reviewed in preparation for the 
development of 2025/26 Shareholder Compacts.
 ","4 draft Shareholder
Compact for 2025/26
financial year developed",4 draft Shareholder Compacts for 2025/26 Financial Year were developed.,"4 Shareholder compacts
of Schedule 2 and 3B
entities developed.",-,,,,,None,None,None,None,None,None,None,None,,140
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Percentage (%) of performance and compliance reports received and analysed from SOEs,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Analysis of 100 %

all received SOEs’
Q4 Performance and
Compliance reports for
FY 2023/24 developed
and submitted",Analysis of Q4 SOEs performance reports for FY 2023/24 were developed and submitted,"Analysis of 100% all
received SOEs’ Q1
Performance and
Compliance reports for
FY 2024/25 developed
and submitted","Analysis of the received entities Q1 Performance and Compliance Reports for 2024/25 FY were developed and submitted.
","Analysis of 100%
all received SOEs’
Q2 Performance and
Compliance reports for
FY 2024/25 developed
and submitted","Analysis of SOEs Q2 performance reports were developed and submitted.
","Analysis of 100% all
received SOEs’ Q3
Performance and
Compliance reports for
FY 2024/25 developed
and submitted",Analysis of 100% all received SOEs’ Q3 Performance and Compliance reports for FY 2024/25 were developed and submitted.,"100% of received

Performance and
Compliance
 report from

SOEs analysed and
submitted",-,,,,,None,None,None,None,None,None,None,None,,140
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Automated e-Government  Services,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Quarterly progress/

monitoring report on
the automation of the
e-Government services
developed.",Quarterly progress/ monitoring report on the automation of the e-Government services on the e-Portal was developed,"Quarterly progress/
monitoring report on
the automation of the
e-Government services
developed.",Quarterly progress/ monitoring report on the automation of the e-Government services was developed.,"Quarterly progress/
monitoring report on
the automation of the
e-Government services
developed.",The quarterly progress report on monitoring the automation of the e-Government services was developed. ,"Annual progress/
monitoring report on
the automation of the
e-Government services
developed.",The annual progress/ monitoring report on the automation of the e-Government services has been developed. ,"Automation of the

e-Government services
on the e-Portal monitored",-,,,,,None,None,None,None,Challenges to be identified,Corrective Actions to be identified,None,None,,140
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Coordinated District Development Model Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",No Q1 Target,No Q1 Target,"Coordination report
on the implementation
of DDM Plan in the
prioritised Districts/
Metros developed.",Coordination report on the implementation of DDM Plan in the prioritized Districts/ Metros was developed.,No Q3 Target,,"Annual coordination
report on the
implementation of DDM
Plan in the prioritised
Districts/ Metros
developed.",Annual coordination report on the implementation of DDM Plan in the prioritised Districts/ Metros was developed.,"Implementation of DDM
Plan in the prioritised
Districts/ Metros
coordinated",-,,,,,,,None,None,,,"The supporting evidence was not sufficient to support achievement in line with the implementation plan
","The Project Manager has been advised to improve the Technical Indicator Description to align with flexible nature of the DDM Projects and schedule of the Executive Authority.  
",,140
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Implemented Digital and Future Skills programme,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster","Quarterly coordinati
on
report of the
Implementation of
Digital and Future Skills
programmes ","Quarterly coordination report of the Implementation of Digital and Future Skills programmes was developed
","Quarterly coordination
report of the
Implementation of
Digital and Future Skills
programmes ",Quarterly coordination report of the implementation of Digital and Future Skills programmes was developed,"Quarterly coordination
report of the
Implementation of
Digital and Future Skills
programmes ","Quarterly coordination report of the implementation of Digital and Future 
Skills Programmes was submitted.
","Quarterly coordination
report of the
Implementation of
Digital and Future Skills
programmes ",The quarterly report on coordination of the implementation of the Digital and Future Skills programme was developed.,"Implementation of

Digital and Future Skills
programmes coordinated",-,,,,,None,None,Challenges to be identified,Corrective Actions to be identified,None,None,None,None,,140
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Implemented National Artificial Intelligence (AI) Policy,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster","Initial research
 and
stakeholder consultations
conducted.
","The research focused on the AI strategies and policies from Argentina (2019-2029), Chile (2021-2030), the Netherlands (2019 onwards), Norway (2020 onwards), and Thailand (2022-2027), along with a detailed examination of the European Union AI Act and the AI approaches adopted by BRICS countries, particularly India. Additional research was done on existing AI policies and frameworks from key BRICS countries to gather insights and best practices. Analysis covered Brazil, China, Egypt, Ethiopia, Saudi Arabia and United Arab Emirates. 

Stakeholder consultations held with the CSIR, to align with their extensive AI research and to leverage their stakeholder consultation processes. Further, an engagement with members of DCDT Management Committee (MANCO) helped elicit key inputs

","Stakeholder consultation
on draft AI Policy
Framework conducted","Stakeholder consultation sessions to present the draft AI Policy Framework were conducted to gather feedback and suggestions for improvements in physical meetings and virtually in the quarter under review,

The working group has received emailed responses from ASISA, ASSAF, BASA, CoCT, EY, Dr Heila Pienaar of UP, SAIA, TEI and UWC IT student society 
",Draft AI Policy developed,The draft AI Policy was developed. ,"Final draft AI Policy
developed.",Draft AI Policy Document was developed,"Draft National 
Artificial
Intelligence (AI) Policy
developed",-,,,,,None,None,"The responses received were not enough because in August an Executive decision was taken to remove the National AI Framework from DCDT website. Therefore, any in-person consultation with stakeholders could not be conducted. ",It would be important to re-open the consultation period (till November 2024) to allow for further in-person consultation. ,None,None ,None,None,,140
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Implemented National Artificial Intelligence (AI) Policy,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Draft AI Policy 
Framework
developed",Developed Draft SA National AI Policy Framework; Towards the development of South Africa National AI Policy which lays out both a process and substantive basis for the development of the AI Policy. This was presented to DCDT MANCO for inputs,No Q2 Target,,No Q3 Target,,No Q4 Target,,"Draft National 
Artificial
Intelligence (AI) Policy
developed",-,,,,,None,None,,,,,,,,140
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,"Number of monitoring reports on the participation of Women, Youth and Persons with Disabilities in procurement, SMME Development and Employment Equity in the ICT Sector",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",No Q1 Target,No Q1 Target,"1 Monitoring report
on the participation
of women, youth, and
persons with disabilities
in procurement, SMME
Development and
Employment Equity
developed.
","1 Monitoring report on the participation of women, youth and persons with disabilities in procurement, SMME Development and Employment Equity was developed and submitted",No Q3 Target,,"1 Monitoring report
on the participation
of women, youth, and
persons with disabilities
in procurement, SMME
Development and
Employment Equity
developed.","Monitoring report on the participation of women, youth, and persons with disabilities in procurement, SMME Development and
Employment Equity was developed. 
","2 Monitoring reports
on the participation
of women, youth,
and persons with
disabilities participation
in procurement, SMME
Development and
Employment Equity in the
ICT Sector developed",-,,,,,,,Challenges to be identified,Corrective Actions to be identified,,,The report was not developed in line with required standards for the target to be achieved.,The matter has been referred to the Branch Head for action and engagement with Human Resource unit. ,,140
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Percentage (%) increase of DCDT integrated Plan of Action implemented in support of the NSP on GBV,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster","10% increase 
of DCDT
integrated plan of action
in support of the National
Strategic Plan (NSP) on
Gender-based Violence
(GBV) implementation
coordinated",Not Achieved ,"30% of the DCDT
integrated plan of action
in support of the NSP
on GBV implementation
coordinated",The DCDT achieved 26% instead of the DCDT targeted 30% of the integrated plan of action in support of NSP on GBV ,"20% of the DCDT
integrated plan of action
in support of the NSP
on GBV implementation
coordinated","20% of the DCDT integrated plan of action in support of the NSP on GBV implementation was coordinated. 
","20% of the DCDT
integrated plan of action
in support of the NSP
on GBV implementation
coordinated",20% of the DCDT integrated plan of action in support of the NSP on GBV implementation was coordinated.,"80% increase of DCDT
integrated Plan of Action
implemented in support
of the NSP on GBV
coordinated 
",-,,,,,No Relevant POE has been submitted Report writing a major challenge and aligning the achievement to the actual target ,Targeted interventions on the SMS members of this CD are required urgently ,Submission on 365 Day Campaign on Combating GBVF was not approved despite it being resubmitted twice regardless of responding to the comments made on the submission.,Resubmit the submission on the 365 Day Campaign on Combating GBVF again.,Project Manager to provide ,Project Manager to provide,The report was not developed in line with required standards for the target to be achieved.,The matter has been referred to the Branch Head for action and engagement with Human Resource unit. ,,140
,Communication and Digital Technologies,National,ICT INFRASTRUCTURE DEVELOPMENT & SUPPORT,ICT INFRASTRUCTURE DEVELOPMENT & SUPPORT,Quarterly,Implemented revised analogue switch off plan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Distribution and

installation of decoders
monitored across all
provinces",Distribution and installation of set-top boxes monitored across all provinces,"Distribution and
installation of decoders
monitored across all
provinces",Distribution and installation successfully monitored across all provinces through online meetings with entities playing role in the implementation of the programme and BDM stakeholders. ,"Distribution and
installation of decoders
monitored across all
provinces","Distribution and installation successfully monitored across all 
provinces through online meetings with entities playing role in the implementation of the programme and BDM stakeholders. 
","Distribution and
installation of decoders
monitored across all
provinces",Distribution and installation of decoders was successfully monitored across all provinces through online meetings with entities playing role in the implementation of the programme and BDM stakeholders.,"Distribution and

installation of decoders in
nine provinces monitored",-,,,,,None,None,None,None,None ,None,None,None,,140
