Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.2.1 Number of farms supported through the Land Development Support Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,16,10,14,14,10,16,40,40,,,,,N/A,N/A,"One project did not meet the minimum income threshold of R350 000,00 as required by LDS Manual during the development of the business plan. Delays on the procurement of items by farmers in submitting non-compliant quotations. NLAACC recommended that one project requiring support for cropping, be referred for the Blended Funding Scheme since it had a livestock enterprise that was already above the R350 000,00 net income threshold. Deaths of members of a legal entity resulting into a process of  nominations and registration of these members as replacements. Delays in transferring grants due to non-compliant payment parcel, compounded by poor follow-up by Provinces. 
","The project is being replaced with another one and the target has been rolled-over to Q3. Engage farmers and assess documents submitted to minimize non-compliant quotations and see to it that farmers submit documents that are compliant. The project was subsequently replaced with another one, and performance will be reported in Q3. The process of regularising the entity is underway. Matter on inadequate follow-up was escalated to DDG: Provincial Operations for intervention.
",n/a,n/a,"The over-achievement was due to 6 farms that were supposed to have been completed in Q2 but were delayed (issues around session approval, correctio of recategorization, technical compliance to production requirements, availability to water due to outstanding bills etc), hence there was a variance of -6 in Q2 (under-achievement).
","Strict adherence of implementation timelines as per the signed APP quarterly targets, to avoid under performance in some quarters.
",,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.4.1 Number of hectares allocated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,0,0,0,0,22884,15 781,23863,27 204,46747,42985,,,,,N/A,"2 094,0405

Provinces were encouraged to bring allocations forward to minimize the period it takes for properties to be leased out. Furthermore, some of the allocated properties were acquired in the previous financial year but the beneficiary selection processes were still on-going at the end of the financial year",N/A,"A total of 13 249,27ha was reported but there was no target. This information will be reported in the APR.","Delays in conveyancing led to non-transfer of properties that were approved for acquisition
",Bi-weekly meetings to track progress will continue to be held and some properties have already been transferred in the 2nd and 3rd Quarters,"Provinces were encouraged to bring allocations forward for approval by NLAACC to minimize the period it takes for properties to be leased out

",Not applicable,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Restitution,Quarterly,5.5.1 Number of land claims settled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,59,16,93,46,93,17,74,207,319,286,,,,,"
The under- achievement of 43 claims in Quarter 1 is due to : offers rejected by claimants, Delays from claimants in accepting offers due to consultations they needed to make, Family disputes, Delays in submission of supporting documents necessary for conclusion of a settlement by claimants, Claimants divided over options, Delays in acquiring historical valuations from the office of the OVG, Delays in couriers and QCC postponements. 
","There are 21 claims already presented at QCC held on 11 July 2024. Meeting with claimant families to try and solve the disputes. Options workshop to be conducted earlier in the settlement process so that it does not delay settlement at the Section 42D stage, following up with the office of the OVG and once the valuations have been obtained, offers will be submitted which would then be translated into Section 42D submissions.
","Delays with verification due to the non-submission of the necessary documents i.e. ID copies and affidavits by claimants and beneficiaries, Non-cooperation of claimants, Family disputes resulting to delays in settlement of the claims, Split options on settlement of the claims and Some claimants are outside the Country so is difficult to conclude necessary documents.
","Regional offices to obtain the outstanding documentation from claims so that offers can be converted to Sections 42ds for settlement. To convene weekly performance meetings with Project Coordinators and Managers to monitor performance and address issues of split options. Engage Home Affairs and International Relations to trace those overseas.
","Delay in receiving valuation reports from the valuers e.g. KwaZulu-Natal and Limpopo, Offers were rejected by claimants e.g. Eastern Cape and KwaZulu-Natal, Family disputes and change of settlement option which delayed conclusion of the claims e.g. KwaZulu-Natal 
","Regional offices to follow-up and obtain outstanding valuations so that offers can be made to the claimants and Further negotiations to be undertaken where claimants have rejected offers and with families where there are disputes and changes in settlement options.
","The over- achievement of 135 claims in Quarter 4 was due to settling multiple claims and offices implemented catch-up plans due to non-achievement of targets in previous quarters. 
",Not applicable,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Restitution,Quarterly,5.5.2 Number of land claims finalised,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",65,57,87,59,102,57,85,192,339,365,,,,,"Delays in finalisation of signing settlement agreements with the claimants due to delays in submitting the necessary supporting documents, Claimant banking details not verified on the financial systems (BAS / SAFETYNET), Suspension of the ABSA payment process due the changes in the National Treasury regulations. 
","Banking details verified to ensure that beneficiaries have active bank accounts and payments to be processed during Quarter 2, The ABSA payment process was resumed from June 2024 and extended to the end of July 2024. 
","Delays in processing of payments as the Electronic Bank Transfers (EBT) payment processing takes long. Some payments were returned amounting to R10m due to the cutoff date of 31st July 2024 window period from ABSA to process list payments. Due to EBT payments beneficiaries now individually complete entity forms to activate their banking accounts on BAS and this delays the process.,
","Due to the lengthy process involved in EBT payment through BAS, regional offices to reallocate and or obtain assistance from other units like operations, legal and information management to assist with the processing of payments.
","Slow pace of payments using Electronic Bank Transfer system due to the number of beneficiaries to be paid e.g. Eastern Cape, KwaZulu-Natal, Limpopo, Mpumalanga and Western Cape, Incorrect payment parcels submitted for processing, which had to be returned for corrections e.g. KwaZulu-Natal. Adherence to waiting period between first and second letters for dismissals e.g. Eastern Cape and Limpopo
","Development of a bulk payment system currently in progress. The regions to correct and reroute payment parcels which will contributes to finalisation of 22 claims. Offices to report on dismissals once the waiting period has expired 
","The over- achievement of 107 claims was due to the declaration of funds for 46 claims, non-compliance where the minimum period of 30 days had lapsed for  61 claims.
",Not applicable,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,National Rural Youth Service Corps (NARYSEC),Quarterly,6.1.1 Number of young people trained through the National Rural Youth Service Corps Programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Economic Sectors, Employment and Infrastructure Development cluster",145,151,653,657,260,281,693,600,1751,1689,,,,,Dropouts which were considered for mitigation did not occur during  this period under review and hence an overachievementt is recorded,N/A,Dropouts which were considered for mitigation less occurred during the period under review hence an overachievement is recorded.  ,"Guidance on correct targeting is needed from Strategic Planning.
","The overachievement  of the set target  was as  a result of LP ‘s early completion of youth training that was  targeted to  be completed  in early January 2025.  

","Adjust plans informed by implementation  realities 
","The non-achievement of the Q4 set target  is due to dropouts encountered during period under review 
","eformance trends amongst others need to be considered in distribution of quarterly targets.
",,140
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,National Rural Youth Service Corps (NARYSEC),Quarterly,6.2.1 Number of reports on National Rural Youth Service Corps participants linked to economic opportunities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Economic Sectors, Employment and Infrastructure Development cluster",0,,1,"1
(Biannual report on NARYSEC participants linked to economic opportunities)",0,,1,1 (Biannual Report on National Rural Youth Service Corps participants linked to economic opportunities was developed),2,0,,,,,,,N/A,N/A,,,N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,Rural Infrastructure Development,Quarterly,6.3.1 Number of infrastructure projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",10,19,13,"16




",16,"26 (GP=1, KZN=6, LP=15, MP=2,NW=2) ",19,19,58,35,,,,,"KZN: The original target exceeded due to project implementation ahead of schedule and good performance by the contractor and no on-site delays. 

LP: Completion of 1 multi-year project resulted in over-achievement
",N/A,"GP and KZN: The projects were completed ahead of scheduled timeframe due to minimal delays.

LP and MP:  4 (2 in LP and 2 in KZN) of 16 projects reported were of multi-year project
",N/A,"The completion of multi-year projects in Limpopo, carried over from 2023/2024 FY) and completion of project prior its planned schedule in KZN resulted in over achievement of the set target.
","Multi  year projects need to be considered in setting of annual target.

",N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing","Agro-processing, Marketing and Rural Industrial Development ",Quarterly,7.3.1 Number of FPSUs supported to be functional,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",8,8,12,12,12,7,5,4,37,31,,,,," 11 FPSU were reported, but 3 did not meet the technical indicator description requirements. ( Delivery noted, enterprise registration certificates were not provided)
","Implement corrective action and report them under annual adjustment.
",N/A,N/A,"The expiry of the SLAs of appointing Management Agents in October 2024 delayed implementation of projects. This led to SCM processes to be followed. There was a delay in the approval process of certain projects. Projects referred back for amendments took time to be corrected.
","Planning of SCM processes to ensure procurement of goods and services and subsequent delivery. The revision of the policy and various SOPs will be the guidelines to adhere to. Specific timeframes to be set and adhered to by provinces and national.
","The recommended supplier, after quotation acquisition, could not commit to deliver  by financial year end 
","Support will then be made in the next financial year
",,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing","Agro-processing, Marketing and Rural Industrial Development ",Quarterly,7.4.1 Number of enterprises supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",21,17,56,56,57,20,4,4,138,97,,,,,"Deregistration of an enterprise,
Delays in submission of the project for approvals and reported Support relates to the previous financial year.","Re-register the enterprise and fast track implementation of all approved projects going forward.
",N/A,N/A,"The expiry of the SLAs of appointing Management Agents in October 2024 caused delayed implementation of projects. This led to SCM processes to be followed. There was a delay in the approval process of certain projects. Projects referred back for amendments, took time to be corrected.
","Planning of SCM processes to ensure procurement of goods and services and subsequent delivery. The revision of the policy and various SOPs will be the guidelines to adhere to. Specific timeframes to be set and adhered to by provinces and national.
",N/A,N/A,,140
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing","Agro-processing, Marketing and Rural Industrial Development ",Quarterly,7.5.1 Number of smallholder farmers capacitated with agricultural marketing,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",50,54,120,121,70,98,60,15,300,288,,,,,"111 farmers were capacitated, but  57 did not submit copies of their ID",N/a,"The training is demand driven without any financial implication which resulted in the over achievement. Over and above, they have reported 223 and only 121 met the requirements of the TID. (faded or no identification, departmental official and duplicates)",Improvement in the quality of information provided.,"The over achievement is the result of the programme being Demand driven with no financial implication. over and above, a total of 219 was reported, but portfolio of evidence (POE)for 121 did not meet the requirements of the technical indicator description ( TID) for ID and attendance register.",Better management of portfolio of evidence,"The demand-driven nature of this indicator necessitated that fewer farmers be trained in quarter Q4, as surplus farmers were trained in previous quarters. The accumulated planned target for the previous 3 quarters was 240, and the achievement was 273, resulting in 33 surplus farmers trained in that period","The 25 farmers who were trained in Q3, but reported late, will be adjusted in the annual report.
",,140
