Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,UID
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Quarterly,Number of libraries with internet connectivity,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",172,175,172,0,172,"After correcting the Method of Calculation and the Means of Verification the output indicator as well as the target were amended to ensure the usefulness and reliability of its reporting. Please see indicator No 4 captured as ""Number of libraries supported with internet connectivity"" under the sub-programme (Management)",172,"After correcting the Method of Calculation and the Means of Verification the output indicator as well as the target were amended to ensure the usefulness and reliability of its reporting. Please see indicator No 4 captured as ""Number of libraries supported with internet connectivity"" under the sub-programme (Management)",172,175,0,"After correcting the Method of Calculation and the Means of Verification the output indicator as well as the target were amended to ensure the usefulness and reliability of its reporting. Please see indicator No 4 captured as ""Number of libraries supported with internet connectivity"" under the sub-programme (Management)",,,,The 3 more libraries were struggling with internet connection and the Department had to provide them with 3G connections. This was done after the targets were planned. ,The target will be revised during the next APP revision.,Achieved as planned.,"After correcting the Method of Calculation and the Means of Verification the output indicator as well as the target were amended to ensure the usefulness and reliability of its reporting. Please see indicator No 4 captured as ""Number of libraries supported with internet connectivity"" under the sub-programme (Management)",,revised,,,,,,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Quarterly,Number of municipalities refunded for the administration of public library services,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,2,0,0,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 2 captured as ""Number of municipalities supported for the administration of public libraries"" under the Sub-programme (Management)",2,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 2 captured as ""Number of municipalities supported for the administration of public libraries"" under the Sub-programme (Management)",2,0,0,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 2 captured as ""Number of municipalities supported for the administration of public libraries"" under the Sub-programme (Management)",,,,,,No reporting required for the quarter under review.,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 2 captured as ""Number of municipalities supported for the administration of public libraries"" under the Sub-programme (Management)",,revised,,,,,,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Quarterly,Number of training programmes presented to library staff,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,0,,1,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 3 captured as ""Number of capacity building programmes implemented"" under the Sub-programme (Management)",1,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 3 captured as ""Number of capacity building programmes implemented"" under the Sub-programme (Management)",2,0,0,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 3 captured as ""Number of capacity building programmes implemented"" under the Sub-programme (Management)",,,,,,No reporting required for the quarter under review.,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 3 captured as ""Number of capacity building programmes implemented"" under the Sub-programme (Management)",,revised ,,,,,,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Quarterly,Number of visually disabled services provided in libraries,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",27,27,27,0,27,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see indicator No 6 captured as the ""Number of mini-libs for visually impaired users provided"" under the sub-programme (Management)",30,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see indicator No 6 captured as the ""Number of mini-libs for visually impaired users provided"" under the sub-programme (Management)",30,27,0,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see indicator No 6 captured as the ""Number of mini-libs for visually impaired users provided"" under the sub-programme (Management)",,,,,,Achieved as planned.,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see  indicator No 6 captured as the ""Number of mini-libs for visually impaired users provided"" under the sub-programme (Management)",,revised ,,,,,,The indicator was revised,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Annually,Number of public awareness programmes conducted about archival services,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Quarterly,Number of governmental bodies inspected,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",2,2,3,3,3,3,2,2,10,10,10,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,Achieved as planned,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Quarterly,Number of inventories compiled or updated,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",2,2,2,2,2,2,0,0,6,6,6,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,No reporting required for the quarter under review,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Quarterly,Number of oral history projects undertaken,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,2,2,1,1,2,1,5,4,4,One oral history project could not be undertaken due to unavailability of the interviewee.,The outstanding oral history project was postponed to the 28th April 2025.,,,,,No reporting required for the quarter under review,,,,,,Achieved as planned.,One oral history project could not be undertaken due to unavailability of the interviewee. ,The outstanding oral history project will be conducted on the 28th April 2025.,"Not Achieved, Reason for deviation and corrective actions provided.",164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Quarterly,Number of record classification systems assessed,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",2,2,3,3,3,3,2,2,10,10,10,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Quarterly,Number of records appraisals done and disposal authorities issued,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,2,3,2,2,1,1,5,6,6,The overachievement on the appraisal and disposal issued was of the Department of Health which had to destroy inactive records so that the building can be made available for active records which were newly created. ,No corrective measure required,,,,,No reporting required for the quarter under review,There was a request from the Office of the Premier to dispose the duplicate records.,No corrective measure required,,,,Achieved as planned.,,,Achieved as planned,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Quarterly,Number of records data coded,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",3150,3150,3150,0,3150,See below indicator no 8 for the revised target.,3150,See below indicator no 8 for the revised target.,12600,3150,0,See below indicator no. 8 for the revised annual target.,,,,,,Achieved as planned.,See below indicator no 8 for the revised target.,,,,,Revised on the APP.,,,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Quarterly,Number of records data coded,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",3150,3150,2250,2250,1800,1800,1800,1800,9000,9000,9000,,,,Higher,,,,,,,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.3: Archive Services,Quarterly,Number of records staff trained,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",20,20,20,20,10,26,10,10,60,76,76,The overachievement is due to additional request by the Deeds Office which had identified certain number of officials to be trained.   ,"The target is demand driven, no corrective measure required. ",,,,,Achieved as planned.,,,,"Overachieved because the Tokologo Local Municipality officials had made payment at the beginning of the 1st Quarter for 20 Officials. in the 2nd Quarter, 6 officials attended the training and in the 3rd Quarter the last batch of officials attended, hence the target was exceeded.",The officials will be encouraged to attend the training according to the scheduled times.,"Overachieved, reason for deviation and corrective action provided.",,,Achieved as planned,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Annually,Default ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Annually,Number of athletes supported by the sport academies,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,200,200,200,200,200,,,,On target,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of athletes supported by the sports academies,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",0,0,0,0,0,,200,,200,0,0,"The output indicator is planned as an annual target and therefore re-captured and reported under ""Annual/Yearly Targets"". See indicator No.2.",,,,,,No annual and quarterly target set.,,,,,,No reporting required for the quarter under review.,"The output indicator is planned as an annual target and therefore re-captured and reported under ""Annual/Yearly Targets"". See indicator No.2.",,Indicator was incorrectly captured.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,"Number of schools, hubs and clubs provided with equipment and/or attire to enable participation in sport and or recreation",Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0,,,,,,,,No annual and quarterly target set.,,,,,,,,,No Reporting Required for the quarter under review,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 1: Management,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 1: Management,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,,0,,0,,0,,0,-,,,,,,,,No reporting required for the quarter under review.,,,,,,No reporting required for the quarter under review.,,,No Reporting Required ,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 1: Management,Quarterly,Number of staff appointed and/or maintained on a long-term or permanent basis,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",9,9,9,9,9,9,9,9,9,9,9,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 1: Management,Quarterly,Percentage of administration standards met,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,Achieved as planned ,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.2: Sport (Voted Funds),Quarterly,Number of Academies supported ,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,1,1,1,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,Progress not provided.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.2: Sport (Voted Funds),Quarterly,Number of education and training programmes developed,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,0,1,1,1,1,1,1,1,1,1,,,,On target,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,,,,,,,Achieved as planned.,,,Achieved as planned ,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.2: Sport (Voted Funds),Quarterly,Number of e-learning programmes implemented,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,0,1,,1,"Output Indicator was revised to ensure the usefulness and reliability of its reporting. Please see indicator no 5 below revised to measure the ""Number of education and training programmes developed"".",1,"Output Indicator was revised to ensure the usefulness and reliability of its reporting. Please see indicator no 5 below revised to measure the ""Number of education and training programmes developed"".",1,0,0,"1	Output Indicator was revised to ensure the usefulness and reliability of its reporting. Please see indicator no 5 below revised to measure the ""Number of education and training programmes developed"".",,,,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.","Output Indicator was revised to ensure the usefulness and reliability of its reporting. Please see indicator no 5 below revised to measure the ""Number of education and training programmes developed""",,,,,Revised as per APP.,,,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.2: Sport (Voted Funds),Quarterly,Number of high-performance sport science programmes developed,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",4,1,4,4,4,4,4,4,4,4,4,,,,On target,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,,,,,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.2: Sport (Voted Funds),Quarterly,Number of high-performance sport science programmes implemented,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",4,1,4,,4,"Output Indicator was revised to ensure the usefulness and reliability of its reporting. Please see indicator no 4 below revised to measure the ""Number of high-performance sport science programmes developed"".",4,"Output Indicator was revised to ensure the usefulness and reliability of its reporting. Please see indicator no 4 below revised to measure the ""Number of education and training programmes developed"".",4,1,0,"Output Indicator was revised to ensure the usefulness and reliability of its reporting. Please see indicator no 4 below revised to measure the ""Number of education and training programmes developed"".",,,,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.","Output Indicator was revised to ensure the usefulness and reliability of its reporting. Please see indicator no 4 below revised to measure the ""Number of high-performance sport science programmes developed"".",,,,,Revised as per APP.,,,Indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.3: Recreation,Annually,Number of communities provided with equipment and attire,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,1,,,,,,1,,0,"The Output Indicator had to be removed in the 2024/24 APP because of double reporting. The Department provides equipment and/or attire to Schools, Clubs and Hubs and are measured and reported on, in the 2024/25 APP as output indicators 4.5.3; 4.5.9 and 4.6.4. ",,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.3: Recreation,Annually,Number of public sector recreation activities implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.4: School Sport (Voted Funds),Annually,Number of recent resources distributed to the sport sector,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,100,86,,,100,86,151,An additional workshop was organised in the 4th quarter in collaboration with the local NPO to have a Career Expo to address the shortfall in quarter 3 and more learners attended.,The indicator is demand driven therefore more learners were in attendance.,,Higher,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.4: School Sport (Voted Funds),Annually,Number of recent resources secured and distributed to the sport sector,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,1,0,,,,,1,0,,"After correcting the Method of Calculation and the Means of Verification the output indicator as well as the target were amended to ensure the usefulness and reliability of its reporting. Please see indicator no 2 below revised to measure the ""Number of recent resources distributed to the sport sector"" with the revised target.",,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Community Sport (including transversal matters),Quarterly,Number of Active Recreation Coordinators Remunerated,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",17,17,17,17,17,17,17,17,17,17,17,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Community Sport (including transversal matters),Quarterly,Number of Club Coordinators Remunerated,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",8,8,8,8,8,8,8,8,8,8,8,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Community Sport (including transversal matters),Quarterly,Number of local leagues supported ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",4,4,6,6,4,5,3,2,17,17,17,,,,,,,"Over-achieved, reason for deviation provided.",,,,One more local league (Cricket) was supported in the third quarter within the allocated budget.,No corrective measure. One more league was supported within the allocated resources. ,"Overachieved, reason for deviation provided.",The Annual target has already been achieved in the previous quarter.,No corrective measure required. The annual target achieved.,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Community Sport (including transversal matters),Quarterly,Number of organised sport and recreation activities in communities,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",5,5,10,10,10,10,5,5,30,30,30,,,,,,,Achieved as planned.,,,,,,Achieved as planned.,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Community Sport (including transversal matters),Quarterly,Number of people trained to deliver the Club Development Programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",100,0,100,162,100,0,0,138,300,300,300,,,,,There was a delay in the approval of procurement documents,The target will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.",Partnerships with Federations added more numbers in training.,No corrective measure required,,The target could not be achieved due to the unavailability of participants / trainees due to a congestion of programs within sport.,The new date has been confirmed in January 2025.,"Not achieved, reason for deviation provided.",138 people were trained in the 4th quarter to address the shortfall of quarter 3.,No corrective measure required. The annual target is achieved. ,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Community Sport (including transversal matters),Quarterly,Number of provincial programmes contributing to “I choose 2B Active” campaign implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,1,1,1,1,0,,2,2,2,,,,,,,No reporting required for the quarter under review,,,,,,Achieved as planned.,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Community Sport (including transversal matters),Quarterly,Number of sport development projects implemented by the provincial sports confederation,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,1,1,2,2,0,,3,3,3,,,,,,,No reporting required for the quarter under review.,,,,,,Achieved as planned.,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Cummunity Sport (including transversal matters),Annually,Number of branding material procured as per specifications for Sport and Recreation Programmes,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,1,0,,,,,1,0,1,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Cummunity Sport (including transversal matters),Annually,Number of clubs provided with equipment and/ or attire,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,150,0,,,,,150,0,150,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Cummunity Sport (including transversal matters),Annually,Number of hubs provided with equipment and/ or attire,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,6,6,,,,,6,6,6,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Cummunity Sport (including transversal matters),Annually,Number of people trained in Siyadlala to implement and coordinate activate recreation programmes,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,100,0,,,,,100,0,100,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Cummunity Sport (including transversal matters),Annually,Number of Provincial Indigenous Games organised,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.5: Cummunity Sport (including transversal matters),Annually,Number of women boxing bout support provided,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,1,0,,,,,1,0,1,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of learners supported to participate in the National School Sport Championships,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",365,332,0,63,180,143,0,18,545,556,556,Learners with Special Educational Needs were supported to participate at the Deaf Championships in Durban.,No corrective measure required. More learners qualified to participate at the competitions. ,,,A short fall of 33 athletes did not meet qualification standards as set by the National Federation,"The province is stronger in team sport which compete at the National School Sport Championships which will take place in Q3, December 09-14. The shortfall will be made up then.","Not achieved, reason for deviation provided.",The U/15 African Schools Championships and National Schools Chess Championships took place in the second quarter. These events were not originally part of the calendar but were included by DSAC.,Better planning and coordination between DSAC and provincial departments.,,A shortfall of 37 learners could not be achieved due to some athletes not meeting qualification standards.,More support will be provided to assist athletes to meet the qualification standards. ,"Not achieved, reason for deviation and corrective action provided.",Learners with Special Educational Needs were supported to participate at the Deaf Championships in Durban.,No corrective measure required. The annual target is achieved.,Not Achieved reason for deviation and corrective actions provided.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of people employed to deliver school sport programme,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",25,15,25,25,25,25,25,25,25,25,25,,,,,Recruitment process took longer than anticipated,Process has been completed. The new Coordinators will start in August ,"Not achieved, reason for deviation provided.",,,,,,Achieved as planned.,,,Achieved as planned,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of people trained,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",150,0,150,67,0,102,0,141,300,310,310,There was more demand for the Indigenous Games training.,No corrective measure required. More educators were trained.,,,A suitable accredited service provider in League Administration could not be identified in the province,Directorate requested national department for assistance,"Not achieved, reason for deviation provided.",Delays in districts providing their training plans led to the directorate not meeting the procurement deadlines.,Another training sessions has been planned in the third quarter to address the short fall.,,102 people were trained in the third quarter to address the underachievement of the previous quarters.,Two more trainings are planned to cover the annual shortfall.,"No reporting required for the quarter under review, however progress reported is noted.",141 people were trained in the 4th quarter to address the shortfall of quarters 1 and 2.  ,No corrective measure required. The annual target is achieved.,"No reporting required, the achievement was corrective action for Q1 and Q2.",164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of school sport leagues organised at a local and district level,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",105,2,20, 70,0,21,5,3,130,96,96,"Regular Participation Guidelines could not be finalized on time by National Department of Sport, Arts and Culture and National Department of Basic Education which led to the leagues not being fully implemented.",National Joint Task Team will finalize the documents before the start of the new financial year.,,,Regular Participation Guidelines not yet finalized. DSAC & DBE still working on document. This led to delay in the implementation,National Joint Task Team to finalise the document before the end of July. Agreement has been reached with DBE to start with limited implementation of the programme (Football u15),"Not achieved, reason for deviation provided.", The quarter 1 target was not achieved due to delays in finalising essential policy documents that govern cooperation between DoE and DSAC nationally. The directorate has been working closer with the department of Education in order to roll out leagues to address a short fall of the first quarter. ,The target was overachieved to address the shortfall in the first quarter.,,The target was overachieved to address the shortfall in the first quarter.,No corrective measure required,"No reporting required for the quarter under review, however progress reported is noted.","Regular Participation Guidelines could not be finalized on time by National Department of Sport, Arts and Culture and National Department of Basic Education which led to the leagues not being fully implemented.",National Joint Task Team will finalize the documents before the start of the new financial year.,Not Achieved reason for deviation and corrective action provided,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of schools participating in the School Sport Programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",285,3,285,Revised target. please see indicator no 8 below for the revised target.,0,Annual target was revised. Please see indicator no 8 below for the revised target.,0,,570,3,0,Revised target. please see indicator no 8 below for the revised target.,,,,Regular Participation Guidelines not yet finalized. DSAC & DBE still working on document. This led to delay in the implementation,National Joint Task Team to finalise the document before the end of July. Agreement has been reached with DBE to start with limited implementation of the programme (Football u15),"Not achieved, reason for deviation provided.",,,,,,No reporting required for the quarter under review.,,,No reporting required for the quarter under review,164
