Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,UID
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.1: Arts and Culture,Quarterly,Number of arts and culture programmes presented and supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",2,2,9,7,3,4,2,8,16,21,21,The additional arts and culture programmes were presented and supported with the extra funding received from the 2024 MACUFE earmarked budget., No corrective measure required. The additional programmes were presented with the additional resources received.   ,,Higher,,,,There was a delay in SCM processes hence the postponement of the 2 events.,The events will take place in the third quarter.,"Not achieved, no reason for deviation and corrective action provided.",One more arts and culture programmme that was supposed to be presented in the second quarter was only presented in the third quarter. ,"No corrective measure required, the underachievement of the 2nd quarter is now corrected. ",Achieved as planned.,Four programmes that were supposed to be presented and supported in the second and third quarter were presented in the fourth quarter. Further additional programmes were presented and supported with extra funding received from the 2024 MACUFE earmarked budget.,No corrective measure required. The annual target has been achieved.,Not Achieved reason for deviation provided,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.1: Arts and Culture,Quarterly,Number of community structures supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,3,1,7,5,0,5,10,11,11,One more additional structure was supported during the financial year. ,No corrective measure required. ,,,,,No reporting required for the quarter under review.,The Memorandum of Understanding for the two structures are currently in the process of being renewed.,The shortfall will be covered in the upcoming quarters.,"Not achieved, no reason for deviation and corrective action provided.",Two structures could not be supported in the third quarter due to non submission of the required documentation.,The remaining structure will be supported in the 4th quarter after the submission of the required documents.,"Not achieved, reason for deviation and corrective action provided.",Five structures that could not be supported in the second and third quarter due to non submission of the required compliance documentation were only supported in the fourth quarter. ,No corrective measure required. The annual target has been achieved. ,Not Achieved reason for deviation and corrective action provided.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.1: Arts and Culture,Quarterly,Number of EPWP job opportunities created,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",130,130,130,130,130,130,130,130,130,130,130,,,,,,,Achieved as planned.,,,Achieved as planned,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.1: Arts and Culture,Quarterly,Number of national and historical days celebrated,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,1,"Revised target, please see indicator no 5 below.",0,"The target was revised, please see indicator No 5 below",0,,2,1,0,See below indicator no. 5 for the revised annual target.,,,,,,Achieved as planned.,,,revised ,,,No reporting required for the quarter under review.,"The target was revised, please see indicator No 5 below",,The target was revised.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.1: Arts and Culture,Quarterly,Number of national and historical days celebrated,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,0,0,0,1,0,0,1,0,2,"The Department in partnership with National Department of Sport, Arts & Culture presented national Heritage Day. ", The National Heritage day will be included and planned for in the 2025/26 Annual Performance Plan.,,On target,,,,,,No reporting required for the quarter under review.,"The Department in partnership with National Department of Sport, Arts & Culture presented national Heritage Day.",No corrective measure required,No reporting required for the quarter under review.,,,Not Achieved provide reason for deviation and corrective action,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.2: Museum Services,Quarterly,Number of brochures and publications distributed ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",3500,3500,6000,6000,3000,3000,2500,2500,15000,15000,15000,,,,,,,Achieved as planned.,,,Achieved as planned ,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.2: Museum Services,Quarterly,Number of community outreach programmes conducted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",4,4,4,4,4,4,4,4,16,16,16,,,,Higher,,,,,,Achieved as planned,,,Achieved as planned.,,,Achieved as planned,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.2: Museum Services,Quarterly,"Number of community outreach programmes in libraries, museums and archives conducted",Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",4,4,4,,4,"The indicator was revised to measure the ""Number of community outreach programmes conducted""	See indicator no 4 below.",4,,16,4,0,See the revised indicator no. 4,,,,,,Achieved as planned.,See indicator no 4 below for the revised target.,,revised ,,,Revised as per APP.,"The indicator was revised to measure the ""Number of community outreach programmes conducted"" See indicator no 4 below.",,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.2: Museum Services,Quarterly,Number of Heritage Tourism project undertaken,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,1,,0,0,0,,2,1,0,See below indicator no. 5 for the revised annual target with its full achievement.,,,,,,Achieved as planned.,See indicator no 5 below for the revised target.,,revised ,,,No reporting required for the quarter under review.,See indicator no 5 below for the revised target.,,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.2: Museum Services,Quarterly,Number of Heritage Tourism project undertaken,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,0,0,0,0,0,0,1,1,1,,,,Higher,,,,,,No reporting required for the quarter under review.,,,No reporting required for the quarter under review.,,,No reporting required for the quarter under review.,164
