Vote,Department,EntityName,ConsolIndi,PFMA,Type,EconomicClassification1,EconomicClassification2,EconomicClassification3,EconomicClassification4,EconomicClassification5,EconomicClassification6,FunctionGroup1,FunctionGroup2,FinancialYear,BudgetPhase,Amount (R-Thou),Amount
3,Cooperative Governance,Municipal Infrastructure Support Agency,1,Not listed,Cash flow data,Cash flow from investing activities,Capital,"Proceeds from sale of property, plant, equip & intangible assets","Proceeds from sale of property, plant, equip & intangible assets","Proceeds from sale of property, plant, equip & intangible assets","Proceeds from sale of property, plant, equip & intangible assets",General public services,Public administration and fiscal affairs,2019,Audited outcome,124.0,124000.0
3,Cooperative Governance,Municipal Infrastructure Support Agency,1,Not listed,Cash flow data,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,General public services,Public administration and fiscal affairs,2019,Audited outcome,-26867.403080000076,-26867403.080000076
3,Cooperative Governance,Municipal Infrastructure Support Agency,1,Not listed,Cash flow data,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,General public services,Public administration and fiscal affairs,2020,Audited outcome,475146.0800000001,475146080.00000006
3,Cooperative Governance,Municipal Infrastructure Support Agency,1,Not listed,Cash flow data,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,General public services,Public administration and fiscal affairs,2021,Audited outcome,477008.0806981772,477008080.6981772
3,Cooperative Governance,Municipal Infrastructure Support Agency,1,Not listed,Cash flow data,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,Cash flow from operating activities,General public services,Public administration and fiscal affairs,2022,Revised estimate,32979.11694931006,32979116.94931006
