Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,National_Summary,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,OTP_Q4,National_Q4,UID
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Annually,Number of partnership agreements that exist between Traditional Councils and PPPs,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,4,4,,,4,4,4,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Annually,Number of Traditional Councils' offices constructed ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,8,0,,,8,0,6,"1.Mahlaphahlapha:
Delays on identification of construction site

2.Kwandwalaza: 
Delay on approval of revised plan
3.Ogenyaneni 
Delay on approval of revised plan and poor relation in a JV
4.Amashangana 
Delay on approval of revised plan poor relation in a JV
5.Matsamo
Delay on approval of revised plan and torrential rain
6.Kgarudi
The project could not proceed due to land dispute. It will proceed once dispute is resolved 
7.Lekgoetla  
The project could not proceed due to land dispute. It will proceed once dispute is resolved 
8.Ndzundza Mabhoko
The King requested to change the project to renovation of the office instead of construction
","All service providers have submitted extension of time to finish their projects by May 2025

",,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Annually,Number of Traditional Councils reconstituted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,60,52,,,60,52,52,"Mdluli Traditional Council could not reconstitute due to community protest
5 Traditional Leadership vacancies (Manala Makerane, Enikakuyengwa, Thabakgolo,Mnisi and Kgarudi)

The two Kings are yet to be reconstituted pending the gazette names of Traditional Councils members
","Mdluli TC will be reconstituted in 2027

The vacant TCs will be reconstituted in 2027 if they are recognised and gazette

The two Kingships will be reconstituted after gazetting of the selected and elected member of TCs
",,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Annually,Number of Traditional Councils'/Kings' offices renovated,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,9,7,,,9,7,7,"Ndzundza Mabhoko-There were delays on the appointment of Artwork Subcontractor and were affected by water shortages

Ebutsini- The project did not proceed due to the infighting of royal family

Bakgatla Ba Moepi- The project did not proceed due to it being stopped by community business forum    
","Ndzundza Mabhoko Project will be completed by 31 May 2025 

Ebutsini Renovations will commence during the 2025/26 FY
Bakgatla Ba Moepi The renovation will commence upon the community business forum’s acceptance of the project scope
",,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Quarterly,Number of Traditional Councils supported to participate in IDP processes,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",0,0,None,None,22,22,None,None,17,17,None,None,21,21,None,None,60,60,60,None,None,,verify annual targets with approved APP,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.3: Rural Development Facilitation ,Quarterly,Number of Traditional Councils supported to participate in Ward Committees,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",18,18,None,None,15,15,None,None,13,13,None,None,14,14,None,None,60,60,60,None,None,,verify annual targets with approved APP,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Annually,Number of Traditional Councils Land jurisdiction cases processed ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,5,5,,,5,5,5,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Annually,Number of Traditional Councils supported to participate in Land Use Planning,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,40,40,,,40,40,48,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 4: Traditional Institutional Management,Sub Programme 4.4: Traditional Land Administration,Quarterly,Number of Traditional land cases resolved within two months of receipt,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",5,5,None,None,5,5,None,None,4,4,None,None,4,5,More cases were received ,None ,18,19,19,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,Number of approved research reports on genealogy,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",2,2,None,None,2,2,None,None,2,2,None,None,2,2,None,None,8,8,8,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,Number of initiation schools complying with Customary Initiation Act,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",20,20,None,None,40,40,None,None,0,0,None,None,0,0,None,None,60,60,60,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,Number of Legal services impacting on the institution of Traditional and Khoi-San Leadership rendered,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",2,2,None,None,2,2,None,None,2,2,None,None,2,2,None,None,8,8,8,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,Number of matters affecting the business of the HTL processed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",1,1,None,None,1,1,None,None,1,1,None,None,1,1,None,None,4,4,4,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Annually,Number of District Development Model projects monitored in Traditional communities,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,3,3,,,3,3,3,None,None,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Quarterly,Number of functional Provincial House Committees,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",5,5,None,None,5,5,None,None,5,5,None,None,5,5,None,None,5,20,5,None,None,,,,capture output for Q2,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Quarterly,Number of Traditional Councils monitored on the implementation of Rural Invest programme,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",1,1,None,None,1,1,None,None,1,1,None,None,0,0,None,None,3,3,3,None,None,,,,Capture output for Q2,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.3 Local Houses of Traditional Leaders,Quarterly,Number of agrarian projects monitored in Traditional councils within the 3 districts,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",3,3,None,None,0,0,None,None,3,3,None,None,0,0,None,None,6,6,6,None,None,,,,capture output for Q2,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.3 Local Houses of Traditional Leaders,Quarterly,Number of functional Local Houses,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",3,3,None,None,3,3,None,None,3,3,None,None,3,3,None,None,3,3,3,None,None,,,,capture output for Q2,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.3 Local Houses of Traditional Leaders,Quarterly,Number of greenhouse projects monitored in Traditional councils within the 3 districts,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",3,3,None,None,0,0,None,None,3,3,None,None,0,0,None,None,6,6,6,None,None,,,,capture output for Q2,,,,,,,202
,Cooperative Governance,Mpumalanga,Programme 5: House of Traditional Leaders,Sub Programme 5.3 Local Houses of Traditional Leaders,Quarterly,Number of Local houses participating in DDM structure,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","Governance, State Capacity and Institutional Development cluster",3,3,None,None,3,3,None,None,3,3,None,None,0,0,None,None,3,0,3,None,None,,,,capture output for Q2,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 1:Administration,Programme 1:Administration,Annually,Percentage implementation of audit actions plan,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","A capable, ethical and developmental state","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,100 %,,,,100 %,,90,The shortfall in full implementation is primarily due to vacant positions that have not yet been filled. These vacancies have impacted the execution of certain corrective actions within the audit action plan.,,,,,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of agricultural infrastructure established,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Planned for the second  quarter,None,3,"
2","Inkanyezi poultry project could not be completed due to disturbances by alleged business forums, that led to stoppage and suspension of works",The matter has been resolved. Contractor is back on site and making significant progress. The project is due to be completed in January 2025,5,"
0","Marapyane Bakgatla implementation was delayed due to an extensive revision of the original plan in accordance with the NAP's recommendations. Eggsellent delayed due to community issues and slow progress by the contractor. 
MP Agri-Mall Hydroponics delayed due to community disruptions and unsafe working conditions that led to the contractor writing to the department to leave site. 
MPVL delayed due to issues in procurement of railing system equipment. 
MP AgriPark Aquaponics was on hold due to recommended termination process. 
","Community issues were resolved through social facilitation and improved stakeholder engagement, including intervention by the office of the MEC in some projects. Warning letters issued to contractors for slow progress. Alternative supplier sought to resolve equipment procurement issues. Aquaponics contractor reinstated to complete the project. ",4,6,More projects were completed in an attempt to address underperformance from previous quarters ,None,12,8,8,"Human resource capacity 
Marapyane Bakgatla implementation was delayed due to an extensive revision of the original plan in accordance with the National Assessment Panel's recommendations. MP Agripark tunnels delayed due to community disruptions and unsafe working conditions that led to the contractor writing to the department to leave site. MP AgriPark Aquaponics was on hold due to recommended termination process.
The Inkanyezi Poultry Project could not be completed due to community unrest, which disrupted project activities and created an un",,,,Noted,,,Not targeted for the period under review.,Noted.,Reason for deviation and corrective action is noted. ,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of jobs create through EPWP from infrastructure projects,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Planned for the second quarter,None,66,"
40",Less jobs created as a result of less infrastructure projects completed due to stoppages of works,"Matter resolved, contractor is back on site, the backlog will be addressed in the 4th quarter",55,"
26",Fewer jobs were created due incomplete infrastructure projects,None,43,67,More jobs were created during the process of addressing underperformance of the previous quarter,None,164,133,133,Less jobs created because less projects were completed,,,,,,,,Factors that led to the stoppage of works should be specified for transparent reporting.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of one stop centres completed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Planned for the second quarter,None,1,"
0","The one stop centre could not be completed as planned due to extended delays in delivery of lifts, owing to shipment delays",Shipment of lift will happen by end of October. Installation is expected to be completed by December 2024.,0,"
0","The one stop centre could not be completed as planned due to extended delays in delivery of lifts, ","Frequent direct follow up with the lifts manufacturer, ensured delivery of the lift 
",0,1,None ,The output indicator was planned for the second quarter and it was not achived. Hence this was to address the under achievement in the second quarter ,1,1,1,None,None,,,,,,,Noted.,,Provide reason for target achieved in 4th quarter as no target was planned,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Annually,Number of hectares of cultivated land under Conservation Agriculture practices,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,4520,4528,,,4520,4528,4528,More hectares achieved due to increased adoption of Conservation Agriculture technique ,None,,,None ,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of green jobs created,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",80,72,Less green jobs created due to delayed delivery of working tools and equipment procured,Service provider has been engaged to fast-track delivery,135,"87
",Less jobs created due tax compliance issues affecting the supply of fencing materials under term contracts,Tax compliance issues appear to be due to SARS processes and receiving attention. Orders to be printed for suppliers as soon as the matter is resolved.,20,"53
",More jobs created to address shortfall from previous quarters,None,0,30 ,More jobs created to address the shortfall from the previous quarter,None,235,242,242,more to timely complete projects,,,,Minor overachievement of 3% against the annual target.,,,Noted,Noted ,Noted.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of hectares of agricultural land rehabilitated,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",285,223,Less hectares rehabilitated due to delayed delivery of working tools and protective equipment,Service provider has been engaged to fast-track delivery,1995,"
1 045 ",Project outputs were affected due to tax compliance issues affecting the supply of fencing materials under term contracts,Tax compliance issues appear to be due to SARS processes which is receiving attention. Orders will be printed as soon as the matter is resolved,2132,"
2 285.90 ",More hectares achieved to address shortfall from previous quarters,None,4570,5 430 ,More hectares achieved to address the shortfall from the second quarter,None,8982,231,8983,Slightly more  ha than anticipated,,,,Annual target achieved.,,,Noted,Noted,Noted. ,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Annually,Number of agro-ecosystem management plans developed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,1,1,,,1,1,1,None,None,,,"None, target achieved as planned.",,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Quarterly,Number of farm management plans developed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,4,More farm plans were developed in response to more request from farmers,"The indicator is dependent on the request that are received from farmers, therefore making it demand-driven in nature",4,"
5",More farm plans were developed in response to more requests from farmers,"The indicator is dependent on the requests that are received from farmers, therefore making it demand-driven in nature",4,"
4","
None","
None",4,4 ,None,None,15,17,17,More farm plans were developed in response to more requests from farmers,,,,None ,,,Noted,Noted. ,Achieved as planned.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Quarterly,Number of hectares planned for sustainable farming purposes,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",1350,5037.3,The actual extent of the farms for which farm plans were developed was more than estimated,"The indicator is dependent on the request that are received from farmers, therefore making it demand-driven in nature",1800,"
2 466.3",The actual extent of the farms for which farm plans were developed was more than estimated,"The indicator is dependent on the requests that are received from farmers, therefore making it demand-driven in nature",1800,"
4 349.4 ","The actual extent of the farms for which farm plans were developed was more than estimated
",None,1800,1 690.7 ,The actual extent of the farms for which farm plans developed were fewer than estimated,"The indicator is dependent on the requests that are received from farmers, therefore making it demand-driven in nature

",6750,0,13543,The actual extent of the farms for which farm plans were developed was more than estimated,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of awareness campaigns on disaster risk reduction conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,"
None","
None",3,"3

",None,None,3,"3
","None
",None,3,3,None,None,12,12,12,None,,,,"None, target achieved as planned.",,,None ,Performance target achieved as planned. ,Target achieved as planned.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of disaster risk reduction services managed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,"
None","
None",1,"1
",None,None,1,1,None,None,1,1,None,None,4,1,4,None,,,,,,,None ,Performance target achieved as planned. ,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of surveys on uptake for early warning information conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,"
None","
None",1,"1

",None,None,1,1,None,None,1,1,None,None,4,4,4,None,,,,"None, target achieved as planned.",,,None ,Performance target achieved as planned. ,Target achieved as planned. ,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Annually,Number of commodity-based mentors appointed and linked o land reform farms,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Economic transformation and job  creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,5,3,,,5,3,3,The under achievement was due two contracts terminated due to poor performance,All projects/farms were allocated to the remaining mentors appointed in the same contract.,,,,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Citrus Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",2,2,"
None","
None",0,"
0",Planned and achieved in the 1st quarter,None,0,"
0","
None","
None",0,0,None,None,2,2,2,None,,,,"None, target achieved as planned.",,,None ,N/A ,Planned and achieved in the 1st quarter.,,No target for the period under review.,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Cotton Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Planned for the third quarter,None,0,"
0","Planned for the 3rd quarter
",None,36,"
36","
None","
None",0,0,None,None,36,36,36,None,,,,"None, target achieved as planned.",,,Not targeted for the period under review.,N/A,Achieved as planned.,,No target for the period under review.,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Grain Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",11,11,"
None","
None",28,"
31",The over-performance was due to more deliveries from Presidential Employment Stimulus (PES3),None,194,"
194","
None","
None",29,29,None,None,262,265,265,More farmers requested mechanisation,,,,None ,,,None ,Noted.,Achieved as planned.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Red Meat Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",12,7,The under achievement was due to unresolved price negotiations between the department and the contracted service providers which took longer than expected,The department will continue to engage the service providers,11,"
65","
The over-performance was due to more deliveries from Presidential Employment Stimulus (PES3)",None,1,"
1","
None","
None",0,0,None,None,24,73,73,due to the return of loaned animals and  provision of feeds to pigs under PES3,,,,None ,,,Noted ,Noted.,Achieved as planned.,,No target for the period under review.,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.2: Extension and Advisory Services,Quarterly,Number of commercial producers supported with agricultural advice,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",21,21,"
None","
None",30,"
30","
None","
None",22,"
22","
None","
None",12,12,None,None,85,85,85,None,,,,,,,,Performance target achieved as planned.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.2: Extension and Advisory Services,Quarterly,Number of smallholder producers supported with agricultural advice,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",1248,1248,"
None","
None",1428,"
1428","
None","
None",1081,"
1081","
None","
None",764,764,None,None,4521,764,4521,None,,,,,,,,Performance target achieved as planned.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.2: Extension and Advisory Services,Quarterly,Number of subsistence producers supported with agricultural advice,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",3046,3046,"
None","
None",4129,"
4129","
None","
None",3680,"
3680","
None","
None",2186,2 198 ,The over-achievement was due to farmers seeking for advice during Presidential Employment Stimulus (PES 3) implementation.,None,13041,13053,13053,More advise due to implementation of PES3,,,,,,,,Performance target achieved as planned.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Annually,Number of EPWP jobs created through Phezukomkhono Mlimi,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,495,356,,,495,356,356,The underperformance was due to budget cut that resulted in fewer jobs being created ,The budget cut is addressed in the upcoming financial year,,,,,,,,,,,202
