Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,DesiredPerformance,UID
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,SOI 605: Number of schools where scheduled maintenance projects were completed. ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,500,356,500,356,356,"A number of projects had snags; Implementing Agents were informed to request contractors to go back to site and rectify the snags; however, IA's cited issues of non-payment of contractors, therefore target will not be achieved.

",Department to ensure invoices are paid on time so that contractors can be able to go back to complete snags.,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 7: Examination and Education Related Services,Examination and Education Related Services,Annually,NSOI 7.1: Number of schools with an NSC pass rate below 60%,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,76,54,76,54,54,,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 7: Examination and Education Related Services,Examination and Education Related Services,Annually,SOI 701: Percentage of learners who passed the National Senior Certificate (NSC) Examination ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,89 %,89.5 %,89 %,89.5 %,89.5,The target was achieved,Development of support documents for teachers and learners across all subjects. Printed learner support documents in high enrolment subjects for Winter Classes and Last Push Programme.,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 7: Examination and Education Related Services,Examination and Education Related Services,Annually,SOI 702: Percentage of Grade 12 learners passing at Bachelor Pass level.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,48 %,52 %,48 %,52 %,52,The target was achieved,"Development of support documents  for teachers and learners across all subjects. Printed learner support documents in high enrolment subjects for Winter Classes and Last Push Programme. 
The documents accommodated learners performing at different levels namely: below average, average and above average learners.
",,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 7: Examination and Education Related Services,Examination and Education Related Services,Annually,SOI 703: Percentage of Grade 12 learners achieving 60% and above in Mathematics,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,16 %,17.6 %,16 %,17.6 %,17.6,The target was achieved,"Learner 'revision support' documents covering all levels of cognitive demand and difficulty levels were developed, printed and distributed to all schools for Winter Classes and the Last push programme.",,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 7: Examination and Education Related Services,Examination and Education Related Services,Annually,SOI 704: Percentage of Grade 12 learners achieving 60% or more in Physical Sciences,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,20 %,15 %,20 %,15 %,15,Examiners changed the style of questioning which then put off most candidates as teachers over rely on previous question papers.,"Workshop for novice teachers and teachers of schools that performed at 40% and below in the 2024 NSC Physical Sciences results will be conducted. 
Spring Camps will be conducted for struggling learners in Physical Sciences.
Learner revision support documents covering all levels of cognitive demand and difficulty levels will be developed for Winter Classes and the Last Push Programme.
",,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 7: Examination and Education Related Services,Examination and Education Related Services,Annually,SOI 705: Number of secondary schools with National Senior Certificate (NSC) pass rate of 60% and above,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,1684,1707,1684,1707,1707,Target Achieved,"Development of support documents for teachers and learners across all subjects. Printed learner support documents in high enrolment subjects for Winter Classes and the Last Push Programme. 
The documents accommodated learners performing at different levels namely: below average, average and above average learners.
",,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Human Resource Management ,Quarterly, Number  of Health & Wellness Initiatives Implemented,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",4,4,4,4,4,4,4,4,16,4,16,"Target achieved 
",,,Target achieved. ,,"target for the quarter not met, please provide reason for deviation and corrective action statement.",,"
Target achieved.
",,,,,,Kindly provide reason for deviation and corrective action statement,,Target not achieved,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Human Resource Management ,Quarterly,Percentage of females recruited at SMS level ,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",50 %,39 %,50 %,40 %,50 %,41 %,50 %,41 %,50 %,41 %,41,"Target underachieved.
","Ring fenced post for SMS and committees to recruit females at SMS. 
",,"Target not achieved. EXCO has re-affirmed the decision towards recruitment of women to SMS positions, this includes explicit advertisement on the target groups.",Committees to recruit females at SMS,"target for the quarter not met, kindly provide reason for deviation from set target and correct action statement.",,Target not achieved. There is challenge around the amount of  applications by the targeted group for SMS posts.  ,Departmental EXCO reaffirm decision on filling SMS posts strictly with the targeted group.,,,Lack of females applications for SMS post ,Ring fenced post for SMS and committees to recruit females at SMS. ,,,Target not achieved. The process for the recruitment of vacant senior management posts approved as critical is underway. These posts are targeted to be filled by female professionals.,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Human Resource Management ,Quarterly,Percentage of mandatory compliance reporting ,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,Target achieved ,,,Target achieved ,,,,Target achieved ,,,,,,,,"
Target achieved
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Human Resource Management ,Quarterly,Percentage of persons with disability recruited ,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",2 %,3 %,2 %,3 %,2 %,3 %,2 %,3 %,2 %,3 %,3,"Target overachieved. PWDs pots were ringfenced 
",,,Target overachieved. PWD's post were ring fenced ,,positive variance is noted.,,Target overachieved. PWD's post were ring fenced ,,,,PWDs posts were ringfenced ,,Kindly provide reason for deviation and corrective action statement. ,,Target overachieved. PWDs posts were ringfenced ,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Human Resource Management ,Quarterly,Percentage of signed performance agreements submitted,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,"Target achieved 
",,,Target achieved. ,,,,"Target achieved.
","reminders sent to employees that are due to submit
",,,,,,,Target achieved.,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Human Resource Management ,Quarterly,Percentage of Vacancy Rate ,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",10 %,10 %,10 %,2 %,10 %,3 %,10 %,2 %,10 %,10 %,10,"Target overachieved. posts were ringfenced and advertised 
",,,Target achieved ,,,,"Target achieved. Many post were frozen due to cost 
",,,,posts were ringfenced and advertised ,,Kindly provide reason for deviation and corrective action statement,,"Target overachieved, Vacant posts are filled
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Office of the CFO,Quarterly,% compliance when processing invoices,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,98.4 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,"Target achieved
",,,Target not achieved. Inactive banking details on BAS accounts for the payment of the invoices over 30 days and is the direct consequence of the suppliers failing to update their information on the CSD and falls outside of the control of the department. ,,,,Target achieved ,,,,,,,,"Target achieved.
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Office of the CFO,Quarterly,% compliance when procuring goods and services,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,67.44 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,"Target achieved
",,,"Target not achieved. In Q1 the shortfall in spending towards designated categories such as SMMEs, Cooperatives, Women, Youth and PWD.",,,,Target achieved ,,,,,,,,"Target achieved.
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Office of the CFO,Quarterly,Percentage  of transfer payments budget paid over,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",25 %,23 %,50 %,47 %,75 %,71 %,100 %,100 %,100 %,241 %,100,"Target achieved
",,,Target not achieved. Transfers paid according to tranche dates as per the concluded contracts/MOU. The full year projection remains at 100%,,,,Target not achieved. Transfers are paid according to the dates contained in the signed MOUs and not all tranches are spilt equally through the year. ,,,,"This is due transfers payments for IDFC , Growth Fund Trust, Ezemvelo KZN Wildlife  and Dube Trade Port being lower than the 75% bench mark but are anticipated to be fully spent by year end.
",,,,"Target achieved.
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Programme 1:  Administration ,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Programme 1:  Administration ,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.1: Office of the MEC,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.1: Office of the MEC,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.2: Senior Management (HOD),Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.2: Senior Management (HOD),Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.3: Corporate Services,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.5: Sector Skills Development and Training,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 1:  Administration ,Sub-Programme 1.5: Sector Skills Development and Training,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Consumer Protection Services ,Quarterly,Number of businesses enrolled on the compliance programmes in the province,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",6,,6,,6,6,6,6,24,12,12,Target achieved ,,,,,,,,,,,,,,,Target achieved,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Consumer Protection Services ,Quarterly,Number of consumer awareness programmes conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"Governance, State Capacity and Institutional Development cluster",350,,350,,350,343,350,363,1400,706,706,"Target overachieved. The November 2024 Provincial cost-cutting measures placed a limit on the official trips which resulted in the team having to revise plans for November and December. However, the overall annual target was achieved during quarters 1 & 2.
",,,,,,,,,,,Did not achieve due to circular reducing kilometers of travel and also due to December festive holidays and shortage of f but our overall annual has been achieved due to quarter 1 & 2,,Kindly provide reason for deviation and corrective action statement,,"Target overachieved. Additional awareness activities were conducted due to invitations from stakeholders
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Consumer Protection Services ,Quarterly,Number of interventions implemented to protect consumer right ,Non-Standardized,Max,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,2,0,1,Revised ,5,1,2,Target achieved,,,Target achieved ,,,,Target achieved ,,,,Revised APP,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly, Number of B-BBEE enforcement partnerships established,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,1,0,1,0,2,0,0,Target underachieved. ,,,,,,,,,,,To be finalised in Q4,,,,Target not achieved. The target is new since October 2024 and the current engagements with the relevant enforcement authorities would take longer to conclude. The BEE Compliance unit has started the engagements.,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly,Number of black industrialists’ companies provided with business operational support,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,2,15,2,10,4,25,25,Target overachieved. The overachievement is due to the projects that were committed by the department previously.,,,,,,,,,,,"Target overachieved. The overachievement is due to the projects that were committed by the department previously.
",,,,"Target overachieved. The Black Industrialist unit formed a partnership with Productivity, SA and other institutions to support the BI businesses.",,"Target not achieved, please provide the reason for deviation and corrective action.",,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly,Number of businesses supported to access funding and investment opportunities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",20,,20,,20,18,20,27,80,45,45,Target overachieved ,,,,,,,,,,,Target underachieved. The target was not achieved due to portfolio of evidence that could not be verified from the beneficiaries who accessed funding opportunities in Q3.  ,,,,"Target overachieved. Several direct funding partnerships and platforms were created. The EE Unit utilised the Umyezane Conference in the fourth quarter to directly fund carefully selected, most performing Black owned businesses.",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly,Number of businesses supported to graduate to Black Industrialists programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,1,0,1,10,2,10,10,Target overachieved ,,,,,,,,,,,"Indicator is a new performance indicator, intervention to be reported in the last quarter. ",,,,"Target overachieved. The Black Industrial unit initiated a unique graduation model that started with profiling several BI businesses, and the model gave the results.",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly,Number of Economic Transformation initiatives for the targeted group,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,11,5,18,5,0,5,Revised ,15,0,29,Target overachieved ,,,Target overachieved. Youth directorate received many stakeholder request to commemorate youth month. The directorate received many economic transformation request from various stakeholders. BBBEE compliance operate on the needs basis and received request from stakeholders.,,There is no set target for the quarter however 2 was achieved. Kindly provide reason for deviation statement.,,"Target overachieved, due to the partnership with stakeholders. 
",,,,Revised APP,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly,Number of empowerment initiatives facilitated in priority sectors,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",2,,2,,2,4,2,12,8,16,16,Target overachieved. The overachievement is due to infrastructures completed earlier than anticipated.,,,,,,,,,,,"The target was overachieved due to a partnership with a stakeholders to implement some of the initiatives. 
",,,,"Target overachieved. Most of the units under EE, mainly Women and People with Disability, Youth Economic Empowerment and Township and Rural Revitalisation created a number of public and private partnerships to be able to do more. Specific implementation agreements were signed with public entities such as Moses Kotane and the Tourism and Film Authority for priority sectors.",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly,Number of empowerment opportunities facilitated for businesses in rural and township areas,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,2,3,2,3,4,6,6,"Target overachieved. The overachievement is due to Increased demand from small enterprises.
",,,,,,,,,,,"Target overachieved. Stakeholder partnerships contribution towards fast tracking implementations 
",,,,"Target overachieved: 
The Township and Rural Revitalisation unit under EE signed a partnership with KZN Ezemvelo, which allowed for more to be achieved.
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly,Number of jobs facilitated for the trained priority groups individuals,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,300,,100,658,100,106,500,764,764,Target overachieved. Overachievement is due to real estate programme which started in Q3.  ,,,,,,,,,,,"Target overachieved. Overachievement is due to real estate programme which started in Q3.
",,Please provide the reason for deviation and corrective action.,,"Target overachieved: The Economic Empowerment unit signed a funding partnership agreement with the Property Practitioners and Regulatory Authority (PPRA) & Services SETA, allowing more budget and numbers to be trained and placed.
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Economic Empowerment ,Quarterly,Number of platforms provided for B-BBEE compliance engagements and analysis,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",1,,1,,1,3,1,4,4,7,7,Target overachieved. Overachievement is due to the availability of the stakeholders to implement the engagements. ,,,,,,,,,,,Target overachieved. Overachievement is due to the availability of the stakeholders to implement the engagements. ,,,,Target overachieved. The BEE Compliance and BEE Operations units created several engagements platforms working with different Municipalities to support local SMMES on specific Supply Chain Management issues. The targeted and benefiting Municipalities were more than initially planned.,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Enterprise Development,Quarterly,Number of business infrastructure provided for small enterprises,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",1,,0,,0,5,2,8,3,13,13,Target overachieved. The overachievement is due to infrastructures completed earlier than anticipated.,,,,,,,,,,,Variance is due to infrastructures completed earlier than anticipated.,,Kindly provide reason for deviation and corrective action statement,,Target overachieved. Variance is due to infrastructures completed earlier than anticipated,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Enterprise Development,Quarterly,Number of cooperatives supported ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",444,488,445,712,444,0,444,Revised ,1777,1200,1200,Target overachieved,,,"Target overachieved. Variance is due to continuous requests by Cooperatives for business 
support services; the implementation of the OVF post disbursement support and opening 
of OVF Window 2 applications increased the number of enterprises who sought support 
from the Department.",,"Target not met, kindly provide reason for deviation from set target",,"Target overachieved. The variance is due to continuous requests by cooperatives and the implementation of the OVF post-disbursement support. The opening of the OVF Window 2 application increased the number of enterprises that sought support from the department
",,,,Revised APP,,"If the indicator or target was revised, the output should be captured on the new indicator, not on the old indicator. Kindly review the reason for deviation and provide corrective action.",,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Enterprise Development,Quarterly,Number of market access opportunities facilitated for small enterprises in priority commodities,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,2,,3,23,3,15,8,38,38,Target overachieved. The overachievement is due to Increased demand from small enterprises.,,,,,,,,,,,Variance is due to Increased demand from small enterprises.,,Kindly provide reason for deviation and corrective action statement,,"Target overachieved: due to Increased demand from small enterprises.
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Enterprise Development,Quarterly,Number of small enterprises incubated in priority sectors,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",20,,20,,20,32,20,114,80,146,146,Target overachieved. The overachievement is due to Increased demand from small enterprises.,,,,,,,,,,,Variance is due to Increased demand from small enterprises.,,,,Target overachieved. Variance is due to Increased demand from small enterprises.,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Enterprise Development,Quarterly,Number of SMMEs Supported ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",444,1345,445,1606,444,0,444,Revised ,1777,2951,2951,Target overachieved ,,,"Target overachieved. Variance is due to continuous requests by SMMEs for business support 
services; the implementation of the OVF post disbursement support and opening of OVF 
Window 2 applications increased the number of enterprises who sought support from the 
Department.",,"Target exceeded, kindly provide reason for deviation from set target.",,"
Target overachieved. Variance is due to continuous requests by SMMEs for business support and the implementation of the OVF post-disbursement support. The opening of the OVF Window 2 application increased the number of enterprises that sought support from the department",,kindly provide the reason for the deviation and corrective action.,,Revised APP,,"If the indicator or target was revised, the output should be captured on the new indicator, not on the old indicator. Kindly review the reason for the deviation.",,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Regional and Local Economic Development,Quarterly,Number  of RLED initiatives to support local municipalities ,Non-Standardized,Max,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",6,6,5,9,15,0,8,Revised ,34,9,15,Target overachieved ,,,Target overachieved. ,,,,"Target over-achieved. The targets was overachieved to align and in preparation for APP revision. 
",,,,Revised APP,,,,,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Regional and Local Economic Development,Quarterly,Number of municipal employment initiatives (MEI) funded,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,9,,2,2,5,5,16,7,7,"Target achieved. 
",,,,,,,,,,,,,,,Target archieved,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Regional and Local Economic Development,Quarterly,Number of municipal informal infrastructure projects funded ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,5,,5,5,9,9,19,14,14,Target achieved ,,,,,,,,,,,,,,,Target achieved,,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Regional and Local Economic Development,Quarterly,Number of social and informal entrepreneurs capacitated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,60,234,70,206,130,440,440,Target overachieved. Quarter three had an increased in demand for the trainings.,,,,,,,,,,,There was an increased in demand for the trainings ,,Please provide the corrective action.,,"Target overachieved, 22 Social Entrepreneur's were recruited on training on the new UKZN contract. 85 informal traders were trained in quarter four for financial management. 99 informal traders were trained on digital skills through Nemisa. 
",,,,,157
Environmental Affairs,Environmental Affairs,KwaZulu-Natal,Programme 2:  Intergrated Economic Development Services and Business Regulations (IEDS-BR),Regulations Services,Quarterly,Number of business inspections conducted,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",250,,250,,250,469,250,264,1000,733,733,"Target overachieved. The country experienced a foodborne illnesses crisis from goods purchased at Spaza Shops which demanded an increase in inspections.   
",,,,,,,,,,,The country experienced a food borne illnesses crisis from goods purchased at Spaza Shops which demanded an increase in inspection of these businesses,,Kindly provide reason for deviation and corrective action statement,,"Target overarched, Spaza Shop registrations resulted in the focus on spaza shops inspections, which constituted most of the business inspections conducted this quarter
",,,,,157
