Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,DesiredPerformance,UID
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Public Ordinary Schools,Annually,"NSOI 2.2: Percentage of Core LTSM delivered to public ordinary schools by day one of the school year, as ordered.",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,100,71,100,71,71,The deviation is largely attributed to S21c schools' reluctance to place orders due to transfers not been effected as was envisaged by KZN Circular No 136 of 2024. ,The Department issued KZN Circular No 4 of 2025 to give comfort to schools and service providers that transfers shall be effected within 30 days of submission of proof of deliveries. The delivery process was monitored on a weekly basis to assist in prioritising the release of transfer payments to schools.,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Public Ordinary Schools,Annually,NSOI 2.3: Number of schools provided with dedicated learner transport.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,420,433,420,433,433,"The reason for the target being exceeded was that there were new schools that became beneficiaries to the learner transport programme during the year. This was as a result of schools of choice being removed from the programme and new 
schools being introduced into the program. Also, there were schools that were benefiting but believed they should not be recorded as such because they thought they were being made a favor by benefiting and principals, which the office discovered and corrected

",,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Public Ordinary Schools,Annually,NSOI 2.4: Number of Learner Support Agents (LSAs) appointed to implement care and support interventions for learners.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",750,750,,,,,,,750,750,750,The target has been achieved.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Public Ordinary Schools,Annually,SOI 201: Number of schools provided with multi-media resources.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,120,147,120,147,147,The target was exceeded due to the celebration of Literacy month.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Public Ordinary Schools,Annually,SOI 202: Number of learners in no fee public ordinary schools in line with the National Norms and Standards for School Funding.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,2113105,2136976,2113105,2136976,2136976,SNAP data differences and contestations adjustments led to the deviation.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Public Ordinary Schools,Annually,SOI 203: Percentage of learners in schools that are funded at a minimum level.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,100,0,100,0,0,There are insufficient funds for the implementation of this indicator.,The Executive of the Department is in engagements with Provincial Treasury for more funding.,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Public Ordinary Schools,Quarterly,NSOI 2.1. Percentage of learners benefitting from school nutrition programme.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",83 %,,83 %,,86 %,86 %,86 %,88 %,86 %,88 %,88,The increased percentage of learners apart from the general increased number of beneficiaries that was recorde,"The positive deviation can be largely attributed to the Directorate's audit turnaround strategy that is being implemented. This included training of districts in October 2024 which was subsequently cascaded to schools to improve the completion of feeding registers, reporting thereon as well the verification process of feeding registers and the feeding trackers that were initiated in October 2024.",,,,,,,,,,The target has been achieved. ,,,"The PED has achieved 100% of the set target for the quarter under review.
",The increased percentage of learners apart from the general increased number of beneficiaries that was recorded at the start of 2024/25 financial year led to the target being surpassed.,"The positive deviation can be largely attributed to the Directorate's audit turnaround strategy that is being implemented. This included training of districts in October 2024 which was subsequently cascaded to schools to improve the completion of feeding registers, reporting thereon as well the verification process of feeding registers and the feeding trackers that were initiated in October 2024.",,,To ensure that all learners affected by instances of poverty and hunger benefit from the nutrition programme.,157
Basic Education,Education,KwaZulu-Natal,Programme 2.	Public Ordinary School Education,Public Ordinary Schools,Quarterly,NSOI 2.1: Percentage of learners benefitting from school nutrition programme.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",83 %,85 %,83 %,87 %,83 %,86 %,83 %,88 %,83 %,88 %,88,The increased percentage of learners apart from the general increased number of beneficiaries that was recorded at the start of 2024/25 financial year led to the target being surpassed.,"The positive deviation can be largely attributed to the Directorate's audit turnaround strategy that is being implemented. This included training of districts in October 2024 which was subsequently cascaded to schools to improve the completion of feeding registers, reporting thereon as well the verification process of feeding registers and the feeding trackers that were initiated in October 2024.",,The target was exceeded due to increased number of learners approved in the 2024/25 financial year.,The Directorate will do an analyis of the actual number of learners benefited against the set target. This will be conducted in line with verification process of monthly performance information collated in the districts subject to approval for Head Office officials to conduct district visits amid current budgetary constraints in the programme.,corrective action statement is noted however please note the information reported on should be verified and validated prior to HOD sign off.,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 102,4% of the set target.   The PED has  provided a reason for the attainment of the set target for the quarter under review. The PED is advised to monitor the outcome of the corrective action to be taken. monitored. The spending on the National School Nutrition Programme Conditional Grant should be monitored.
","The target has been exceeded due to the increased number of beneficiaries (learners) in the programme in the 2024/25 financial year. Furthermore, it is also attributed to the implementation of the programme's turn-around/improvement strategy which aims amongst other to mitigate under-reporting due to late submission of summary feeding registers and subsequent discrepancies between the reported figure and the actual feeding registers during the audit period. This included a resolution that was taken during the 1st quarter inter-district meeting that where the submission of the summary feeding register was delayed at the time of reporting and where there was no report of non-feeding from the school or field monitors, then districts should report using the NSNP approved enrolment (which is also used for payment of the service provider’s monthly claim) instead of reporting a zero output for the month where the  feeding register is delayed to avoid creating a wrong impression of non-feeding and/or resulting in under-reporting of the beneficiaries.","As part of the improvement/turn-round strategy that is currently being implemented    to enhance the programme's performance and reporting thereof, the Directorate has since revised its target for the  2024/25 financial year to 86% in line with the KZN Circular 100 of 2024, and it is hoped that this will accordingly be reflected in the reporting templates for the remaining two quarters.","Target exceeded, reason for deviation and corrective action are noted."," The outcome for the 2nd  quarter of the 2024/25 financial year is 105% of the set target.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The corrective action to be undertaken should be monitored and the spending in the conditional grant should be tracked.
",,,Please capture the actual output. ,,The increased percentage of learners apart from the general increased number of beneficiaries that was recorded at the start of 2024/25 financial year led to the target being surpassed.,"The positive deviation can be largely attributed to the Directorate's audit turnaround strategy that is being implemented. This included training of districts in October 2024 which was subsequently cascaded to schools to improve the completion of feeding registers, reporting thereon as well the verification process of feeding registers and the feeding trackers that were initiated in October 2024.",,"The PED has achieved 106,02% of the set target for the quarter under review.  The PED has provided a reason for the attainment of the set target.  The  PED is advised to monitor the spending of the NSNP grant during the 2025/26 financial year.
",,157
Basic Education,Education,KwaZulu-Natal,Programme 3: Independent School Subsidies,Independent Schools,Annually,NSOI 3.1: Number of funded independent schools visited for monitoring purposes.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,121,115,121,115,115,"This is an annual indicator. 
It must be noted that 8 schools were declared non-compliant and as a result have been withdrawn from schools receiving subsidy, while an additional two more schools have been approved to receive subsidy.
",,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 3: Independent School Subsidies,Independent Schools,Annually,NSOI 3.1: Number of funded independent schools visited for monitoring purposes. ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,115,115,115,115,115,The target was achieved. ,,,,,,,,,,,,,,,,,,,100% subsidized independent schools monitored.,157
Basic Education,Education,KwaZulu-Natal,Programme 3: Independent School Subsidies,Independent Schools,Annually,SOI 301: Percentage of registered independent schools receiving subsidies.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,38 %,40.5 %,38 %,40.5 %,40.5,An additional two more schools have been approved to receive subsidy. ,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 3: Independent School Subsidies,Independent Schools,Annually,SOI 301: Percentage of registered independent schools receiving subsidies.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,40.4 %,40.5 %,40.4 %,40.5 %,40.5,The target was achieved,,,,,,,,,,,,,,,,,,,"All qualifying independent schools to be subsidised. Subsidised independent schools must adhere to minimum standards for regulating independent
schools.",157
Basic Education,Education,KwaZulu-Natal,Programme 3: Independent School Subsidies,Independent Schools,Annually,SOI 302: Number of learners subsidised at registered independent schools.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,29624,29624,29624,29624,29624,The addition of two more schools that have been approved to receive subsidy contributed to the target being exceeded.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 4:  Public Special School Education,Schools,Annually,NSOI 4.1: Number of teachers trained on SIAS Policy.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,2500,2957,2500,2957,2957,On-site training sessions led to the target being surpassed.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 4:  Public Special School Education,Schools,Annually,NSOI 4.2: Number of educators employed in public special schools. ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,1916,2058,,,1916,2058,2030,The target has been exceeded due to the employment of specialist staff.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 4:  Public Special School Education,Schools,Annually,SOI 401: Number of learners in public special schools. ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,21400,22593,21400,22593,22593,The increased number of special schools in the province as well as the employment of support staff in special schools and the placement of learners in boarding facilities have contributed to the target being exceeded.,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 4:  Public Special School Education,Schools,Annually,SOI 401: Number of learners in public special schools. ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,21600,22593,21600,22593,22593,The increased number of special schools in the province as well as the employment of support staff in special schools and the placement of learners in boarding facilities have contributed to the target being exceeded.,,,,,,,,,,,,,,,,,,,"All learners with physical, intellectual, sensory disabilities attend public special schools.",157
Basic Education,Education,KwaZulu-Natal,Programme 4:  Public Special School Education,Schools,Quarterly,SOI 402: Number of therapists/ specialist staff in public special schools.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",192,172,192,170,192,169,192,171,192,171,171,The target has not been met due to attrition.,Department to appoint educators if the budget permits. ,,The target has not been achieved due to attrition.,Department to appoint educators if the budget permits.,,"There is no  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 89,6% of the set target.  The variance is -20.  The PED has  provided a reason for the attainment of the set target for the quarter under review. The PED is advised to monitor the outcome of the corrective action to be taken. monitored.
",The target has not been achieved due to attrition. Budgetary constraints mitigate against the filling of vacancies.,,"Target not achieved, reason for deviation is noted however please provide corrective action."," The outcome for the 2nd  quarter of the 2024/25 financial year is 89% of the set target. The variance is -22.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The corrective action to be undertaken should be monitored and the spending thereof.
",The target has not been achieved due to attrition. Budgetary constraints mitigate against the filling of vacancies.,,Kindly provide corrective action,"The PED has achieved 88% of the set target for the quarter under review. The variance is -22.  The PED has provided a reason for the attainment of the set target.  
",The target has not been met due to attrition. ,Department to appoint educators if the budget permits. ,,"The PED has achieved 89,06% of the set target for the quarter under review. The variance is -21.  The PED has provided a reason for the attainment of the set target.  
",,157
Basic Education,Education,KwaZulu-Natal,Programme 5:  Early Childhood Development,Grade R in Early Childhood Development Centres ,Annually,NSOI 5.2: Number of fully registered ECD centers.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,2150,2140,2150,2140,2140,"The number of fully registered ECD centres has decreased due to some ECD centres being changed to conditionally registered during the renewal of registration. Furthermore, some fully registered ECD centres are no longer in operation. ",To review target in 2025/2026 financial year,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 5:  Early Childhood Development,Grade R in Early Childhood Development Centres ,Annually,NSOI 5.3: Number of conditionally registered ECD Centres.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,1250,1259,1250,1259,1259,The number of conditionally registered ECD centres has increased due to some centres being changed from full to conditional registration during the renewal of registration process. ,To review target in 2025/2026 financial year,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 5:  Early Childhood Development,Grade R in Early Childhood Development Centres ,Annually,SOI 502: Number of children accessing registered ECD programmes. ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,145200,175001,145200,175001,175001,More children enrolled in registered ECD centers for the 2024/25 Financial year. ,To review target in 2025/2026 financial year. ,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 5:  Early Childhood Development,Grade R in public schools,Annually,NSOI 5.1: Number of Grade R practitioners employed in public ordinary schools. ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,5274,5227,5274,5227,5227,"The PPN is considered when Practioners are being employed. 
When learner numbers decrease, fewer practitioners are employed and when learner numbers increase more practitioners / teachers are employed.
",If the learner numbers drop no practitioner is employed. If learner numbers increase more practitioners are employed.,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 5:  Early Childhood Development,Grade R in public schools,Annually,SOI 501: Number of public schools that offer Grade R. ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,4082,4045,4082,4045,4045,Schools in the Province have been merged due to the closing of non-viable schools. This has led to the decrease in the number of schools offering Grade R. ,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,NSOI 6.1: Number of women benefitting from EPWP programmes.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,120,120,120,120,120,The target was achieved,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,NSOI 6.2: Number of youth benefitting from infrastructure projects.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,80,80,80,80,80,The target was achieved,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,NSOI 6.3: Number of disabled people benefitting from EPWP programmes.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,2,2,2,2,2,The target was achieved,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,NSOI 6.4: Number of infrastructure programmes targeted to empower WYPD.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,50,50,50,50,50,The target was achieved,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,SOI 601: Number of public schools provided with water infrastructure.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,150,40,150,40,40,"A number of projects had snags; Implementing Agents were informed to request contractors to go back to site and rectify the snags; however, IA's cited issues of non-payment of contractors, therefore target will not be achieved.",,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,SOI 602: Number of public schools provided with electricity infrastructure.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,10,11,10,11,11,The target was achieved,,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,SOI 603: Number of public schools supplied with sanitation facilities.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,150,88,150,88,88,"A number of projects had snags; Implementing Agents were informed to request contractors to go back to site and rectify the snags; however, IA's cited issues of non-payment of contractors, therefore target will not be achieved.",Department to ensure invoices are paid on time so that contractors can be able to go back to complete snags.,,,,,,,,,,,,,,,,,,,157
Basic Education,Education,KwaZulu-Natal,Programme 6:  Infrastructure Development,Infrastructure Development,Annually,SOI 604: Number of schools provided with new or additional boarding facilities. ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,1,1,1,1,1,The target was achieved,,,,,,,,,,,,,,,,,,,,157
