Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,National_Q4,National_Q2,National_Q3,DesiredPerformance,UID
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Annually,Number of learners with  disabilities awarded with  bursaries,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,"10 Learners with 
disabilities awarded 
bursaries",10 Learners with disabilities were awarded bursaries.,"10 Learners with 
disabilities awarded 
bursaries",10 Learners with disabilities were awarded bursaries.,,,,,,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Governance and Administration cluster,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Anti GBVF Intervention/campaigns for traditional leadership (Pillar 2: Prevention and Restoration of Social Fabric of the NSP,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",No target planned,,No target planned,,2 Anti GBVF Intervention/campaigns for traditional leadership (Pillar 2: Prevention and Restoration of Social Fabric of the NSP),"No Anti GBVF Intervention/campaign for traditional leadership was implemented during the third quarter. There were numerous GBV activities that the Department engaged in, whereby support to municipalities and National Programmes were supported and attended to. The Department provided mobilisation, coordination of events and also facilitation of events related to Anti GBVF programmes through partnerships and requests for coordination and participation.",No target planned,,2 Anti GBVF Intervention/campaigns for traditional leadership (Pillar 2: Prevention and Restoration of Social Fabric of the NSP),-,,,,,N/A,,,,"The planning for Anti GBVF
Intervention/campaign for traditional leadership was not finalised in time.",The target will be implemented during the fourth quarter.,Target achieved.,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Capacity  Building Initiatives on GEYODI & GBVF  Mainstreaming,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",No target planned,,1 Capacity building Initiative on Gender Mainstreaming & GBVF implemented,1 Capacity building Initiative on Gender Mainstreaming & GBVF was conducted in Tshwane.,1 Capacity building Initiative on Gender Mainstreaming & GBVF implemented,1 Capacity building Initiative on Gender Mainstreaming & GBVF was implemented in the City of Tshwane.,2 Capacity building Initiatives on Gender Mainstreaming & GBVF implemented,2 Capacity building initiatives were implemented during the quarter.,"4 Capacity building 
Initiatives on Gender 
Mainstreaming & GBVF",-,,,,,N/A ,,,Target achieved,,,Target noted achieved. Please provide RoD and Corrective Actions upon approval.,,,Target achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Equity targets  reached for women in  SMS positions and people  with disabilities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster","40% of Women in SMS 
positions and 4% people 
with disabilities.","The Department had 39% female appointees at SMS as of 30 June 2024. The Department employed fourteen (14) people with disabilities as of 30 June 2024 and this translates to 2,2% of the staff complement.","40% of Women in SMS 
positions and 4% people 
with disabilities.","The Department had 39% female appointees at SMS as of 30 September 2024. The Department employed fourteen (14) people with disabilities as of 30 September 2024 and this translates to 2,25% of the staff complement.","40% of Women in SMS 
positions and 4% people 
with disabilities.",The Department had 39.4% female appointees at SMS level and 2.3% people with disabilities were appointed as of 31 December 2024.,"40% of Women in SMS 
positions and 4% people 
with disabilities.","The Department had 35% female appointees at SMS level and 1,93% people with disabilities were appointed as of the end of quarter 4.","40% of Women in SMS 
positions and 4% people 
with disabilities.",-,,,,,In the output provided there is no expression of performance output towards the target of 4% for people with disabilities,The limitation placed by circular 49 of 2023 and extension of the same by circular 20 of 2024 for recruiting for vacant posts. , A concurrence submission to advertise vacant post has been approved by the Premier and the posts have been advertised in the 2nd quarter.  The recruitment process is underway.,Target not achieved ,"The implementation of cost containment measures, requiring the concurrence of both the Office of the Premier and Gauteng Provincial Treasury, necessitated a delay in the advertisement process for posts designated for women in SMS and individuals with disabilities.
",Recruitment for positions targeting women in SMS and individuals with disabilities is expedited but filling all prioritised posts may be limited by funding constraints including the wage settlement. ,Target achieved.,"No new appointments were made at the SMS level in quarter 4, and no persons with disability were appointed.",The Department will review its Organisational Structure in line with the current MTEF budget allocation.  Funding will be reprioritised for vacancies that address the targets for women in SMS and People With Disabilities. The Department will engage the Gauteng Provincial Treasury about additional funding required for the Cost of Employment Budget shortfall to fund currently occupied posts and vacancies.,Target achieved.,The limitation is placed by circular 49 of 2023 and circular 20 of 2024 for recruiting for vacant posts.,A concurrence submission to advertise a vacant post has been submitted (April 2024) to the Office of the Premier and the Department is still awaiting a response.  The request for concurrence to advertise includes vacant SMS posts.,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","1 Municipality 
monitored on the 
implementation of 
GBVF responsive 
programmes",1 Municipality (City of Johannesburg) was monitored on the implementation of GBVF responsive programmes.,"1 Municipality 
monitored on the 
implementation of 
GBVF responsive 
programmes","Sedibeng District, Midvaal Local, Merafong Local & Tshwane Metropolitan Municipalities were monitored and supported.","1 Municipality 
monitored on the 
implementation of 
GBVF responsive 
programmes",City of Tshwane was monitored and supported on GBVF responsive programmes.,"1 Municipality 
monitored on the 
implementation of 
GBVF responsive 
programmes",Emfuleni Local Municipality was monitored and supported on GBVF responsive programmes.,"2 Municipalities monitored 
on the implementation of 
GBVF responsive 
programmes",-,,,,,Target achieved,"Extension of monitoring and support efforts to Sedibeng, City of Tshwane, Midvaal and Merafong to address a broader range of development challenges effectively. ",None.,Target exceeded,,,Target noted achieved. Please provide RoD and Corrective Actions upon approval.,,,Target not achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Number of Persons with Disabilities empowered on Entrepreneurship (B-BBEE Incubation Programme),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",25 Persons with Disabilities empowered on Entrepreneurship (B-BBEE Incubation Programme) ,27 Persons with Disabilities were incubated in Westrand and Sedibeng Districts.,No target planned ,,No target planned ,,No target planned ,,25 Persons with Disabilities empowered on Entrepreneurship (B-BBEE Incubation Programme) ,-,,,,,Target exceeded,,,,,,,,,,There was over-achievement due to the high demand for Persons with Disabilities to be empowered through the programme.,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of invoices  paid in 15 days,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster","100% of undisputed 
invoices paid in 15 days",100% of undisputed invoices has been paid within 15 days.,"100% of undisputed 
invoices paid in 15 days",99% of undisputed invoices were paid within 15 days.,"100% of undisputed 
invoices paid in 15 days",100% of undisputed invoices were paid in 15 days.,"100% of undisputed 
invoices paid in 15 days",100% of undisputed invoices were paid within 15 days.,"100% of undisputed 
invoices paid in 15 days",-,,,,,Target achieved,SAP and SITA system downtime. ,Improvement of system capabilities.,Target not achieved ,,,Target achieved.,,,Please provide actual output upon approval.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of procurement  from township-based  companies through the  RFQ process,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster","5% of procurement 
from township based companies
through the RFQ 
process ","49,33% of procurement 
from township based companies
through the RFQ 
process ","5% of procurement 
from township based companies
through the RFQ 
process ","47,55% of procurement from township-based companies was through the RFQ process.","10% of procurement 
from township-based 
companies through 
the RFQ process","26,5% of procurement on RFQs was from township-based companies","10% of procurement 
from township-based 
companies through 
the RFQ process","62,85% of procurement on RFQs was from township-based companies","30% of procurement from 
township-based companies
through the RFQ process",-,,,,,Target achieved,More focus was placed on township based companies.,None.,Target exceeded,Township-based companies were encouraged to participate when RFQs were issued.,,Target noted achieved. Please provide RoD and Corrective Actions upon approval.,More focus was placed on township-based companies.,,Please provide actual output upon approval.,More focus was placed on township-based companies. ,,,,,,,191
,Cooperative Governance,Gauteng,Programme 1.	Administration,Sub Programme 1.2.	Corporate Services,Quarterly,Percentage of procurement  from women owned  companies through the  RFQ process,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster","10% of 
procurement on 
RFQs from women 
owned companies 
through the RFQ 
process","63,89% of 
procurement on 
RFQs from women 
owned companies 
through the RFQ 
process","10% of 
procurement on 
RFQs from women 
owned companies 
through the RFQ 
process","55,39% of procurement on RFQs was from women-owned companies.","10% of 
procurement on 
RFQs from women 
owned companies 
through the RFQ 
process","49,07% of procurement on RFQs was from women- owned companies","10% of 
procurement on 
RFQs from women 
owned companies 
through the RFQ 
process","72,30% of procurement on RFQs was from women-owned companies ","40% of procurement on 
RFQs from women owned 
companies through the 
RFQ process.",-,,,,,Target achieved,More focus was placed on women owned companies.,None.,Target exceeded,Women-owned companies were encouraged to participate when RFQs were issued.,,Target noted achieved. Please provide RoD and Corrective Actions upon approval.,More focus was placed on women owned companies.,,Please provide actual output upon approval.,More focus was placed on women-owned companies.,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019 – 2024, Priority 1)",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",No target planned ,,11 Municipalities monitored on the extent to which anti-corruption measures are implemented,4 Municipalities ( Lesedi LM; Emfuleni LM; Rand West City LM and Merafong City LM) were monitored on anti-corruption measures.,11 Municipalities monitored on the extent to which anti-corruption measures are implemented,"4 Municipalities (West Rand district municipality, Sedibeng district municipality, Midvaal local municipality and the City of Johannesburg) were monitored on anti-corruption measures.",11 Municipalities monitored on the extent to which anti-corruption measures are implemented," 3 Municipalities (Mogale City local municipality, Ekurhuleni and Tshwane metropolitan municipalities) were monitored on the extent to which anti-corruption measures were implemented.",11 Municipalities monitored on the extent to which anti-corruption measures are implemented,-,,,,,N/A,None.,,"Target not achieved, the reasons for deviation not provided",,,Target not achieved. Please provide RoD and Corrective Action upon approval. ,,,Target not achieved. ,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,0,,0,0,,,,,"Duplicated indicators, please delete",,,,,,,,,N/A,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,Number of municipalities supported on ethics and integrity management,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",No target planned ,,11 Municipalities supported on ethics and integrity management,11 Municipalities supported on integrity management.,11 Municipalities supported on ethics and integrity management,	11 Municipalities were supported on ethics and integrity management.,11 Municipalities supported on ethics and integrity management,11 Municipalities were supported on ethics and integrity Management.,11 Municipalities supported on ethics and integrity management,-,,,,,N/A,,,Target achieved,,,Target achieved.,,,Target achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities supported to comply with MSA Regulations on the appointment of senior managers (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,Please delete this indicator is incorrectly placed under this sub-programme,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,Number of municipalities with functional Municipal Councils and Mayoral Committees  ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",11 Municipalities with functional Municipal Councils and Mayoral Committees,Municipal reports on councils functionality received from all 11 municipalities,11 Municipalities with functional Municipal Councils and Mayoral Committees,11 Municipalities were monitored on the functionality of Municipal Councils and Mayoral Committees.,11 Municipalities with functional Municipal Councils and Mayoral Committees,11 Municipalities with functional Municipal Councils and Mayoral Committees.,11 Municipalities with functional Municipal Councils and Mayoral Committees,11 Municipalities with functional councils and mayoral committees.,11 Municipalities with functional Municipal Councils and Mayoral Committees,-,,,,,Target achieved,,,Target achieved,,,Target achieved.,,,Target achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,Number of large power and water users in targeted local municipalities billed accurately to improve revenue collection,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Top 60 large power and water users in targeted local municipalities billed accurately to improve revenue collection. (Merafong, Lesedi and Midvaal LMs) ","1256 Large power and water users in targeted local municipalities
billed accurately to improve revenue collection. (Merafong LM 201, Lesedi LM 472 and Midvaal 583)",Top 60 large power and water users in targeted local municipalities billed accurately to improve revenue collection. (Lesedi and Midvaal LMs). Review the assessment report and develop implementation plan for Top 60 large power and water users targeted (Emfuleni LM),"1 849 Large power and water users in targeted local municipalities were billed accurately to improve revenue collection. (Midvaa LM 66, Emfuleni LM 1 699 and Lesedi LM 84). 

",Top 60 large power and water users in targeted local municipalities billed accurately to improve revenue collection. (Emfuleni LM),The Top 60 (1 180) large power and water users in targeted local municipalities were billed accurately to improve revenue collection.,Top 60 large power and water users in targeted local municipalities billed accurately to improve revenue collection. (Emfuleni LM),Top 60 large power and water users in Emfuleni local municipality were billed accurately to improve revenue collection.,"Top 60 large power and water users in targeted local municipalities billed accurately to improve revenue collection. (Merafong, Emfuleni, Lesedi and Midvaal LMs)",-,,,,,Target exceeded,There was overachievement as municipalities identified additional large power and water users during the extraction process.,,Target achieved,There was overachievement as municipalities identified additional large power and water users during the extraction process.,,,,,Target achieved.,There was overachievement with the number of large power and water users that were worked on as municipalities identified additional large power and water users during the extraction process,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities guided to comply with the MPRA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 4)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,Please delete this indicator is incorrectly mapped under this sub-programme,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,Number of Municipalities provided with capacity to develop viability plans,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","3 Local and 1 district Municipalities provided with capacity to develop viability plans (Sedibeng District, Emfuleni, Midvaal and Lesedi LM)","4 Municipalities (Sedibeng District, Emfuleni, Midvaal and Lesedi LM) were provided with capacity to develop viability plans","3 Local and 1 district Municipalities provided with capacity to develop viability plans (Sedibeng District, Emfuleni, Midvaal and Lesedi LM","4 Municipalities (Sedibeng District, Emfuleni, Midvaal and Lesedi LM) were provided with capacity to develop viability plans.","3 Locals and 1 district Municipality provided with capacity to undertake Municipal viability assessments (Westrand district, Mogale, Randwest and Merafong LM)","4 Municipalities (West Rand district municipality, Mogale City, Rand West City and Merafong local municipalities) were provided with capacity to undertake municipal viability assessments.","3 Locals and 1 district Municipality provided with capacity to develop viability plans (Westrand district, Mogale, Randwest and Merafong LM) ","3 Locals and 1 district municipality (West Rand district municipality, Mogale, Rand West City and Merafong local municipalities) were provided with capacity to undertake municipal viability assessments. ","6 Local and 2 district Municipalities provided with capacity to develop viability plans (Sedibeng District, Emfuleni, Midvaal and Lesedi LM, Westrand district, Mogale, Randwest and Merafong LM)",-,,,,,Target exceeded however the department did not provide the reasons for deviation,,,Target exceeded and reasons for deviation not provided,,,,,,Target not achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure (Linked to MTSF 2019 – 2024, Priority 1)",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","1 Municipality supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure (CoJ Metro Municipality)","1 Municipality (City of Johannesburg) was supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure","1 Municipality supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure (CoJ Metro Municipality)","City of Johannesburg was supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure. ","1 Municipality supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure (CoJ Metro Municipality)","The City of Johannesburg was supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure.","1 Municipality supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure (CoJ Metro Municipality)","1 Municipality (CoJ) was supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure.","1 Municipality supported to reduce Unauthorised, Irregular, Fruitless and Wasteful Expenditure (CoJ Metro Municipality)",-,,,,,Target achieved,,,Target achieved,,,Target achieved.,,,Target achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities supported to reduce Unauthorized, Irregular, Wasteful and Fruitless expenditure (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,"Performance Indicator is duplicated, please delete ",,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,Number of Municipalities supported with capacity to implement the simplified revenue plans to improve revenue collection,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","3 Municipalities provided with capacity to implement simplified revenue plans to improve revenue collection. (Mogale City, Randwest City and Emfuleni LMs)","Mogale City, Rand West City and Emfuleni LMs were provided with capacity to implement simplified revenue plans to improve revenue collection",3 Municipalities provided with capacity to implement simplified revenue plans to improve revenue collection. (Mogale City and Randwest City) 1 Municipality provided with capacity to review and implement the developed implementation plan (Merafong City LM),"3 Municipalities (Mogale City, Rand West City and Merafong LMs) were provided with capacity to implement simplified revenue plans to improve revenue collection.","3 Municipality provided with capacity to implement simplified revenue plan to improve revenue collection. (Randwest Mogale, Merafong LMs)","3 Municipalities (RandWest City, Mogale City and Merafong local municipalities) were provided with capacity to implement simplified revenue plan to improve revenue collection.","3 Municipality provided with capacity to implement simplified revenue plan to improve revenue collection. (Randwest Mogale, Merafong LMs)","3 Municipalities (Rand West, Mogale and Merafong local municipalities) were provided with capacity to implement simplified revenue plans to improve revenue collection.","3 Municipalities provided with capacity to implement simplified revenue plans to improve revenue collection. (Mogale City, Randwest City, and Merafong LMs)",-,,,,,Target achieved,,,Target achieved,,,Target achieved.,,,Target achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,Please delete the duplicated indicators,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to maintain functional ward committees (Linked to MTSF 2019 – 2024, Priority 1)",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",9 Municipalities supported to maintain functional ward committees,,9 Municipalities supported to maintain functional ward committees,9 Municipalities were supported to maintain functional ward committees.,9 Municipalities supported to maintain functional ward committees,9 Municipalities were supported to maintain functional ward committees.,9 Municipalities supported to maintain functional ward committees,9 Municipalities were supported to maintain functional ward committees.,9 Municipalities supported to maintain functional ward committees,-,,,,,"Q1 output not provided, department did not provide reasons for deviation",,,Target achieved,,,Please provide actual output upon approval.,,,"Output not provided, please provide outputs upon approval",,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to maintain functional ward committees (MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,Please delete the duplicated indicators,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to promote participation in community based local governance processes (Priority 1: Capable, Ethical and Developmental State)",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",No target planned,,3 Municipalities supported to promote participation in community based local governance processes through the ABCD approach,"3 Municipalities (Tshwane, Ekurhuleni and Rand West) were supported to promote participation in community based local governance processes through the ABCD approach. ","3 Locals and 1 district Municipality provided with capacity to undertake Municipal viability assessments (Westrand district, Mogale, Randwest and Merafong LM)","4 Municipalities (West Rand district municipality, Mogale City, Rand West City and Merafong local municipalities) were provided with capacity to undertake municipal viability assessments",3 Municipalities supported to promote participation in community based local governance processes through the ABCD approach,"3 Municipalities (Ekurhuleni, Emfuleni and Midvaal) were supported to promote participation in community based local governance processes through the ABCD approach.",9 Municipalities supported to promote participation in community based local governance processes through the ABCD approach,-,,,,,N/A,,,Target achieved,,,Please provide actual output upon approval. ,,,Target achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to promote participation in community based local governance processes (Priority 1: Capable, Ethical and Developmental State) (Priority 6 MTEF indicatory: Social Cohesion and Safer Communities)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,Please delete the duplicated indicators,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of municipalities supported to resolve community concerns,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,Please delete the duplicated indicators,,,,,,,,,,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of municipalities supported to respond to community concerns (Outcome-9: Sub-Outcome 2) (B2B Pillar 1),Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",9 Municipalities supported to respond to community concerns,9 Municipalities were supported to respond to community concerns,9 Municipalities supported to respond to community concerns,9 Municipalities were supported to respond to community concerns. ,9 Municipalities supported to respond to community concerns,9 Municipalities were supported to respond to community concerns.,9 Municipalities supported to respond to community concerns,9 Municipalities were supported to respond to community concerns.,9 Municipalities supported to respond to community concerns,-,,,,,Target achieved,,,Target achieved,,,Target achieved.,,,Target achieved.,,,,,,,,191
,Cooperative Governance,Gauteng,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of targeted groups reached through civic awareness in provincial regions,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Building a Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",3 Targeted groups reached through civic awareness in provincial regions,3 Targeted groups were reached through civic awareness in provincial regions,2 Targeted groups reached through civic awareness in provincial regions,2 Targeted groups were reached through civic awareness in provincial regions in Ekhurhuleni and West Rand regions.,3 Targeted groups reached through civic awareness in provincial regions,"8 Targeted groups groups were reached through civic awareness in provincial regions in City of Johannesburg, Tshwane, Ekurhuleni Sedibeng and West Rand region",2 Targeted groups reached through civic awareness in provincial regions,4 Targeted groups were reached through civic awareness in the provincial regions.,10 Targeted groups reached through civic awareness in provincial regions,-,,,,,Target achieved,,,"performance outputs not provided, department is requested to provide the performance outputs upon approval ",There was an increased demand from communities for civil awareness.,,,There was a high demand by the communities and high participation in the city cleaning campaigns through the city revitalisation strategy collaboration. ,,,,,,,,,,191
