Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,DesiredPerformance,OTP_Summary,UID
Health,Health,Western Cape,Programme 2: District Health Services,District Health System,Quarterly,Severity assessment code (SAC) 1 Incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",65.7 %,75.4 %,64.4 %,75.8 %,64.3 %,69.1 %,64.6 %,72.5 %,64.6 %,0 %,,,,,Performance better than target with SAC1 incidents being reported timeously. Strengthening of processes and utilizing electronic notifications have improved performance.,None required,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,Target achieved. Performance better than target,None required,Target achieved. Data accepted.,,Target achieved. Performance better than target with a greater proportion of SAC 1 cases reported within 24hrs than planned.,No action required,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Various initiatives led by Quality Assurance has improved reporting.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Average length of stay,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",3.6,3.51,3.7,3.6,3.6,3.6,3.6,3.64,3.6,3.51,,,,,A positive performance as this indicates patients are spending on average a shorter length of time as in inpatient in District Hospitals.,None required,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,Target achieved,None required.,Target achieved. Data accepted.,,Target achieved. ,None,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target partially achieved (99.9%) by 0.01 difference.,No action required.,Data accepted. The PDO notes the partially achieved output for Q4 of FY 2024-25. The PDO notes the reason for deviation and no corrective action listed.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",0.16 %,0.37 %,0.17 %,0.34 %,0.18 %,,0.21 %,,0.21 %,0.37 %,,,,,"The paediatric surge season(November 2023 to May 2024) appears to have been more severe than in previous years as living conditions impacted by socio economic determinants and inclement weather. 				
",Ongoing monitoring,Data accepted. The PDO notes the under-performed output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to monitor health-related challenges impacting  on desired outcomes.,,Ongoing influence of poor socio-economic determinants on living conditions. Patients presenting late with high acuity.,Targets have been set conservatively and will be reviewed for next year in light of deteriorating socio-economic conditions.,Data accepted. The PDO notes the partially-performed output and the corrective action to address factors related to the increased Diarrhoea deaths.,,"Mid year adjusted indicator, refer to new indicator",None,Approved In-Year Changes FY 2024-25.,,Mid year adjusted target. Refer to new indicator,No action required.,Approved In-Year Changes FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",0.16 %,,0.17 %,,0.41 %,0.32 %,0.40 %,0.35 %,0.40 %,0 %,,,,,"Mid year adjustment, new indicator added",,,,,,,,Target achieved. Positive performance as the fatality rate is lower than expected,None,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Lower death rate than provisioned for.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Child under 5 years pneumonia case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",0.19 %,0.22 %,0.21 %,0.20 %,0.21 %,0.16 %,0.23 %,0.19 %,0.23 %,0.22 %,,,,,"The paediatric surge season(November 2023 to May 2024) appears to have been more severe than in previous years as living conditions impacted by socio economic determinants and inclement weather. 				
",Ongoing monitoring,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to monitor health-related challenges impacting  on desired outcomes.,,Performance better than target with lower fatality rate.,None required.,Target achieved. Data accepted.,,Target achieved. Positive performance with fatality rate lower than expected,None,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Lower death rate than provisioned for.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Child under 5 years severe acute malnutrition case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",1.60 %,2.99 %,2.03 %,2.74 %,1.96 %,,2.28 %,,2.28 %,2.99 %,,,,,"The paediatric surge season(November 2023 to May 2024) appears to have been more severe than in previous years as living conditions impacted by socio economic determinants and inclement weather. 				
",Ongoing monitoring,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to monitor health-related challenges impacting  on desired outcomes.,,Ongoing influence of poor socio-economic determinants on living conditions. Patients presenting late with high acuity.,Ongoing monitoring by child health clinicians.,Data accepted. The PDO notes the partially-performed output and the corrective action to improve healthcare-seeking behavior.,,"Mid year adjusted indicator, refer to new indicator",None,Approved In-Year Changes FY 2024-25.,,Mid year adjusted target. Refer to new indicator,No action required.,Approved In-Year Changes FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Child under 5 years severe acute malnutrition case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",1.60 %,,2.03 %,,3.05 %,2.21 %,3.00 %,2.07 %,3.00 %,0 %,,,,,"Mid year adjustment, new indicator added",,,,,,,,Target achieved. Positive performance as the fatality rate is lower than expected,None,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Lower death rate than provisioned for.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Complaint resolution within 25 working days rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",91.2 %,97.3 %,91.6 %,96.0 %,90.9 %,85.2 %,91.2 %,89.1 %,91.2 %,367.6 %,,,,,A positive performance with complaints being resolved timeously.,None required,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,Positive performance with the resolution rate higher than anticipated.,None required.,Target achieved. Data accepted.,,Availability of staff over the holiday season may have resulted in delays attending to complaints.,Facility management to review and attend to.,Data accepted. The PDO notes the partially achieved output for Q3 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,,Target partially achieved. Austerity measures and nature of complaints may have impacted the facility's ability to resolve within 25 days. 30 out of 274 complaints were not resolved within 25 working days.,Ongoing monitoring,"Data accepted. The PDO notes the partially achieved output for Q4 of FY 2024-25. The PDO notes the reason for deviation and the corrective action through ongoing monitoring.
",,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Death under 5 years against live birth rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",1.35 %,1.29 %,1.33 %,1.28 %,1.32 %,1.20 %,1.35 %,1.2 %,1.35 %,1.29 %,,,,,Fatality rate lower than anticipated which is a positive performance,None required,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,Positive performance as the fatality rate is lower than anticipated.,None required.,Target achieved. Data accepted.,,Target achieved. Positive performance as death rate lower than expected,None,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Lower death rate than provisioned for.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Inpatient bed utilization rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",93.4 %,89.2 %,95.1 %,89.7 %,93.6 %,89.3 %,93.4 %,86.4 %,93.9 %,89.2 %,,,,,"A positive performance as this indicates a lower number of patients admitted than expected, indicating a reduced burden on District Hospitals.",None required,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,Performance better than target with lower utilisation rate although the pressure on services persists.,None required.,Target achieved. Data accepted.,,Target achieved. Performance better than target with fewer patients admitted and therefore perceived as less pressure on resources,None,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. A lower bed utilisation rate indicates good patient management with shorter stays in hospital.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Live birth under 2500g in facility rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",11.1 %,11.6 %,10.8 %,11.2 %,11.0 %,,11.0 %,,11.0 %,11.6 %,,,,,"Slight deviation from target, no immediate cause identified but will be monitored.  			
",Various interventions ongoing to encourage mothers to visit health facilities for support early in their pregnancies. ,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,,The performance is almost on target. Underweight births were as anticipated however there were fewer births overall this quarter which impacted the rate.,Various interventions ongoing to encourage mothers to visit health facilities for support early in their pregnancies. ,Data accepted. The PDO notes the partially-performed output and the corrective action to improve Mothers attending health facilities early in pregnancy.,,"Mid year adjusted indicator, refer to new indicator",None,Approved In-Year Changes FY 2024-25.,,Mid year adjusted target. Refer to new indicator,No action required.,Approved In-Year Changes FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,District Hospitals,Quarterly,Live birth under 2500g in facility rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",11.1 %,,10.8 %,,12.0 %,11.4 %,12.0 %,11.6 %,12.0 %,0 %,,,,,"Mid year adjustment, new indicator added",,,,,,,,Target achieved. Positive performance as lower rate of babies born underweight than expected,None,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Lower number of underweight births recorded than provisioned for.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Annually,All DS-TB client death rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",,,,,,,4.37 %,3.61 %,4.37 %,3.61 %,,Target achieved. The lower death rate may be indicative of the success of various interventions across the platform.,No action required.,,,,,,,,,,,,,,,,,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Annually,Maternal Mortality in facility (Ratio – per 100 000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",,,,,,,54.1,58.5,54.1,58.5,,Target partially achieved. No overarching cause identified. The lower number of births (denominator) will impact the overall rate.,Ongoing monitoring,,,,,,,,,,,,,,,,,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,All DS-TB client LTF rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",18.1 %,21.1 %,18.1 %,17.0 %,18.1 %,18.2 %,18.1 %,17.8 %,18.1 %,0 %,,,,,"Socio-economic influences and ability to trace patients continue to provide challenges. Ongoing initiatives with non-profit partners and community interventions to encourage treatment adherence appears to be showing some positive results. 				
",Community initiatives are ongoing,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,Poor performance,"Performance better than target. 
The high lost to follow up remains a challenge. Poor adherence to treatment is occurring despite implementation of interventions aimed at improving retention in care",Ongoing implementation and adaptation of interventions.,Target achieved. Data accepted.,,Target achieved,None required,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Lower rate indicates clients are completing treatment.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,All DS-TB Client Treatment Success Rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",78.9 %,74.4 %,78.1 %,79.7 %,77.8 %,78.8 %,77.4 %,79.5 %,77.4 %,0 %,,,,,"Socio-economic influences and ability to trace patients continue to provide challenges. Ongoing initiatives with non-profit partners and community interventions to encourage treatment adherence appears to be showing some positive results. 				
",Community initiatives are ongoing,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,,"Performance better than target. 
The high lost to follow up remains a challenge. Poor adherence to treatment is occurring despite implementation of interventions aimed at improving retention in care",Ongoing implementation and adaptation of interventions.,Target achieved. Data accepted.,,Target achieved,None required,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. ,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,Antenatal 1st visit before 20 weeks rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",74.8 %,73.4 %,74.6 %,73.9 %,74.7 %,,74.6 %,,74.6 %,0 %,,,,,Slight deviation from target.,Awareness and education campaigns continue to encourage pregnant woman to seek antenatal care early in their pregnancy.,"Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.
",,Performance almost on target. Awareness and education campaigns continue to encourage pregnant woman to seek antenatal care early in their pregnancy.,Interventions are ongoing.,Data accepted. The PDO notes the partially-performed output and the corrective action to address late bookings in pregnancy.,,"Mid year adjusted indicator, refer to new indicator",None,Approved In-Year Changes FY 2024-25.,,Mid year adjusted target. Refer to new indicator,No action required.,Approved In-Year Changes FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,Antenatal 1st visit before 20 weeks rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",74.8 %,,74.6 %,,73.0 %,74.4 %,73.0 %,74.6 %,73.0 %,0 %,,,,,"Mid year adjustment, new indicator added",,,,,,,,Target achieved. A positive performance as more pregnant woman seeking antenatal care early in their pregnancy.,Awareness and education campaigns continue to encourage pregnant woman to seek antenatal care early in their pregnancy.,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Positive performance indicating mothers are seeking care early in their pregnancy.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,ART adult remain in care rate [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",57.4 %,47.0 %,56.6 %,50.7 %,56.3 %,,55.9 %,,55.9 %,0 %,,,,,"Socio-economic influences and ability to trace patients continue to provide challenges. Ongoing initiatives with non-profit partners and community interventions to encourage treatment adherence appears to be showing some positive results. 				
",Community initiatives are ongoing,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,poor performance,Performance close to target. Socio-economic influences and ability to trace patients continue to provide challenges. Ongoing initiatives with non-profit partners and community interventions to encourage treatment adherence appears to be showing some positive results.,Ongoing campaigns and partner interventions.,Data accepted. The PDO notes the partially-performed output and the corrective action to address client behavior and contributing socio-economic factors.,,"Mid year adjusted indicator, refer to new indicator",None,Approved In-Year Changes FY 2024-25.,,Mid year adjusted target. Refer to new indicator,No action required.,Approved In-Year Changes FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,ART adult remain in care rate [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",57.4 %,,56.6 %,,50.0 %,51.1 %,50.0 %,50.2 %,50.0 %,0 %,,,,,"Mid year adjustment, new indicator added",,,,,,,,Target achieved .,None required,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,ART Adult viral load suppressed rate (below 50) [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",71.4 %,73.0 %,70.5 %,72.7 %,70.1 %,70.5 %,69.7 %,70.5 %,69.7 %,0 %,,,,,A positive performance indicating the viral load suppression of those patients remaining care.,None required,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,Performance better than target.,None required.,Target achieved. Data accepted.,,Target achieved,None required,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,ART child remain in care rate [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",61.6 %,48.0 %,61.6 %,58.9 %,61.6 %,,61.6 %,,61.6 %,0 %,,,,,"Socio-economic influences and ability to trace patients continue to provide challenges. Ongoing initiatives with non-profit partners and community interventions to encourage treatment adherence appears to be showing some positive results. 				
",Community initiatives are ongoing,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,,Performance close to target. Socio-economic influences and ability to trace patients continue to provide challenges. Ongoing initiatives with non-profit partners and community interventions to encourage treatment adherence appears to be showing some positive results.,Ongoing campaigns and partner interventions.,"Data accepted. The PDO notes the partially-performed output and the corrective action to address client behavior and contributing socio-economic factors.
",,"Mid year adjusted indicator, refer to new indicator",None,Approved In-Year Changes FY 2024-25.,,Mid year adjusted target. Refer to new indicator,No action required.,Approved In-Year Changes FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,ART child remain in care rate [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",61.6 %,,61.6 %,,58.1 %,55.6 %,58.0 %,68.6 %,58.0 %,0 %,,,,,"Mid year adjustment, new indicator added",,,,,,,,Socio-economic influences and ability to trace patients continue to provide challenges. Ongoing initiatives with non-profit partners and community interventions to encourage treatment adherence appears to be showing some positive results.,Ongoing with partner initiatives,Data accepted. The PDO notes the partially achieved output for Q3 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting treatment adherence and desired outcomes.,,Target achieved. Performance better than target with more children remaining on ART 12 months after initiation.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,ART child viral load suppressed rate (below 50) [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",37.7 %,37.0 %,39.1 %,46.0 %,39.6 %,47.3 %,40.5 %,45.7 %,40.5 %,0 %,,,,,Although a slight deviation from target a positive indication of the viral load suppression of those patients remaining care.,None required,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,Low suppressed rate,Performance better than target.,None required.,Target achieved. Data accepted.,,Target achieved. More children reported with viral load suppression than expected,None required,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. More children with viral load suppression than provisioned for.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,Cervical cancer screening coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",27.0 %,24.3 %,29.2 %,12.6 %,28.1 %,,28.1 %,,28.1 %,0 %,,,,,Under performance is suspected to be due to data issues.,Under investigation.,Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,,"Due to the cyber-attack that has impacted the NHLS systems and infrastructure, we have been unable to update the data for July-October 2024",Technical teams are working hard to restore the data feed between the NHLS and PHDC.,"Data accepted. The PDO notes the under-performed output. The PDO notes reason for deviation. The PDO notes corrective action to address the system impact of the NHLS systems and infrastructure.
",,"Mid year adjusted indicator, refer to new indicator",None,Approved In-Year Changes FY 2024-25.,,Mid year adjusted target. Refer to new indicator,No action required.,Approved In-Year Changes FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,Cervical Cancer Screening Coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",27.0 %,,29.2 %,,24.0 %,13.5 %,24.0 %,21.6 %,24.0 %,0 %,,,,,"Mid year adjustment, new indicator added",,,,,,,,Reporting is still impacted by the NHLS security breach.  Data expected to improve by next quarter.,Ongoing efforts to restore data feed from NHLS,Data accepted. The PDO notes the partially achieved output for Q3 of FY 2024-25. The PDO notes the reason for deviation and the ongoing action to restore data feed from NHLS and improve on desired outcomes.,,"Target partially achieved. Although data is still being reconciled for March, services are investigating if any specified challenges can be identified.",Ongoing monitoring,"Data accepted. The PDO notes the partially achieved output for Q4 of FY 2024-25. The PDO notes the reason for deviation and the corrective action through ongoing monitoring.
",,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,Couple year protection rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",52.0 %,52.6 %,51.3 %,52.1 %,51.0 %,52.0 %,50.4 %,52.6 %,50.4 %,0 %,,,,,Target achieved,None required,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,Performance better than target with higher protection rate.,None required.,Target achieved. Data accepted.,,Target achieved,None,"Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25
",,Target achieved.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,Delivery 10-14 years in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",91,75,182,153,272,216,356,288,356,288,,,,,A positive performance with fewer deliveries in this age category.,Ongoing community awareness and education on teenage pregnancies may be contributing to this.,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,A positive performance with fewer deliveries in this age category.,None required.,Target achieved. Data accepted.,,Target achieved. A positive performance as fewer deliveries reported in this age group than expected,"Initiatives are under way, with partners, in targeted communities to raise contraception awareness to prevent teenage pregnancies.",Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Positive performance as fewer deliveries reported in this age group,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,Delivery 10-19 years in facility rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",11.3 %,12.0 %,11.5 %,12.4 %,11.5 %,,11.3 %,,11.3 %,0 %,,,,,"Slight deviation from target, with more deliveries in this age category than anticipated ","Initiatives are continuing with partners, in targeted communities raising contraception awareness to prevent teenage pregnancies.				
",Data accepted. The PDO notes the partially achieved output for Q1 of FY 2024-25. The PDO notes the reason for deviation and the corrective action to address challenges impacting  on desired outcomes.,,"Initiatives are underway, with partners in targeted communities, to raise contraception awareness to prevent teenage pregnancies.",Partner initiatives ongoing and collaboration with Dept. of Education.,"Data accepted. The PDO notes the partially-performed output and the corrective action to address teenage pregnancies in targeted communities.
",,"Mid year adjusted indicator, refer to new indicator",None,Approved In-Year Changes FY 2024-25.,,Mid year adjusted target. Refer to new indicator,No action required.,Approved In-Year Changes FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,Delivery 10-19 years in facility rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",11.3 %,,11.5 %,,13.0 %,12.0 %,13.0 %,11.9 %,13.0 %,0 %,,,,,"Mid year adjustment, new indicator added",,,,,,,,Target achieved. A positive performance as fewer deliveries reported in this age group than expected,"Initiatives are under way, with partners, in targeted communities to raise contraception awareness to prevent teenage pregnancies.",Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved. Positive performance with fewer deliveries reported in this age group.,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
Health,Health,Western Cape,Programme 2: District Health Services,Primary Health Care,Quarterly,HIV positive 15-24 years (excl ANC) rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Increase wellness, safety and tackle social ills","The Social Protection, Community and Human Development cluster",1.34 %,1.34 %,1.34 %,1.30 %,1.35 %,1.33 %,1.34 %,1.34 %,1.34 %,0 %,,,,,Target achieved,None required,Data accepted. The PDO notes the achieved output for Q1 of FY 2024-25.,,Target achieved.,Testing and identification of HIV positive youth enable linkage to care. Continued efforts for the implementation of youth friendly services as a standard of care in all public health facilities.,Target achieved. Data accepted.,,Target achieved,None required,Data accepted. The PDO notes the achieved output for Q3 of FY 2024-25.,,Target achieved,No action required.,Data accepted. The PDO notes the achieved output for Q4 of FY 2024-25.,,,,201
