Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,DesiredPerformance,OTP_Summary,UID
Environmental Affairs,Environmental Affairs,Western Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Annually,3.1.1. Percentage compliance to legislative obligations in respect of licensed facilities inspected,Non-Standardized,Not  Applicable,Not Applicable,VIP 1: Safe and Cohesive Communities,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,67 %,71 %,67 %,71 %,72,This is an efficiency indicator. The rate of compliance to legislative obligations is positive,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Annually,3.1.5 Percentage of complete S24G applications finalized within timeframe.,Non-Standardized,Not  Applicable,Not Applicable,VIP 1: Safe and Cohesive Communities,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,90 %,96 %,90 %,96 %,96,The target was exceeded due to the increased staff capacity resulting from the contract appointments ,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of administrative enforcement notices issued for non-compliance with environmental management legislation,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",55,43,65,62,55,37,65,98,240,240,240,N/A,N/A,,"The number of administrative enforcement notices is dependent on the outcome of inspections and investigations into environmental complaints  
received, which warrants the issuing of administrative enforcement notices for environmental offences. The Department has also conducted a number of inspections and investigations in the month of June, which will result in the issuing of administrative notices  in July 2024 of the 2nd quarter, thus making up the shortfall in the 2nd quarter.",This is a demand driven indicator. The shortfall will be met in the next quarter.,"PDO notes the under achievement, reason for deviation and corrective action provided. It is noted that this is a demand driven indicator and therefore, the Department has no control over it. ","The province is below Q1 target and has not achieved the target for the quarter 
","The number of administrative enforcement notices is dependent on the outcome of inspections and investigations into environmental complaints  
received, which warrants the issuing of administrative enforcement notices for environmental offences.",This is a demand driven indicator. The shortfall will be met in the remaining period.,The PDO notes that the target was under achieved and is a demand driven indicator. ,"The province is below Q2 target and has not achieved the target for the quarter 
","The number of administrative enforcement notices is dependent on the outcome of inspections and investigations into environmental complaints  received, which warrants the issuing of administrative enforcement notices for environmental offences.",A number of site inspections and investigations have been concluded late in the 3rd Quarter which warrants the issuing of administrative enforcement notices for environmental offences. The shortfall will thus be met in the next quarter.  ,PDO notes the underperformance of 37 on the target of 55. Corrective action provided is noted. ,"The province is below Q3 target and has not achieved the target for the quarter 
","The performance for this indicator was exceeded to make up for the shortfall in Q3. The number of administrative enforcement notices is dependent on the outcome of inspections and investigations into environmental complaints received, which warrant the issuing of administrative enforcement notices for environmental offences.",N/A,PDO notes that the indicator has been overachieved. Reason for deviation is noted; no corrective action is required. ,"The province is above Q4 target and has achieved the annual target  
",,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of completed criminal investigations handed to the NPA for prosecution,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,1,4,6,3,1,5,7,15,15,15,N/A,N/A,,"Due to the complexities of these matters, the Department is still in the process of finalising some of the investigations which require expert evidence before referring the dockets to the NPA.",This is a demand driven indicator. The shortfall will be met early in the next quarter.,"PDO notes the under achievement, reason for deviation and corrective action provided. It is noted that this is a demand driven indicator and therefore, the Department has no control over it. ","The province is below Q1 target and has not achieved the target for the quarter 
",The performance for this indicator was exceeded to make up for the shortfall in  the first quarter.,N/A,PDO notes that the target was overachieved and reason for deviation was provided,"The province is above Q2 target and has achieved by exceeding the target for the quarter 
","Due to the complexities of these matters, the Department is still in the process of finalising some of the investigations which require expert evidence before referring the dockets to the NPA.",This is a demand driven indicator. The shortfall will be met in the next quarter.,PDO notes the underperformance of 1 on the target of 3. Corrective action provided is noted. Indicator is a demand driven indicator. ,"The province is below Q3 target and has not achieved the target for the quarter 
",The performance for this indicator was exceeded to make up for the shortfall in Q3,N/A,PDO notes that the indicator has been overachieved. Reason for deviation is noted; no corrective action is required. ,"The province is above Q4 target and has achieved the annual target  
",,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",88,120,126,109,71,86,90,93,375,408,408,"This is a demand driven indicator. The number of compliance inspections conducted is dependent on the number of complaints received from the public and other organs of state that warrant administrative and/or criminal action, as well as conducting compliance inspections in respective of the administrative enforcement notices issued.",N/A,,"This is a demand driven indicator. The number of compliance inspections conducted is dependent on the number of complaints received from the public and other organs of state that warrant administrative and/or criminal action, as well as conducting compliance inspections in respective of the administrative enforcement notices issued.",This is a demand driven indicator. ,"PDO notes the overachievement and reason for deviation provided, indicator is a demand driven indicator. ","The province is above Q1 target and has achieved by exceeding the target for the quarter 
","This is a demand driven indicator. The number of compliance inspections conducted is dependent on the number of complaints received from the public and other organs of state that warrant administrative and/or criminal action, as well as conducting compliance inspections in respective of the administrative enforcement notices issued. To date this indicator target has exceeded.",This is a demand driven indicator. To date this indicator target has exceeded.,The PDO notes that the target was under achieved and is a demand driven indicator. ,"The province is below Q2 target and has not achieved the target for the quarter 
","This is a demand driven indicator. The number of compliance inspections conducted is dependent on the number of complaints received from the public and other organs of state that warrant administrative and/or criminal action, as well as conducting compliance inspections in respective of the administrative enforcement notices issued.",This is a demand driven indicator. ,"PDO notes that the indicator was overachieved, target was 71 and achieved 84. Indicator is a demand driven indicator. ","The province is above Q3 target and has achieved by exceeding the target for the quarter 
","This is a demand driven indicator. The number of compliance inspections conducted is dependent on the number of complaints received from the public and other organs of state that warrant administrative and/or criminal action, as well as conducting compliance inspections in respective of the administrative enforcement notices issued. ",N/A,PDO notes that the indicator has been overachieved. Reason for deviation is noted; no corrective action is required. ,"The province is above Q4 target and has achieved the annual target  
",,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.2:	Air Quality Management,Annually,4.2.1 Report on the State of Air Quality Management,Non-Standardized,Not  Applicable,Not Applicable,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.2:	Air Quality Management,Annually,4.2.2 Number of stations monitoring ambient air quality,Non-Standardized,Not  Applicable,Not Applicable,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,10,10,10,10,10,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.2:	Air Quality Management,Quarterly,4.2.3 Percentage of complete Atmospheric Emission Licenses (AELs) issued within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",0 %,0 %,0 %,0 %,0 %,0 %,100 %,NAR %,100 %,0 %,0,"Performance output is NAR (No Applications Received), as per TID guidelines.  The zero performance is incorrect.
No AEL applications were received in 2024/2025.  ","N/A

DFFE to revise EQPRS TID to allow for 'NAR' to be reported, as per the TID.",,N/A,N/A,,"The province is below Q1 target and has not achieved the target for the quarter 
",No completed applications have been received for processing and therefore none finalised.,N/A,,"The province did not receive applications during quarter two
",N/A,N/A,,"The province did not plan to perform this indicator for the period under review. The reporting cycle for the indicator is quarterly as per the approved TID.   
",Demand driven indicator.  No completed applications have been received for processing and therefore none finalised.,,"PDO notes that the target has not been achieved. This is a demand driven indicator and the Department has no control as no applications were received.  

Please enter zero (0) as actual target. ","The province did not receive applications during quarter under review
",,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Annually,4.3.1 Number of waste minimisation intervention(s) undertaken for priority waste streams,Non-Standardized,Not  Applicable,Not Applicable,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Annually,4.3.2 Number of hazardous waste intervention(s) undertaken,Non-Standardized,Not  Applicable,Not Applicable,VIP 1: Safe and Cohesive Communities,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
