Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,OTP_Q4,OTP_Q1,UID
Social Development,Social Development,North West,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of people reached through substance abuse prevention programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",14980,16485,Overachieved due to intensified awareness campaigns during Anti-Drug week and the establishment and appointment of Local Drug Action Committee,None,28150,35245,Overachieved due to integrated approach to awareness creation,N/A,,38810,48 387,"Overachievement due to advocacy programmes conducted, that is,16 Days of Activism of No violence Against Women & Children, Festive Season Campaign as well as the functionality of Local Drug Action Committees in local municipalities",None,53340,60693,High turnover in substance abuse prevention services ,None,53340,60693,60693,High turnover in substance abuse prevention services ,None,,,Targeted output is overachieved. Reason for deviation is noted.,Performance is noted with overachievement reported for this indicator.,"Although it is a negative indicator, overachievement shows determination in terms of awareness with regards to provision of services.",Overachievement for outreach programmes shows a determination and awareness on the part of the Department.,,,61
Social Development,Social Development,North West,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of service users who accessed Substance Use Disorder (SUD) treatment services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",429,429,None,None,758,990,Overachievement in all the districts was due to demand for substance abuse treatment services,N/A,,1122,1 361,Overachievement due to increased number of substance abuse awareness campaigns on treatment services available,None,1556,1725,More requests for assistance with substance use disorder treatment services,None,1556,1725,1725,More requests for assistance with substance use disorder treatment services,None,,,Targeted output is achieved.,Performance is noted with overachievement reported for this indicator.,"Although it is a negative indicator, overachievement shows determination in terms of awareness with regards to provision of services.",Overachievement for this indicator is noted with reason for deviation reported.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,Number of people reached through community mobilisation programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",7160,7651,Over achievement is due to collaboration with other stakeholders in conducting outreach programmes  (Mayoral Imbizos and Thuntsa lerole) in order to accelerate service delivery.,None,15494,16891,Overachievement is due to mayoral outreach programme at Tswaing ward 4 in order to accelerate service delivery and special request to conduct profiling from Mahikeng Service Point.,N/A,,22722,24 168,Additional Mobilisation was undertaken during Social Development Month and Thuntsa Lerole Campaigns,None,32080,33649,Over achievement is due to collaboration with other stakeholders in conducting outreach programmes (Mayoral Imbizos and Thuntsa lerole) in order to accelerate service delivery.,None,32080,33649,33649,Over achievement is due to collaboration with other stakeholders in conducting outreach programmes (Mayoral Imbizos and Thuntsa Lerole) in order to accelerate service delivery.,None,,,Overachievement with reason for deviation is noted.,Performance is noted with overachievement reported for this indicator.,Performance is noted for this indicator with overachievement reported.,Overachievement for outreach programmes shows a determination and awareness on the part of the Department.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Annually, Number of funded NPOs,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,2. Tackling Unemployment (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",285,309,,,,,,,,,,,,,,,,285,309,300,Finalisation of the outstanding and non-complaint NPOs business plans.,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Annually,Number of EPWP work opportunities created,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,2. Tackling Unemployment (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1251,1198,,,,,,,,,,,,,,,,1251,1198,1435,Finalisation of the outstanding and non-complaint NPOs business plans.,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Number of NPOs capacitated,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",722,1451,Overachievement is due to NPO summit (integrated service with stakeholders) and capacity building in preparation for business plans submission,None,996,1030,Collaboration and integration with other stakeholders attracted more NPOs.,N/A,,835,848,-	Collaboration and integration with other stakeholders attracted more NPOs. ,None,768,775,Over achievement due to capacity building sessions that was intended to drive awareness of the seriousness of compliance requirements.,None,3321,4104,4104,Over achievement due to capacity building sessions that was intended to drive awareness of the seriousness of compliance requirements.,None,,,Targeted output is overachieved.,Performance is noted with overachievement reported for this indicator.,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator is noted with reason for deviation reported.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of cooperatives linked to economic opportunities,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",7,4,Limited capacity of cooperatives to meet the demand of the stakeholders,Development of capacity building plan and facilitation of cooperatives Lekgotla to enhance the capacity of the targeted cooperatives,8,8,N/A,N/A,,8,9,Due to pop up market for cooperatives and SMMes road shows conducted during the quarter,None,13,9,Poor compliance with government prescript .,Intensified governance and compliance training and capacity building for Cooperatives  in the next quarter ,36,30,30,Poor compliance with government prescript.,,,,Underachievement is noted for this indicator.,Targeted output is achieved for this indicator.,Targeted output achieved.,"Although the targeted output is not achieved, reason for deviation and corrective action are acknowledged.",,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of people accessing food through DSD feeding programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",15156,14132,Non-compliance of business plans to funding requirements and programme compliance ,Intensify capacity building on Sector funding policy. ,15156,16238,More beneficiaries accessed food due to finalisation of transgressed NPOs business plans,N/A,,15156,16 648,Increased demand for service.,None,15156,17287,Over achievement due improved access to funded residential and community-based care facilities,None,15156,17287,17287,Over achievement due improved access to funded residential and community-based care facilities.,None,,,Underachievement is noted for this indicator.,Performance is noted with overachievement reported for this indicator.,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator is noted with reason for deviation reported.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of people benefitting from  poverty reduction initiatives,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",180,225,Increase demand for service due to effective implementation of Poverty reduction initiatives program. ,None,399,480,Increased demand for service due to effective implementation of poverty reduction initiative programmes,N/A,,595,673,Effective implementation of capacity building sessions and collaboration of services with other stakeholders.,None,776,856,Collaboration of services with other stakeholders,None,776,856,856,Increased demand for service due to effective implementation of poverty reduction initiative programmes,None,,,Overachievement with reason for deviation is noted.,,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator is noted with reason for deviation reported.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
