Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,OTP_Q4,OTP_Q1,UID
Social Development,Social Development,North West,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Percentage of compliant invoices paid within 30 days,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",100 %,0.95 %,"•	Re-issue payments – as a results of systems rejections due to supplier changing of banking details by service providers and the delay in the interface Walker and the CSD systems.
•	Accrual payments – payments submitted but were not processed before the system closer on 31 March and were processed after the loading of the budget in April.
•	Once a week disbursement and system disruptions.
","Timeous capturing of invoices upon receipt and submission for approval.

Provincial treasury to consider increasing the number of payment disbursement in a week.
",100 %,96 %,"BAS system rejections due to;
a)	Supplier’s changing their banking details and delay in the interface between the Walker and CSD systems.
b)	Incorrect supplier information on the (e.g. supplier CSD number/information) 
","-	Timeous capturing of invoices upon receipt and submission for approval.

-	Provincial Treasury to consider increasing payment disbursements from once a week to more.
",Programme Manager to provide progress ,100 %,95% %,The delay in releasing payments to service providers as a result of tight management of cash and bank by the Provincial Treasury.,Provincial Treasury to consider increasing the number of payment disbursement in a week.,100 %,94 %,Changes on banking details not effected/updated by service providers timeously resulting in rejection of payment batches,"-	The Department to continue to advice Service Providers to update and correct their banking details timeously.
-	Request the Provincial Treasury to intensify the awareness workshops
",100 %,0 %,94,Changes on banking details not effected or updated by service provides timeously resulting in rejection of payment batches.,"-	The Department to continue to advice Service Providers to update and correct their banking details timeously.
-	Request the Provincial Treasury to intensify the awareness workshops
",,,,,,,,,61
Social Development,Social Development,North West,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,Percentage of post audit findings resolved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",0 %,,,,20 %,23 %,"-	Developed a tracking register as a monitoring tool, for consultation of relevant managers",N/A,Programme Manager to provide progress ,60 %,62% %,"Committee on monitoring of PAAP has been established
Monitoring tool developed
Physical Monitoring performed on a weekly basis
PAAP is a standing item on all management meetings 
",None,80 %,62 %,Activities still in progress,Speed up finalisation of activities during 1st quarter 2025-26,80 %,23 %,62,The process/action to resolve the identified findings is taking longer than anticipated.,-	Speed up finalisation of activities during 1st quarter 2025-26.,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.1: Management and Support,Annually,Number of written supervision contracts between supervisors of social service professionals and their supervisees signed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",2. Tackling Unemployment (2019-2024),"Governance, State Capacity and Institutional Development cluster",1142,1176,,,,,,,,,,,,,,,,1142,1176,1176,Increased number of contracts signed in NPO’s,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.1: Management and Support,Quarterly,Number of comprehensive assessments conducted by social workers,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",2022,2264,Overachievement in response to high number of reported cases that required social work intervention,None,2353,2421,Overachievement in response to high number of reported cases that required social work intervention,None,,2195,1 966,Under achievement is due to nature of cases that required social work intervention and. completion of the comprehensive assessments tool,Fast track reported cases to social workers that required intense comprehensive assessments,2341,2381,Overachievement is due the improved intervention on cases report to social workers,None,8911,9032,9032,Overachievement is due to the improved intervention on cases report to social workers,None,,Department to develop the Improvement plan for indicators that were not achieved in Q3 using the recommended template as per the Provincial Reporting Guidelines. ,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Annually,Number of older persons participating in active ageing programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",,,,,6350,4746,,,,,,,,,,,,6350,4746,5355,Delayed on implementation of the programme due to late confirmation by National and change of dates,,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing community-based care services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",7040,7529,Overachievement in response to high number of Older Persons Joining Community based care services in Bojanala & Dr RSM.,None,7040,7368,Overachievement due to increased attendance of Beneficiaries in community-based care services.,N/A,,7040,7099,Overachievement is due to outreach services in Dr RSM and Bojanala,None,7040,8281,Older Persons reached through intensified marketing of services in Dr RSM & Bojanala Districts,None,7040,8281,8225,Older Persons reached through intensified promotion of services in Dr RSM & Bojanala Districts,None,,,Overachievement is noted for this indicator with reason for deviation in place.,Overachievement with reason for deviation is noted for this indicator.,Targeted output achieved.,Over achievement recorded with reason for deviation for this indicator is noted.,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing residential care facilities,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",1658,1797,-	Overachievement is due to increased number of older persons that required access statutory services in all the districts,None,1658,1830,Overachievement due to new admissions in residential care services.,N/A,,1658,1 784,"Overachievement is due new admissions in Bojanala, Dr RSM & Dr KK",None,1658,1803,More admissions of Older Persons at residential facilities due to economically viable beneficiaries in Dr RSM & Bojanala Districts.,None,1658,1803,2241,More admissions of Older Persons at residential facilities due to economically viable beneficiaries in Dr RSM & Bojanala Districts,None,,,"The same comment as above applies, submission is noted.",Overachievement with reason for deviation is noted for this indicator.,Targeted output achieved.,Over achievement recorded with reason for deviation for this indicator is noted.,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,Number of older persons accessing statutory services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",576,730,Overachievement in due to increased number of older persons that required to access statutory services in all the Districts.,None,600,664,Overachievement due to increased number of older persons who required to access statutory services in all the districts..,N/A,,595,512,Underachievement is due to less referred cases for statutory interventions,In-	Re-orientation on elder abuse protocol in line chapter 5 of the older person’s Act,570,462,Less referrals and non-responsiveness of the community to the programme.. ,Promote awareness of services in order to cover a broader spectrum of potential beneficiaries,2341,2368,2342,Referrals and positive response of the community to the programme.. ,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of persons accessing social rehabilitation services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",2662,3520,Increased beneficiaries accessing social rehabilitation services,None,2662, 2984,Over performance due to more persons accessing social rehabilitation services as a result of implementation of school social work programme,N/A,,2662,3146,"-	Overachievement is due to intensified outreach programmes & awareness in Ratlou, Ramotshere Moiloa & Morelete",None,2662,2398,Under performance due to low turnover and absenteeism in NMM and DR KK.,Strengthen group work and empowerment programmee,2662,2398,4652,Over performance due to more persons accessing social rehabilitation services as a result of implementation of school social work programme.,None,,,,,,,Develop the improvement plan for indicators that were not achieved in Q4 that will be implemented in Q1 to improve performance. ,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of Persons with Disabilities accessing day care services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",633,706,Over performance due to more admissions at day care centres.,None,633,734,"Over performance due to new admissions at Day Care Centres in Kagisano Molopo, Taung, Naledi and Mamusa.",N/A,,633,674,"Over performance due to new admission in Ratlou,Tswaing and Mamusa",None,633,638,High achievement due to increased attendance in the day care centres Naledi and Greater Taung,None,633,638,846,"Over performance due to new admissions at Day Care Centres. (Kagisano Molopo, Taung, Naledi and Mamusa,Tswaing, Ramotshere Moilwa, Ratlou, Madibeng, Moses ",None,,,Overachievement is noted for this indicator.,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of Persons with Disabilities accessing residential care facilities,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",308,340,Over performance due to more admissions at Residential Facilities in RSM and Bojanala.,None,308,341,Over performance due to additional admissions at Ntshalleng le bana care Centres and additional reporting of Number of Persons with Disabilities accessing services in SONOP Old Age Home,N/A,,308,340,-	Overachievement is due new admissions in Rustenburg and Greater Taung,None,308,308,None,None,308,308,367,Over performance due to additional admissions at Ntshalleng le bana care Centres and additional reporting of Number of Persons with Disabilities accessing services in SONOP Old Age Home.,None,,,Overachievement is noted for this indicator.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Performance is noted for this indicator with overachievement reported.,Under achievement recorded with reason for deviation and corrective action for this indicator.,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,Number of persons with disabilities accessing services in protective workshops,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",120,166,Over performance due to funding of 2 new protective workshops in Bojanala,None,120,169,Over achievement as of funding of 2 new protective workshops in Bojanala (Moretele & Moses Kotane Service Points),N/A,,120,147,-	Overachievement is due to funding of new protective workshop in Moses Kotane and Moretele,None,120,159,Over achievement due to funding of 2 new organization in Bojanala- Moses Kotane & Moretele.,None,120,159,195,Over achievement due to funding of 2 new protective workshops in Bojanala (Moretele & Moses Kotane Service Points).,None,,,Overachievement is noted for this indicator.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Performance is noted for this indicator with overachievement reported.,Targeted output is achieved for this indicator.,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of beneficiaries reached through Social and Behavior Change programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",12243,13185,"Overachievement is due to effective integration of all Social and Behaviour Change programmes between SBC sites, HCBC & Community Care Centres (CCC).",None,13365,14401,"-	Increased attendance due to 
-	Expansion of programmes in Moses Kotane, Kgetleng Kagisano Molopo services in
",N/A,,12328,12780,-	Overachievement is due to increased attendance on SBC programmes in all the districts,None,13229,15042,"Overachievement due to integration of SBC Programmes between sites, CCC and RISIHA sites ",None,51165,55408,56883,"More beneficiaries were reached due to effective integration of social and behaviour change programmes in SBC sites, HCBC, Community Care Centres, schools and communities.",None,,,Targeted output is overachieved with reason for deviation reported.,Overachievement with reason for deviation is noted for this indicator.,Performance is noted for this indicator with overachievement reported.,Over achievement recorded with reason for deviation for this indicator is noted.,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of beneficiaries receiving psychosocial support services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",10584,11490,Over achievement due to integrated programme and adherence to targets allocated to Child and Youth Care Workers (CYCW) and Community Care Givers.,None,10584,11533,"Overachievement is due to increased attendance of beneficiaries receiving PSS in Boikhutso, Groot Marico and Lethabong CCC",N/A,,10584,11 751,-	Overachievements is due to more beneficiaries accessed psychosocial support ,None,10584,11523,Increased attendance of beneficiaries receiving Psychosocial Support Services through Improved monitoring.,None,10584,11523,11240,More beneficiaries were reached due to integrated programme and adherence to targets allocated to Community Care Workers and Child and Youth Care Workers.,None,,,Overachievement is noted for this indicator with reason for deviation in place.,Overachievement with reason for deviation is noted for this indicator.,Performance is noted for this indicator with overachievement reported.,"Over achievement recorded with reasons for deviation reported.

",,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of children reached through community-based care centres,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",10597,10839,Overachievement due to effective integration of services and implementation of Prevention and Early Intervention (PEI) 365-day programme.,None,10597,10311,Underachievement due to decreased attendance of beneficiaries receiving community-based care services,To strengthen monitoring and support to community-based care centres,,10597,10 822,-	Overachievement is due to increased attendance of community-based programme (RISIHA),None,10597,10 847,Increased attendance of beneficiaries receiving Psychosocial Support Services through Improved monitoring,None,10597,10847,11814,Overachievement due to effective integration of services and implementation of Prevention and Early Intervention programme,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of Social Service Practitioners trained on social and behavior change programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",0,28,Integration of services with NDSD,,60,37,Sessions that were planned for the 2nd quarter were carried out during the 1st quarter through the financial support ,To align the planned  training schedules and targets as per APP quarterly targets.,,35,25,-	Underachievement is due to non-attendance to recruited practitioners in Dr RSM,-	Develop catch up plan to address underachievements,29,44,More implementers trained to recover shortfall from the previous quarters,None,124,134,134,More Social Service Practitioners were trained due to collaboration with National DSD.,None,,Indicator not achieved to also be included in the Improvement plan in Q4,,,,,,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.5: Social Relief,Quarterly,Number of households accessing food through DSD food security programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",2000,3010,Over achievement due to increase number of households in need of material support,None,8000,8386,More households beneficiaries were identified in Ngaka Modiri Molema and Dr Ruth Segomotsi Mompati districts implementation of MEC’s 100 days programme.,N/A,,14000,12069,Shortages of some of the food items in the market caused a delay in the delivery of food parcels by the service providers.,-	Procurement of food parcels during the festive season will be done during the first/second month of the quarter to anticipate shortage of food items.,16000,14065,Budgetary constraints,Targets to be aligned with the available budget,16000,14065,14610,Budgetary constraints.,,,,,,,,Indicator not achieved to be included in the Q4 Improvement plan to address the shortfall of households that could not access food through the programme. ,,61
Social Development,Social Development,North West,Programme 2:  Social Welfare Services,Sub Programme 2.5: Social Relief,Quarterly,Number of people benefitting from sanitary dignity programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",6625,5272,Underachievement due to delays in the delivery of dignity packs by service providers.,Implementation of bulk procurement in advance.,6625,6912,More beneficiaries were identified in Ngaka Modiri Molema and Dr Ruth Segomotsi Mompati districts implementation of MEC’s 100 days programme.,N/A,,6625,5693,The schools programmes and learner examinations period caused an interruption in the distribution of sanitary packs.,-	Implementation of the improvement plan which coincides with reopening of schools.,6625,6200,Budgetary constraints,Targets to be aligned with the available budget,6625,6200,8393,More beneficiaries were identified in Ngaka Modiri Molema and Dr Ruth Segomotsi Mompati districts implementation of MEC’s 100 days programme.,None,,Indicator not achieved to be included in the Improvement plan in Q4.,,,,,,Department to develop improvement plan for indicators that were not achieved. ,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members participating in family preservation services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",2796,1855,The use of incorrect codes,Capacitate officials on generic intervention tool,3248,1421,Preservation sessions overlapped to the following quarter.,Reschedule sessions,,2950,1025,-	Underachievement is due to nature of reported cases that required social worker’s intervention and family preservation services, -	Fast track finalisation of outstanding family preservation cases,2982,3176,Over achievement is due to finalization of cases that were carried over from the previous quarters ,None,11976,7477,6300,Underachievement due to overlapping preservation sessions.,,,,Targeted output is overachieved with reason for deviation in place.,"Underachievement is noted for this indicator, reason for deviation is acknowledged.",Reason for deviation and corrective action are noted with targeted output underachieved for this indicator.,"Over achievement recorded with reason for deviation reported.

",,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members participating in parenting programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",4160,5076,Overachievement is due to the implementation of the parenting programmes across all the service points,None,4163,172,Under achievement is due to group work sessions that overlapped to the next quarter and none responsive of beneficiaries to scheduled session.   ,Mobilise beneficiaries to participate in scheduled sessions,,4230,1233,-	Underachievement is due to non-attendance of parenting programmes protocols,-	Re- Orientation or in service training on parenting protocols,4106,490,Underachievement is due to non-attendance of participants for parenting programmes,Collaboration with other relevant stakeholders,16659,6971,3965,Under achievement is due to group work sessions that overlapped to the next quarter and none responsive of beneficiaries to scheduled session.   ,,,Indicator not achieved to be included in the Improvement plan and progress to be reported monthly in Q4.,Targeted output is overachieved with reason for deviation in place.,"Overachievement is noted for this indicator, reason for deviation is acknowledged.",Reason for deviation and corrective action are noted with targeted output underachieved for this indicator.,"Over achievement recorded with reasons for deviation reported.

",,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members reunited with their families,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",3,08,Overachievement due to demand for services,None,14,38,More cases where finalised during this this quarter in compliance with reunification guidelines ,N/A,,14,16,-	More cases were finalised during this this quarter in compliance with reunification guidelines,None,18,16,Two cases were not finalised due readiness of family members ,Continue to render psychosocial support and family conferencing sessions,49,78,84,More cases where finalised during this this quarter in compliance with reunification guidelines ,None,,,Targeted output is overachieved with reason for deviation in place.,The same comment as above applies.,Performance is noted for this indicator with overachievement reported.,The same comment as above applies.,,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Annually,Number of children placed in adoption,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,25,15,,,25,15,16,"Delays in allocation of court dates by the Children’s court.

Disengagement of adoptive parents during the process of adoption due to various reasons 

",,,,,,,,,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children in foster care reunified with their families,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",0,0,N/A,None,0,5,Children eligible for reunification during the quarter in line with the provisions of the children’s Act ,N/A,,5,3,-	Underachievement is due to no children eligible for reunification as more are in related care(kinship),-	Finalisation of cases for   reunification and reintegration,6,0,Underachievement is due to no children eligible for reunification as more are in related care(kinship),Finalisation of cases for   reunification and reintegration,11,8,10,Underachievement is due to no children eligible for reunification as more are in related care(kinship),,,,Reason for deviation is noted although nothing is reported for this indicator.,Performance is noted for this indicator although nothing was targeted for.,Performance is noted for this indicator although it is underachieved.,"Although nothing is reported as an actual, reason for deviation is acknowledged and corrective action should have been included for this indicator.

",,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children placed in foster care,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",107,232,Finalization of foster care applications in backlog.,None,117,221,Finalization of foster care applications in backlog.,N/A,,101,253,-	Finalisation of applications in backlog,None,98,85,Policy shift and implementation of the new Children’s Act amendments ,Review the target in the new financial year to align with the new Children’s amendments ,423,791,795,Finalization of foster care applications in backlog.,None,,,Targeted output is overachieved with reason for deviation and corrective action in place.,Performance for this indicator shows an improvement with regards to services related to foster care.,Performance is noted for this indicator with overachievement reported.,Performance for this indicator shows an improvement with regards to services related to foster care.,,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children with valid foster care orders,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",18347,19626,Review of foster care orders lapsed and deemed not lapsed by the regulation 4 under transitional matters,None,18347,17664,The decline is as a result of persons who attained the age of 18 and above and no longer eligible to remain in care,Monitor performance through implementation of the foster care monthly monitoring tool.,,18347,18 459,-	Overachievements due to review and extension of orders for persons who attain the age of 18years,None,18347,18462,Finalisation of foster care matters in backlog,None,18347,18462,20803,Finalisation of foster care matters in backlog,None,,,Targeted output is overachieved with reason for deviation and corrective action in place.,Performance for this indicator shows an improvement with regards to services related to foster care.,Performance is noted for this indicator with overachievement reported.,Performance for this indicator shows an improvement with regards to services related to foster care.,,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,Number of children in CYCCs re-unified with their families,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",0,09,Children available for reunification managed in line with the provisions of the Children’s Act,None,2,17,Children in CYCCs eligible for reunification in the 2nd quarter  in line with the provisions of the children’s Act as amended ,N/A,,9,9,None,None,13,5,05 children were eligible children reported for reunification in line with the provisions of the Children’s Act,Provide psychosocial support to children eligible for reunification and continue with family conferencing sessions,24,40,39,39 children were eligible children reported for reunification in line with the provisions of the Children’s Act.,None,,,Reason for deviation is noted although nothing is reported for this indicator.,Overachievement with reason for deviation is noted for this indicator.,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator shows determination in terms of awareness with regards to services related to childcare and protection.,,Department to consider using actual output as baseline when setting targets in their future plans. ,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,Number of children placed in Child and Youth Care Centres,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",682,702,Children declared in need of care and protection by the courts placed in CYCC in line with the provisions of the Children’s Act as amended ,None,682,602,Children declared in need of care and protection through courts in line with the provisions of the children’s Act as amended ,None,,682,693,None,None,682,624,624 children declared in need of care and protection by the children’s court reported in line with the provisions of the Children’s Act,Provide psychosocial support to children in need of care & protection,682,624,698,698 children declared in need of care and protection by the children’s court reported in line with the provisions of the Children’s Act. ,None,,,Targeted output is overachieved with reason for deviation in place.,Performance for this indicator is noted with underachievement reported.,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator shows determination in terms of awareness with regards to services related to childcare and protection.,,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Quarterly,Number of children accessing services in funded Drop-In-Centres,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",380,386,Overachievement due to increased number of children accessing funded Drop In Centres,None,380,379,Low attendance due to none funding of the programme,Mobilise to improve attendance of children to receive services.,,380,395,-	One Drop-in centre in NMM was funded during third quarter of 2024/25 financial year,None,380,410,One additional drop in centre was funded in the 3rd quarter of 2024/25 ,None,380,410,456,One additional drop in centre was funded in the 3rd quarter of 2024/25 ,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Quarterly,Number of children reached through community- based Prevention and Early Intervention Programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",12350,15079,Commemoration of Child protection week at service points and District level,None,19500,23741,Implementation of National 365 days programme of action in the Northwest in collaboration with National Department of Social Development,N/A,,27175,31023,-	Overachievement is due to collaboration with department of education on children’s day commemoration in Maquassie Hills,None,33866,39915,Implementation of the 365 days programme of action against child abuse ,None,33866,39915,39888,Implementation of the 365 days programme of action against child abuse ,None,,,Overachievement is noted for this indicator.,Performance is noted with overachievement reported for this indicator.,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator shows determination in terms of awareness with regards to services related to childcare and protection.,,,61
